年份,农村传染病(不含呼吸道结核)粗死亡率位次,农村呼吸道结核粗死亡率位次,农村寄生虫病粗死亡率位次,农村恶性肿瘤粗死亡率位次,"农村血液,造血器官及免疫疾病粗死亡率位次","农村内分泌,营养和代谢疾病粗死亡率位次",农村精神障碍粗死亡率位次,农村神经系统疾病粗死亡率位次,农村心脏病粗死亡率位次,农村脑血管病粗死亡率位次,农村呼吸系统疾病粗死亡率位次,农村消化系统疾病粗死亡率位次,农村肌肉骨骼和结缔组织疾病粗死亡率位次,农村泌尿生殖系统疾病粗死亡率位次,"农村妊娠,分娩产褥期并发症粗死亡率位次",农村围生期疾病粗死亡率位次,"农村先天畸形,变形和染色体异常粗死亡率位次",农村诊断不明粗死亡率位次,农村其他疾病粗死亡率位次,农村损伤和中毒外部原因粗死亡率位次,农村男性传染病(不含呼吸道结核)粗死亡率位次,农村男性呼吸道结核粗死亡率位次,农村男性寄生虫病粗死亡率位次,农村男性恶性肿瘤粗死亡率位次,"农村男性血液,造血器官及免疫疾病粗死亡率位次","农村男性内分泌,营养和代谢疾病粗死亡率位次",农村男性精神障碍粗死亡率位次,农村男性神经系统疾病粗死亡率位次,农村男性心脏病粗死亡率位次,农村男性脑血管病粗死亡率位次,农村男性呼吸系统疾病粗死亡率位次,农村男性消化系统疾病粗死亡率位次,农村男性肌肉骨骼和结缔组织疾病粗死亡率位次,农村男性泌尿生殖系统疾病粗死亡率位次,农村男性围生期疾病粗死亡率位次,"农村男性先天畸形,变形和染色体异常粗死亡率位次",农村男性诊断不明粗死亡率位次,农村男性其他疾病粗死亡率位次,农村男性损伤和中毒外部原因粗死亡率位次,农村女性传染病(不含呼吸道结核)粗死亡率位次,农村女性呼吸道结核粗死亡率位次,农村女性寄生虫病粗死亡率位次,农村女性恶性肿瘤粗死亡率位次,"农村女性血液,造血器官及免疫疾病粗死亡率位次","农村女性内分泌,营养和代谢疾病粗死亡率位次",农村女性精神障碍粗死亡率位次,农村女性神经系统疾病粗死亡率位次,农村女性心脏病粗死亡率位次,农村女性脑血管病粗死亡率位次,农村女性呼吸系统疾病粗死亡率位次,农村女性消化系统疾病粗死亡率位次,农村女性肌肉骨骼和结缔组织疾病粗死亡率位次,农村女性泌尿生殖系统疾病粗死亡率位次,"农村女性妊娠,分娩产褥期并发症粗死亡率位次",农村女性围生期疾病粗死亡率位次,"农村女性先天畸形,变形和染色体异常粗死亡率位次",农村女性诊断不明粗死亡率位次,农村女性其他疾病粗死亡率位次,农村女性损伤和中毒外部原因粗死亡率位次
2009,11.0,15.0,20,1,18,7,12,10,3,2,4,6,17,9,19,14,16,13.0,8.0,5,9.0,12.0,19,1,18,7,15,11,3,2,4,6,17,8,14,16,13.0,10.0,5,12.0,17.0,20,2,18,6,11,10,3,1,4,7,16,9,19,15,14,13.0,8.0,5
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
