省份编码,省份,年份,住宿业法人企业数(个),住宿业企业从业人数(人),住宿业企业营业额(亿元),住宿业企业客房收入(亿元),住宿业企业餐费收入(亿元)
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,1111,73432,151.3908,79.2996,61.8644
610000,陕西省,2018,948,71573,137.8,70.3,57.2
610000,陕西省,2017,868,69562,123.3725,59.4875,52.964
610000,陕西省,2016,798,69629,112.2572,52.4986,49.0117
610000,陕西省,2015,745,70121,103.8812,48.8431,44.6838
610000,陕西省,2014,718,72452,104.9208,48.7514,45.6872
610000,陕西省,2013,684,74866,101.56537,45.15775,45.94341
610000,陕西省,2012,605,76310,98.7,42.5,46.5
610000,陕西省,2011,537,72116,89.6,42.2,39.3
610000,陕西省,2010,504,67854,69.5,31.6,31.4
610000,陕西省,2009,441,59987,52.2,23.9,23.5
610000,陕西省,2008,427,60510,46.9,22.4,19.9
610000,陕西省,2007,243,39016,28.9,13.9,12.4
610000,陕西省,2006,235,40878,27.1,13.5,11.3
610000,陕西省,2005,222,35382,21.7,10.7,8.9
610000,陕西省,2004,220,34465,21.09423,10.48231,8.73452
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
610000,陕西省,2000,,,,,
620000,甘肃省,2019,388,26676,40.8602,25.1084,13.5557
620000,甘肃省,2018,353,25334,38.0,23.8,12.1
620000,甘肃省,2017,350,26817,42.0872,25.3783,14.0554
620000,甘肃省,2016,320,25482,43.07,24.6024,15.3665
620000,甘肃省,2015,289,24210,39.0244,21.9333,14.1301
620000,甘肃省,2014,280,23855,36.0556,20.0021,12.9526
620000,甘肃省,2013,266,24747,33.56069,18.24255,12.82878
620000,甘肃省,2012,239,24379,31.0,16.2,12.6
620000,甘肃省,2011,205,24133,23.8,12.6,9.0
620000,甘肃省,2010,193,23533,19.2,9.8,7.6
620000,甘肃省,2009,161,21982,15.1,8.0,5.5
620000,甘肃省,2008,140,19924,12.9,6.6,4.9
620000,甘肃省,2007,145,18192,10.1,5.3,4.1
620000,甘肃省,2006,134,17273,8.8,4.4,3.7
620000,甘肃省,2005,122,16405,7.8,4.1,2.9
620000,甘肃省,2004,129,16119,8.52153,4.00545,3.1066
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,113,7005,9.4755,6.4985,2.3101
630000,青海省,2018,102,7395,8.8,5.7,2.4
630000,青海省,2017,97,7543,8.5265,5.3618,2.4233
630000,青海省,2016,88,7247,8.0985,4.7756,2.3917
630000,青海省,2015,77,6906,7.7621,4.6207,2.2105
630000,青海省,2014,71,7082,7.959,4.8159,2.3595
630000,青海省,2013,71,7172,8.18643,5.00977,2.41033
630000,青海省,2012,55,6095,7.0,4.3,2.1
630000,青海省,2011,60,6313,6.5,3.9,2.0
630000,青海省,2010,56,6717,5.4,3.1,1.8
630000,青海省,2009,58,7199,5.4,3.2,1.7
630000,青海省,2008,63,7124,4.6,2.4,1.5
630000,青海省,2007,70,6482,3.7,2.0,1.1
630000,青海省,2006,59,6043,3.1,1.7,1.0
630000,青海省,2005,44,4413,1.9,1.0,0.6
630000,青海省,2004,49,4878,1.98395,1.13368,0.56679
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,69,5991,8.8854,4.5064,3.4201
640000,宁夏回族自治区,2018,67,5973,8.0,4.0,3.2
640000,宁夏回族自治区,2017,78,6922,8.6329,4.22,3.6426
640000,宁夏回族自治区,2016,73,6569,7.8156,3.8104,3.3223
640000,宁夏回族自治区,2015,79,7376,7.9102,3.8508,3.4041
640000,宁夏回族自治区,2014,80,8073,8.3692,4.0492,3.5702
640000,宁夏回族自治区,2013,80,8299,8.88734,4.18414,3.8449
640000,宁夏回族自治区,2012,75,9357,10.1,4.7,4.5
640000,宁夏回族自治区,2011,65,6676,7.2,3.6,2.7
640000,宁夏回族自治区,2010,52,6351,5.7,2.7,2.3
640000,宁夏回族自治区,2009,56,6965,5.5,2.6,2.2
640000,宁夏回族自治区,2008,50,6573,5.3,2.5,1.9
640000,宁夏回族自治区,2007,52,7163,4.5,2.1,1.8
640000,宁夏回族自治区,2006,47,6653,4.1,1.9,1.5
640000,宁夏回族自治区,2005,46,7007,4.0,1.8,1.7
640000,宁夏回族自治区,2004,41,6230,2.90442,1.41121,1.07134
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,331,25270,45.4916,26.2965,12.6345
650000,新疆维吾尔自治区,2018,275,22314,38.1,21.5,12.3
650000,新疆维吾尔自治区,2017,273,22974,35.3642,19.4717,11.7399
650000,新疆维吾尔自治区,2016,269,22282,33.7463,17.6803,12.0138
650000,新疆维吾尔自治区,2015,255,23311,32.2113,15.9928,12.0694
650000,新疆维吾尔自治区,2014,254,23039,30.8102,14.6896,12.0262
650000,新疆维吾尔自治区,2013,244,24544,33.78017,16.15114,13.17033
650000,新疆维吾尔自治区,2012,234,25598,38.6,17.7,15.7
650000,新疆维吾尔自治区,2011,238,26557,36.8,16.4,15.7
650000,新疆维吾尔自治区,2010,221,27584,30.9,13.5,14.0
650000,新疆维吾尔自治区,2009,204,26228,23.5,9.3,10.9
650000,新疆维吾尔自治区,2008,220,29193,22.9,9.7,9.8
650000,新疆维吾尔自治区,2007,294,34674,28.7,13.9,11.2
650000,新疆维吾尔自治区,2006,242,32560,24.3,11.3,10.2
650000,新疆维吾尔自治区,2005,232,33219,21.7,10.4,8.6
650000,新疆维吾尔自治区,2004,235,20791,18.60047,8.29391,7.74452
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
