年份,中国对非洲劳务合作年末在外人员,中国对阿尔及利亚劳务合作年末在外人员,中国对安哥拉劳务合作年末在外人员,中国对贝宁劳务合作年末在外人员,中国对博茨瓦纳劳务合作年末在外人员,中国对布隆迪劳务合作年末在外人员,中国对喀麦隆劳务合作年末在外人员,中国对加那利群岛劳务合作年末在外人员,中国对佛得角劳务合作年末在外人员,中国对中非劳务合作年末在外人员,中国对塞卜泰(休达)劳务合作年末在外人员,中国对乍得劳务合作年末在外人员,中国对科摩罗劳务合作年末在外人员,中国对刚果(布)劳务合作年末在外人员,中国对吉布提劳务合作年末在外人员,中国对埃及劳务合作年末在外人员,中国对赤道几内亚劳务合作年末在外人员,中国对埃塞俄比亚劳务合作年末在外人员,中国对加蓬劳务合作年末在外人员,中国对冈比亚劳务合作年末在外人员,中国对加纳劳务合作年末在外人员,中国对几内亚劳务合作年末在外人员,中国对几内亚(比绍)劳务合作年末在外人员,中国对科特迪瓦劳务合作年末在外人员,中国对肯尼亚劳务合作年末在外人员,中国对利比里亚劳务合作年末在外人员,中国对利比亚劳务合作年末在外人员,中国对马达加斯加劳务合作年末在外人员,中国对马拉维劳务合作年末在外人员,中国对马里劳务合作年末在外人员,中国对毛里塔尼亚劳务合作年末在外人员,中国对毛里求斯劳务合作年末在外人员,中国对摩洛哥劳务合作年末在外人员,中国对莫桑比克劳务合作年末在外人员,中国对纳米比亚劳务合作年末在外人员,中国对尼日尔劳务合作年末在外人员,中国对尼日利亚劳务合作年末在外人员,中国对留尼汪劳务合作年末在外人员,中国对卢旺达劳务合作年末在外人员,中国对圣多美和普林西比劳务合作年末在外人员,中国对塞内加尔劳务合作年末在外人员,中国对塞舌尔劳务合作年末在外人员,中国对塞拉利昂劳务合作年末在外人员,中国对索马里劳务合作年末在外人员,中国对南非劳务合作年末在外人员,中国对西撒哈拉劳务合作年末在外人员,中国对苏丹劳务合作年末在外人员,中国对坦桑尼亚劳务合作年末在外人员,中国对多哥劳务合作年末在外人员,中国对突尼斯劳务合作年末在外人员,中国对乌干达劳务合作年末在外人员,中国对布基纳法索劳务合作年末在外人员,中国对刚果(金)劳务合作年末在外人员,中国对赞比亚劳务合作年末在外人员,中国对津巴布韦劳务合作年末在外人员,中国对莱索托劳务合作年末在外人员,中国对梅利利亚劳务合作年末在外人员,中国对斯威士兰劳务合作年末在外人员,中国对厄立特里亚劳务合作年末在外人员,中国对马约特岛劳务合作年末在外人员,中国对南苏丹劳务合作年末在外人员,中国对非洲其他国家(地区)劳务合作年末在外人员
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
