省份编码,省份,年份,企业法人单位数(个),内资企业法人单位数(个),国有企业法人单位数(个),集体企业法人单位数(个),股份合作企业法人单位数(个),联营企业法人单位数(个),有限责任公司法人单位数(个),股份有限公司法人单位数(个),私营企业法人单位数(个),港、澳、台商投资企业法人单位数(个),外商投资企业单位法人单位数(个)
340000,安徽省,2012,254386,252032,5791,5032,2324,399,38520,5361,178484,942,1412
340000,安徽省,2011,214306,211992,5659,5262,2100,410,29665,4674,153674,942,1372
340000,安徽省,2010,171775,169667,5298,5517,1795,381,21098,3930,124374,852,1256
340000,安徽省,2009,,,,,,,,,,,
340000,安徽省,2008,,,,,,,,,,,
340000,安徽省,2007,,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,
350000,福建省,2019,819718,805374,2577,4008,339,104,25728,2079,769872,9642,4702
350000,福建省,2018,,,,,,,,,,,
350000,福建省,2017,748141,731742,5852,6061,2353,760,157146,7947,519053,10948,5451
350000,福建省,2016,636091,620163,6018,6239,2359,779,136153,7534,426830,10499,5429
350000,福建省,2015,556220,540577,6238,6705,2409,816,113866,7258,362692,10178,5465
350000,福建省,2014,457591,442449,5975,6690,2303,805,91545,6728,293459,9746,5396
350000,福建省,2013,,,,,,,,,,,
350000,福建省,2012,319214,304682,6768,7551,2583,726,44991,5155,217870,9083,5449
350000,福建省,2011,278412,264389,6690,7572,2488,725,36722,4736,189946,8736,5287
350000,福建省,2010,231539,218249,6096,7512,2416,729,27672,4077,157990,8209,5081
350000,福建省,2009,,,,,,,,,,,
350000,福建省,2008,,,,,,,,,,,
350000,福建省,2007,,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,
360000,江西省,2019,433517,431845,3466,1886,328,136,28710,3325,392331,1051,621
360000,江西省,2018,,,,,,,,,,,
360000,江西省,2017,439890,437291,4906,2532,1795,571,91991,6897,298909,1706,893
360000,江西省,2016,344148,342028,4763,2319,2095,636,88768,9380,201994,1343,777
360000,江西省,2015,277496,275395,5296,2598,2433,754,64313,6640,162295,1306,795
360000,江西省,2014,222139,220095,5109,2694,2355,767,45874,5571,130858,1265,779
360000,江西省,2013,,,,,,,,,,,
360000,江西省,2012,176556,174324,6277,2948,2204,637,31035,4662,110394,1387,845
360000,江西省,2011,130247,128164,5415,2867,2274,633,20229,3689,81410,1267,816
360000,江西省,2010,112502,110452,5414,2963,2332,680,16059,3568,70290,1223,827
360000,江西省,2009,,,,,,,,,,,
360000,江西省,2008,,,,,,,,,,,
360000,江西省,2007,,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,
370000,山东省,2019,1982466,1969782,4091,5637,621,234,89228,9281,1858036,3792,8892
370000,山东省,2018,,,,,,,,,,,
370000,山东省,2017,1676178,1657740,7995,10505,1823,305,98536,9376,1479916,4802,13636
370000,山东省,2016,1344176,1331190,7508,7789,2602,627,170148,14093,1002982,3360,9626
370000,山东省,2015,1048450,1035735,7011,7630,2563,549,137249,11160,747385,3228,9487
370000,山东省,2014,819061,806469,6873,7730,2539,523,109441,9531,582417,3177,9415
370000,山东省,2013,,,,,,,,,,,
370000,山东省,2012,722344,708791,9421,10648,2652,850,70728,11288,530778,2954,10599
370000,山东省,2011,649565,635709,8987,10846,2521,811,59264,10700,486316,2814,11042
370000,山东省,2010,592306,578880,8825,11081,2392,766,50796,9819,450110,2680,10746
370000,山东省,2009,,,,,,,,,,,
370000,山东省,2008,,,,,,,,,,,
370000,山东省,2007,,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,
410000,河南省,2019,1097816,1095965,3769,5226,430,292,68414,5351,1010965,782,1069
410000,河南省,2018,,,,,,,,,,,
410000,河南省,2017,695953,693820,6343,6380,1588,918,152549,8566,476044,949,1184
410000,河南省,2016,580619,578927,6368,5044,2206,1365,222279,10650,255194,860,832
410000,河南省,2015,535639,534050,6799,6090,2449,1832,166720,9749,252278,772,817
410000,河南省,2014,399985,398492,6079,5976,2161,1643,106668,8665,199133,728,765
410000,河南省,2013,,,,,,,,,,,
410000,河南省,2012,283009,281524,6450,7717,1761,462,46833,6986,197686,675,810
410000,河南省,2011,269535,268068,6407,7732,1687,445,40319,6807,191963,634,833
410000,河南省,2010,258797,257356,6326,7693,1594,426,35849,6569,185999,616,825
410000,河南省,2009,,,,,,,,,,,
410000,河南省,2008,,,,,,,,,,,
410000,河南省,2007,,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,
420000,湖北省,2019,804818,801058,4297,4920,323,299,56039,4434,730224,1660,2100
420000,湖北省,2018,,,,,,,,,,,
420000,湖北省,2017,751526,746546,6908,5441,960,394,87314,4768,620232,2065,2915
420000,湖北省,2016,609683,605376,6428,4900,1195,528,115141,5317,442802,1730,2577
420000,湖北省,2015,522899,519070,6351,4667,1619,790,157231,6485,292625,1347,2482
420000,湖北省,2014,429641,426474,5875,4680,1631,802,109609,5990,246103,1266,1901
420000,湖北省,2013,,,,,,,,,,,
420000,湖北省,2012,322331,319584,8266,7025,2657,823,68608,6784,196856,1302,1445
420000,湖北省,2011,273217,270619,8024,7189,2655,831,50941,6371,173510,1217,1381
420000,湖北省,2010,239300,236820,7484,7530,2647,812,41308,5798,154165,1181,1299
420000,湖北省,2009,,,,,,,,,,,
420000,湖北省,2008,,,,,,,,,,,
420000,湖北省,2007,,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,
430000,湖南省,2019,477440,476007,2458,2543,214,241,25947,3823,439957,766,667
430000,湖南省,2018,,,,,,,,,,,
430000,湖南省,2017,502984,500848,4462,4218,994,481,68485,7394,382288,1214,922
430000,湖南省,2016,392705,390888,3903,3787,1075,534,64036,7741,270653,1052,765
430000,湖南省,2015,321582,319838,3823,3700,968,519,49925,6456,215308,991,753
430000,湖南省,2014,277672,275872,3661,3978,879,519,43708,6717,190349,991,809
430000,湖南省,2013,,,,,,,,,,,
430000,湖南省,2012,221798,219881,5857,5487,1816,607,18780,4531,160456,1133,784
430000,湖南省,2011,193955,192296,5783,5636,1814,606,15309,4302,139889,972,687
430000,湖南省,2010,176147,174366,5651,5716,1859,612,13201,4096,129336,968,813
430000,湖南省,2009,,,,,,,,,,,
430000,湖南省,2008,,,,,,,,,,,
430000,湖南省,2007,,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,
440000,广东省,2019,3037617,2954188,7418,12661,4168,1210,330471,18069,2567749,63796,19633
440000,广东省,2018,,,,,,,,,,,
440000,广东省,2017,1752016,1686333,10390,17253,8190,4611,440614,19291,1114596,46372,19311
440000,广东省,2016,1325287,1266826,10220,16973,8386,4908,297914,17161,847445,41719,16742
440000,广东省,2015,1204941,1147502,10244,17070,8472,4994,259965,15812,770550,40977,16462
440000,广东省,2014,1102077,1045534,10235,17145,8399,5003,240779,14765,695114,40312,16231
440000,广东省,2013,,,,,,,,,,,
440000,广东省,2012,884679,825438,11903,22205,6657,1485,136879,11373,606355,41500,17741
440000,广东省,2011,788631,731567,11817,22394,6360,1453,118031,9692,537725,39792,17272
440000,广东省,2010,686522,632794,11713,22728,5959,1416,99850,8477,462575,37365,16363
440000,广东省,2009,,,,,,,,,,,
440000,广东省,2008,,,,,,,,,,,
440000,广东省,2007,,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,
450000,广西壮族自治区,2019,497222,494799,2991,3935,322,62,25269,1376,460823,1215,1208
450000,广西壮族自治区,2018,,,,,,,,,,,
450000,广西壮族自治区,2017,409008,406871,4012,4729,513,175,26597,2618,368061,1100,1037
450000,广西壮族自治区,2016,351445,349750,3688,3614,736,262,42961,5078,278343,912,783
450000,广西壮族自治区,2015,290980,289332,3744,3644,731,236,37972,5011,223548,866,782
450000,广西壮族自治区,2014,230232,228648,3651,3601,596,243,34508,4638,170406,847,737
450000,广西壮族自治区,2013,,,,,,,,,,,
450000,广西壮族自治区,2012,180309,178658,5362,5062,1470,412,21479,4183,132977,903,748
450000,广西壮族自治区,2011,149865,148191,5670,5307,1460,493,17249,4252,104622,892,782
450000,广西壮族自治区,2010,117828,116230,5456,5327,1396,404,13092,3750,80780,808,790
450000,广西壮族自治区,2009,,,,,,,,,,,
450000,广西壮族自治区,2008,,,,,,,,,,,
450000,广西壮族自治区,2007,,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,
460000,海南省,2019,103994,103321,833,445,106,64,29002,1226,71384,438,235
460000,海南省,2018,,,,,,,,,,,
460000,海南省,2017,77662,76866,1489,700,573,156,32342,1733,36655,453,343
460000,海南省,2016,63702,62970,1481,688,454,141,27309,1405,27690,408,324
460000,海南省,2015,55689,54968,1476,693,391,134,23719,1228,23486,400,321
460000,海南省,2014,43752,43054,1424,694,346,129,15494,1088,20404,383,315
460000,海南省,2013,,,,,,,,,,,
460000,海南省,2012,37505,36664,1563,835,385,101,15367,1122,15682,475,366
460000,海南省,2011,32016,31223,1538,831,339,102,12145,1022,13820,442,351
460000,海南省,2010,27164,26444,1456,804,292,92,9430,899,12098,390,330
460000,海南省,2009,,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,
500000,重庆市,2019,516287,514326,989,1359,294,119,16266,2783,492023,905,1056
500000,重庆市,2018,,,,,,,,,,,
500000,重庆市,2017,520514,518047,2007,2328,1017,239,26963,2941,467991,1166,1301
500000,重庆市,2016,460825,459032,2363,2054,1582,397,52493,4473,367325,833,960
500000,重庆市,2015,392712,391011,2431,2111,1517,405,46272,4070,302919,781,920
500000,重庆市,2014,316677,315096,2319,2182,1412,399,39962,3662,241020,722,859
500000,重庆市,2013,,,,,,,,,,,
500000,重庆市,2012,224487,222968,3126,2779,1538,326,23067,4068,166614,679,840
500000,重庆市,2011,176841,175484,3022,2820,1373,289,20221,3833,127565,609,748
500000,重庆市,2010,132525,131283,2972,2928,1258,294,16976,3525,91265,538,704
500000,重庆市,2009,,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,
510000,四川省,2019,628030,625511,2315,2773,665,250,54065,5267,557850,1059,1460
510000,四川省,2018,,,,,,,,,,,
510000,四川省,2017,401716,399471,3956,3773,2184,561,89306,7579,269875,950,1295
510000,四川省,2016,327339,325084,4182,4046,2213,629,83432,7069,203615,940,1315
510000,四川省,2015,288685,286474,4350,4032,2132,614,75031,6549,171274,885,1326
510000,四川省,2014,260661,258536,4367,4339,2128,653,67857,6152,153580,832,1293
510000,四川省,2013,,,,,,,,,,,
510000,四川省,2012,230936,228721,5505,5535,2682,566,45826,7368,147137,829,1386
510000,四川省,2011,206310,204322,5502,5953,2441,533,38356,7342,133565,723,1265
510000,四川省,2010,193641,191705,5499,6089,2461,509,33092,7185,128035,698,1238
510000,四川省,2009,,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,,
510000,四川省,2007,,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,,
