省份编码,省份,年份,民用机动运输船数(艘),民用机动船净载重量(吨),民用机动船载客量(客位),民用机动船拖船功率(千瓦),民用驳船运输船数(艘),民用驳船净载重量(吨),民用驳船载客量(客位)
140000,山西省,2012,248,3377,3304,,,,
140000,山西省,2011,244,3314,2841,,,,
140000,山西省,2010,249,3462,3079,,,,
140000,山西省,2009,217,5457,2715,,,,
140000,山西省,2008,140,2580,1978,,,,
140000,山西省,2007,192,5757,2745,,,,
140000,山西省,2006,180,1876,2728,,,,
140000,山西省,2005,231,8921,5450,,,,
140000,山西省,2004,228,8321,5450,,,,
140000,山西省,2003,154,2145,895,,,,
140000,山西省,2002,177,1225,1626,,130,183,416
140000,山西省,2001,177,1225,1626,,130,183,416
140000,山西省,2000,214,1282,1801,,1,28,
150000,内蒙古自治区,2019,,,,,,,
150000,内蒙古自治区,2018,,,,,,,
150000,内蒙古自治区,2017,,,,,,,
150000,内蒙古自治区,2016,623,,,,,,
150000,内蒙古自治区,2015,,,,,,,
150000,内蒙古自治区,2014,,,,,,,
150000,内蒙古自治区,2013,,,,,,,
150000,内蒙古自治区,2012,,,,,,,
150000,内蒙古自治区,2011,,,,,,,
150000,内蒙古自治区,2010,,,,,,,
150000,内蒙古自治区,2009,,,,,,,
150000,内蒙古自治区,2008,,,,,,,
150000,内蒙古自治区,2007,,,,,,,
150000,内蒙古自治区,2006,,,,,,,
150000,内蒙古自治区,2005,,,,,,,
150000,内蒙古自治区,2004,,,,,,,
150000,内蒙古自治区,2003,,,,,,,
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,447,10539422.0,33070,17280,9,29197,
210000,辽宁省,2018,461,10102920.0,33092,18508,10,34197,
210000,辽宁省,2017,468,8634817,32097,23588,10,34197,
210000,辽宁省,2016,462,8460523,30004,23588,9,30668,
210000,辽宁省,2015,493,8067965,30326,23611,7,21721,
210000,辽宁省,2014,528,8049073,30306,27045,7,21721,
210000,辽宁省,2013,524,8064843,29919,15763,10,31108,
210000,辽宁省,2012,557,8082426,29639,20181,17,31006,
210000,辽宁省,2011,554,7623190,27216,9682,10,32719,
210000,辽宁省,2010,542,7162711,26034,8286,11,40011,
210000,辽宁省,2009,716,6174523,23731,13390,20,48214,
210000,辽宁省,2008,839,5057698,26269,9212,23,38651,
210000,辽宁省,2007,821,4363813,25785,17591,19,28053,
210000,辽宁省,2006,771,4005899,27217,15481,27,21139,
210000,辽宁省,2005,735,2981843,27591,18467,25,12710,
210000,辽宁省,2004,710,2932628,22145,15821,21,7752,
210000,辽宁省,2003,629,2321532,21008,15530,22,6704,
210000,辽宁省,2002,658,1713746,23109,16220,40,16333,
210000,辽宁省,2001,723,1372439,22549,21764,72,20120,
210000,辽宁省,2000,776,1463476,29999,17557,58,19841,
220000,吉林省,2019,289,7300,10071,220,16,8686,
220000,吉林省,2018,350,10151,11376,1360,17,10450,
220000,吉林省,2017,407,12064,11052,2794,27,14250,
220000,吉林省,2016,708,12064,15669,3066,28,14850,
220000,吉林省,2015,728,12418,15596,4476,30,16046,
220000,吉林省,2014,932,22620,19865,5020,33,17110,
220000,吉林省,2013,866,24451,20053,5042,31,16150,
220000,吉林省,2012,884,25694,19700,4112,29,16000,
220000,吉林省,2011,829,22276,18653,4112,29,15650,
220000,吉林省,2010,842,22988,18044,4112,29,15650,
220000,吉林省,2009,919,21057,19131,4112,29,15650,
220000,吉林省,2008,748,12191,18071,4612,31,16400,
220000,吉林省,2007,818,13863,20445,4612,31,16400,
220000,吉林省,2006,797,11191,17826,3572,41,14260,
220000,吉林省,2005,589,10244,11494,3572,41,15640,
220000,吉林省,2004,562,5893,12144,2931,30,13440,
220000,吉林省,2003,544,5789,11845,2931,30,13440,
220000,吉林省,2002,552,6326,11499,3352,33,14840,
220000,吉林省,2001,580,6520,11833,3909,33,14840,
220000,吉林省,2000,574,6517,11717,3909,33,14840,
230000,黑龙江省,2019,1119,98546,23990,33330,284,180565,
230000,黑龙江省,2018,1148,177766,22953,37210,290,183265,
230000,黑龙江省,2017,1191,162763,22295,39514,315,193400,
230000,黑龙江省,2016,1208,107531,20809,42065,335,203360,
230000,黑龙江省,2015,1239,102150,20427,49512,350,210090,
230000,黑龙江省,2014,1260,90906,21821,75561,351,211038,
230000,黑龙江省,2013,1251,82385,22186,41453,351,211038,
230000,黑龙江省,2012,1238,25776,22578,42041,354,212343,
230000,黑龙江省,2011,1233,25412,23247,42866,359,215206,
230000,黑龙江省,2010,1205,25167,22819,42866,359,215206,
230000,黑龙江省,2009,1176,24985,21804,44084,358,215747,
230000,黑龙江省,2008,1182,37723,21739,44648,353,214136,
230000,黑龙江省,2007,1094,38284,19937,48026,372,219923,
230000,黑龙江省,2006,1143,34913,16508,51723,402,229839,150
230000,黑龙江省,2005,1123,46235,15795,50220,396,226648,150
230000,黑龙江省,2004,1100,43955,14619,51342,396,227800,150
230000,黑龙江省,2003,1027,44229,13613,52275,397,226960,150
230000,黑龙江省,2002,533,43699,11164,43491,353,198312,
230000,黑龙江省,2001,431,24393,9778,43298,376,216183,
230000,黑龙江省,2000,306,40716,10079,47285,414,247565,
310000,上海市,2019,1515,24600268.0,39276,100382,43,117339,
310000,上海市,2018,1414,21320700.0,38075,96800,47,122339,
310000,上海市,2017,1454,31920168.0,39741,99712,47,122339,
310000,上海市,2016,1450,31870977.0,39330,81379,22,46137,
310000,上海市,2015,1710,36502772.0,44520,87970,53,127938,
310000,上海市,2014,1738,35895783.0,55496,94786,64,129248,
310000,上海市,2013,1693,30407440.0,71913,99736,71,149377,
310000,上海市,2012,1839,31478726.0,75609,99004,73,158214,
310000,上海市,2011,1914,33741706.0,67074,109179,107,159924,
310000,上海市,2010,1951,29568628.0,94262,109825,118,167319,
310000,上海市,2009,1911,23944184.0,73929,101141,132,117542,
310000,上海市,2008,1926,20165167.0,86248,98959,218,120468,
310000,上海市,2007,2347,20440137.0,85471,112574,431,208285,
310000,上海市,2006,2273,16226364.0,83613,110412,468,301902,
310000,上海市,2005,2016,16939040.0,82126,97542,546,286839,
310000,上海市,2004,2077,13537516.0,79273,101767,603,263081,
310000,上海市,2003,2309,9904592,79445,91264,663,290801,
310000,上海市,2002,1901,7156025,82064,86528,623,269948,
310000,上海市,2001,1870,9036369,84691,70937,842,322360,
310000,上海市,2000,2236,7120655,93914,101701,949,322476,
320000,江苏省,2019,27291,36397604.0,48430,350574,3124,2639972,
320000,江苏省,2018,28631,36970536.0,50825,353935,4072,3229548,
320000,江苏省,2017,30732,38657510.0,43001,388334,5135,3743001,
320000,江苏省,2016,34888,40314425.0,50957,394003,6465,4276496,
320000,江苏省,2015,36339,39873291.0,45158,401395,6922,3923201,
320000,江苏省,2014,38368,36854022.0,44150,398680,7790,4046987,
320000,江苏省,2013,39378,39354712.0,53534,375434,8396,3777253,
320000,江苏省,2012,39645,36241329.0,41121,336206,9173,3607988,
320000,江苏省,2011,39374,33568546.0,55236,323190,9925,3703496,
320000,江苏省,2010,38347,24532403.0,28857,276556,10744,4315330,
320000,江苏省,2009,32643,15587975.0,24051,316535,14097,4654137,
320000,江苏省,2008,32405,11844833.0,8948,329794,13464,4582808,
320000,江苏省,2007,34473,11909783.0,37627,323002,14228,4743419,1205
320000,江苏省,2006,29688,10101046.0,59996,370498,13605,4055454,2518
320000,江苏省,2005,34464,8943490,41284,367871,16777,4628016,1914
320000,江苏省,2004,38028,7522191,32913,372940,18767,4675784,598
320000,江苏省,2003,38076,6352836,20903,359167,15687,3726218,735
320000,江苏省,2002,39512,4326773,18956,317522,13504,2854931,1117
320000,江苏省,2001,40428,4236142,24747,322760,15267,2946509,2059
320000,江苏省,2000,53941,4327641,31413,349564,18777,3023188,1748
330000,浙江省,2019,13912,30800144.0,89186,164618,1,10498,
330000,浙江省,2018,14284,30276211.0,87364,152354,3,13370,
330000,浙江省,2017,14497,25874061.0,88679,146862,26,7092,
330000,浙江省,2016,15904,25836993.0,85514,121464,67,16250,
330000,浙江省,2015,16241,23631797.0,81257,106454,75,22319,
330000,浙江省,2014,17447,23988753.0,78133,110899,334,64321,
330000,浙江省,2013,17732,23684637.0,77531,112709,476,90685,
330000,浙江省,2012,18929,22512622.0,76854,88959,655,99757,
330000,浙江省,2011,19383,20668556.0,75769,83711,770,109515,
330000,浙江省,2010,20498,18004797.0,72693,79222,941,120990,
330000,浙江省,2009,20658,15382476.0,73530,80866,1073,120808,
330000,浙江省,2008,22384,12769360.0,71865,83951,1311,145951,
330000,浙江省,2007,23290,11865113.0,70690,61928,1584,173095,
330000,浙江省,2006,25128,11286431.0,70932,57121,1970,209619,
330000,浙江省,2005,26873,10114637.0,63940,54597,2569,256539,
330000,浙江省,2004,28827,8062402,61462,50702,2972,274842,346
330000,浙江省,2003,30756,6715360,60304,52857,2858,269314,557
330000,浙江省,2002,34421,5507345,58808,50741,2830,265824,1010
330000,浙江省,2001,34851,4632714,64195,47804,3042,273695,729
330000,浙江省,2000,35631,3960271,67414,50218,3177,279347,1027
340000,安徽省,2019,24145,48013504.0,12985,30952,805,418653,
340000,安徽省,2018,24308,46649669.0,14782,29763,757,393021,
340000,安徽省,2017,24488,45763082.0,15151,39394,1021,503208,
340000,安徽省,2016,27580,46362858.0,14396,40562,1267,608964,
340000,安徽省,2015,27475,41520161.0,14909,40295,1325,617580,
340000,安徽省,2014,27938,36123283.0,14727,41926,1559,679871,
340000,安徽省,2013,27193,31035562.0,15193,39771,1528,716437,
340000,安徽省,2012,27505,26775398.0,15726,46633,1976,716284,
340000,安徽省,2011,27691,25233638.0,16391,49320,2037,759670,
340000,安徽省,2010,27041,19960494.0,15666,51433,2145,795388,
340000,安徽省,2009,25446,15237162.0,14255,50656,2174,755678,
340000,安徽省,2008,24793,13802664.0,12753,52408,2172,748688,
340000,安徽省,2007,25139,13465734.0,15862,53908,2254,759677,
340000,安徽省,2006,28836,13878391.0,19491,70336,3026,895483,
340000,安徽省,2005,30439,13025088.0,14340,61696,2933,811238,
340000,安徽省,2004,28439,10441864.0,19305,64857,3154,764959,
340000,安徽省,2003,23875,6716383,20705,62535,3282,745616,
340000,安徽省,2002,21382,5538900,16929,60721,3757,729984,
340000,安徽省,2001,19459,3483438,28112,57517,3977,674503,
340000,安徽省,2000,21657,2887461,33325,53281,3732,557343,
350000,福建省,2019,1688,11542080.0,32805,13880,2,1180,
350000,福建省,2018,1798,10875673.0,33223,21644,2,1180,
350000,福建省,2017,1761,9720530,31750,8204,1,1128,
350000,福建省,2016,1936,9307836,31861,14944,4,6261,
350000,福建省,2015,1955,8930481,31915,14944,4,6427,
350000,福建省,2014,2090,8506014,30474,17020,4,6427,
350000,福建省,2013,2169,7906718,30586,10216,5,6975,
350000,福建省,2012,2364,6863536,29172,23745,343,10667,
350000,福建省,2011,2383,6153825,28433,10687,345,10758,
350000,福建省,2010,2407,5680841,26839,3289,344,10770,
350000,福建省,2009,2426,4746596,26926,2398,349,10112,
350000,福建省,2008,2627,3962728,24938,2689,357,10001,
350000,福建省,2007,2788,3908520,25473,3161,240,9980,
350000,福建省,2006,2905,4001179,24492,5236,205,12966,
350000,福建省,2005,2890,3661363,25715,5236,147,23795,
350000,福建省,2004,2700,2811403,27935,5494,167,24823,
350000,福建省,2003,2589,2316028,27034,3384,21,10100,
350000,福建省,2002,2965,2232159,24823,8809,9,10420,
350000,福建省,2001,2990,2040656,27209,6325,7,2100,
350000,福建省,2000,2963,2087173,24269,8193,46,11800,
360000,江西省,2019,2384,2541705,13360,8018,2,1730,
360000,江西省,2018,2706,2524238,13665,8018,2,1730,
360000,江西省,2017,3060,2371268,11982,7136,2,1730,
360000,江西省,2016,3284,2227266,12276,764,9,5541,
360000,江西省,2015,3499,2374915,10697,764,9,5541,
360000,江西省,2014,3761,2346501,9876,1382,14,7611,
360000,江西省,2013,3926,2287031,10758,764,16,7581,
360000,江西省,2012,4156,2251231,10967,1849,34,15240,
360000,江西省,2011,4127,2083039,11614,1845,38,16840,
360000,江西省,2010,4184,1962782,11811,2226,37,17560,
360000,江西省,2009,4051,1650380,13680,2402,36,17340,
360000,江西省,2008,4927,1447237,15013,4287,44,15466,
360000,江西省,2007,5174,1385338,14789,6854,84,25565,
360000,江西省,2006,5308,1266766,15540,6877,102,29638,
360000,江西省,2005,5418,1123022,17345,7731,127,33073,
360000,江西省,2004,3978,746964,15832,7477,146,30898,
360000,江西省,2003,4408,524362,15851,9744,173,48276,
360000,江西省,2002,4348,429454,14511,10214,200,56403,
360000,江西省,2001,4221,369036,14661,12530,276,64760,
360000,江西省,2000,4511,356441,16172,12186,345,74504,
370000,山东省,2019,6425,13170015.0,71810,328217,4068,3963188,
370000,山东省,2018,6265,12573410.0,66419,339775,4219,4017449,
370000,山东省,2017,6658,13681287.0,66738,362767,4702,4418452,
370000,山东省,2016,7374,14211491.0,69899,373190,5314,4875329,
370000,山东省,2015,7549,12555534.0,69793,371721,5501,4991007,
370000,山东省,2014,7789,11773276.0,67145,346751,4819,4204306,
370000,山东省,2013,7524,11042793.0,63273,266443,4500,3849157,
370000,山东省,2012,7336,10321773.0,59260,280903,4990,3977943,
370000,山东省,2011,6499,9172710,53007,303322,4875,3789976,
370000,山东省,2010,6249,7991681,52345,216957,5048,3909590,
370000,山东省,2009,5684,6643346,47206,194039,5823,4348095,
370000,山东省,2008,6094,5315195,42367,245810,9484,4677495,
370000,山东省,2007,4917,4614235,24550,232651,10408,4164726,
370000,山东省,2006,3836,4423791,21682,188027,11042,4173735,
370000,山东省,2005,4020,4063385,19709,179032,11536,2665833,
370000,山东省,2004,3370,3024973,19899,150129,10310,2731360,
370000,山东省,2003,3070,2888680,17150,150596,9458,2090680,
370000,山东省,2002,2093,2640360,16148,113501,7403,2096853,
370000,山东省,2001,2557,2469405,16576,114369,8487,1683884,
370000,山东省,2000,4053,2707883,14480,97740,7578,1152296,
410000,河南省,2019,5153,9503425,14680,3938,314,302979,
410000,河南省,2018,5153,10128681.0,14090,5242,316,301765,
410000,河南省,2017,5302,9859565,15067,3231,303,273890,
410000,河南省,2016,5296,9120893,14144,3752,306,273875,
410000,河南省,2015,5202,7867749,14052,3889,308,269129,
410000,河南省,2014,5166,6425401,12227,3306,279,229940,
410000,河南省,2013,5088,5846995,11329,2745,108,40834,
410000,河南省,2012,5001,5203456,11835,2824,120,43462,
410000,河南省,2011,4855,4465849,12062,3253,133,46873,
410000,河南省,2010,4916,3565860,9836,3347,127,39071,
410000,河南省,2009,4628,2745987,9273,3314,137,41198,
410000,河南省,2008,4650,2328169,11257,3297,146,43838,
410000,河南省,2007,4957,2531337,11672,3883,193,47565,
410000,河南省,2006,4493,2364520,6419,2750,194,39741,
410000,河南省,2005,4687,1908984,6115,3068,431,111635,
410000,河南省,2004,4657,1596455,6211,4467,323,45211,
410000,河南省,2003,3690,1104321,6338,4630,396,69259,
410000,河南省,2002,3345,751851,7484,5707,441,71655,
410000,河南省,2001,3352,551536,7378,5571,450,69645,
410000,河南省,2000,3314,444081,6237,5356,418,59852,
420000,湖北省,2019,3270,7076475,34747,42606,96,201435,
420000,湖北省,2018,3172,6720831,33345,47007,106,209505,
420000,湖北省,2017,3466,7132533,37766,51163,129,246671,
420000,湖北省,2016,3857,7307685,45012,58436,153,250300,
420000,湖北省,2015,4155,7391699,42647,56237,202,318927,
420000,湖北省,2014,4501,7274567,45671,55833,243,349069,
420000,湖北省,2013,4562,7340798,41611,57898,232,271509,
420000,湖北省,2012,4531,7989735,38020,52675,364,350912,44
420000,湖北省,2011,4884,7392408,38724,122693,621,697817,
420000,湖北省,2010,4634,5698208,36815,139305,868,1107114,
420000,湖北省,2009,4175,3780696,35248,190737,1285,1700765,
420000,湖北省,2008,4270,3274338,37705,204475,1287,1657512,
420000,湖北省,2007,4338,2324029,36779,166317,903,1086750,
420000,湖北省,2006,4290,2065886,39097,156173,1169,1146538,
420000,湖北省,2005,4158,1777916,38273,114181,1204,1079010,
420000,湖北省,2004,3759,1178888,29689,127638,1338,1155732,
420000,湖北省,2003,4153,890844,36611,205150,1751,1529491,56
420000,湖北省,2002,4211,575837,37404,196607,1769,1163572,
420000,湖北省,2001,3833,502206,80313,226312,2250,1554016,
420000,湖北省,2000,4357,477665,86913,234716,2551,1637924,
430000,湖南省,2019,4484,4265631,59886,2398,240,34967,1924
430000,湖南省,2018,4895,4285244,69161,844,236,22927,1924
430000,湖南省,2017,5235,4186165,67794,4865,260,40051,2038
430000,湖南省,2016,5910,4120699,68198,4072,257,33481,1998
430000,湖南省,2015,7104,3996331,67699,7251,36,43743,265
430000,湖南省,2014,7326,3308829,73339,7280,36,47183,220
430000,湖南省,2013,8015,2977560,73236,7813,52,51848,365
430000,湖南省,2012,8242,2784354,76246,7330,55,55263,445
430000,湖南省,2011,8607,2683183,75855,7200,124,51772,1253
430000,湖南省,2010,7226,1952058,69511,8408,43,31860,90
430000,湖南省,2009,9897,1827896,86642,11896,97,27721,128
430000,湖南省,2008,9345,1364616,81377,9481,144,29008,
430000,湖南省,2007,8777,1130238,78640,10667,130,41675,47
430000,湖南省,2006,8854,976104,76580,13168,572,45674,3948
430000,湖南省,2005,8772,842444,74802,14801,469,64501,2335
430000,湖南省,2004,8800,649198,76885,16242,449,73391,2167
430000,湖南省,2003,8676,532624,73866,16135,353,77982,1167
430000,湖南省,2002,9191,535836,70126,18363,426,92524,
430000,湖南省,2001,9538,511938,67376,20195,397,105833,
430000,湖南省,2000,8987,483799,70519,22944,507,114917,
440000,广东省,2019,7136,22501188.0,79664,93131,7,15742,
440000,广东省,2018,7781,21832651.0,81238,114618,12,25255,
440000,广东省,2017,8274,22802909.0,82419,116703,16,26108,
440000,广东省,2016,8047,21070409.0,80664,121418,18,26758,
440000,广东省,2015,8716,27035487.0,80219,104060,19,28220,
440000,广东省,2014,8709,27280531.0,83020,114621,19,33717,
440000,广东省,2013,8474,24013693.0,78700,92111,20,33208,
440000,广东省,2012,8545,22551663.0,78953,59607,18,29872,
440000,广东省,2011,8657,15291361.0,72935,70278,21,33083,
440000,广东省,2010,8793,11407067.0,65960,45712,23,29318,
440000,广东省,2009,9310,9725373,65322,43794,23,27934,
440000,广东省,2008,10701,8150148,70305,49499,34,47638,
440000,广东省,2007,12126,7415188,72835,47554,44,51129,
440000,广东省,2006,12644,7851907,71688,45016,72,70648,
440000,广东省,2005,12885,7093274,68045,40175,82,68691,
440000,广东省,2004,13286,6630798,71032,44125,116,78937,
440000,广东省,2003,13258,5838700,79194,49123,145,99995,
440000,广东省,2002,13306,4787797,56926,60669,190,104353,590
440000,广东省,2001,16718,5187119,79070,70222,401,184534,144
440000,广东省,2000,17188,5520072,61490,66533,470,190910,78
450000,广西壮族自治区,2019,6532,10518890.0,28653,,,,
450000,广西壮族自治区,2018,7833,9461461,102204,,,,
450000,广西壮族自治区,2017,7964,8815579,103656,,2,1250,
450000,广西壮族自治区,2016,8756,8902086,117832,882,4,3250,
450000,广西壮族自治区,2015,9000,8197392,119982,882,4,3250,
450000,广西壮族自治区,2014,9074,7727187,114367,882,4,3250,
450000,广西壮族自治区,2013,8658,7426921,103685,882,4,3250,
450000,广西壮族自治区,2012,8873,6811525,111394,1018,7,6138,
450000,广西壮族自治区,2011,8668,6209481,103264,1018,7,6138,
450000,广西壮族自治区,2010,8793,5133871,112138,1018,7,6138,
450000,广西壮族自治区,2009,8597,4347703,99543,1018,7,6138,
450000,广西壮族自治区,2008,8226,3645151,92488,1018,7,6138,
450000,广西壮族自治区,2007,8573,2908689,88649,2488,9,6898,
450000,广西壮族自治区,2006,8608,2245269,93556,2550,9,6872,
450000,广西壮族自治区,2005,8307,2036047,89716,966,10,6740,
450000,广西壮族自治区,2004,8182,1656096,89207,1477,10,6042,
450000,广西壮族自治区,2003,8352,1388701,95688,1687,20,9440,
450000,广西壮族自治区,2002,8641,1118569,91881,2002,29,11577,
450000,广西壮族自治区,2001,9886,1004495,111227,3154,37,10972,16
450000,广西壮族自治区,2000,8472,849281,83676,7039,110,32725,
460000,海南省,2019,498,3580487,41306,2942,,,
460000,海南省,2018,486,3180501,40753,2942,,,
460000,海南省,2017,513,1948035,40195,,,,
460000,海南省,2016,478,1706942,26186,,1,973,
460000,海南省,2015,462,1709880,36435,,2,1614,
460000,海南省,2014,500,1798024,34510,,2,1614,
460000,海南省,2013,521,1797693,30408,,2,1614,
460000,海南省,2012,536,1735293,30807,,,,
460000,海南省,2011,512,2235746,23171,,,,
460000,海南省,2010,497,747403,18724,,,,
460000,海南省,2009,511,564483,20276,,,,
460000,海南省,2008,461,600178,19348,,,,
460000,海南省,2007,501,589972,20139,,,,
460000,海南省,2006,712,763001,18899,,2,2000,
460000,海南省,2005,695,377490,18754,2309,4,5448,
460000,海南省,2004,695,391948,15893,1205,4,5448,
460000,海南省,2003,636,482256,15269,8979,5,5548,
460000,海南省,2002,795,502394,16944,7590,12,12100,
460000,海南省,2001,879,568236,18882,7590,12,12500,
460000,海南省,2000,462,809310,16950,8287,15,14000,
500000,重庆市,2019,2783,7511731,42765,18830,35,58171,
500000,重庆市,2018,2774,7133347,41720,17386,32,50460,
500000,重庆市,2017,2907,6663380,43205,15226,29,44746,
500000,重庆市,2016,3322,6341232,56378,12798,45,77548,
500000,重庆市,2015,3512,6151351,70396,12055,54,98393,
500000,重庆市,2014,3478,5487398,74757,13217,53,88210,
500000,重庆市,2013,3620,5082148,83372,12145,80,118824,
500000,重庆市,2012,3916,4964843,93491,16440,95,137229,
500000,重庆市,2011,3980,4436023,100707,13144,180,166284,
500000,重庆市,2010,3941,3838140,117985,12434,427,375682,
500000,重庆市,2009,3658,3087206,121191,41328,481,515618,
500000,重庆市,2008,3702,2813509,131150,61982,555,583552,
500000,重庆市,2007,3592,2598250,119444,85789,628,598349,
500000,重庆市,2006,3544,2509997,118790,84983,634,571794,
500000,重庆市,2005,3274,1937189,115175,101524,634,548766,
500000,重庆市,2004,3048,1150138,124342,115530,954,524270,1492
500000,重庆市,2003,2933,635881,134842,120638,787,481426,
500000,重庆市,2002,3331,374222,152204,130152,915,537643,
500000,重庆市,2001,3239,254096,164253,137813,1143,600819,
500000,重庆市,2000,3220,259838,156198,147568,1268,640818,
510000,四川省,2019,4307,1269653,45878,15143,853,52518,
510000,四川省,2018,4431,1281496,47565,16289,885,54872,
510000,四川省,2017,5525,1318554,61559,15825,941,57578,
510000,四川省,2016,6216,1159658,77272,15785,1049,61206,
510000,四川省,2015,6435,1131900,80760,14957,1054,57555,
510000,四川省,2014,6564,1091129,83672,15297,1078,55438,
510000,四川省,2013,6582,1034812,86805,15098,1032,51589,
510000,四川省,2012,7490,983911,96273,17351,1395,57320,724
510000,四川省,2011,7502,891346,104644,14325,1190,58398,
510000,四川省,2010,7350,728746,109538,14019,1064,62813,
510000,四川省,2009,7225,527178,117376,14452,1015,54777,222
510000,四川省,2008,7452,533647,137633,17157,1974,76791,12136
510000,四川省,2007,8190,490521,144368,16571,2142,82728,14932
510000,四川省,2006,8281,467622,146103,18526,2340,78197,19193
510000,四川省,2005,8669,383508,155334,20554,2689,72453,19935
510000,四川省,2004,8963,267943,150578,26464,3173,90646,18139
510000,四川省,2003,9246,200894,147530,24120,3606,99498,17341
510000,四川省,2002,9381,172240,146637,27566,3646,104924,19266
510000,四川省,2001,8636,134931,136677,30168,3694,134588,18203
510000,四川省,2000,7912,106726,131027,37355,3680,163038,11975
520000,贵州省,2019,2079,144271,55446,,2,308,
520000,贵州省,2018,2057,152449,54654,,2,308,
520000,贵州省,2017,2106,176267,54349,,2,308,
520000,贵州省,2016,2109,133558,50152,,7,1428,
520000,贵州省,2015,2010,130405,50312,,7,1428,
520000,贵州省,2014,2025,129525,48837,,25,4658,
520000,贵州省,2013,1992,125068,43563,141,26,4353,
520000,贵州省,2012,2404,125921,45043,1950,96,15105,80
520000,贵州省,2011,2158,100313,38490,2130,100,15450,80
520000,贵州省,2010,2090,97782,36629,5010,120,10799,380
520000,贵州省,2009,1948,76585,33036,3013,115,18535,
520000,贵州省,2008,1948,80047,32394,3233,122,20239,
520000,贵州省,2007,1991,94239,30053,3458,126,19668,
520000,贵州省,2006,1876,82643,27546,2788,140,20860,
520000,贵州省,2005,2153,61766,26131,3015,151,22088,
520000,贵州省,2004,2000,52180,26594,5588,139,20863,
520000,贵州省,2003,1945,36235,33759,6706,152,23242,
520000,贵州省,2002,1830,20192,30607,7074,156,25842,
520000,贵州省,2001,1880,22600,24154,7073,158,25789,
