省份编码,省份,年份,人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
150000,内蒙古自治区,2017,9.47,5.74,3.73
150000,内蒙古自治区,2016,9.03,5.69,3.34
150000,内蒙古自治区,2015,7.72,5.32,2.4
150000,内蒙古自治区,2014,9.31,5.75,3.56
150000,内蒙古自治区,2013,8.98,5.62,3.36
150000,内蒙古自治区,2012,9.17,5.52,3.65
150000,内蒙古自治区,2011,8.94,5.43,3.51
150000,内蒙古自治区,2010,9.3,5.54,3.76
150000,内蒙古自治区,2009,9.57,5.61,3.96
150000,内蒙古自治区,2008,9.81,5.54,4.27
150000,内蒙古自治区,2007,10.21,5.73,4.48
150000,内蒙古自治区,2006,9.87,5.91,3.96
150000,内蒙古自治区,2005,10.08,5.46,4.62
150000,内蒙古自治区,2004,9.53,5.98,3.55
150000,内蒙古自治区,2003,9.24,6.17,3.07
150000,内蒙古自治区,2002,9.6,5.92,3.68
150000,内蒙古自治区,2001,10.77,5.79,4.98
150000,内蒙古自治区,2000,9.9,5.5,4.4
210000,辽宁省,2019,6.45,7.25,-0.8
210000,辽宁省,2018,6.39,7.39,-1
210000,辽宁省,2017,6.49,6.93,-0.44
210000,辽宁省,2016,6.6,6.78,-0.18
210000,辽宁省,2015,6.17,6.59,-0.42
210000,辽宁省,2014,6.49,6.23,0.26
210000,辽宁省,2013,6.09,6.12,-0.03
210000,辽宁省,2012,6.15,6.54,-0.39
210000,辽宁省,2011,5.71,6.05,-0.34
210000,辽宁省,2010,6.68,6.26,0.42
210000,辽宁省,2009,6.06,5.09,0.97
210000,辽宁省,2008,6.32,5.22,1.1
210000,辽宁省,2007,6.89,5.36,1.53
210000,辽宁省,2006,6.4,5.3,1.1
210000,辽宁省,2005,7.01,6.04,0.97
210000,辽宁省,2004,6.51,5.6,0.91
210000,辽宁省,2003,6.9,5.83,1.07
210000,辽宁省,2002,7.38,6.04,1.34
210000,辽宁省,2001,7.74,6.1,1.64
210000,辽宁省,2000,10.7,6.7,4
220000,吉林省,2019,6.05,6.9,-0.85
220000,吉林省,2018,6.62,6.26,0.36
220000,吉林省,2017,6.76,6.5,0.26
220000,吉林省,2016,5.55,5.6,-0.05
220000,吉林省,2015,5.87,5.53,0.34
220000,吉林省,2014,6.62,6.22,0.4
220000,吉林省,2013,5.36,5.04,0.32
220000,吉林省,2012,5.73,5.37,0.36
220000,吉林省,2011,6.53,5.51,1.02
220000,吉林省,2010,7.91,5.88,2.03
220000,吉林省,2009,6.69,4.74,1.95
220000,吉林省,2008,6.65,5.04,1.61
220000,吉林省,2007,7.55,5.05,2.5
220000,吉林省,2006,7.67,5,2.67
220000,吉林省,2005,7.89,5.32,2.57
220000,吉林省,2004,7.39,5.63,1.76
220000,吉林省,2003,7.25,5.64,1.61
220000,吉林省,2002,8.3,5.11,3.19
220000,吉林省,2001,8.76,5.38,3.38
220000,吉林省,2000,10.31,5.85,4.46
230000,黑龙江省,2019,5.73,6.74,-1.01
230000,黑龙江省,2018,5.98,6.67,-0.69
230000,黑龙江省,2017,6.22,6.63,-0.41
230000,黑龙江省,2016,6.12,6.61,-0.49
230000,黑龙江省,2015,6,6.6,-0.6
230000,黑龙江省,2014,7.37,6.46,0.91
230000,黑龙江省,2013,6.86,6.08,0.78
230000,黑龙江省,2012,7.3,6.03,1.27
230000,黑龙江省,2011,6.99,5.92,1.07
230000,黑龙江省,2010,7.35,5.03,2.32
230000,黑龙江省,2009,7.48,5.42,2.06
230000,黑龙江省,2008,7.91,5.68,2.23
230000,黑龙江省,2007,7.88,5.39,2.49
230000,黑龙江省,2006,7.57,5.18,2.39
230000,黑龙江省,2005,7.87,5.2,2.67
230000,黑龙江省,2004,7.27,5.45,1.82
230000,黑龙江省,2003,7.48,5.45,2.03
230000,黑龙江省,2002,7.98,5.44,2.54
230000,黑龙江省,2001,8.48,5.49,2.99
230000,黑龙江省,2000,,,
310000,上海市,2019,7,5.5,1.5
310000,上海市,2018,7.2,5.4,1.8
310000,上海市,2017,8.1,5.3,2.8
310000,上海市,2016,9,5,4
310000,上海市,2015,7.52,5.07,2.45
310000,上海市,2014,8.35,5.21,3.14
310000,上海市,2013,8.18,5.24,2.94
310000,上海市,2012,9.56,5.36,4.2
310000,上海市,2011,6.97,5.1,1.87
310000,上海市,2010,7.05,5.07,1.98
310000,上海市,2009,8.64,5.94,2.7
310000,上海市,2008,8.89,6.17,2.72
310000,上海市,2007,9.07,6.03,3.04
310000,上海市,2006,7.47,5.89,1.58
310000,上海市,2005,7.04,6.08,0.96
310000,上海市,2004,6,6,0
310000,上海市,2003,4.85,6.2,-1.35
310000,上海市,2002,5.41,5.95,-0.54
310000,上海市,2001,5.02,5.97,-0.95
310000,上海市,2000,5.3,7.2,-1.9
320000,江苏省,2019,9.12,7.04,2.08
320000,江苏省,2018,9.32,7.03,2.29
320000,江苏省,2017,9.71,7.03,2.68
320000,江苏省,2016,9.76,7.03,2.73
320000,江苏省,2015,9.05,7.03,2.02
320000,江苏省,2014,9.45,7.02,2.43
320000,江苏省,2013,9.44,7.01,2.43
320000,江苏省,2012,9.44,6.99,2.45
320000,江苏省,2011,9.59,6.98,2.61
320000,江苏省,2010,9.73,6.88,2.85
320000,江苏省,2009,9.55,6.99,2.56
320000,江苏省,2008,9.34,7.04,2.3
320000,江苏省,2007,9.37,7.07,2.3
320000,江苏省,2006,9.36,7.08,2.28
320000,江苏省,2005,9.24,7.03,2.21
320000,江苏省,2004,9.45,7.2,2.25
320000,江苏省,2003,9.04,7.03,2.01
320000,江苏省,2002,9.17,6.99,2.18
320000,江苏省,2001,9.03,6.62,2.41
320000,江苏省,2000,9.08,6.52,2.56
330000,浙江省,2019,10.51,5.52,4.99
330000,浙江省,2018,11.02,5.58,5.44
330000,浙江省,2017,11.92,5.56,6.36
330000,浙江省,2016,11.22,5.52,5.7
330000,浙江省,2015,10.52,5.5,5.02
330000,浙江省,2014,10.51,5.51,5
330000,浙江省,2013,10.01,5.45,4.56
330000,浙江省,2012,10.12,5.52,4.6
330000,浙江省,2011,9.47,5.4,4.07
330000,浙江省,2010,10.27,5.54,4.73
330000,浙江省,2009,10.22,5.59,4.63
330000,浙江省,2008,10.2,5.62,4.58
330000,浙江省,2007,10.38,5.57,4.81
330000,浙江省,2006,10.29,5.42,4.87
330000,浙江省,2005,11.1,6.08,5.02
330000,浙江省,2004,10.71,5.76,4.95
330000,浙江省,2003,9.66,6.38,3.28
330000,浙江省,2002,9.98,6.19,3.79
330000,浙江省,2001,10.02,6.25,3.77
330000,浙江省,2000,10.3,6.13,4.17
340000,安徽省,2019,12.03,6.04,5.99
340000,安徽省,2018,12.41,5.96,6.45
340000,安徽省,2017,14.07,5.9,8.17
340000,安徽省,2016,13.02,5.96,7.06
340000,安徽省,2015,12.92,5.94,6.98
340000,安徽省,2014,12.86,5.89,6.97
340000,安徽省,2013,12.88,6.06,6.82
340000,安徽省,2012,13,6.14,6.86
340000,安徽省,2011,12.23,5.91,6.32
340000,安徽省,2010,12.7,5.95,6.75
340000,安徽省,2009,13.07,6.6,6.47
340000,安徽省,2008,13.05,6.6,6.45
340000,安徽省,2007,12.75,6.4,6.35
340000,安徽省,2006,12.6,6.3,6.3
340000,安徽省,2005,12.43,6.23,6.2
340000,安徽省,2004,11.62,5.5,6.12
340000,安徽省,2003,11.15,5.2,5.95
340000,安徽省,2002,11.2,5.17,6.03
340000,安徽省,2001,12.46,5.85,6.61
340000,安徽省,2000,13.4,5.76,7.64
350000,福建省,2019,12.9,6.1,6.8
350000,福建省,2018,13.2,6.2,7
350000,福建省,2017,15,6.2,8.8
350000,福建省,2016,14.5,6.2,8.3
350000,福建省,2015,13.9,6.1,7.8
350000,福建省,2014,13.7,6.2,7.5
350000,福建省,2013,12.2,6.01,6.19
350000,福建省,2012,12.74,5.73,7.01
350000,福建省,2011,11.41,5.2,6.21
350000,福建省,2010,11.27,5.16,6.11
350000,福建省,2009,12.2,6,6.2
350000,福建省,2008,12.2,5.9,6.3
350000,福建省,2007,11.9,5.9,6
350000,福建省,2006,12,5.75,6.25
350000,福建省,2005,11.6,5.62,5.98
350000,福建省,2004,11.58,5.62,5.96
350000,福建省,2003,11.43,5.58,5.85
350000,福建省,2002,11.35,5.57,5.78
350000,福建省,2001,11.56,5.52,6.04
350000,福建省,2000,11.6,5.85,5.75
360000,江西省,2019,12.59,6.03,6.56
360000,江西省,2018,13.43,6.06,7.37
360000,江西省,2017,13.79,6.08,7.71
360000,江西省,2016,13.45,6.16,7.29
360000,江西省,2015,13.2,6.24,6.96
360000,江西省,2014,13.24,6.26,6.98
360000,江西省,2013,13.19,6.28,6.91
360000,江西省,2012,13.46,6.14,7.32
360000,江西省,2011,13.48,5.98,7.5
360000,江西省,2010,13.72,6.06,7.66
360000,江西省,2009,13.87,5.98,7.89
360000,江西省,2008,13.92,6.01,7.91
360000,江西省,2007,13.86,5.99,7.87
360000,江西省,2006,13.8,6.01,7.79
360000,江西省,2005,13.79,5.96,7.83
360000,江西省,2004,13.61,5.99,7.62
360000,江西省,2003,14.07,5.98,8.09
360000,江西省,2002,14.74,6.02,8.72
360000,江西省,2001,15.44,6.06,9.38
360000,江西省,2000,15.55,6.07,9.48
370000,山东省,2019,11.77,7.5,4.27
370000,山东省,2018,13.26,7.18,6.08
370000,山东省,2017,17.54,7.4,10.14
370000,山东省,2016,17.89,7.05,10.84
370000,山东省,2015,12.55,6.67,5.88
370000,山东省,2014,14.23,6.84,7.39
370000,山东省,2013,11.41,6.4,5.01
370000,山东省,2012,11.9,6.95,4.95
370000,山东省,2011,11.5,6.4,5.1
370000,山东省,2010,11.65,6.26,5.39
370000,山东省,2009,11.7,6.08,5.62
370000,山东省,2008,11.25,6.16,5.09
370000,山东省,2007,11.11,6.11,5
370000,山东省,2006,11.6,6.1,5.5
370000,山东省,2005,12.14,6.31,5.83
370000,山东省,2004,12.5,6.49,6.01
370000,山东省,2003,11.42,6.64,4.78
370000,山东省,2002,11.17,6.62,4.55
370000,山东省,2001,11.12,6.24,4.88
370000,山东省,2000,11.38,6.7,4.68
410000,河南省,2019,11.02,6.84,4.18
410000,河南省,2018,11.72,6.8,4.92
410000,河南省,2017,12.95,6.97,5.98
410000,河南省,2016,13.26,7.11,6.15
410000,河南省,2015,12.7,7.05,5.65
410000,河南省,2014,12.8,7.02,5.78
410000,河南省,2013,12.27,6.76,5.51
410000,河南省,2012,11.87,6.71,5.16
410000,河南省,2011,11.56,6.62,4.94
410000,河南省,2010,11.52,6.57,4.95
410000,河南省,2009,11.45,6.46,4.99
410000,河南省,2008,11.42,6.45,4.97
410000,河南省,2007,11.26,6.32,4.94
410000,河南省,2006,11.59,6.27,5.32
410000,河南省,2005,11.55,6.3,5.25
410000,河南省,2004,11.67,6.47,5.2
410000,河南省,2003,12.1,6.46,5.64
410000,河南省,2002,12.41,6.38,6.03
410000,河南省,2001,13.2,6.26,6.94
410000,河南省,2000,13.07,5.93,7.14
420000,湖北省,2019,11.35,7.08,4.27
420000,湖北省,2018,11.54,7,4.54
420000,湖北省,2017,12.6,7.01,5.59
420000,湖北省,2016,12.04,6.97,5.07
420000,湖北省,2015,10.74,5.83,4.91
420000,湖北省,2014,11.86,6.96,4.9
420000,湖北省,2013,11.08,6.15,4.93
420000,湖北省,2012,11,6.12,4.88
420000,湖北省,2011,10.39,6.01,4.38
420000,湖北省,2010,10.36,6.02,4.34
420000,湖北省,2009,9.48,6,3.48
420000,湖北省,2008,9.21,6.5,2.71
420000,湖北省,2007,9.19,5.96,3.23
420000,湖北省,2006,9.08,5.95,3.13
420000,湖北省,2005,8.74,5.69,3.05
420000,湖北省,2004,8.43,6.03,2.4
420000,湖北省,2003,8.26,5.94,2.32
420000,湖北省,2002,8.38,6.17,2.21
420000,湖北省,2001,8.51,6.07,2.44
420000,湖北省,2000,9.71,6.01,3.7
430000,湖南省,2019,10.39,7.28,3.11
430000,湖南省,2018,12.19,7.08,5.11
430000,湖南省,2017,13.27,7.08,6.19
430000,湖南省,2016,13.57,7.01,6.56
430000,湖南省,2015,13.58,6.86,6.72
430000,湖南省,2014,13.52,6.89,6.63
430000,湖南省,2013,13.5,6.96,6.54
430000,湖南省,2012,13.58,7.01,6.57
430000,湖南省,2011,13.35,6.8,6.55
430000,湖南省,2010,13.1,6.7,6.4
430000,湖南省,2009,13.05,6.94,6.11
430000,湖南省,2008,12.68,7.28,5.4
430000,湖南省,2007,11.96,6.71,5.25
430000,湖南省,2006,11.92,6.73,5.19
430000,湖南省,2005,11.9,6.75,5.15
430000,湖南省,2004,11.89,6.8,5.09
430000,湖南省,2003,11.82,6.87,4.95
430000,湖南省,2002,11.56,6.7,4.86
430000,湖南省,2001,11.8,6.72,5.08
430000,湖南省,2000,11.45,6.79,4.66
440000,广东省,2019,12.54,4.46,8.08
440000,广东省,2018,12.79,4.55,8.24
440000,广东省,2017,13.68,4.52,9.16
440000,广东省,2016,11.85,4.41,7.44
440000,广东省,2015,11.12,4.32,6.8
440000,广东省,2014,10.8,4.7,6.1
440000,广东省,2013,10.71,4.69,6.02
440000,广东省,2012,11.6,4.65,6.95
440000,广东省,2011,10.45,4.35,6.1
440000,广东省,2010,11.18,4.21,6.97
440000,广东省,2009,11.78,4.52,7.26
440000,广东省,2008,11.8,4.55,7.25
440000,广东省,2007,11.96,4.66,7.3
440000,广东省,2006,11.78,4.49,7.29
440000,广东省,2005,11.7,4.68,7.02
440000,广东省,2004,13.13,5.12,8.01
440000,广东省,2003,13.66,5.31,8.35
440000,广东省,2002,13.29,5.08,8.21
440000,广东省,2001,13.95,5.12,8.83
440000,广东省,2000,15.32,5.4,9.92
450000,广西壮族自治区,2019,13.31,6.14,7.17
450000,广西壮族自治区,2018,14.12,5.96,8.16
450000,广西壮族自治区,2017,15.14,6.22,8.92
450000,广西壮族自治区,2016,13.82,5.95,7.87
450000,广西壮族自治区,2015,14.05,6.15,7.9
450000,广西壮族自治区,2014,14.07,6.21,7.86
450000,广西壮族自治区,2013,14.28,6.35,7.93
450000,广西壮族自治区,2012,14.2,6.31,7.89
450000,广西壮族自治区,2011,13.71,6.04,7.67
450000,广西壮族自治区,2010,14.13,5.48,8.65
450000,广西壮族自治区,2009,14.17,5.64,8.53
450000,广西壮族自治区,2008,14.4,5.7,8.7
450000,广西壮族自治区,2007,14.19,5.99,8.2
450000,广西壮族自治区,2006,14.44,6.1,8.34
450000,广西壮族自治区,2005,14.26,6.09,8.16
450000,广西壮族自治区,2004,13.32,6.12,7.2
450000,广西壮族自治区,2003,13.86,6.57,7.29
450000,广西壮族自治区,2002,13.3,6.3,7
450000,广西壮族自治区,2001,13.8,6.07,7.73
450000,广西壮族自治区,2000,13.6,5.7,7.9
460000,海南省,2019,12.87,6.11,6.76
460000,海南省,2018,14.48,6.01,8.47
460000,海南省,2017,14.73,6.01,8.72
460000,海南省,2016,14.57,6,8.57
460000,海南省,2015,14.57,6,8.57
460000,海南省,2014,14.56,5.95,8.61
460000,海南省,2013,14.59,5.9,8.69
460000,海南省,2012,14.66,5.81,8.85
460000,海南省,2011,14.72,5.75,8.97
460000,海南省,2010,14.71,5.73,8.98
460000,海南省,2009,14.66,5.7,8.96
460000,海南省,2008,14.71,5.72,8.99
460000,海南省,2007,14.62,5.71,8.91
460000,海南省,2006,14.59,5.73,8.86
460000,海南省,2005,14.65,5.72,8.93
460000,海南省,2004,14.77,5.79,8.98
460000,海南省,2003,14.68,5.52,9.16
460000,海南省,2002,15.2,5.72,9.48
460000,海南省,2001,15.23,5.76,9.47
460000,海南省,2000,15.67,5.8,9.87
500000,重庆市,2019,10.48,7.57,2.91
500000,重庆市,2018,11.02,7.54,3.48
500000,重庆市,2017,11.18,7.27,3.91
500000,重庆市,2016,11.77,7.24,4.53
500000,重庆市,2015,11.05,7.19,3.86
500000,重庆市,2014,10.67,7.05,3.62
500000,重庆市,2013,10.37,6.77,3.6
500000,重庆市,2012,10.86,6.86,4
500000,重庆市,2011,9.88,6.71,3.17
500000,重庆市,2010,9.17,6.4,2.77
500000,重庆市,2009,9.9,6.2,3.7
500000,重庆市,2008,10.1,6.3,3.8
500000,重庆市,2007,10.1,6.3,3.8
500000,重庆市,2006,9.9,6.5,3.4
500000,重庆市,2005,9.4,6.4,3
500000,重庆市,2004,9.45,6.6,2.85
500000,重庆市,2003,9.89,7.2,2.69
500000,重庆市,2002,9.36,6.08,3.28
500000,重庆市,2001,9.7,6.9,2.8
500000,重庆市,2000,11.43,7.98,3.45
510000,四川省,2019,10.7,7.09,3.61
510000,四川省,2018,11.05,7.01,4.04
510000,四川省,2017,11.26,7.03,4.23
510000,四川省,2016,10.48,6.99,3.49
510000,四川省,2015,10.3,6.94,3.36
510000,四川省,2014,10.22,7.02,3.2
510000,四川省,2013,9.9,6.9,3
510000,四川省,2012,9.89,6.92,2.97
510000,四川省,2011,9.79,6.81,2.98
510000,四川省,2010,8.93,6.62,2.31
510000,四川省,2009,9.15,6.43,2.72
510000,四川省,2008,9.54,7.15,2.39
510000,四川省,2007,9.21,6.29,2.92
510000,四川省,2006,9.14,6.28,2.86
510000,四川省,2005,9.7,6.8,2.9
510000,四川省,2004,9.05,6.27,2.78
510000,四川省,2003,9.18,6.06,3.12
510000,四川省,2002,10.44,6.55,3.89
510000,四川省,2001,11.16,6.79,4.37
510000,四川省,2000,12.1,7,5.1
520000,贵州省,2019,13.65,6.95,6.7
520000,贵州省,2018,13.9,6.85,7.05
520000,贵州省,2017,13.98,6.88,7.1
520000,贵州省,2016,13.43,6.93,6.5
520000,贵州省,2015,13,7.2,5.8
520000,贵州省,2014,12.98,7.18,5.8
520000,贵州省,2013,13.05,7.15,5.9
520000,贵州省,2012,13.27,6.96,6.31
520000,贵州省,2011,13.31,6.93,6.38
520000,贵州省,2010,13.96,6.55,7.41
520000,贵州省,2009,13.65,6.69,6.96
520000,贵州省,2008,13.49,6.77,6.72
520000,贵州省,2007,13.28,6.6,6.68
520000,贵州省,2006,13.97,6.71,7.26
520000,贵州省,2005,14.59,7.21,7.38
520000,贵州省,2004,15.08,6.35,8.73
520000,贵州省,2003,15.91,6.87,9.04
520000,贵州省,2002,17.96,7.21,10.75
520000,贵州省,2001,18.56,7.23,11.33
520000,贵州省,2000,20.59,7.53,13.06
530000,云南省,2019,12.63,6.2,6.43
530000,云南省,2018,13.19,6.32,6.87
530000,云南省,2017,13.53,6.68,6.85
530000,云南省,2016,13.16,6.55,6.61
530000,云南省,2015,12.88,6.48,6.4
530000,云南省,2014,12.65,6.45,6.2
530000,云南省,2013,12.6,6.43,6.17
530000,云南省,2012,12.63,6.41,6.22
530000,云南省,2011,12.71,6.36,6.35
530000,云南省,2010,13.1,6.56,6.54
530000,云南省,2009,12.53,6.45,6.08
530000,云南省,2008,12.63,6.31,6.32
530000,云南省,2007,13.08,6.22,6.86
530000,云南省,2006,13.2,6.3,6.9
530000,云南省,2005,14.72,6.75,7.97
530000,云南省,2004,15.6,6.6,9
530000,云南省,2003,17,7.2,9.8
530000,云南省,2002,17.9,7.3,10.6
530000,云南省,2001,18.51,7.57,10.94
530000,云南省,2000,19.05,7.57,11.48
540000,西藏自治区,2019,14.6,4.46,10.14
540000,西藏自治区,2018,15.22,4.58,10.64
540000,西藏自治区,2017,16,4.95,11.05
540000,西藏自治区,2016,15.79,5.11,10.68
540000,西藏自治区,2015,15.75,5.1,10.65
540000,西藏自治区,2014,15.76,5.21,10.55
540000,西藏自治区,2013,15.77,5.39,10.38
540000,西藏自治区,2012,15.48,5.21,10.27
540000,西藏自治区,2011,15.39,5.13,10.26
540000,西藏自治区,2010,15.8,5.55,10.25
540000,西藏自治区,2009,15.31,5.07,10.24
540000,西藏自治区,2008,15.5,5.2,10.3
540000,西藏自治区,2007,16.4,5.1,11.3
540000,西藏自治区,2006,17.4,5.7,11.7
540000,西藏自治区,2005,17.94,7.15,10.79
540000,西藏自治区,2004,17.4,6.2,11.2
540000,西藏自治区,2003,17.4,6.3,11.1
540000,西藏自治区,2002,18.83,6.07,12.76
540000,西藏自治区,2001,18.6,6.5,12.1
540000,西藏自治区,2000,19.5,6.6,12.9
610000,陕西省,2019,10.55,6.28,4.27
610000,陕西省,2018,10.67,6.24,4.43
610000,陕西省,2017,11.11,6.24,4.87
610000,陕西省,2016,10.64,6.23,4.41
610000,陕西省,2015,10.1,6.28,3.82
610000,陕西省,2014,10.13,6.26,3.87
610000,陕西省,2013,10.01,6.15,3.86
610000,陕西省,2012,10.12,6.24,3.88
610000,陕西省,2011,9.75,6.06,3.69
610000,陕西省,2010,9.73,6.01,3.72
610000,陕西省,2009,10.24,6.24,4
610000,陕西省,2008,10.29,6.21,4.08
610000,陕西省,2007,10.21,6.16,4.05
610000,陕西省,2006,10.19,6.15,4.04
610000,陕西省,2005,10.02,6.01,4.01
610000,陕西省,2004,10.59,6.33,4.26
610000,陕西省,2003,10.67,6.38,4.29
610000,陕西省,2002,10.48,6.36,4.12
610000,陕西省,2001,10.5,6.34,4.16
610000,陕西省,2000,,,
620000,甘肃省,2019,10.6,6.75,3.85
620000,甘肃省,2018,11.07,6.65,4.42
620000,甘肃省,2017,12.54,6.52,6.02
620000,甘肃省,2016,12.18,6.18,6
620000,甘肃省,2015,12.36,6.15,6.21
620000,甘肃省,2014,12.21,6.11,6.1
620000,甘肃省,2013,12.16,6.08,6.08
620000,甘肃省,2012,12.11,6.05,6.06
620000,甘肃省,2011,12.08,6.03,6.05
620000,甘肃省,2010,12.05,6.02,6.03
620000,甘肃省,2009,13.32,6.71,6.61
620000,甘肃省,2008,13.22,6.68,6.54
620000,甘肃省,2007,13.14,6.65,6.49
620000,甘肃省,2006,12.86,6.62,6.24
620000,甘肃省,2005,12.59,6.57,6.02
620000,甘肃省,2004,12.43,6.52,5.91
620000,甘肃省,2003,12.58,6.46,6.12
620000,甘肃省,2002,13.16,6.45,6.71
620000,甘肃省,2001,13.58,6.43,7.15
620000,甘肃省,2000,14.38,6.41,7.97
630000,青海省,2019,13.66,6.08,7.58
630000,青海省,2018,14.31,6.25,8.06
630000,青海省,2017,14.42,6.17,8.25
630000,青海省,2016,14.7,6.18,8.52
630000,青海省,2015,14.72,6.17,8.55
630000,青海省,2014,14.67,6.18,8.49
630000,青海省,2013,14.16,6.13,8.03
630000,青海省,2012,14.3,6.06,8.24
630000,青海省,2011,14.43,6.12,8.31
630000,青海省,2010,14.94,6.31,8.63
630000,青海省,2009,14.51,6.19,8.32
630000,青海省,2008,14.49,6.14,8.35
630000,青海省,2007,14.93,6.13,8.8
630000,青海省,2006,15.24,6.27,8.97
630000,青海省,2005,15.7,6.21,9.49
630000,青海省,2004,16.32,6.45,9.87
630000,青海省,2003,16.94,6.09,10.85
630000,青海省,2002,18.05,6.35,11.7
630000,青海省,2001,19.06,6.44,12.62
630000,青海省,2000,19.25,6.15,13.1
640000,宁夏回族自治区,2019,13.72,5.69,8.03
640000,宁夏回族自治区,2018,13.32,5.54,7.78
640000,宁夏回族自治区,2017,13.44,4.75,8.69
640000,宁夏回族自治区,2016,13.69,4.72,8.97
640000,宁夏回族自治区,2015,12.62,4.58,8.04
640000,宁夏回族自治区,2014,13.1,4.53,8.57
640000,宁夏回族自治区,2013,13.12,4.5,8.62
640000,宁夏回族自治区,2012,13.26,4.33,8.93
640000,宁夏回族自治区,2011,13.65,4.68,8.97
640000,宁夏回族自治区,2010,14.14,5.1,9.04
640000,宁夏回族自治区,2009,14.38,4.7,9.68
640000,宁夏回族自治区,2008,14.31,4.62,9.69
640000,宁夏回族自治区,2007,14.8,5.04,9.76
640000,宁夏回族自治区,2006,15.53,4.84,10.69
640000,宁夏回族自治区,2005,15.93,4.95,10.98
640000,宁夏回族自治区,2004,15.97,4.79,11.18
640000,宁夏回族自治区,2003,15.68,4.73,10.95
640000,宁夏回族自治区,2002,16.42,4.86,11.56
640000,宁夏回族自治区,2001,16.55,4.84,11.71
640000,宁夏回族自治区,2000,16.49,4.57,11.92
650000,新疆维吾尔自治区,2019,8.14,4.45,3.69
650000,新疆维吾尔自治区,2018,10.69,4.56,6.13
