省份编码,省份,年份,农用柴油使用量(万吨),农药使用量(万吨)
410000,河南省,2000,79.56,9.5513
420000,湖北省,2019,63.5,9.7024
420000,湖北省,2018,65.0967,10.3317
420000,湖北省,2017,66.31,10.9588
420000,湖北省,2016,65.85,11.7401
420000,湖北省,2015,65.6103,12.0685
420000,湖北省,2014,67.3327,12.6099
420000,湖北省,2013,65.7271,12.7152
420000,湖北省,2012,61.84,13.9524
420000,湖北省,2011,61.84,13.9524
420000,湖北省,2010,58.29,13.9969
420000,湖北省,2009,53.5137,13.8902
420000,湖北省,2008,52.45,13.8428
420000,湖北省,2007,48.2033,13.5561
420000,湖北省,2006,42.4047,13.1744
420000,湖北省,2005,41.31,11.0172
420000,湖北省,2004,41.09,11.2596
420000,湖北省,2003,39.34,9.9856
420000,湖北省,2002,41.13,10.626
420000,湖北省,2001,42.2,10.9708
420000,湖北省,2000,42.26,11.5414
430000,湖南省,2019,44.8,10.5548
430000,湖南省,2018,44.55941,11.415496
430000,湖南省,2017,44.156506,11.602286
430000,湖南省,2016,43.6851,11.8661
430000,湖南省,2015,43.6429,12.2353
430000,湖南省,2014,42.5905,12.4277
430000,湖南省,2013,41.731793,12.429756
430000,湖南省,2012,40.61,12.298
430000,湖南省,2011,39.5025,12.0431
430000,湖南省,2010,37.78,11.8762
430000,湖南省,2009,37.4753,11.5352
430000,湖南省,2008,35.65,11.275
430000,湖南省,2007,33.54,10.9142
430000,湖南省,2006,33.08965,11.1196
430000,湖南省,2005,32.6393,11.325
430000,湖南省,2004,30.2,10.9493
430000,湖南省,2003,27.68,9.536
430000,湖南省,2002,25.5,8.6972
430000,湖南省,2001,24.74,8.5591
430000,湖南省,2000,22.43,8.5611
440000,广东省,2019,85.5,8.7489
440000,广东省,2018,88.5212,9.3684
440000,广东省,2017,77.710582,11.29579
440000,广东省,2016,79.8851,11.3652
440000,广东省,2015,78.7032,11.3782
440000,广东省,2014,77.5876,11.2664
440000,广东省,2013,75.272,11.009
440000,广东省,2012,75.6043,11.3878
440000,广东省,2011,77.4302,11.4082
440000,广东省,2010,75.2865,10.4382
440000,广东省,2009,70.7471,10.3716
440000,广东省,2008,66.7316,10.0509
440000,广东省,2007,64.398,9.9164
440000,广东省,2006,63.444,9.30945
440000,广东省,2005,62.49,8.7025
440000,广东省,2004,65.96,8.5035
440000,广东省,2003,60.41,8.6041
440000,广东省,2002,63.22,8.4692
440000,广东省,2001,68.8222,8.5871
440000,广东省,2000,67.1978,8.4716
450000,广西壮族自治区,2019,53.4,6.8144
450000,广西壮族自治区,2018,52.689326,6.971357
450000,广西壮族自治区,2017,56.8326,7.2495
450000,广西壮族自治区,2016,63.5988,8.5694
450000,广西壮族自治区,2015,64.7794,7.4916
450000,广西壮族自治区,2014,64.652,7.1999
450000,广西壮族自治区,2013,63.3,6.9037
450000,广西壮族自治区,2012,61.66,6.7784
450000,广西壮族自治区,2011,59.75,6.6229
450000,广西壮族自治区,2010,58.1344,6.446
450000,广西壮族自治区,2009,56.74,6.2182
450000,广西壮族自治区,2008,55.4036,6.1991
450000,广西壮族自治区,2007,54.8168,6.0004
450000,广西壮族自治区,2006,53.02,5.4622
450000,广西壮族自治区,2005,51.12,5.326
450000,广西壮族自治区,2004,48.41,5.0801
450000,广西壮族自治区,2003,46.38,4.9757
450000,广西壮族自治区,2002,45.41,4.8629
450000,广西壮族自治区,2001,40.6,4.6614
450000,广西壮族自治区,2000,39.19,4.3941
460000,海南省,2019,15.7,2.1358
460000,海南省,2018,20.63272,2.324966
460000,海南省,2017,16.168724,3.340844
460000,海南省,2016,19.856011,3.402758
460000,海南省,2015,21.72,3.98
460000,海南省,2014,22.99,3.99
460000,海南省,2013,22.05,4.347807
460000,海南省,2012,22.0,3.9637
460000,海南省,2011,22.82,4.6854
460000,海南省,2010,22.37,4.5502
460000,海南省,2009,20.8,4.681156
460000,海南省,2008,18.69,3.241076
460000,海南省,2007,16.91,2.49362
460000,海南省,2006,16.02465,2.151839
460000,海南省,2005,15.1393,1.810058
460000,海南省,2004,15.26,1.557064
460000,海南省,2003,14.56,1.3414
460000,海南省,2002,14.24,1.3573
460000,海南省,2001,11.63,1.0963
460000,海南省,2000,11.34,1.2562
500000,重庆市,2019,21.2,1.6542
500000,重庆市,2018,21.4,1.7191
500000,重庆市,2017,21.669458,1.746719
500000,重庆市,2016,21.632134,1.760353
500000,重庆市,2015,21.39224,1.819918
500000,重庆市,2014,22.46,1.8437
500000,重庆市,2013,21.6284,1.8354
500000,重庆市,2012,18.95,1.948
500000,重庆市,2011,17.24,2.0324
500000,重庆市,2010,16.3793,2.0854
500000,重庆市,2009,15.7388,2.2004
500000,重庆市,2008,14.98,2.0972
500000,重庆市,2007,15.33,2.0372
500000,重庆市,2006,15.1,1.9579
500000,重庆市,2005,14.92,1.9541
500000,重庆市,2004,13.28,1.9466
500000,重庆市,2003,12.56,1.954
500000,重庆市,2002,11.31,1.9336
500000,重庆市,2001,11.31,1.9065
500000,重庆市,2000,10.88,1.8514
510000,四川省,2019,47.0,4.629
510000,四川省,2018,46.9095,5.1276
510000,四川省,2017,46.7233,5.5751
510000,四川省,2016,46.8705,5.8038
510000,四川省,2015,46.8664,5.8912
510000,四川省,2014,46.6261,5.9385
510000,四川省,2013,46.2845,5.9954
510000,四川省,2012,45.8495,6.0317
510000,四川省,2011,43.397,6.191
510000,四川省,2010,42.0831,6.2184
510000,四川省,2009,41.0331,6.1891
510000,四川省,2008,39.7743,6.0772
510000,四川省,2007,39.7222,6.0322
510000,四川省,2006,38.9893,5.8329
510000,四川省,2005,36.1977,5.6336
510000,四川省,2004,35.36,5.5373
510000,四川省,2003,33.82,5.3852
510000,四川省,2002,32.45,5.4351
510000,四川省,2001,31.18,5.4841
510000,四川省,2000,29.74,6.0661
520000,贵州省,2019,11.3,0.921
520000,贵州省,2018,11.091007,1.112216
520000,贵州省,2017,11.40507,1.339893
520000,贵州省,2016,11.1625,1.3677
520000,贵州省,2015,10.9775,1.3722
520000,贵州省,2014,10.8781,1.3425
520000,贵州省,2013,10.9488,1.348
520000,贵州省,2012,10.2289,1.44502
520000,贵州省,2011,9.6738,1.4469
520000,贵州省,2010,6.9397,1.2938
520000,贵州省,2009,5.83,1.2464
520000,贵州省,2008,5.59,1.292
520000,贵州省,2007,5.4363,1.0722
520000,贵州省,2006,4.93,1.0637
520000,贵州省,2005,4.9894,0.9764
520000,贵州省,2004,4.84,0.9533
520000,贵州省,2003,4.4683,0.9024
520000,贵州省,2002,3.83,0.8819
520000,贵州省,2001,3.61,0.8329
520000,贵州省,2000,3.63,0.84
530000,云南省,2019,26.2,4.7441
530000,云南省,2018,25.3701,5.2591
530000,云南省,2017,85.87,5.7675
530000,云南省,2016,84.8,5.8601
530000,云南省,2015,86.26,5.8648
530000,云南省,2014,84.75,5.7225
530000,云南省,2013,82.25,5.4782
530000,云南省,2012,77.88,5.5326
530000,云南省,2011,72.57,4.8157
530000,云南省,2010,65.33,4.6191
530000,云南省,2009,57.515203,4.2567
530000,云南省,2008,50.0,4.2875
530000,云南省,2007,46.92,3.5206
530000,云南省,2006,51.99,3.2891
530000,云南省,2005,57.06,3.0576
530000,云南省,2004,43.43,2.9096
530000,云南省,2003,44.55,2.6873
530000,云南省,2002,43.17,2.5738
530000,云南省,2001,46.09,2.5
530000,云南省,2000,45.78,2.4646
540000,西藏自治区,2019,3.3,0.0802
540000,西藏自治区,2018,3.012525,0.098246
540000,西藏自治区,2017,5.59,0.107573
540000,西藏自治区,2016,6.248683,0.10914
540000,西藏自治区,2015,5.36,0.107364
540000,西藏自治区,2014,5.06,0.101189
540000,西藏自治区,2013,5.78,0.103136
540000,西藏自治区,2012,4.78,0.092327
540000,西藏自治区,2011,4.15,0.096279
540000,西藏自治区,2010,3.12,0.1036
540000,西藏自治区,2009,2.04,0.092081
540000,西藏自治区,2008,1.67,0.1187
540000,西藏自治区,2007,1.39,0.1002498
540000,西藏自治区,2006,1.385,0.086
540000,西藏自治区,2005,1.38,0.072551
540000,西藏自治区,2004,1.01,0.0728
540000,西藏自治区,2003,0.81,0.059565
540000,西藏自治区,2002,0.92,0.058715
540000,西藏自治区,2001,0.47,0.0583
540000,西藏自治区,2000,0.71,0.065103
610000,陕西省,2019,93.8,1.224
610000,陕西省,2018,92.5784,1.2550406
610000,陕西省,2017,93.4314,1.3335068
610000,陕西省,2016,92.7681,1.319043
610000,陕西省,2015,92.3185,1.3092331
610000,陕西省,2014,91.2096,1.2793457
610000,陕西省,2013,91.0301,1.2998151
610000,陕西省,2012,82.1552,1.2952197
610000,陕西省,2011,79.97,1.241
610000,陕西省,2010,70.36,1.240797
610000,陕西省,2009,77.5872,1.3149138
610000,陕西省,2008,47.82,1.0953
610000,陕西省,2007,52.824,1.0698
610000,陕西省,2006,48.83,1.0054
610000,陕西省,2005,48.74,0.9888
610000,陕西省,2004,48.07,0.9735
610000,陕西省,2003,42.56,0.9761
610000,陕西省,2002,41.67,1.02
610000,陕西省,2001,43.73,1.0449
610000,陕西省,2000,55.77,1.0323
620000,甘肃省,2019,39.1,4.1938
620000,甘肃省,2018,40.77,4.2864
620000,甘肃省,2017,45.54,5.1995
620000,甘肃省,2016,44.17,6.9915
620000,甘肃省,2015,42.71,7.8848
620000,甘肃省,2014,38.56,7.7832
620000,甘肃省,2013,34.35,7.776
620000,甘肃省,2012,33.06,7.3748
620000,甘肃省,2011,29.55,6.8413
620000,甘肃省,2010,28.98,4.4565
620000,甘肃省,2009,27.35,3.9906
620000,甘肃省,2008,25.14,3.6511
620000,甘肃省,2007,22.7,3.5317
620000,甘肃省,2006,22.6,2.1651
620000,甘肃省,2005,19.79,2.0788
620000,甘肃省,2004,20.77,1.6344
620000,甘肃省,2003,19.19,1.273
620000,甘肃省,2002,18.33,1.3268
620000,甘肃省,2001,16.67,1.275
620000,甘肃省,2000,15.57,1.1415
630000,青海省,2019,6.6,0.1398
630000,青海省,2018,6.44,0.178434
630000,青海省,2017,6.41,0.1875
630000,青海省,2016,6.39,0.193934
630000,青海省,2015,6.54,0.195618
630000,青海省,2014,6.56,0.18864
630000,青海省,2013,6.52,0.199696
630000,青海省,2012,6.39,0.180538
630000,青海省,2011,6.22,0.199536
630000,青海省,2010,6.12,0.206191
630000,青海省,2009,5.87,0.202555
630000,青海省,2008,5.56,0.1954
630000,青海省,2007,5.6,0.1892
630000,青海省,2006,5.47,0.1857
630000,青海省,2005,5.37,0.1747
630000,青海省,2004,5.23,0.1756
630000,青海省,2003,5.12,0.1691
630000,青海省,2002,5.26,0.164665
630000,青海省,2001,4.94,0.1776
630000,青海省,2000,5.94,0.192
640000,宁夏回族自治区,2019,21.5,0.2245
640000,宁夏回族自治区,2018,21.6865,0.2265519
640000,宁夏回族自治区,2017,22.0222,0.2539576
640000,宁夏回族自治区,2016,22.4752,0.2587477
640000,宁夏回族自治区,2015,22.1845,0.2593256
640000,宁夏回族自治区,2014,22.1652,0.2585658
640000,宁夏回族自治区,2013,22.1276,0.2698599
640000,宁夏回族自治区,2012,22.0623,0.2739761
640000,宁夏回族自治区,2011,20.7592,0.2692418
640000,宁夏回族自治区,2010,20.2354,0.2640412
640000,宁夏回族自治区,2009,19.17,0.238873
640000,宁夏回族自治区,2008,17.0971,0.2385
640000,宁夏回族自治区,2007,15.69,0.2228
640000,宁夏回族自治区,2006,14.54,0.1891
640000,宁夏回族自治区,2005,14.0732,0.1598935
640000,宁夏回族自治区,2004,12.85,0.1761
640000,宁夏回族自治区,2003,12.03,0.1632
640000,宁夏回族自治区,2002,12.65,0.1723
640000,宁夏回族自治区,2001,11.89,0.1689
640000,宁夏回族自治区,2000,11.48,0.1572
650000,新疆维吾尔自治区,2019,94.2,2.2948
650000,新疆维吾尔自治区,2018,95.5427,2.3731696
650000,新疆维吾尔自治区,2017,88.25,2.7669768
650000,新疆维吾尔自治区,2016,87.78,2.759604
650000,新疆维吾尔自治区,2015,86.296779,2.58376232
650000,新疆维吾尔自治区,2014,80.05,2.68342565
650000,新疆维吾尔自治区,2013,77.41,2.128475
650000,新疆维吾尔自治区,2012,72.06,1.984819
650000,新疆维吾尔自治区,2011,67.63,1.933987
650000,新疆维吾尔自治区,2010,62.3,1.819211
650000,新疆维吾尔自治区,2009,59.6,1.8142
650000,新疆维吾尔自治区,2008,57.29,1.8356
650000,新疆维吾尔自治区,2007,50.53,1.657576
650000,新疆维吾尔自治区,2006,49.51,1.557038
650000,新疆维吾尔自治区,2005,48.49,1.4565
650000,新疆维吾尔自治区,2004,45.73,1.23124
650000,新疆维吾尔自治区,2003,44.39,1.211241
650000,新疆维吾尔自治区,2002,39.99,1.1518
650000,新疆维吾尔自治区,2001,46.1,1.2602
650000,新疆维吾尔自治区,2000,39.68,1.3606
