省份编码,省份,年份,水产品养殖面积(千公顷),内陆养殖面积(千公顷),海水养殖面积(千公顷),浅海养殖面积(千公顷),滩涂养殖面积(千公顷),陆基养殖面积(千公顷),池塘养殖面积(千公顷),湖泊养殖面积(千公顷),河沟养殖面积(千公顷),水库养殖面积(千公顷),其他养殖面积(千公顷)
210000,辽宁省,2019,839.6,177.8,661.8,,,,,,,,
210000,辽宁省,2018,,,,,,,,,,,
210000,辽宁省,2017,,,,,,,,,,,
210000,辽宁省,2016,999.9,230.6,769.3,,,,,,,,
210000,辽宁省,2015,1152.2,219.1,933.1,,,,,,,,
210000,辽宁省,2014,1145.4,216.9,928.5,,,,,,,,
210000,辽宁省,2013,1148.9,206.8,942.1,,,,,,,,
210000,辽宁省,2012,1015.636,202.601,813.035,,,,,,,,
210000,辽宁省,2011,952.986,201.599,751.387,,,,,,,,
210000,辽宁省,2010,961.167,198.066,763.101,,,,,,,,
210000,辽宁省,2009,832.605,201.905,630.7,,,,,,,,
210000,辽宁省,2008,565.972,154.416,411.556,262.1,105.1,,41.0,,1.4,88.2,23.9
210000,辽宁省,2007,407.914082968129,113.11,294.8,197.1,66.8,30.9,35.5,3.2,1.1,64.1,9.2
210000,辽宁省,2006,387.91,116.57,271.34,334.0,99.5,52.3,49.3,,1.0,111.7,32.8
210000,辽宁省,2005,616.47,167.17,449.3,301.0,52.5,95.8,46.7,,2.0,98.5,20.0
210000,辽宁省,2004,557.72,152.96,404.76,264.6,46.8,93.4,41.3,0.1,0.9,83.0,27.6
210000,辽宁省,2003,531.024,149.934,381.09,244.8,90.7,45.5,43.7,0.1,0.9,81.1,24.1
210000,辽宁省,2002,437.12,158.53,278.59,144.6,90.2,43.8,40.4,,1.6,83.6,32.9
210000,辽宁省,2001,383.6,137.4,246.2,117.9,87.0,41.3,35.1,,7.3,84.5,10.5
210000,辽宁省,2000,366.9,130.4,236.5,111.9,84.2,40.4,34.0,,3.0,80.3,10.4
220000,吉林省,2019,330.2,330.2,,,,,,,,,
220000,吉林省,2018,,,,,,,,,,,
220000,吉林省,2017,,,,,,,,,,,
220000,吉林省,2016,318.9,318.9,,,,,,,,,
220000,吉林省,2015,316.9,316.9,,,,,,,,,
220000,吉林省,2014,313.1,313.1,,,,,,,,,
220000,吉林省,2013,307.7,307.7,,,,,,,,,
220000,吉林省,2012,294.413,294.413,,,,,,,,,
220000,吉林省,2011,277.667,277.667,,,,,,,,,
220000,吉林省,2010,273.84,273.84,,,,,,,,,
220000,吉林省,2009,230.21,230.21,,,,,,,,,
220000,吉林省,2008,226.23,226.23,,,,,25.8,55.3,,122.1,23.0
220000,吉林省,2007,226.233202954601,226.23,,,,,28.0,55.3,0.2,122.1,20.7
220000,吉林省,2006,208.83,208.83,,,,,21.7,66.3,0.2,123.1,0.4
220000,吉林省,2005,201.22,201.22,,,,,21.4,63.1,0.1,116.0,0.6
220000,吉林省,2004,189.61,189.61,,,,,20.5,61.0,0.2,107.7,0.3
220000,吉林省,2003,191.323,191.323,,,,,21.7,63.2,0.3,106.2,
220000,吉林省,2002,182.24,182.24,,,,,19.3,59.8,,103.1,
220000,吉林省,2001,188.07,188.07,,,,,19.5,58.5,,110.0,
220000,吉林省,2000,212.41,212.4,,,,,20.2,74.6,,117.5,0.1
230000,黑龙江省,2019,400.3,400.3,,,,,,,,,
230000,黑龙江省,2018,,,,,,,,,,,
230000,黑龙江省,2017,,,,,,,,,,,
230000,黑龙江省,2016,392.7,392.7,,,,,,,,,
230000,黑龙江省,2015,388.8,388.8,,,,,,,,,
230000,黑龙江省,2014,376.2,376.2,,,,,,,,,
230000,黑龙江省,2013,376.4,376.4,,,,,,,,,
230000,黑龙江省,2012,373.364,373.364,,,,,,,,,
230000,黑龙江省,2011,338.18,338.18,,,,,,,,,
230000,黑龙江省,2010,308.789,308.789,,,,,,,,,
230000,黑龙江省,2009,285.98,285.98,,,,,,,,,
230000,黑龙江省,2008,264.134,264.134,,,,,63.8,97.9,15.6,79.3,7.6
230000,黑龙江省,2007,244.919240621479,244.919,,,,,53.8,95.7,8.8,70.6,16.0
230000,黑龙江省,2006,238.621,238.621,,,,,136.5,129.6,11.4,119.1,6.4
230000,黑龙江省,2005,395.21,395.21,,,,,120.6,126.4,11.79,115.2,21.3
230000,黑龙江省,2004,394.43,394.43,,,,,116.2,134.3,9.1,110.8,24.0
230000,黑龙江省,2003,374.585,374.585,,,,,124.2,115.9,16.3,108.5,9.6
230000,黑龙江省,2002,380.7,380.7,,,,,115.0,117.9,18.0,108.9,20.9
230000,黑龙江省,2001,385.71,385.71,,,,,131.3,117.9,19.5,111.1,6.0
230000,黑龙江省,2000,381.12,381.1,,,,,130.4,121.8,22.1,102.2,4.7
310000,上海市,2019,11.8,11.8,,,,,,,,,
310000,上海市,2018,,,,,,,,,,,
310000,上海市,2017,,,,,,,,,,,
310000,上海市,2016,18.6,18.6,,,,,,,,,
310000,上海市,2015,19.4,19.4,,,,,,,,,
310000,上海市,2014,20.5,20.5,,,,,,,,,
310000,上海市,2013,21.0,21.0,,,,,,,,,
310000,上海市,2012,22.027,22.027,,,,,,,,,
310000,上海市,2011,23.886,23.886,,,,,,,,,
310000,上海市,2010,25.25,25.25,,,,,,,,,
310000,上海市,2009,26.271,26.271,,,,,,,,,
310000,上海市,2008,29.175,29.175,,,,,23.0,0.3,4.8,,1.1
310000,上海市,2007,30.2492799447525,30.25,0.013,,,,24.0,6.0,,,0.2
310000,上海市,2006,31.31,31.23,0.08,,0.1,,22.7,0.8,4.8,,5.1
310000,上海市,2005,41.105,41.025,0.08,,,0.1,23.8,5.1,6.8,,5.3
310000,上海市,2004,42.54,42.19,0.35,,,0.4,24.1,5.0,7.1,,6.0
310000,上海市,2003,45.448,44.982,0.466,,0.5,,25.5,5.2,8.7,,5.5
310000,上海市,2002,42.77,42.07,0.7,,0.7,,27.3,4.6,9.0,,1.2
310000,上海市,2001,44.73,44.0,0.73,,0.7,,24.2,8.7,9.2,,2.0
310000,上海市,2000,40.0,39.3,0.7,,0.7,,18.7,,9.7,,10.9
320000,江苏省,2019,603.1,423.1,180.0,,,,,,,,
320000,江苏省,2018,,,,,,,,,,,
320000,江苏省,2017,,,,,,,,,,,
320000,江苏省,2016,753.2,567.9,185.3,,,,,,,,
320000,江苏省,2015,753.4,571.6,181.8,,,,,,,,
320000,江苏省,2014,761.0,572.4,188.7,,,,,,,,
320000,江苏省,2013,765.3,571.5,193.8,,,,,,,,
320000,江苏省,2012,771.18,571.828,199.352,,,,,,,,
320000,江苏省,2011,769.402,568.329,201.073,,,,,,,,
320000,江苏省,2010,750.082,557.656,192.426,,,,,,,,
320000,江苏省,2009,725.375,552.621,172.754,,,,,,,,
320000,江苏省,2008,703.47,543.381,160.089,15.9,125.8,,346.5,123.9,27.6,33.6,11.8
320000,江苏省,2007,691.531414845786,543.369,148.16,14.9,113.2,20.1,342.6,125.7,27.9,33.7,13.4
320000,江苏省,2006,688.919,543.449,145.47,16.6,139.1,24.9,348.8,107.7,108.9,27.2,48.1
320000,江苏省,2005,813.59,640.64,172.95,17.5,24.5,131.0,348.1,107.8,109.3,26.6,48.9
320000,江苏省,2004,800.25,633.97,166.28,14.9,26.7,124.7,334.9,109.6,113.0,26.1,50.3
320000,江苏省,2003,779.585,622.638,156.947,11.5,119.7,25.7,325.5,109.1,112.8,26.2,49.1
320000,江苏省,2002,759.52,609.21,150.31,,150.3,,317.5,100.3,114.2,26.3,50.9
320000,江苏省,2001,736.19,592.41,143.78,,143.8,,307.8,94.6,114.0,26.6,49.4
320000,江苏省,2000,706.05,561.9,144.2,,144.2,,280.3,92.3,115.1,24.5,49.8
330000,浙江省,2019,255.1,173.0,82.0,,,,,,,,
330000,浙江省,2018,,,,,,,,,,,
330000,浙江省,2017,,,,,,,,,,,
330000,浙江省,2016,290.9,202.1,88.8,,,,,,,,
330000,浙江省,2015,298.9,213.1,85.9,,,,,,,,
330000,浙江省,2014,298.1,209.9,88.2,,,,,,,,
330000,浙江省,2013,302.4,213.0,89.4,,,,,,,,
330000,浙江省,2012,302.967,213.22,89.747,,,,,,,,
330000,浙江省,2011,304.013,213.174,90.839,,,,,,,,
330000,浙江省,2010,312.856,218.951,93.905,,,,,,,,
330000,浙江省,2009,313.968,219.454,94.514,,,,,,,,
330000,浙江省,2008,308.155,212.016,96.139,16.3,45.8,,69.1,6.5,39.3,92.5,4.7
330000,浙江省,2007,190.194075314745,133.44,56.75,9.9,25.8,21.0,72.4,11.7,16.9,28.5,3.9
330000,浙江省,2006,190.15,131.61,58.54,17.2,56.2,35.6,67.4,,44.6,94.1,5.9
330000,浙江省,2005,317.64,205.2,112.44,17.2,38.3,56.9,63.8,,44.3,91.9,5.3
330000,浙江省,2004,323.0,205.08,118.28,18.1,38.6,61.6,63.7,,46.2,89.8,5.5
330000,浙江省,2003,332.572,215.164,117.408,15.3,63.6,38.6,67.3,,50.7,91.0,6.2
330000,浙江省,2002,329.9,212.99,116.91,14.9,63.5,38.5,64.1,,52.0,90.5,6.4
330000,浙江省,2001,323.51,210.76,112.75,13.2,65.8,33.8,62.8,,51.9,89.6,6.5
330000,浙江省,2000,314.09,207.7,106.4,11.8,66.1,28.6,63.1,,51.6,86.1,6.9
340000,安徽省,2019,483.0,483.0,,,,,,,,,
340000,安徽省,2018,,,,,,,,,,,
340000,安徽省,2017,,,,,,,,,,,
340000,安徽省,2016,584.7,584.7,,,,,,,,,
340000,安徽省,2015,580.2,580.2,,,,,,,,,
340000,安徽省,2014,575.9,575.9,,,,,,,,,
340000,安徽省,2013,570.4,570.4,,,,,,,,,
340000,安徽省,2012,556.611,556.611,,,,,,,,,
340000,安徽省,2011,544.205,544.205,,,,,,,,,
340000,安徽省,2010,528.688,528.688,,,,,,,,,
340000,安徽省,2009,509.814,509.814,,,,,,,,,
340000,安徽省,2008,475.212,475.212,,,,,151.1,208.5,34.6,73.0,8.0
340000,安徽省,2007,435.524358076289,435.524,,,,,122.1,229.1,10.4,70.2,3.8
340000,安徽省,2006,428.244,428.244,,,,,232.5,199.7,78.0,86.6,18.0
340000,安徽省,2005,597.99,597.99,,,,,229.3,194.3,72.0,84.5,17.9
340000,安徽省,2004,589.13,589.13,,,,,224.2,193.3,76.0,79.1,16.6
340000,安徽省,2003,574.66,574.66,,,,,214.8,197.1,74.2,73.6,15.0
340000,安徽省,2002,566.89,566.89,,,,,219.7,177.8,71.5,74.3,23.6
340000,安徽省,2001,551.43,551.43,,,,,220.4,170.3,70.0,71.4,19.5
340000,安徽省,2000,549.26,549.3,,,,,227.9,168.4,69.0,72.4,11.5
350000,福建省,2019,250.1,86.4,163.7,,,,,,,,
350000,福建省,2018,,,,,,,,,,,
350000,福建省,2017,,,,,,,,,,,
350000,福建省,2016,277.1,102.5,174.6,,,,,,,,
350000,福建省,2015,267.9,101.9,166.1,,,,,,,,
350000,福建省,2014,261.9,100.5,161.4,,,,,,,,
350000,福建省,2013,253.3,98.8,154.5,,,,,,,,
350000,福建省,2012,242.819,97.333,145.486,,,,,,,,
350000,福建省,2011,237.728,95.413,142.315,,,,,,,,
350000,福建省,2010,231.469,93.833,137.636,,,,,,,,
350000,福建省,2009,223.967,90.025,133.942,,,,,,,,
350000,福建省,2008,206.978,86.274,120.704,51.5,48.1,,31.8,1.0,5.1,45.9,2.5
350000,福建省,2007,193.823021718293,83.71,110.12,47.0,44.6,18.5,30.9,1.1,4.2,44.8,2.6
350000,福建省,2006,191.562,79.875,111.687,62.6,65.1,24.6,38.8,0.9,6.6,50.5,3.8
350000,福建省,2005,253.18476,100.49388,152.69088,61.9,24.2,66.6,39.6,1.2,6.4,49.6,3.7
350000,福建省,2004,247.79,100.3,147.49,60.0,22.1,65.5,38.9,1.4,6.4,49.8,3.8
350000,福建省,2003,239.21,99.79,139.42,56.5,61.9,21.0,37.5,1.5,6.7,50.2,3.9
350000,福建省,2002,236.922463333333,98.935,137.987463333333,53.9,61.3,22.8,37.8,0.9,50.4,5.5,4.3
350000,福建省,2001,232.2,97.87,134.33,51.3,59.2,23.9,36.8,0.7,6.2,49.7,4.4
350000,福建省,2000,221.46,91.2,130.3,51.8,57.6,20.9,35.5,0.7,6.2,44.9,3.8
360000,江西省,2019,411.5,411.5,,,,,,,,,
360000,江西省,2018,,,,,,,,,,,
360000,江西省,2017,,,,,,,,,,,
360000,江西省,2016,438.2,438.2,,,,,,,,,
360000,江西省,2015,437.5,437.5,,,,,,,,,
360000,江西省,2014,435.3,435.3,,,,,,,,,
360000,江西省,2013,433.2,433.2,,,,,,,,,
360000,江西省,2012,432.098,432.098,,,,,,,,,
360000,江西省,2011,428.196,428.196,,,,,,,,,
360000,江西省,2010,425.462,425.462,,,,,,,,,
360000,江西省,2009,417.056,417.056,,,,,,,,,
360000,江西省,2008,365.874,365.874,,,,,129.1,81.9,14.1,137.0,3.7
360000,江西省,2007,368.408100857078,368.408,,,,,92.1,104.7,9.1,159.4,3.1
360000,江西省,2006,352.798,352.798,,,,,133.0,88.1,14.2,140.8,4.2
360000,江西省,2005,374.28,374.28,,,,,114.3,83.6,12.1,138.1,26.2
360000,江西省,2004,363.83,363.83,,,,,106.5,85.3,13.1,132.6,26.4
360000,江西省,2003,358.536,358.536,,,,,125.9,83.6,12.9,131.1,4.9
360000,江西省,2002,348.78,348.78,,,,,116.7,82.9,12.6,135.2,1.4
360000,江西省,2001,344.9,344.9,,,,,113.4,81.5,13.4,135.1,1.5
360000,江西省,2000,337.15,337.2,,,,,104.9,82.3,13.1,135.9,1.0
370000,山东省,2019,758.9,197.4,561.5,,,,,,,,
370000,山东省,2018,,,,,,,,,,,
370000,山东省,2017,,,,,,,,,,,
370000,山东省,2016,838.0,276.5,561.5,,,,,,,,
370000,山东省,2015,846.2,283.0,563.2,,,,,,,,
370000,山东省,2014,835.1,286.6,548.5,,,,,,,,
370000,山东省,2013,826.9,280.1,546.8,,,,,,,,
370000,山东省,2012,803.437,279.732,523.705,,,,,,,,
370000,山东省,2011,782.935,270.809,512.126,,,,,,,,
370000,山东省,2010,757.673,256.727,500.946,,,,,,,,
370000,山东省,2009,686.203,244.8,441.403,,,,,,,,
370000,山东省,2008,662.301,236.084,426.217,222.1,178.2,,107.0,13.6,5.1,107.8,2.6
370000,山东省,2007,589.993949555437,183.82,406.17,188.9,155.9,61.4,69.8,14.1,3.1,94.4,2.4
370000,山东省,2006,560.02,183.61,376.41,226.5,131.2,62.6,144.6,19.7,7.7,104.0,4.5
370000,山东省,2005,688.74,281.35,407.39,193.6,55.0,158.8,145.8,19.8,7.4,104.4,3.9
370000,山东省,2004,676.23,277.55,398.68,185.2,57.4,156.1,141.2,19.0,6.5,107.9,3.0
370000,山东省,2003,620.604,262.255,358.349,151.6,154.5,52.2,135.4,15.7,5.4,102.5,3.2
370000,山东省,2002,535.0,242.23,292.77,98.3,159.1,35.4,129.3,7.5,5.2,97.7,2.5
370000,山东省,2001,552.93,262.94,289.99,71.2,183.0,35.8,132.7,18.4,8.1,100.2,3.6
370000,山东省,2000,525.0,245.0,280.0,115.0,127.0,38.0,130.0,11.0,7.0,94.0,3.0
410000,河南省,2019,139.9,139.9,,,,,,,,,
410000,河南省,2018,,,,,,,,,,,
410000,河南省,2017,,,,,,,,,,,
410000,河南省,2016,291.7,291.7,,,,,,,,,
410000,河南省,2015,276.6,276.6,,,,,,,,,
410000,河南省,2014,269.7,269.7,,,,,,,,,
410000,河南省,2013,255.5,255.5,,,,,,,,,
410000,河南省,2012,235.756,235.756,,,,,,,,,
410000,河南省,2011,223.993,223.993,,,,,,,,,
410000,河南省,2010,209.83,209.83,,,,,,,,,
410000,河南省,2009,204.126,204.126,,,,,,,,,
410000,河南省,2008,146.64,146.64,,,,,68.6,2.3,4.8,70.9,
410000,河南省,2007,90.1353289346441,90.135,,,,,35.7,1.8,1.9,50.5,0.2
410000,河南省,2006,86.375,86.375,,,,,106.5,4.1,7.0,115.3,0.9
410000,河南省,2005,229.95,229.95,,,,,103.8,4.1,6.4,114.9,0.8
410000,河南省,2004,203.73,203.73,,,,,97.7,3.1,4.1,98.0,0.8
410000,河南省,2003,200.289,200.289,,,,,95.2,2.8,4.0,97.2,1.1
410000,河南省,2002,198.2,198.2,,,,,94.7,2.8,3.6,96.2,0.9
410000,河南省,2001,175.09,175.09,,,,,78.5,2.8,3.8,89.8,0.3
410000,河南省,2000,189.15,189.2,,,,,91.7,2.9,3.6,90.4,0.6
420000,湖北省,2019,531.6,531.6,,,,,,,,,
420000,湖北省,2018,,,,,,,,,,,
420000,湖北省,2017,,,,,,,,,,,
420000,湖北省,2016,698.9,698.9,,,,,,,,,
420000,湖北省,2015,688.7,688.7,,,,,,,,,
420000,湖北省,2014,688.0,688.0,,,,,,,,,
420000,湖北省,2013,683.5,683.5,,,,,,,,,
420000,湖北省,2012,680.067,680.067,,,,,,,,,
420000,湖北省,2011,666.733,666.733,,,,,,,,,
420000,湖北省,2010,656.717,656.717,,,,,,,,,
420000,湖北省,2009,649.729,649.729,,,,,,,,,
420000,湖北省,2008,583.351,583.351,,,,,284.0,191.6,5.7,93.5,8.5
420000,湖北省,2007,550.041892082837,550.04,,,,,234.3,208.1,5.7,93.5,8.5
420000,湖北省,2006,528.7,528.7,,,,,343.7,177.5,22.1,108.0,32.3
420000,湖北省,2005,666.72,666.72,,,,,326.3,173.8,18.7,104.7,43.2
420000,湖北省,2004,662.38,662.38,,,,,325.2,173.4,18.0,98.8,47.0
420000,湖北省,2003,665.667,665.667,,,,,339.0,164.3,18.3,102.5,41.5
420000,湖北省,2002,633.49,633.49,,,,,309.9,155.8,19.4,100.3,48.1
420000,湖北省,2001,604.41,604.41,,,,,303.8,153.7,15.5,101.9,29.6
420000,湖北省,2000,573.75,573.8,,,,,274.8,148.1,13.9,100.4,36.6
430000,湖南省,2019,425.7,425.7,,,,,,,,,
430000,湖南省,2018,,,,,,,,,,,
430000,湖南省,2017,,,,,,,,,,,
430000,湖南省,2016,475.0,475.0,,,,,,,,,
430000,湖南省,2015,467.7,467.7,,,,,,,,,
430000,湖南省,2014,454.3,454.3,,,,,,,,,
430000,湖南省,2013,447.6,447.6,,,,,,,,,
430000,湖南省,2012,436.67,436.67,,,,,,,,,
430000,湖南省,2011,410.02,410.02,,,,,,,,,
430000,湖南省,2010,393.981,393.981,,,,,,,,,
430000,湖南省,2009,383.0,383.0,,,,,,,,,
430000,湖南省,2008,361.692,361.692,,,,,170.0,85.7,0.7,104.2,1.1
430000,湖南省,2007,350.480258430912,350.48,,,,,162.8,85.2,0.6,100.9,1.0
430000,湖南省,2006,361.69,361.69,,,,,244.3,63.7,14.8,112.6,29.1
430000,湖南省,2005,481.73,481.73,,,,,256.8,61.7,25.8,114.7,22.7
430000,湖南省,2004,465.69,465.69,,,,,250.0,60.6,23.5,109.4,22.3
430000,湖南省,2003,431.867,431.867,,,,,232.1,63.0,13.8,111.0,11.9
430000,湖南省,2002,437.32,437.32,,,,,236.1,55.9,20.5,106.5,18.3
430000,湖南省,2001,422.48,422.48,,,,,221.4,55.1,18.6,106.2,21.2
430000,湖南省,2000,413.18,413.2,,,,,215.0,55.9,20.7,102.2,19.4
440000,广东省,2019,478.2,313.2,165.0,,,,,,,,
440000,广东省,2018,,,,,,,,,,,
440000,广东省,2017,,,,,,,,,,,
440000,广东省,2016,555.1,359.1,196.1,,,,,,,,
440000,广东省,2015,565.7,370.8,194.9,,,,,,,,
440000,广东省,2014,565.0,371.3,193.7,,,,,,,,
440000,广东省,2013,570.1,372.9,197.2,,,,,,,,
440000,广东省,2012,575.21,373.376,201.834,,,,,,,,
440000,广东省,2011,573.914,370.504,203.41,,,,,,,,
440000,广东省,2010,563.411,364.153,199.258,,,,,,,,
440000,广东省,2009,562.158,367.392,194.766,,,,,,,,
440000,广东省,2008,544.251,354.534,189.717,59.1,71.2,,264.2,2.5,2.2,75.7,10.0
440000,广东省,2007,489.1,329.763,159.295,48.9,72.0,38.3,251.8,,2.5,67.6,7.8
440000,广东省,2006,489.909,329.907,160.002,84.6,101.8,48.3,260.0,,2.9,118.8,4.5
440000,广东省,2005,604.65,380.25,224.4,80.0,56.8,87.6,261.5,,3.2,112.0,3.6
440000,广东省,2004,599.01,377.76,221.25,74.1,97.4,49.8,255.4,,3.2,114.2,5.0
440000,广东省,2003,595.328,378.565,216.763,72.7,94.7,49.4,256.2,,3.3,112.8,6.3
