省份编码,省份,年份,实有茶园面积(千公顷),本年采摘茶园面积(千公顷)
450000,广西壮族自治区,2015,67.7029269921552,56.019
450000,广西壮族自治区,2014,66.1037323229946,53.76
450000,广西壮族自治区,2013,62.0961395284277,53.53
450000,广西壮族自治区,2012,55.0149520789156,47.01
450000,广西壮族自治区,2011,53.3057846078458,45.72
450000,广西壮族自治区,2010,49.5990308878623,41.372
450000,广西壮族自治区,2009,49.2042742561489,39.383
450000,广西壮族自治区,2008,46.6141301504588,37.53
450000,广西壮族自治区,2007,46.8756549739174,37.491
450000,广西壮族自治区,2006,41.34,34.99
450000,广西壮族自治区,2005,36.857,31.183
450000,广西壮族自治区,2004,33.96,27.92
450000,广西壮族自治区,2003,42.91,27.86
450000,广西壮族自治区,2002,29.98,24.21
450000,广西壮族自治区,2001,27.8,23.35
450000,广西壮族自治区,2000,26.08,20.72
460000,海南省,2019,1.8,1.3
460000,海南省,2018,1.95173266666667,1.32851266666667
460000,海南省,2017,2.06665029860013,1.2901
460000,海南省,2016,1.65093333333333,1.14353333333333
460000,海南省,2015,1.40972759183541,1.0746
460000,海南省,2014,1.34463548755695,1.0864
460000,海南省,2013,1.30279619713714,0.968932666666667
460000,海南省,2012,1.06054003621211,0.785619333333333
460000,海南省,2011,1.11413721969291,0.984333333333333
460000,海南省,2010,1.21559789848896,1.131
460000,海南省,2009,1.0094491414291,0.949066666666667
460000,海南省,2008,1.07312231583291,0.9834
460000,海南省,2007,1.25048621052869,1.0236
460000,海南省,2006,1.428,20.7
460000,海南省,2005,1.488,
460000,海南省,2004,1.9,1.45
460000,海南省,2003,1.93,1.35
460000,海南省,2002,2.95,2.95
460000,海南省,2001,2.95,2.11
460000,海南省,2000,3.3,2.54
500000,重庆市,2019,47.5,32.9
500000,重庆市,2018,42.35,31.19
500000,重庆市,2017,39.9413333333333,29.982
500000,重庆市,2016,39.5333333333333,29.1932666666667
500000,重庆市,2015,39.8627373333333,28.5996706666667
500000,重庆市,2014,37.4383456550262,28.2450527866641
500000,重庆市,2013,35.382768974566,22.2743896645771
500000,重庆市,2012,34.3079164025703,25.2124243994645
500000,重庆市,2011,33.6612686717804,24.6680971221468
500000,重庆市,2010,31.1173107589826,22.9909506084253
500000,重庆市,2009,28.6353893570852,21.4480787315255
500000,重庆市,2008,27.0153682630198,20.5012944691934
500000,重庆市,2007,25.8737052886556,20.0394949057049
500000,重庆市,2006,26.87,20.73
500000,重庆市,2005,25.81,18.96
500000,重庆市,2004,24.03,17.61
500000,重庆市,2003,23.43,15.18
500000,重庆市,2002,24.11,17.938
500000,重庆市,2001,23.18,17.94
500000,重庆市,2000,23.79,18.18
510000,四川省,2019,387.0,295
510000,四川省,2018,375.402,277.034
510000,四川省,2017,356.278,252.384
510000,四川省,2016,341.678,236.489
510000,四川省,2015,319.032,228.485
510000,四川省,2014,307.093,215.38
510000,四川省,2013,287.63,203.175
510000,四川省,2012,270.83,190.259
510000,四川省,2011,246.742,176.872
510000,四川省,2010,229.58,156.691
510000,四川省,2009,215.691,149.469
510000,四川省,2008,196.009,128.197
510000,四川省,2007,187.551,126.71
510000,四川省,2006,159.118,105.049
510000,四川省,2005,151.998,97.96
510000,四川省,2004,139.77,87.41
510000,四川省,2003,124.71,77.49
510000,四川省,2002,102.65,68.75
510000,四川省,2001,88.59,65.61
510000,四川省,2000,82.84,64.12
520000,贵州省,2019,464.4,312.7
520000,贵州省,2018,465.842133333333,284.6862
520000,贵州省,2017,456.221167747291,281.297
520000,贵州省,2016,420.78,231.3898
520000,贵州省,2015,402.525086051366,217.881004488638
520000,贵州省,2014,356.409530955071,174.741222626247
520000,贵州省,2013,303.675122085977,145.857757962245
520000,贵州省,2012,244.924909708832,121.284527045552
520000,贵州省,2011,192.06749318588,95.8076975102499
520000,贵州省,2010,164.250767280215,73.5983450654067
520000,贵州省,2009,130.440560879548,60.8560812900845
520000,贵州省,2008,104.238847655611,54.5337935606304
520000,贵州省,2007,71.4888100859302,44.895694583127
520000,贵州省,2006,63.596,42.888
520000,贵州省,2005,59.725,40.078
520000,贵州省,2004,52.32,36.83
520000,贵州省,2003,48.086,34.692
520000,贵州省,2002,47.25,34.01
520000,贵州省,2001,47.14,34.54
520000,贵州省,2000,44.79,32.84
530000,云南省,2019,480.9,416.5
530000,云南省,2018,466.584,397.144
530000,云南省,2017,437.862184725224,371.846299737296
530000,云南省,2016,422.05525,362.597767816165
530000,云南省,2015,413.524434005113,354.339105888138
530000,云南省,2014,399.676321240827,337.80126637398
530000,云南省,2013,392.250283096115,320.904364225458
530000,云南省,2012,382.740004337268,303.184000797713
530000,云南省,2011,374.353196941429,285.978901351035
530000,云南省,2010,363.315903253817,206.720098187224
530000,云南省,2009,351.410172761862,182.32676262022
530000,云南省,2008,333.70112482206,211.156109301688
530000,云南省,2007,301.973328866819,196.539891440557
530000,云南省,2006,247.54,178.19
530000,云南省,2005,218.45,164.48
530000,云南省,2004,201.87,153.98
530000,云南省,2003,192.21,146.23
530000,云南省,2002,184.92,143.203
530000,云南省,2001,173.73,141.28
530000,云南省,2000,167.38,141.39
540000,西藏自治区,2019,2.4,0.5
540000,西藏自治区,2018,,
540000,西藏自治区,2017,,0
540000,西藏自治区,2016,0.68881,0.3196
540000,西藏自治区,2015,0.549077922342683,0.132850365644148
540000,西藏自治区,2014,0.470712116890041,0.123875984492245
540000,西藏自治区,2013,0.200436785966956,0.099912483584857
540000,西藏自治区,2012,0.160299463694049,0.019984996247811
540000,西藏自治区,2011,0.163544644819117,0.02278574554409
540000,西藏自治区,2010,0.22406915038373,0.055032459669362
540000,西藏自治区,2009,0.055171558507732,0.037296002624489
540000,西藏自治区,2008,0.010006234938705,0.009997498749062
540000,西藏自治区,2007,0.070021818885014,0.069991245074225
540000,西藏自治区,2006,0.09,0.08
540000,西藏自治区,2005,0.18,0.08
540000,西藏自治区,2004,0.13,0.11
540000,西藏自治区,2003,0.17,0.1
540000,西藏自治区,2002,0.15,0.08
540000,西藏自治区,2001,0.13,0.05
540000,西藏自治区,2000,0.0483,0.0045
610000,陕西省,2019,145.2,102.6
610000,陕西省,2018,135.8926,91.0812
610000,陕西省,2017,126.570167626667,87.0466666666667
610000,陕西省,2016,118.025592,80.9333333333333
610000,陕西省,2015,112.162675234876,73.2114927749682
610000,陕西省,2014,108.286096329974,66.9501481191413
610000,陕西省,2013,99.3082199596968,66.9877188366478
610000,陕西省,2012,89.1630828965788,63.5101043226929
610000,陕西省,2011,84.5313124230358,62.1847067016533
610000,陕西省,2010,80.6401493861026,58.0609075579939
610000,陕西省,2009,74.8401470151929,56.1301102613947
610000,陕西省,2008,67.11221127208,51.0052805667808
610000,陕西省,2007,66.3785910272157,45.8012278087789
610000,陕西省,2006,62.94,34.21
610000,陕西省,2005,59.47,29.19
610000,陕西省,2004,56.34,28.93
610000,陕西省,2003,50.86,22.8
610000,陕西省,2002,43.28,22.98
610000,陕西省,2001,38.23,21.22
610000,陕西省,2000,35.28,19.73
620000,甘肃省,2019,12.3,6.4
620000,甘肃省,2018,12.1090426666667,6.45089533333333
620000,甘肃省,2017,11.7466666666667,6.14666666666667
620000,甘肃省,2016,11.4466666666667,6.11333333333333
620000,甘肃省,2015,11.2677284242532,5.80793606712934
620000,甘肃省,2014,10.6180550809393,5.22292488232587
620000,甘肃省,2013,10.1980235840884,4.22872101695269
620000,甘肃省,2012,9.7161349522679,3.82813596735758
620000,甘肃省,2011,9.58919899747357,3.82274051500296
620000,甘肃省,2010,9.38205194120677,3.92326435566925
620000,甘肃省,2009,11.7239667921096,3.54766446477336
620000,甘肃省,2008,11.140301991375,2.78521317253286
620000,甘肃省,2007,9.94752161823003,3.07356271075694
620000,甘肃省,2006,7.0,2.04
620000,甘肃省,2005,6.33,1.89
620000,甘肃省,2004,5.49,1.69
620000,甘肃省,2003,3.28,0.45
620000,甘肃省,2002,1.83333333333333,0.593333333333333
620000,甘肃省,2001,1.45,0.47
620000,甘肃省,2000,1.27,0.62
630000,青海省,2019,,
630000,青海省,2018,,
630000,青海省,2017,,0
630000,青海省,2016,,0
630000,青海省,2015,,0
630000,青海省,2014,,0
630000,青海省,2013,,0
630000,青海省,2012,,0
630000,青海省,2011,,0
630000,青海省,2010,,0
630000,青海省,2009,,0
630000,青海省,2008,,0
630000,青海省,2007,,0
630000,青海省,2006,,
630000,青海省,2005,,
630000,青海省,2004,,
630000,青海省,2003,,
630000,青海省,2002,,
630000,青海省,2001,,
630000,青海省,2000,,
640000,宁夏回族自治区,2019,,
640000,宁夏回族自治区,2018,,
640000,宁夏回族自治区,2017,,0
640000,宁夏回族自治区,2016,,0
640000,宁夏回族自治区,2015,,0
640000,宁夏回族自治区,2014,,0
640000,宁夏回族自治区,2013,,0
640000,宁夏回族自治区,2012,,0
640000,宁夏回族自治区,2011,,0
640000,宁夏回族自治区,2010,,0
640000,宁夏回族自治区,2009,,0
640000,宁夏回族自治区,2008,,0
640000,宁夏回族自治区,2007,,0
640000,宁夏回族自治区,2006,,
640000,宁夏回族自治区,2005,,
640000,宁夏回族自治区,2004,,
640000,宁夏回族自治区,2003,,
640000,宁夏回族自治区,2002,,
640000,宁夏回族自治区,2001,,
640000,宁夏回族自治区,2000,,
650000,新疆维吾尔自治区,2019,,
650000,新疆维吾尔自治区,2018,,
650000,新疆维吾尔自治区,2017,,0
650000,新疆维吾尔自治区,2016,,0
650000,新疆维吾尔自治区,2015,,0
650000,新疆维吾尔自治区,2014,,0
650000,新疆维吾尔自治区,2013,,0
650000,新疆维吾尔自治区,2012,,0
650000,新疆维吾尔自治区,2011,,0
650000,新疆维吾尔自治区,2010,,0
650000,新疆维吾尔自治区,2009,,0
650000,新疆维吾尔自治区,2008,,0
650000,新疆维吾尔自治区,2007,,0
650000,新疆维吾尔自治区,2006,,
650000,新疆维吾尔自治区,2005,,
650000,新疆维吾尔自治区,2004,,
650000,新疆维吾尔自治区,2003,,
650000,新疆维吾尔自治区,2002,,
650000,新疆维吾尔自治区,2001,,
650000,新疆维吾尔自治区,2000,,
