省份编码,省份,年份,企业法人单位数(个),事业法人单位数(个),机关法人单位数(个),社会团体法人单位数(个),其他类型机构法人单位数(个)
360000,江西省,2007,,,,,
360000,江西省,2006,,,,,
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,1982466,47378,12213,17384,249926
370000,山东省,2018,,,,,
370000,山东省,2017,1676178,48352,12306,20929,257236
370000,山东省,2016,1344176,44903,12826,18819,231341
370000,山东省,2015,1048450,40919,12412,15919,152198
370000,山东省,2014,819061,41210,12420,15909,154234
370000,山东省,2013,,,,,
370000,山东省,2012,722344,36366,12085,13545,121724
370000,山东省,2011,649565,36470,12117,13739,120608
370000,山东省,2010,592306,36621,12145,13530,118948
370000,山东省,2009,,,,,
370000,山东省,2008,,,,,
370000,山东省,2007,,,,,
370000,山东省,2006,,,,,
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,1097816,71380,13960,10360,225302
410000,河南省,2018,,,,,
410000,河南省,2017,695953,64467,14337,7390,182797
410000,河南省,2016,580619,66825,14465,8342,146528
410000,河南省,2015,535639,66905,14464,8100,138102
410000,河南省,2014,399985,67030,14299,7123,135335
410000,河南省,2013,,,,,
410000,河南省,2012,283009,40960,11827,5568,83912
410000,河南省,2011,269535,40660,11833,5687,83095
410000,河南省,2010,258797,40774,11837,5650,83663
410000,河南省,2009,,,,,
410000,河南省,2008,,,,,
410000,河南省,2007,,,,,
410000,河南省,2006,,,,,
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,804818,39815,9879,13291,139142
420000,湖北省,2018,,,,,
420000,湖北省,2017,751526,40514,9921,14693,126848
420000,湖北省,2016,609683,41443,9810,13280,109140
420000,湖北省,2015,522899,41717,9873,13493,90402
420000,湖北省,2014,429641,42640,9874,13447,72193
420000,湖北省,2013,,,,,
420000,湖北省,2012,322331,39425,10520,11374,52314
420000,湖北省,2011,273217,38153,10396,10394,49953
420000,湖北省,2010,239300,37450,10185,9363,49528
420000,湖北省,2009,,,,,
420000,湖北省,2008,,,,,
420000,湖北省,2007,,,,,
420000,湖北省,2006,,,,,
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,477440,44128,10587,11941,128202
430000,湖南省,2018,,,,,
430000,湖南省,2017,502984,42006,12686,9830,117519
430000,湖南省,2016,392705,43318,12712,11321,92603
430000,湖南省,2015,321582,43579,12788,11645,78360
430000,湖南省,2014,277672,44420,12946,11693,78208
430000,湖南省,2013,,,,,
430000,湖南省,2012,221798,40452,12832,8043,60744
430000,湖南省,2011,193955,40549,12915,7922,59512
430000,湖南省,2010,176147,40518,12923,7904,59661
430000,湖南省,2009,,,,,
430000,湖南省,2008,,,,,
430000,湖南省,2007,,,,,
430000,湖南省,2006,,,,,
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,3037617,46181,12937,25149,227272
440000,广东省,2018,,,,,
440000,广东省,2017,1752016,46421,12147,24332,120171
440000,广东省,2016,1325287,46438,11971,24696,113028
440000,广东省,2015,1204941,46198,11916,23774,110193
440000,广东省,2014,1102077,46317,11742,22505,112630
440000,广东省,2013,,,,,
440000,广东省,2012,884679,41463,11781,12675,57849
440000,广东省,2011,788631,40854,11661,11513,55349
440000,广东省,2010,686522,40611,11593,11018,53080
440000,广东省,2009,,,,,
440000,广东省,2008,,,,,
440000,广东省,2007,,,,,
440000,广东省,2006,,,,,
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,497222,42799,8772,10864,81846
450000,广西壮族自治区,2018,,,,,
450000,广西壮族自治区,2017,409008,41509,8565,12566,67694
450000,广西壮族自治区,2016,351445,41280,9329,13091,59335
450000,广西壮族自治区,2015,290980,43387,10615,11204,46401
450000,广西壮族自治区,2014,230232,42819,10555,10249,40708
450000,广西壮族自治区,2013,,,,,
450000,广西壮族自治区,2012,180309,41667,11034,8645,33011
450000,广西壮族自治区,2011,149865,40652,10683,8595,28717
450000,广西壮族自治区,2010,117828,39786,10382,8098,28876
450000,广西壮族自治区,2009,,,,,
450000,广西壮族自治区,2008,,,,,
450000,广西壮族自治区,2007,,,,,
450000,广西壮族自治区,2006,,,,,
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,103994,4107,1583,1365,14493
460000,海南省,2018,,,,,
460000,海南省,2017,77662,4355,1735,1665,14981
460000,海南省,2016,63702,4359,1699,1809,13354
460000,海南省,2015,55689,4326,1697,1764,12619
460000,海南省,2014,43752,4310,1600,1687,12270
460000,海南省,2013,,,,,
460000,海南省,2012,37505,3535,1386,909,5782
460000,海南省,2011,32016,3491,1389,838,4981
460000,海南省,2010,27164,3468,1368,815,4833
460000,海南省,2009,,,,,
460000,海南省,2008,,,,,
460000,海南省,2007,,,,,
460000,海南省,2006,,,,,
460000,海南省,2005,,,,,
460000,海南省,2004,,,,,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,516287,17104,3797,6546,47635
500000,重庆市,2018,,,,,
500000,重庆市,2017,520514,17847,4227,7117,48870
500000,重庆市,2016,460825,18073,4032,7429,42745
500000,重庆市,2015,392712,18037,4037,7571,32520
500000,重庆市,2014,316677,17928,4037,7369,31992
500000,重庆市,2013,,,,,
500000,重庆市,2012,224487,17062,4403,4939,23274
500000,重庆市,2011,176841,16909,4459,4559,20984
500000,重庆市,2010,132525,16764,4469,4197,19939
500000,重庆市,2009,,,,,
500000,重庆市,2008,,,,,
500000,重庆市,2007,,,,,
500000,重庆市,2006,,,,,
500000,重庆市,2005,,,,,
500000,重庆市,2004,,,,,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,628030,59585,16806,16396,146660
510000,四川省,2018,,,,,
510000,四川省,2017,401716,58571,18546,18547,132539
510000,四川省,2016,327339,59930,19358,18721,117549
510000,四川省,2015,288685,60675,19721,20144,100813
510000,四川省,2014,260661,62155,20105,19946,99217
510000,四川省,2013,,,,,
510000,四川省,2012,230936,54562,20076,17127,80507
510000,四川省,2011,206310,53086,19555,16833,70412
510000,四川省,2010,193641,53356,19580,16617,69848
510000,四川省,2009,,,,,
510000,四川省,2008,,,,,
510000,四川省,2007,,,,,
510000,四川省,2006,,,,,
510000,四川省,2005,,,,,
510000,四川省,2004,,,,,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,361163,25550,7024,5772,71642
520000,贵州省,2018,,,,,
520000,贵州省,2017,342972,21416,7346,5809,70107
520000,贵州省,2016,247409,21448,7270,5703,57734
520000,贵州省,2015,199132,21450,7271,6190,31339
520000,贵州省,2014,147403,20901,7190,5546,28820
520000,贵州省,2013,,,,,
520000,贵州省,2012,76025,21701,7211,3785,24693
520000,贵州省,2011,60595,21404,7216,3589,23619
520000,贵州省,2010,54865,21653,7265,3525,22966
520000,贵州省,2009,,,,,
520000,贵州省,2008,,,,,
520000,贵州省,2007,,,,,
520000,贵州省,2006,,,,,
520000,贵州省,2005,,,,,
520000,贵州省,2004,,,,,
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,440778,27245,10239,13553,79606
530000,云南省,2018,,,,,
530000,云南省,2017,457374,22241,11415,11123,76848
530000,云南省,2016,343742,22431,11253,11895,62570
530000,云南省,2015,283491,22606,11266,12330,43067
530000,云南省,2014,192072,22575,11337,12190,40833
530000,云南省,2013,,,,,
530000,云南省,2012,150093,20855,10902,7808,24832
530000,云南省,2011,135280,20398,10917,7716,23011
530000,云南省,2010,111062,20312,10853,7296,21370
530000,云南省,2009,,,,,
530000,云南省,2008,,,,,
530000,云南省,2007,,,,,
530000,云南省,2006,,,,,
530000,云南省,2005,,,,,
530000,云南省,2004,,,,,
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,28257,2660,5166,432,12676
540000,西藏自治区,2018,,,,,
540000,西藏自治区,2017,9461,2301,5764,617,8457
540000,西藏自治区,2016,9593,2358,5795,642,8272
540000,西藏自治区,2015,9441,2360,5791,646,8274
540000,西藏自治区,2014,9030,2372,5797,644,8300
540000,西藏自治区,2013,,,,,
540000,西藏自治区,2012,3434,2168,4124,566,6372
540000,西藏自治区,2011,3265,2170,4108,569,6362
540000,西藏自治区,2010,3037,2163,4105,562,6351
540000,西藏自治区,2009,,,,,
540000,西藏自治区,2008,,,,,
540000,西藏自治区,2007,,,,,
540000,西藏自治区,2006,,,,,
540000,西藏自治区,2005,,,,,
540000,西藏自治区,2004,,,,,
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,444203,27984,8270,13693,92855
610000,陕西省,2018,,,,,
610000,陕西省,2017,333776,29210,9493,7027,83204
610000,陕西省,2016,287034,29980,9641,7282,61437
610000,陕西省,2015,255984,30476,9699,7016,54898
610000,陕西省,2014,207718,30708,9863,6864,54997
610000,陕西省,2013,,,,,
610000,陕西省,2012,176977,26461,8948,3710,39237
610000,陕西省,2011,147432,29571,9435,4346,40570
610000,陕西省,2010,119935,30847,9838,4761,41283
610000,陕西省,2009,,,,,
610000,陕西省,2008,,,,,
610000,陕西省,2007,,,,,
610000,陕西省,2006,,,,,
610000,陕西省,2005,,,,,
610000,陕西省,2004,,,,,
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
610000,陕西省,2000,,,,,
620000,甘肃省,2019,146197,18186,6761,15959,79497
620000,甘肃省,2018,,,,,
620000,甘肃省,2017,127899,19901,7249,8468,58844
620000,甘肃省,2016,125742,19981,7025,9991,48008
620000,甘肃省,2015,115557,19977,7011,9998,43639
620000,甘肃省,2014,93913,20178,7056,9952,42749
620000,甘肃省,2013,,,,,
620000,甘肃省,2012,66817,18485,7065,5635,26732
620000,甘肃省,2011,57616,18351,7059,5468,25706
620000,甘肃省,2010,52559,18313,7075,5353,25133
620000,甘肃省,2009,,,,,
620000,甘肃省,2008,,,,,
620000,甘肃省,2007,,,,,
620000,甘肃省,2006,,,,,
620000,甘肃省,2005,,,,,
620000,甘肃省,2004,,,,,
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,65128,4779,2897,3850,21862
630000,青海省,2018,,,,,
630000,青海省,2017,76169,4270,3005,1790,23539
630000,青海省,2016,41210,4444,2959,2145,14606
630000,青海省,2015,36105,4460,2969,2132,12988
630000,青海省,2014,29731,4457,2984,2099,12803
630000,青海省,2013,,,,,
630000,青海省,2012,17567,3735,2777,1683,7663
630000,青海省,2011,14977,3705,2777,1707,7280
630000,青海省,2010,13225,3692,2769,1558,7082
630000,青海省,2009,,,,,
630000,青海省,2008,,,,,
630000,青海省,2007,,,,,
630000,青海省,2006,,,,,
630000,青海省,2005,,,,,
630000,青海省,2004,,,,,
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,83411,3451,1708,2344,22345
640000,宁夏回族自治区,2018,,,,,
640000,宁夏回族自治区,2017,63463,3045,1526,1637,20892
640000,宁夏回族自治区,2016,56781,3161,1471,1513,18011
640000,宁夏回族自治区,2015,44519,3173,1460,1468,15059
640000,宁夏回族自治区,2014,33919,3223,1466,1678,14321
640000,宁夏回族自治区,2013,,,,,
640000,宁夏回族自治区,2012,28802,2842,1490,2300,8386
640000,宁夏回族自治区,2011,25476,2829,1486,2277,7985
640000,宁夏回族自治区,2010,21446,2837,1485,2266,7929
640000,宁夏回族自治区,2009,,,,,
640000,宁夏回族自治区,2008,,,,,
640000,宁夏回族自治区,2007,,,,,
640000,宁夏回族自治区,2006,,,,,
640000,宁夏回族自治区,2005,,,,,
640000,宁夏回族自治区,2004,,,,,
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,185993,19182,8189,3987,51852
650000,新疆维吾尔自治区,2018,,,,,
650000,新疆维吾尔自治区,2017,176740,17355,8827,5222,41624
650000,新疆维吾尔自治区,2016,151379,17382,8706,6316,38299
650000,新疆维吾尔自治区,2015,129592,17288,8701,6306,34566
650000,新疆维吾尔自治区,2014,110769,17178,8689,6246,34201
650000,新疆维吾尔自治区,2013,,,,,
650000,新疆维吾尔自治区,2012,64883,13823,7796,3917,19690
650000,新疆维吾尔自治区,2011,57561,13694,7763,3845,19066
650000,新疆维吾尔自治区,2010,52915,13604,7707,3790,18712
650000,新疆维吾尔自治区,2009,,,,,
650000,新疆维吾尔自治区,2008,,,,,
650000,新疆维吾尔自治区,2007,,,,,
650000,新疆维吾尔自治区,2006,,,,,
650000,新疆维吾尔自治区,2005,,,,,
650000,新疆维吾尔自治区,2004,,,,,
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
