省份编码,省份,年份,法人单位数(个),农、林、牧、渔业法人单位数(个),采矿业法人单位数(个),制造业法人单位数(个),电力、燃气及水的生产和供应业法人单位数(个),建筑业法人单位数(个),交通运输、仓储和邮政业法人单位数(个),信息传输、计算机服务和软件业法人单位数(个),批发和零售业法人单位数(个),住宿和餐饮业法人单位数(个),金融业法人单位数(个),房地产业法人单位数(个),租赁和商务服务业法人单位数(个),科学研究、技术服务和地质勘查业法人单位数(个),水利、环境和公共设施管理业法人单位数(个),居民服务和其他服务业法人单位数(个),教育业法人单位数(个),卫生、社会保障和社会福利业法人单位数(个),文化、体育和娱乐业法人单位数(个),公共管理和社会组织法人单位数(个),国际组织业法人单位数(个)
140000,山西省,2009,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,381670,60533,4036,23942,3111,28011,11892,9627,93920,4436,1712,13222,35876,16136,3937,7678,12405,5138,8314,37744,
150000,内蒙古自治区,2018,297176,7267,3879,22169,2902,21994,11040,8256,85930,4358,1721,11617,32688,13102,3785,6932,10805,4926,7343,36462,
150000,内蒙古自治区,2017,328901,63495,5935,22835,3320,14341,9938,7178,82851,4619,3134,9448,26513,9404,3605,7496,8639,5404,5531,35215,
150000,内蒙古自治区,2016,272236,46071,5422,20204,2832,9834,7968,5057,68237,3999,2885,7946,20979,8029,2928,6425,7802,5178,4575,35865,
150000,内蒙古自治区,2015,231915,37307,5186,18575,2325,6801,6403,3208,55958,3428,2488,7150,16216,6910,2502,4661,7189,5063,3722,36823,
150000,内蒙古自治区,2014,208636,31322,5097,17424,1905,5599,5622,2427,48765,3137,2264,6885,13677,6379,2362,3697,6894,4999,3357,36824,
150000,内蒙古自治区,2013,157864,7416,4657,15438,1587,4238,4492,1869,39002,2773,,6041,10390,5512,2129,2621,6488,4775,3104,35332,
150000,内蒙古自治区,2012,155136,8928,4740,18085,1425,4674,4267,2196,38712,3449,1816,6293,8901,4258,1878,2787,5673,4486,1900,30668,
150000,内蒙古自治区,2011,147105,7094,4735,17807,1344,4369,3920,2081,35563,3354,1687,5937,8159,4100,1785,2533,5557,4479,1837,30764,
150000,内蒙古自治区,2010,138466,5740,4651,17223,1255,4031,3758,2009,31565,3452,1606,5322,7531,3971,1724,2350,5491,4479,1801,30507,
150000,内蒙古自治区,2009,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2019,621156,50804,3478,87039,3045,36509,21331,27372,169425,8368,3445,22162,61673,29061,3601,11873,19436,11182,11952,39400,
210000,辽宁省,2018,600313,8449,3659,89332,3073,36767,21938,28833,178057,8862,3673,22196,64493,30154,3710,12599,19103,11409,12712,41294,
210000,辽宁省,2017,655309,44088,5913,102403,3209,34252,20100,23389,191012,9528,4439,21985,63283,29623,4889,12487,15352,13511,11215,44631,
210000,辽宁省,2016,596474,36796,6177,98922,2691,30258,17900,18826,169643,8935,4440,20642,55359,26317,4681,11760,15061,13225,10218,44623,
210000,辽宁省,2015,552428,32287,6117,97001,2419,27161,16442,14937,155775,8333,4078,19375,48462,23503,4430,10606,14632,12871,9416,44583,
210000,辽宁省,2014,500312,27981,6039,91540,2169,24239,14438,11279,137479,7500,3571,18170,41114,20888,4186,9339,14196,12909,8745,44530,
210000,辽宁省,2013,415421,9607,5444,82972,1895,19727,12109,8724,115758,6474,,15314,32694,17888,3745,7471,13308,11978,7967,42346,
210000,辽宁省,2012,453601,14181,6091,93851,1973,21772,13580,12119,122551,7575,3615,17678,36142,16450,3665,9661,13499,11123,4880,43195,
210000,辽宁省,2011,388515,13025,5949,92284,1890,20190,10844,9240,95346,6064,2371,14517,26687,13455,3098,7170,11481,10239,3867,40798,
210000,辽宁省,2010,369014,11026,5834,89447,1762,18548,10230,8721,88875,6016,2055,13737,24503,12685,2944,6686,11459,10128,3782,40576,
210000,辽宁省,2009,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2019,212073,32629,924,20501,1588,11267,5959,5987,46743,2439,1280,7282,16725,9169,1637,4066,8276,4302,3922,27377,
220000,吉林省,2018,187449,6364,989,20273,1590,10572,5824,6495,46950,2625,1312,7454,16861,9485,1519,4078,8344,4405,4205,28104,
220000,吉林省,2017,209045,27786,1594,28130,1917,9124,5938,4316,47558,2463,1790,6616,14688,7933,1932,4129,6464,4095,3516,29056,
220000,吉林省,2016,193453,22638,1487,26979,1732,7854,5225,3808,43730,2326,1669,6047,13262,7149,1771,3935,6455,4013,3378,29995,
220000,吉林省,2015,181344,21479,1477,26010,1551,6992,4643,3214,40125,2109,1524,5623,11703,6006,1675,3622,6392,3923,3186,30090,
220000,吉林省,2014,172127,20467,1452,24865,1441,6485,4290,2933,36877,2019,1430,5400,10231,5601,1606,3528,6313,3874,3142,30173,
220000,吉林省,2013,130301,7610,1182,19348,1149,4941,3146,2399,28095,1594,,4384,8223,4556,1335,2942,5572,3483,2736,27606,
220000,吉林省,2012,131947,6096,1532,23580,1252,5218,2959,2207,29292,1714,1007,4498,7395,5116,1342,2157,5251,3271,1844,26216,
220000,吉林省,2011,124637,4998,1544,22750,1213,4625,2704,1778,27609,1691,898,4136,6518,4338,1276,2024,5248,3285,1599,26403,
220000,吉林省,2010,118001,4242,1490,21597,1146,4018,2562,1684,25303,1738,838,3593,6094,4026,1254,1914,5258,3278,1572,26394,
220000,吉林省,2009,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2008,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2007,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,295952,50726,1641,25649,2209,13719,9175,9855,66672,2502,1410,9318,23561,15290,2366,4540,11980,6160,6322,32857,
230000,黑龙江省,2018,256191,4758,1664,26101,2284,13859,9398,10182,69493,2706,1487,9574,24764,15612,2346,4816,11671,6162,6496,32818,
230000,黑龙江省,2017,335310,60981,2826,34449,2403,13883,9726,9530,80414,3492,2254,10349,28045,14699,2494,4997,8495,6280,6301,33692,
230000,黑龙江省,2016,251727,37930,2207,29398,1804,8944,6718,5446,57116,2930,2406,7804,18268,10991,1978,3709,8287,6015,4920,34856,
230000,黑龙江省,2015,225311,32838,2064,27666,1626,7402,5782,4164,49972,2661,2215,7108,14050,8349,1860,3199,8067,5866,4464,35958,
230000,黑龙江省,2014,209042,28504,1965,27546,1510,6831,4912,3350,45135,2499,2038,6753,11440,6729,1820,3001,8092,5855,4133,36929,
230000,黑龙江省,2013,173343,10946,1866,24466,1367,6148,4305,2703,39955,2693,,6024,9757,5916,1708,2748,7719,5573,3988,35461,
230000,黑龙江省,2012,189208,6102,2432,31205,1279,8118,4271,3387,48109,2491,1624,6918,11772,6843,1666,3707,7780,4896,2026,34582,
230000,黑龙江省,2011,184150,5157,2399,31252,1228,7895,4173,3253,46398,2479,1446,6613,11304,6625,1629,3657,7737,4868,1856,34181,
230000,黑龙江省,2010,175798,4250,2365,30745,1124,7136,3811,3007,43777,2983,1244,5839,10152,6083,1594,3426,7682,4831,1793,33956,
230000,黑龙江省,2009,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2019,482353,5384,6,52507,221,18472,17939,25212,142793,19858,9069,22070,76930,31658,2458,17401,9082,4895,12802,13596,
310000,上海市,2018,440696,286,2,49395,193,16214,16002,23484,127314,20445,9539,21457,69898,26067,2228,17678,9227,4933,12599,13735,
310000,上海市,2017,484495,6755,2,83847,210,18642,17210,18695,165868,14306,2802,18050,66973,25077,2210,13114,6101,3407,8172,13054,
310000,上海市,2016,463990,6791,1,83350,199,17532,16475,16460,159464,13787,2482,17282,62017,23051,2102,12855,5988,3338,7621,13195,
310000,上海市,2015,448591,6737,1,82529,191,16781,15963,15863,153401,13238,2258,16553,59133,21533,2068,12568,5945,3325,7315,13189,
310000,上海市,2014,434106,6689,1,81777,185,16250,15560,14876,148697,12958,2029,16068,55448,19994,2061,12302,5895,3289,6864,13163,
310000,上海市,2013,409125,368,2,79599,165,16163,15013,14045,145683,12514,,15129,51181,17386,2035,12073,5708,3118,6266,12677,
310000,上海市,2012,455055,3769,4,92397,305,22208,16219,14029,150676,11590,1479,14202,63975,22603,2127,13307,5760,2983,4941,12481,
310000,上海市,2011,422955,3522,5,90046,307,20388,14940,12645,139449,11694,1128,13860,55317,19150,1968,13396,5615,2818,4453,12254,
310000,上海市,2010,399549,2815,4,86565,294,20058,14411,12051,130212,10687,920,13537,50753,17544,1994,13036,5590,2685,4166,12227,
310000,上海市,2009,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2019,2327217,52735,338,524675,5061,158896,65083,98224,678171,28194,6012,67293,229748,157330,13891,44363,39883,30846,44902,81572,
320000,江苏省,2018,2053630,14591,370,513458,5033,119569,59043,72799,613999,25927,6925,59246,188239,129379,10920,41016,36601,30041,44141,82333,
320000,江苏省,2017,2356034,69105,796,553654,5821,144859,63567,87155,723353,25098,8306,60782,246030,142157,11929,41767,29119,23266,37550,81720,
320000,江苏省,2016,1907732,56236,756,481869,4287,104443,50401,61674,587718,20393,7550,48989,190016,98989,10268,33190,24846,20120,28933,77054,
320000,江苏省,2015,1551446,44605,759,434394,3389,76873,40424,41381,466828,16420,6908,40553,142838,65696,9159,26282,21802,17487,20741,74907,
320000,江苏省,2014,1344793,37928,743,405636,2953,62563,34062,30926,392798,14353,5840,36490,109728,52997,8711,20725,20279,16153,18371,73537,
320000,江苏省,2013,1047033,12971,643,346771,2471,43284,25948,21460,299067,11328,,29144,77822,40130,7501,14760,17858,14231,15410,66234,
320000,江苏省,2012,1096912,26265,1076,375128,2798,55105,25751,23021,303339,12019,5700,30017,81495,27367,6750,18805,17764,11288,9065,64159,
320000,江苏省,2011,979237,20070,1067,349839,2665,48874,22010,18260,266216,10858,5059,27369,65189,20893,6053,16561,16869,10821,7352,63212,
320000,江苏省,2010,862205,15525,1236,322605,3029,40517,18907,16029,224964,10176,4190,23761,51979,17746,5610,13907,15415,10020,6312,60277,
320000,江苏省,2009,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2008,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2007,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2019,1905578,48826,856,454683,5678,68111,39002,80752,613479,27954,15777,54133,190757,78935,10103,33452,46240,14637,42742,79461,
330000,浙江省,2018,1545153,2794,841,424775,5240,51741,32133,55067,465896,24951,16965,46052,157725,61583,8556,26474,37929,12391,36470,77570,
330000,浙江省,2017,1792465,71386,1308,473283,6483,57301,31988,76660,536211,24856,10786,41415,206460,67948,9869,23451,27584,11551,30861,83064,
330000,浙江省,2016,1497165,67211,1260,434321,5208,44305,25963,51124,430888,20961,8853,32749,152078,53401,8191,18739,24772,9787,25203,82151,
330000,浙江省,2015,1346362,64569,1339,423211,4856,37693,22591,36445,374162,19122,8005,29342,120967,43731,7155,17458,23549,8873,21070,82224,
330000,浙江省,2014,1235667,62483,1387,417132,4633,32730,20161,25388,335289,17271,5498,28067,98892,35096,6565,15590,22464,8041,17680,81300,
330000,浙江省,2013,962213,4118,1279,365388,4338,23416,16851,16505,253594,13887,,23807,73675,25323,5542,12375,21049,7375,14697,78994,
330000,浙江省,2012,865140,38278,1508,324348,4057,24059,15490,19949,196797,9072,3065,20423,68184,22256,4969,9572,17736,7144,7218,71015,
330000,浙江省,2011,778193,28997,1503,304763,4032,21081,14218,17387,165076,8300,2607,19196,59494,19067,4476,8345,16742,6921,6044,69944,
330000,浙江省,2010,685493,21038,1526,276974,3944,17919,12628,14967,133480,7549,2484,16748,50294,16517,4024,7194,16018,6922,5274,69993,
330000,浙江省,2009,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2008,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2007,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2019,946508,108730,1231,116544,5551,71766,25554,34281,252193,17297,3243,28027,99194,44132,7114,21340,25780,11490,21037,52004,
340000,安徽省,2018,813279,16525,1237,112646,5608,62462,24424,30440,242064,16738,3270,26697,90577,41985,6426,21003,25508,11564,21353,52752,
340000,安徽省,2017,872865,113629,2716,124605,5449,53227,23453,30019,230282,15319,5452,24983,90744,32816,6811,19115,18901,10105,18125,47114,
340000,安徽省,2016,651253,74581,2663,101640,3696,34345,18049,19282,166351,11076,5099,19504,64747,23937,5013,12809,16972,9484,14519,47486,
340000,安徽省,2015,564967,67845,2616,92414,3183,27029,15307,13734,136555,9009,4478,17223,52265,20225,4301,10042,16224,9301,13372,49844,
340000,安徽省,2014,467775,51112,2595,81904,2674,22319,12573,8843,107659,7192,3717,15438,39947,15405,3709,7797,15349,8994,11029,49519,
340000,安徽省,2013,350360,11993,2405,71494,2426,16073,10242,6130,82267,5874,,12522,28508,12606,3043,5473,14217,8574,8852,47661,
340000,安徽省,2012,324622,14004,3096,71928,2319,15424,9761,7572,74576,5414,3069,13254,24754,8913,2654,5033,12597,5458,3204,41592,
340000,安徽省,2011,286915,9084,3108,65867,2210,12952,8114,6149,61007,4889,2547,11824,18656,7337,2322,4352,13538,6207,2653,44099,
340000,安徽省,2010,242591,5435,3132,59271,2054,9946,6140,5499,46945,4453,1979,9396,12280,5453,1891,3269,13065,6077,2280,44026,
340000,安徽省,2009,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2008,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2007,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2019,941297,51198,1569,135044,6424,45254,19663,46518,317460,14732,3773,21837,99758,40404,6224,17847,22421,6777,25113,59281,
350000,福建省,2018,702826,4332,1567,116023,6582,32300,16714,32791,236338,12861,3347,18144,69411,27310,4849,15468,20876,6262,19022,58629,
350000,福建省,2017,870050,55999,3024,152699,7465,36498,19128,31233,274120,13252,5360,19921,90980,34023,5574,15312,18066,8546,16348,62502,
350000,福建省,2016,751748,47858,2981,138926,6888,28007,16912,22801,230843,11574,4938,17417,76540,27025,4834,13098,17130,8162,12883,62931,
350000,福建省,2015,664420,41418,3241,132615,7073,22420,15702,16932,193733,10556,4432,16047,62383,21860,4419,11346,16785,8362,11493,63603,
350000,福建省,2014,566075,33397,3101,119932,6860,17719,13425,11738,155845,9158,3535,14794,48347,17502,3975,9326,16174,8201,9927,63119,
350000,福建省,2013,373792,2468,2157,86140,6096,10122,8976,6636,97491,6430,,10048,29040,12126,3028,5993,13974,7483,7234,58350,
350000,福建省,2012,399091,19288,3127,97279,6570,12856,9333,8875,100295,6455,3535,12038,30609,9824,2923,5919,12618,6127,5082,46338,
350000,福建省,2011,356207,14630,3038,88371,6442,10827,8393,7823,84609,5848,3311,11291,25715,8801,2667,5453,12276,6064,4622,46026,
350000,福建省,2010,307811,11042,2866,76980,6230,8925,7383,6537,66702,5055,2596,10014,20864,7901,2334,4856,11898,6161,3829,45638,
350000,福建省,2009,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2008,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2007,,,,,,,,,,,,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,,,,,,,,,,,,
