省份编码,省份,年份,城镇居民人均可支配收入(元),城镇居民人均总收入(元),城镇居民人均工资性收入(元),城镇居民人均经营净收入(元),城镇居民人均财产性收入(元),城镇居民人均转移性收入(元)
130000,河北省,2004,7951.31,8381.42,5589.89,334.28,108.97,2348.28
130000,河北省,2003,7239.06,7608.43,4924.32,279.23,118.82,2286.06
130000,河北省,2002,6679.68,7015.2,4497.24,227.16,98.76,2192.04
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,,,,,
140000,山西省,2014,,,,,,
140000,山西省,2013,,,,,,
140000,山西省,2012,20411.71,22100.31,14973.64,1041.43,301.84,5783.41
140000,山西省,2011,18123.87,19666.1,13146.47,875.24,274.09,5370.29
140000,山西省,2010,15647.66,16893.0,10784.74,1044.85,198.59,4864.81
140000,山西省,2009,13996.55,14983.15,9741.38,944.42,252.39,4044.97
140000,山西省,2008,13119.05,13858.98,9019.35,983.21,202.31,3654.11
140000,山西省,2007,11564.95,12468.41,9057.81,431.07,187.46,2792.06
140000,山西省,2006,10027.7,10793.89,7877.3,377.03,159.43,2380.14
140000,山西省,2005,8913.91,9538.56,7103.45,350.96,136.38,1947.77
140000,山西省,2004,7902.86,8428.81,6338.8,335.91,141.19,1612.92
140000,山西省,2003,7005.03,7446.89,5527.89,302.37,87.23,1529.41
140000,山西省,2002,6234.36,6528.48,4704.72,241.68,90.48,1491.6
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,,,,,,
150000,内蒙古自治区,2014,,,,,,
150000,内蒙古自治区,2013,,,,,,
150000,内蒙古自治区,2012,23150.26,24790.79,16872.58,2698.67,564.02,4655.51
150000,内蒙古自治区,2011,20407.57,21890.19,14779.08,2320.36,513.36,4277.38
150000,内蒙古自治区,2010,17698.15,19014.24,12614.46,2013.77,432.82,3953.19
150000,内蒙古自治区,2009,15849.19,16951.35,11267.4,1737.04,363.81,3583.1
150000,内蒙古自治区,2008,14432.55,15195.44,10284.43,1555.31,324.64,3031.05
150000,内蒙古自治区,2007,12377.84,12977.07,9300.62,1036.97,303.92,2335.56
150000,内蒙古自治区,2006,10357.99,10811.87,7552.68,955.6,209.77,2093.82
150000,内蒙古自治区,2005,9136.79,9565.14,6669.48,857.63,161.25,1876.78
150000,内蒙古自治区,2004,8122.99,8488.13,5893.79,757.82,98.59,1737.93
150000,内蒙古自治区,2003,7012.9,7351.58,5235.96,614.22,83.73,1417.66
150000,内蒙古自治区,2002,6051.0,6341.28,4552.32,525.84,51.0,1212.12
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,,,,,,
210000,辽宁省,2014,,,,,,
210000,辽宁省,2013,,,,,,
210000,辽宁省,2012,23222.67,25915.72,14846.05,2710.3,493.01,7866.35
210000,辽宁省,2011,20466.84,22879.77,13093.86,2285.41,333.55,7166.95
210000,辽宁省,2010,17712.58,20014.57,11712.68,1797.82,249.59,6254.48
210000,辽宁省,2009,15761.38,17757.7,10420.6,1553.18,239.81,5544.11
210000,辽宁省,2008,14392.69,15836.25,9494.59,1483.3,248.04,4610.32
210000,辽宁省,2007,12300.39,13438.43,8213.06,765.33,263.73,4196.3
210000,辽宁省,2006,10369.61,11230.03,6611.44,688.16,146.49,3783.94
210000,辽宁省,2005,9107.55,9837.2,6103.41,486.03,95.6,3152.17
210000,辽宁省,2004,8007.56,8706.46,5806.05,333.47,79.35,2487.58
210000,辽宁省,2003,7240.58,7832.7,5204.18,314.61,63.26,2250.65
210000,辽宁省,2002,6524.52,6941.4,4692.6,289.92,58.08,1900.8
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,,,,,,
220000,吉林省,2014,,,,,,
220000,吉林省,2013,,,,,,
220000,吉林省,2012,20208.04,21659.64,13535.33,2168.82,324.03,5631.45
220000,吉林省,2011,17796.57,19211.71,12217.09,1860.32,235.31,4898.99
220000,吉林省,2010,15411.47,16794.45,10621.43,1363.73,163.83,4645.45
220000,吉林省,2009,14006.27,15155.16,9482.13,1307.31,145.73,4219.98
220000,吉林省,2008,12829.45,13606.03,8677.27,1154.14,97.74,3676.88
220000,吉林省,2007,11285.52,11798.58,7641.21,741.51,131.8,3284.07
220000,吉林省,2006,9775.07,10245.28,6576.52,786.22,117.26,2765.28
220000,吉林省,2005,8690.62,9122.99,5905.86,712.86,80.7,2423.57
220000,吉林省,2004,7840.61,8226.78,5447.36,791.6,69.69,1918.14
220000,吉林省,2003,7005.17,7311.23,4828.31,575.1,100.76,1807.06
220000,吉林省,2002,6260.16,6522.6,4294.68,486.12,68.52,1673.28
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,,,,,,
230000,黑龙江省,2014,,,,,,
230000,黑龙江省,2013,,,,,,
230000,黑龙江省,2012,17759.75,19367.84,11700.5,1729.29,186.1,5751.95
230000,黑龙江省,2011,15696.18,17118.49,10235.04,1529.14,141.26,5213.05
230000,黑龙江省,2010,13856.51,15095.55,9087.59,1266.72,102.05,4639.19
230000,黑龙江省,2009,12565.98,13689.85,8356.66,1224.29,88.94,4019.96
230000,黑龙江省,2008,11581.28,12264.06,7393.39,1241.37,122.83,3506.48
230000,黑龙江省,2007,10245.28,10882.21,6945.95,919.67,98.26,2918.34
230000,黑龙江省,2006,9182.31,9721.9,6028.06,1032.13,99.33,2562.37
230000,黑龙江省,2005,8272.51,8722.47,5478.03,858.68,72.97,2312.8
230000,黑龙江省,2004,7470.71,7803.41,5031.88,611.3,46.04,2114.18
230000,黑龙江省,2003,6678.9,6968.01,4489.37,511.68,38.03,1928.94
230000,黑龙江省,2002,6100.56,6333.72,3954.12,418.2,23.4,1938.0
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,,,,,,
310000,上海市,2014,,,,,,
310000,上海市,2013,,,,,,
310000,上海市,2012,40188.34,44754.5,31109.3,2267.15,575.82,10802.23
310000,上海市,2011,36230.48,40532.29,28550.76,1994.12,633.12,9354.29
310000,上海市,2010,31838.08,35738.51,25439.97,1628.22,512.12,8158.2
310000,上海市,2009,28837.78,32402.97,23172.36,1434.88,473.4,7322.32
310000,上海市,2008,26674.9,29759.13,21791.11,1399.14,369.12,6199.77
310000,上海市,2007,23622.73,26101.54,18996.58,1157.55,368.79,5578.63
310000,上海市,2006,20667.91,22808.57,16016.4,958.5,300.26,5533.42
310000,上海市,2005,18645.03,20602.9,14280.65,798.07,292.17,5232.0
310000,上海市,2004,16682.82,18501.66,13156.67,506.77,214.74,4623.47
310000,上海市,2003,14867.49,16380.24,11525.99,376.71,130.05,4347.49
310000,上海市,2002,13249.8,14395.8,8974.8,435.96,94.44,4890.6
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,,,,,,
320000,江苏省,2014,,,,,,
320000,江苏省,2013,,,,,,
320000,江苏省,2012,29676.97,32519.1,20102.05,3421.9,689.96,8305.2
320000,江苏省,2011,26340.73,28971.98,17761.58,3026.57,667.06,7516.76
320000,江苏省,2010,22944.26,25115.4,14816.87,2519.06,471.04,7308.57
320000,江苏省,2009,20551.72,22494.94,13480.72,2139.83,381.71,6492.69
320000,江苏省,2008,18679.52,20175.57,12319.86,1999.61,307.31,5548.78
320000,江苏省,2007,16378.01,17686.48,10791.22,1502.06,402.85,4990.35
320000,江苏省,2006,14084.26,15248.66,9501.35,1259.84,259.57,4227.9
320000,江苏省,2005,12318.57,13329.95,8397.15,1028.69,240.43,3663.68
320000,江苏省,2004,10481.93,11236.68,6869.0,752.1,202.02,3413.56
320000,江苏省,2003,9262.46,9912.14,6091.04,638.82,151.13,3031.1
320000,江苏省,2002,8177.64,8738.52,5494.32,297.84,99.12,2847.24
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,,,,,,
330000,浙江省,2014,,,,,,
330000,浙江省,2013,,,,,,
330000,浙江省,2012,34550.3,37994.83,22385.09,4694.4,1465.32,9450.02
330000,浙江省,2011,30970.68,34264.38,20334.25,4383.89,1572.34,7973.91
330000,浙江省,2010,27359.02,30134.79,18313.6,3640.87,1470.13,6710.19
330000,浙江省,2009,24610.81,27119.3,16701.04,3294.48,1414.52,5709.26
330000,浙江省,2008,22726.66,24980.78,15538.83,3161.87,1324.94,4955.14
330000,浙江省,2007,20573.82,22583.83,14509.69,2611.91,1080.28,4381.95
330000,浙江省,2006,18265.1,19954.03,13015.77,2172.13,888.78,3877.35
330000,浙江省,2005,16293.77,17877.36,11941.09,1921.75,552.94,3461.58
330000,浙江省,2004,14546.38,15881.63,10752.74,1336.37,383.55,3408.98
330000,浙江省,2003,13179.53,14295.38,9692.52,1171.51,373.97,3057.39
330000,浙江省,2002,11715.6,12682.44,8533.8,761.28,202.08,3185.28
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,,,,,,
340000,安徽省,2014,,,,,,
340000,安徽省,2013,,,,,,
340000,安徽省,2012,21024.21,23524.56,14812.54,2155.33,549.62,6007.07
340000,安徽省,2011,18606.13,20751.11,12915.97,1874.45,569.96,5390.73
340000,安徽省,2010,15788.17,17626.71,11442.43,1172.36,427.01,4584.91
340000,安徽省,2009,14085.74,15691.94,10362.39,1023.48,272.87,4033.2
340000,安徽省,2008,12990.35,14159.46,9302.38,959.43,293.92,3603.72
340000,安徽省,2007,11473.58,12499.34,8683.96,688.34,249.78,2877.25
340000,安徽省,2006,9771.05,10574.51,7430.86,680.25,148.27,2315.13
340000,安徽省,2005,8470.68,9184.55,6425.54,620.71,124.59,2013.71
340000,安徽省,2004,7511.43,7993.55,5583.71,513.2,117.96,1778.68
340000,安徽省,2003,6778.03,7155.91,4878.3,371.1,114.37,1792.14
340000,安徽省,2002,6032.4,6334.56,4438.56,251.88,106.08,1538.04
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,,,,,,
350000,福建省,2014,,,,,,
350000,福建省,2013,,,,,,
350000,福建省,2012,28055.24,30877.92,19976.01,3336.96,1795.21,5769.73
350000,福建省,2011,24907.4,27378.11,17438.81,2991.66,1752.82,5194.82
350000,福建省,2010,21781.31,24149.59,15682.48,2135.92,1420.84,4910.35
350000,福建省,2009,19576.83,21692.35,14211.49,2054.95,1172.76,4253.15
350000,福建省,2008,17961.45,19686.15,12668.82,2185.13,952.91,3879.29
350000,福建省,2007,15506.05,16983.26,11175.25,1208.84,739.89,3859.28
350000,福建省,2006,13753.28,15102.39,10164.49,956.46,508.74,3472.69
350000,福建省,2005,12321.31,13407.6,8791.56,839.36,447.98,3328.7
350000,福建省,2004,11175.37,12117.93,7996.08,729.86,347.97,3044.02
350000,福建省,2003,9999.54,10816.32,7499.01,547.79,285.75,2483.78
350000,福建省,2002,9189.36,9861.48,6869.28,514.56,146.76,2330.88
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,,,,,,
360000,江西省,2014,,,,,,
360000,江西省,2013,,,,,,
360000,江西省,2012,19860.36,21150.24,13348.06,1946.82,527.63,5327.72
360000,江西省,2011,17494.87,18656.52,11654.36,1721.84,471.73,4808.59
360000,江西省,2010,15481.12,16558.01,10613.83,1266.21,344.77,4333.2
360000,江西省,2009,14021.54,15047.19,9789.79,1153.45,239.83,3864.13
360000,江西省,2008,12866.44,13463.58,9105.96,1106.31,265.35,2985.96
360000,江西省,2007,11451.69,11984.0,8411.73,655.34,155.54,2761.39
360000,江西省,2006,9551.12,10014.61,6897.94,653.39,106.95,2356.34
360000,江西省,2005,8619.66,9042.45,6222.55,532.56,81.19,2206.16
360000,江西省,2004,7559.64,7876.7,5541.74,433.67,88.52,1812.77
360000,江西省,2003,6901.42,7153.65,5108.21,366.43,63.76,1615.26
360000,江西省,2002,6335.64,6521.28,4598.64,301.92,68.64,1552.08
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,,,,,,
370000,山东省,2014,,,,,,
370000,山东省,2013,,,,,,
370000,山东省,2012,25755.19,28005.61,19856.05,2621.41,704.9,4823.24
370000,山东省,2011,22791.84,24889.8,17629.4,2294.85,615.69,4349.86
370000,山东省,2010,19945.83,21736.94,15731.23,1703.72,490.22,3811.78
370000,山东省,2009,17811.04,19336.91,13985.83,1379.02,412.76,3559.3
370000,山东省,2008,16305.41,17548.97,12940.62,1194.4,346.9,3067.05
370000,山东省,2007,14264.7,15366.26,11814.19,730.16,304.71,2517.21
370000,山东省,2006,12192.24,13222.85,10442.06,558.18,220.66,2001.96
370000,山东省,2005,10744.79,11607.82,9026.55,492.12,151.86,1937.29
370000,山东省,2004,9437.8,10187.12,8327.11,299.94,116.84,1443.23
370000,山东省,2003,8399.91,9057.58,7418.42,227.91,109.78,1301.47
370000,山东省,2002,7614.36,8158.08,6702.72,155.04,79.08,1221.24
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,,,,,,
410000,河南省,2014,,,,,,
410000,河南省,2013,,,,,,
410000,河南省,2012,20442.62,21897.23,13666.49,2545.14,333.81,5351.78
410000,河南省,2011,18194.8,19526.92,12039.24,2264.36,286.02,4937.3
410000,河南省,2010,15930.26,17141.8,10804.88,1478.06,222.07,4636.8
410000,河南省,2009,14371.56,15408.04,9910.46,1202.69,164.85,4130.05
410000,河南省,2008,13231.11,13907.8,9043.52,1161.96,156.46,3545.86
410000,河南省,2007,11477.05,12082.99,8058.81,819.34,159.63,3045.21
410000,河南省,2006,9810.26,10339.2,6861.49,770.4,129.72,2577.6
410000,河南省,2005,8667.97,9145.98,6095.49,660.88,95.77,2293.83
410000,河南省,2004,7704.9,8073.36,5322.07,429.33,126.04,2195.92
410000,河南省,2003,6926.12,7245.0,4757.86,362.92,84.64,2039.58
410000,河南省,2002,6245.4,6515.52,4288.8,301.8,74.88,1850.04
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,,,,,,
420000,湖北省,2014,,,,,,
420000,湖北省,2013,,,,,,
420000,湖北省,2012,20839.59,22903.85,14191.04,2158.33,476.23,6078.25
420000,湖北省,2011,18373.87,20193.27,12622.44,1906.73,357.15,5306.95
420000,湖北省,2010,16058.37,17572.83,11460.49,1391.83,378.34,4342.17
420000,湖北省,2009,14367.48,15698.11,10331.51,1232.29,296.63,3837.68
420000,湖北省,2008,13152.86,14174.27,9474.81,1114.68,244.13,3340.65
420000,湖北省,2007,11485.8,12382.93,8809.8,602.17,217.86,2753.1
420000,湖北省,2006,9802.65,10533.34,7573.56,486.9,122.79,2350.08
420000,湖北省,2005,8785.94,9395.1,6576.92,419.74,112.34,2286.09
420000,湖北省,2004,8022.75,8522.06,6390.81,291.87,122.72,1716.66
420000,湖北省,2003,7321.98,7745.77,5847.66,238.62,85.03,1574.45
420000,湖北省,2002,6788.52,7142.16,5278.2,179.4,96.0,1588.56
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,,,,,,
430000,湖南省,2014,,,,,,
430000,湖南省,2013,,,,,,
430000,湖南省,2012,21318.76,22804.55,13237.06,3008.33,867.76,5691.4
430000,湖南省,2011,18844.05,20083.87,11550.09,2674.18,770.66,5088.95
430000,湖南省,2010,16565.7,17657.06,10782.04,1880.9,541.11,4453.02
430000,湖南省,2009,15084.31,16078.12,9854.09,1744.37,419.17,4060.49
430000,湖南省,2008,13821.16,14577.27,9070.97,1575.08,316.48,3614.74
430000,湖南省,2007,12293.54,12997.91,8612.48,975.13,388.19,3022.1
430000,湖南省,2006,10504.67,11146.07,7401.73,929.83,287.22,2527.3
430000,湖南省,2005,9523.97,10106.07,6805.3,872.3,195.6,2232.87
430000,湖南省,2004,8617.48,9190.21,6807.36,494.07,92.9,1795.88
430000,湖南省,2003,7674.2,8145.07,5984.74,356.17,100.65,1703.5
430000,湖南省,2002,6958.56,7371.84,5408.16,235.44,111.0,1617.24
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,,,,,,
440000,广东省,2014,,,,,,
440000,广东省,2013,,,,,,
440000,广东省,2012,30226.71,34044.38,23632.2,3603.89,1468.73,5339.56
440000,广东省,2011,26897.48,30218.76,21092.14,3035.25,1242.95,4848.42
440000,广东省,2010,23897.8,26896.86,18902.43,2666.53,956.6,4371.3
440000,广东省,2009,21574.72,24116.46,16898.88,2459.83,736.55,4021.2
440000,广东省,2008,19732.86,21678.51,15188.39,2405.92,701.25,3382.95
440000,广东省,2007,17699.3,19618.89,14659.44,1331.54,649.44,2978.48
440000,广东省,2006,16015.58,17725.56,13031.33,1339.38,565.47,2789.37
440000,广东省,2005,14769.94,16249.89,12265.04,1043.51,417.25,2524.09
440000,广东省,2004,13627.65,14953.39,11646.42,738.35,371.29,2197.34
440000,广东省,2003,12380.43,13451.13,10413.47,621.51,307.52,2108.62
440000,广东省,2002,11137.2,11960.88,9284.16,561.24,228.48,1887.0
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,,,,,,
450000,广西壮族自治区,2014,,,,,,
450000,广西壮族自治区,2013,,,,,,
450000,广西壮族自治区,2012,21242.8,23209.41,14693.47,2131.79,883.71,5500.43
450000,广西壮族自治区,2011,18854.06,20846.11,13550.16,1699.84,844.91,4751.2
450000,广西壮族自治区,2010,17063.89,18742.21,12061.82,1474.9,576.87,4628.62
450000,广西壮族自治区,2009,15451.48,17032.89,11193.64,1385.85,493.36,3960.05
450000,广西壮族自治区,2008,14146.04,15393.18,10321.2,1314.4,441.15,3316.44
450000,广西壮族自治区,2007,12200.44,13182.57,9075.18,890.76,449.41,2767.22
450000,广西壮族自治区,2006,9898.75,10624.3,7419.4,890.81,189.81,2124.28
450000,广西壮族自治区,2005,9286.7,10022.4,6975.39,519.87,176.13,2351.0
450000,广西壮族自治区,2004,8689.99,9324.0,6737.7,341.9,174.2,2070.21
450000,广西壮族自治区,2003,7785.04,8293.9,6149.78,402.44,169.18,1572.5
450000,广西壮族自治区,2002,7315.32,7756.92,5835.84,354.6,142.08,1424.4
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,,,,,,
460000,海南省,2014,,,,,,
460000,海南省,2013,,,,,,
460000,海南省,2012,20917.71,22809.87,14672.28,2397.44,717.61,5022.54
460000,海南省,2011,18368.95,20094.18,12876.92,2158.62,715.4,4343.24
460000,海南省,2010,15581.05,16929.63,10957.92,1716.74,559.76,3695.21
460000,海南省,2009,13750.85,14909.28,9678.65,1531.7,424.46,3274.46
460000,海南省,2008,12607.84,13598.6,8999.75,1311.38,396.89,2890.59
460000,海南省,2007,10996.87,11792.05,8113.01,695.84,282.99,2700.21
460000,海南省,2006,9395.13,10081.7,6954.45,727.12,231.24,2168.9
460000,海南省,2005,8123.94,8670.15,6071.2,661.59,198.15,1739.21
460000,海南省,2004,7735.78,8121.85,5599.27,261.99,267.81,1992.78
460000,海南省,2003,7259.25,7605.69,5020.58,243.14,288.08,2053.9
460000,海南省,2002,6822.72,7174.2,4930.68,258.72,226.2,1758.6
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,,,,,,
500000,重庆市,2014,,,,,,
500000,重庆市,2013,,,,,,
500000,重庆市,2012,22968.14,24810.98,15415.44,2183.51,538.43,6673.59
500000,重庆市,2011,20249.7,21794.27,13827.72,1779.43,433.71,5753.42
500000,重庆市,2010,17532.43,18990.54,12738.2,1263.2,312.64,4676.51
500000,重庆市,2009,15748.67,16990.3,11824.0,1018.76,253.98,3893.57
500000,重庆市,2008,14367.55,15217.73,10957.62,788.26,205.94,3265.92
500000,重庆市,2007,12590.78,13441.17,9717.48,654.81,230.41,2838.48
500000,重庆市,2006,11569.74,12548.91,9266.42,525.23,192.87,2564.39
500000,重庆市,2005,10243.46,11079.15,7848.52,492.44,188.22,2549.97
500000,重庆市,2004,9220.96,9910.09,7162.69,228.53,109.67,2409.2
500000,重庆市,2003,8093.67,8671.91,6288.55,114.13,80.8,2188.43
500000,重庆市,2002,7238.04,7663.32,5190.96,188.52,44.88,2238.96
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,,,,,,
510000,四川省,2014,,,,,,
510000,四川省,2013,,,,,,
510000,四川省,2012,20306.99,22328.33,14249.32,2017.84,633.82,5427.34
510000,四川省,2011,17899.12,19688.09,12687.29,1670.51,523.24,4807.05
510000,四川省,2010,15461.16,17128.89,11310.7,1198.69,378.08,4241.43
510000,四川省,2009,13839.4,15323.76,10132.43,1132.13,305.38,3753.81
510000,四川省,2008,12633.38,13685.1,9117.0,1040.14,262.9,3265.06
510000,四川省,2007,11098.28,12009.81,8147.31,755.17,297.53,2809.79
510000,四川省,2006,9350.11,10117.0,6675.99,644.0,260.22,2536.79
510000,四川省,2005,8385.96,9003.59,5838.27,515.49,211.41,2438.41
510000,四川省,2004,7709.87,8261.44,5461.35,439.25,197.4,2163.45
510000,四川省,2003,7041.87,7488.49,4910.82,351.14,183.45,2043.09
510000,四川省,2002,6610.8,6988.56,4552.32,343.2,130.44,1962.6
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,,,,,,
520000,贵州省,2014,,,,,,
520000,贵州省,2013,,,,,,
520000,贵州省,2012,18700.51,20042.88,12309.17,1982.45,355.7,5395.56
520000,贵州省,2011,16495.01,17598.87,10754.45,1614.67,356.41,4873.34
520000,贵州省,2010,14142.74,15138.8,9627.99,1174.02,213.83,4122.96
520000,贵州省,2009,12862.53,13793.38,9005.57,1135.05,134.34,3518.42
