省份编码,省份,年份,城乡居民人民币储蓄存款年底余额(亿元)
650000,新疆维吾尔自治区,2009,3050.8
650000,新疆维吾尔自治区,2008,2552.97
650000,新疆维吾尔自治区,2007,2054.91
650000,新疆维吾尔自治区,2006,2035.63
650000,新疆维吾尔自治区,2005,1816.4
650000,新疆维吾尔自治区,2004,1534.67
650000,新疆维吾尔自治区,2003,1371.83
650000,新疆维吾尔自治区,2002,1137.6
650000,新疆维吾尔自治区,2001,
650000,新疆维吾尔自治区,2000,
