省份编码,省份,年份,孤儿数(人),家庭儿童收养登记总数(件),中国公民收养登记数(件),外国公民收养登记数(件)
220000,吉林省,2000,,,,
230000,黑龙江省,2019,4075,86,76,10
230000,黑龙江省,2018,4860,101,73,28
230000,黑龙江省,2017,6725,106,84,22
230000,黑龙江省,2016,7286,69,45,24
230000,黑龙江省,2015,7465,44,34,10
230000,黑龙江省,2014,7884,47,29,18
230000,黑龙江省,2013,8121,93,66,27
230000,黑龙江省,2012,8722,78,53,25
230000,黑龙江省,2011,4383,104,53,51
230000,黑龙江省,2010,,,,
230000,黑龙江省,2009,,,,
230000,黑龙江省,2008,,,,
230000,黑龙江省,2007,,,,
230000,黑龙江省,2006,,,,
230000,黑龙江省,2005,,,,
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,,,,
230000,黑龙江省,2002,,,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,1409,94,77,17
310000,上海市,2018,1582,93,70,23
310000,上海市,2017,1670,212,152,60
310000,上海市,2016,1824,306,246,60
310000,上海市,2015,1964,199,145,54
310000,上海市,2014,2054,255,182,73
310000,上海市,2013,2141,316,250,66
310000,上海市,2012,2224,503,382,121
310000,上海市,2011,2270,736,514,222
310000,上海市,2010,,,,
310000,上海市,2009,,,,
310000,上海市,2008,,,,
310000,上海市,2007,,,,
310000,上海市,2006,,,,
310000,上海市,2005,,,,
310000,上海市,2004,,,,
310000,上海市,2003,,,,
310000,上海市,2002,,,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,7983,1365,1315,50
320000,江苏省,2018,9605,1550,1442,108
320000,江苏省,2017,15301,1637,1515,122
320000,江苏省,2016,16510,1721,1561,160
320000,江苏省,2015,17691,2329,2128,201
320000,江苏省,2014,18445,2018,1828,190
320000,江苏省,2013,19503,2636,2423,213
320000,江苏省,2012,19563,2876,2660,216
320000,江苏省,2011,17866,3635,3374,261
320000,江苏省,2010,,,,
320000,江苏省,2009,,,,
320000,江苏省,2008,,,,
320000,江苏省,2007,,,,
320000,江苏省,2006,,,,
320000,江苏省,2005,,,,
320000,江苏省,2004,,,,
320000,江苏省,2003,,,,
320000,江苏省,2002,,,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,2945,1363,1337,26
330000,浙江省,2018,3315,2118,2079,39
330000,浙江省,2017,3851,3174,3087,87
330000,浙江省,2016,4235,2483,2403,80
330000,浙江省,2015,4827,3390,3308,82
330000,浙江省,2014,5088,4206,4126,80
330000,浙江省,2013,5204,4037,3956,81
330000,浙江省,2012,5872,4092,4006,86
330000,浙江省,2011,8016,4959,4849,110
330000,浙江省,2010,,,,
330000,浙江省,2009,,,,
330000,浙江省,2008,,,,
330000,浙江省,2007,,,,
330000,浙江省,2006,,,,
330000,浙江省,2005,,,,
330000,浙江省,2004,,,,
330000,浙江省,2003,,,,
330000,浙江省,2002,,,,
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,9724,278,271,7
340000,安徽省,2018,25949,349,316,33
340000,安徽省,2017,26855,593,534,59
340000,安徽省,2016,27250,737,654,83
340000,安徽省,2015,26993,878,763,115
340000,安徽省,2014,27073,1010,911,99
340000,安徽省,2013,27076,1046,882,164
340000,安徽省,2012,27947,1189,1013,176
340000,安徽省,2011,29351,1251,1196,55
340000,安徽省,2010,,,,
340000,安徽省,2009,,,,
340000,安徽省,2008,,,,
340000,安徽省,2007,,,,
340000,安徽省,2006,,,,
340000,安徽省,2005,,,,
340000,安徽省,2004,,,,
340000,安徽省,2003,,,,
340000,安徽省,2002,,,,
340000,安徽省,2001,,,,
340000,安徽省,2000,,,,
350000,福建省,2019,3326,337,321,16
350000,福建省,2018,3727,566,536,30
350000,福建省,2017,4660,613,554,59
350000,福建省,2016,5504,1076,1008,68
350000,福建省,2015,6012,1264,1187,77
350000,福建省,2014,6437,1288,1233,55
350000,福建省,2013,6642,1150,1104,46
350000,福建省,2012,6711,1075,1010,65
350000,福建省,2011,6808,1316,1214,102
350000,福建省,2010,,,,
350000,福建省,2009,,,,
350000,福建省,2008,,,,
350000,福建省,2007,,,,
350000,福建省,2006,,,,
350000,福建省,2005,,,,
350000,福建省,2004,,,,
350000,福建省,2003,,,,
350000,福建省,2002,,,,
350000,福建省,2001,,,,
350000,福建省,2000,,,,
360000,江西省,2019,7040,124,45,79
360000,江西省,2018,9274,139,59,80
360000,江西省,2017,22688,183,88,95
360000,江西省,2016,21358,284,167,117
360000,江西省,2015,23133,414,291,123
360000,江西省,2014,24860,607,439,168
360000,江西省,2013,27107,872,619,253
360000,江西省,2012,28668,2517,1997,520
360000,江西省,2011,30605,1494,702,792
360000,江西省,2010,,,,
360000,江西省,2009,,,,
360000,江西省,2008,,,,
360000,江西省,2007,,,,
360000,江西省,2006,,,,
360000,江西省,2005,,,,
360000,江西省,2004,,,,
360000,江西省,2003,,,,
360000,江西省,2002,,,,
360000,江西省,2001,,,,
360000,江西省,2000,,,,
370000,山东省,2019,9479,1143,1103,40
370000,山东省,2018,10818,1318,1245,73
370000,山东省,2017,16072,1662,1537,125
370000,山东省,2016,17360,1982,1841,141
370000,山东省,2015,17534,2414,2280,134
370000,山东省,2014,18023,2416,2312,104
370000,山东省,2013,19077,2092,2005,87
370000,山东省,2012,18460,2176,2071,105
370000,山东省,2011,14966,2134,2053,81
370000,山东省,2010,,,,
370000,山东省,2009,,,,
370000,山东省,2008,,,,
370000,山东省,2007,,,,
370000,山东省,2006,,,,
370000,山东省,2005,,,,
370000,山东省,2004,,,,
370000,山东省,2003,,,,
370000,山东省,2002,,,,
370000,山东省,2001,,,,
370000,山东省,2000,,,,
410000,河南省,2019,18284,397,288,109
410000,河南省,2018,18639,598,297,301
410000,河南省,2017,24488,627,288,339
410000,河南省,2016,34032,717,259,458
410000,河南省,2015,43261,729,373,356
410000,河南省,2014,45326,439,193,246
410000,河南省,2013,46844,690,260,430
410000,河南省,2012,47912,780,262,518
410000,河南省,2011,40428,748,371,377
410000,河南省,2010,,,,
410000,河南省,2009,,,,
410000,河南省,2008,,,,
410000,河南省,2007,,,,
410000,河南省,2006,,,,
410000,河南省,2005,,,,
410000,河南省,2004,,,,
410000,河南省,2003,,,,
410000,河南省,2002,,,,
410000,河南省,2001,,,,
410000,河南省,2000,,,,
420000,湖北省,2019,6278,615,560,55
420000,湖北省,2018,8029,636,584,52
420000,湖北省,2017,10464,735,676,59
420000,湖北省,2016,19284,695,614,81
420000,湖北省,2015,23704,748,644,104
420000,湖北省,2014,26990,717,635,82
420000,湖北省,2013,29478,1381,1302,79
420000,湖北省,2012,29912,795,695,100
420000,湖北省,2011,34138,738,624,114
420000,湖北省,2010,,,,
420000,湖北省,2009,,,,
420000,湖北省,2008,,,,
420000,湖北省,2007,,,,
420000,湖北省,2006,,,,
420000,湖北省,2005,,,,
420000,湖北省,2004,,,,
420000,湖北省,2003,,,,
420000,湖北省,2002,,,,
420000,湖北省,2001,,,,
420000,湖北省,2000,,,,
430000,湖南省,2019,18916,502,461,41
430000,湖南省,2018,21767,574,511,63
430000,湖南省,2017,33993,591,530,61
430000,湖南省,2016,37274,706,630,76
430000,湖南省,2015,43616,1086,1007,79
430000,湖南省,2014,45489,803,700,103
430000,湖南省,2013,51633,844,751,93
430000,湖南省,2012,51689,999,864,135
430000,湖南省,2011,56873,1390,1242,148
430000,湖南省,2010,,,,
430000,湖南省,2009,,,,
430000,湖南省,2008,,,,
430000,湖南省,2007,,,,
430000,湖南省,2006,,,,
430000,湖南省,2005,,,,
430000,湖南省,2004,,,,
430000,湖南省,2003,,,,
430000,湖南省,2002,,,,
430000,湖南省,2001,,,,
430000,湖南省,2000,,,,
440000,广东省,2019,17199,901,729,172
440000,广东省,2018,24097,1115,894,221
440000,广东省,2017,29408,1257,953,304
440000,广东省,2016,35807,1436,1080,356
440000,广东省,2015,38845,1458,1012,446
440000,广东省,2014,41711,1789,1308,481
440000,广东省,2013,43526,1989,1433,556
440000,广东省,2012,44375,2553,1753,800
440000,广东省,2011,41624,3717,3387,330
440000,广东省,2010,,,,
440000,广东省,2009,,,,
440000,广东省,2008,,,,
440000,广东省,2007,,,,
440000,广东省,2006,,,,
440000,广东省,2005,,,,
440000,广东省,2004,,,,
440000,广东省,2003,,,,
440000,广东省,2002,,,,
440000,广东省,2001,,,,
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,11807,2085,2025,60
450000,广西壮族自治区,2018,15354,2610,2547,63
450000,广西壮族自治区,2017,20264,2400,2290,110
450000,广西壮族自治区,2016,21888,1757,1594,163
450000,广西壮族自治区,2015,23614,1586,1435,151
450000,广西壮族自治区,2014,23701,1624,1504,120
450000,广西壮族自治区,2013,22502,1438,1269,169
450000,广西壮族自治区,2012,20755,1549,1339,210
450000,广西壮族自治区,2011,17826,2422,2216,206
450000,广西壮族自治区,2010,,,,
450000,广西壮族自治区,2009,,,,
450000,广西壮族自治区,2008,,,,
450000,广西壮族自治区,2007,,,,
450000,广西壮族自治区,2006,,,,
450000,广西壮族自治区,2005,,,,
450000,广西壮族自治区,2004,,,,
450000,广西壮族自治区,2003,,,,
450000,广西壮族自治区,2002,,,,
450000,广西壮族自治区,2001,,,,
450000,广西壮族自治区,2000,,,,
460000,海南省,2019,821,104,104,
460000,海南省,2018,927,117,117,
460000,海南省,2017,1355,107,102,5
460000,海南省,2016,1548,86,86,
460000,海南省,2015,1636,112,112,
460000,海南省,2014,2152,162,162,
460000,海南省,2013,2337,174,167,7
460000,海南省,2012,3067,188,186,2
460000,海南省,2011,1975,274,271,3
460000,海南省,2010,,,,
460000,海南省,2009,,,,
460000,海南省,2008,,,,
460000,海南省,2007,,,,
460000,海南省,2006,,,,
460000,海南省,2005,,,,
460000,海南省,2004,,,,
460000,海南省,2003,,,,
460000,海南省,2002,,,,
460000,海南省,2001,,,,
460000,海南省,2000,,,,
500000,重庆市,2019,3398,173,165,8
500000,重庆市,2018,3603,165,154,11
500000,重庆市,2017,4246,258,236,22
500000,重庆市,2016,5404,247,208,39
500000,重庆市,2015,11085,214,173,41
500000,重庆市,2014,12422,297,245,52
500000,重庆市,2013,13532,350,280,70
500000,重庆市,2012,19575,368,306,62
500000,重庆市,2011,4889,599,482,117
500000,重庆市,2010,,,,
500000,重庆市,2009,,,,
500000,重庆市,2008,,,,
500000,重庆市,2007,,,,
500000,重庆市,2006,,,,
500000,重庆市,2005,,,,
500000,重庆市,2004,,,,
500000,重庆市,2003,,,,
500000,重庆市,2002,,,,
500000,重庆市,2001,,,,
500000,重庆市,2000,,,,
510000,四川省,2019,22213,828,809,19
510000,四川省,2018,23322,890,851,39
510000,四川省,2017,26631,1027,983,44
510000,四川省,2016,28878,1001,949,52
510000,四川省,2015,29684,1012,950,62
510000,四川省,2014,30174,1073,1022,51
510000,四川省,2013,30137,1068,1029,39
510000,四川省,2012,30213,1160,1104,56
510000,四川省,2011,27588,1106,1101,5
510000,四川省,2010,,,,
510000,四川省,2009,,,,
510000,四川省,2008,,,,
510000,四川省,2007,,,,
510000,四川省,2006,,,,
510000,四川省,2005,,,,
510000,四川省,2004,,,,
510000,四川省,2003,,,,
510000,四川省,2002,,,,
510000,四川省,2001,,,,
510000,四川省,2000,,,,
520000,贵州省,2019,10957,186,167,19
520000,贵州省,2018,12311,241,198,43
520000,贵州省,2017,17908,216,157,59
520000,贵州省,2016,20232,253,168,85
520000,贵州省,2015,21047,284,207,77
520000,贵州省,2014,21646,426,260,166
520000,贵州省,2013,22630,387,311,76
520000,贵州省,2012,21445,432,360,72
520000,贵州省,2011,20566,493,396,97
520000,贵州省,2010,,,,
520000,贵州省,2009,,,,
520000,贵州省,2008,,,,
520000,贵州省,2007,,,,
520000,贵州省,2006,,,,
520000,贵州省,2005,,,,
520000,贵州省,2004,,,,
520000,贵州省,2003,,,,
520000,贵州省,2002,,,,
520000,贵州省,2001,,,,
520000,贵州省,2000,,,,
530000,云南省,2019,10518,1031,1005,26
530000,云南省,2018,21969,1226,1178,48
530000,云南省,2017,23685,1492,1422,70
530000,云南省,2016,24176,1255,1171,84
530000,云南省,2015,23802,1565,1450,115
530000,云南省,2014,22995,1239,1139,100
530000,云南省,2013,25371,1278,1175,103
530000,云南省,2012,33965,1144,1040,104
530000,云南省,2011,37178,1188,1063,125
530000,云南省,2010,,,,
530000,云南省,2009,,,,
530000,云南省,2008,,,,
530000,云南省,2007,,,,
530000,云南省,2006,,,,
530000,云南省,2005,,,,
530000,云南省,2004,,,,
530000,云南省,2003,,,,
530000,云南省,2002,,,,
530000,云南省,2001,,,,
530000,云南省,2000,,,,
540000,西藏自治区,2019,5591,14,14,
540000,西藏自治区,2018,5366,21,21,
540000,西藏自治区,2017,5537,30,30,
540000,西藏自治区,2016,5967,,,
540000,西藏自治区,2015,5798,475,475,
540000,西藏自治区,2014,5869,32,32,
540000,西藏自治区,2013,5576,115,115,
540000,西藏自治区,2012,5576,14,14,
540000,西藏自治区,2011,5085,18,18,
540000,西藏自治区,2010,,,,
540000,西藏自治区,2009,,,,
540000,西藏自治区,2008,,,,
540000,西藏自治区,2007,,,,
540000,西藏自治区,2006,,,,
540000,西藏自治区,2005,,,,
540000,西藏自治区,2004,,,,
540000,西藏自治区,2003,,,,
540000,西藏自治区,2002,,,,
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,5919,310,251,59
610000,陕西省,2018,7274,342,230,112
610000,陕西省,2017,9822,367,248,119
610000,陕西省,2016,11569,387,207,180
610000,陕西省,2015,12515,377,188,189
610000,陕西省,2014,13013,328,157,171
610000,陕西省,2013,13473,357,168,189
610000,陕西省,2012,13973,453,291,162
610000,陕西省,2011,7561,249,181,68
610000,陕西省,2010,,,,
610000,陕西省,2009,,,,
610000,陕西省,2008,,,,
610000,陕西省,2007,,,,
610000,陕西省,2006,,,,
610000,陕西省,2005,,,,
610000,陕西省,2004,,,,
610000,陕西省,2003,,,,
610000,陕西省,2002,,,,
610000,陕西省,2001,,,,
610000,陕西省,2000,,,,
620000,甘肃省,2019,8317,127,122,5
620000,甘肃省,2018,9201,110,68,42
620000,甘肃省,2017,14879,91,50,41
620000,甘肃省,2016,18828,86,48,38
620000,甘肃省,2015,20608,96,53,43
620000,甘肃省,2014,21999,130,64,66
620000,甘肃省,2013,22411,102,52,50
620000,甘肃省,2012,22959,138,59,79
620000,甘肃省,2011,17742,122,80,42
620000,甘肃省,2010,,,,
620000,甘肃省,2009,,,,
620000,甘肃省,2008,,,,
620000,甘肃省,2007,,,,
620000,甘肃省,2006,,,,
620000,甘肃省,2005,,,,
620000,甘肃省,2004,,,,
620000,甘肃省,2003,,,,
620000,甘肃省,2002,,,,
620000,甘肃省,2001,,,,
620000,甘肃省,2000,,,,
630000,青海省,2019,4035,42,42,
630000,青海省,2018,6703,21,18,3
630000,青海省,2017,13754,45,36,9
630000,青海省,2016,15771,49,45,4
630000,青海省,2015,16268,42,31,11
630000,青海省,2014,15991,42,30,12
630000,青海省,2013,16351,60,50,10
630000,青海省,2012,16351,85,74,11
630000,青海省,2011,14425,28,28,
630000,青海省,2010,,,,
630000,青海省,2009,,,,
630000,青海省,2008,,,,
630000,青海省,2007,,,,
630000,青海省,2006,,,,
630000,青海省,2005,,,,
630000,青海省,2004,,,,
630000,青海省,2003,,,,
630000,青海省,2002,,,,
630000,青海省,2001,,,,
630000,青海省,2000,,,,
640000,宁夏回族自治区,2019,753,20,10,10
640000,宁夏回族自治区,2018,5708,20,7,13
640000,宁夏回族自治区,2017,6270,25,6,19
640000,宁夏回族自治区,2016,6646,37,26,11
640000,宁夏回族自治区,2015,6890,47,37,10
640000,宁夏回族自治区,2014,7077,48,37,11
640000,宁夏回族自治区,2013,7066,35,22,13
640000,宁夏回族自治区,2012,7136,49,40,9
640000,宁夏回族自治区,2011,3616,56,39,17
640000,宁夏回族自治区,2010,,,,
640000,宁夏回族自治区,2009,,,,
640000,宁夏回族自治区,2008,,,,
640000,宁夏回族自治区,2007,,,,
640000,宁夏回族自治区,2006,,,,
640000,宁夏回族自治区,2005,,,,
640000,宁夏回族自治区,2004,,,,
640000,宁夏回族自治区,2003,,,,
640000,宁夏回族自治区,2002,,,,
640000,宁夏回族自治区,2001,,,,
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,5440,170,170,
650000,新疆维吾尔自治区,2018,7553,214,205,9
650000,新疆维吾尔自治区,2017,20737,159,147,12
650000,新疆维吾尔自治区,2016,22090,249,236,13
650000,新疆维吾尔自治区,2015,23045,253,240,13
650000,新疆维吾尔自治区,2014,25533,344,333,11
650000,新疆维吾尔自治区,2013,26796,429,415,14
650000,新疆维吾尔自治区,2012,27066,429,398,31
650000,新疆维吾尔自治区,2011,24125,566,397,169
650000,新疆维吾尔自治区,2010,,,,
650000,新疆维吾尔自治区,2009,,,,
650000,新疆维吾尔自治区,2008,,,,
650000,新疆维吾尔自治区,2007,,,,
650000,新疆维吾尔自治区,2006,,,,
650000,新疆维吾尔自治区,2005,,,,
650000,新疆维吾尔自治区,2004,,,,
650000,新疆维吾尔自治区,2003,,,,
650000,新疆维吾尔自治区,2002,,,,
650000,新疆维吾尔自治区,2001,,,,
650000,新疆维吾尔自治区,2000,,,,
