省份编码,省份,年份,社会组织单位数(个),社会团体单位数(个),基金会单位数(个),民办非企业单位单位数(个),社会组织职工人数(人),社会组织女性职工人数(人),社会团体职工人数(人),基金会职工人数(人),民办非企业单位职工人数(人),社会组织增加值(亿元)
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,16875,7495,117,9263,,,,,,
140000,山西省,2018,15535,7307,98,8130,,,,,,
140000,山西省,2017,13652,6664,77,6911,,,,,,
140000,山西省,2016,13004,6520,73,6411,,,,,,
140000,山西省,2015,12511,6562,67,5882,148418,49002,77358,169,70891,
140000,山西省,2014,12330,6855,59,5416,148571,42896,80241,143,68187,
140000,山西省,2013,11611,6789,55,4767,144909,40286,83050,132,61727,
140000,山西省,2012,11429,6613,48,4768,162378,44389,99004,127,63247,9.95
140000,山西省,2011,10629,6242,32,4355,142563,42336,83955,192,58416,8.73
140000,山西省,2010,10386,5997,29,4360,142218,38754,90781,173,51264,1.97231
140000,山西省,2009,10092,5884,25,4183,143395,40116,92928,152,50315,4.22142
140000,山西省,2008,9642,5675,22,3945,161196,42578,99372,95,61729,4.77094
140000,山西省,2007,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,16998,8414,140,8444,,,,,,
150000,内蒙古自治区,2018,16677,8602,133,7942,,,,,,
150000,内蒙古自治区,2017,15116,7954,120,7042,,,,,,
150000,内蒙古自治区,2016,13664,7362,122,6180,,,,,,
150000,内蒙古自治区,2015,13248,7538,102,5608,93553,29066,55714,414,37425,
150000,内蒙古自治区,2014,11790,7044,91,4655,87880,26901,55876,373,31631,
150000,内蒙古自治区,2013,10685,6697,91,3897,80051,24944,50769,373,28909,
150000,内蒙古自治区,2012,9799,6432,90,3277,91725,26280,60983,373,30369,3.49
150000,内蒙古自治区,2011,8812,5841,82,2889,85869,24762,60647,357,24865,2.96
150000,内蒙古自治区,2010,8227,5637,68,2522,68863,19208,44298,357,24208,1.41552
150000,内蒙古自治区,2009,7763,5337,55,2371,74164,19395,51854,302,22008,3.50299
150000,内蒙古自治区,2008,7017,4876,43,2098,61321,13890,41486,285,19550,3.24448
150000,内蒙古自治区,2007,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,
210000,辽宁省,2019,24782,6705,104,17973,,,,,,
210000,辽宁省,2018,23299,6772,103,16424,,,,,,
210000,辽宁省,2017,22946,8155,103,14688,,,,,,
210000,辽宁省,2016,21039,7851,92,13096,,,,,,
210000,辽宁省,2015,20669,8655,72,11942,203846,56629,99931,437,103478,
210000,辽宁省,2014,20137,8966,69,11102,204806,62657,107695,536,96575,
210000,辽宁省,2013,19494,8859,63,10572,217509,57810,117187,536,99786,
210000,辽宁省,2012,20637,9865,70,10702,246316,62117,150009,536,95771,19.13
210000,辽宁省,2011,18792,8803,50,9939,213636,45302,137720,426,75490,45.34
210000,辽宁省,2010,19023,8975,39,10009,209344,52193,133280,371,75693,25.5189
210000,辽宁省,2009,18167,9195,32,8940,157478,37702,105943,350,51185,6.04718
210000,辽宁省,2008,17748,9303,24,8421,119295,36699,73706,326,45263,5.72722
210000,辽宁省,2007,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,
220000,吉林省,2019,13422,5758,113,7551,,,,,,
220000,吉林省,2018,13066,5828,108,7130,,,,,,
220000,吉林省,2017,11112,5207,102,5803,,,,,,
220000,吉林省,2016,10669,5448,81,5140,,,,,,
220000,吉林省,2015,10606,5540,81,4985,73716,13044,36699,103,36914,
220000,吉林省,2014,10521,5671,79,4771,55888,11843,34920,103,20865,
220000,吉林省,2013,9193,5785,66,3342,94821,17393,74447,103,20271,
220000,吉林省,2012,8531,5557,36,2938,108635,18868,80275,103,28257,1.41
220000,吉林省,2011,8620,5497,36,3087,105642,17729,78295,103,27244,1.29
220000,吉林省,2010,8376,5246,36,3094,100760,19030,73523,103,27134,0.7356
220000,吉林省,2009,8384,5240,24,3120,94345,18995,70149,35,24161,1.00703
220000,吉林省,2008,8068,5062,21,2985,91427,16555,68271,35,23121,1.00456
220000,吉林省,2007,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,
230000,黑龙江省,2019,19731,6865,116,12750,,,,,,
230000,黑龙江省,2018,18698,6838,114,11746,,,,,,
230000,黑龙江省,2017,15839,6396,103,9340,,,,,,
230000,黑龙江省,2016,14401,5959,96,8346,,,,,,
230000,黑龙江省,2015,13567,5871,86,7610,148331,53926,99829,140,48362,
230000,黑龙江省,2014,12479,5471,76,6932,138980,50623,96425,132,42423,
230000,黑龙江省,2013,12672,5683,66,6923,173745,65848,130183,156,43406,
230000,黑龙江省,2012,13316,5874,53,7389,169726,69334,124809,159,44758,11.01
230000,黑龙江省,2011,12995,5728,53,7214,168526,67628,128170,159,40197,2.31
230000,黑龙江省,2010,12378,5472,42,6864,160928,66113,124674,102,36152,1.87287
230000,黑龙江省,2009,11954,5519,24,6411,141385,45023,105439,24,35922,1.57229
230000,黑龙江省,2008,11233,5223,16,5994,164977,61237,130200,54,34723,3.62981
230000,黑龙江省,2007,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,
310000,上海市,2019,16880,4305,499,12076,,,,,,
310000,上海市,2018,16208,4083,467,11658,,,,,,
310000,上海市,2017,14929,3999,426,10504,,,,,,
310000,上海市,2016,14181,4007,335,9839,,,,,,
310000,上海市,2015,13355,4003,270,9082,175287,34224,32736,1317,141234,
310000,上海市,2014,12365,3909,199,8257,157443,33570,31355,1095,124993,
310000,上海市,2013,11626,3791,152,7683,158334,37242,35071,1071,122192,
310000,上海市,2012,10730,3693,140,6897,145281,32150,33698,1071,110512,41.08
310000,上海市,2011,10385,3686,127,6572,121058,24362,32939,519,87600,44.16
310000,上海市,2010,10104,3634,117,6353,123504,25555,35892,519,87093,39.30102
310000,上海市,2009,9472,3512,103,5857,121129,40333,34144,560,86425,19.88377
310000,上海市,2008,8943,3409,95,5439,126510,38417,35900,541,90069,10.28992
310000,上海市,2007,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,
320000,江苏省,2019,97013,38081,740,58192,,,,,,
320000,江苏省,2018,93061,37261,710,55090,,,,,,
320000,江苏省,2017,87024,35139,660,51225,,,,,,
320000,江苏省,2016,84094,34952,608,48534,,,,,,
320000,江苏省,2015,80385,35137,543,44705,574738,160966,236898,2115,335725,
320000,江苏省,2014,71571,32706,483,38382,533822,146460,216457,1664,315701,
320000,江苏省,2013,56234,26164,444,29626,429104,126770,167189,1356,260559,
320000,江苏省,2012,43119,21843,415,20861,386851,114106,154569,1183,231099,68.12
320000,江苏省,2011,36661,19398,376,16887,339391,95736,136482,846,202063,140.23
320000,江苏省,2010,34183,18707,310,15166,307088,96684,128379,680,178029,35.48361
320000,江苏省,2009,33066,18588,247,14231,279927,96589,116023,500,163404,30.27897
320000,江苏省,2008,30778,17678,208,12892,254330,78115,108194,400,145736,21.20655
320000,江苏省,2007,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,
330000,浙江省,2019,69277,25428,756,43093,,,,,,
330000,浙江省,2018,55298,24184,677,30437,,,,,,
330000,浙江省,2017,51368,23592,593,27183,,,,,,
330000,浙江省,2016,47536,22266,511,24759,,,,,,
330000,浙江省,2015,43784,20745,436,22603,385560,119093,142144,1202,242214,
330000,浙江省,2014,39844,19430,381,20033,356994,107451,132073,1013,223908,
330000,浙江省,2013,36426,18108,326,17992,350782,103275,137504,799,212479,
330000,浙江省,2012,31880,16452,265,15163,324363,111601,130383,702,193278,36.65
330000,浙江省,2011,29448,15456,222,13770,293653,103835,125904,653,167096,49.05
330000,浙江省,2010,28937,14870,189,13878,279594,104775,122427,583,156584,39.48672
330000,浙江省,2009,27580,14352,167,13061,254895,102443,108043,517,146335,36.93263
330000,浙江省,2008,26277,13743,151,12383,408363,160789,269401,196,138766,23.59519
330000,浙江省,2007,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,
340000,安徽省,2019,32320,14523,171,17626,,,,,,
340000,安徽省,2018,30777,13991,151,16635,,,,,,
340000,安徽省,2017,28067,13083,124,14860,,,,,,
340000,安徽省,2016,25708,12504,112,13092,,,,,,
340000,安徽省,2015,24630,12637,100,11893,255607,66579,113618,376,141613,
340000,安徽省,2014,22549,11977,80,10492,231774,60682,103447,202,128125,
340000,安徽省,2013,20705,11671,71,8963,206418,54939,103731,194,102493,
340000,安徽省,2012,18727,11023,52,7652,276357,44657,184060,147,92150,15.01
340000,安徽省,2011,16888,10465,40,6383,265428,41147,184556,145,80727,38.17
340000,安徽省,2010,14856,9260,36,5560,281182,41639,204805,129,76248,38.86549
340000,安徽省,2009,13960,9086,30,4844,323153,53709,259998,104,63051,43.6687
340000,安徽省,2008,12877,8613,26,4238,299382,45871,250214,52,49116,35.83799
340000,安徽省,2007,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,
350000,福建省,2019,31691,18430,380,12881,,,,,,
350000,福建省,2018,29457,17655,353,11449,,,,,,
350000,福建省,2017,27959,16992,316,10651,,,,,,
350000,福建省,2016,26154,16380,256,9518,,,,,,
350000,福建省,2015,23956,15251,221,8484,276227,60877,196445,1323,78459,
350000,福建省,2014,21357,13892,179,7286,259139,55110,187430,1079,70630,
350000,福建省,2013,19372,12787,141,6444,253138,49584,186007,945,66186,
350000,福建省,2012,18058,12019,137,5902,243448,48450,181483,924,61041,7.34
350000,福建省,2011,17001,11734,127,5140,247031,44584,183412,863,62756,10.9
350000,福建省,2010,15629,11014,113,4502,224746,38977,173162,791,50793,5.29108
350000,福建省,2009,14555,10433,102,4020,222270,39836,174033,714,47523,5.57118
350000,福建省,2008,13668,9997,91,3580,135726,35892,96948,637,38141,23.97956
350000,福建省,2007,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,
360000,江西省,2019,26140,12138,87,13915,,,,,,
360000,江西省,2018,24921,11786,84,13051,,,,,,
360000,江西省,2017,22610,11303,74,11233,,,,,,
360000,江西省,2016,15813,8180,64,7569,,,,,,
360000,江西省,2015,15358,8303,52,7003,201551,58807,109358,243,91950,
360000,江西省,2014,14236,8030,50,6156,179910,53139,94098,233,85579,
360000,江西省,2013,13375,7783,45,5547,183682,53988,102116,233,81333,
360000,江西省,2012,12274,7420,34,4820,182872,55221,101207,184,81481,17.44
360000,江西省,2011,11367,7032,32,4303,172856,54510,95440,184,77232,15.78
360000,江西省,2010,10712,6797,25,3890,159798,44429,81480,174,78144,15.22837
360000,江西省,2009,10710,6150,21,4539,189135,56890,94547,162,94426,13.90413
360000,江西省,2008,10512,6152,14,4346,167903,54482,74157,190,93556,12.71575
360000,江西省,2007,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,
370000,山东省,2019,56022,18153,212,37657,,,,,,
370000,山东省,2018,51269,17533,200,33536,,,,,,
370000,山东省,2017,48727,17657,167,30903,,,,,,
370000,山东省,2016,45963,17380,135,28448,,,,,,
370000,山东省,2015,43411,17378,118,25915,357529,85427,132789,471,224269,
370000,山东省,2014,41165,17738,92,23335,342065,80613,139121,322,202622,
370000,山东省,2013,38976,17807,86,21083,324154,73330,139221,276,184657,
370000,山东省,2012,40515,17745,76,22694,324955,73723,136871,276,187808,52.22
370000,山东省,2011,41130,17341,64,23725,325101,72649,136018,253,188830,31.27
370000,山东省,2010,46467,17252,60,29155,347130,78493,133968,258,212904,32.65515
370000,山东省,2009,49055,17185,50,31820,359795,81346,128238,270,231287,31.07235
370000,山东省,2008,49531,16719,46,32766,353367,76132,125419,270,227678,33.8821
370000,山东省,2007,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,
410000,河南省,2019,44012,12250,148,31614,,,,,,
410000,河南省,2018,40270,11838,145,28287,,,,,,
410000,河南省,2017,33378,10737,135,22506,,,,,,
410000,河南省,2016,29328,9587,125,19616,,,,,,
410000,河南省,2015,29472,11758,120,17594,246082,79400,79336,428,166318,
410000,河南省,2014,27572,11183,104,16285,221127,71200,74266,382,146479,
410000,河南省,2013,23577,10896,98,12583,197277,57666,74908,382,121987,
410000,河南省,2012,21088,11022,77,9989,183780,48448,77448,387,105945,8.2
410000,河南省,2011,20091,10806,64,9221,207139,60346,110019,233,96887,7.04
410000,河南省,2010,19140,10572,53,8515,159925,44244,68845,563,90517,6.77112
410000,河南省,2009,18396,10290,41,8065,158493,43596,68871,563,89059,6.69273
410000,河南省,2008,17469,9844,37,7588,143856,36565,59773,620,83463,7.62937
410000,河南省,2007,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,
420000,湖北省,2019,31031,12303,176,18552,,,,,,
420000,湖北省,2018,29933,12232,145,17556,,,,,,
420000,湖北省,2017,29469,12347,148,16974,,,,,,
420000,湖北省,2016,28498,12272,132,16094,,,,,,
420000,湖北省,2015,27605,12118,106,15381,324578,102283,178265,880,145433,
420000,湖北省,2014,26560,11878,95,14587,355090,100503,220021,847,134222,
420000,湖北省,2013,25778,11564,73,14141,265404,99215,134916,658,129830,
420000,湖北省,2012,24873,11127,64,13682,225586,77436,102027,524,123035,21.02
420000,湖北省,2011,23327,10622,52,12653,212812,72251,96367,360,116085,20.57
420000,湖北省,2010,21963,10225,47,11691,204458,73397,86111,235,118112,15.23185
420000,湖北省,2009,20839,9515,32,11292,202122,68812,94834,160,107128,9.77677
420000,湖北省,2008,20174,9305,22,10847,183126,57504,84770,110,98246,8.96131
420000,湖北省,2007,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,
430000,湖南省,2019,36876,15862,354,20660,,,,,,
430000,湖南省,2018,35561,15197,311,20053,,,,,,
430000,湖南省,2017,33611,14720,282,18609,,,,,,
430000,湖南省,2016,30361,13973,249,16139,,,,,,
430000,湖南省,2015,27766,13208,223,14335,257929,87850,119458,1270,137201,
430000,湖南省,2014,24011,12194,189,11628,241550,80367,123396,1047,117107,
430000,湖南省,2013,21663,11498,174,9991,215004,69931,117506,582,96916,
430000,湖南省,2012,19318,11194,153,7971,216283,63485,122185,1176,92922,10.24
430000,湖南省,2011,17111,10575,137,6399,551106,59788,472568,840,77698,9.49
430000,湖南省,2010,15940,10151,121,5668,538407,58246,467598,729,70080,7.83505
430000,湖南省,2009,14992,9858,100,5034,166598,48273,97823,700,68075,10.89511
430000,湖南省,2008,14223,9610,88,4525,145550,41127,84178,608,60764,7.89557
430000,湖南省,2007,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,
440000,广东省,2019,70860,31494,1184,38182,,,,,,
440000,广东省,2018,67940,30299,1088,36553,,,,,,
440000,广东省,2017,63784,28648,951,34185,,,,,,
440000,广东省,2016,59455,27077,804,31574,,,,,,
440000,广东省,2015,53958,24904,677,28377,616820,262511,187131,4088,425601,
440000,广东省,2014,47680,22132,558,24990,574091,244758,184832,3090,386169,
440000,广东省,2013,41317,19000,434,21883,509316,220638,153018,2498,353800,
440000,广东省,2012,35324,15853,336,19135,489633,190764,140809,2148,346676,83.07
440000,广东省,2011,30684,13661,267,16756,431808,154869,109361,1916,320531,54.34
440000,广东省,2010,28510,13059,202,15249,401927,187036,103157,305,298465,78.84955
440000,广东省,2009,26521,12300,166,14055,350258,150773,70110,292,279856,82.17135
440000,广东省,2008,24571,11553,162,12856,291057,135817,67194,280,223583,48.48696
440000,广东省,2007,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,
450000,广西壮族自治区,2019,27118,12999,96,14023,,,,,,
450000,广西壮族自治区,2018,25935,12896,90,12949,,,,,,
450000,广西壮族自治区,2017,24567,12574,80,11913,,,,,,
450000,广西壮族自治区,2016,23928,12999,71,10858,,,,,,
450000,广西壮族自治区,2015,22196,12949,57,9190,354569,72178,245467,616,108486,
450000,广西壮族自治区,2014,20321,12311,49,7961,321481,69324,241198,378,79905,
450000,广西壮族自治区,2013,17370,10940,37,6393,309735,61079,241025,355,68355,
450000,广西壮族自治区,2012,14799,9810,28,4961,322349,61565,266955,344,55050,4.7
450000,广西壮族自治区,2011,13356,8816,23,4517,273361,45237,230931,341,42089,4.03
450000,广西壮族自治区,2010,12979,8668,22,4289,257959,81470,211958,45,45956,5.79634
450000,广西壮族自治区,2009,13086,8941,19,4126,257787,79282,214940,45,42802,3.49111
450000,广西壮族自治区,2008,12522,8658,15,3849,167210,31307,130410,43,36757,5.49734
450000,广西壮族自治区,2007,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,
460000,海南省,2019,7888,3145,108,4635,,,,,,
460000,海南省,2018,7287,2915,97,4275,,,,,,
460000,海南省,2017,6873,2792,89,3992,,,,,,
460000,海南省,2016,6293,2693,80,3520,,,,,,
460000,海南省,2015,5357,2445,62,2850,52898,17717,25644,385,26869,
460000,海南省,2014,4847,2334,56,2457,45476,17317,21475,280,23721,
460000,海南省,2013,4338,2155,46,2137,39414,16159,15791,163,23460,
460000,海南省,2012,3715,2018,40,1657,25243,9117,8221,165,16857,1.5
460000,海南省,2011,3213,1863,31,1319,23608,8692,8060,140,15408,0.77
460000,海南省,2010,2797,1613,28,1156,18695,6338,6864,134,11697,0.7387
460000,海南省,2009,2468,1406,21,1041,17106,4613,7447,110,9549,0.63954
460000,海南省,2008,2352,1363,18,971,15389,4664,6512,90,8787,0.2604
460000,海南省,2007,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,
500000,重庆市,2019,17553,7833,82,9638,,,,,,
500000,重庆市,2018,17343,7767,77,9499,,,,,,
500000,重庆市,2017,16824,7586,78,9160,,,,,,
500000,重庆市,2016,16199,7472,76,8651,,,,,,
500000,重庆市,2015,15360,7221,64,8075,163302,70342,46554,405,116343,
500000,重庆市,2014,14387,7049,54,7284,146041,63672,46082,401,99558,
500000,重庆市,2013,13154,6693,47,6414,132323,52179,46713,456,85154,
500000,重庆市,2012,11891,6176,39,5676,119938,45038,42437,396,77105,11.25
500000,重庆市,2011,10168,5680,33,4455,99707,35434,37883,158,61666,15.06
500000,重庆市,2010,9057,5016,28,4013,184582,46786,132410,84,52088,9.29569
500000,重庆市,2009,8289,4650,23,3616,167462,41005,123137,78,44247,3.32025
500000,重庆市,2008,7470,4243,17,3210,121143,40134,83749,53,37341,2.34853
500000,重庆市,2007,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,
510000,四川省,2019,44932,20705,179,24048,,,,,,
510000,四川省,2018,43835,20364,168,23303,,,,,,
510000,四川省,2017,42282,20149,158,21975,,,,,,
510000,四川省,2016,39448,19355,153,19940,,,,,,
510000,四川省,2015,40011,20645,143,19223,547520,178712,338463,944,208113,
510000,四川省,2014,37800,20030,128,17642,514534,146467,319728,900,193906,
510000,四川省,2013,35050,18866,109,16075,510475,144547,328001,875,181599,
510000,四川省,2012,32637,18069,88,14480,482924,191360,318970,875,163079,18.66
510000,四川省,2011,30274,17054,81,13139,392854,94349,261894,559,130401,11.32
510000,四川省,2010,29104,16455,77,12572,395415,106824,293033,88,102294,7.10501
510000,四川省,2009,28469,16215,68,12186,378433,105871,284454,88,93891,6.66945
510000,四川省,2008,28345,15679,54,12612,365150,98469,278139,84,86927,5.24623
510000,四川省,2007,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,
520000,贵州省,2019,13753,7164,66,6523,,,,,,
520000,贵州省,2018,13413,7191,58,6164,,,,,,
