省份编码,省份,年份,殡葬类单位数(个),殡葬类职工总数(人),火化炉数(台),处理遗体数(万具),安葬数(万人),火化率(%)
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,130,,159,6.7828,2.275,50.7750858628
150000,内蒙古自治区,2014,129,2029,158,6.5801,2.5395,41.1
150000,内蒙古自治区,2013,128,1848,142,6.4776,2.2457,46.3
150000,内蒙古自治区,2012,129,1958,132,6.3,1.6,
150000,内蒙古自治区,2011,129,1879,124,6.4,1.5,
150000,内蒙古自治区,2010,123,1902,120,6.39,0.8,
150000,内蒙古自治区,2009,127,1901,116,5.6889,1.0704,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,352,,368,27.6801,5.184,95.8539174953
210000,辽宁省,2014,293,5054,364,27.8253,2.819,89.8
210000,辽宁省,2013,262,4750,343,28.254,2.5819,104.6
210000,辽宁省,2012,305,5024,335,27.7,2.4,
210000,辽宁省,2011,188,4232,306,27.7,2.4,
210000,辽宁省,2010,191,4219,289,27.53,2.66,
210000,辽宁省,2009,219,4461,275,25.5252,2.0694,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,146,,169,9.8899,0.2771,64.9621750791
220000,吉林省,2014,146,4491,167,7.5583,0.307,37.8
220000,吉林省,2013,146,4545,169,10.7879,0.6808,77.1
220000,吉林省,2012,85,1768,139,11.5,0.8,
220000,吉林省,2011,83,1659,123,12.0,1.4,
220000,吉林省,2010,84,1657,124,12.01,0.79,
220000,吉林省,2009,85,1668,115,11.1068,0.6916,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,141,,255,17.5231,2.778,69.6488759579
230000,黑龙江省,2014,149,3099,251,16.5362,2.4214,59.1
230000,黑龙江省,2013,152,3397,260,16.8303,2.1721,73.2
230000,黑龙江省,2012,153,3226,251,17.3,1.9,
230000,黑龙江省,2011,147,3144,244,17.0,2.1,
230000,黑龙江省,2010,153,3109,241,17.0,1.76,
230000,黑龙江省,2009,151,3025,232,16.9994,1.5134,
230000,黑龙江省,2008,,,,,,
230000,黑龙江省,2007,,,,,,
230000,黑龙江省,2006,,,,,,
230000,黑龙江省,2005,,,,,,
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,74,,95,12.7798,4.7858,100.0
310000,上海市,2014,75,3080,94,12.3203,5.5286,88.0
310000,上海市,2013,76,3013,93,12.1107,6.673,93.2
310000,上海市,2012,78,3036,93,12.2,5.8,
310000,上海市,2011,78,3239,91,11.7,5.3,
310000,上海市,2010,79,3201,80,14.76,5.33,
310000,上海市,2009,79,3311,89,11.1826,6.2515,
310000,上海市,2008,,,,,,
310000,上海市,2007,,,,,,
310000,上海市,2006,,,,,,
310000,上海市,2005,,,,,,
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,255,,536,50.2655,5.429,89.6457152396
320000,江苏省,2014,258,4364,533,47.5387,5.5028,74.3
320000,江苏省,2013,242,4062,510,48.4987,6.157,86.6
320000,江苏省,2012,241,4095,492,49.5,6.7,
320000,江苏省,2011,237,4193,477,47.4,6.7,
320000,江苏省,2010,234,4605,468,47.6,6.29,
320000,江苏省,2009,244,4792,443,44.8872,5.4269,
320000,江苏省,2008,,,,,,
320000,江苏省,2007,,,,,,
320000,江苏省,2006,,,,,,
320000,江苏省,2005,,,,,,
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,225,,348,31.9294,4.6332,100.0
330000,浙江省,2014,225,3560,346,30.7311,3.93,87.8
330000,浙江省,2013,217,3490,343,30.5846,3.0658,101.9
330000,浙江省,2012,251,3797,331,31.4,3.2,
330000,浙江省,2011,240,3507,317,30.3,3.2,
330000,浙江省,2010,240,3463,307,31.57,3.8,
330000,浙江省,2009,226,3324,305,29.8507,3.2688,
330000,浙江省,2008,,,,,,
330000,浙江省,2007,,,,,,
330000,浙江省,2006,,,,,,
330000,浙江省,2005,,,,,,
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,163,,267,26.6931,3.9184,73.1410787563
340000,安徽省,2014,188,2978,258,25.9527,3.4632,63.3
340000,安徽省,2013,191,2983,238,26.2383,4.0168,70.9
340000,安徽省,2012,188,2980,222,27.4,3.9,
340000,安徽省,2011,181,2952,208,26.8,3.8,
340000,安徽省,2010,185,3098,207,27.32,4.07,
340000,安徽省,2009,176,2927,195,26.4323,2.0929,
340000,安徽省,2008,,,,,,
340000,安徽省,2007,,,,,,
340000,安徽省,2006,,,,,,
340000,安徽省,2005,,,,,,
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,158,,224,19.6225,1.8047,83.7927397418
350000,福建省,2014,158,2884,218,19.7564,1.5242,73.2
350000,福建省,2013,153,2902,215,19.0453,1.4186,82.8
350000,福建省,2012,159,2863,201,18.8,1.6,
350000,福建省,2011,165,2954,179,16.9,1.4,
350000,福建省,2010,160,2816,173,16.84,1.34,
350000,福建省,2009,157,2722,183,15.9165,1.3228,
350000,福建省,2008,,,,,,
350000,福建省,2007,,,,,,
350000,福建省,2006,,,,,,
350000,福建省,2005,,,,,,
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,127,,202,6.6863,1.0787,23.4674208475
360000,江西省,2014,139,1926,201,8.9767,1.7792,27.2
360000,江西省,2013,143,2000,202,9.1123,1.8155,32.5
360000,江西省,2012,138,1974,185,9.5,2.1,
360000,江西省,2011,132,1872,166,8.7,1.8,
360000,江西省,2010,123,1945,159,8.66,1.89,
360000,江西省,2009,122,1842,150,10.5918,1.7245,
360000,江西省,2008,,,,,,
360000,江西省,2007,,,,,,
360000,江西省,2006,,,,,,
360000,江西省,2005,,,,,,
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,172,,504,58.6755,1.8909,89.3361078169
370000,山东省,2014,173,3509,494,58.15,0.8808,75.5
370000,山东省,2013,168,3372,477,59.9057,1.3449,96.6
370000,山东省,2012,167,3342,474,63.0,1.7,
370000,山东省,2011,168,3366,466,61.1,1.7,
370000,山东省,2010,166,3372,456,61.61,1.73,
370000,山东省,2009,168,3353,440,58.5799,1.5814,
370000,山东省,2008,,,,,,
370000,山东省,2007,,,,,,
370000,山东省,2006,,,,,,
370000,山东省,2005,,,,,,
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,256,,323,15.9425,0.8051,23.8538767693
410000,河南省,2014,259,5915,315,22.2705,,29.3
410000,河南省,2013,254,5863,319,26.286,1.0817,41.1
410000,河南省,2012,252,5894,318,29.7,1.1,
410000,河南省,2011,250,5886,311,30.7,1.6,
410000,河南省,2010,246,5970,310,30.28,3.17,
410000,河南省,2009,237,5682,301,32.4048,1.5469,
410000,河南省,2008,,,,,,
410000,河南省,2007,,,,,,
410000,河南省,2006,,,,,,
410000,河南省,2005,,,,,,
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,175,,330,21.986,5.0902,64.4426441122
420000,湖北省,2014,178,3695,318,20.8065,1.0643,45.2
420000,湖北省,2013,172,3761,310,21.8474,3.813,60.7
420000,湖北省,2012,147,3440,300,22.1,5.0,
420000,湖北省,2011,136,3349,289,22.8,3.9,
420000,湖北省,2010,132,3152,278,21.83,3.49,
420000,湖北省,2009,128,3247,277,22.4838,3.405,
420000,湖北省,2008,,,,,,
420000,湖北省,2007,,,,,,
420000,湖北省,2006,,,,,,
420000,湖北省,2005,,,,,,
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,206,,159,8.1635,2.3327,17.5440745579
430000,湖南省,2014,232,3118,151,8.2367,4.5487,15.5
430000,湖南省,2013,211,3015,143,8.0045,2.2866,17.0
430000,湖南省,2012,232,3072,141,7.3,2.1,
430000,湖南省,2011,228,2948,121,7.3,2.0,
430000,湖南省,2010,180,2380,115,6.82,1.71,
430000,湖南省,2009,155,2091,109,6.4508,1.5064,
430000,湖南省,2008,,,,,,
430000,湖南省,2007,,,,,,
430000,湖南省,2006,,,,,,
430000,湖南省,2005,,,,,,
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,314,,419,45.0619,3.1519,96.1470676594
440000,广东省,2014,315,7666,409,47.4196,2.2931,81.8
440000,广东省,2013,283,7444,403,46.5419,3.2329,93.1
440000,广东省,2012,337,7278,406,45.7,3.4,
440000,广东省,2011,310,7073,387,43.8,3.2,
440000,广东省,2010,268,7403,387,46.17,2.88,
440000,广东省,2009,265,7426,371,42.5565,2.7297,
440000,广东省,2008,,,,,,
440000,广东省,2007,,,,,,
440000,广东省,2006,,,,,,
440000,广东省,2005,,,,,,
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,108,,99,7.8448,1.3649,26.5966896533
450000,广西壮族自治区,2014,107,1942,91,7.7139,2.9036,22.7
450000,广西壮族自治区,2013,75,1435,88,7.1536,0.6291,23.8
450000,广西壮族自治区,2012,71,1513,88,7.0,0.6,
450000,广西壮族自治区,2011,70,1589,84,6.6,0.4,
450000,广西壮族自治区,2010,71,1581,77,6.43,1.17,
450000,广西壮族自治区,2009,68,1501,76,5.9506,1.1746,
450000,广西壮族自治区,2008,,,,,,
450000,广西壮族自治区,2007,,,,,,
450000,广西壮族自治区,2006,,,,,,
450000,广西壮族自治区,2005,,,,,,
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,16,,6,0.2997,0.2812,5.48298573
460000,海南省,2014,17,269,7,0.299,0.7482,5.0
460000,海南省,2013,17,313,6,0.2728,,5.5
460000,海南省,2012,15,326,6,0.2,0.1,
460000,海南省,2011,15,327,4,0.3,0.1,
460000,海南省,2010,14,302,4,0.22,0.22,
460000,海南省,2009,15,327,4,0.2115,0.1672,
460000,海南省,2008,,,,,,
460000,海南省,2007,,,,,,
460000,海南省,2006,,,,,,
460000,海南省,2005,,,,,,
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,118,,126,7.836,1.7762,36.1235336339
500000,重庆市,2014,116,2094,116,7.9011,0.1968,32.9
500000,重庆市,2013,112,1952,117,7.7092,1.7363,38.5
500000,重庆市,2012,114,1957,111,7.2,1.7,
500000,重庆市,2011,114,1869,106,6.8,1.6,
500000,重庆市,2010,114,1810,107,6.84,1.77,
500000,重庆市,2009,113,1832,107,6.8413,1.6943,
500000,重庆市,2008,,,,,,
500000,重庆市,2007,,,,,,
500000,重庆市,2006,,,,,,
500000,重庆市,2005,,,,,,
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,317,,284,20.6549,4.0439,36.2775521043
510000,四川省,2014,305,4287,281,20.612,1.7883,31.7
510000,四川省,2013,299,4205,267,20.0546,5.6865,35.8
510000,四川省,2012,264,3816,263,19.7,3.7,
510000,四川省,2011,251,3499,233,18.4,4.3,
510000,四川省,2010,244,3465,234,18.53,3.65,
510000,四川省,2009,241,3168,221,18.2473,3.2544,
510000,四川省,2008,,,,,,
510000,四川省,2007,,,,,,
510000,四川省,2006,,,,,,
510000,四川省,2005,,,,,,
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,148,,136,8.1087,2.37,31.9039187913
520000,贵州省,2014,148,3483,124,7.2147,5.3188,24.9
520000,贵州省,2013,139,3192,117,6.8161,1.6652,27.3
520000,贵州省,2012,128,2985,101,6.4,1.3,
520000,贵州省,2011,119,2925,86,6.1,1.8,
520000,贵州省,2010,116,2669,129,5.49,1.59,
520000,贵州省,2009,111,2589,78,4.9532,1.3315,
520000,贵州省,2008,,,,,,
520000,贵州省,2007,,,,,,
520000,贵州省,2006,,,,,,
520000,贵州省,2005,,,,,,
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,,,,,,
530000,云南省,2016,,,,,,
530000,云南省,2015,167,,186,6.7977,1.6634,22.122053517
530000,云南省,2014,210,1437,174,6.1581,1.8478,17.6
530000,云南省,2013,200,1231,163,5.9375,1.4541,19.8
530000,云南省,2012,177,1144,148,4.8,1.2,
530000,云南省,2011,159,1049,127,4.8,0.8,
530000,云南省,2010,141,1516,109,4.2,1.25,
530000,云南省,2009,121,1524,300,3.7295,0.9732,
530000,云南省,2008,,,,,,
530000,云南省,2007,,,,,,
530000,云南省,2006,,,,,,
530000,云南省,2005,,,,,,
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,2,,6,0.076,,4.5993706124
540000,西藏自治区,2014,2,31,6,0.0829,1.4573,4.1
540000,西藏自治区,2013,2,31,6,0.0783,,3.9
540000,西藏自治区,2012,2,30,5,0.1,,
540000,西藏自治区,2011,2,30,5,0.1,,
540000,西藏自治区,2010,3,30,5,0.08,,
540000,西藏自治区,2009,3,23,5,0.0676,,
540000,西藏自治区,2008,,,,,,
540000,西藏自治区,2007,,,,,,
540000,西藏自治区,2006,,,,,,
540000,西藏自治区,2005,,,,,,
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,,,,,,
610000,陕西省,2016,,,,,,
610000,陕西省,2015,116,,98,5.4353,2.269,22.8181816655
610000,陕西省,2014,111,2438,89,5.3377,1.3935,19.8
610000,陕西省,2013,106,2478,85,4.7126,2.0338,20.5
610000,陕西省,2012,101,2403,84,4.7,1.5,
610000,陕西省,2011,97,2278,80,4.4,1.4,
610000,陕西省,2010,99,2356,71,4.28,1.5,
610000,陕西省,2009,100,2083,69,3.8788,1.3847,
610000,陕西省,2008,,,,,,
610000,陕西省,2007,,,,,,
610000,陕西省,2006,,,,,,
610000,陕西省,2005,,,,,,
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,,,,,,
620000,甘肃省,2016,,,,,,
620000,甘肃省,2015,79,,54,1.8614,0.7721,11.641025641
620000,甘肃省,2014,75,818,54,1.7954,0.6313,10.0
620000,甘肃省,2013,69,792,48,1.7074,0.6711,10.7
620000,甘肃省,2012,67,653,48,1.7,0.6,
620000,甘肃省,2011,63,788,38,1.6,0.7,
620000,甘肃省,2010,62,611,34,1.52,0.47,
620000,甘肃省,2009,58,593,32,1.4136,0.3605,
620000,甘肃省,2008,,,,,,
620000,甘肃省,2007,,,,,,
620000,甘肃省,2006,,,,,,
620000,甘肃省,2005,,,,,,
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,,,,,,
630000,青海省,2016,,,,,,
630000,青海省,2015,36,,50,0.6723,,18.5310753151
630000,青海省,2014,35,169,43,0.7483,,18.7
630000,青海省,2013,32,164,38,0.7367,,18.4
630000,青海省,2012,25,180,38,0.8,,
630000,青海省,2011,23,159,29,0.7,,
630000,青海省,2010,21,152,29,0.74,0.02,
630000,青海省,2009,21,134,40,0.593,,
630000,青海省,2008,,,,,,
630000,青海省,2007,,,,,,
630000,青海省,2006,,,,,,
630000,青海省,2005,,,,,,
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,,,,,,
640000,宁夏回族自治区,2016,,,,,,
640000,宁夏回族自治区,2015,39,,10,0.3615,0.3736,11.4724027623
640000,宁夏回族自治区,2014,27,143,8,0.3669,0.3007,12.2
640000,宁夏回族自治区,2013,34,211,8,0.3606,0.3888,12.0
640000,宁夏回族自治区,2012,38,224,8,0.4,0.3,
640000,宁夏回族自治区,2011,36,265,7,0.4,0.3,
640000,宁夏回族自治区,2010,34,187,6,0.35,0.25,
640000,宁夏回族自治区,2009,38,208,5,0.356,0.4365,
640000,宁夏回族自治区,2008,,,,,,
640000,宁夏回族自治区,2007,,,,,,
640000,宁夏回族自治区,2006,,,,,,
640000,宁夏回族自治区,2005,,,,,,
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,
650000,新疆维吾尔自治区,2015,164,,56,2.852,1.1713,26.7954451501
650000,新疆维吾尔自治区,2014,159,1235,43,1.8394,1.0836,14.1
650000,新疆维吾尔自治区,2013,173,1413,51,2.7548,1.7179,25.0
650000,新疆维吾尔自治区,2012,180,1634,53,2.9,1.9,
650000,新疆维吾尔自治区,2011,168,1621,45,2.8,1.7,
650000,新疆维吾尔自治区,2010,161,1519,43,2.6,1.28,
650000,新疆维吾尔自治区,2009,160,1469,51,2.3212,1.6885,
650000,新疆维吾尔自治区,2008,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
