省份编码,省份,年份,城市居民最低生活保障人数(万人),农村居民最低生活保障人数(万人),农村集中供养五保人数(万人),农村分散供养五保人数(万人),农村传统救济人数(万人)
410000,河南省,2011,141.9,365.6,20.6,27.2,2.4
410000,河南省,2010,,,,,
410000,河南省,2009,,,,,
410000,河南省,2008,,,,,
410000,河南省,2007,,,,,
410000,河南省,2006,,,,,
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,31.8383,139.2808,4.652,19.6337,
420000,湖北省,2018,37.8,133.8,4.6054,19.824,
420000,湖北省,2017,45.9,137.9,4.8,19.8,
420000,湖北省,2016,55.2887,138.2491,5.1154,19.7384,
420000,湖北省,2015,84.6352,159.5368,5.9557,19.3435,
420000,湖北省,2014,107.0921,221.6478,7.0094,18.6504,
420000,湖北省,2013,125.8743,235.7011,8.898,18.0019,2.3358
420000,湖北省,2012,129.5,230.7,12.0,16.1,6.9
420000,湖北省,2011,137.2,230.1,13.4,10.5,2.1
420000,湖北省,2010,,,,,
420000,湖北省,2009,,,,,
420000,湖北省,2008,,,,,
420000,湖北省,2007,,,,,
420000,湖北省,2006,,,,,
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,50.6859,134.2493,5.0876,31.4022,
430000,湖南省,2018,59.7,126.8,5.3044,31.6667,
430000,湖南省,2017,76.7,124.9,6.1,31.8,
430000,湖南省,2016,111.8173,290.235,8.3699,34.1394,
430000,湖南省,2015,127.1969,317.8693,10.1859,38.1991,
430000,湖南省,2014,134.0135,316.0287,10.3482,40.0191,
430000,湖南省,2013,143.5222,289.3347,10.8753,40.5162,11.2575
430000,湖南省,2012,145.6,277.4,10.5,40.7,10.2
430000,湖南省,2011,145.1,260.6,9.7,42.6,9.5
430000,湖南省,2010,,,,,
430000,湖南省,2009,,,,,
430000,湖南省,2008,,,,,
430000,湖南省,2007,,,,,
430000,湖南省,2006,,,,,
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,15.6563,124.7362,1.4758,19.9608,
440000,广东省,2018,17.3,123.8,1.6413,20.3789,
440000,广东省,2017,22.8,146.8,2.1,20.5,
440000,广东省,2016,25.4644,145.1361,2.298,20.8983,
440000,广东省,2015,29.693,153.6045,2.6,21.4147,
440000,广东省,2014,31.5969,158.761,2.7417,21.1498,
440000,广东省,2013,33.9911,163.2234,3.2608,21.0379,0.4357
440000,广东省,2012,37.2,177.8,3.4,21.8,0.8
440000,广东省,2011,40.0,184.1,3.6,22.1,0.7
440000,广东省,2010,,,,,
440000,广东省,2009,,,,,
440000,广东省,2008,,,,,
440000,广东省,2007,,,,,
440000,广东省,2006,,,,,
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,30.4874,246.9207,1.2284,22.3926,
450000,广西壮族自治区,2018,12.0,182.2,1.612,22.2786,
450000,广西壮族自治区,2017,19.1,253.9,1.8,23.2,
450000,广西壮族自治区,2016,22.6134,290.5689,2.2523,24.6619,
450000,广西壮族自治区,2015,38.5308,292.1414,2.7107,25.3379,
450000,广西壮族自治区,2014,44.8016,328.971,2.21,26.739,
450000,广西壮族自治区,2013,49.4366,345.8922,2.3005,27.1665,11.1153
450000,广西壮族自治区,2012,51.5,332.8,2.2,28.4,10.9
450000,广西壮族自治区,2011,57.3,325.1,2.0,30.0,10.7
450000,广西壮族自治区,2010,,,,,
450000,广西壮族自治区,2009,,,,,
450000,广西壮族自治区,2008,,,,,
450000,广西壮族自治区,2007,,,,,
450000,广西壮族自治区,2006,,,,,
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,3.6846,14.6949,0.1654,2.0174,
460000,海南省,2018,4.8,14.7,0.1734,2.2414,
460000,海南省,2017,6.3,18.1,0.2,2.4,
460000,海南省,2016,7.5354,18.2906,0.2483,2.5881,
460000,海南省,2015,8.3949,18.7896,0.2424,2.6367,
460000,海南省,2014,11.0853,21.4757,0.2372,2.9043,
460000,海南省,2013,14.4743,24.5488,0.2273,3.0457,2.4737
460000,海南省,2012,15.7,24.7,0.2,3.1,
460000,海南省,2011,17.1,24.4,0.2,3.4,1.2
460000,海南省,2010,,,,,
460000,海南省,2009,,,,,
460000,海南省,2008,,,,,
460000,海南省,2007,,,,,
460000,海南省,2006,,,,,
460000,海南省,2005,,,,,
460000,海南省,2004,,,,,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,28.0973,57.8941,1.1546,8.7122,
500000,重庆市,2018,31.1,58.1,1.0633,8.6443,
500000,重庆市,2017,34.0,60.2,1.7,9.4,
500000,重庆市,2016,34.7765,58.983,5.8567,11.0231,
500000,重庆市,2015,37.5219,50.2634,6.308,10.4002,
500000,重庆市,2014,40.9839,50.2387,6.4148,9.9446,
500000,重庆市,2013,45.8103,62.6612,6.2229,9.9254,1.3514
500000,重庆市,2012,51.5,74.3,5.8,9.7,1.3
500000,重庆市,2011,56.9,101.3,4.8,10.8,1.2
500000,重庆市,2010,,,,,
500000,重庆市,2009,,,,,
500000,重庆市,2008,,,,,
500000,重庆市,2007,,,,,
500000,重庆市,2006,,,,,
500000,重庆市,2005,,,,,
500000,重庆市,2004,,,,,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,76.8376,353.7479,9.1477,34.5558,
510000,四川省,2018,93.7,339.9,10.4217,34.1154,
510000,四川省,2017,118.4,366.3,13.9,32.0,
510000,四川省,2016,134.4965,356.678,25.615,22.9693,
510000,四川省,2015,156.3548,405.4741,26.7568,22.7154,
510000,四川省,2014,173.4415,425.3319,26.9563,23.5208,
510000,四川省,2013,183.5734,439.4553,26.5894,24.4373,6.5403
510000,四川省,2012,186.4,434.5,25.7,25.3,6.2
510000,四川省,2011,189.3,425.1,23.4,27.7,10.8
510000,四川省,2010,,,,,
510000,四川省,2009,,,,,
510000,四川省,2008,,,,,
510000,四川省,2007,,,,,
510000,四川省,2006,,,,,
510000,四川省,2005,,,,,
510000,四川省,2004,,,,,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,48.8184,207.3393,2.2477,6.0025,
520000,贵州省,2018,34.1,226.8,3.0376,5.0611,
520000,贵州省,2017,31.5,260.0,3.6,4.8,
520000,贵州省,2016,35.8188,304.8113,4.7155,5.7359,
520000,贵州省,2015,40.201,332.7023,4.9965,6.1127,
520000,贵州省,2014,47.6165,416.8251,3.925,7.8369,
520000,贵州省,2013,51.3277,477.06,2.7608,9.7449,1.8283
520000,贵州省,2012,53.0,513.0,1.9,11.0,1.7
520000,贵州省,2011,54.3,530.9,1.8,12.1,1.7
520000,贵州省,2010,,,,,
520000,贵州省,2009,,,,,
520000,贵州省,2008,,,,,
520000,贵州省,2007,,,,,
520000,贵州省,2006,,,,,
520000,贵州省,2005,,,,,
520000,贵州省,2004,,,,,
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,43.7531,251.1001,1.3619,10.002,
530000,云南省,2018,48.3,254.9,1.167,10.5969,
530000,云南省,2017,70.9,329.9,1.6,12.2,
530000,云南省,2016,89.6829,422.9418,2.8482,14.5046,
530000,云南省,2015,98.1076,455.284,4.166,16.5525,
530000,云南省,2014,100.8747,458.9414,3.9287,17.2068,
530000,云南省,2013,104.0515,466.5411,3.549,18.0288,4.4802
530000,云南省,2012,93.6,437.5,3.5,18.4,4.4
530000,云南省,2011,93.1,403.4,3.1,19.0,4.1
530000,云南省,2010,,,,,
530000,云南省,2009,,,,,
530000,云南省,2008,,,,,
530000,云南省,2007,,,,,
530000,云南省,2006,,,,,
530000,云南省,2005,,,,,
530000,云南省,2004,,,,,
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,2.526,13.2462,0.7438,0.608,
540000,西藏自治区,2018,2.9,17.3,1.1211,0.7891,
540000,西藏自治区,2017,3.3,22.7,0.9,0.6,
540000,西藏自治区,2016,3.5856,25.7236,0.9655,0.4587,
540000,西藏自治区,2015,4.6464,32.0234,1.1633,0.2746,
540000,西藏自治区,2014,4.7033,32.344,0.822,0.7591,
540000,西藏自治区,2013,4.992,32.9,0.7943,0.7195,
540000,西藏自治区,2012,4.8,32.9,0.3,1.3,
540000,西藏自治区,2011,4.3,23.0,0.3,1.3,0.3
540000,西藏自治区,2010,,,,,
540000,西藏自治区,2009,,,,,
540000,西藏自治区,2008,,,,,
540000,西藏自治区,2007,,,,,
540000,西藏自治区,2006,,,,,
540000,西藏自治区,2005,,,,,
540000,西藏自治区,2004,,,,,
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,21.5676,85.6623,3.634,8.7034,
610000,陕西省,2018,25.9,85.7,3.0559,9.0404,
610000,陕西省,2017,30.6,87.6,2.9,9.0,
610000,陕西省,2016,42.0888,130.3725,4.4045,8.1047,
610000,陕西省,2015,50.8672,161.6515,4.7597,8.319,
610000,陕西省,2014,57.7607,181.6478,4.8694,8.4179,
610000,陕西省,2013,67.0571,199.8903,4.6974,8.3895,0.54
610000,陕西省,2012,74.7,205.4,4.4,8.3,2.8
610000,陕西省,2011,84.6,220.7,4.2,8.4,0.6
610000,陕西省,2010,,,,,
610000,陕西省,2009,,,,,
610000,陕西省,2008,,,,,
610000,陕西省,2007,,,,,
610000,陕西省,2006,,,,,
610000,陕西省,2005,,,,,
610000,陕西省,2004,,,,,
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
610000,陕西省,2000,,,,,
620000,甘肃省,2019,39.6744,138.1176,0.7855,8.5898,
620000,甘肃省,2018,49.7,233.6,0.7609,9.2944,
620000,甘肃省,2017,65.1,299.3,0.8,10.3,
620000,甘肃省,2016,69.9949,324.7111,0.908,10.7707,
620000,甘肃省,2015,76.205,336.9222,0.931,11.1353,
620000,甘肃省,2014,81.3897,338.99,1.2876,10.9852,
620000,甘肃省,2013,87.4989,343.286,1.0842,11.2911,2.1881
620000,甘肃省,2012,88.3,344.0,1.1,11.2,2.2
620000,甘肃省,2011,88.1,321.8,1.0,11.4,2.1
620000,甘肃省,2010,,,,,
620000,甘肃省,2009,,,,,
620000,甘肃省,2008,,,,,
620000,甘肃省,2007,,,,,
620000,甘肃省,2006,,,,,
620000,甘肃省,2005,,,,,
620000,甘肃省,2004,,,,,
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,6.4703,28.1744,0.287,1.3491,
630000,青海省,2018,7.7,30.9,0.302,1.4905,
630000,青海省,2017,13.4,42.6,0.3,1.7,
630000,青海省,2016,16.3213,51.5836,0.5113,1.8793,
630000,青海省,2015,17.6282,31.7797,0.4969,1.8536,
630000,青海省,2014,20.3014,37.2005,0.4743,1.8676,
630000,青海省,2013,22.5153,40.2865,0.4377,1.8544,
630000,青海省,2012,23.0,40.0,0.3,2.0,
630000,青海省,2011,23.5,40.1,0.3,2.0,
630000,青海省,2010,,,,,
630000,青海省,2009,,,,,
630000,青海省,2008,,,,,
630000,青海省,2007,,,,,
630000,青海省,2006,,,,,
630000,青海省,2005,,,,,
630000,青海省,2004,,,,,
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,9.3212,38.3268,0.2996,0.5995,
640000,宁夏回族自治区,2018,9.7,36.6,0.2878,0.708,
640000,宁夏回族自治区,2017,10.8,38.1,0.2,0.8,
640000,宁夏回族自治区,2016,14.5716,42.2218,0.3302,0.856,
640000,宁夏回族自治区,2015,15.4272,41.7384,0.398,0.8898,
640000,宁夏回族自治区,2014,16.8317,39.1607,0.4032,1.0334,
640000,宁夏回族自治区,2013,17.9672,38.1821,0.3903,1.054,
640000,宁夏回族自治区,2012,18.2,36.4,0.4,1.1,
640000,宁夏回族自治区,2011,20.8,38.0,0.4,1.2,
640000,宁夏回族自治区,2010,,,,,
640000,宁夏回族自治区,2009,,,,,
640000,宁夏回族自治区,2008,,,,,
640000,宁夏回族自治区,2007,,,,,
640000,宁夏回族自治区,2006,,,,,
640000,宁夏回族自治区,2005,,,,,
640000,宁夏回族自治区,2004,,,,,
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,30.4875,166.5548,1.1504,0.7746,
