省份编码,省份,年份,国家重点优抚对象(万人),国家重点优抚对象定期抚恤人数(万人),国家重点优抚对象定期补助人数(万人),国家重点优抚对象伤残人员(万人),安置义务兵、士官、复员干部人数(万人),接收军队离退休人员人数(万人)
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,4.8914,0.1696,3.5495,1.1723,,0.0275
150000,内蒙古自治区,2014,4.795,0.1875,3.4221,1.1854,,0.015
150000,内蒙古自治区,2013,6.1744,0.2677,4.4988,1.4079,,0.033
150000,内蒙古自治区,2012,6.9,0.3,5.1,1.5,0.6,0.0154
150000,内蒙古自治区,2011,6.6,0.3,4.7,1.5,0.6,0.0183
150000,内蒙古自治区,2010,,,,,,
150000,内蒙古自治区,2009,,,,,,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,22.2382,0.6133,18.7876,2.8373,,0.1389
210000,辽宁省,2014,23.528,0.7241,19.8246,2.9793,,0.2617
210000,辽宁省,2013,23.5358,0.8235,19.6322,3.0801,,0.4094
210000,辽宁省,2012,22.3,0.9,18.2,3.2,1.5,0.1818
210000,辽宁省,2011,18.6,0.8,14.4,3.3,1.5,0.182
210000,辽宁省,2010,,,,,,
210000,辽宁省,2009,,,,,,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,12.2521,0.4139,10.033,1.8052,,0.0543
220000,吉林省,2014,12.7717,0.5053,10.3961,1.8703,,0.0621
220000,吉林省,2013,12.3623,0.5364,9.9592,1.8667,,0.1045
220000,吉林省,2012,11.7,0.9,8.3,2.6,0.6,0.0266
220000,吉林省,2011,11.6,1.1,7.7,2.7,0.7,0.0417
220000,吉林省,2010,,,,,,
220000,吉林省,2009,,,,,,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,11.8751,0.4556,9.8607,1.5588,,0.0226
230000,黑龙江省,2014,12.3871,0.5625,10.0195,1.8051,,0.0343
230000,黑龙江省,2013,14.1393,0.7221,11.2335,2.1837,,0.0599
230000,黑龙江省,2012,15.2,0.8,11.9,2.4,0.9,0.0312
230000,黑龙江省,2011,13.9,0.9,10.5,2.5,0.9,0.0074
230000,黑龙江省,2010,,,,,,
230000,黑龙江省,2009,,,,,,
230000,黑龙江省,2008,,,,,,
230000,黑龙江省,2007,,,,,,
230000,黑龙江省,2006,,,,,,
230000,黑龙江省,2005,,,,,,
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,3.987,0.5294,2.7507,0.7069,,0.0744
310000,上海市,2014,4.0403,0.5763,2.7551,0.7089,,0.1024
310000,上海市,2013,3.984,0.5831,2.6856,0.7153,,0.169
310000,上海市,2012,3.9,0.6,2.6,0.7,0.3,0.0606
310000,上海市,2011,3.8,0.6,2.5,0.7,0.6,0.0371
310000,上海市,2010,,,,,,
310000,上海市,2009,,,,,,
310000,上海市,2008,,,,,,
310000,上海市,2007,,,,,,
310000,上海市,2006,,,,,,
310000,上海市,2005,,,,,,
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,48.1575,1.4428,41.9475,4.7672,,0.1299
320000,江苏省,2014,49.5485,1.6477,43.0258,4.875,,0.1568
320000,江苏省,2013,49.1864,1.5833,42.6022,5.0009,,0.1267
320000,江苏省,2012,52.3,2.4,44.5,5.4,2.9,0.0629
320000,江苏省,2011,49.7,2.3,41.8,5.5,2.8,0.0611
320000,江苏省,2010,,,,,,
320000,江苏省,2009,,,,,,
320000,江苏省,2008,,,,,,
320000,江苏省,2007,,,,,,
320000,江苏省,2006,,,,,,
320000,江苏省,2005,,,,,,
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,29.9097,0.4758,27.197,2.2369,,0.0366
330000,浙江省,2014,27.6256,0.4897,24.9113,2.2246,,0.0593
330000,浙江省,2013,26.245,0.4872,23.5293,2.2285,,0.0835
330000,浙江省,2012,21.0,0.5,18.2,2.2,2.0,0.0242
330000,浙江省,2011,14.7,0.5,11.9,2.2,2.2,0.0229
330000,浙江省,2010,,,,,,
330000,浙江省,2009,,,,,,
330000,浙江省,2008,,,,,,
330000,浙江省,2007,,,,,,
330000,浙江省,2006,,,,,,
330000,浙江省,2005,,,,,,
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,46.0194,0.8753,41.9462,3.1979,,0.0495
340000,安徽省,2014,47.5231,1.1091,43.0565,3.3575,,0.0287
340000,安徽省,2013,50.7997,1.4057,45.8082,3.5858,,0.0409
340000,安徽省,2012,50.1,1.5,45.0,3.6,1.9,0.0278
340000,安徽省,2011,39.6,1.5,34.5,3.6,1.7,0.0181
340000,安徽省,2010,,,,,,
340000,安徽省,2009,,,,,,
340000,安徽省,2008,,,,,,
340000,安徽省,2007,,,,,,
340000,安徽省,2006,,,,,,
340000,安徽省,2005,,,,,,
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,18.8639,0.8337,16.8464,1.1838,,0.0517
350000,福建省,2014,18.7777,0.9757,16.6263,1.1757,,0.0474
350000,福建省,2013,19.5952,1.2471,17.131,1.2171,,0.0616
350000,福建省,2012,19.4,1.3,16.9,1.2,1.4,0.0187
350000,福建省,2011,16.5,1.3,13.9,1.2,1.1,0.0305
350000,福建省,2010,,,,,,
350000,福建省,2009,,,,,,
350000,福建省,2008,,,,,,
350000,福建省,2007,,,,,,
350000,福建省,2006,,,,,,
350000,福建省,2005,,,,,,
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,29.5368,1.8613,25.6578,2.0177,,0.0122
360000,江西省,2014,32.2352,2.78,27.0969,2.3583,,0.0256
360000,江西省,2013,34.1015,3.0163,28.5312,2.554,,0.0406
360000,江西省,2012,34.1,3.3,28.3,2.6,1.0,0.0077
360000,江西省,2011,28.9,3.3,23.1,2.5,0.9,0.0068
360000,江西省,2010,,,,,,
360000,江西省,2009,,,,,,
360000,江西省,2008,,,,,,
360000,江西省,2007,,,,,,
360000,江西省,2006,,,,,,
360000,江西省,2005,,,,,,
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,89.8504,2.5173,77.4963,9.8368,,0.0772
370000,山东省,2014,95.9504,3.4443,81.6732,10.8329,,0.1786
370000,山东省,2013,100.8304,4.4199,84.6172,11.7933,,0.2237
370000,山东省,2012,105.6,5.2,87.5,12.9,2.3,0.2111
370000,山东省,2011,100.3,5.5,81.6,13.2,2.2,0.1698
370000,山东省,2010,,,,,,
370000,山东省,2009,,,,,,
370000,山东省,2008,,,,,,
370000,山东省,2007,,,,,,
370000,山东省,2006,,,,,,
370000,山东省,2005,,,,,,
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,74.9023,1.5152,67.2521,6.135,,0.0535
410000,河南省,2014,75.3265,1.793,67.1793,6.3542,,0.1139
410000,河南省,2013,76.5021,2.1385,67.8486,6.515,,0.1498
410000,河南省,2012,77.6,2.5,68.3,6.8,4.2,0.0805
410000,河南省,2011,74.1,2.7,64.7,6.7,4.6,0.0406
410000,河南省,2010,,,,,,
410000,河南省,2009,,,,,,
410000,河南省,2008,,,,,,
410000,河南省,2007,,,,,,
410000,河南省,2006,,,,,,
410000,河南省,2005,,,,,,
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,47.3408,3.0412,41.1783,3.1213,,0.0585
420000,湖北省,2014,47.913,3.167,41.6252,3.1208,,0.1309
420000,湖北省,2013,52.782,3.6726,45.4688,3.6406,,0.2075
420000,湖北省,2012,52.3,3.9,44.8,3.7,2.8,0.0351
420000,湖北省,2011,51.9,3.9,44.4,3.6,2.7,0.0332
420000,湖北省,2010,,,,,,
420000,湖北省,2009,,,,,,
420000,湖北省,2008,,,,,,
420000,湖北省,2007,,,,,,
420000,湖北省,2006,,,,,,
420000,湖北省,2005,,,,,,
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,86.8211,2.6001,79.1171,5.1039,,0.034
430000,湖南省,2014,87.7665,2.6893,79.9994,5.0778,,0.0663
430000,湖南省,2013,89.3197,2.7882,81.4476,5.0839,,0.1063
430000,湖南省,2012,88.5,2.9,80.6,5.0,2.1,0.0137
430000,湖南省,2011,75.2,3.1,67.2,4.9,2.1,0.0127
430000,湖南省,2010,,,,,,
430000,湖南省,2009,,,,,,
430000,湖南省,2008,,,,,,
430000,湖南省,2007,,,,,,
430000,湖南省,2006,,,,,,
430000,湖南省,2005,,,,,,
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,42.8232,0.752,39.6244,2.4468,,0.0521
440000,广东省,2014,43.2929,0.7838,40.1041,2.405,,0.0671
440000,广东省,2013,43.4344,0.9272,40.0916,2.4156,,0.0767
440000,广东省,2012,42.0,1.0,38.6,2.4,1.7,0.0388
440000,广东省,2011,39.0,1.1,35.5,2.4,1.8,0.0411
440000,广东省,2010,,,,,,
440000,广东省,2009,,,,,,
440000,广东省,2008,,,,,,
440000,广东省,2007,,,,,,
440000,广东省,2006,,,,,,
440000,广东省,2005,,,,,,
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,29.2105,0.4068,27.7481,1.0556,,0.0165
450000,广西壮族自治区,2014,29.4547,0.4412,27.9486,1.0649,,0.0314
450000,广西壮族自治区,2013,29.7549,0.4926,28.1862,1.0761,,0.0342
450000,广西壮族自治区,2012,29.8,0.5,28.2,1.1,1.0,0.0136
450000,广西壮族自治区,2011,24.9,0.5,23.2,1.1,1.0,0.0067
450000,广西壮族自治区,2010,,,,,,
450000,广西壮族自治区,2009,,,,,,
450000,广西壮族自治区,2008,,,,,,
450000,广西壮族自治区,2007,,,,,,
450000,广西壮族自治区,2006,,,,,,
450000,广西壮族自治区,2005,,,,,,
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,2.6659,0.2227,2.2264,0.2168,,0.0128
460000,海南省,2014,2.6913,0.3682,2.1384,0.1847,,0.0602
460000,海南省,2013,2.8115,0.3172,2.2793,0.215,,0.0639
460000,海南省,2012,2.8,0.3,2.3,0.2,0.2,0.0015
460000,海南省,2011,2.5,0.3,2.0,0.2,,0.0014
460000,海南省,2010,,,,,,
460000,海南省,2009,,,,,,
460000,海南省,2008,,,,,,
460000,海南省,2007,,,,,,
460000,海南省,2006,,,,,,
460000,海南省,2005,,,,,,
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,26.4581,0.5166,23.9092,2.0323,,0.0253
500000,重庆市,2014,28.0078,0.5621,25.3389,2.1068,,0.0326
500000,重庆市,2013,28.573,0.5966,25.8634,2.113,,0.0517
500000,重庆市,2012,29.1,0.6,26.3,2.2,1.2,0.0295
500000,重庆市,2011,27.1,0.6,24.3,2.1,0.9,0.0158
500000,重庆市,2010,,,,,,
500000,重庆市,2009,,,,,,
500000,重庆市,2008,,,,,,
500000,重庆市,2007,,,,,,
500000,重庆市,2006,,,,,,
500000,重庆市,2005,,,,,,
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,84.1662,2.5308,75.6982,5.9372,,0.0805
510000,四川省,2014,86.0036,2.8595,77.1798,5.9643,,0.1756
510000,四川省,2013,89.1799,3.3389,79.7407,6.1003,,0.1414
510000,四川省,2012,84.4,3.5,74.9,6.0,4.1,0.0675
510000,四川省,2011,78.7,3.1,69.6,6.0,4.1,0.0475
510000,四川省,2010,,,,,,
510000,四川省,2009,,,,,,
510000,四川省,2008,,,,,,
510000,四川省,2007,,,,,,
510000,四川省,2006,,,,,,
510000,四川省,2005,,,,,,
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,22.2427,0.3178,20.4919,1.433,,0.009
520000,贵州省,2014,23.2737,0.3652,21.4284,1.4801,,0.0119
520000,贵州省,2013,26.1395,0.4759,24.0637,1.5999,,0.0096
520000,贵州省,2012,26.4,0.5,24.3,1.6,0.6,0.0186
520000,贵州省,2011,22.3,0.5,20.2,1.6,0.4,0.0061
520000,贵州省,2010,,,,,,
520000,贵州省,2009,,,,,,
520000,贵州省,2008,,,,,,
520000,贵州省,2007,,,,,,
520000,贵州省,2006,,,,,,
520000,贵州省,2005,,,,,,
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,,,,,,
530000,云南省,2016,,,,,,
530000,云南省,2015,35.3159,0.6393,32.8546,1.822,,0.0285
530000,云南省,2014,35.1828,0.6837,32.6574,1.8417,,0.0625
530000,云南省,2013,37.8073,0.8276,35.0712,1.9085,,0.0185
530000,云南省,2012,37.8,0.9,35.0,1.9,1.1,0.0753
530000,云南省,2011,36.9,0.8,34.1,1.9,1.2,0.0168
530000,云南省,2010,,,,,,
530000,云南省,2009,,,,,,
530000,云南省,2008,,,,,,
530000,云南省,2007,,,,,,
530000,云南省,2006,,,,,,
530000,云南省,2005,,,,,,
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,0.4667,0.169,0.1245,0.1732,,0.1048
540000,西藏自治区,2014,0.4643,0.2164,0.0711,0.1768,,0.0074
540000,西藏自治区,2013,0.5238,0.2607,0.1162,0.1469,,0.0034
540000,西藏自治区,2012,0.5,0.3,0.1,0.1,0.1,0.0048
540000,西藏自治区,2011,0.5,0.3,0.1,0.1,0.1,0.0039
540000,西藏自治区,2010,,,,,,
540000,西藏自治区,2009,,,,,,
540000,西藏自治区,2008,,,,,,
540000,西藏自治区,2007,,,,,,
540000,西藏自治区,2006,,,,,,
540000,西藏自治区,2005,,,,,,
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,,,,,,
610000,陕西省,2016,,,,,,
610000,陕西省,2015,24.9604,0.8311,21.9857,2.1436,,0.0834
610000,陕西省,2014,26.8055,1.1265,23.4343,2.2447,,0.1544
610000,陕西省,2013,29.307,1.5647,25.332,2.4103,,0.2291
610000,陕西省,2012,28.1,1.6,24.1,2.4,0.4,0.0707
610000,陕西省,2011,26.8,1.7,22.8,2.4,0.4,0.0532
610000,陕西省,2010,,,,,,
610000,陕西省,2009,,,,,,
610000,陕西省,2008,,,,,,
610000,陕西省,2007,,,,,,
610000,陕西省,2006,,,,,,
610000,陕西省,2005,,,,,,
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,,,,,,
620000,甘肃省,2016,,,,,,
620000,甘肃省,2015,12.1555,0.2188,10.8973,1.0394,,0.0577
620000,甘肃省,2014,12.0836,0.2653,10.7718,1.0465,,0.1008
620000,甘肃省,2013,11.6682,0.3014,10.2985,1.0683,,0.1188
620000,甘肃省,2012,11.5,0.3,10.1,1.1,0.3,0.0444
620000,甘肃省,2011,11.0,0.4,9.5,1.1,0.5,0.0319
620000,甘肃省,2010,,,,,,
620000,甘肃省,2009,,,,,,
620000,甘肃省,2008,,,,,,
620000,甘肃省,2007,,,,,,
620000,甘肃省,2006,,,,,,
620000,甘肃省,2005,,,,,,
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,,,,,,
630000,青海省,2016,,,,,,
630000,青海省,2015,1.5011,0.0584,1.0938,0.3489,,0.0123
630000,青海省,2014,1.4705,0.0745,1.0555,0.3405,,0.0192
630000,青海省,2013,1.4489,0.1068,1.0176,0.3245,,0.037
630000,青海省,2012,1.4,0.1,0.9,0.3,0.1,0.0049
630000,青海省,2011,1.4,0.1,0.9,0.3,0.1,0.0064
630000,青海省,2010,,,,,,
630000,青海省,2009,,,,,,
630000,青海省,2008,,,,,,
630000,青海省,2007,,,,,,
630000,青海省,2006,,,,,,
630000,青海省,2005,,,,,,
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,,,,,,
640000,宁夏回族自治区,2016,,,,,,
640000,宁夏回族自治区,2015,1.2324,,0.9867,0.2047,,0.0063
640000,宁夏回族自治区,2014,1.1532,0.0496,0.8946,0.209,,0.0145
640000,宁夏回族自治区,2013,1.0566,0.0546,0.7409,0.2611,,0.0083
640000,宁夏回族自治区,2012,0.9,0.1,0.6,0.2,0.1,0.0056
640000,宁夏回族自治区,2011,0.8,0.1,0.5,0.2,0.2,0.0083
640000,宁夏回族自治区,2010,,,,,,
640000,宁夏回族自治区,2009,,,,,,
640000,宁夏回族自治区,2008,,,,,,
640000,宁夏回族自治区,2007,,,,,,
640000,宁夏回族自治区,2006,,,,,,
640000,宁夏回族自治区,2005,,,,,,
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,
650000,新疆维吾尔自治区,2015,3.4408,0.3424,2.3609,0.7375,,0.0351
650000,新疆维吾尔自治区,2014,3.3984,0.1803,2.4848,0.7333,,0.0661
650000,新疆维吾尔自治区,2013,3.5037,0.187,2.5814,0.7353,,0.0963
650000,新疆维吾尔自治区,2012,3.6,0.2,2.6,0.7,0.4,0.0308
650000,新疆维吾尔自治区,2011,3.5,0.2,2.6,0.8,0.4,0.0202
650000,新疆维吾尔自治区,2010,,,,,,
650000,新疆维吾尔自治区,2009,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
