省份编码,省份,年份,自治组织单位数(个),社区居委会单位数(个),村民委员会单位数(个),自治组织职工人数(人),自治组织女性职工人数(人),社区居委会职工人数(人),村民委员会职工人数(人),自治组织增加值(亿元)
140000,山西省,2008,29989,1845,28144,102000,12132,8000,93000,3.11041
140000,山西省,2007,,,,,,,,
140000,山西省,2006,,,,,,,,
140000,山西省,2005,,,,,,,,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,,,,,,,,
140000,山西省,2002,,,,,,,,
140000,山西省,2001,,,,,,,,
140000,山西省,2000,,,,,,,,
150000,内蒙古自治区,2019,13548,2490,11058,,,,,
150000,内蒙古自治区,2018,13490,2433,11057,,,,,
150000,内蒙古自治区,2017,13428,2375,11053,,,,,
150000,内蒙古自治区,2016,13412,2334,11078,,,,,
150000,内蒙古自治区,2015,13433,2323,11110,53964,18261,11617,42347,
150000,内蒙古自治区,2014,13427,2235,11192,52249,16916,11238,41011,
150000,内蒙古自治区,2013,13407,2234,11173,52062,17042,11183,40879,
150000,内蒙古自治区,2012,13460,2164,11296,54000,18000,11000,42000,3.6
150000,内蒙古自治区,2011,13192,2243,10949,50000,17000,11000,39000,2.7
150000,内蒙古自治区,2010,13522,2271,11251,52000,16000,11000,41000,1.5055
150000,内蒙古自治区,2009,13597,2315,11282,49889,15831,10867,39022,3.14305
150000,内蒙古自治区,2008,13627,2356,11271,48000,15583,10000,38000,1.67798
150000,内蒙古自治区,2007,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,
210000,辽宁省,2019,16056,4467,11589,,,,,
210000,辽宁省,2018,16013,4427,11586,,,,,
210000,辽宁省,2017,15957,4359,11598,,,,,
210000,辽宁省,2016,15767,4212,11555,,,,,
210000,辽宁省,2015,15725,4156,11569,70121,29083,25239,44882,
210000,辽宁省,2014,15663,4105,11558,71312,29557,25820,45492,
210000,辽宁省,2013,15628,4019,11609,67151,27326,23811,43340,
210000,辽宁省,2012,15426,4010,11416,68000,28000,25000,43000,5.3
210000,辽宁省,2011,15497,3939,11558,72000,31000,23000,49000,4.7
210000,辽宁省,2010,14914,3748,11166,64000,27000,22000,42000,6.17013
210000,辽宁省,2009,14947,3847,11100,66914,28552,23388,43526,6.4639
210000,辽宁省,2008,15545,3822,11723,67000,26770,22000,45000,6.83829
210000,辽宁省,2007,,,,,,,,
210000,辽宁省,2006,,,,,,,,
210000,辽宁省,2005,,,,,,,,
210000,辽宁省,2004,,,,,,,,
210000,辽宁省,2003,,,,,,,,
210000,辽宁省,2002,,,,,,,,
210000,辽宁省,2001,,,,,,,,
210000,辽宁省,2000,,,,,,,,
220000,吉林省,2019,11223,1898,9325,,,,,
220000,吉林省,2018,11222,1897,9325,,,,,
220000,吉林省,2017,11202,1875,9327,,,,,
220000,吉林省,2016,11202,1875,9327,,,,,
220000,吉林省,2015,11196,1869,9327,34902,12083,6709,28193,
220000,吉林省,2014,11308,1995,9313,34430,11758,6497,27933,
220000,吉林省,2013,11238,2014,9224,45666,14624,11149,34517,
220000,吉林省,2012,11133,2024,9109,45000,14000,10000,36000,9.6
220000,吉林省,2011,11123,1951,9172,44000,13000,9000,35000,0.9
220000,吉林省,2010,10982,1993,8989,44000,13000,9000,35000,0.90229
220000,吉林省,2009,11089,1968,9121,44250,13450,8748,35502,0.89602
220000,吉林省,2008,11111,1984,9127,45000,13145,9000,36000,1.07464
220000,吉林省,2007,,,,,,,,
220000,吉林省,2006,,,,,,,,
220000,吉林省,2005,,,,,,,,
220000,吉林省,2004,,,,,,,,
220000,吉林省,2003,,,,,,,,
220000,吉林省,2002,,,,,,,,
220000,吉林省,2001,,,,,,,,
220000,吉林省,2000,,,,,,,,
230000,黑龙江省,2019,11549,2582,8967,,,,,
230000,黑龙江省,2018,11549,2582,8967,,,,,
230000,黑龙江省,2017,12707,3739,8968,,,,,
230000,黑龙江省,2016,12820,3770,9050,,,,,
230000,黑龙江省,2015,12936,3859,9077,57562,19637,17537,40025,
230000,黑龙江省,2014,11741,2839,8902,52776,17434,13648,39128,
230000,黑龙江省,2013,11768,2862,8906,54150,17730,14060,40090,
230000,黑龙江省,2012,11733,2745,8988,54000,17000,13000,40000,5.4
230000,黑龙江省,2011,11731,2739,8992,53000,17000,13000,40000,5.5
230000,黑龙江省,2010,11795,2738,9057,53000,17000,13000,40000,7.61128
230000,黑龙江省,2009,11824,2769,9055,51510,16477,12983,38527,7.14172
230000,黑龙江省,2008,11868,2811,9057,51000,16437,13000,38000,5.58563
230000,黑龙江省,2007,,,,,,,,
230000,黑龙江省,2006,,,,,,,,
230000,黑龙江省,2005,,,,,,,,
230000,黑龙江省,2004,,,,,,,,
230000,黑龙江省,2003,,,,,,,,
230000,黑龙江省,2002,,,,,,,,
230000,黑龙江省,2001,,,,,,,,
230000,黑龙江省,2000,,,,,,,,
310000,上海市,2019,6038,4468,1570,,,,,
310000,上海市,2018,5988,4416,1572,,,,,
310000,上海市,2017,5949,4364,1585,,,,,
310000,上海市,2016,5843,4253,1590,,,,,
310000,上海市,2015,5747,4154,1593,27153,15879,21055,6098,
310000,上海市,2014,5727,4122,1605,27269,15426,21112,6157,
310000,上海市,2013,5634,4024,1610,26688,15304,20598,6090,
310000,上海市,2012,5527,3914,1613,26000,14000,20000,6000,13.7
310000,上海市,2011,5444,3742,1702,28000,15000,21000,7000,8.1
310000,上海市,2010,5410,3671,1739,27000,15000,20000,7000,11.00322
310000,上海市,2009,5362,3640,1722,27409,15677,20187,7222,9.91839
310000,上海市,2008,5360,3579,1781,28000,16331,21000,7000,8.66483
310000,上海市,2007,,,,,,,,
310000,上海市,2006,,,,,,,,
310000,上海市,2005,,,,,,,,
310000,上海市,2004,,,,,,,,
310000,上海市,2003,,,,,,,,
310000,上海市,2002,,,,,,,,
310000,上海市,2001,,,,,,,,
310000,上海市,2000,,,,,,,,
320000,江苏省,2019,21520,7318,14202,,,,,
320000,江苏省,2018,21740,7330,14410,,,,,
320000,江苏省,2017,21663,7201,14462,,,,,
320000,江苏省,2016,21556,7079,14477,,,,,
320000,江苏省,2015,21495,7009,14486,111048,34293,38471,72577,
320000,江苏省,2014,21400,6972,14428,110319,34258,38100,72219,
320000,江苏省,2013,21355,6817,14538,107637,32571,36337,71300,
320000,江苏省,2012,21510,6337,15173,109000,31000,35000,74000,44.7
320000,江苏省,2011,21708,6083,15625,109000,31000,33000,76000,39.1
320000,江苏省,2010,21645,5842,15803,109000,31000,31000,78000,42.24835
320000,江苏省,2009,21893,5500,16393,109689,30645,29254,80435,34.99012
320000,江苏省,2008,22180,5494,16686,107000,30404,29000,78000,28.07727
320000,江苏省,2007,,,,,,,,
320000,江苏省,2006,,,,,,,,
320000,江苏省,2005,,,,,,,,
320000,江苏省,2004,,,,,,,,
320000,江苏省,2003,,,,,,,,
320000,江苏省,2002,,,,,,,,
320000,江苏省,2001,,,,,,,,
320000,江苏省,2000,,,,,,,,
330000,浙江省,2019,25403,5001,20402,,,,,
330000,浙江省,2018,29391,4680,24711,,,,,
330000,浙江省,2017,31924,4466,27458,,,,,
330000,浙江省,2016,31987,4419,27568,,,,,
330000,浙江省,2015,32294,4393,27901,125366,35538,19970,105396,
330000,浙江省,2014,32318,4321,27997,125534,36160,20004,105530,
330000,浙江省,2013,32568,4229,28339,124370,40261,20331,104039,
330000,浙江省,2012,32805,4007,28798,128000,34000,20000,109000,52.7
330000,浙江省,2011,32988,4176,28812,129000,34000,20000,109000,49.0
330000,浙江省,2010,33406,4103,29303,130000,31000,19000,110000,48.49902
330000,浙江省,2009,33974,4016,29958,132376,32134,19557,112819,52.42347
330000,浙江省,2008,33896,3828,30068,130000,33066,18000,112000,46.57418
330000,浙江省,2007,,,,,,,,
330000,浙江省,2006,,,,,,,,
330000,浙江省,2005,,,,,,,,
330000,浙江省,2004,,,,,,,,
330000,浙江省,2003,,,,,,,,
330000,浙江省,2002,,,,,,,,
330000,浙江省,2001,,,,,,,,
330000,浙江省,2000,,,,,,,,
340000,安徽省,2019,17969,3442,14527,,,,,
340000,安徽省,2018,17951,3435,14516,,,,,
340000,安徽省,2017,17998,3516,14482,,,,,
340000,安徽省,2016,17978,3392,14586,,,,,
340000,安徽省,2015,17987,3299,14688,77616,22965,17207,60409,
340000,安徽省,2014,18043,3257,14786,76952,23023,16822,60130,
340000,安徽省,2013,18107,3182,14925,79229,23021,16840,62389,
340000,安徽省,2012,18154,3100,15054,77000,22000,16000,61000,9.5
340000,安徽省,2011,18289,3407,14882,75000,21000,17000,58000,7.6
340000,安徽省,2010,18900,3354,15546,80000,20000,17000,64000,6.54136
340000,安徽省,2009,18931,3199,15732,80499,20209,16238,64261,5.63713
340000,安徽省,2008,19053,3197,15856,79000,20268,17000,62000,5.24631
340000,安徽省,2007,,,,,,,,
340000,安徽省,2006,,,,,,,,
340000,安徽省,2005,,,,,,,,
340000,安徽省,2004,,,,,,,,
340000,安徽省,2003,,,,,,,,
340000,安徽省,2002,,,,,,,,
340000,安徽省,2001,,,,,,,,
340000,安徽省,2000,,,,,,,,
350000,福建省,2019,17012,2676,14336,,,,,
350000,福建省,2018,16934,2576,14358,,,,,
350000,福建省,2017,16803,2404,14399,,,,,
350000,福建省,2016,16739,2332,14407,,,,,
350000,福建省,2015,16767,2338,14429,68601,17636,11890,56711,
350000,福建省,2014,16748,2308,14440,70366,16517,11875,58491,
350000,福建省,2013,16722,2281,14441,69457,17361,11699,57758,
350000,福建省,2012,16689,2254,14435,69000,19000,13000,56000,3.9
350000,福建省,2011,16626,2191,14435,68000,15000,11000,57000,3.4
350000,福建省,2010,16597,2165,14432,67000,15000,11000,56000,3.0498
350000,福建省,2009,16570,2138,14432,67568,15520,11279,56289,3.26594
350000,福建省,2008,17313,2143,15170,70000,17207,11000,59000,0.79485
350000,福建省,2007,,,,,,,,
350000,福建省,2006,,,,,,,,
350000,福建省,2005,,,,,,,,
350000,福建省,2004,,,,,,,,
350000,福建省,2003,,,,,,,,
350000,福建省,2002,,,,,,,,
350000,福建省,2001,,,,,,,,
350000,福建省,2000,,,,,,,,
360000,江西省,2019,20690,3685,17005,,,,,
360000,江西省,2018,20687,3683,17004,,,,,
360000,江西省,2017,20602,3569,17033,,,,,
360000,江西省,2016,20484,3438,17046,,,,,
360000,江西省,2015,20431,3484,16947,76236,20763,13500,62736,
360000,江西省,2014,20319,3308,17011,77383,20223,12672,64711,
360000,江西省,2013,20251,3333,16918,76532,19918,12532,64000,
360000,江西省,2012,20076,3115,16961,76000,20000,12000,64000,3.8
360000,江西省,2011,20058,3121,16937,74000,20000,12000,63000,2.6
360000,江西省,2010,20024,3090,16934,73000,20000,12000,62000,2.41651
360000,江西省,2009,19708,2828,16880,74993,20639,11350,63643,2.8612
360000,江西省,2008,19410,2534,16876,75000,20040,11000,64000,1.59932
360000,江西省,2007,,,,,,,,
360000,江西省,2006,,,,,,,,
360000,江西省,2005,,,,,,,,
360000,江西省,2004,,,,,,,,
360000,江西省,2003,,,,,,,,
360000,江西省,2002,,,,,,,,
360000,江西省,2001,,,,,,,,
360000,江西省,2000,,,,,,,,
370000,山东省,2019,77140,7594,69546,,,,,
370000,山东省,2018,76985,7386,69599,,,,,
370000,山东省,2017,80995,6828,74167,,,,,
370000,山东省,2016,80948,6731,74217,,,,,
370000,山东省,2015,80444,6633,73811,325672,94447,32162,293510,
370000,山东省,2014,80015,6627,73388,320751,93372,31732,289019,
370000,山东省,2013,81285,6487,74798,330818,95550,31115,299703,
370000,山东省,2012,78193,6623,71570,321000,92000,32000,289000,63.4
370000,山东省,2011,78143,6518,71625,321000,92000,32000,289000,57.6
370000,山东省,2010,79268,6325,72943,335000,96000,31000,304000,59.01788
370000,山东省,2009,80805,5961,74844,333796,98109,29319,304477,57.7935
370000,山东省,2008,85790,5908,79882,348000,103671,29000,319000,52.02952
370000,山东省,2007,,,,,,,,
370000,山东省,2006,,,,,,,,
370000,山东省,2005,,,,,,,,
370000,山东省,2004,,,,,,,,
370000,山东省,2003,,,,,,,,
370000,山东省,2002,,,,,,,,
370000,山东省,2001,,,,,,,,
370000,山东省,2000,,,,,,,,
410000,河南省,2019,51678,6083,45595,,,,,
410000,河南省,2018,51626,5975,45651,,,,,
410000,河南省,2017,51664,5466,46198,,,,,
410000,河南省,2016,51574,4743,46831,,,,,
410000,河南省,2015,51502,4577,46925,214314,49318,22921,191393,
410000,河南省,2014,51342,4404,46938,211880,48168,21399,190481,
410000,河南省,2013,51284,4287,46997,213182,50478,20728,192454,
410000,河南省,2012,51245,4105,47140,213000,50000,20000,193000,8.5
410000,河南省,2011,51213,3866,47347,212000,49000,19000,193000,7.6
410000,河南省,2010,50932,3621,47311,213000,51000,18000,195000,7.39564
410000,河南省,2009,51014,3668,47346,214051,50306,18194,195857,6.72086
410000,河南省,2008,50966,3519,47447,210000,52604,17000,193000,5.16385
410000,河南省,2007,,,,,,,,
410000,河南省,2006,,,,,,,,
410000,河南省,2005,,,,,,,,
410000,河南省,2004,,,,,,,,
410000,河南省,2003,,,,,,,,
410000,河南省,2002,,,,,,,,
410000,河南省,2001,,,,,,,,
410000,河南省,2000,,,,,,,,
420000,湖北省,2019,27284,4631,22653,,,,,
420000,湖北省,2018,27920,4528,23392,,,,,
420000,湖北省,2017,29371,4401,24970,,,,,
420000,湖北省,2016,29454,4390,25064,,,,,
420000,湖北省,2015,29403,4294,25109,117968,37829,21623,96345,
420000,湖北省,2014,29635,4187,25448,113170,36190,20215,92955,
420000,湖北省,2013,29660,4208,25452,117567,33562,20204,97363,
420000,湖北省,2012,29607,4032,25575,117000,34000,20000,98000,12.7
420000,湖北省,2011,29694,4051,25643,116000,33000,19000,97000,9.3
420000,湖北省,2010,29746,3983,25763,112000,32000,18000,94000,8.29158
420000,湖北省,2009,29399,3882,25517,111695,32118,17600,94095,7.67285
420000,湖北省,2008,29345,3794,25551,112000,33266,17000,95000,7.36493
420000,湖北省,2007,,,,,,,,
420000,湖北省,2006,,,,,,,,
420000,湖北省,2005,,,,,,,,
420000,湖北省,2004,,,,,,,,
420000,湖北省,2003,,,,,,,,
420000,湖北省,2002,,,,,,,,
420000,湖北省,2001,,,,,,,,
420000,湖北省,2000,,,,,,,,
430000,湖南省,2019,29264,5398,23866,,,,,
430000,湖南省,2018,29224,5327,23897,,,,,
430000,湖南省,2017,29183,5277,23906,,,,,
430000,湖南省,2016,29193,5238,23955,,,,,
430000,湖南省,2015,45554,5106,40448,162652,46912,22599,140053,
430000,湖南省,2014,46623,5100,41523,166240,48089,22345,143895,
430000,湖南省,2013,46888,4966,41922,167145,47798,21270,145875,
430000,湖南省,2012,46811,4793,42018,167000,48000,21000,146000,13.1
430000,湖南省,2011,47239,4700,42539,168000,48000,20000,147000,10.5
430000,湖南省,2010,47418,4555,42863,169000,49000,20000,149000,10.4623
430000,湖南省,2009,47454,4526,42928,168225,49564,19684,148541,9.99018
430000,湖南省,2008,48058,4508,43550,169000,49399,19000,150000,9.33064
430000,湖南省,2007,,,,,,,,
430000,湖南省,2006,,,,,,,,
430000,湖南省,2005,,,,,,,,
430000,湖南省,2004,,,,,,,,
430000,湖南省,2003,,,,,,,,
430000,湖南省,2002,,,,,,,,
430000,湖南省,2001,,,,,,,,
430000,湖南省,2000,,,,,,,,
440000,广东省,2019,26676,6875,19801,,,,,
440000,广东省,2018,26586,6794,19792,,,,,
440000,广东省,2017,26532,6747,19785,,,,,
440000,广东省,2016,26436,6702,19734,,,,,
440000,广东省,2015,26241,6609,19632,127183,35480,37702,89481,
440000,广东省,2014,25933,6586,19347,123458,35516,37881,85577,
440000,广东省,2013,25829,6572,19257,116322,34046,34750,81572,
440000,广东省,2012,25646,6466,19180,116000,34000,35000,82000,36.2
440000,广东省,2011,25357,6323,19034,117000,34000,34000,83000,75.4
440000,广东省,2010,25754,6248,19506,118000,31000,34000,84000,26.53482
440000,广东省,2009,25690,6188,19502,119530,30939,33594,85936,24.04745
440000,广东省,2008,25626,6154,19472,116000,30255,33000,83000,27.3231
440000,广东省,2007,,,,,,,,
440000,广东省,2006,,,,,,,,
440000,广东省,2005,,,,,,,,
440000,广东省,2004,,,,,,,,
440000,广东省,2003,,,,,,,,
440000,广东省,2002,,,,,,,,
440000,广东省,2001,,,,,,,,
440000,广东省,2000,,,,,,,,
450000,广西壮族自治区,2019,16359,2138,14221,,,,,
450000,广西壮族自治区,2018,16284,2055,14229,,,,,
450000,广西壮族自治区,2017,16227,1969,14258,,,,,
450000,广西壮族自治区,2016,16207,1931,14276,,,,,
450000,广西壮族自治区,2015,16197,1924,14273,80139,19730,11877,68262,
450000,广西壮族自治区,2014,16183,1892,14291,80685,19645,11746,68939,
450000,广西壮族自治区,2013,16148,1835,14313,78619,17335,11415,67204,
450000,广西壮族自治区,2012,16136,1791,14345,77000,17000,10000,67000,4.5
450000,广西壮族自治区,2011,16085,1730,14355,76000,16000,10000,66000,3.6
450000,广西壮族自治区,2010,16069,1714,14355,76000,16000,10000,66000,4.17927
450000,广西壮族自治区,2009,16062,1701,14361,76498,15710,9918,66580,3.76929
450000,广西壮族自治区,2008,16054,1701,14353,76000,15918,10000,67000,2.0673
450000,广西壮族自治区,2007,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,
460000,海南省,2019,3195,634,2561,,,,,
460000,海南省,2018,3152,594,2558,,,,,
460000,海南省,2017,3161,599,2562,,,,,
460000,海南省,2016,3061,509,2552,,,,,
460000,海南省,2015,3072,511,2561,15036,3579,2809,12227,
460000,海南省,2014,3036,475,2561,15537,3511,2746,12791,
460000,海南省,2013,3051,481,2570,15241,3354,2772,12469,
460000,海南省,2012,3040,472,2568,15000,3000,3000,12000,1.0
460000,海南省,2011,3031,464,2567,15000,4000,3000,12000,0.8
460000,海南省,2010,3025,458,2567,15000,4000,2000,12000,0.49399
460000,海南省,2009,3011,455,2556,14425,2965,2330,12095,0.43635
460000,海南省,2008,3006,452,2554,14000,2959,2000,12000,0.42481
460000,海南省,2007,,,,,,,,
460000,海南省,2006,,,,,,,,
460000,海南省,2005,,,,,,,,
460000,海南省,2004,,,,,,,,
460000,海南省,2003,,,,,,,,
460000,海南省,2002,,,,,,,,
460000,海南省,2001,,,,,,,,
460000,海南省,2000,,,,,,,,
500000,重庆市,2019,11184,3169,8015,,,,,
500000,重庆市,2018,11159,3128,8031,,,,,
500000,重庆市,2017,11145,3055,8090,,,,,
500000,重庆市,2016,11123,3059,8064,,,,,
500000,重庆市,2015,11083,2863,8220,55301,18428,17199,38102,
500000,重庆市,2014,11030,2775,8255,54020,17773,16288,37732,
500000,重庆市,2013,11039,2721,8318,53716,16990,15830,37886,
500000,重庆市,2012,10981,2514,8467,54000,16000,15000,39000,4.3
500000,重庆市,2011,10945,2370,8575,53000,16000,14000,39000,3.1
500000,重庆市,2010,10913,2308,8605,52000,15000,13000,39000,3.08681
500000,重庆市,2009,10978,2175,8803,50829,14871,12135,38694,1.94902
500000,重庆市,2008,11103,2136,8967,48000,15187,12000,37000,2.25214
500000,重庆市,2007,,,,,,,,
500000,重庆市,2006,,,,,,,,
500000,重庆市,2005,,,,,,,,
500000,重庆市,2004,,,,,,,,
500000,重庆市,2003,,,,,,,,
500000,重庆市,2002,,,,,,,,
500000,重庆市,2001,,,,,,,,
500000,重庆市,2000,,,,,,,,
510000,四川省,2019,51167,7686,43481,,,,,
510000,四川省,2018,53006,7482,45524,,,,,
510000,四川省,2017,53093,7410,45683,,,,,
510000,四川省,2016,53068,7123,45945,,,,,
510000,四川省,2015,53189,6949,46240,211415,52673,30979,180436,
510000,四川省,2014,53123,6805,46318,213088,52280,30494,182594,
510000,四川省,2013,53115,6623,46492,212643,49893,29002,183641,
510000,四川省,2012,52973,6369,46604,210000,50000,28000,182000,11.1
510000,四川省,2011,52988,6183,46805,211000,48000,27000,184000,8.3
510000,四川省,2010,53232,5864,47368,206000,47000,25000,181000,7.39191
510000,四川省,2009,53664,5667,47997,210089,44989,25167,184922,6.85086
510000,四川省,2008,53385,5479,47906,211000,43976,24000,187000,6.83053
510000,四川省,2007,,,,,,,,
510000,四川省,2006,,,,,,,,
510000,四川省,2005,,,,,,,,
510000,四川省,2004,,,,,,,,
510000,四川省,2003,,,,,,,,
510000,四川省,2002,,,,,,,,
510000,四川省,2001,,,,,,,,
510000,四川省,2000,,,,,,,,
520000,贵州省,2019,17541,4310,13231,,,,,
520000,贵州省,2018,17484,4189,13295,,,,,
520000,贵州省,2017,17488,4052,13436,,,,,
520000,贵州省,2016,18388,3769,14619,,,,,
520000,贵州省,2015,18698,2086,16612,88759,19962,12032,76727,
520000,贵州省,2014,18763,2016,16747,89037,19652,11631,77406,
520000,贵州省,2013,18815,1956,16859,87205,18257,11002,76203,
520000,贵州省,2012,19917,1818,18099,94000,17000,10000,83000,4.5
520000,贵州省,2011,19288,1705,17583,88000,17000,9000,78000,2.8
520000,贵州省,2010,19326,1654,17672,85000,16000,9000,76000,3.08641
520000,贵州省,2009,19205,1637,17568,83784,16586,8796,74988,2.70195
520000,贵州省,2008,18965,1633,17332,82000,16600,9000,74000,2.61951
520000,贵州省,2007,,,,,,,,
520000,贵州省,2006,,,,,,,,
520000,贵州省,2005,,,,,,,,
520000,贵州省,2004,,,,,,,,
520000,贵州省,2003,,,,,,,,
520000,贵州省,2002,,,,,,,,
520000,贵州省,2001,,,,,,,,
520000,贵州省,2000,,,,,,,,
530000,云南省,2019,14501,2632,11869,,,,,
530000,云南省,2018,14416,2551,11865,,,,,
530000,云南省,2017,14378,2473,11905,,,,,
530000,云南省,2016,14299,2328,11971,,,,,
530000,云南省,2015,14259,2235,12024,70909,14619,13035,57874,
530000,云南省,2014,14238,2203,12035,71177,14659,12897,58280,
530000,云南省,2013,14209,2072,12137,70128,14651,11866,58262,
530000,云南省,2012,14156,1864,12292,67000,13000,11000,56000,4.7
530000,云南省,2011,14104,1760,12344,66000,12000,10000,57000,4.1
530000,云南省,2010,14063,1444,12619,68000,14000,8000,60000,3.6252
530000,云南省,2009,14081,1128,12953,61235,11655,6888,54347,2.23467
530000,云南省,2008,11480,1038,10442,55000,11276,6000,49000,3.1904
530000,云南省,2007,,,,,,,,
530000,云南省,2006,,,,,,,,
530000,云南省,2005,,,,,,,,
530000,云南省,2004,,,,,,,,
530000,云南省,2003,,,,,,,,
530000,云南省,2002,,,,,,,,
530000,云南省,2001,,,,,,,,
530000,云南省,2000,,,,,,,,
540000,西藏自治区,2019,5524,234,5290,,,,,
540000,西藏自治区,2018,5494,228,5266,,,,,
540000,西藏自治区,2017,5474,215,5259,,,,,
540000,西藏自治区,2016,5467,208,5259,,,,,
540000,西藏自治区,2015,5465,208,5257,25487,5858,1411,24076,
540000,西藏自治区,2014,5464,209,5255,24639,5449,1366,23273,
540000,西藏自治区,2013,5438,183,5255,24716,7220,1168,23548,
540000,西藏自治区,2012,5456,197,5259,26000,6000,1000,25000,0.1
540000,西藏自治区,2011,5456,197,5259,26000,6000,1000,25000,0.1
540000,西藏自治区,2010,5453,192,5261,25000,4000,1000,24000,0.07257
540000,西藏自治区,2009,5453,192,5261,24864,4433,1049,23815,0.07257
540000,西藏自治区,2008,5453,192,5261,25000,4433,1000,24000,0.0777
540000,西藏自治区,2007,,,,,,,,
540000,西藏自治区,2006,,,,,,,,
540000,西藏自治区,2005,,,,,,,,
540000,西藏自治区,2004,,,,,,,,
