省份编码,省份,年份,社会捐赠款物合计(亿元),社会捐赠款(亿元),民政部门社会捐赠款(亿元),各类社会组织社会捐赠款(亿元),社会捐赠其他物资折款(亿元),接收社会捐赠衣被数量(亿件)
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,0.62527,0.62519,,0.61907,,
150000,内蒙古自治区,2014,1.5032,0.69459,0.06907,0.62552,0.80861,
150000,内蒙古自治区,2013,1.55049,0.87498,0.2114,0.66358,0.67551,
150000,内蒙古自治区,2012,0.9,0.4,0.1,0.3,0.5,
150000,内蒙古自治区,2011,0.5,0.5,0.3,0.2,,
150000,内蒙古自治区,2010,0.8,0.8,0.4,0.4,,
150000,内蒙古自治区,2009,,,,,,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,4.30512,4.29844,0.28,4.01844,,
210000,辽宁省,2014,8.83118,8.76468,4.27828,4.4864,0.0665,
210000,辽宁省,2013,11.89716,11.89716,7.58547,4.31169,,
210000,辽宁省,2012,9.7,9.7,5.6,4.1,,
210000,辽宁省,2011,6.9,6.9,4.9,2.0,,0.1
210000,辽宁省,2010,34.2,33.2,7.7,25.5,1.0,0.1
210000,辽宁省,2009,,,,,,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,4.84636,4.84636,0.22298,4.62338,,
220000,吉林省,2014,2.77011,2.77011,2.11078,0.65933,,
220000,吉林省,2013,3.81896,3.74956,2.84673,0.90283,0.0694,
220000,吉林省,2012,3.0,3.0,2.3,0.7,,
220000,吉林省,2011,2.5,2.5,2.0,0.5,,
220000,吉林省,2010,8.2,8.1,7.4,0.7,0.1,
220000,吉林省,2009,,,,,,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,0.32476,0.32376,0.06501,0.25875,,
230000,黑龙江省,2014,0.36846,0.36646,0.10795,0.25851,,
230000,黑龙江省,2013,0.93703,0.84703,0.51169,0.33534,0.09,
230000,黑龙江省,2012,0.6,0.6,0.2,0.4,,
230000,黑龙江省,2011,0.6,0.6,0.3,0.3,,
230000,黑龙江省,2010,1.1,1.1,0.6,0.5,,
230000,黑龙江省,2009,,,,,,
230000,黑龙江省,2008,,,,,,
230000,黑龙江省,2007,,,,,,
230000,黑龙江省,2006,,,,,,
230000,黑龙江省,2005,,,,,,
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,29.59205,29.59205,0.6806,28.91145,,
310000,上海市,2014,39.07774,39.06274,1.81246,37.25028,,
310000,上海市,2013,23.20878,23.20878,1.77636,21.43242,,
310000,上海市,2012,27.2,27.2,1.9,25.3,,
310000,上海市,2011,10.6,10.6,1.1,9.5,,
310000,上海市,2010,10.4,10.4,0.9,9.5,,
310000,上海市,2009,,,,,,
310000,上海市,2008,,,,,,
310000,上海市,2007,,,,,,
310000,上海市,2006,,,,,,
310000,上海市,2005,,,,,,
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,101.60757,101.51289,9.90617,91.60672,0.09468,
320000,江苏省,2014,89.97151,86.07962,14.76331,71.31631,3.89189,
320000,江苏省,2013,85.09701,82.2624,18.10401,64.15839,2.83461,
320000,江苏省,2012,76.4,76.2,13.2,63.0,0.2,
320000,江苏省,2011,39.6,38.5,14.0,24.5,1.1,
320000,江苏省,2010,38.0,36.9,13.7,23.2,1.1,
320000,江苏省,2009,,,,,,
320000,江苏省,2008,,,,,,
320000,江苏省,2007,,,,,,
320000,江苏省,2006,,,,,,
320000,江苏省,2005,,,,,,
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,30.74692,30.7378,0.66835,30.06945,,
330000,浙江省,2014,36.64194,36.57702,9.4011,27.17592,0.06492,
330000,浙江省,2013,56.59131,56.50922,11.70146,44.80776,0.08209,
330000,浙江省,2012,55.3,55.3,10.8,44.5,,
330000,浙江省,2011,64.7,64.6,11.7,52.9,0.1,
330000,浙江省,2010,60.0,59.9,14.8,45.1,0.1,
330000,浙江省,2009,,,,,,
330000,浙江省,2008,,,,,,
330000,浙江省,2007,,,,,,
330000,浙江省,2006,,,,,,
330000,浙江省,2005,,,,,,
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,3.99212,3.99112,0.061,3.93012,,
340000,安徽省,2014,3.40323,3.40323,0.0349,3.36833,,
340000,安徽省,2013,4.01984,4.01984,0.40163,3.61821,,
340000,安徽省,2012,2.9,2.9,0.6,2.3,,
340000,安徽省,2011,3.1,3.1,0.6,2.5,,
340000,安徽省,2010,3.6,3.6,1.1,2.5,,
340000,安徽省,2009,,,,,,
340000,安徽省,2008,,,,,,
340000,安徽省,2007,,,,,,
340000,安徽省,2006,,,,,,
340000,安徽省,2005,,,,,,
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,2.47517,2.4746,0.06168,2.41292,,
350000,福建省,2014,2.81874,2.31226,0.86406,1.4482,0.50648,
350000,福建省,2013,5.10379,4.48907,3.2747,1.21437,0.61472,
350000,福建省,2012,5.9,5.5,4.2,1.3,0.4,
350000,福建省,2011,11.9,10.8,9.5,1.3,1.1,
350000,福建省,2010,14.7,14.7,12.4,2.3,,
350000,福建省,2009,,,,,,
350000,福建省,2008,,,,,,
350000,福建省,2007,,,,,,
350000,福建省,2006,,,,,,
350000,福建省,2005,,,,,,
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,4.98884,2.14683,0.78223,1.3646,2.84201,
360000,江西省,2014,5.44361,2.24877,0.95206,1.29671,3.19484,
360000,江西省,2013,2.1222,2.1222,0.83709,1.28511,,
360000,江西省,2012,4.5,3.1,1.8,1.3,1.4,
360000,江西省,2011,2.1,2.1,0.9,1.2,,
360000,江西省,2010,3.1,2.8,1.7,1.1,0.3,
360000,江西省,2009,,,,,,
360000,江西省,2008,,,,,,
360000,江西省,2007,,,,,,
360000,江西省,2006,,,,,,
360000,江西省,2005,,,,,,
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,33.07453,33.07453,0.85389,32.22064,,
370000,山东省,2014,26.18659,26.18659,1.93482,24.25177,,
370000,山东省,2013,32.82414,32.82414,11.0899,21.73424,,
370000,山东省,2012,35.3,35.2,9.2,26.0,0.1,
370000,山东省,2011,33.5,33.3,7.3,26.0,0.2,
370000,山东省,2010,35.7,35.7,8.4,27.3,,
370000,山东省,2009,,,,,,
370000,山东省,2008,,,,,,
370000,山东省,2007,,,,,,
370000,山东省,2006,,,,,,
370000,山东省,2005,,,,,,
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,1.50728,1.50296,0.38857,1.11439,,
410000,河南省,2014,3.25113,3.24773,0.35641,2.89132,,
410000,河南省,2013,3.19821,3.19821,0.38416,2.81405,,
410000,河南省,2012,6.6,6.6,0.3,6.3,,
410000,河南省,2011,7.0,7.0,0.5,6.5,,
410000,河南省,2010,7.6,7.6,1.2,6.4,,
410000,河南省,2009,,,,,,
410000,河南省,2008,,,,,,
410000,河南省,2007,,,,,,
410000,河南省,2006,,,,,,
410000,河南省,2005,,,,,,
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,4.36866,4.35534,0.22036,4.13498,,
420000,湖北省,2014,6.20227,5.73997,0.80232,4.93765,0.4623,
420000,湖北省,2013,6.7951,6.6735,0.87454,5.79896,0.1216,
420000,湖北省,2012,6.9,6.6,0.9,5.7,0.3,
420000,湖北省,2011,7.8,7.6,0.7,6.9,0.2,
420000,湖北省,2010,10.0,9.7,1.3,8.4,0.3,
420000,湖北省,2009,,,,,,
420000,湖北省,2008,,,,,,
420000,湖北省,2007,,,,,,
420000,湖北省,2006,,,,,,
420000,湖北省,2005,,,,,,
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,14.24202,14.23043,2.19196,12.03847,,
430000,湖南省,2014,14.52717,14.25782,2.65106,11.60676,0.26935,
430000,湖南省,2013,14.76108,14.62056,3.83111,10.78945,0.14052,
430000,湖南省,2012,14.6,13.5,2.5,11.0,1.1,
430000,湖南省,2011,12.5,11.5,2.0,9.5,1.0,
430000,湖南省,2010,14.4,14.3,2.5,11.8,0.1,
430000,湖南省,2009,,,,,,
430000,湖南省,2008,,,,,,
430000,湖南省,2007,,,,,,
430000,湖南省,2006,,,,,,
430000,湖南省,2005,,,,,,
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,50.41935,50.3374,7.92469,42.41271,0.08195,
440000,广东省,2014,53.35202,53.22374,12.2065,41.01724,0.12828,
440000,广东省,2013,61.153,60.97233,17.5933,43.37903,0.18067,
440000,广东省,2012,47.4,47.2,18.3,28.9,0.2,
440000,广东省,2011,51.2,51.1,21.4,29.7,0.1,
440000,广东省,2010,134.6,134.4,27.6,106.8,0.2,
440000,广东省,2009,,,,,,
440000,广东省,2008,,,,,,
440000,广东省,2007,,,,,,
440000,广东省,2006,,,,,,
440000,广东省,2005,,,,,,
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,0.55275,0.5527,,0.52638,,
450000,广西壮族自治区,2014,0.63263,0.62964,0.10076,0.52888,,
450000,广西壮族自治区,2013,0.88775,0.88775,0.31927,0.56848,,
450000,广西壮族自治区,2012,2.2,1.0,0.3,0.7,1.2,
450000,广西壮族自治区,2011,0.5,0.5,0.1,0.4,,
450000,广西壮族自治区,2010,4.5,4.4,2.0,2.4,0.1,
450000,广西壮族自治区,2009,,,,,,
450000,广西壮族自治区,2008,,,,,,
450000,广西壮族自治区,2007,,,,,,
450000,广西壮族自治区,2006,,,,,,
450000,广西壮族自治区,2005,,,,,,
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,0.06191,0.06191,,,,
460000,海南省,2014,0.28313,0.28313,0.24448,0.1,,
460000,海南省,2013,,,,,,
460000,海南省,2012,0.1,0.1,,0.1,,
460000,海南省,2011,0.1,0.1,,0.1,,
460000,海南省,2010,2.3,2.3,2.1,0.2,,
460000,海南省,2009,,,,,,
460000,海南省,2008,,,,,,
460000,海南省,2007,,,,,,
460000,海南省,2006,,,,,,
460000,海南省,2005,,,,,,
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,11.56994,11.21661,4.50757,6.70904,0.35333,
500000,重庆市,2014,13.13618,12.8548,5.30637,7.54843,0.28138,
500000,重庆市,2013,7.68535,7.3347,4.24483,3.08987,0.35065,
500000,重庆市,2012,8.2,8.1,5.1,3.0,0.1,
500000,重庆市,2011,6.4,6.4,3.4,3.0,,
500000,重庆市,2010,6.4,6.3,3.5,2.8,0.1,
500000,重庆市,2009,,,,,,
500000,重庆市,2008,,,,,,
500000,重庆市,2007,,,,,,
500000,重庆市,2006,,,,,,
500000,重庆市,2005,,,,,,
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,5.31087,5.24234,2.23477,3.00757,0.06853,
510000,四川省,2014,6.92914,6.89675,3.02188,3.87487,,
510000,四川省,2013,14.41454,12.2442,5.65034,6.59386,2.17034,
510000,四川省,2012,9.0,8.9,2.1,6.8,0.1,
510000,四川省,2011,9.4,9.4,2.9,6.5,,
510000,四川省,2010,10.7,10.6,4.6,6.0,0.1,
510000,四川省,2009,,,,,,
510000,四川省,2008,,,,,,
510000,四川省,2007,,,,,,
510000,四川省,2006,,,,,,
510000,四川省,2005,,,,,,
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,1.87074,1.82633,0.95415,0.87218,,
520000,贵州省,2014,1.67204,1.65726,0.7899,0.86736,,
520000,贵州省,2013,1.76729,1.76729,0.92647,0.84082,,
520000,贵州省,2012,2.8,2.7,1.8,0.9,0.1,
520000,贵州省,2011,3.3,3.3,1.4,1.9,,
520000,贵州省,2010,3.9,3.9,3.0,0.9,,
520000,贵州省,2009,,,,,,
520000,贵州省,2008,,,,,,
520000,贵州省,2007,,,,,,
520000,贵州省,2006,,,,,,
520000,贵州省,2005,,,,,,
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,,,,,,
530000,云南省,2016,,,,,,
530000,云南省,2015,2.97068,2.93747,0.4018,2.53567,,
530000,云南省,2014,12.28298,12.22889,9.95202,2.27687,0.05409,
530000,云南省,2013,2.74072,2.74072,0.53928,2.20144,,
530000,云南省,2012,5.7,5.7,3.6,2.1,,
530000,云南省,2011,7.0,6.9,2.0,4.9,0.1,0.1
530000,云南省,2010,17.8,17.1,10.5,6.6,0.7,0.1
530000,云南省,2009,,,,,,
530000,云南省,2008,,,,,,
530000,云南省,2007,,,,,,
530000,云南省,2006,,,,,,
530000,云南省,2005,,,,,,
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,1.82538,1.81002,1.53979,0.27023,,
540000,西藏自治区,2014,0.4389,0.43767,0.19161,0.24606,,
540000,西藏自治区,2013,0.44369,0.44369,0.24183,0.20186,,
540000,西藏自治区,2012,0.8,0.8,0.6,0.2,,
540000,西藏自治区,2011,0.4,0.4,0.2,0.2,,
540000,西藏自治区,2010,0.5,0.5,0.5,,,
540000,西藏自治区,2009,,,,,,
540000,西藏自治区,2008,,,,,,
540000,西藏自治区,2007,,,,,,
540000,西藏自治区,2006,,,,,,
540000,西藏自治区,2005,,,,,,
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,,,,,,
610000,陕西省,2016,,,,,,
610000,陕西省,2015,0.29171,0.29059,,0.25134,,
610000,陕西省,2014,0.42418,0.42135,0.05182,0.36953,,
610000,陕西省,2013,2.47181,2.41748,1.32911,1.08837,0.05433,
610000,陕西省,2012,0.5,0.5,0.1,0.4,,
610000,陕西省,2011,0.5,0.5,0.1,0.4,,
610000,陕西省,2010,5.6,5.6,5.2,0.4,,
610000,陕西省,2009,,,,,,
610000,陕西省,2008,,,,,,
610000,陕西省,2007,,,,,,
610000,陕西省,2006,,,,,,
610000,陕西省,2005,,,,,,
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,,,,,,
620000,甘肃省,2016,,,,,,
620000,甘肃省,2015,0.71375,0.69304,0.11293,0.58011,,
620000,甘肃省,2014,0.52388,0.52328,0.08556,0.43772,,
620000,甘肃省,2013,0.67959,0.67959,0.16854,0.51105,,
620000,甘肃省,2012,0.7,0.6,0.1,0.5,0.1,
620000,甘肃省,2011,1.2,1.2,0.1,1.1,,
620000,甘肃省,2010,3.1,2.7,1.0,1.7,0.4,
620000,甘肃省,2009,,,,,,
620000,甘肃省,2008,,,,,,
620000,甘肃省,2007,,,,,,
620000,甘肃省,2006,,,,,,
620000,甘肃省,2005,,,,,,
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,,,,,,
630000,青海省,2016,,,,,,
630000,青海省,2015,0.63147,0.63147,,0.59468,,
630000,青海省,2014,0.67188,0.67188,0.0568,0.61508,,
630000,青海省,2013,0.66547,0.66547,0.05563,0.60984,,
630000,青海省,2012,0.7,0.7,,0.7,,
630000,青海省,2011,0.6,0.6,,0.6,,
630000,青海省,2010,7.2,7.2,6.5,0.7,,
630000,青海省,2009,,,,,,
630000,青海省,2008,,,,,,
630000,青海省,2007,,,,,,
630000,青海省,2006,,,,,,
630000,青海省,2005,,,,,,
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,,,,,,
640000,宁夏回族自治区,2016,,,,,,
640000,宁夏回族自治区,2015,1.37887,1.37887,,1.36415,,
640000,宁夏回族自治区,2014,1.34579,1.34579,0.06104,1.28475,,
640000,宁夏回族自治区,2013,1.562,1.562,0.35734,1.20466,,
640000,宁夏回族自治区,2012,2.0,2.0,1.0,1.0,,
640000,宁夏回族自治区,2011,0.2,0.2,0.2,,,
640000,宁夏回族自治区,2010,0.2,0.2,0.2,,,
640000,宁夏回族自治区,2009,,,,,,
640000,宁夏回族自治区,2008,,,,,,
640000,宁夏回族自治区,2007,,,,,,
640000,宁夏回族自治区,2006,,,,,,
640000,宁夏回族自治区,2005,,,,,,
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,
650000,新疆维吾尔自治区,2015,0.35609,0.35535,0.21708,0.13827,,
650000,新疆维吾尔自治区,2014,0.37432,0.37361,0.23801,0.1356,,
650000,新疆维吾尔自治区,2013,0.46711,0.46711,0.24695,0.22016,,
650000,新疆维吾尔自治区,2012,0.7,0.7,0.3,0.4,,
650000,新疆维吾尔自治区,2011,0.8,0.6,0.2,0.4,0.2,
650000,新疆维吾尔自治区,2010,1.2,1.2,0.5,0.7,,
650000,新疆维吾尔自治区,2009,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
