省份编码,省份,年份,限额以上批发和零售业企业主营业务收入(亿元),限额以上批发和零售业企业主营业务成本(亿元),限额以上批发和零售业企业主营业务利润(亿元)
150000,内蒙古自治区,2019,,,
150000,内蒙古自治区,2018,,,
150000,内蒙古自治区,2017,,,
150000,内蒙古自治区,2016,3763.10897,3439.92903,
150000,内蒙古自治区,2015,,,
150000,内蒙古自治区,2014,,,
150000,内蒙古自治区,2013,,,
150000,内蒙古自治区,2012,,,332.4592
150000,内蒙古自治区,2011,,,372.97
150000,内蒙古自治区,2010,,,306.63736
150000,内蒙古自治区,2009,,,293.62124
150000,内蒙古自治区,2008,2051.617,1700.7088,334.8039
150000,内蒙古自治区,2007,1248.91128,1066.19535,143.90716
150000,内蒙古自治区,2006,999.2552,866.6474,119.0123
150000,内蒙古自治区,2005,800.19321,639.09457,128.225
150000,内蒙古自治区,2004,634.0567,530.93389,77.32818
150000,内蒙古自治区,2003,265.44654,239.63351,13.12756
150000,内蒙古自治区,2002,220.0397,195.2801,12.8239
150000,内蒙古自治区,2001,205.5626,181.4286,6.4759
150000,内蒙古自治区,2000,188.8398,171.738,6.5409
210000,辽宁省,2019,,,
210000,辽宁省,2018,,,
210000,辽宁省,2017,,,
210000,辽宁省,2016,,,
210000,辽宁省,2015,,,
210000,辽宁省,2014,,,
210000,辽宁省,2013,,,
210000,辽宁省,2012,,,750.8452
210000,辽宁省,2011,,,633.5028
210000,辽宁省,2010,,,488.2667
210000,辽宁省,2009,,,435.87124
210000,辽宁省,2008,8095.8661,7479.6484,572.0852
210000,辽宁省,2007,5544.16528,5174.32604,287.19466
210000,辽宁省,2006,4870.4058,4582.7176,252.6089
210000,辽宁省,2005,4366.53181,3969.18325,212.76765
210000,辽宁省,2004,3668.79166,3423.06665,220.56931
210000,辽宁省,2003,2067.96022,1939.51424,51.2489
210000,辽宁省,2002,1665.3384,1563.0926,29.8298
210000,辽宁省,2001,1505.8663,1415.4401,16.823
210000,辽宁省,2000,1381.8025,1285.2195,36.477
220000,吉林省,2019,,,
220000,吉林省,2018,,,
220000,吉林省,2017,,,
220000,吉林省,2016,,,
220000,吉林省,2015,,,
220000,吉林省,2014,,,
220000,吉林省,2013,,,
220000,吉林省,2012,,,286.4911
220000,吉林省,2011,,,206.6479
220000,吉林省,2010,,,151.75226
220000,吉林省,2009,,,117.11627
220000,吉林省,2008,2924.4627,2687.1253,190.2527
220000,吉林省,2007,1058.41981,968.85903,69.50494
220000,吉林省,2006,891.6038,831.7763,58.0866
220000,吉林省,2005,1481.74202,1393.8927,62.8679
220000,吉林省,2004,1810.8298,1691.27833,65.54572
220000,吉林省,2003,491.20608,468.69497,-4.79714
220000,吉林省,2002,407.2035,395.0868,-10.4167
220000,吉林省,2001,334.942,316.5706,-1.6387
220000,吉林省,2000,316.7845,299.5513,-3.5941
230000,黑龙江省,2019,,,
230000,黑龙江省,2018,,,
230000,黑龙江省,2017,,,
230000,黑龙江省,2016,,,
230000,黑龙江省,2015,,,
230000,黑龙江省,2014,,,
230000,黑龙江省,2013,,,
230000,黑龙江省,2012,,,330.2627
230000,黑龙江省,2011,,,295.2944
230000,黑龙江省,2010,,,261.79179
230000,黑龙江省,2009,,,266.74191
230000,黑龙江省,2008,2107.4578,1887.2542,208.9553
230000,黑龙江省,2007,1407.55424,1270.01133,108.63058
230000,黑龙江省,2006,1212.2585,1119.5111,83.5066
230000,黑龙江省,2005,1034.24576,938.04279,72.84804
230000,黑龙江省,2004,987.84076,895.43968,69.56867
230000,黑龙江省,2003,600.70018,543.14285,26.02474
230000,黑龙江省,2002,518.8506,470.9895,21.2523
230000,黑龙江省,2001,488.9164,444.517,18.0658
230000,黑龙江省,2000,464.0327,427.0072,14.4643
310000,上海市,2019,,,
310000,上海市,2018,,,
310000,上海市,2017,,,
310000,上海市,2016,,,
310000,上海市,2015,,,
310000,上海市,2014,,,
310000,上海市,2013,,,
310000,上海市,2012,,,3604.9516
310000,上海市,2011,,,3263.4294
310000,上海市,2010,,,2159.34984
310000,上海市,2009,,,1702.52412
310000,上海市,2008,27004.6008,24996.0268,1808.9987
310000,上海市,2007,14654.26799,13266.56045,1164.59948
310000,上海市,2006,13065.982,12065.1518,952.9208
310000,上海市,2005,11236.1894,9874.12318,737.70806
310000,上海市,2004,11265.65374,10310.45638,844.62295
310000,上海市,2003,4810.91342,4343.01518,229.22776
310000,上海市,2002,4824.8653,4424.9989,216.2589
310000,上海市,2001,3324.5841,3039.55,128.891
310000,上海市,2000,3239.3458,2945.4498,147.2965
320000,江苏省,2019,,,
320000,江苏省,2018,,,
320000,江苏省,2017,,,
320000,江苏省,2016,,,
320000,江苏省,2015,,,
320000,江苏省,2014,,,
320000,江苏省,2013,,,
320000,江苏省,2012,,,2029.6983
320000,江苏省,2011,,,1962.3232
320000,江苏省,2010,,,1681.11801
320000,江苏省,2009,,,1442.3232
320000,江苏省,2008,18299.7163,16413.6959,1768.3733
320000,江苏省,2007,8424.05041,7697.37077,619.88332
320000,江苏省,2006,6805.2938,6258.2473,470.1571
320000,江苏省,2005,5250.93879,4757.00927,360.88177
320000,江苏省,2004,5496.49143,5023.77887,393.45152
320000,江苏省,2003,3218.35537,2935.87375,156.08815
320000,江苏省,2002,2723.8719,2481.2101,129.8867
320000,江苏省,2001,2368.7153,2139.4201,106.4574
320000,江苏省,2000,2452.9139,2212.3993,115.358
330000,浙江省,2019,,,
330000,浙江省,2018,,,
330000,浙江省,2017,,,
330000,浙江省,2016,,,
330000,浙江省,2015,,,
330000,浙江省,2014,,,
330000,浙江省,2013,,,
330000,浙江省,2012,,,1476.4743
330000,浙江省,2011,,,1404.168
330000,浙江省,2010,,,1134.6571
330000,浙江省,2009,,,897.10676
330000,浙江省,2008,16250.5891,15341.4029,887.4671
330000,浙江省,2007,11419.8575,10765.73447,640.77443
330000,浙江省,2006,9266.0716,8741.5759,514.1668
330000,浙江省,2005,7923.8171,7466.22412,429.90385
330000,浙江省,2004,7389.49074,6954.95251,422.54522
330000,浙江省,2003,4593.28516,4282.43879,180.01632
330000,浙江省,2002,3475.7487,3225.7158,144.2458
330000,浙江省,2001,3033.3922,2817.4433,112.1136
330000,浙江省,2000,2809.3011,2600.4586,110.6832
340000,安徽省,2019,,,
340000,安徽省,2018,,,
340000,安徽省,2017,,,
340000,安徽省,2016,,,
340000,安徽省,2015,,,
340000,安徽省,2014,,,
340000,安徽省,2013,,,
340000,安徽省,2012,,,582.3907
340000,安徽省,2011,,,475.752
340000,安徽省,2010,,,343.79821
340000,安徽省,2009,,,267.15899
340000,安徽省,2008,3130.348,2823.7483,284.7151
340000,安徽省,2007,2041.76626,1826.27693,165.74883
340000,安徽省,2006,1688.9588,1548.1414,125.8538
340000,安徽省,2005,1480.51455,1352.60473,110.23511
340000,安徽省,2004,1329.65848,1219.4012,87.1344
340000,安徽省,2003,857.47019,784.42319,43.03394
340000,安徽省,2002,709.9957,648.9298,34.5848
340000,安徽省,2001,571.1819,518.9109,26.4534
340000,安徽省,2000,585.4128,532.6635,26.0281
350000,福建省,2019,,,
350000,福建省,2018,,,
350000,福建省,2017,,,
350000,福建省,2016,,,
350000,福建省,2015,,,
350000,福建省,2014,,,
350000,福建省,2013,,,
350000,福建省,2012,,,752.5995
350000,福建省,2011,,,659.2743
350000,福建省,2010,,,503.78926
350000,福建省,2009,,,387.9496
350000,福建省,2008,5238.4665,4837.0842,383.4784
350000,福建省,2007,3841.37483,3583.35712,250.40058
350000,福建省,2006,3251.6218,3038.8844,193.6898
350000,福建省,2005,2683.01935,2527.25946,155.43292
350000,福建省,2004,2715.70394,2532.93519,156.78532
350000,福建省,2003,1631.47593,1511.75293,61.88104
350000,福建省,2002,1345.7051,1242.6406,55.9813
350000,福建省,2001,1066.5547,984.7159,35.1084
350000,福建省,2000,1101.8343,991.9568,46.0919
360000,江西省,2019,,,
360000,江西省,2018,,,
360000,江西省,2017,,,
360000,江西省,2016,,,
360000,江西省,2015,,,
360000,江西省,2014,,,
360000,江西省,2013,,,
360000,江西省,2012,,,254.5795
360000,江西省,2011,,,195.2289
360000,江西省,2010,,,150.32147
360000,江西省,2009,,,144.1022
360000,江西省,2008,1220.0868,1031.3086,168.4773
360000,江西省,2007,888.83678,779.09435,88.41633
360000,江西省,2006,799.9367,710.4788,81.9364
360000,江西省,2005,668.24604,599.34482,60.64473
360000,江西省,2004,690.15698,625.50478,55.29695
360000,江西省,2003,435.28746,394.02631,21.90105
360000,江西省,2002,395.5966,361.4806,17.66
360000,江西省,2001,376.807,346.1917,12.5637
360000,江西省,2000,304.394,278.546,10.5934
370000,山东省,2019,,,
370000,山东省,2018,,,
370000,山东省,2017,,,
370000,山东省,2016,,,
370000,山东省,2015,,,
370000,山东省,2014,,,
370000,山东省,2013,,,
370000,山东省,2012,,,2022.6646
370000,山东省,2011,,,1626.6727
370000,山东省,2010,,,1536.28396
370000,山东省,2009,,,1567.61828
370000,山东省,2008,11082.6962,9616.4126,1328.3503
370000,山东省,2007,6132.2414,5527.17805,490.59582
370000,山东省,2006,4637.9659,4246.8371,346.5676
370000,山东省,2005,4044.97028,3706.56802,266.3609
370000,山东省,2004,3988.27333,3667.83971,207.90644
370000,山东省,2003,2220.6288,2053.7056,90.88962
370000,山东省,2002,1922.9328,1777.2781,77.5604
370000,山东省,2001,1731.2552,1574.6714,65.7763
370000,山东省,2000,1611.0669,1468.5566,57.1204
410000,河南省,2019,,,
410000,河南省,2018,,,
410000,河南省,2017,,,
410000,河南省,2016,,,
410000,河南省,2015,,,
410000,河南省,2014,,,
410000,河南省,2013,,,
410000,河南省,2012,,,611.0353
410000,河南省,2011,,,547.4473
410000,河南省,2010,,,424.32702
410000,河南省,2009,,,393.50433
410000,河南省,2008,4053.6997,3686.5009,349.1176
410000,河南省,2007,2892.97169,2662.81971,222.76314
410000,河南省,2006,2453.6209,2272.7767,175.6466
410000,河南省,2005,2107.1828,1949.8417,153.1461
410000,河南省,2004,2055.69465,1883.64822,121.72916
410000,河南省,2003,1021.23446,942.93985,41.04768
410000,河南省,2002,842.6576,774.2997,36.4881
410000,河南省,2001,829.6797,758.5207,29.6605
410000,河南省,2000,889.5662,804.2924,40.1924
420000,湖北省,2019,,,
420000,湖北省,2018,,,
420000,湖北省,2017,,,
420000,湖北省,2016,,,
420000,湖北省,2015,,,
420000,湖北省,2014,,,
420000,湖北省,2013,,,
420000,湖北省,2012,,,671.6581
420000,湖北省,2011,,,747.7109
420000,湖北省,2010,,,521.34779
420000,湖北省,2009,,,406.10831
420000,湖北省,2008,5347.1289,4915.2691,417.3871
420000,湖北省,2007,3329.58261,3040.40096,215.552
420000,湖北省,2006,2664.9683,2461.5032,185.4048
420000,湖北省,2005,2228.54038,2007.88432,141.16738
420000,湖北省,2004,1932.04231,1771.85322,127.56189
420000,湖北省,2003,1166.46068,1073.72502,52.96739
420000,湖北省,2002,999.1032,924.6084,40.7797
420000,湖北省,2001,932.4764,857.612,35.9413
420000,湖北省,2000,924.8836,848.5582,35.8629
430000,湖南省,2019,,,
430000,湖南省,2018,,,
430000,湖南省,2017,,,
430000,湖南省,2016,,,
430000,湖南省,2015,,,
430000,湖南省,2014,,,
430000,湖南省,2013,,,
430000,湖南省,2012,,,554.8642
430000,湖南省,2011,,,484.3162
430000,湖南省,2010,,,275.21132
430000,湖南省,2009,,,248.37584
430000,湖南省,2008,2486.4741,2121.3598,345.8488
430000,湖南省,2007,1559.88113,1372.92669,170.67391
430000,湖南省,2006,1328.186,1157.0365,166.4422
430000,湖南省,2005,1169.3028,1001.362,111.98831
430000,湖南省,2004,1246.07489,1105.32719,110.97998
430000,湖南省,2003,910.04372,823.95134,49.90675
430000,湖南省,2002,749.0023,677.5485,40.9214
430000,湖南省,2001,701.7891,636.5359,33.5214
430000,湖南省,2000,603.2444,546.5364,28.8833
440000,广东省,2019,,,
440000,广东省,2018,,,
440000,广东省,2017,,,
440000,广东省,2016,,,
440000,广东省,2015,,,
440000,广东省,2014,,,
440000,广东省,2013,,,
440000,广东省,2012,,,3028.5117
440000,广东省,2011,,,2483.3757
440000,广东省,2010,,,2045.166
440000,广东省,2009,,,1622.41489
440000,广东省,2008,20272.8008,18644.8628,1559.1123
440000,广东省,2007,15191.27431,14108.01313,970.48054
440000,广东省,2006,12364.5603,11540.3552,788.0953
440000,广东省,2005,10740.16816,10008.45779,614.0726
440000,广东省,2004,9800.06434,9120.17406,570.88929
440000,广东省,2003,5574.74655,5178.06553,184.28562
440000,广东省,2002,4560.7411,4231.6909,154.1528
440000,广东省,2001,4008.7454,3712.8309,128.2817
440000,广东省,2000,3291.0228,3069.0624,110.0734
450000,广西壮族自治区,2019,,,
450000,广西壮族自治区,2018,,,
450000,广西壮族自治区,2017,,,
450000,广西壮族自治区,2016,,,
450000,广西壮族自治区,2015,,,
450000,广西壮族自治区,2014,,,
450000,广西壮族自治区,2013,,,
450000,广西壮族自治区,2012,,,236.2595
450000,广西壮族自治区,2011,,,212.4973
450000,广西壮族自治区,2010,,,169.17042
450000,广西壮族自治区,2009,,,159.79078
450000,广西壮族自治区,2008,1792.5238,1620.9955,152.7889
450000,广西壮族自治区,2007,1114.69777,995.27834,90.95197
450000,广西壮族自治区,2006,1007.9568,912.2155,78.4382
450000,广西壮族自治区,2005,999.41507,911.50713,85.98087
450000,广西壮族自治区,2004,908.26659,832.30964,56.86157
450000,广西壮族自治区,2003,418.93732,376.5744,22.59863
450000,广西壮族自治区,2002,389.8153,346.7675,23.505
450000,广西壮族自治区,2001,346.7473,313.5252,12.9124
450000,广西壮族自治区,2000,350.1034,317.2717,15.178
460000,海南省,2019,,,
460000,海南省,2018,,,
460000,海南省,2017,,,
460000,海南省,2016,,,
460000,海南省,2015,,,
460000,海南省,2014,,,
460000,海南省,2013,,,
460000,海南省,2012,,,92.263
460000,海南省,2011,,,94.9127
460000,海南省,2010,,,75.60716
460000,海南省,2009,,,62.14791
460000,海南省,2008,700.341,635.0906,63.6068
460000,海南省,2007,453.36207,415.89319,27.12608
460000,海南省,2006,376.639,342.1562,28.8489
460000,海南省,2005,264.77337,238.56662,25.30279
460000,海南省,2004,249.25661,223.17657,15.186
460000,海南省,2003,138.5184,124.54077,7.14725
460000,海南省,2002,121.6603,108.8357,6.4861
460000,海南省,2001,91.0519,82.057,4.1003
460000,海南省,2000,81.6022,73.5752,4.2674
500000,重庆市,2019,,,
500000,重庆市,2018,,,
500000,重庆市,2017,,,
500000,重庆市,2016,,,
500000,重庆市,2015,,,
500000,重庆市,2014,,,
500000,重庆市,2013,,,
500000,重庆市,2012,,,615.1895
500000,重庆市,2011,,,684.5805
500000,重庆市,2010,,,360.08302
500000,重庆市,2009,,,327.46268
500000,重庆市,2008,2675.4508,2419.1933,225.3913
500000,重庆市,2007,1576.72702,1434.30577,114.92597
500000,重庆市,2006,1201.3554,1087.2645,103.6826
500000,重庆市,2005,1077.95839,970.41165,88.71393
500000,重庆市,2004,873.74962,782.00354,74.50334
500000,重庆市,2003,625.42576,567.95926,28.31067
500000,重庆市,2002,523.2529,474.953,21.7586
500000,重庆市,2001,403.1352,362.4385,17.6551
500000,重庆市,2000,331.8318,296.6095,15.1446
510000,四川省,2019,,,
510000,四川省,2018,,,
510000,四川省,2017,,,
510000,四川省,2016,,,
510000,四川省,2015,,,
510000,四川省,2014,,,
510000,四川省,2013,,,
510000,四川省,2012,,,750.8902
510000,四川省,2011,,,613.12
510000,四川省,2010,,,477.48523
510000,四川省,2009,,,319.89234
510000,四川省,2008,3693.4376,3351.1287,334.8596
510000,四川省,2007,2383.48955,2060.25135,198.53988
510000,四川省,2006,1800.7316,1614.4509,163.1607
510000,四川省,2005,1594.40266,1335.18729,195.68293
510000,四川省,2004,1467.59969,1309.25801,117.29112
510000,四川省,2003,902.09424,813.76077,51.23938
510000,四川省,2002,761.8839,687.6926,42.9293
510000,四川省,2001,740.3053,665.5958,33.0504
510000,四川省,2000,712.0861,646.0803,23.9423
520000,贵州省,2019,,,
520000,贵州省,2018,,,
520000,贵州省,2017,,,
520000,贵州省,2016,,,
520000,贵州省,2015,,,
520000,贵州省,2014,,,
520000,贵州省,2013,,,
520000,贵州省,2012,,,422.4827
520000,贵州省,2011,,,305.5253
520000,贵州省,2010,,,220.5674
520000,贵州省,2009,,,186.93886
520000,贵州省,2008,1001.7087,818.9584,147.1239
520000,贵州省,2007,539.95109,448.25495,72.21326
520000,贵州省,2006,447.3224,374.4232,67.7545
520000,贵州省,2005,418.4993,347.75419,56.50994
520000,贵州省,2004,377.89975,325.47421,39.80585
520000,贵州省,2003,258.13494,219.73671,23.0152
520000,贵州省,2002,216.4463,184.6876,19.5651
520000,贵州省,2001,206.637,178.8156,13.5402
520000,贵州省,2000,235.9742,209.5281,10.7681
530000,云南省,2019,,,
530000,云南省,2018,,,
530000,云南省,2017,,,
530000,云南省,2016,,,
530000,云南省,2015,,,
530000,云南省,2014,,,
530000,云南省,2013,,,
530000,云南省,2012,,,539.5629
530000,云南省,2011,,,477.2213
530000,云南省,2010,,,404.41327
530000,云南省,2009,,,320.77345
530000,云南省,2008,2834.8771,2498.1562,314.0649
530000,云南省,2007,2158.60337,1883.32205,228.55246
530000,云南省,2006,1994.5045,1761.9491,213.2652
530000,云南省,2005,1705.27258,1482.95431,184.11084
530000,云南省,2004,1597.05999,1417.00581,160.85259
530000,云南省,2003,1092.32081,953.82623,88.37831
530000,云南省,2002,819.8951,705.4388,70.9349
530000,云南省,2001,872.727,761.9907,54.2949
530000,云南省,2000,1023.3079,869.0908,76.7466
540000,西藏自治区,2019,,,
540000,西藏自治区,2018,,,
540000,西藏自治区,2017,,,
540000,西藏自治区,2016,,,
540000,西藏自治区,2015,,,
540000,西藏自治区,2014,,,
540000,西藏自治区,2013,,,
540000,西藏自治区,2012,,,26.5461
540000,西藏自治区,2011,,,17.4979
540000,西藏自治区,2010,,,15.2982
540000,西藏自治区,2009,,,16.09133
540000,西藏自治区,2008,61.2578,50.5202,10.5563
540000,西藏自治区,2007,31.61997,25.27456,4.54062
540000,西藏自治区,2006,32.8329,27.4679,2.857
540000,西藏自治区,2005,28.41722,22.4179,4.44185
540000,西藏自治区,2004,28.39672,23.6163,4.0307
540000,西藏自治区,2003,21.53207,13.98802,6.56312
540000,西藏自治区,2002,12.9663,11.1503,0.7435
540000,西藏自治区,2001,10.8942,9.5795,0.3976
540000,西藏自治区,2000,10.3313,8.8675,0.6191
610000,陕西省,2019,,,
610000,陕西省,2018,,,
610000,陕西省,2017,,,
610000,陕西省,2016,,,
610000,陕西省,2015,,,
610000,陕西省,2014,,,
610000,陕西省,2013,,,
610000,陕西省,2012,,,508.0161
610000,陕西省,2011,,,438.3582
610000,陕西省,2010,,,588.91395
610000,陕西省,2009,,,332.05405
610000,陕西省,2008,2238.745,1842.2461,419.7006
610000,陕西省,2007,1836.4877,1650.99123,157.75331
610000,陕西省,2006,1213.5404,1133.0103,75.8667
610000,陕西省,2005,1009.71383,935.21946,63.55839
610000,陕西省,2004,1017.50806,933.55274,71.76857
610000,陕西省,2003,444.94017,407.90989,17.99188
610000,陕西省,2002,364.1209,332.3406,16.617
610000,陕西省,2001,321.3612,292.5725,12.8598
610000,陕西省,2000,378.7237,347.08,14.9942
620000,甘肃省,2019,,,
620000,甘肃省,2018,,,
620000,甘肃省,2017,,,
620000,甘肃省,2016,,,
620000,甘肃省,2015,,,
620000,甘肃省,2014,,,
620000,甘肃省,2013,,,
620000,甘肃省,2012,,,171.8817
620000,甘肃省,2011,,,132.6804
620000,甘肃省,2010,,,129.07111
620000,甘肃省,2009,,,124.78904
620000,甘肃省,2008,1507.5438,1399.6437,105.0407
620000,甘肃省,2007,1329.85312,1203.87494,66.50539
620000,甘肃省,2006,950.4728,885.0977,49.8422
620000,甘肃省,2005,859.77846,805.69402,49.69673
620000,甘肃省,2004,824.12326,767.90785,50.68991
620000,甘肃省,2003,489.31069,454.89953,11.4472
620000,甘肃省,2002,380.36,353.6512,8.0656
620000,甘肃省,2001,354.536,325.3163,10.2754
620000,甘肃省,2000,341.665,317.5675,11.2583
630000,青海省,2019,,,
630000,青海省,2018,,,
630000,青海省,2017,,,
630000,青海省,2016,,,
630000,青海省,2015,,,
630000,青海省,2014,,,
630000,青海省,2013,,,
630000,青海省,2012,,,76.9607
630000,青海省,2011,,,43.7195
630000,青海省,2010,,,25.3116
630000,青海省,2009,,,18.6304
630000,青海省,2008,266.0718,228.6747,27.7584
630000,青海省,2007,154.30825,137.60863,13.25442
630000,青海省,2006,148.1992,135.5604,11.5762
630000,青海省,2005,100.32206,88.7049,9.18177
630000,青海省,2004,119.42901,105.51053,12.54465
630000,青海省,2003,59.07211,51.35713,5.00743
630000,青海省,2002,57.9025,51.4396,3.8445
630000,青海省,2001,41.8253,37.0611,2.2757
630000,青海省,2000,43.5014,37.1216,1.9759
640000,宁夏回族自治区,2019,,,
640000,宁夏回族自治区,2018,,,
640000,宁夏回族自治区,2017,,,
640000,宁夏回族自治区,2016,,,
640000,宁夏回族自治区,2015,,,
640000,宁夏回族自治区,2014,,,
640000,宁夏回族自治区,2013,,,
640000,宁夏回族自治区,2012,,,52.0202
640000,宁夏回族自治区,2011,,,49.9988
640000,宁夏回族自治区,2010,,,38.8859
640000,宁夏回族自治区,2009,,,32.43823
640000,宁夏回族自治区,2008,439.3213,394.5321,41.5217
640000,宁夏回族自治区,2007,196.68467,177.30766,17.30852
640000,宁夏回族自治区,2006,160.4037,145.5536,14.1061
640000,宁夏回族自治区,2005,139.8071,126.8153,12.0269
640000,宁夏回族自治区,2004,168.6051,153.59133,13.35665
640000,宁夏回族自治区,2003,72.30486,64.88651,3.93236
640000,宁夏回族自治区,2002,54.5794,48.7376,2.857
640000,宁夏回族自治区,2001,58.2064,53.4652,1.9219
640000,宁夏回族自治区,2000,50.6599,44.9805,1.9993
650000,新疆维吾尔自治区,2019,,,
650000,新疆维吾尔自治区,2018,,,
650000,新疆维吾尔自治区,2017,,,
650000,新疆维吾尔自治区,2016,,,
650000,新疆维吾尔自治区,2015,,,
650000,新疆维吾尔自治区,2014,,,
650000,新疆维吾尔自治区,2013,,,
650000,新疆维吾尔自治区,2012,,,258.2978
650000,新疆维吾尔自治区,2011,,,189.5252
650000,新疆维吾尔自治区,2010,,,171.69554
650000,新疆维吾尔自治区,2009,,,153.41799
650000,新疆维吾尔自治区,2008,2573.4477,2426.698,125.3716
650000,新疆维吾尔自治区,2007,1804.19131,1686.12568,95.08609
650000,新疆维吾尔自治区,2006,1096.1048,1015.7183,71.9053
650000,新疆维吾尔自治区,2005,988.73598,914.30305,60.62604
650000,新疆维吾尔自治区,2004,934.99658,838.18428,53.48731
650000,新疆维吾尔自治区,2003,616.39595,562.661,28.2857
650000,新疆维吾尔自治区,2002,507.4879,462.4837,23.1356
650000,新疆维吾尔自治区,2001,437.751,394.7695,20.4156
650000,新疆维吾尔自治区,2000,452.9574,408.6623,20.8327
