省份编码,省份,年份,省级监督抽查产品种类(种),省级监督抽查企业(家),省级监督抽查产品批次(批),省级监督抽查不合格产品批次(批)
460000,海南省,2008,10,243,303,52
460000,海南省,2007,,,,
460000,海南省,2006,,,,
460000,海南省,2005,,,,
460000,海南省,2004,,,,
460000,海南省,2003,,,,
460000,海南省,2002,,,,
460000,海南省,2001,,,,
460000,海南省,2000,,,,
500000,重庆市,2019,,5877,15610,1486
500000,重庆市,2018,,14929,20780,743
500000,重庆市,2017,,7010,15477,1249
500000,重庆市,2016,,8750,13513,641
500000,重庆市,2015,,7555,18381,1712
500000,重庆市,2014,265,7470,21778,1166
500000,重庆市,2013,45,5913,12094,880
500000,重庆市,2012,403,10535,20161,1536
500000,重庆市,2011,403,7718,17585,2025
500000,重庆市,2010,161,5647,13781,1386
500000,重庆市,2009,71,10824,14884,2076
500000,重庆市,2008,131,6414,9011,1874
500000,重庆市,2007,,,,
500000,重庆市,2006,,,,
500000,重庆市,2005,,,,
500000,重庆市,2004,,,,
500000,重庆市,2003,,,,
500000,重庆市,2002,,,,
500000,重庆市,2001,,,,
500000,重庆市,2000,,,,
510000,四川省,2019,,9554,14198,1271
510000,四川省,2018,,6620,15128,1257
510000,四川省,2017,,8913,13739,710
510000,四川省,2016,,1998,2451,175
510000,四川省,2015,,8886,13638,775
510000,四川省,2014,153,8754,12930,780
510000,四川省,2013,133,9104,12964,864
510000,四川省,2012,131,20173,30144,1673
510000,四川省,2011,635,21989,30028,2025
510000,四川省,2010,131,22488,37952,3093
510000,四川省,2009,103,22955,27077,2183
510000,四川省,2008,535,15948,18680,2788
510000,四川省,2007,,,,
510000,四川省,2006,,,,
510000,四川省,2005,,,,
510000,四川省,2004,,,,
510000,四川省,2003,,,,
510000,四川省,2002,,,,
510000,四川省,2001,,,,
510000,四川省,2000,,,,
520000,贵州省,2019,,3931,5402,662
520000,贵州省,2018,,4434,5405,352
520000,贵州省,2017,,1947,2292,138
520000,贵州省,2016,,2435,3745,670
520000,贵州省,2015,,2280,2830,222
520000,贵州省,2014,86,2411,2875,331
520000,贵州省,2013,43,1847,2318,287
520000,贵州省,2012,69,8446,13743,978
520000,贵州省,2011,45,1677,4153,360
520000,贵州省,2010,53,2562,2866,325
520000,贵州省,2009,118,4745,6079,1536
520000,贵州省,2008,23,962,1069,136
520000,贵州省,2007,,,,
520000,贵州省,2006,,,,
520000,贵州省,2005,,,,
520000,贵州省,2004,,,,
520000,贵州省,2003,,,,
520000,贵州省,2002,,,,
520000,贵州省,2001,,,,
520000,贵州省,2000,,,,
530000,云南省,2019,,2305,3864,698
530000,云南省,2018,,210,239,34
530000,云南省,2017,,1626,2263,439
530000,云南省,2016,,718,718,73
530000,云南省,2015,,3012,4583,811
530000,云南省,2014,66,4537,8611,1798
530000,云南省,2013,53,3067,5714,800
530000,云南省,2012,124,6865,10738,1083
530000,云南省,2011,65,8861,15409,2029
530000,云南省,2010,53,3331,5041,754
530000,云南省,2009,116,4278,6574,1368
530000,云南省,2008,36,1074,1613,500
530000,云南省,2007,,,,
530000,云南省,2006,,,,
530000,云南省,2005,,,,
530000,云南省,2004,,,,
530000,云南省,2003,,,,
530000,云南省,2002,,,,
530000,云南省,2001,,,,
530000,云南省,2000,,,,
540000,西藏自治区,2019,,,,
540000,西藏自治区,2018,,171,444,64
540000,西藏自治区,2017,,261,473,76
540000,西藏自治区,2016,,2023,2889,249
540000,西藏自治区,2015,,313,585,44
540000,西藏自治区,2014,15,274,1096,51
540000,西藏自治区,2013,,,,
540000,西藏自治区,2012,43,389,1541,169
540000,西藏自治区,2011,52,482,522,90
540000,西藏自治区,2010,51,478,1231,236
540000,西藏自治区,2009,34,665,1028,177
540000,西藏自治区,2008,,,,
540000,西藏自治区,2007,,,,
540000,西藏自治区,2006,,,,
540000,西藏自治区,2005,,,,
540000,西藏自治区,2004,,,,
540000,西藏自治区,2003,,,,
540000,西藏自治区,2002,,,,
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,,2165,3091,241
610000,陕西省,2018,,1400,1879,232
610000,陕西省,2017,,1847,2703,182
610000,陕西省,2016,,1301,1995,228
610000,陕西省,2015,,2166,3159,330
610000,陕西省,2014,87,2322,3610,310
610000,陕西省,2013,77,1877,2709,264
610000,陕西省,2012,114,4296,6680,665
610000,陕西省,2011,117,6737,9856,838
610000,陕西省,2010,90,5553,10040,864
610000,陕西省,2009,107,2655,3181,471
610000,陕西省,2008,86,3220,4418,483
610000,陕西省,2007,,,,
610000,陕西省,2006,,,,
610000,陕西省,2005,,,,
610000,陕西省,2004,,,,
610000,陕西省,2003,,,,
610000,陕西省,2002,,,,
610000,陕西省,2001,,,,
610000,陕西省,2000,,,,
620000,甘肃省,2019,,2523,4527,236
620000,甘肃省,2018,,2000,2803,177
620000,甘肃省,2017,,2485,3090,276
620000,甘肃省,2016,,491,612,14
620000,甘肃省,2015,,6777,9222,1002
620000,甘肃省,2014,76,3409,4591,404
620000,甘肃省,2013,56,1731,2436,264
620000,甘肃省,2012,49,1224,1742,227
620000,甘肃省,2011,46,1709,2492,489
620000,甘肃省,2010,43,1409,2048,342
620000,甘肃省,2009,41,4249,5240,818
620000,甘肃省,2008,38,1341,1895,426
620000,甘肃省,2007,,,,
620000,甘肃省,2006,,,,
620000,甘肃省,2005,,,,
620000,甘肃省,2004,,,,
620000,甘肃省,2003,,,,
620000,甘肃省,2002,,,,
620000,甘肃省,2001,,,,
620000,甘肃省,2000,,,,
630000,青海省,2019,,215,378,24
630000,青海省,2018,,313,456,32
630000,青海省,2017,,238,431,28
630000,青海省,2016,,674,1106,57
630000,青海省,2015,,572,822,60
630000,青海省,2014,44,584,771,138
630000,青海省,2013,42,1042,1278,56
630000,青海省,2012,45,690,927,30
630000,青海省,2011,52,860,1071,102
630000,青海省,2010,105,1018,1248,36
630000,青海省,2009,73,1627,2469,231
630000,青海省,2008,119,1138,2834,160
630000,青海省,2007,,,,
630000,青海省,2006,,,,
630000,青海省,2005,,,,
630000,青海省,2004,,,,
630000,青海省,2003,,,,
630000,青海省,2002,,,,
630000,青海省,2001,,,,
630000,青海省,2000,,,,
640000,宁夏回族自治区,2019,,51,68,14
640000,宁夏回族自治区,2018,,646,1052,98
640000,宁夏回族自治区,2017,,651,1223,63
640000,宁夏回族自治区,2016,,1555,2130,120
640000,宁夏回族自治区,2015,,136,165,17
640000,宁夏回族自治区,2014,,,,
640000,宁夏回族自治区,2013,,,,
640000,宁夏回族自治区,2012,23,934,3900,242
640000,宁夏回族自治区,2011,26,1046,1586,65
640000,宁夏回族自治区,2010,26,905,1847,166
640000,宁夏回族自治区,2009,47,1984,2298,249
640000,宁夏回族自治区,2008,49,1460,1700,157
640000,宁夏回族自治区,2007,,,,
640000,宁夏回族自治区,2006,,,,
640000,宁夏回族自治区,2005,,,,
640000,宁夏回族自治区,2004,,,,
640000,宁夏回族自治区,2003,,,,
640000,宁夏回族自治区,2002,,,,
640000,宁夏回族自治区,2001,,,,
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,,834,1520,212
650000,新疆维吾尔自治区,2018,,1976,2819,292
650000,新疆维吾尔自治区,2017,,1670,2134,256
650000,新疆维吾尔自治区,2016,,1300,1667,150
650000,新疆维吾尔自治区,2015,,1977,2152,186
650000,新疆维吾尔自治区,2014,16,2173,2496,304
650000,新疆维吾尔自治区,2013,19,1834,2365,394
650000,新疆维吾尔自治区,2012,18,2167,2656,357
650000,新疆维吾尔自治区,2011,31,1957,2168,359
650000,新疆维吾尔自治区,2010,19,2187,2831,242
650000,新疆维吾尔自治区,2009,16,1270,1468,135
650000,新疆维吾尔自治区,2008,71,8566,11689,1624
650000,新疆维吾尔自治区,2007,,,,
650000,新疆维吾尔自治区,2006,,,,
650000,新疆维吾尔自治区,2005,,,,
650000,新疆维吾尔自治区,2004,,,,
650000,新疆维吾尔自治区,2003,,,,
650000,新疆维吾尔自治区,2002,,,,
650000,新疆维吾尔自治区,2001,,,,
650000,新疆维吾尔自治区,2000,,,,
