省份编码,省份,年份,规模以上工业企业专利申请数(件),规模以上工业企业发明专利申请数(件),规模以上工业企业有效发明专利数(件)
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,397,69,189
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,13783,4995,22848
210000,辽宁省,2018,12485,5425,21089
210000,辽宁省,2017,11206,4994,19028
210000,辽宁省,2016,9709,4382,14188
210000,辽宁省,2015,9190,4131,10372
210000,辽宁省,2014,12098,5165,9055
210000,辽宁省,2013,11628,5226,6923
210000,辽宁省,2012,9958,4113,5054
210000,辽宁省,2011,8363,2994,4207
210000,辽宁省,2010,,,
210000,辽宁省,2009,6402,2649,3061
210000,辽宁省,2008,3678,1383,1496
210000,辽宁省,2007,,,
210000,辽宁省,2006,,,
210000,辽宁省,2005,,,
210000,辽宁省,2004,1230,398,896
210000,辽宁省,2003,,,
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,,,
220000,吉林省,2019,6256,2386,4853
220000,吉林省,2018,3333,1314,4612
220000,吉林省,2017,2894,1231,3518
220000,吉林省,2016,2655,1176,3395
220000,吉林省,2015,1972,787,2649
220000,吉林省,2014,2370,1045,1884
220000,吉林省,2013,2520,971,2985
220000,吉林省,2012,2195,898,2779
220000,吉林省,2011,2030,751,1006
220000,吉林省,2010,,,
220000,吉林省,2009,1433,560,993
220000,吉林省,2008,867,297,480
220000,吉林省,2007,,,
220000,吉林省,2006,,,
220000,吉林省,2005,,,
220000,吉林省,2004,487,103,204
220000,吉林省,2003,,,
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,,,
230000,黑龙江省,2019,4449,2060,6232
230000,黑龙江省,2018,2764,1232,4708
230000,黑龙江省,2017,3786,1648,5760
230000,黑龙江省,2016,4127,1934,4716
230000,黑龙江省,2015,3902,1752,3351
230000,黑龙江省,2014,4267,1840,3052
230000,黑龙江省,2013,4282,1683,2342
230000,黑龙江省,2012,3690,1356,2055
230000,黑龙江省,2011,2814,1099,1532
230000,黑龙江省,2010,,,
230000,黑龙江省,2009,1797,622,1618
230000,黑龙江省,2008,1320,421,1002
230000,黑龙江省,2007,,,
230000,黑龙江省,2006,,,
230000,黑龙江省,2005,,,
230000,黑龙江省,2004,861,241,606
230000,黑龙江省,2003,,,
230000,黑龙江省,2002,,,
230000,黑龙江省,2001,,,
230000,黑龙江省,2000,,,
310000,上海市,2019,35326,15239,53559
310000,上海市,2018,29258,12541,47940
310000,上海市,2017,27581,12329,43416
310000,上海市,2016,24228,11293,37513
310000,上海市,2015,21725,10740,30815
310000,上海市,2014,26848,12524,27540
310000,上海市,2013,25738,11377,20140
310000,上海市,2012,24873,9901,16805
310000,上海市,2011,19365,8176,12530
310000,上海市,2010,,,
310000,上海市,2009,15472,6246,9668
310000,上海市,2008,8288,2651,3111
310000,上海市,2007,,,
310000,上海市,2006,,,
310000,上海市,2005,,,
310000,上海市,2004,5414,2034,1094
310000,上海市,2003,,,
310000,上海市,2002,,,
310000,上海市,2001,,,
310000,上海市,2000,,,
320000,江苏省,2019,175906,57429,180893
320000,江苏省,2018,165096,55944,176120
320000,江苏省,2017,124980,45719,140346
320000,江苏省,2016,131284,49229,117912
320000,江苏省,2015,119927,41744,85485
320000,江苏省,2014,115616,39858,73252
320000,江苏省,2013,93518,33090,52718
320000,江苏省,2012,84876,27820,45120
320000,江苏省,2011,72763,21649,26720
320000,江苏省,2010,,,
320000,江苏省,2009,40043,11920,14156
320000,江苏省,2008,21901,6502,9680
320000,江苏省,2007,,,
320000,江苏省,2006,,,
320000,江苏省,2005,,,
320000,江苏省,2004,7110,1800,2990
320000,江苏省,2003,,,
320000,江苏省,2002,,,
320000,江苏省,2001,,,
320000,江苏省,2000,,,
330000,浙江省,2019,114326,30914,75770
330000,浙江省,2018,100254,27998,62341
330000,浙江省,2017,85639,21817,49158
330000,浙江省,2016,78729,19280,38661
330000,浙江省,2015,80512,17242,31642
330000,浙江省,2014,77135,16824,28235
330000,浙江省,2013,77067,15036,22578
330000,浙江省,2012,68003,12844,20553
330000,浙江省,2011,52207,9335,18091
330000,浙江省,2010,,,
330000,浙江省,2009,46402,8692,11787
330000,浙江省,2008,33652,6107,11098
330000,浙江省,2007,,,
330000,浙江省,2006,,,
330000,浙江省,2005,,,
330000,浙江省,2004,9849,2701,5070
330000,浙江省,2003,,,
330000,浙江省,2002,,,
330000,浙江省,2001,,,
330000,浙江省,2000,,,
340000,安徽省,2019,55520,22975,54798
340000,安徽省,2018,56596,26175,56296
340000,安徽省,2017,52916,24394,49810
340000,安徽省,2016,49791,23322,41791
340000,安徽省,2015,45598,19967,28568
340000,安徽省,2014,40244,15701,21667
340000,安徽省,2013,32909,10866,13582
340000,安徽省,2012,26665,8147,9215
340000,安徽省,2011,19214,5385,5092
340000,安徽省,2010,,,
340000,安徽省,2009,8504,2407,3496
340000,安徽省,2008,4490,1354,3508
340000,安徽省,2007,,,
340000,安徽省,2006,,,
340000,安徽省,2005,,,
340000,安徽省,2004,1078,273,478
340000,安徽省,2003,,,
340000,安徽省,2002,,,
340000,安徽省,2001,,,
340000,安徽省,2000,,,
350000,福建省,2019,37196,11025,34668
350000,福建省,2018,31529,9850,29543
350000,福建省,2017,31433,8810,24222
350000,福建省,2016,28208,8162,18514
350000,福建省,2015,24916,6880,12424
350000,福建省,2014,22078,6447,9176
350000,福建省,2013,18896,5475,7119
350000,福建省,2012,14745,4194,5400
350000,福建省,2011,11272,3244,3847
350000,福建省,2010,,,
350000,福建省,2009,8075,2251,2482
350000,福建省,2008,3246,901,1648
350000,福建省,2007,,,
350000,福建省,2006,,,
350000,福建省,2005,,,
350000,福建省,2004,1308,299,870
350000,福建省,2003,,,
350000,福建省,2002,,,
350000,福建省,2001,,,
350000,福建省,2000,,,
360000,江西省,2019,27813,5768,13328
360000,江西省,2018,26303,5216,11878
360000,江西省,2017,19383,3949,10806
360000,江西省,2016,12594,3290,6993
360000,江西省,2015,8561,2522,4765
360000,江西省,2014,6825,2516,3383
360000,江西省,2013,4893,1669,2333
360000,江西省,2012,3015,1135,1398
360000,江西省,2011,2363,874,975
360000,江西省,2010,,,
360000,江西省,2009,1398,500,511
360000,江西省,2008,756,281,406
360000,江西省,2007,,,
360000,江西省,2006,,,
360000,江西省,2005,,,
360000,江西省,2004,296,108,148
360000,江西省,2003,,,
360000,江西省,2002,,,
360000,江西省,2001,,,
360000,江西省,2000,,,
370000,山东省,2019,57339,21948,67896
370000,山东省,2018,60928,31329,63496
370000,山东省,2017,55881,28448,56076
370000,山东省,2016,45921,22769,45917
370000,山东省,2015,42289,19621,33785
370000,山东省,2014,44466,17299,26122
370000,山东省,2013,40030,15254,18340
370000,山东省,2012,34689,12202,15104
370000,山东省,2011,27560,9428,11207
370000,山东省,2010,,,
370000,山东省,2009,18441,5430,6507
370000,山东省,2008,14276,4125,5453
370000,山东省,2007,,,
370000,山东省,2006,,,
370000,山东省,2005,,,
370000,山东省,2004,4884,1202,2145
370000,山东省,2003,,,
370000,山东省,2002,,,
370000,山东省,2001,,,
370000,山东省,2000,,,
410000,河南省,2019,30397,8734,30245
410000,河南省,2018,27603,8911,23857
410000,河南省,2017,22367,7704,19457
410000,河南省,2016,17457,6197,15863
410000,河南省,2015,16518,5250,11305
410000,河南省,2014,16505,5072,8497
410000,河南省,2013,14400,4182,6470
410000,河南省,2012,12503,3496,5133
410000,河南省,2011,10186,2961,4049
410000,河南省,2010,,,
410000,河南省,2009,7551,2096,3388
410000,河南省,2008,5244,1587,2102
410000,河南省,2007,,,
410000,河南省,2006,,,
410000,河南省,2005,,,
410000,河南省,2004,1827,445,810
410000,河南省,2003,,,
410000,河南省,2002,,,
410000,河南省,2001,,,
410000,河南省,2000,,,
420000,湖北省,2019,35149,16366,38000
420000,湖北省,2018,28003,12858,32421
420000,湖北省,2017,22244,10112,25568
420000,湖北省,2016,19574,9227,23972
420000,湖北省,2015,17315,7227,16965
420000,湖北省,2014,16839,6471,12444
420000,湖北省,2013,16321,6119,8745
420000,湖北省,2012,12592,4789,7025
420000,湖北省,2011,9893,3469,5379
420000,湖北省,2010,,,
420000,湖北省,2009,7899,2813,3834
420000,湖北省,2008,3650,1220,2047
420000,湖北省,2007,,,
420000,湖北省,2006,,,
420000,湖北省,2005,,,
420000,湖北省,2004,1127,445,1077
420000,湖北省,2003,,,
420000,湖北省,2002,,,
420000,湖北省,2001,,,
420000,湖北省,2000,,,
430000,湖南省,2019,30900,13356,39642
430000,湖南省,2018,26339,11517,33659
430000,湖南省,2017,21319,9144,26697
430000,湖南省,2016,18249,8021,22315
430000,湖南省,2015,18175,7591,19087
430000,湖南省,2014,17919,7333,14415
430000,湖南省,2013,17424,6880,10512
430000,湖南省,2012,16204,6299,8436
430000,湖南省,2011,12808,4894,7432
430000,湖南省,2010,,,
430000,湖南省,2009,7790,3786,7864
430000,湖南省,2008,3204,1348,2356
430000,湖南省,2007,,,
430000,湖南省,2006,,,
430000,湖南省,2005,,,
430000,湖南省,2004,1719,745,1472
430000,湖南省,2003,,,
430000,湖南省,2002,,,
430000,湖南省,2001,,,
430000,湖南省,2000,,,
440000,广东省,2019,272616,121320,375515
440000,广东省,2018,241700,103499,328467
440000,广东省,2017,199293,86724,289238
440000,广东省,2016,145448,68168,236918
440000,广东省,2015,106038,51672,177047
440000,广东省,2014,114447,55624,126936
440000,广东省,2013,96646,47213,97052
440000,广东省,2012,87143,44200,83280
440000,广东省,2011,72520,36053,66453
440000,广东省,2010,,,
440000,广东省,2009,54922,27768,27476
440000,广东省,2008,38958,18802,18757
440000,广东省,2007,,,
440000,广东省,2006,,,
440000,广东省,2005,,,
440000,广东省,2004,11728,4053,4373
440000,广东省,2003,,,
440000,广东省,2002,,,
440000,广东省,2001,,,
440000,广东省,2000,,,
450000,广西壮族自治区,2019,6373,2634,8176
450000,广西壮族自治区,2018,6239,2559,6846
450000,广西壮族自治区,2017,5428,2502,6557
450000,广西壮族自治区,2016,5555,2660,6010
450000,广西壮族自治区,2015,4613,2005,3731
450000,广西壮族自治区,2014,4840,2423,2670
450000,广西壮族自治区,2013,4468,2234,1889
450000,广西壮族自治区,2012,3025,1333,1499
450000,广西壮族自治区,2011,2069,738,932
450000,广西壮族自治区,2010,,,
450000,广西壮族自治区,2009,1322,501,761
450000,广西壮族自治区,2008,1072,306,568
450000,广西壮族自治区,2007,,,
450000,广西壮族自治区,2006,,,
450000,广西壮族自治区,2005,,,
450000,广西壮族自治区,2004,755,140,196
450000,广西壮族自治区,2003,,,
450000,广西壮族自治区,2002,,,
450000,广西壮族自治区,2001,,,
450000,广西壮族自治区,2000,,,
460000,海南省,2019,734,269,1501
460000,海南省,2018,576,249,1258
460000,海南省,2017,443,267,1656
460000,海南省,2016,508,360,1657
460000,海南省,2015,441,312,1378
460000,海南省,2014,706,505,1217
460000,海南省,2013,748,389,683
460000,海南省,2012,623,279,388
460000,海南省,2011,386,219,379
460000,海南省,2010,,,
460000,海南省,2009,289,149,131
460000,海南省,2008,156,43,29
460000,海南省,2007,,,
460000,海南省,2006,,,
460000,海南省,2005,,,
460000,海南省,2004,43,19,63
460000,海南省,2003,,,
460000,海南省,2002,,,
460000,海南省,2001,,,
460000,海南省,2000,,,
500000,重庆市,2019,16650,5565,18281
500000,重庆市,2018,18049,6198,17579
500000,重庆市,2017,17269,5149,12472
500000,重庆市,2016,17511,5392,8585
500000,重庆市,2015,20239,6758,6328
500000,重庆市,2014,12908,3696,6272
500000,重庆市,2013,12221,2509,4792
500000,重庆市,2012,9784,2460,3714
500000,重庆市,2011,8121,2089,2532
500000,重庆市,2010,,,
500000,重庆市,2009,5567,1217,1584
500000,重庆市,2008,4490,723,1058
500000,重庆市,2007,,,
500000,重庆市,2006,,,
500000,重庆市,2005,,,
500000,重庆市,2004,2918,184,484
500000,重庆市,2003,,,
500000,重庆市,2002,,,
500000,重庆市,2001,,,
500000,重庆市,2000,,,
510000,四川省,2019,29678,11250,39658
510000,四川省,2018,26277,10705,35959
510000,四川省,2017,26687,10335,32598
510000,四川省,2016,21685,8523,24065
510000,四川省,2015,21912,8085,17601
510000,四川省,2014,19661,7800,15893
510000,四川省,2013,15713,5666,9043
510000,四川省,2012,13443,4316,6591
510000,四川省,2011,5919,2483,5618
510000,四川省,2010,,,
510000,四川省,2009,4979,1650,2456
510000,四川省,2008,3096,1007,1649
510000,四川省,2007,,,
510000,四川省,2006,,,
510000,四川省,2005,,,
510000,四川省,2004,2448,477,927
510000,四川省,2003,,,
510000,四川省,2002,,,
510000,四川省,2001,,,
510000,四川省,2000,,,
520000,贵州省,2019,6919,2985,7740
520000,贵州省,2018,5976,2611,6544
520000,贵州省,2017,5344,2542,6805
520000,贵州省,2016,4341,2021,5411
520000,贵州省,2015,3782,1953,4096
520000,贵州省,2014,4051,1918,3146
520000,贵州省,2013,3446,1516,1985
520000,贵州省,2012,2794,1347,1370
520000,贵州省,2011,2034,813,990
520000,贵州省,2010,,,
520000,贵州省,2009,1481,653,781
520000,贵州省,2008,1049,465,701
520000,贵州省,2007,,,
520000,贵州省,2006,,,
520000,贵州省,2005,,,
520000,贵州省,2004,335,128,212
520000,贵州省,2003,,,
520000,贵州省,2002,,,
520000,贵州省,2001,,,
520000,贵州省,2000,,,
530000,云南省,2019,7611,2665,10131
530000,云南省,2018,6190,2038,6466
530000,云南省,2017,5389,1891,6510
530000,云南省,2016,4942,1878,5880
530000,云南省,2015,3751,1493,4605
530000,云南省,2014,3137,1281,2865
530000,云南省,2013,2793,1167,2280
530000,云南省,2012,2404,1066,1644
530000,云南省,2011,1728,711,1208
530000,云南省,2010,,,
530000,云南省,2009,1049,421,807
530000,云南省,2008,625,293,623
530000,云南省,2007,,,
530000,云南省,2006,,,
530000,云南省,2005,,,
530000,云南省,2004,380,158,197
530000,云南省,2003,,,
530000,云南省,2002,,,
530000,云南省,2001,,,
530000,云南省,2000,,,
540000,西藏自治区,2019,51,32,156
540000,西藏自治区,2018,39,15,82
540000,西藏自治区,2017,20,12,96
540000,西藏自治区,2016,44,15,115
540000,西藏自治区,2015,17,14,90
540000,西藏自治区,2014,18,6,44
540000,西藏自治区,2013,9,8,32
540000,西藏自治区,2012,18,17,71
540000,西藏自治区,2011,20,19,58
540000,西藏自治区,2010,,,
540000,西藏自治区,2009,24,12,40
540000,西藏自治区,2008,22,11,19
540000,西藏自治区,2007,,,
540000,西藏自治区,2006,,,
540000,西藏自治区,2005,,,
540000,西藏自治区,2004,1,,
540000,西藏自治区,2003,,,
540000,西藏自治区,2002,,,
540000,西藏自治区,2001,,,
540000,西藏自治区,2000,,,
610000,陕西省,2019,12797,5593,18774
610000,陕西省,2018,10182,4436,16892
610000,陕西省,2017,9232,3939,14806
610000,陕西省,2016,8142,3360,11520
610000,陕西省,2015,7521,3036,7506
610000,陕西省,2014,7354,3171,6675
610000,陕西省,2013,7258,3161,5449
610000,陕西省,2012,5467,2170,4752
610000,陕西省,2011,4393,1679,2464
610000,陕西省,2010,,,
610000,陕西省,2009,2642,907,1636
610000,陕西省,2008,1756,593,931
610000,陕西省,2007,,,
610000,陕西省,2006,,,
610000,陕西省,2005,,,
610000,陕西省,2004,529,165,344
610000,陕西省,2003,,,
610000,陕西省,2002,,,
610000,陕西省,2001,,,
610000,陕西省,2000,,,
620000,甘肃省,2019,3393,1292,3413
620000,甘肃省,2018,3342,1207,3208
620000,甘肃省,2017,3102,1052,2796
620000,甘肃省,2016,2600,814,2427
620000,甘肃省,2015,2230,698,1884
620000,甘肃省,2014,2558,778,1265
620000,甘肃省,2013,2440,638,1028
620000,甘肃省,2012,1713,544,855
620000,甘肃省,2011,1053,320,493
620000,甘肃省,2010,,,
620000,甘肃省,2009,693,255,790
620000,甘肃省,2008,854,259,356
620000,甘肃省,2007,,,
620000,甘肃省,2006,,,
620000,甘肃省,2005,,,
620000,甘肃省,2004,227,81,266
620000,甘肃省,2003,,,
620000,甘肃省,2002,,,
620000,甘肃省,2001,,,
620000,甘肃省,2000,,,
630000,青海省,2019,1088,438,760
630000,青海省,2018,859,321,559
630000,青海省,2017,729,271,399
630000,青海省,2016,612,285,393
630000,青海省,2015,305,144,271
630000,青海省,2014,384,111,246
630000,青海省,2013,334,132,205
630000,青海省,2012,215,72,170
630000,青海省,2011,168,37,87
630000,青海省,2010,,,
630000,青海省,2009,114,39,150
630000,青海省,2008,81,28,262
630000,青海省,2007,,,
630000,青海省,2006,,,
630000,青海省,2005,,,
630000,青海省,2004,73,41,42
630000,青海省,2003,,,
630000,青海省,2002,,,
630000,青海省,2001,,,
630000,青海省,2000,,,
640000,宁夏回族自治区,2019,2885,1087,2777
640000,宁夏回族自治区,2018,2205,929,2282
640000,宁夏回族自治区,2017,1978,937,1633
640000,宁夏回族自治区,2016,1757,909,1248
640000,宁夏回族自治区,2015,1429,761,908
640000,宁夏回族自治区,2014,1160,611,675
640000,宁夏回族自治区,2013,1132,607,387
640000,宁夏回族自治区,2012,914,488,300
640000,宁夏回族自治区,2011,601,261,221
640000,宁夏回族自治区,2010,,,
640000,宁夏回族自治区,2009,357,127,171
640000,宁夏回族自治区,2008,266,62,111
640000,宁夏回族自治区,2007,,,
640000,宁夏回族自治区,2006,,,
640000,宁夏回族自治区,2005,,,
640000,宁夏回族自治区,2004,143,22,106
640000,宁夏回族自治区,2003,,,
640000,宁夏回族自治区,2002,,,
640000,宁夏回族自治区,2001,,,
640000,宁夏回族自治区,2000,,,
650000,新疆维吾尔自治区,2019,3632,1234,3351
650000,新疆维吾尔自治区,2018,3568,1244,3252
650000,新疆维吾尔自治区,2017,3022,961,2565
650000,新疆维吾尔自治区,2016,2546,777,2030
650000,新疆维吾尔自治区,2015,2340,788,1553
650000,新疆维吾尔自治区,2014,2458,805,1111
650000,新疆维吾尔自治区,2013,2256,550,695
650000,新疆维吾尔自治区,2012,1776,377,468
650000,新疆维吾尔自治区,2011,1426,331,325
650000,新疆维吾尔自治区,2010,,,
650000,新疆维吾尔自治区,2009,928,220,447
650000,新疆维吾尔自治区,2008,459,125,184
650000,新疆维吾尔自治区,2007,,,
650000,新疆维吾尔自治区,2006,,,
650000,新疆维吾尔自治区,2005,,,
650000,新疆维吾尔自治区,2004,349,76,165
650000,新疆维吾尔自治区,2003,,,
650000,新疆维吾尔自治区,2002,,,
650000,新疆维吾尔自治区,2001,,,
650000,新疆维吾尔自治区,2000,,,
