省份编码,省份,年份,产品质量优等品率(%),产品质量一等品率(%),产品质量合格品率(%),质量损失率(%),产品质量合格率(%)
430000,湖南省,2010,63.0,25.87,11.13,0.41,
430000,湖南省,2009,50.3,37.06,12.64,0.53,
430000,湖南省,2008,68.44,18.27,13.3,0.86,
430000,湖南省,2007,85.31,10.3,4.39,0.11,
430000,湖南省,2006,47.09,46.6,6.31,0.47,
430000,湖南省,2005,52.61,43.6,3.8,0.38,
430000,湖南省,2004,31.42,34.0,36.53,0.38,
430000,湖南省,2003,47.58,31.99,20.44,0.86,
430000,湖南省,2002,42.34,32.66,24.83,0.61,
430000,湖南省,2001,32.45,28.67,35.67,0.21,
430000,湖南省,2000,25.7,31.31,34.47,0.72,
440000,广东省,2019,,,,,93.8591786856745
440000,广东省,2018,63.6158,,,2.8945,94.15
440000,广东省,2017,69.1,,,2.65,93.2
440000,广东省,2016,72.4,,,2.35,92.49
440000,广东省,2015,75.7,,,1.32,92.0
440000,广东省,2014,70.19,25.07,4.75,0.21,
440000,广东省,2013,63.9,29.9,6.2,0.17,
440000,广东省,2012,39.75,47.07,13.18,0.71,
440000,广东省,2011,66.14,27.45,6.42,0.13,
440000,广东省,2010,3.6,94.52,1.08,0.43,
440000,广东省,2009,68.19,27.07,4.75,0.15,
440000,广东省,2008,63.9,29.9,6.2,0.17,
440000,广东省,2007,62.995,29.89,7.11,0.075,
440000,广东省,2006,52.83,37.04,10.14,0.18,
440000,广东省,2005,17.72,68.98,13.31,0.03,
440000,广东省,2004,27.12,16.39,56.48,0.2,
440000,广东省,2003,4.58,89.55,5.86,0.26,
440000,广东省,2002,37.61,17.63,44.76,0.28,
440000,广东省,2001,29.58,39.57,30.21,0.72,
440000,广东省,2000,29.73,19.02,51.03,0.62,
450000,广西壮族自治区,2019,,,,,91.1071155872686
450000,广西壮族自治区,2018,45.3731,,,1.9796,91.47
450000,广西壮族自治区,2017,57.5,,,2.55,93.35
450000,广西壮族自治区,2016,65.4,,,2.35,94.26
450000,广西壮族自治区,2015,70.3,,,1.03,95.66
450000,广西壮族自治区,2014,36.32,59.59,4.09,0.88,
450000,广西壮族自治区,2013,13.59,69.03,17.38,0.3,
450000,广西壮族自治区,2012,25.2,53.31,21.49,3.69,
450000,广西壮族自治区,2011,22.34,72.76,4.9,,
450000,广西壮族自治区,2010,58.73,11.44,29.83,0.31,
450000,广西壮族自治区,2009,57.03,28.12,14.85,0.35,
450000,广西壮族自治区,2008,25.89,18.86,55.25,0.21,
450000,广西壮族自治区,2007,,,,,
450000,广西壮族自治区,2006,27.24,28.54,44.23,0.21,
450000,广西壮族自治区,2005,19.48,16.74,63.78,0.26,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,33.76,30.42,35.82,1.79,
450000,广西壮族自治区,2001,21.45,45.29,27.36,0.57,
450000,广西壮族自治区,2000,25.96,41.16,32.88,0.75,
460000,海南省,2019,,,,,92.5227802218471
460000,海南省,2018,51.3889,,,1.8257,92.56
460000,海南省,2017,60.8,,,1.85,92.01
460000,海南省,2016,60.3,,,1.72,93.99
460000,海南省,2015,65.1,,,1.47,94.08
460000,海南省,2014,,,,,
460000,海南省,2013,,,,,
460000,海南省,2012,,,,,
460000,海南省,2011,84.79,1.97,13.24,0.03,
460000,海南省,2010,84.16,1.88,13.96,0.03,
460000,海南省,2009,85.18,1.89,12.93,0.05,
460000,海南省,2008,86.65,1.7,11.65,0.03,
460000,海南省,2007,91.34,0.96,7.7,0.05,
460000,海南省,2006,86.94,2.02,11.04,0.04,
460000,海南省,2005,77.89,3.08,19.03,0.03,
460000,海南省,2004,,,,,
460000,海南省,2003,8.92,70.81,20.27,0.14,
460000,海南省,2002,,,,,
460000,海南省,2001,20.06,22.18,38.9,0.44,
460000,海南省,2000,,,,,
500000,重庆市,2019,,,,,94.3606459085205
500000,重庆市,2018,52.2358,,,1.7709,96.11
500000,重庆市,2017,49.0,,,2.69,96.31
500000,重庆市,2016,62.6,,,2.7,95.39
500000,重庆市,2015,60.5,,,1.13,95.57
500000,重庆市,2014,,,,,
500000,重庆市,2013,,,,,
500000,重庆市,2012,,,,,
500000,重庆市,2011,,,,,
500000,重庆市,2010,,,,,
500000,重庆市,2009,11.96,72.4,15.64,0.39,
500000,重庆市,2008,15.3,76.22,8.48,0.25,
500000,重庆市,2007,10.54,79.71,9.75,0.11,
500000,重庆市,2006,12.97,58.64,8.76,0.28,
500000,重庆市,2005,13.9,76.9,9.2,0.38,
500000,重庆市,2004,37.29,42.94,19.76,0.59,
500000,重庆市,2003,23.72,61.89,14.39,0.53,
500000,重庆市,2002,14.39,57.18,28.42,1.46,
500000,重庆市,2001,19.97,61.09,19.45,0.74,
500000,重庆市,2000,16.74,53.08,29.92,1.58,
510000,四川省,2019,,,,,93.5167824614812
510000,四川省,2018,43.2979,,,2.1012,93.43
510000,四川省,2017,45.7,,,1.84,91.92
510000,四川省,2016,68.0,,,1.78,92.64
510000,四川省,2015,79.2,,,0.73,94.46
510000,四川省,2014,67.08,26.17,6.75,0.09,
510000,四川省,2013,28.98,46.9,24.12,0.15,
510000,四川省,2012,38.9,47.85,13.25,0.44,
510000,四川省,2011,49.59,42.36,8.05,0.46,
510000,四川省,2010,39.95,52.92,7.13,0.35,
510000,四川省,2009,65.22,23.54,11.25,0.26,
510000,四川省,2008,60.65,29.65,9.69,0.25,
510000,四川省,2007,58.53,28.99,12.4833333333333,0.43,
510000,四川省,2006,60.11,32.15,7.75,0.36,
510000,四川省,2005,51.91,36.41,11.68,0.37,
510000,四川省,2004,23.2,29.71,47.12,0.3,
510000,四川省,2003,53.1,37.12,9.78,0.41,
510000,四川省,2002,22.03,32.06,45.91,0.76,
510000,四川省,2001,48.48,32.88,33.56,0.4,
510000,四川省,2000,28.68,29.6,36.35,0.38,
520000,贵州省,2019,,,,,90.7173225489004
520000,贵州省,2018,49.9419,,,2.6304,94.83
520000,贵州省,2017,51.9,,,2.69,95.68
520000,贵州省,2016,70.9,,,1.8,94.93
520000,贵州省,2015,51.5,,,1.17,91.86
520000,贵州省,2014,87.31,12.19,0.51,0.27,
520000,贵州省,2013,92.16,1.69,6.15,0.01,
520000,贵州省,2012,95.82,1.89,2.29,0.01,
520000,贵州省,2011,95.52,2.02,2.46,0.02,
520000,贵州省,2010,95.68,3.01,1.31,0.02,
520000,贵州省,2009,54.57,27.02,18.41,0.3,
520000,贵州省,2008,51.82,34.33,13.85,0.28,
520000,贵州省,2007,48.06,47.56,4.38,0.18,
520000,贵州省,2006,40.26,49.4,10.35,0.12,
520000,贵州省,2005,48.28,43.46,8.26,0.75,
520000,贵州省,2004,,,,,
520000,贵州省,2003,36.72,28.96,34.32,0.79,
520000,贵州省,2002,,,,,
520000,贵州省,2001,30.75,23.05,38.48,1.12,
520000,贵州省,2000,4.54,60.72,34.74,2.28,
530000,云南省,2019,,,,,92.0532887486933
530000,云南省,2018,55.618,,,1.8333,93.95
530000,云南省,2017,58.2,,,1.37,93.89
530000,云南省,2016,72.3,,,1.44,95.5
530000,云南省,2015,71.2,,,0.62,95.66
530000,云南省,2014,,,,,
530000,云南省,2013,,,,,
530000,云南省,2012,,,,,
530000,云南省,2011,23.41,71.58,5.01,0.07,
530000,云南省,2010,31.52,60.5,7.97,0.1,
530000,云南省,2009,24.84,7.97,67.19,0.37,
530000,云南省,2008,18.92,14.78,66.3,0.18,
530000,云南省,2007,12.1,77.18,10.72,0.08,
530000,云南省,2006,35.43,42.41,20.45,0.14,
530000,云南省,2005,56.74,24.44,18.61,,
530000,云南省,2004,,,,,
530000,云南省,2003,57.63,13.08,29.29,0.12,
530000,云南省,2002,0.05,12.94,87.01,0.63,
530000,云南省,2001,71.24,17.32,41.34,0.43,
530000,云南省,2000,0.03,17.53,82.18,0.67,
540000,西藏自治区,2019,,,,,92.5352316349955
540000,西藏自治区,2018,,,,,92.78
540000,西藏自治区,2017,60.8,,,0.55,92.78
540000,西藏自治区,2016,60.8,,,0.13,92.78
540000,西藏自治区,2015,,,,0.14,88.9
540000,西藏自治区,2014,,,,,
540000,西藏自治区,2013,,,,,
540000,西藏自治区,2012,,,,,
540000,西藏自治区,2011,,,,,
540000,西藏自治区,2010,,,,,
540000,西藏自治区,2009,,,,,
540000,西藏自治区,2008,,,,,
540000,西藏自治区,2007,,,,,
540000,西藏自治区,2006,0.0,100.0,0.0,0.52,
540000,西藏自治区,2005,,36.72,63.28,0.15,
540000,西藏自治区,2004,,,,,
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,,,,,92.8467377725834
610000,陕西省,2018,45.0581,,,2.1479,93.33
610000,陕西省,2017,51.6,,,1.91,92.97
610000,陕西省,2016,67.4,,,2.04,91.34
610000,陕西省,2015,54.2,,,0.71,95.08
610000,陕西省,2014,73.01,23.29,3.7,0.21,
610000,陕西省,2013,7.17,85.61,7.22,0.05,
610000,陕西省,2012,,,,,
610000,陕西省,2011,,,,,
610000,陕西省,2010,6.69,86.07,7.23,0.01,
610000,陕西省,2009,11.18,82.47,6.35,0.02,
610000,陕西省,2008,7.17,85.61,7.22,0.02,
610000,陕西省,2007,22.01,72.46,5.53,0.06,
610000,陕西省,2006,28.14,61.44,10.42,0.08,
610000,陕西省,2005,37.42,56.57,6.01,0.07,
610000,陕西省,2004,6.62,25.11,68.27,0.27,
610000,陕西省,2003,18.55,40.98,40.47,1.1,
