省份编码,省份,年份,技术市场成交额(亿元)
220000,吉林省,2014,28.5755960698
220000,吉林省,2013,34.716728787
220000,吉林省,2012,25.1179831876
220000,吉林省,2011,26.2614491624
220000,吉林省,2010,18.8089783057
220000,吉林省,2009,19.7598282223
220000,吉林省,2008,19.6065873605
220000,吉林省,2007,17.4845427471
220000,吉林省,2006,15.366643
220000,吉林省,2005,12.22606
220000,吉林省,2004,10.79
220000,吉林省,2003,8.72923
220000,吉林省,2002,8.2921
220000,吉林省,2001,8.8543
220000,吉林省,2000,7.139
230000,黑龙江省,2019,232.882349834
230000,黑龙江省,2018,165.9200392628
230000,黑龙江省,2017,146.7120902241
230000,黑龙江省,2016,125.809111622
230000,黑龙江省,2015,127.2637271388
230000,黑龙江省,2014,120.277575688
230000,黑龙江省,2013,101.7746660649
230000,黑龙江省,2012,100.4473424968
230000,黑龙江省,2011,62.0681942988
230000,黑龙江省,2010,52.9122917234
230000,黑龙江省,2009,48.8550023927
230000,黑龙江省,2008,41.2564884171
230000,黑龙江省,2007,35.0208803771
230000,黑龙江省,2006,15.693358
230000,黑龙江省,2005,14.258453
230000,黑龙江省,2004,12.571513
230000,黑龙江省,2003,12.1165
230000,黑龙江省,2002,12.011
230000,黑龙江省,2001,11.1035
230000,黑龙江省,2000,15.2382
310000,上海市,2019,1422.35390996
310000,上海市,2018,1225.18573904
310000,上海市,2017,810.6176506897
310000,上海市,2016,780.98580817
310000,上海市,2015,663.78379737
310000,上海市,2014,592.4480870206
310000,上海市,2013,531.6803992571
310000,上海市,2012,518.747324022
310000,上海市,2011,480.7491370447
310000,上海市,2010,431.4373767811
310000,上海市,2009,435.4108435133
310000,上海市,2008,386.1694510176
310000,上海市,2007,354.887656755
310000,上海市,2006,309.509533
310000,上海市,2005,231.732817
310000,上海市,2004,171.696339
310000,上海市,2003,142.779
310000,上海市,2002,120.217
310000,上海市,2001,106.1603
310000,上海市,2000,73.8952
320000,江苏省,2019,1471.5193313357
320000,江苏省,2018,991.4474884443
320000,江苏省,2017,778.4223323901
320000,江苏省,2016,635.642481105
320000,江苏省,2015,572.9178227088
320000,江苏省,2014,543.158522052
320000,江苏省,2013,527.5019660807
320000,江苏省,2012,400.9140764779
320000,江苏省,2011,333.4315518666
320000,江苏省,2010,249.3405686826
320000,江苏省,2009,108.2184322591
320000,江苏省,2008,94.0246101398
320000,江苏省,2007,78.4173072438
320000,江苏省,2006,68.829745
320000,江苏省,2005,100.829595
320000,江苏省,2004,89.785456
320000,江苏省,2003,76.5163
320000,江苏省,2002,59.4873
320000,江苏省,2001,52.9165
320000,江苏省,2000,44.9568
330000,浙江省,2019,888.0077878101
330000,浙江省,2018,590.664080864004
330000,浙江省,2017,324.7309730098
330000,浙江省,2016,198.3716217946
330000,浙江省,2015,98.0965540184
330000,浙江省,2014,87.2527080753
330000,浙江省,2013,81.4958198952
330000,浙江省,2012,81.3078612702
330000,浙江省,2011,71.8967516203
330000,浙江省,2010,60.3477836222
330000,浙江省,2009,56.4580512427
330000,浙江省,2008,58.9188560902
330000,浙江省,2007,45.3473587482
330000,浙江省,2006,39.961766
330000,浙江省,2005,38.69539
330000,浙江省,2004,58.146469
330000,浙江省,2003,53.0353
330000,浙江省,2002,38.9438
330000,浙江省,2001,31.6652
330000,浙江省,2000,27.6275
340000,安徽省,2019,449.6068163675
340000,安徽省,2018,321.313058819
340000,安徽省,2017,249.5696650165
340000,安徽省,2016,217.3748450178
340000,安徽省,2015,190.4669259845
340000,安徽省,2014,169.8312514348
340000,安徽省,2013,130.8252684634
340000,安徽省,2012,86.1592073995
340000,安徽省,2011,65.0336689905
340000,安徽省,2010,46.1469749575
340000,安徽省,2009,35.6173597258
340000,安徽省,2008,32.4864867808
340000,安徽省,2007,26.4514983049
340000,安徽省,2006,18.492123
340000,安徽省,2005,14.255309
340000,安徽省,2004,9.06747
340000,安徽省,2003,8.796
340000,安徽省,2002,7.5423
340000,安徽省,2001,6.4145
340000,安徽省,2000,6.1012
350000,福建省,2019,139.5882526679
350000,福建省,2018,84.52350441952
350000,福建省,2017,75.4633687309
350000,福建省,2016,43.2203773625
350000,福建省,2015,52.1448463218
350000,福建省,2014,39.1913323303
350000,福建省,2013,44.6885284433
350000,福建省,2012,50.0919857414
350000,福建省,2011,34.571223055
350000,福建省,2010,35.6568797504
350000,福建省,2009,23.2594421446
350000,福建省,2008,17.9690075611
350000,福建省,2007,14.5578759522
350000,福建省,2006,11.31872
350000,福建省,2005,17.195924
350000,福建省,2004,14.139474
350000,福建省,2003,16.6779
350000,福建省,2002,12.8988
350000,福建省,2001,13.6941
350000,福建省,2000,17.2601
360000,江西省,2019,148.613726171
360000,江西省,2018,115.8230834165
360000,江西省,2017,96.2095852878
360000,江西省,2016,79.0077354194
360000,江西省,2015,64.8483799995
360000,江西省,2014,50.7593332034
360000,江西省,2013,43.0552196826
360000,江西省,2012,39.7796147943
360000,江西省,2011,34.1860947901
360000,江西省,2010,23.0479087965
360000,江西省,2009,9.7892699877
360000,江西省,2008,7.7640590167
360000,江西省,2007,9.9533117996
360000,江西省,2006,9.313461
360000,江西省,2005,11.122697
360000,江西省,2004,9.366104
360000,江西省,2003,8.3323
360000,江西省,2002,6.2891
360000,江西省,2001,6.2724
360000,江西省,2000,6.9299
370000,山东省,2019,1110.0177613971
370000,山东省,2018,819.951966423493
370000,山东省,2017,511.6448179756
370000,山东省,2016,395.9453438693
370000,山东省,2015,307.5545091631
370000,山东省,2014,249.2941977824
370000,山东省,2013,179.3980832796
370000,山东省,2012,140.0152980805
370000,山东省,2011,126.377756189
370000,山东省,2010,100.6768975167
370000,山东省,2009,71.9390978319
370000,山东省,2008,66.0125607086
370000,山东省,2007,45.0274788073
370000,山东省,2006,23.2005
370000,山东省,2005,98.36139
370000,山东省,2004,75.08503
370000,山东省,2003,52.5682
370000,山东省,2002,34.765
370000,山东省,2001,32.1938
370000,山东省,2000,28.8135
410000,河南省,2019,231.8885201366
410000,河南省,2018,149.283993754959
410000,河南省,2017,76.8528270017
410000,河南省,2016,58.7074560121
410000,河南省,2015,45.0442369135
410000,河南省,2014,40.7918730289
410000,河南省,2013,40.2405864364
410000,河南省,2012,39.9434743591
410000,河南省,2011,38.7601525477
410000,河南省,2010,27.2002166095
410000,河南省,2009,26.3046097054
410000,河南省,2008,25.4425164389
410000,河南省,2007,26.1906646615
410000,河南省,2006,23.728842
410000,河南省,2005,26.373742
410000,河南省,2004,20.320731
410000,河南省,2003,19.269
410000,河南省,2002,17.8506
410000,河南省,2001,21.2589
410000,河南省,2000,21.1621
420000,湖北省,2019,1429.8358358399
420000,湖北省,2018,1204.0937356153
420000,湖北省,2017,1033.0773085153
420000,湖北省,2016,903.8371074167
420000,湖北省,2015,789.3406600703
420000,湖北省,2014,580.6801466154
420000,湖北省,2013,397.6158099323
420000,湖北省,2012,196.3922462691
420000,湖北省,2011,125.6876302317
420000,湖北省,2010,90.7218408633
420000,湖北省,2009,77.0328728649
420000,湖北省,2008,62.8971063812
420000,湖北省,2007,52.2145878871
420000,湖北省,2006,44.442674
420000,湖北省,2005,50.182297
420000,湖北省,2004,46.170013
420000,湖北省,2003,41.2538
420000,湖北省,2002,34.8603
420000,湖北省,2001,33.8597
420000,湖北省,2000,27.6
430000,湖南省,2019,490.6932449336
430000,湖南省,2018,281.612559231477
430000,湖南省,2017,203.1915473235
430000,湖南省,2016,105.628672487
430000,湖南省,2015,105.0577584345
430000,湖南省,2014,97.9341678522
430000,湖南省,2013,77.2098142355
430000,湖南省,2012,42.2419761734
430000,湖南省,2011,35.3900685568
430000,湖南省,2010,40.0939847166
430000,湖南省,2009,44.0432382581
430000,湖南省,2008,47.7023649232
430000,湖南省,2007,46.0816367524
430000,湖南省,2006,45.528118
430000,湖南省,2005,41.739414
430000,湖南省,2004,40.827989
430000,湖南省,2003,36.9306
430000,湖南省,2002,32.3422
430000,湖南省,2001,29.3887
430000,湖南省,2000,28.6833
440000,广东省,2019,2223.0843624601
440000,广东省,2018,1365.418577285
440000,广东省,2017,937.075533017
440000,广东省,2016,758.1650208349
440000,广东省,2015,662.5774632704
440000,广东省,2014,413.2478141078
440000,广东省,2013,529.3935637391
440000,广东省,2012,364.938357151
440000,广东省,2011,275.0647386397
440000,广东省,2010,235.8948631568
440000,广东省,2009,170.9849782002
440000,广东省,2008,201.6319215116
440000,广东省,2007,132.8448043378
440000,广东省,2006,107.025709
440000,广东省,2005,112.473982
440000,广东省,2004,57.265091
440000,广东省,2003,80.573
440000,广东省,2002,68.4532
440000,广东省,2001,53.9722
440000,广东省,2000,48.2104
450000,广西壮族自治区,2019,77.557165488
450000,广西壮族自治区,2018,61.4077247997
450000,广西壮族自治区,2017,39.4227702474
450000,广西壮族自治区,2016,33.9922261817
450000,广西壮族自治区,2015,7.3131686734
450000,广西壮族自治区,2014,11.58331256
450000,广西壮族自治区,2013,7.3449015375
450000,广西壮族自治区,2012,2.5238279628
450000,广西壮族自治区,2011,5.6377204749
450000,广西壮族自治区,2010,4.1361647509
450000,广西壮族自治区,2009,1.7661817445
450000,广西壮族自治区,2008,2.6996030262
450000,广西壮族自治区,2007,0.9969520616
450000,广西壮族自治区,2006,0.942341
450000,广西壮族自治区,2005,9.405928
450000,广西壮族自治区,2004,9.095459
450000,广西壮族自治区,2003,4.1808
450000,广西壮族自治区,2002,4.4406
450000,广西壮族自治区,2001,3.7753
450000,广西壮族自治区,2000,1.7741
460000,海南省,2019,9.1076512964
460000,海南省,2018,6.9407400078
460000,海南省,2017,4.1078606467
460000,海南省,2016,3.4431122648
460000,海南省,2015,2.186072564
460000,海南省,2014,0.6524624
460000,海南省,2013,3.869288784
460000,海南省,2012,0.5666144413
460000,海南省,2011,3.4583825086
460000,海南省,2010,3.2650955537
460000,海南省,2009,0.5556268913
460000,海南省,2008,3.5602268672
460000,海南省,2007,0.7327250301
460000,海南省,2006,0.853526
460000,海南省,2005,1.000664
460000,海南省,2004,0.188529
460000,海南省,2003,1.1978
460000,海南省,2002,0.9134
460000,海南省,2001,8.399
460000,海南省,2000,0.0
500000,重庆市,2019,56.6518016633
500000,重庆市,2018,188.3528627714
500000,重庆市,2017,51.3580886105
500000,重庆市,2016,147.1870164352
500000,重庆市,2015,57.236630633
500000,重庆市,2014,156.2006813912
500000,重庆市,2013,90.276028835
500000,重庆市,2012,54.0187875424
500000,重庆市,2011,68.145347051
500000,重庆市,2010,79.4409804873
500000,重庆市,2009,38.3158091814
500000,重庆市,2008,62.1884418132
500000,重庆市,2007,39.5658067669
500000,重庆市,2006,55.347949
500000,重庆市,2005,35.705929
500000,重庆市,2004,59.618629
500000,重庆市,2003,55.5083
500000,重庆市,2002,40.9433
500000,重庆市,2001,28.9484
500000,重庆市,2000,29.6594
510000,四川省,2019,1211.9539168442
510000,四川省,2018,996.7010336676
510000,四川省,2017,405.8306985778
510000,四川省,2016,299.3006356825
510000,四川省,2015,282.3201624189
510000,四川省,2014,199.050636069
510000,四川省,2013,148.5751861986
510000,四川省,2012,111.243798659
510000,四川省,2011,67.8329538487
510000,四川省,2010,54.7393131218
510000,四川省,2009,54.5976943512
510000,四川省,2008,43.5313341768
510000,四川省,2007,30.3878331962
510000,四川省,2006,25.932316
510000,四川省,2005,19.082327
510000,四川省,2004,16.564006
510000,四川省,2003,12.8686
510000,四川省,2002,7.7524
510000,四川省,2001,12.6311
510000,四川省,2000,10.415
520000,贵州省,2019,227.1758126868
520000,贵州省,2018,171.0975233744
520000,贵州省,2017,80.7409100527
520000,贵州省,2016,20.4436762522
520000,贵州省,2015,25.9626007438
520000,贵州省,2014,20.0391775172
520000,贵州省,2013,18.3971916408
520000,贵州省,2012,9.6742771307
520000,贵州省,2011,13.6483368111
520000,贵州省,2010,7.7190755
520000,贵州省,2009,1.78061087
520000,贵州省,2008,2.03557949
520000,贵州省,2007,0.656047
520000,贵州省,2006,0.536142
520000,贵州省,2005,1.048845
520000,贵州省,2004,1.353253
520000,贵州省,2003,1.7892
520000,贵州省,2002,1.3484
520000,贵州省,2001,0.0599
520000,贵州省,2000,0.062
530000,云南省,2019,82.7040398586
530000,云南省,2018,89.4879425028
530000,云南省,2017,84.7624924495
530000,云南省,2016,58.2559013292
530000,云南省,2015,51.8364337086
530000,云南省,2014,47.9233277824
530000,云南省,2013,42.0003365109
530000,云南省,2012,45.4778528294
530000,云南省,2011,11.7144345187
530000,云南省,2010,10.8826777051
530000,云南省,2009,10.246870714
530000,云南省,2008,5.0547026618
530000,云南省,2007,9.7496433245
530000,云南省,2006,8.274744
530000,云南省,2005,15.917455
530000,云南省,2004,21.555524
530000,云南省,2003,22.8718
530000,云南省,2002,17.9496
530000,云南省,2001,25.5279
530000,云南省,2000,18.7742
540000,西藏自治区,2019,0.9577426788
540000,西藏自治区,2018,0.03942
540000,西藏自治区,2017,0.04402
540000,西藏自治区,2016,
540000,西藏自治区,2015,
540000,西藏自治区,2014,
540000,西藏自治区,2013,
540000,西藏自治区,2012,
540000,西藏自治区,2011,
540000,西藏自治区,2010,
540000,西藏自治区,2009,
540000,西藏自治区,2008,
540000,西藏自治区,2007,
540000,西藏自治区,2006,
540000,西藏自治区,2005,
540000,西藏自治区,2004,
540000,西藏自治区,2003,
540000,西藏自治区,2002,
540000,西藏自治区,2001,
540000,西藏自治区,2000,
610000,陕西省,2019,1467.3473175186
610000,陕西省,2018,1125.29083988247
610000,陕西省,2017,920.9395272131
610000,陕西省,2016,802.7887053836
610000,陕西省,2015,721.8211048453
610000,陕西省,2014,640.0197926908
610000,陕西省,2013,533.2786649808
610000,陕西省,2012,334.81526175
610000,陕西省,2011,215.36635718
610000,陕西省,2010,102.4140216155
610000,陕西省,2009,69.8074105559
610000,陕西省,2008,43.8300453017
610000,陕西省,2007,30.171038315
610000,陕西省,2006,17.948459
610000,陕西省,2005,18.897693
610000,陕西省,2004,13.912873
610000,陕西省,2003,16.8022
610000,陕西省,2002,15.1554
610000,陕西省,2001,8.4615
610000,陕西省,2000,9.256
620000,甘肃省,2019,196.4171169932
620000,甘肃省,2018,180.87783606044
620000,甘肃省,2017,162.9587400596
620000,甘肃省,2016,150.6615358565
620000,甘肃省,2015,129.6957950658
620000,甘肃省,2014,114.5162251016
620000,甘肃省,2013,99.9936300062
620000,甘肃省,2012,73.0619018016
620000,甘肃省,2011,52.6385940957
620000,甘肃省,2010,43.0845026285
620000,甘肃省,2009,35.6286932851
620000,甘肃省,2008,29.7560450365
620000,甘肃省,2007,26.2107139374
620000,甘肃省,2006,21.453427
620000,甘肃省,2005,17.273643
620000,甘肃省,2004,11.960801
620000,甘肃省,2003,7.7581
620000,甘肃省,2002,5.4644
620000,甘肃省,2001,2.7393
620000,甘肃省,2000,2.6413
630000,青海省,2019,9.0968618407
630000,青海省,2018,79.35533036185
630000,青海省,2017,67.7186321053
630000,青海省,2016,56.9189633453
630000,青海省,2015,46.8848702909
630000,青海省,2014,29.1001085902
630000,青海省,2013,26.8862642708
630000,青海省,2012,19.2989194013
630000,青海省,2011,16.8442837184
630000,青海省,2010,11.405079249
630000,青海省,2009,8.496721363
630000,青海省,2008,7.7032606387
630000,青海省,2007,5.3016753535
630000,青海省,2006,2.466526
630000,青海省,2005,1.18116
630000,青海省,2004,1.279336
630000,青海省,2003,0.8291
630000,青海省,2002,1.2373
630000,青海省,2001,0.4657
630000,青海省,2000,0.0
640000,宁夏回族自治区,2019,14.903310379
640000,宁夏回族自治区,2018,12.10578919
640000,宁夏回族自治区,2017,6.6678679782
640000,宁夏回族自治区,2016,4.0525731291
640000,宁夏回族自治区,2015,3.5201810472
640000,宁夏回族自治区,2014,3.1822785626
640000,宁夏回族自治区,2013,1.4289284261
640000,宁夏回族自治区,2012,2.91354692
640000,宁夏回族自治区,2011,3.94465886
640000,宁夏回族自治区,2010,0.99719827
640000,宁夏回族自治区,2009,0.89822858
640000,宁夏回族自治区,2008,0.88975985
640000,宁夏回族自治区,2007,0.664068849
640000,宁夏回族自治区,2006,0.534937
640000,宁夏回族自治区,2005,1.413103
640000,宁夏回族自治区,2004,1.28271
640000,宁夏回族自治区,2003,1.0047
640000,宁夏回族自治区,2002,0.8496
640000,宁夏回族自治区,2001,0.8872
640000,宁夏回族自治区,2000,0.6402
650000,新疆维吾尔自治区,2019,7.8213549614
650000,新疆维吾尔自治区,2018,3.9214668901
650000,新疆维吾尔自治区,2017,5.755352717
650000,新疆维吾尔自治区,2016,4.2754610842
650000,新疆维吾尔自治区,2015,3.0321574091
650000,新疆维吾尔自治区,2014,2.8223428683
650000,新疆维吾尔自治区,2013,2.9953077032
650000,新疆维吾尔自治区,2012,5.3852625154
650000,新疆维吾尔自治区,2011,4.3782692106
650000,新疆维吾尔自治区,2010,4.5187697688
650000,新疆维吾尔自治区,2009,1.2077670445
650000,新疆维吾尔自治区,2008,7.3963182285
650000,新疆维吾尔自治区,2007,7.1724422112
650000,新疆维吾尔自治区,2006,7.608417
650000,新疆维吾尔自治区,2005,8.002926
650000,新疆维吾尔自治区,2004,13.337061
650000,新疆维吾尔自治区,2003,12.0395
650000,新疆维吾尔自治区,2002,10.0699
650000,新疆维吾尔自治区,2001,8.2387
650000,新疆维吾尔自治区,2000,6.6168
