省份编码,省份,年份,公有经济企事业单位专业技术人员数(人),公有经济企事业单位工程技术人员(人),公有经济企事业单位农业技术人员(人),公有经济企事业单位科学研究人员(人),公有经济企事业单位卫生技术人员(人),公有经济企事业单位教学人员(人)
140000,山西省,2010,733186,148829,23269,3652,119979,437457
140000,山西省,2009,728478,146990,20840,3958,119458,437232
140000,山西省,2008,717848,142075,20468,3995,116135,435175
140000,山西省,2007,687679,134252,20061,3862,101456,428048
140000,山西省,2006,675520,129860,20162,3965,100348,421185
140000,山西省,2005,664541,127236,20191,4118,100160,412836
140000,山西省,2004,643898,121778,20011,4637,97917,399555
140000,山西省,2003,619906,124547,18596,3866,90826,382071
140000,山西省,2002,606810,126244,17705,3442,89348,370071
140000,山西省,2001,590460,125134,17549,3463,86843,357471
140000,山西省,2000,568207,121751,17074,3681,83886,341815
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,546717,65784,24839,3362,91353,301504
150000,内蒙古自治区,2015,,,,,,
150000,内蒙古自治区,2014,,,,,,
150000,内蒙古自治区,2013,,,,,,
150000,内蒙古自治区,2012,,,,,,
150000,内蒙古自治区,2011,495875,63173,33396,2346,90276,306684
150000,内蒙古自治区,2010,482413,60725,27792,1864,87458,304574
150000,内蒙古自治区,2009,493000,64790,32144,2205,88058,305803
150000,内蒙古自治区,2008,492673,67777,32659,2431,86965,302841
150000,内蒙古自治区,2007,486148,70527,27645,2160,82346,303470
150000,内蒙古自治区,2006,470959,59529,27465,1985,81658,300322
150000,内蒙古自治区,2005,465517,62700,27393,2401,81181,291842
150000,内蒙古自治区,2004,461839,65362,26978,2631,80287,286581
150000,内蒙古自治区,2003,439973,68669,22202,2029,72508,274565
150000,内蒙古自治区,2002,414020,64635,18288,1927,68725,260445
150000,内蒙古自治区,2001,416932,69548,18979,2084,69156,257165
150000,内蒙古自治区,2000,418120,77348,19076,2002,68954,250740
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,,,,,,
210000,辽宁省,2014,,,,,,
210000,辽宁省,2013,,,,,,
210000,辽宁省,2012,,,,,,
210000,辽宁省,2011,672184,200316,22048,5569,125605,318646
210000,辽宁省,2010,636743,108263,25293,5771,132049,365367
210000,辽宁省,2009,607800,95865,22803,3228,142060,343844
210000,辽宁省,2008,719044,110800,25974,7331,158603,416336
210000,辽宁省,2007,715461,115042,26747,8204,151814,413654
210000,辽宁省,2006,733177,117426,25440,7884,157228,425199
210000,辽宁省,2005,728761,123366,26381,8453,151354,419207
210000,辽宁省,2004,745594,136741,26943,7988,151092,422830
210000,辽宁省,2003,783087,166335,26215,6297,153782,430458
210000,辽宁省,2002,826508,197859,26906,6869,161440,433434
210000,辽宁省,2001,861628,228402,27553,6703,165332,433638
210000,辽宁省,2000,880232,246033,27167,7305,165385,434342
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,,,,,,
220000,吉林省,2014,,,,,,
220000,吉林省,2013,,,,,,
220000,吉林省,2012,,,,,,
220000,吉林省,2011,535262,77158,27715,6179,112867,311343
220000,吉林省,2010,533203,77194,26756,5972,108887,314394
220000,吉林省,2009,552889,81974,28373,6277,111971,324294
220000,吉林省,2008,561051,85664,27690,5468,114354,327875
220000,吉林省,2007,558105,82004,25639,8026,114689,327747
220000,吉林省,2006,549781,75871,23209,8841,108314,333546
220000,吉林省,2005,559747,90679,27676,4681,106529,330182
220000,吉林省,2004,572176,101602,27263,4748,107542,331021
220000,吉林省,2003,547570,103418,27903,4456,99159,312634
220000,吉林省,2002,558735,106539,27132,4368,98456,322240
220000,吉林省,2001,552708,105418,27578,3684,97302,318726
220000,吉林省,2000,557323,113307,26485,3814,97256,316461
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,,,,,,
230000,黑龙江省,2014,,,,,,
230000,黑龙江省,2013,,,,,,
230000,黑龙江省,2012,,,,,,
230000,黑龙江省,2011,663207,103489,35441,6634,149943,367700
230000,黑龙江省,2010,676844,114200,36220,5027,137487,383910
230000,黑龙江省,2009,688326,116154,35310,5898,141749,389215
230000,黑龙江省,2008,691278,116306,35047,7234,142102,390589
230000,黑龙江省,2007,678135,116331,32285,7448,137244,384827
230000,黑龙江省,2006,659834,115626,28653,7043,130183,378329
230000,黑龙江省,2005,652998,118318,28008,6244,132515,367913
230000,黑龙江省,2004,640340,127635,28149,3251,123452,357853
230000,黑龙江省,2003,716404,155432,30731,5694,132671,391876
230000,黑龙江省,2002,716539,158157,29564,5047,130269,393502
230000,黑龙江省,2001,737459,175644,29905,5069,132167,394674
230000,黑龙江省,2000,737890,182346,31134,5252,135295,383863
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,,,,,,
310000,上海市,2014,,,,,,
310000,上海市,2013,,,,,,
310000,上海市,2012,,,,,,
310000,上海市,2011,377379,117596,3907,5812,94798,155266
310000,上海市,2010,356378,108115,3356,5421,92458,147028
310000,上海市,2009,363787,107649,3879,6431,95686,150142
310000,上海市,2008,360340,106152,3488,6321,95927,148452
310000,上海市,2007,337699,100722,2368,5916,80551,148142
310000,上海市,2006,331827,96416,2186,6366,79051,147808
310000,上海市,2005,333321,96815,2834,6140,79626,147906
310000,上海市,2004,332649,98518,2674,5759,79219,146479
310000,上海市,2003,316418,79852,2372,5821,77712,150661
310000,上海市,2002,347063,112872,2659,5708,79275,146549
310000,上海市,2001,357431,119039,2823,5720,79623,150226
310000,上海市,2000,362743,125467,3097,5776,77929,150474
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,,,,,,
320000,江苏省,2014,,,,,,
320000,江苏省,2013,,,,,,
320000,江苏省,2012,,,,,,
320000,江苏省,2011,1042342,114226,28284,7912,215557,676363
320000,江苏省,2010,998877,106096,27070,6108,207224,652379
320000,江苏省,2009,1038973,112759,29752,7245,213965,675252
320000,江苏省,2008,1050990,113250,30395,7638,215539,684168
320000,江苏省,2007,998178,113031,28309,7263,177228,672347
320000,江苏省,2006,997427,118228,30219,7754,170548,670678
320000,江苏省,2005,994976,122566,29880,7438,168043,667049
320000,江苏省,2004,999513,136141,30982,6851,161568,663971
320000,江苏省,2003,1033231,178130,34157,6487,162217,652240
320000,江苏省,2002,1072044,218474,33422,6340,165423,648385
320000,江苏省,2001,1094258,242075,36862,6416,168459,640446
320000,江苏省,2000,1117458,269126,40364,6193,166843,634932
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,,,,,,
330000,浙江省,2014,,,,,,
330000,浙江省,2013,,,,,,
330000,浙江省,2012,,,,,,
330000,浙江省,2011,761857,105137,17520,5051,191810,442339
330000,浙江省,2010,722367,98338,17079,4446,175744,426760
330000,浙江省,2009,733099,102941,18852,6577,172390,432339
330000,浙江省,2008,719551,101020,18236,6359,166157,427779
330000,浙江省,2007,688800,97574,18852,6155,143448,422771
330000,浙江省,2006,681522,96700,18316,5925,140681,419900
330000,浙江省,2005,667340,94541,18838,6239,135809,411913
330000,浙江省,2004,655529,94414,18738,4987,132616,404774
330000,浙江省,2003,657957,110674,18928,5140,130700,392515
330000,浙江省,2002,641005,107786,18319,4207,125686,385007
330000,浙江省,2001,635185,112939,19195,4205,121796,377050
330000,浙江省,2000,635233,125710,19183,4075,117971,368294
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,,,,,,
340000,安徽省,2014,,,,,,
340000,安徽省,2013,,,,,,
340000,安徽省,2012,,,,,,
340000,安徽省,2011,750273,88644,19086,2922,135730,503891
340000,安徽省,2010,735751,85305,19750,2524,124802,503370
340000,安徽省,2009,746743,87816,20276,3232,118062,517357
340000,安徽省,2008,740121,85912,20421,3302,112994,517492
340000,安徽省,2007,711492,83840,19707,3310,94159,510476
340000,安徽省,2006,708707,82767,18959,3195,94947,508839
340000,安徽省,2005,714146,90669,19381,3498,93224,507374
340000,安徽省,2004,711578,93454,19642,3671,93367,501444
340000,安徽省,2003,709608,98254,19659,2973,92539,496183
340000,安徽省,2002,711333,107200,19220,2995,90910,491008
340000,安徽省,2001,719800,115741,20471,3111,92677,487800
340000,安徽省,2000,713794,125050,22814,3262,93282,469386
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,,,,,,
350000,福建省,2014,,,,,,
350000,福建省,2013,,,,,,
350000,福建省,2012,,,,,,
350000,福建省,2011,557730,72671,11822,6034,95001,372202
350000,福建省,2010,535242,66621,11781,5070,90431,361339
350000,福建省,2009,543331,69135,13247,6458,85901,368590
350000,福建省,2008,542928,67969,13023,5836,85944,370156
350000,福建省,2007,519534,67607,13540,4568,65439,368380
350000,福建省,2006,513586,65723,15425,4411,64213,363814
350000,福建省,2005,515774,66294,14212,4165,62967,368136
350000,福建省,2004,509006,64951,14196,4532,61935,363392
350000,福建省,2003,511062,68822,13859,4132,60623,363626
350000,福建省,2002,513101,74776,13844,4128,58521,361832
350000,福建省,2001,515624,81635,14498,4218,57343,357930
350000,福建省,2000,516439,86683,14495,3798,56703,354760
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,,,,,,
360000,江西省,2014,,,,,,
360000,江西省,2013,,,,,,
360000,江西省,2012,,,,,,
360000,江西省,2011,641455,67570,20068,3235,127586,422996
360000,江西省,2010,625484,67728,20391,2840,119861,414664
360000,江西省,2009,634501,69264,19950,3104,122430,419753
360000,江西省,2008,627532,68416,20032,3261,119150,416673
360000,江西省,2007,618036,72574,20558,3269,113665,407970
360000,江西省,2006,613347,72417,19837,3236,110404,407453
360000,江西省,2005,605243,72724,19694,3840,110022,398963
360000,江西省,2004,598807,76128,20335,3115,107228,392001
360000,江西省,2003,576050,79872,18307,2692,98911,376268
360000,江西省,2002,578974,85499,19619,2347,102522,368987
360000,江西省,2001,582360,90871,19717,2446,100608,368718
360000,江西省,2000,573612,91360,19470,2333,99631,360818
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,,,,,,
370000,山东省,2014,,,,,,
370000,山东省,2013,,,,,,
370000,山东省,2012,,,,,,
370000,山东省,2011,1582861,276011,56991,25296,295117,929446
370000,山东省,2010,1527315,265349,53916,15038,287136,905876
370000,山东省,2009,1567276,264499,53748,18391,286683,943955
370000,山东省,2008,1491836,213488,45765,10955,272343,949285
370000,山东省,2007,1494182,213572,46735,11312,270715,951848
370000,山东省,2006,1494089,217171,49025,11541,266515,949837
370000,山东省,2005,1504722,228141,49307,13484,270674,943116
370000,山东省,2004,1506300,243782,50406,11714,269211,931187
370000,山东省,2003,1506151,282997,48947,9204,250250,914753
370000,山东省,2002,1489802,293306,49504,8607,245841,892544
370000,山东省,2001,1457094,290743,51940,8467,236073,869871
370000,山东省,2000,1443745,296845,50699,7997,234810,853394
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,,,,,,
410000,河南省,2014,,,,,,
410000,河南省,2013,,,,,,
410000,河南省,2012,,,,,,
410000,河南省,2011,1187042,118289,30769,4677,222925,810382
410000,河南省,2010,1024314,98955,21175,3850,163697,736637
410000,河南省,2009,1273668,115935,27573,5437,197158,927565
410000,河南省,2008,1265222,112698,28570,5524,189729,928701
410000,河南省,2007,1263425,119226,27417,5550,184489,926743
410000,河南省,2006,1252962,116771,26950,4960,179347,924934
410000,河南省,2005,1209542,120339,27869,4978,172439,883917
410000,河南省,2004,1216163,130683,29460,4631,174425,876964
410000,河南省,2003,1232272,146998,30345,5434,166048,883447
410000,河南省,2002,1224558,150700,28270,3960,162597,879031
410000,河南省,2001,1219574,154717,28071,4056,162295,870435
410000,河南省,2000,1149116,150991,26645,4337,156191,810952
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,,,,,,
420000,湖北省,2014,,,,,,
420000,湖北省,2013,,,,,,
420000,湖北省,2012,,,,,,
420000,湖北省,2011,760818,78737,16833,3961,182081,479206
420000,湖北省,2010,765798,80366,16914,4223,184672,479623
420000,湖北省,2009,794661,82607,18355,6014,192423,495262
420000,湖北省,2008,804196,79200,17546,6596,194191,506663
420000,湖北省,2007,804191,79913,18757,6462,186162,512897
420000,湖北省,2006,817456,85511,23139,6518,189613,512675
420000,湖北省,2005,827515,91442,26670,6528,188315,514560
420000,湖北省,2004,787799,93692,26158,6372,176642,484935
420000,湖北省,2003,849806,121557,31939,6964,177229,512117
420000,湖北省,2002,863610,136264,30461,6274,180538,510073
420000,湖北省,2001,899209,159821,30501,6345,188711,513831
420000,湖北省,2000,892680,164752,30109,5760,186488,505571
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,,,,,,
430000,湖南省,2014,,,,,,
430000,湖南省,2013,,,,,,
430000,湖南省,2012,,,,,,
430000,湖南省,2011,890040,103529,28662,6747,186439,564663
430000,湖南省,2010,847965,97600,27583,6574,175510,540698
430000,湖南省,2009,893594,102381,30014,5366,178260,577573
430000,湖南省,2008,897021,106070,31134,5569,173635,580613
430000,湖南省,2007,905426,106498,30595,9464,167301,591568
430000,湖南省,2006,908213,111542,30660,4527,174612,586872
430000,湖南省,2005,917466,120619,29207,5881,178642,583117
430000,湖南省,2004,954729,128475,32369,5013,184945,603927
430000,湖南省,2003,912746,130482,27886,4512,160695,589171
430000,湖南省,2002,913615,143967,25758,4649,154822,584419
430000,湖南省,2001,904692,142341,26275,4884,144901,586291
430000,湖南省,2000,881417,137905,24711,5006,137884,575911
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,,,,,,
440000,广东省,2014,,,,,,
440000,广东省,2013,,,,,,
440000,广东省,2012,,,,,,
440000,广东省,2011,1304048,151700,13475,5260,253992,879621
440000,广东省,2010,1249395,147303,13436,4323,245674,838659
440000,广东省,2009,1300813,153563,15805,5984,268796,856665
440000,广东省,2008,1265386,144941,16701,5745,260940,837059
440000,广东省,2007,1234792,140828,17311,5711,246480,824462
440000,广东省,2006,1212040,137802,16999,5163,246679,805397
440000,广东省,2005,1193149,138132,17126,5400,242881,789610
440000,广东省,2004,1172557,143075,16964,5235,234334,772949
440000,广东省,2003,1090383,135621,12575,4918,202548,734721
440000,广东省,2002,1084180,160458,13386,4425,184192,721719
440000,广东省,2001,1079642,168354,14151,4467,181703,710967
440000,广东省,2000,1071537,180223,15083,4705,175521,696005
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,,,,,,
450000,广西壮族自治区,2014,,,,,,
450000,广西壮族自治区,2013,,,,,,
450000,广西壮族自治区,2012,,,,,,
450000,广西壮族自治区,2011,752309,153773,21169,2975,130294,444098
450000,广西壮族自治区,2010,733726,144910,21145,2624,115352,449695
450000,广西壮族自治区,2009,754256,142809,22353,3079,120626,465389
450000,广西壮族自治区,2008,756850,135978,23016,2926,123633,471297
450000,广西壮族自治区,2007,745589,128345,23337,3031,119447,471429
450000,广西壮族自治区,2006,731406,123694,23527,3081,118176,462928
450000,广西壮族自治区,2005,723900,110906,24159,3507,120265,465063
450000,广西壮族自治区,2004,708746,107154,24905,2642,116765,457280
450000,广西壮族自治区,2003,654862,109325,22881,2999,105308,414349
450000,广西壮族自治区,2002,657581,117243,23079,2969,104629,409661
450000,广西壮族自治区,2001,663716,125345,23754,2791,104876,406950
450000,广西壮族自治区,2000,657274,128462,23630,2815,104160,398207
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,,,,,,
460000,海南省,2014,,,,,,
460000,海南省,2013,,,,,,
460000,海南省,2012,,,,,,
460000,海南省,2011,128446,7561,3198,620,29385,87682
460000,海南省,2010,127236,7458,3347,389,27681,88361
460000,海南省,2009,126203,7620,3784,413,27620,86766
460000,海南省,2008,130622,8492,3941,470,27993,89726
460000,海南省,2007,124419,9077,4110,403,24216,86613
460000,海南省,2006,122935,9810,3791,524,23139,85671
460000,海南省,2005,117455,10128,3699,598,21515,81515
460000,海南省,2004,116164,9968,3807,654,21261,80474
460000,海南省,2003,111452,10707,3389,488,20734,76134
460000,海南省,2002,108749,12478,3413,554,19175,73129
460000,海南省,2001,102205,12270,3434,465,16249,69787
460000,海南省,2000,101960,13226,3577,479,16009,68669
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,,,,,,
500000,重庆市,2014,,,,,,
500000,重庆市,2013,,,,,,
500000,重庆市,2012,,,,,,
500000,重庆市,2011,391349,48714,13567,2344,69078,257646
500000,重庆市,2010,382770,47999,13848,2081,62285,256557
500000,重庆市,2009,384339,47956,14445,1620,62554,257764
500000,重庆市,2008,385292,44733,15374,2284,63735,259166
500000,重庆市,2007,373697,43424,15794,2525,56986,254968
500000,重庆市,2006,371332,43703,16324,2141,58280,250884
500000,重庆市,2005,366102,45747,14585,2833,58146,244791
500000,重庆市,2004,356964,43153,13313,2173,56322,242003
500000,重庆市,2003,355110,47596,12606,1930,52757,240221
500000,重庆市,2002,361592,50875,13367,2100,53541,241709
500000,重庆市,2001,352303,53246,11899,2097,53288,231773
500000,重庆市,2000,370097,61187,12109,1754,55464,239583
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,,,,,,
510000,四川省,2014,,,,,,
510000,四川省,2013,,,,,,
510000,四川省,2012,,,,,,
510000,四川省,2011,1016124,113654,46057,6039,186535,663839
510000,四川省,2010,991047,115200,44769,7647,175939,647492
510000,四川省,2009,1012281,121698,46859,7338,180602,655784
510000,四川省,2008,1014272,117470,49667,7704,179424,660007
510000,四川省,2007,999505,115685,47835,6389,167050,662546
510000,四川省,2006,996897,115657,48390,4833,168161,659856
510000,四川省,2005,983303,115058,49240,5515,163317,650173
510000,四川省,2004,958434,104246,46795,6131,156567,644695
510000,四川省,2003,1001858,127949,43194,5486,155582,669647
510000,四川省,2002,1027813,149973,43475,4848,150483,679034
510000,四川省,2001,1009663,148890,43258,5005,156444,656066
510000,四川省,2000,1023838,166627,42473,5049,161776,647913
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,,,,,,
520000,贵州省,2014,,,,,,
520000,贵州省,2013,,,,,,
520000,贵州省,2012,,,,,,
520000,贵州省,2011,533075,57311,24881,1615,78377,370891
520000,贵州省,2010,518088,58575,24115,1505,72655,361238
520000,贵州省,2009,535297,62323,25958,1456,74469,371091
520000,贵州省,2008,533160,63975,25957,682,73842,368704
520000,贵州省,2007,525180,57759,26715,1399,74479,364828
520000,贵州省,2006,521801,61454,26931,1423,73374,358619
520000,贵州省,2005,510248,60531,27484,1604,73583,347046
520000,贵州省,2004,502178,61260,27749,1523,73479,338167
520000,贵州省,2003,492604,63652,27170,1633,71317,328832
520000,贵州省,2002,480828,64413,26745,1635,70270,317765
520000,贵州省,2001,472857,66473,26491,1682,71203,307008
520000,贵州省,2000,459818,67299,25833,1724,70667,294295
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,,,,,,
530000,云南省,2016,,,,,,
530000,云南省,2015,,,,,,
530000,云南省,2014,,,,,,
530000,云南省,2013,,,,,,
530000,云南省,2012,,,,,,
530000,云南省,2011,739324,104229,44388,4025,128549,458133
530000,云南省,2010,697176,94436,39593,3131,109231,450785
530000,云南省,2009,688529,88831,38051,3449,108699,449499
530000,云南省,2008,681574,88070,39566,3652,108245,442041
530000,云南省,2007,659890,82453,38277,3589,104992,430579
530000,云南省,2006,650316,80644,38854,3495,103903,423420
530000,云南省,2005,647176,91716,37693,4834,102707,410226
530000,云南省,2004,633200,88340,36982,4067,100938,402873
530000,云南省,2003,637172,89855,38730,3518,99475,405594
530000,云南省,2002,643054,101127,38211,3431,101019,399266
530000,云南省,2001,631726,99653,38082,3493,100695,389803
530000,云南省,2000,611566,98066,36713,3622,100304,372861
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,,,,,,
540000,西藏自治区,2014,,,,,,
540000,西藏自治区,2013,,,,,,
540000,西藏自治区,2012,,,,,,
540000,西藏自治区,2011,52873,3382,3353,485,9524,36129
540000,西藏自治区,2010,50124,2747,2799,428,8697,35453
540000,西藏自治区,2009,49430,2754,2794,278,8328,35276
540000,西藏自治区,2008,46153,2648,2130,443,7867,33065
540000,西藏自治区,2007,42402,2743,1751,623,8151,29134
540000,西藏自治区,2006,39433,3430,1802,553,7633,26015
540000,西藏自治区,2005,38219,3674,1559,509,7062,25415
540000,西藏自治区,2004,34732,3047,1298,445,6737,23205
540000,西藏自治区,2003,33728,3038,1447,378,7112,21753
540000,西藏自治区,2002,32647,3121,1494,344,6931,20757
540000,西藏自治区,2001,31532,3139,1766,363,7131,19133
540000,西藏自治区,2000,30924,4093,1852,352,7304,17323
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,,,,,,
610000,陕西省,2016,,,,,,
610000,陕西省,2015,,,,,,
610000,陕西省,2014,,,,,,
610000,陕西省,2013,,,,,,
610000,陕西省,2012,,,,,,
610000,陕西省,2011,651633,116587,28099,4545,129114,373288
610000,陕西省,2010,640644,104878,30030,5019,112154,388563
610000,陕西省,2009,647370,99588,28142,3083,108247,408310
610000,陕西省,2008,640119,95782,27254,2653,105970,408460
610000,陕西省,2007,619805,95602,26874,2786,97876,396667
610000,陕西省,2006,612716,89677,24774,2728,96674,398863
610000,陕西省,2005,602104,88525,25555,3522,95850,388652
610000,陕西省,2004,592472,93023,24350,2868,92498,379733
610000,陕西省,2003,565724,96386,23668,2648,84113,358909
610000,陕西省,2002,546850,95458,20701,2540,80306,347845
610000,陕西省,2001,532056,100312,19350,2400,78838,331156
610000,陕西省,2000,517000,106620,18966,2328,76737,312349
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,,,,,,
620000,甘肃省,2016,,,,,,
620000,甘肃省,2015,,,,,,
620000,甘肃省,2014,,,,,,
620000,甘肃省,2013,,,,,,
620000,甘肃省,2012,,,,,,
620000,甘肃省,2011,482569,62250,25675,2106,77332,315206
620000,甘肃省,2010,465321,59344,23859,2167,71637,308314
620000,甘肃省,2009,459603,58717,24980,1813,66563,307530
620000,甘肃省,2008,449293,58775,25046,1813,62111,301548
620000,甘肃省,2007,433827,58075,24210,2013,59510,290019
620000,甘肃省,2006,423000,58453,24211,1666,57643,281027
620000,甘肃省,2005,410195,57693,22161,5907,56119,268315
620000,甘肃省,2004,394223,58692,20336,1833,54709,258653
620000,甘肃省,2003,382978,64779,19125,2090,53361,243623
620000,甘肃省,2002,376492,66550,18742,1869,52685,236646
620000,甘肃省,2001,357019,60742,18296,1905,50370,225706
620000,甘肃省,2000,346805,59786,17847,1742,49398,218032
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,,,,,,
630000,青海省,2016,,,,,,
630000,青海省,2015,,,,,,
630000,青海省,2014,,,,,,
630000,青海省,2013,,,,,,
630000,青海省,2012,,,,,,
