省份编码,省份,年份,GPS测量(点),水准测量(公里),地理信息数据生产(幅),地形图编制(幅),专题地图编制(种),地图集编制(种)
140000,山西省,2001,1195,477,3128,,15,4
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,,,,,,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,,,,,,
150000,内蒙古自治区,2014,,,,,,
150000,内蒙古自治区,2013,,,,,,
150000,内蒙古自治区,2012,,,,,,
150000,内蒙古自治区,2011,1093,1357,9940,458,17,
150000,内蒙古自治区,2010,,1000,4695,850,25,3
150000,内蒙古自治区,2009,201,1200,6968,,11,4
150000,内蒙古自治区,2008,1259,1872,6631,,21,
150000,内蒙古自治区,2007,766,2494,6892,30,58,6
150000,内蒙古自治区,2006,620,1928,5764,,18,3
150000,内蒙古自治区,2005,634,1456,5453,21,12,3
150000,内蒙古自治区,2004,637,785,4475,,11,3
150000,内蒙古自治区,2003,974,839,4910,115,64,1
150000,内蒙古自治区,2002,1274,611,3191,88,254,
150000,内蒙古自治区,2001,3575,3177,2424,42,63,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,,,,,,
210000,辽宁省,2016,,,,,,
210000,辽宁省,2015,,,,,,
210000,辽宁省,2014,,,,,,
210000,辽宁省,2013,,,,,,
210000,辽宁省,2012,,,,,,
210000,辽宁省,2011,159,1635,32367,9863,21,1
210000,辽宁省,2010,1200,2040,37263,6201,2011,1
210000,辽宁省,2009,8607,10585,17963,2874,,
210000,辽宁省,2008,10160,8755,24080,5604,27,
210000,辽宁省,2007,2554,2636,20084,5422,1047,
210000,辽宁省,2006,9921,7127,32408,6597,49,1
210000,辽宁省,2005,6507,2273,21588,1824,743,5
210000,辽宁省,2004,4058,3167,51187,8895,125,
210000,辽宁省,2003,6670,2484,23851,,11,
210000,辽宁省,2002,1630,1513,12198,3098,1178,2
210000,辽宁省,2001,2192,1418,8946,155,10,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,,,,,,
220000,吉林省,2015,,,,,,
220000,吉林省,2014,,,,,,
220000,吉林省,2013,,,,,,
220000,吉林省,2012,,,,,,
220000,吉林省,2011,,1534,4513,616,105,
220000,吉林省,2010,,100,8123,195,136,1
220000,吉林省,2009,26,80,8026,195,35,1
220000,吉林省,2008,,,5700,,,
220000,吉林省,2007,,,10683,,,
220000,吉林省,2006,35,48,7752,,31,2
220000,吉林省,2005,184,3244,3702,,22,
220000,吉林省,2004,247,2235,6723,1,9,
220000,吉林省,2003,193,3112,6045,,10,1
220000,吉林省,2002,134,1668,823,,16,
220000,吉林省,2001,208,1158,300,,1,2
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,,,,,,
230000,黑龙江省,2015,,,,,,
230000,黑龙江省,2014,,,,,,
230000,黑龙江省,2013,,,,,,
230000,黑龙江省,2012,,,,,,
230000,黑龙江省,2011,843,10403,78115,3035,158,14
230000,黑龙江省,2010,449,8934,203339,80,387,3
230000,黑龙江省,2009,1629,13343,181667,,202,8
230000,黑龙江省,2008,383,7210,129595,,70,7
230000,黑龙江省,2007,276,3848,264247,,100,12
230000,黑龙江省,2006,689,10809,83457,,80,12
230000,黑龙江省,2005,481,17678,235384,,81,12
230000,黑龙江省,2004,321,7705,38600,,75,12
230000,黑龙江省,2003,2463,4279,28651,803,139,11
230000,黑龙江省,2002,1916,7081,27715,1423,3,23
230000,黑龙江省,2001,144,3955,24498,50,7,7
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,,,,,,
310000,上海市,2016,,,,,,
310000,上海市,2015,,,,,,
310000,上海市,2014,,,,,,
310000,上海市,2013,,,,,,
310000,上海市,2012,,,,,,
310000,上海市,2011,,7300,49599,491,2,1
310000,上海市,2010,,,74938,3704,18,1
310000,上海市,2009,,,39571,,19,1
310000,上海市,2008,,,42317,57,19,1
310000,上海市,2007,,,41842,,9,1
310000,上海市,2006,,4177,23451,2115,9,1
310000,上海市,2005,,,18761,,6,3
310000,上海市,2004,308,,15395,,6,
310000,上海市,2003,,,6894,,1,
310000,上海市,2002,,,9519,1580,,1
310000,上海市,2001,54,3710,5748,671,5,1
310000,上海市,2000,,,,,,
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,,,,,,
320000,江苏省,2016,,,,,,
320000,江苏省,2015,,,,,,
320000,江苏省,2014,,,,,,
320000,江苏省,2013,,,,,,
320000,江苏省,2012,,,,,,
320000,江苏省,2011,116,1102,18265,,12,2
320000,江苏省,2010,60,4627,10898,49,14,3
320000,江苏省,2009,341,5171,7224,164,78,
320000,江苏省,2008,1309,11056,20903,108,7,2
320000,江苏省,2007,2667,2422,15411,512,14,
320000,江苏省,2006,827,4467,10796,,29,3
320000,江苏省,2005,1875,1965,8359,,19,3
320000,江苏省,2004,767,4400,8199,180,24,2
320000,江苏省,2003,1293,5432,7056,12,28,1
320000,江苏省,2002,511,2711,5929,22,97,3
320000,江苏省,2001,592,3702,6204,48,43,5
320000,江苏省,2000,,,,,,
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,,,,,,
330000,浙江省,2016,,,,,,
330000,浙江省,2015,,,,,,
330000,浙江省,2014,,,,,,
330000,浙江省,2013,,,,,,
330000,浙江省,2012,,,,,,
330000,浙江省,2011,1651,6545,23423,9208,72,14
330000,浙江省,2010,4205,2460,34848,,25071,5
330000,浙江省,2009,3609,3088,9523,,28,
330000,浙江省,2008,4524,2439,9339,,114,2
330000,浙江省,2007,2776,3100,8265,,,
330000,浙江省,2006,3576,4410,6992,,,
330000,浙江省,2005,3824,1959,7707,,,
330000,浙江省,2004,2976,4261,8235,,,
330000,浙江省,2003,5042,5419,7584,,,
330000,浙江省,2002,2874,2220,5072,,,
330000,浙江省,2001,1872,1073,1640,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,,,,,,
340000,安徽省,2016,,,,,,
340000,安徽省,2015,,,,,,
340000,安徽省,2014,,,,,,
340000,安徽省,2013,,,,,,
340000,安徽省,2012,,,,,,
340000,安徽省,2011,831,2964,33185,,26,85
340000,安徽省,2010,7680,2560,25379,,66,1
340000,安徽省,2009,6351,1283,18622,50,50,1
340000,安徽省,2008,3397,935,11858,60,23,1
340000,安徽省,2007,3488,1697,13113,92,100,4
340000,安徽省,2006,10061,8210,22449,284,31,
340000,安徽省,2005,3497,3166,6504,513,,
340000,安徽省,2004,456,150,10757,20,5,
340000,安徽省,2003,360,140,5615,27,297,1
340000,安徽省,2002,744,,3757,,185,1
340000,安徽省,2001,,,1318,,68,1
340000,安徽省,2000,,,,,,
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,,,,,,
350000,福建省,2016,,,,,,
350000,福建省,2015,,,,,,
350000,福建省,2014,,,,,,
350000,福建省,2013,,,,,,
350000,福建省,2012,,,,,,
350000,福建省,2011,400,1507,1024,,111,11
350000,福建省,2010,342,2085,5338,100,276,3
350000,福建省,2009,26,,5976,1060,187,6
350000,福建省,2008,393,2081,1557,107,128,4
350000,福建省,2007,,,3835,23,171,6
350000,福建省,2006,13,314,2403,,221,
350000,福建省,2005,108,,2300,,43,11
350000,福建省,2004,,,1670,,,1
350000,福建省,2003,273,2600,3843,,,
350000,福建省,2002,278,200,2150,,,
350000,福建省,2001,,,1367,,693,
350000,福建省,2000,,,,,,
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,,,,,,
360000,江西省,2016,,,,,,
360000,江西省,2015,,,,,,
360000,江西省,2014,,,,,,
360000,江西省,2013,,,,,,
360000,江西省,2012,,,,,,
360000,江西省,2011,75,943,30213,194,60,
360000,江西省,2010,1009,2022,10394,58,66,1
360000,江西省,2009,632,1978,8146,25,607,2
360000,江西省,2008,2150,400,19015,41,33,1
360000,江西省,2007,1940,286,11174,10,30,1
360000,江西省,2006,1840,200,7867,,35,
360000,江西省,2005,576,800,2995,,36,
360000,江西省,2004,796,5031,7947,,44,
360000,江西省,2003,189,100,3072,,23,1
360000,江西省,2002,580,481,2219,,,
360000,江西省,2001,528,336,1941,440,61,2
360000,江西省,2000,,,,,,
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,,,,,,
370000,山东省,2016,,,,,,
370000,山东省,2015,,,,,,
370000,山东省,2014,,,,,,
370000,山东省,2013,,,,,,
370000,山东省,2012,,,,,,
370000,山东省,2011,138,520,19164,,244,86
370000,山东省,2010,1064,2336,9357,,290,14
370000,山东省,2009,1345,3554,7519,828,95,9
370000,山东省,2008,659,1727,18972,,63,
370000,山东省,2007,203,1182,10036,,54,5
370000,山东省,2006,605,5765,6462,,58,5
370000,山东省,2005,815,3305,4250,70,75,
370000,山东省,2004,486,1997,4959,208,57,
370000,山东省,2003,1249,1216,7407,497,57,5
370000,山东省,2002,546,1440,6597,,67,9
370000,山东省,2001,291,1029,3046,12,,
370000,山东省,2000,,,,,,
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,,,,,,
410000,河南省,2016,,,,,,
410000,河南省,2015,,,,,,
410000,河南省,2014,,,,,,
410000,河南省,2013,,,,,,
410000,河南省,2012,,,,,,
410000,河南省,2011,754,6584,40483,5580,5,2
410000,河南省,2010,3907,59200,14186,4097,156,9
410000,河南省,2009,1554,17641,35568,1538,151,1
410000,河南省,2008,2966,7332,6840,131,89,1
410000,河南省,2007,3890,5270,11978,964,142,2
410000,河南省,2006,794,4664,13094,10,130,
410000,河南省,2005,1494,5192,9095,13,146,3
410000,河南省,2004,692,11562,7418,91,87,7
410000,河南省,2003,575,3213,6429,,126,2
410000,河南省,2002,835,2100,3776,,115,2
410000,河南省,2001,240,2400,2121,1,55,2
410000,河南省,2000,,,,,,
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,,,,,,
420000,湖北省,2016,,,,,,
420000,湖北省,2015,,,,,,
420000,湖北省,2014,,,,,,
420000,湖北省,2013,,,,,,
420000,湖北省,2012,,,,,,
420000,湖北省,2011,1242,4935,10916,1313,,4
420000,湖北省,2010,2085,7270,7652,,,18
420000,湖北省,2009,5331,4470,7320,55,81,2
420000,湖北省,2008,1175,3100,4897,5,37,4
420000,湖北省,2007,2806,2848,4731,,145,8
420000,湖北省,2006,2155,10690,8602,,149,4
420000,湖北省,2005,5674,7955,5469,15,162,2
420000,湖北省,2004,3310,5171,4324,78,25,7
420000,湖北省,2003,669,1055,3138,126,110,6
420000,湖北省,2002,1530,1930,7051,571,31,4
420000,湖北省,2001,647,420,2672,8,33,2
420000,湖北省,2000,,,,,,
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,,,,,,
430000,湖南省,2016,,,,,,
430000,湖南省,2015,,,,,,
430000,湖南省,2014,,,,,,
430000,湖南省,2013,,,,,,
430000,湖南省,2012,,,,,,
430000,湖南省,2011,211,981,18284,8330,72,18
430000,湖南省,2010,695,3000,16636,3912,2082,184
430000,湖南省,2009,410,6514,11674,5,631,27
430000,湖南省,2008,592,4200,7056,,394,
430000,湖南省,2007,451,3532,9136,6149,243,27
430000,湖南省,2006,719,2801,4667,560,127,15
430000,湖南省,2005,692,3250,3555,,199,23
430000,湖南省,2004,1821,1085,8894,,84,12
430000,湖南省,2003,206,1690,8297,263,229,
430000,湖南省,2002,356,1057,4282,1172,120,10
430000,湖南省,2001,117,39,2902,24,17,6
430000,湖南省,2000,,,,,,
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,,,,,,
440000,广东省,2016,,,,,,
440000,广东省,2015,,,,,,
440000,广东省,2014,,,,,,
440000,广东省,2013,,,,,,
440000,广东省,2012,,,,,,
440000,广东省,2011,207,5412,40974,17423,11,1
440000,广东省,2010,99,5093,12538,,61,30
440000,广东省,2009,1250,15200,10635,22,106,31
440000,广东省,2008,704,280,19457,206,54,55
440000,广东省,2007,200,356,5891,10,77,41
440000,广东省,2006,46,925,10195,,76,56
440000,广东省,2005,717,3079,16265,,,
440000,广东省,2004,536,3871,10558,,114,38
440000,广东省,2003,1309,3646,5397,22,134,27
440000,广东省,2002,720,1316,5450,376,90,14
440000,广东省,2001,216,500,1606,520,29,13
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,,,,,,
450000,广西壮族自治区,2016,,,,,,
450000,广西壮族自治区,2015,,,,,,
450000,广西壮族自治区,2014,,,,,,
450000,广西壮族自治区,2013,,,,,,
450000,广西壮族自治区,2012,,,,,,
450000,广西壮族自治区,2011,3266,2361,10036,1609,48,1
450000,广西壮族自治区,2010,3475,1238,11764,277,1667,6
450000,广西壮族自治区,2009,3572,2683,9989,22,512,
450000,广西壮族自治区,2008,2275,3523,8192,808,332,2
450000,广西壮族自治区,2007,617,4627,9744,855,318,4
450000,广西壮族自治区,2006,424,1211,13867,76,114,4
450000,广西壮族自治区,2005,449,2464,7796,10,38,
450000,广西壮族自治区,2004,264,867,9477,1100,507,
450000,广西壮族自治区,2003,348,189,4871,94,148,
450000,广西壮族自治区,2002,427,6212,1248,101,197,1
450000,广西壮族自治区,2001,228,3872,887,,714,1
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,,,,,,
460000,海南省,2016,,,,,,
460000,海南省,2015,,,,,,
460000,海南省,2014,,,,,,
460000,海南省,2013,,,,,,
460000,海南省,2012,,,,,,
460000,海南省,2011,133,750,6405,1038,201,36
460000,海南省,2010,1010,1800,4076,201,270,2
460000,海南省,2009,823,2058,5275,155,659,1
460000,海南省,2008,154,300,4880,,247,1
460000,海南省,2007,145,906,10954,,94,1
460000,海南省,2006,,3727,5307,,210,2
460000,海南省,2005,222,1353,2651,415,9,3
460000,海南省,2004,86,750,1855,2810,30,
460000,海南省,2003,180,1000,1572,,19,
460000,海南省,2002,219,538,1442,17,4,
460000,海南省,2001,240,230,992,,52,
460000,海南省,2000,,,,,,
500000,重庆市,2019,,,,,,
500000,重庆市,2018,,,,,,
500000,重庆市,2017,,,,,,
500000,重庆市,2016,,,,,,
500000,重庆市,2015,,,,,,
500000,重庆市,2014,,,,,,
500000,重庆市,2013,,,,,,
500000,重庆市,2012,,,,,,
500000,重庆市,2011,392,661,13852,583,1289,40
500000,重庆市,2010,214,2122,34346,,1757,6
500000,重庆市,2009,20,,3760,,6,2
500000,重庆市,2008,228,1920,7496,45,88,2
500000,重庆市,2007,108,1288,4008,41,30,1
500000,重庆市,2006,40,,4592,460,1,1
500000,重庆市,2005,245,1728,4700,,9,2
500000,重庆市,2004,262,116,950,110,17,1
500000,重庆市,2003,87,50,620,60,12,2
500000,重庆市,2002,220,150,3000,15,22,
500000,重庆市,2001,120,260,1200,25,13,
500000,重庆市,2000,,,,,,
510000,四川省,2019,,,,,,
510000,四川省,2018,,,,,,
510000,四川省,2017,,,,,,
510000,四川省,2016,,,,,,
510000,四川省,2015,,,,,,
510000,四川省,2014,,,,,,
510000,四川省,2013,,,,,,
510000,四川省,2012,,,,,,
510000,四川省,2011,402,6292,41456,3773,115,79
510000,四川省,2010,925,18133,32500,944,569,78
510000,四川省,2009,1363,2329,18527,1169,138,140
510000,四川省,2008,1111,9846,15400,290,152,72
510000,四川省,2007,2010,13910,9234,98,171,78
510000,四川省,2006,1990,23392,19764,,44,30
510000,四川省,2005,1754,12968,20385,191,99,1
510000,四川省,2004,1021,4273,13449,112,41,21
510000,四川省,2003,701,2781,18400,587,196,15
510000,四川省,2002,1147,2106,13152,381,120,16
510000,四川省,2001,1064,699,22418,437,800,2
510000,四川省,2000,,,,,,
520000,贵州省,2019,,,,,,
520000,贵州省,2018,,,,,,
520000,贵州省,2017,,,,,,
520000,贵州省,2016,,,,,,
520000,贵州省,2015,,,,,,
520000,贵州省,2014,,,,,,
520000,贵州省,2013,,,,,,
520000,贵州省,2012,,,,,,
520000,贵州省,2011,186,532,13099,2300,14,1
520000,贵州省,2010,1988,265,6120,,138,6
520000,贵州省,2009,1800,7805,18652,160,32,4
520000,贵州省,2008,1227,,20096,,21,3
520000,贵州省,2007,508,194,1888,,12,3
520000,贵州省,2006,785,,5047,311,6,3
520000,贵州省,2005,666,60,3042,1018,4,1
520000,贵州省,2004,103,,1860,410,1,1
520000,贵州省,2003,380,,1025,,1,1
520000,贵州省,2002,950,,1684,,50,
520000,贵州省,2001,707,200,851,74,116,2
520000,贵州省,2000,,,,,,
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,,,,,,
530000,云南省,2016,,,,,,
530000,云南省,2015,,,,,,
530000,云南省,2014,,,,,,
530000,云南省,2013,,,,,,
530000,云南省,2012,,,,,,
530000,云南省,2011,136,1180,7192,4076,62,2
530000,云南省,2010,358,1536,5280,1677,883,1
530000,云南省,2009,238,182,4610,60,2,1
530000,云南省,2008,818,2876,3534,20,113,5
530000,云南省,2007,877,1470,6332,271,43,
530000,云南省,2006,36,1267,4483,,,
530000,云南省,2005,62,1324,4941,,2,
530000,云南省,2004,,998,5866,,,1
530000,云南省,2003,46,1109,4529,,,1
530000,云南省,2002,89,1362,5589,,,1
530000,云南省,2001,140,1446,2294,42,44,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,,,,,,
540000,西藏自治区,2014,,,,,,
540000,西藏自治区,2013,,,,,,
540000,西藏自治区,2012,,,,,,
540000,西藏自治区,2011,,103,94,35,,
540000,西藏自治区,2010,33,520,110,,20,
540000,西藏自治区,2009,29,,320,,,
540000,西藏自治区,2008,131,109,,,,
540000,西藏自治区,2007,,,107,,,
540000,西藏自治区,2006,,,34,,199,
540000,西藏自治区,2005,,,45,,,
540000,西藏自治区,2004,,,,,4,
540000,西藏自治区,2003,,,,,89,
540000,西藏自治区,2002,,,,,70,
540000,西藏自治区,2001,20,,260,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,,,,,,
610000,陕西省,2018,,,,,,
610000,陕西省,2017,,,,,,
610000,陕西省,2016,,,,,,
610000,陕西省,2015,,,,,,
610000,陕西省,2014,,,,,,
610000,陕西省,2013,,,,,,
610000,陕西省,2012,,,,,,
610000,陕西省,2011,1530,8340,31694,11923,105,42
610000,陕西省,2010,1486,8919,39902,499,152,13
610000,陕西省,2009,1129,16211,22472,376,188,7
610000,陕西省,2008,1118,2952,33941,,222,85
610000,陕西省,2007,2083,8319,18637,,171,127
610000,陕西省,2006,1532,23962,25791,686,127,54
610000,陕西省,2005,1023,14903,29187,,182,6
610000,陕西省,2004,1539,7547,21977,1000,3,11
610000,陕西省,2003,1219,4144,22878,,75,8
610000,陕西省,2002,1315,2441,12571,,231,6
610000,陕西省,2001,1366,5800,9940,,29,9
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,,,,,,
620000,甘肃省,2018,,,,,,
620000,甘肃省,2017,,,,,,
620000,甘肃省,2016,,,,,,
620000,甘肃省,2015,,,,,,
620000,甘肃省,2014,,,,,,
620000,甘肃省,2013,,,,,,
620000,甘肃省,2012,,,,,,
620000,甘肃省,2011,43,772,12408,59,18,
620000,甘肃省,2010,426,1058,7894,177,4205,3
620000,甘肃省,2009,,,5754,79,116,4
620000,甘肃省,2008,,,6124,228,119,2
620000,甘肃省,2007,,,4725,,20,3
620000,甘肃省,2006,680,1903,3565,10,183,6
620000,甘肃省,2005,,,3132,,19,5
620000,甘肃省,2004,,,2835,9,28,2
620000,甘肃省,2003,,,1993,,98,1
620000,甘肃省,2002,,,2211,,113,1
620000,甘肃省,2001,,,1469,,115,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,,,,,,
630000,青海省,2018,,,,,,
630000,青海省,2017,,,,,,
630000,青海省,2016,,,,,,
630000,青海省,2015,,,,,,
630000,青海省,2014,,,,,,
630000,青海省,2013,,,,,,
630000,青海省,2012,,,,,,
630000,青海省,2011,308,658,1826,1982,50,8
630000,青海省,2010,1006,704,3528,53,113,2
630000,青海省,2009,2018,1666,3888,165,35,1
630000,青海省,2008,2509,1072,2133,1267,31,
630000,青海省,2007,1799,742,730,43,127,
630000,青海省,2006,2067,910,5647,15,128,
630000,青海省,2005,1364,2435,2888,,62,
630000,青海省,2004,829,411,2354,,449,2
630000,青海省,2003,2321,1425,1042,,73,
630000,青海省,2002,1162,1008,612,,108,
630000,青海省,2001,714,290,49,208,55,2
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,,,,,,
640000,宁夏回族自治区,2018,,,,,,
640000,宁夏回族自治区,2017,,,,,,
640000,宁夏回族自治区,2016,,,,,,
640000,宁夏回族自治区,2015,,,,,,
640000,宁夏回族自治区,2014,,,,,,
640000,宁夏回族自治区,2013,,,,,,
640000,宁夏回族自治区,2012,,,,,,
640000,宁夏回族自治区,2011,,,2265,2,,1
640000,宁夏回族自治区,2010,665,410,2107,165,29,1
640000,宁夏回族自治区,2009,720,1380,816,,2,
640000,宁夏回族自治区,2008,66,80,696,7,4,
640000,宁夏回族自治区,2007,835,288,,80,50,1
640000,宁夏回族自治区,2006,,,465,12,,1
640000,宁夏回族自治区,2005,,,3396,,,2
640000,宁夏回族自治区,2004,,,1293,,105,
640000,宁夏回族自治区,2003,204,1120,2356,,,1
640000,宁夏回族自治区,2002,,410,1062,,12,1
640000,宁夏回族自治区,2001,,,486,,12,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,,,,,,
650000,新疆维吾尔自治区,2018,,,,,,
650000,新疆维吾尔自治区,2017,,,,,,
650000,新疆维吾尔自治区,2016,,,,,,
650000,新疆维吾尔自治区,2015,,,,,,
650000,新疆维吾尔自治区,2014,,,,,,
650000,新疆维吾尔自治区,2013,,,,,,
650000,新疆维吾尔自治区,2012,,,,,,
650000,新疆维吾尔自治区,2011,449,988,11633,4060,16,2
650000,新疆维吾尔自治区,2010,1425,3838,6660,1932,46,3
650000,新疆维吾尔自治区,2009,411,2649,5330,30,593,1
650000,新疆维吾尔自治区,2008,3364,2208,13142,22,173,2
650000,新疆维吾尔自治区,2007,516,2988,4545,108,92,4
650000,新疆维吾尔自治区,2006,185,2565,5034,,31,5
650000,新疆维吾尔自治区,2005,598,5245,7543,21,33,2
650000,新疆维吾尔自治区,2004,280,3967,6581,27,40,3
650000,新疆维吾尔自治区,2003,480,3982,4491,38,59,1
650000,新疆维吾尔自治区,2002,243,,3420,15,71,2
650000,新疆维吾尔自治区,2001,315,1526,1054,,,
650000,新疆维吾尔自治区,2000,,,,,,
