省份编码,省份,年份,居民消费水平(元),城镇居民消费水平(元),农村居民消费水平(元),居民消费水平指数(上年=100),城镇居民消费水平指数(上年=100),农村居民消费水平指数(上年=100)
130000,河北省,2012,10749.4207744758,16553.889342528,5765.99811177378,108.117705844271,104.125801045214,112.130097573304
130000,河北省,2011,9550.50948724273,15330.7250426952,4892.70772864664,113.745860154432,108.333355028321,120.506377120663
130000,河北省,2010,8057,13619,3867,110.6,110.4,105.3
130000,河北省,2009,7193,12195,3606,110.7,112.0,103.7
130000,河北省,2008,6498.4,10835.4,3514.7,111.0,104.9,110.3
130000,河北省,2007,5667,10031,3067,111.6,109.2,108.3
130000,河北省,2006,4924,8971,2714,113.5,111.9,111.1
130000,河北省,2005,4270,7851,2426,110.2,106.8,109.8
130000,河北省,2004,3758.2,7096.3,2167,111.9,113.5,104.9
130000,河北省,2003,3271.2,6063,2041.6,106.7,104.0,105.4
130000,河北省,2002,3081.2,5775.5,1987,107.9,109.5,102.2
130000,河北省,2001,2749.1,4991.3,1912.1,107.4,108.3,103.2
130000,河北省,2000,2532.8,4523.3,1848,106.6,100.8,109.0
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,18132,23345,11284,118.8,116.5,121.4
140000,山西省,2016,15065,19724,9226,103.7,102.5,103.7
140000,山西省,2015,14363.6831106881,19017.7646857752,8808.66382672346,111.476055866393,112.113026027997,106.422317661062
140000,山西省,2014,12622,17189,7692,105.0,102.4,107.2
140000,山西省,2013,12078,16341,7476,110.5,107.5,113.5
140000,山西省,2012,10828.9909469225,15090.8870910081,6485.17293570267,112.557283773617,108.826346770344,116.590430242306
140000,山西省,2011,9745.59812484304,14054.9861535387,5626.70887112178,109.6,105.5,113.5
140000,山西省,2010,8447,12680,4687,109.4,106.3,111.7
140000,山西省,2009,6854,10617,3705,105.6,104.5,104.7
140000,山西省,2008,6519,10262,3510,108.698912635921,103.657418023389,117.107195301028
140000,山西省,2007,5693,9252,2951,111.6,109.3,113.1
140000,山西省,2006,4883,8143,2468,114.6,112.4,112.2
140000,山西省,2005,4172,7104,2146,109.8,106.9,109.3
140000,山西省,2004,3676,6441,1891,109.8,106.9,109.4
140000,山西省,2003,3011,5172,1660,107.6,106.6,102.4
140000,山西省,2002,2720,4764,1541,123.4,132.0,106.9
140000,山西省,2001,2180,3552,1441,106.6,82.1,118.8
140000,山西省,2000,2037.05729,4311,1208.54525,111.2,111.2,109.8
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,23909,29971,14184,104.3,102.7,106.9
150000,内蒙古自治区,2016,22293,28289,13013,105.5,104.2,107.2
150000,内蒙古自治区,2015,20834.8717866926,26872.250214658,11814.3485092587,104.629816123109,103.595077108885,105.436479078975
150000,内蒙古自治区,2014,19827,25885,11070,108.7,107.8,108.6
150000,内蒙古自治区,2013,17168,23590,8218,109.9,107.7,113.7
150000,内蒙古自治区,2012,15195.5120726693,21307.8286807744,7032.43324501569,111.651882681053,109.640329373485,113.909264831135
150000,内蒙古自治区,2011,13264,18996,5945,114.3,111.2,117.6
150000,内蒙古自治区,2010,10925,16136,4692,111.1,107.4,114.9
150000,内蒙古自治区,2009,9460,14323,4072,115.0,115.3,105.3
150000,内蒙古自治区,2008,8354,12863,3673,109.1,105.8,112.5
150000,内蒙古自治区,2007,7062,10930,3286,118.1,118.0,110.9
150000,内蒙古自治区,2006,5746,8930,2816,113.4,111.0,113.7
150000,内蒙古自治区,2005,4967,7887,2426,110.2,106.9,114.6
150000,内蒙古自治区,2004,4042.2,6415,2077,110.748146972556,111.897662840548,103.689927177657
150000,内蒙古自治区,2003,3565,5593,1945,104.706747620469,103.551679892462,105.09427954859
150000,内蒙古自治区,2002,3341,5327,1793,113.87965081846,118.89658491624,100.596096015943
150000,内蒙古自治区,2001,2867.8,4431.3,1694.4,106.193666034014,108.89935474301,97.9987212276215
150000,内蒙古自治区,2000,2687.14092598851,4044.86452494011,1720.40799077811,105.303844289609,103.1,106.2
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,24866,30342,13528,103.4,102.6,106.9
210000,辽宁省,2016,23670,29254,12145,110.1,110.4,107.8
210000,辽宁省,2015,23693.109029155,28567.2610829752,13707.1116331112,108.603983816217,107.070816444737,113.794132572344
210000,辽宁省,2014,22260,27282,12178,108.7,106.6,115.7
210000,辽宁省,2013,20156,25161,10417,109.5,106.7,117.6
210000,辽宁省,2012,17998.746038622,23064.8886763863,8651.73932502643,110.377386065355,107.678883443434,114.269718040724
210000,辽宁省,2011,15635,20560,7221,114.3,117.2,107.4
210000,辽宁省,2010,13016,17488,5955,113.4,112.4,112.5
210000,辽宁省,2009,10906,14786,5039,112.2,111.1,114.0
210000,辽宁省,2008,9690,13265,4409,116.9,117.2,112.2
210000,辽宁省,2007,7934,10845,3727,110.1,112.4,100.1
210000,辽宁省,2006,6926,9317,3508,106.6,106.0,108.6
210000,辽宁省,2005,6447,8749,3175,111.6,107.5,114.2
210000,辽宁省,2004,5492,7748,2621,106.5,108.4,99.7
210000,辽宁省,2003,5159,7147,2630,105.3,103.6,109.1
210000,辽宁省,2002,5095,7874,2643,108.4,108.4,107.2
210000,辽宁省,2001,4789,7366,2540,107.6,107.8,106.1
210000,辽宁省,2000,4490,6903,2403,108.4,108.2,107.9
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,15083,19552,9244,106.2,105.6,105.9
220000,吉林省,2016,13786,18144,8390,103.4,102.6,104.8
220000,吉林省,2015,14629.9821275483,19358.3780324473,8837.00440528634,107.655702960458,105.18462221807,112.997393080741
220000,吉林省,2014,13663,18549,7810,105.5,105.6,103.6
220000,吉林省,2013,13676,18714,7773,112.6,110.6,116.9
220000,吉林省,2012,12276.256313843,16873.1070637928,6976.74054473002,110.66521027441,111.023167374212,109.101582970984
220000,吉林省,2011,10811,14804,6239,110.8,107.5,120.9
220000,吉林省,2010,9241,13090,4842,103.9,104.2,102.2
220000,吉林省,2009,8538,12085,4494,110.7,111.0,109.2
220000,吉林省,2008,7629,10891,3922,108.2,107.8,108.6
220000,吉林省,2007,6675,9598,3369,110.9,111.7,107.0
220000,吉林省,2006,5710,8166,2969,108.5,105.8,116.2
220000,吉林省,2005,5191,7630,2504,110.0,108.5,113.3
220000,吉林省,2004,4601,6869,2139,109.6,109.0,107.9
220000,吉林省,2003,4557,6830,2161,116.2,109.4,107.0
220000,吉林省,2002,3869,6153,2001,107.0,107.1,103.9
220000,吉林省,2001,3651,5813,1935,107.7,108.1,106.6
220000,吉林省,2000,3346,5309,1792,105.6,107.0,99.2
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,18859,24012,11352,107.3,106.6,108.8
230000,黑龙江省,2016,17393,22318,10305,105.6,104.2,108.5
230000,黑龙江省,2015,16443.2968179447,21659.667266187,9237.57763975155,106.806822054957,106.46764076183,106.825026193233
230000,黑龙江省,2014,15215,20068,8594,116.1,115.4,116.3
230000,黑龙江省,2013,12978,17102,7478,109.7,108.5,111.8
230000,黑龙江省,2012,11600.7824726135,15537.9626009154,6445.32120591513,105.794095610801,104.813883267147,106.634825203703
230000,黑龙江省,2011,10634,14347,5898,109.8,107.7,115.0
230000,黑龙江省,2010,9121,12578,4794,112.3,114.2,105.7
230000,黑龙江省,2009,7922,10784,4360,111.1,109.4,113.4
230000,黑龙江省,2008,7135,9842,3873,112.5,109.8,117.2
230000,黑龙江省,2007,6037,8564,3106,111.5,110.0,114.7
230000,黑龙江省,2006,5141,7410,2552,104.5,104.6,102.9
230000,黑龙江省,2005,4822,6958,2419,112.1,109.4,121.2
230000,黑龙江省,2004,4212,6321,1864,104.8,104.3,106.5
230000,黑龙江省,2003,3919,5903,1720,109.9,114.0,95.6
230000,黑龙江省,2002,3516,5149,1713,106.5,106.5,105.0
230000,黑龙江省,2001,3333,4867,1661,106.4,107.2,102.8
230000,黑龙江省,2000,3105,4504,1594,108.6,113.5,102.9
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,53617,57507,25622,107.3,107.2,107.6
310000,上海市,2016,49617,53240,23660,106.7,107.6,101.4
310000,上海市,2015,45815.7300028507,48750.1107437785,23004.9296795708,106.460362299636,107.434695852249,100.66209802573
310000,上海市,2014,43007,45352,22803,107.3,107.3,108.3
310000,上海市,2013,39223,41464,20221,107.3,107.0,110.3
310000,上海市,2012,36892.8568406982,39095.2155376599,18512.2954060251,106.01057409756,106.002142077465,106.160123324776
310000,上海市,2011,35439,37558,17757,106.5,105.9,114.3
310000,上海市,2010,32271,34588,13609,109.9,109.7,108.3
310000,上海市,2009,26582,28428,12240,105.7,105.9,103.9
310000,上海市,2008,25167,26909,11563,105.9,106.2,102.3
310000,上海市,2007,22889,24429,10802,110.2,111.0,98.8
310000,上海市,2006,20022,21216,10462,109.9,109.6,110.7
310000,上海市,2005,17894,18996,9245,109.7,107.2,120.1
310000,上海市,2004,15937,17304,7465,111.1,110.0,107.3
310000,上海市,2003,14013,15374,6800,109.7,108.5,108.5
310000,上海市,2002,12627,14003,6213,108.4,108.3,104.0
310000,上海市,2001,11660,12951,5976,105.6,105.3,104.2
310000,上海市,2000,11060,12323,5774,107.3,107.3,102.1
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,39796,45865,26755,109.3,107.7,112.2
320000,江苏省,2016,35875,41957,23459,109.1,107.7,110.6
320000,江苏省,2015,31682.4398012598,37515.1572890269,20427.6275878804,110.2,108.5,113.100223453723
320000,江苏省,2014,28316,34074,17780,111.9,110.4,114.0
320000,江苏省,2013,23585,28753,14571,116.6,114.7,119.6
320000,江苏省,2012,19452.2593369914,24100.5733397038,11721.3258269583,114.227590142835,112.587534139832,115.899264562289
320000,江苏省,2011,17166.5015658156,21597.7028038757,10164.2080459488,114.0,110.3,115.9
320000,江苏省,2010,14035,18243,8196,111.4,108.9,109.3
320000,江苏省,2009,11993,15965,7147,113.0,110.8,115.2
320000,江苏省,2008,10881.8574147224,14752.1285171441,6383.56041967455,109.991550327626,108.817282725934,109.453029021073
320000,江苏省,2007,9530.25563129479,12989.7463372264,5698.49797171363,112.425525866835,110.488299446931,113.166683502466
320000,江苏省,2006,8182.1843491495,11363.4622406426,4844.0354639009,112.794718421309,109.876178704238,114.101721450579
320000,江苏省,2005,7066.40575626407,10060.375880761,4149.86080210907,113.209435133441,112.071063150555,109.764129004096
320000,江苏省,2004,5912.98775420292,8603.52082873464,3480.83150739948,113.573264632295,118.861491818278,99.5458530755182
320000,江苏省,2003,5260.71101781581,7263.43072157124,3572.55690652674,111.689894131127,118.518439107713,98.5770382407426
320000,江苏省,2002,4707.56609649675,6110.83354797067,3620.41774050852,109.592468901055,110.482807232386,106.362191568398
320000,江苏省,2001,4123.27315712636,5357.78247732182,3227.43712853487,107.396796669547,101.940900881278,108.935180624905
320000,江苏省,2000,3872.6799937003,5312.26959664803,2981.15590341078,106.499024392404,99.862558605263,107.284764940393
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,33851,38730,23717,107.2,107.3,104.8
330000,浙江省,2016,30743,35152,22028,105.4,103.7,108.8
330000,浙江省,2015,28711.5415950032,33358.5768319548,19952.5239599927,106.013708963326,103.941913300306,110.970118574654
330000,浙江省,2014,26885,32186,17281,107.3,105.7,110.8
330000,浙江省,2013,24771,30101,15458,107.4,105.8,110.6
330000,浙江省,2012,22844.7479986325,28259.1785483298,13723.5896051631,106.016966311351,104.541040148181,108.7851111179
330000,浙江省,2011,21346.2920458462,26856.4116219895,12371.1300458804,110.7,107.7,113.6
330000,浙江省,2010,18274,23655,10273,110.5,107.0,115.1
330000,浙江省,2009,15867,21204,8571,112.4,112.7,110.1
330000,浙江省,2008,14264,19002,7881,109.1,109.0,106.9
330000,浙江省,2007,12730,16986,7169,111.6,104.1,113.1
330000,浙江省,2006,11099,15837,6216,113.6,111.6,112.5
330000,浙江省,2005,9558,13843,5439,113.6,113.9,108.2
330000,浙江省,2004,8174,11771,4918,112.544838077288,115.598601318904,104.381595981036
330000,浙江省,2003,7033,9907,4504,113.908590643859,111.514295857985,109.191717977215
330000,浙江省,2002,6098,8839,4012,110.984927001995,106.450932901458,111.569279221619
330000,浙江省,2001,5551,8404.49239207496,3621,109.137055737507,105.217448881875,110.461481672907
330000,浙江省,2000,5099.07965806245,8019.81559450527,3278.45812826879,109.86496612255,103.828168223711,112.83971947284
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,17141,23888,9610,108.1,105.6,109.7
340000,安徽省,2016,15466,22030,8565,108.1,105.8,109.3
340000,安徽省,2015,13940.964298859,20250.8781720889,7674.35567220384,107.228894167658,104.837539463157,108.826205975787
340000,安徽省,2014,12944,19259,6994,107.0,104.1,109.8
340000,安徽省,2013,11618,17779,6114,103.8,102.1,100.5
340000,安徽省,2012,10977.7341378105,16131.3491567359,5647.79180830467,106.647390626064,105.30294712532,103.780611881493
340000,安徽省,2011,10054.6918238994,14923.3322632862,5356.22948442464,115.3,106.5,113.3
340000,安徽省,2010,8237,13259,4447,114.511975464481,111.256566315093,114.885867103174
340000,安徽省,2009,6829,11301,3683,110.3,107.9,108.8
340000,安徽省,2008,6006,10196,3259,110.9,108.4,109.3
340000,安徽省,2007,5276,9204,2878,112.9,109.8,111.3
340000,安徽省,2006,4409,7886,2427,112.1,109.2,110.5
340000,安徽省,2005,3870,7102,2167,110.4,106.3,110.4
340000,安徽省,2004,3707,5343,2910,101.4,130.4,71.5
340000,安徽省,2003,3312,4933,2572,108.0,109.8,104.7
340000,安徽省,2002,2988,4468,2353,105.9,111.5,101.0
340000,安徽省,2001,2739,5806,1985,106.3,109.1,104.1
340000,安徽省,2000,2588,5323,1922,104.3,108.0,100.7
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,25969,30474,17885,109.4,107.3,113.5
350000,福建省,2016,23355,27859,15653,110.9,109.3,113.8
350000,福建省,2015,20828.0444735121,25202.2712933754,13631.0034602076,108.823561017906,106.506844244349,114.01609382818
350000,福建省,2014,19099,23642,11908,107.9,105.9,111.1
350000,福建省,2013,17115,21725,10147,107.1,105.4,108.1
350000,福建省,2012,16143.8671665774,20722.2753128555,9595.83468922877,106.964489873569,104.627677366473,110.393299241068
350000,福建省,2011,14958.3434506947,19761.5835090185,8436.38676844784,106.8,105.3,106.2
350000,福建省,2010,13187,17900,7169,108.1,106.7,104.9
350000,福建省,2009,11336,15662,6248,111.1,108.4,112.3
350000,福建省,2008,10645,15072,5811,108.0,105.7,109.8
350000,福建省,2007,8943,12896,4846,106.7,105.9,105.2
350000,福建省,2006,7971,11630,4325,111.5,107.9,108.6
350000,福建省,2005,6793,10296,3730,108.5,106.6,109.1
350000,福建省,2004,6144,9502,3335,107.3,106.4,105.6
350000,福建省,2003,5524,8571,3052,108.7,111.5,104.8
350000,福建省,2002,5076,7642,2915,107.2,109.4,103.7
350000,福建省,2001,4770,7125,2811,105.1,107.7,101.7
350000,福建省,2000,4574,6648,2788,107.1,104.6,106.0
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,17290,21815,12009,108.2,105.2,111.8
360000,江西省,2016,16040,20335,11320,108.9,105.8,112.3
360000,江西省,2015,14488.9215836975,19362.3352149483,9432.43086036949,109.259425099861,106.657014324181,112.140768976993
360000,江西省,2014,12000,16914,7429,110.1,106.3,113.7
360000,江西省,2013,11910,16728,7429,110.0,106.3,113.7
360000,江西省,2012,10572.9295247754,15327.4127662824,6422.79030437336,110.525482126261,106.7412871184,113.428014094236
360000,江西省,2011,9522.51779190454,14028.9248998083,5852.92090647424,111.6,108.0,115.3
360000,江西省,2010,7989,12353,4613,111.9,108.3,114.8
360000,江西省,2009,6212,9833,3560,112.3,108.9,113.4
360000,江西省,2008,5805,9642,3184,114.8,93.4,105.4
360000,江西省,2007,4676,9105,3061,108.4,110.3,105.9
360000,江西省,2006,4117,7738,2810,125.0,129.2,120.1
360000,江西省,2005,3821,7329,2576,109.6,109.5,108.1
360000,江西省,2004,3353,6300,2342,111.6,110.8,109.8
360000,江西省,2003,2739,5127,1964,102.9,99.6,104.0
360000,江西省,2002,2651,5138,1879,106.0,106.0,104.3
360000,江西省,2001,2500,4845,1801,104.8,108.0,101.2
360000,江西省,2000,2395.75487,4487.75682,1792.81103,116.6,117.2,114.9
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,28353,34955,18530,108.6,105.2,113.9
370000,山东省,2016,25860,33016,15970,108.5,104.6,114.2
370000,山东省,2015,20684.201949421,26992.6829977889,12651.0032925965,109.041909963208,105.241495821844,114.976803909287
370000,山东省,2014,19184,25869,11215,110.1,106.6,116.1
370000,山东省,2013,16728,23358,9224,110.1,107.7,112.0
370000,山东省,2012,15094.9946538013,21527.7774996546,8212.19211189387,110.435845485177,106.854752846466,115.62698894776
370000,山东省,2011,13524,19923,7041,109.6,112.437234478583,122.544297890729
370000,山东省,2010,11606,17717,5730,110.3,108.4,111.6
370000,山东省,2009,10494,16027,5395,110.8,109.5,111.1
370000,山东省,2008,9673,14815,5081,113.3,112.9,111.0
370000,山东省,2007,8142,12633,4251,113.6,111.8,114.1
370000,山东省,2006,7064,11193,3608,115.4,113.9,113.7
370000,山东省,2005,5916,9453,3109,115.2,113.2,113.0
370000,山东省,2004,4924,7965,2662,109.9,106.8,108.2
370000,山东省,2003,4351,6974,2467,107.5,106.7,107.5
370000,山东省,2002,3924,6232,2366,108.1,105.4,105.4
370000,山东省,2001,3726,6020,2260,107.6,105.340839926963,108.630952380952
370000,山东省,2000,3447,5603,2118,108.2,108.460019,107.504638
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,17842,25593,10294,109.0,106.8,109.1
410000,河南省,2016,16043,23454,9291,109.0,105.9,110.6
410000,河南省,2015,14507.2636921125,21820.5270158206,8270.78774724231,110.514298435623,107.984934146925,110.977409201607
410000,河南省,2014,13078,20111,7439,108.6,104.2,113.7
410000,河南省,2013,11782,18833,6438,109.6,106.7,110.2
410000,河南省,2012,10380.3447908907,17103.723165652,5607.64226902607,110.394639027708,106.754712190231,111.104179034785
410000,河南省,2011,9171,15616,4929,112.0,107.6,114.9
410000,河南省,2010,7837,13958,4061,114.1,113.1,110.3
410000,河南省,2009,6607,11884,3528,112.4,110.1,110.0
410000,河南省,2008,5877,10797,3208,114.3,110.8,113.2
410000,河南省,2007,5141,9743,2833,109.1,105.8,107.3
410000,河南省,2006,4530,8810,2556,112.3,108.3,111.6
410000,河南省,2005,4092,8145,2372,107.7,105.2,105.1
410000,河南省,2004,3625,7394,2156,109.5,105.6,108.8
410000,河南省,2003,3083,6585,1819,108.6,109.3,104.7
410000,河南省,2002,2553,5986,1734,108.6,109.9,105.1
410000,河南省,2001,2381,5562,1647,106.9,108.0,106.1
410000,河南省,2000,2215,5090,1551,113.5,111.8,113.6
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,21642,28121,12432,109.4,107.0,113.2
420000,湖北省,2016,19391,25703,10860,109.7,107.7,111.7
420000,湖北省,2015,17429.3893293336,23560.9151206969,9542.12325009014,109.178167713658,106.478701442008,109.218975974301
420000,湖北省,2014,15762,21854,8608,110.8,108.8,111.7
420000,湖北省,2013,13912,19156,7755,110.6,108.2,112.7
420000,湖北省,2012,12282.9985559529,17296.0616184724,6705.20718120756,109.672696180575,105.58185753944,114.499491926322
420000,湖北省,2011,10872.7915009694,15935.4519938787,5652.59847088418,121.1,117.4,118.810679781815
420000,湖北省,2010,8977,13576,4758,115.2,112.4,115.0
420000,湖北省,2009,7791,12080,4137,105.3,103.7,106.3
420000,湖北省,2008,7399,11650,3892,113.3,112.3,113.1
420000,湖北省,2007,6513,10593,3300,118.9,118.4,117.3
420000,湖北省,2006,5480,8944,2813,113.3,112.3,113.1
420000,湖北省,2005,4883,8051,2503,113.3,110.6,117.3
420000,湖北省,2004,4309,7277,2134,107.3,107.6,103.7
420000,湖北省,2003,3853,6547,1926,109.0,110.8,101.1
420000,湖北省,2002,3263,7899,1418,111.5,114.0,104.1
420000,湖北省,2001,2962,7042,1365,110.0,111.9,104.7
420000,湖北省,2000,2680,6250,1302,104.5,106.0,101.2
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,19418,26244,11504,108.0,106.2,107.0
430000,湖南省,2016,17490,24025,10461,108.0,106.5,106.7
430000,湖南省,2015,16288.8490475049,22770.3780271707,9784.53768960387,107.360364752551,105.750755314446,107.020629562686
430000,湖南省,2014,14384,21227,7908,109.2,106.6,111.2
430000,湖南省,2013,12920,19508,7005,108.1,105.6,109.0
430000,湖南省,2012,11739.5266318688,18060.1351195554,6381.808383802,109.242779083547,105.730680875985,111.415634470765
430000,湖南省,2011,10547,16783,5607,109.6,107.6,110.5
430000,湖南省,2010,8922,14707,4513,109.1,109.7,105.3
430000,湖南省,2009,7929,13000,4154,108.9,107.8,106.1
430000,湖南省,2008,7152,11749,3914,109.0,107.0,106.4
430000,湖南省,2007,6254,10551,3437,111.4,109.9,107.6
430000,湖南省,2006,5508,9491,3081,107.8,106.4,104.7
430000,湖南省,2005,4952,8623,2863,109.7,106.6,108.7
430000,湖南省,2004,4355,7731,2576,109.7,108.1,106.0
430000,湖南省,2003,3729,6851,2209,109.0,110.2,103.0
430000,湖南省,2002,3366,6126,2103,103.9,101.4,103.9
430000,湖南省,2001,3242,6050,2024,107.7,106.2,103.0
430000,湖南省,2000,3034,5770,1969,103.2,105.5,100.8
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,30762,37257,15943,105.2,104.3,107.6
440000,广东省,2016,28495,34667,14784,105.7,104.9,107.0
440000,广东省,2015,26364.9747369397,32392.5824559595,13343.7830521187,106.813784628486,106.24255533248,107.468300250775
440000,广东省,2014,24581.7484088356,30216.2174475044,12674.0385857217,108.340071747436,106.932207806941,113.365721483054
440000,广东省,2013,23739.0149731613,30439.542012187,9913.5497131988,106.434369560322,105.50709625629,108.006903044352
440000,广东省,2012,21823.2807242049,28268.6081613808,8898.19813403604,108.264164464099,107.900592477178,107.725892815685
440000,广东省,2011,19578.1234931447,25526.7551548543,7853.79345559763,107.931174164352,105.262613918543,114.1
440000,广东省,2010,17210.8716481823,23159.3350907802,6255.00966458746,109.326130887394,107.492508424823,109.421497039068
440000,广东省,2009,15243.2530680299,20852.4623575522,5532.95818178583,110.871391439102,111.285726826587,106.88229531966
440000,广东省,2008,13910.6326394927,19101.0739526196,4974.97328128428,107.123982838087,107.113292905446,105.626760860668
440000,广东省,2007,12335.7898478608,16981.7617746807,4401.00851398849,112.881512054456,112.578102052737,104.971606799006
440000,广东省,2006,10619.3312216578,14695.4263404208,4009.51140250084,107.434987380436,106.933006102387,102.207301624929
440000,广东省,2005,9799.18774781941,13608.6612916078,3915.35074553566,110.040217690111,108.557431269536,113.180227173404
440000,广东省,2004,8799.56365068598,12408.5499651496,3386.07918792958,115.945012119294,107.896032334379,108.190567933635
440000,广东省,2003,7341.92096072339,11135.6341183274,3031.86789733413,117.004132006667,106.387513644655,103.352366925872
440000,广东省,2002,6199.47564015972,10358.084902814,2903.82854059824,113.154032048975,110.18681990569,105.734125195632
440000,广东省,2001,5445.10628418595,9311.60796885199,2758.99330989984,101.941218735845,100.316960403162,103.013560224135
440000,广东省,2000,5304.86662140162,9189.43334409491,2679.73345445625,100.155799181095,100.190262961163,98.683547954265
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,16064,22970,9371,106.5,102.4,113.4
450000,广西壮族自治区,2016,15013,22491,8225,106.3,103.7,109.1
450000,广西壮族自治区,2015,13856.6722268557,21075.9415152858,7439.22804253643,107.303554285683,104.359739024605,110.909679416437
450000,广西壮族自治区,2014,12944,20518,6644,107.6,103.8,112.4
450000,广西壮族自治区,2013,11710,19185,5795,109.1,107.9,105.4
450000,广西壮族自治区,2012,10519.4810764447,17457.1859296482,5355.45165513372,110.310309240022,107.514443908241,109.456909300417
450000,广西壮族自治区,2011,9180.5510534846,15681.3553241107,4670.84650972125,108.4,105.2,112.4
450000,广西壮族自治区,2010,7920,14017,3842,111.0,109.0,108.6
