省份编码,省份,年份,国际旅游外汇收入(百万美元)
340000,安徽省,2018,3187.57
340000,安徽省,2017,2880.78
340000,安徽省,2016,2542.36
340000,安徽省,2015,2262.87
340000,安徽省,2014,1840.26
340000,安徽省,2013,1660.42
340000,安徽省,2012,1562.67
340000,安徽省,2011,1179.18
340000,安徽省,2010,708.98
340000,安徽省,2009,565.84
340000,安徽省,2008,454.45
340000,安徽省,2007,344.0
340000,安徽省,2006,226.73
340000,安徽省,2005,185.58
340000,安徽省,2004,140.69
340000,安徽省,2003,83.41
340000,安徽省,2002,124.0
340000,安徽省,2001,105.68
340000,安徽省,2000,86.21
350000,福建省,2019,3398.45
350000,福建省,2018,2828.21
350000,福建省,2017,7588.03
350000,福建省,2016,6625.69
350000,福建省,2015,5561.4
350000,福建省,2014,4911.8
350000,福建省,2013,4573.38
350000,福建省,2012,4225.67
350000,福建省,2011,3634.44
350000,福建省,2010,2978.24
350000,福建省,2009,2599.23
350000,福建省,2008,2393.53
350000,福建省,2007,2169.0
350000,福建省,2006,1471.1
350000,福建省,2005,1305.29
350000,福建省,2004,1065.07
350000,福建省,2003,914.87
350000,福建省,2002,1100.0
350000,福建省,2001,942.02
350000,福建省,2000,893.82
360000,江西省,2019,865.38
360000,江西省,2018,745.38
360000,江西省,2017,629.92
360000,江西省,2016,584.54
360000,江西省,2015,567.0
360000,江西省,2014,556.87
360000,江西省,2013,525.08
360000,江西省,2012,484.73
360000,江西省,2011,415.0
360000,江西省,2010,346.03
360000,江西省,2009,289.75
360000,江西省,2008,251.7
360000,江西省,2007,196.0
360000,江西省,2006,139.61
360000,江西省,2005,103.95
360000,江西省,2004,79.76
360000,江西省,2003,47.46
360000,江西省,2002,72.0
360000,江西省,2001,70.3
360000,江西省,2000,62.34
370000,山东省,2019,3413.14
370000,山东省,2018,3292.82
370000,山东省,2017,3174.04
370000,山东省,2016,3063.42
370000,山东省,2015,2896.48
370000,山东省,2014,2330.1
370000,山东省,2013,2731.2
370000,山东省,2012,2923.65
370000,山东省,2011,2550.76
370000,山东省,2010,2155.04
370000,山东省,2009,1765.3
370000,山东省,2008,1391.1
370000,山东省,2007,1352.0
370000,山东省,2006,1014.05
370000,山东省,2005,780.23
370000,山东省,2004,566.55
370000,山东省,2003,370.13
370000,山东省,2002,472.0
370000,山东省,2001,382.41
370000,山东省,2000,315.13
410000,河南省,2019,946.96
410000,河南省,2018,723.23
410000,河南省,2017,661.55
410000,河南省,2016,646.5
410000,河南省,2015,623.6
410000,河南省,2014,538.37
410000,河南省,2013,659.98
410000,河南省,2012,611.41
410000,河南省,2011,549.03
410000,河南省,2010,498.77
410000,河南省,2009,433.03
410000,河南省,2008,374.44
410000,河南省,2007,318.0
410000,河南省,2006,273.76
410000,河南省,2005,216.04
410000,河南省,2004,160.01
410000,河南省,2003,63.44
410000,河南省,2002,145.0
410000,河南省,2001,133.36
410000,河南省,2000,123.9
420000,湖北省,2019,2654.16
420000,湖北省,2018,2379.69
420000,湖北省,2017,2104.74
420000,湖北省,2016,1872.39
420000,湖北省,2015,1671.9
420000,湖北省,2014,1238.51
420000,湖北省,2013,1218.92
420000,湖北省,2012,1202.97
420000,湖北省,2011,940.18
420000,湖北省,2010,751.16
420000,湖北省,2009,510.2
420000,湖北省,2008,442.55
420000,湖北省,2007,413.0
420000,湖北省,2006,320.0
420000,湖北省,2005,276.36
420000,湖北省,2004,192.4
420000,湖北省,2003,136.27
420000,湖北省,2002,284.0
420000,湖北省,2001,200.75
420000,湖北省,2000,145.72
430000,湖南省,2019,2250.87
430000,湖南省,2018,1520.41
430000,湖南省,2017,1295.37
430000,湖南省,2016,1004.57
430000,湖南省,2015,857.72
430000,湖南省,2014,799.99
430000,湖南省,2013,822.69
430000,湖南省,2012,928.36
430000,湖南省,2011,1014.34
430000,湖南省,2010,906.22
430000,湖南省,2009,672.7
430000,湖南省,2008,617.42
430000,湖南省,2007,642.0
430000,湖南省,2006,503.36
430000,湖南省,2005,390.24
430000,湖南省,2004,313.08
430000,湖南省,2003,45.77
430000,湖南省,2002,311.0
430000,湖南省,2001,270.7
430000,湖南省,2000,220.78
440000,广东省,2019,20521.31
440000,广东省,2018,20511.74
440000,广东省,2017,19960.4
440000,广东省,2016,18577.13
440000,广东省,2015,17884.66
440000,广东省,2014,17106.36
440000,广东省,2013,16278.07
440000,广东省,2012,15610.67
440000,广东省,2011,13906.19
440000,广东省,2010,12382.61
440000,广东省,2009,10028.13
440000,广东省,2008,9174.98
440000,广东省,2007,8706.0
440000,广东省,2006,7532.79
440000,广东省,2005,6388.05
440000,广东省,2004,5378.21
440000,广东省,2003,4266.93
440000,广东省,2002,5091.0
440000,广东省,2001,4483.51
440000,广东省,2000,4112.21
450000,广西壮族自治区,2019,3511.28
450000,广西壮族自治区,2018,2777.73
450000,广西壮族自治区,2017,2395.63
450000,广西壮族自治区,2016,2164.27
450000,广西壮族自治区,2015,1916.86
450000,广西壮族自治区,2014,1572.07
450000,广西壮族自治区,2013,1547.3
450000,广西壮族自治区,2012,1278.87
450000,广西壮族自治区,2011,1051.88
450000,广西壮族自治区,2010,806.15
450000,广西壮族自治区,2009,643.34
450000,广西壮族自治区,2008,601.66
450000,广西壮族自治区,2007,577.0
450000,广西壮族自治区,2006,423.12
450000,广西壮族自治区,2005,358.93
450000,广西壮族自治区,2004,287.91
450000,广西壮族自治区,2003,164.34
450000,广西壮族自治区,2002,321.0
450000,广西壮族自治区,2001,300.63
450000,广西壮族自治区,2000,306.61
460000,海南省,2019,972.37
460000,海南省,2018,770.52
460000,海南省,2017,681.02
460000,海南省,2016,349.89
460000,海南省,2015,248.52
460000,海南省,2014,268.63
460000,海南省,2013,337.48
460000,海南省,2012,348.02
460000,海南省,2011,376.15
460000,海南省,2010,322.36
460000,海南省,2009,276.66
460000,海南省,2008,313.88
460000,海南省,2007,302.0
460000,海南省,2006,229.12
460000,海南省,2005,128.46
460000,海南省,2004,81.6
460000,海南省,2003,79.57
460000,海南省,2002,92.0
460000,海南省,2001,106.02
460000,海南省,2000,108.83
500000,重庆市,2019,2524.83
500000,重庆市,2018,2189.89
500000,重庆市,2017,1947.59
500000,重庆市,2016,1686.82
500000,重庆市,2015,1468.57
500000,重庆市,2014,1354.44
500000,重庆市,2013,1268.31
500000,重庆市,2012,1168.32
500000,重庆市,2011,968.06
500000,重庆市,2010,703.2
500000,重庆市,2009,537.21
500000,重庆市,2008,449.78
500000,重庆市,2007,382.0
500000,重庆市,2006,308.72
500000,重庆市,2005,264.36
500000,重庆市,2004,203.08
500000,重庆市,2003,113.23
500000,重庆市,2002,218.0
500000,重庆市,2001,163.41
500000,重庆市,2000,138.4
510000,四川省,2019,2023.79
510000,四川省,2018,1511.65
510000,四川省,2017,1446.54
510000,四川省,2016,1581.68
510000,四川省,2015,1180.87
510000,四川省,2014,857.68
510000,四川省,2013,764.76
510000,四川省,2012,798.15
510000,四川省,2011,593.83
510000,四川省,2010,354.09
510000,四川省,2009,288.56
510000,四川省,2008,153.88
510000,四川省,2007,512.0
510000,四川省,2006,395.23
510000,四川省,2005,315.95
510000,四川省,2004,288.85
510000,四川省,2003,149.59
510000,四川省,2002,200.0
510000,四川省,2001,165.79
510000,四川省,2000,121.87
520000,贵州省,2019,345.03
520000,贵州省,2018,317.63
520000,贵州省,2017,283.27
520000,贵州省,2016,252.71
520000,贵州省,2015,231.33
520000,贵州省,2014,188.8
520000,贵州省,2013,201.43
520000,贵州省,2012,168.94
520000,贵州省,2011,135.07
520000,贵州省,2010,129.58
520000,贵州省,2009,110.44
520000,贵州省,2008,116.97
520000,贵州省,2007,129.0
520000,贵州省,2006,115.16
520000,贵州省,2005,101.41
520000,贵州省,2004,80.2
520000,贵州省,2003,28.94
520000,贵州省,2002,80.0
520000,贵州省,2001,68.73
520000,贵州省,2000,60.92
530000,云南省,2019,5147.36
530000,云南省,2018,4418.0
530000,云南省,2017,3550.33
530000,云南省,2016,3074.77
530000,云南省,2015,2875.5
530000,云南省,2014,2420.65
530000,云南省,2013,2418.18
530000,云南省,2012,1947.08
530000,云南省,2011,1608.61
530000,云南省,2010,1323.65
530000,云南省,2009,1172.21
530000,云南省,2008,1007.55
530000,云南省,2007,860.0
530000,云南省,2006,658.44
530000,云南省,2005,528.01
530000,云南省,2004,422.45
530000,云南省,2003,340.14
530000,云南省,2002,419.0
530000,云南省,2001,367.01
530000,云南省,2000,339.02
540000,西藏自治区,2019,279.07
540000,西藏自治区,2018,247.09
540000,西藏自治区,2017,197.51
540000,西藏自治区,2016,194.39
540000,西藏自治区,2015,176.66
540000,西藏自治区,2014,144.69
540000,西藏自治区,2013,127.86
540000,西藏自治区,2012,105.7
540000,西藏自治区,2011,129.63
540000,西藏自治区,2010,103.59
540000,西藏自治区,2009,78.73
540000,西藏自治区,2008,31.12
540000,西藏自治区,2007,135.0
540000,西藏自治区,2006,60.94
540000,西藏自治区,2005,44.43
540000,西藏自治区,2004,36.6
540000,西藏自治区,2003,18.91
540000,西藏自治区,2002,52.0
540000,西藏自治区,2001,46.38
540000,西藏自治区,2000,52.26
610000,陕西省,2019,3367.65
610000,陕西省,2018,3126.66
610000,陕西省,2017,2704.4
610000,陕西省,2016,2338.55
610000,陕西省,2015,2000.22
610000,陕西省,2014,1768.73
610000,陕西省,2013,1676.19
610000,陕西省,2012,1597.47
610000,陕西省,2011,1295.05
610000,陕西省,2010,1015.96
610000,陕西省,2009,771.07
610000,陕西省,2008,660.11
610000,陕西省,2007,612.0
610000,陕西省,2006,510.87
610000,陕西省,2005,446.25
610000,陕西省,2004,361.36
610000,陕西省,2003,198.43
610000,陕西省,2002,351.0
610000,陕西省,2001,308.71
610000,陕西省,2000,280.25
620000,甘肃省,2019,59.05
620000,甘肃省,2018,28.3
620000,甘肃省,2017,20.86
620000,甘肃省,2016,19.14
620000,甘肃省,2015,14.18
620000,甘肃省,2014,10.17
620000,甘肃省,2013,20.39
620000,甘肃省,2012,22.35
620000,甘肃省,2011,17.4
620000,甘肃省,2010,14.81
620000,甘肃省,2009,12.54
620000,甘肃省,2008,16.03
620000,甘肃省,2007,70.0
620000,甘肃省,2006,62.93
620000,甘肃省,2005,58.76
620000,甘肃省,2004,43.79
620000,甘肃省,2003,21.17
620000,甘肃省,2002,54.0
620000,甘肃省,2001,44.81
620000,甘肃省,2000,54.63
630000,青海省,2019,33.36
630000,青海省,2018,36.13
630000,青海省,2017,38.29
630000,青海省,2016,44.16
630000,青海省,2015,38.76
630000,青海省,2014,24.74
630000,青海省,2013,19.42
630000,青海省,2012,24.32
630000,青海省,2011,26.59
630000,青海省,2010,20.45
630000,青海省,2009,15.42
630000,青海省,2008,10.15
630000,青海省,2007,16.0
630000,青海省,2006,13.25
630000,青海省,2005,11.02
630000,青海省,2004,9.12
630000,青海省,2003,4.73
630000,青海省,2002,10.0
630000,青海省,2001,9.02
630000,青海省,2000,7.2
640000,宁夏回族自治区,2019,69.32
640000,宁夏回族自治区,2018,55.87
640000,宁夏回族自治区,2017,37.63
640000,宁夏回族自治区,2016,40.58
640000,宁夏回族自治区,2015,20.84
640000,宁夏回族自治区,2014,18.48
640000,宁夏回族自治区,2013,12.08
640000,宁夏回族自治区,2012,5.45
640000,宁夏回族自治区,2011,6.2
640000,宁夏回族自治区,2010,5.99
640000,宁夏回族自治区,2009,4.43
640000,宁夏回族自治区,2008,3.01
640000,宁夏回族自治区,2007,3.0
640000,宁夏回族自治区,2006,2.43
640000,宁夏回族自治区,2005,2.3
640000,宁夏回族自治区,2004,1.71
640000,宁夏回族自治区,2003,0.84
640000,宁夏回族自治区,2002,2.0
640000,宁夏回族自治区,2001,2.73
640000,宁夏回族自治区,2000,2.72
650000,新疆维吾尔自治区,2019,454.0
650000,新疆维吾尔自治区,2018,946.37
650000,新疆维吾尔自治区,2017,810.81
650000,新疆维吾尔自治区,2016,518.73
650000,新疆维吾尔自治区,2015,555.89
650000,新疆维吾尔自治区,2014,497.04
650000,新疆维吾尔自治区,2013,585.02
650000,新疆维吾尔自治区,2012,550.57
650000,新疆维吾尔自治区,2011,465.19
650000,新疆维吾尔自治区,2010,185.42
650000,新疆维吾尔自治区,2009,136.63
650000,新疆维吾尔自治区,2008,135.78
650000,新疆维吾尔自治区,2007,162.0
650000,新疆维吾尔自治区,2006,128.0
650000,新疆维吾尔自治区,2005,100.09
650000,新疆维吾尔自治区,2004,91.08
650000,新疆维吾尔自治区,2003,48.58
650000,新疆维吾尔自治区,2002,99.0
650000,新疆维吾尔自治区,2001,98.56
650000,新疆维吾尔自治区,2000,94.94
