省份编码,省份,年份,年末参加生育保险人数(万人),享受生育保险待遇人数(万人),生育保险基金收入(万元),生育保险基金支出(万元),生育保险累计结余(万元)
340000,安徽省,2017,554.1225,23.5116,116040.0,130765.0,125629.0
340000,安徽省,2016,517.6033,21.8355,119996.0,128821.0,140353.0
340000,安徽省,2015,499.2723,15.9268,107984.0,88911.0,149175.0
340000,安徽省,2014,482.7735,13.5829,95982.0,75767.0,130103.0
340000,安徽省,2013,458.5367,10.6397,80424.0,57553.0,109888.0
340000,安徽省,2012,430.06,8.98,61432.0,46517.0,87018.0
340000,安徽省,2011,400.1066,6.2681,53117.0,30563.0,72104.0
340000,安徽省,2010,346.9,5.0,36000.0,23000.0,50000.0
340000,安徽省,2009,303.6066,4.5536,29363.0,19455.0,36607.0
340000,安徽省,2008,230.9511,3.4841,25510.0,12652.0,26695.0
340000,安徽省,2007,175.623,1.9201,11660.0,5495.0,13838.0
340000,安徽省,2006,78.567,0.9596,5729.0,2595.0,7672.0
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,621.7311,21.0162,,,
350000,福建省,2018,651.8719,24.0281,170767.130232,193010.270927,148616.390812
350000,福建省,2017,634.4872,27.5395,141616.0,201366.0,170980.0
350000,福建省,2016,625.789,20.8964,130807.0,154244.0,230729.0
350000,福建省,2015,598.3202,13.9702,165277.0,138314.0,254167.0
350000,福建省,2014,556.725,12.7629,207133.0,164841.0,227202.0
350000,福建省,2013,539.554,12.1352,126237.0,81884.0,184911.0
350000,福建省,2012,484.2785,8.1533,79572.0,58498.0,140559.0
350000,福建省,2011,451.8729,5.6693,74590.0,36918.0,119485.0
350000,福建省,2010,374.4,4.9,43000.0,29000.0,82000.0
350000,福建省,2009,317.7692,4.5387,35223.0,25413.0,68112.0
350000,福建省,2008,273.9485,3.2377,36220.0,17064.0,58301.0
350000,福建省,2007,250.4138,2.6615,24145.0,12528.0,39146.0
350000,福建省,2006,173.5036,2.0408,16627.0,9504.0,27528.0
350000,福建省,2005,,,,,
350000,福建省,2004,,,10100.0,5100.0,10600.0
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,303.2595,12.607,,,
360000,江西省,2018,290.0985,10.9192,94160.228394,94953.812623,74843.605274
360000,江西省,2017,279.3079,13.5125,60179.0,89822.0,75637.0
360000,江西省,2016,258.9083,7.822,47434.0,44216.0,105281.0
360000,江西省,2015,251.2925,4.701,50106.0,26880.0,102064.0
360000,江西省,2014,241.1281,3.3051,36935.0,16411.0,78836.0
360000,江西省,2013,217.7913,2.4648,23912.0,9586.0,58312.0
360000,江西省,2012,204.1522,1.9853,17148.0,6929.0,43986.0
360000,江西省,2011,200.0973,0.7875,10722.0,4569.0,33767.0
360000,江西省,2010,170.0,1.0,8000.0,4000.0,28000.0
360000,江西省,2009,162.9919,0.6665,6746.0,3611.0,23960.0
360000,江西省,2008,156.6457,0.574,5724.0,2121.0,20824.0
360000,江西省,2007,137.7548,0.7776,4579.0,1999.0,17222.0
360000,江西省,2006,123.2291,1.0903,4067.0,2262.0,14641.0
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,1298.7785,81.2302,,,
370000,山东省,2018,1235.4094,81.6186,641155.775224,586225.869051,287323.434028
370000,山东省,2017,1186.5502,90.8919,526837.0,622359.0,232394.0
370000,山东省,2016,1139.1205,73.3589,358353.0,458572.0,337874.0
370000,山东省,2015,1111.3128,48.058,359632.0,300734.0,438079.0
370000,山东省,2014,1046.4556,56.1768,326169.0,314878.0,379181.0
370000,山东省,2013,974.3885,47.0843,281100.0,222830.0,367892.0
370000,山东省,2012,918.9689,19.9309,230700.0,172726.0,309622.0
370000,山东省,2011,857.8055,19.736,177944.0,116581.0,251649.0
370000,山东省,2010,774.1,18.0,117000.0,91000.0,190000.0
370000,山东省,2009,703.0444,14.4015,96912.0,67253.0,164725.0
370000,山东省,2008,638.0232,10.2943,90767.0,55507.0,135062.0
370000,山东省,2007,563.2621,8.1591,65199.0,43047.0,99802.0
370000,山东省,2006,488.757,10.0269,50441.0,29717.0,77650.0
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,765.3024,31.5902,,,
410000,河南省,2018,755.352,29.2765,247190.061012,240734.458296,278185.462501
410000,河南省,2017,692.7269,30.4749,198381.0,230757.0,273298.0
410000,河南省,2016,646.7985,24.4643,148231.0,145841.0,304763.0
410000,河南省,2015,609.4557,16.537,155529.0,122294.0,292644.0
410000,河南省,2014,590.1727,15.6949,140497.0,98694.0,259410.0
410000,河南省,2013,569.6,13.5507,114809.0,62965.0,217606.0
410000,河南省,2012,520.2958,11.9879,85849.0,44556.0,152398.0
410000,河南省,2011,460.6948,6.2664,63272.0,33454.0,111106.0
410000,河南省,2010,412.9,5.3,45000.0,24000.0,81000.0
410000,河南省,2009,379.7597,4.0084,34566.0,13682.0,59990.0
410000,河南省,2008,313.3509,2.7903,20861.0,8383.0,39106.0
410000,河南省,2007,279.064,2.1536,14425.0,6957.0,26617.0
410000,河南省,2006,238.4349,1.9742,10378.0,4932.0,19149.0
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,577.7035,38.4923,,,
420000,湖北省,2018,540.007,36.0609,175995.695409,184429.64629,226879.104457
420000,湖北省,2017,522.1321,35.1759,143719.0,171495.0,235313.0
420000,湖北省,2016,511.8516,30.2364,115550.0,106123.0,247999.0
420000,湖北省,2015,500.2099,22.32,116991.0,79693.0,238573.0
420000,湖北省,2014,480.5696,19.9264,97460.0,63985.0,201275.0
420000,湖北省,2013,465.2966,18.4804,81271.0,50150.0,166702.0
420000,湖北省,2012,452.8833,18.7582,67288.0,39671.0,135579.0
420000,湖北省,2011,420.8915,13.6343,51072.0,24887.0,107962.0
420000,湖北省,2010,381.8,11.0,38000.0,20000.0,81000.0
420000,湖北省,2009,357.1077,6.5259,29593.0,13239.0,62891.0
420000,湖北省,2008,278.0372,2.9024,23985.0,8937.0,46537.0
420000,湖北省,2007,224.5827,1.1149,17549.0,3620.0,31524.0
420000,湖北省,2006,194.4734,0.8165,6114.0,1998.0,17693.0
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,600.358,31.9545,,,
430000,湖南省,2018,571.8065,31.159,161769.795975,147484.06916,255380.943055
430000,湖南省,2017,561.9107,33.9885,140833.0,151509.0,244450.0
430000,湖南省,2016,542.936,27.3689,126158.0,94720.0,269195.0
430000,湖南省,2015,544.0396,20.538,118089.0,86891.0,237758.0
430000,湖南省,2014,537.6212,17.0122,102330.0,64118.0,206559.0
430000,湖南省,2013,535.963,14.7514,86211.0,56322.0,168346.0
430000,湖南省,2012,546.0039,14.796,72965.0,42025.0,138457.0
430000,湖南省,2011,538.7723,15.3291,56226.0,33656.0,107519.0
430000,湖南省,2010,527.1,12.1,42000.0,26000.0,85000.0
430000,湖南省,2009,502.4257,8.9943,37458.0,22904.0,69901.0
430000,湖南省,2008,431.5451,6.1868,35827.0,18841.0,55348.0
430000,湖南省,2007,369.336,5.6347,26697.0,14184.0,38365.0
430000,湖南省,2006,308.5264,5.1725,22476.0,12030.0,26190.0
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,3669.3633,217.1574,,,
440000,广东省,2018,3495.3368,189.3202,1037249.140945,1137069.228782,830861.356956
440000,广东省,2017,3300.8912,169.6404,871095.0,1105589.0,930681.0
440000,广东省,2016,3161.8895,117.7559,733393.0,608395.0,1177637.0
440000,广东省,2015,3081.7976,66.9541,711083.0,396239.0,1052638.0
440000,广东省,2014,2801.279,50.8283,457638.0,318777.0,737794.0
440000,广东省,2013,2711.5918,45.033,385223.0,275772.0,598931.0
440000,广东省,2012,2484.9269,40.1498,301180.0,210553.0,489079.0
440000,广东省,2011,2339.7227,32.5611,247582.0,155697.0,398452.0
440000,广东省,2010,2038.5,24.3,192000.0,122000.0,307000.0
440000,广东省,2009,1586.2514,12.5379,156772.0,95973.0,239730.0
440000,广东省,2008,1011.2086,9.7479,126822.0,76616.0,181746.0
440000,广东省,2007,659.1217,6.6357,79626.0,51496.0,131542.0
440000,广东省,2006,464.8107,4.7989,58711.0,36296.0,103412.0
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,405.9275,18.7653,,,
450000,广西壮族自治区,2018,366.1959,19.1317,134374.457137,143937.409191,126667.56465
450000,广西壮族自治区,2017,338.5751,20.3686,91845.0,136035.0,136231.0
450000,广西壮族自治区,2016,319.5872,13.0039,85867.0,80694.0,180422.0
450000,广西壮族自治区,2015,307.8597,9.5562,90300.0,54818.0,175608.0
450000,广西壮族自治区,2014,280.2486,8.6447,72447.0,43156.0,140127.0
450000,广西壮族自治区,2013,270.2362,7.7322,57544.0,39257.0,110836.0
450000,广西壮族自治区,2012,254.7091,5.1313,46898.0,28391.0,92548.0
450000,广西壮族自治区,2011,243.7685,3.9318,34733.0,20579.0,75902.0
450000,广西壮族自治区,2010,218.5,3.6,25000.0,16000.0,58000.0
450000,广西壮族自治区,2009,199.0141,3.1641,21586.0,12996.0,49068.0
450000,广西壮族自治区,2008,176.5358,2.9869,18034.0,10482.0,40477.0
450000,广西壮族自治区,2007,163.4572,2.3461,16682.0,8431.0,39315.0
450000,广西壮族自治区,2006,145.1837,1.9275,12245.0,5488.0,28500.0
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,168.7752,10.7043,,,
460000,海南省,2018,152.618,7.027,43181.781385,52382.388525,39440.993425
460000,海南省,2017,140.2716,8.7659,34628.0,39526.0,48642.0
460000,海南省,2016,136.4829,5.9513,25952.0,24134.0,53541.0
460000,海南省,2015,127.0747,4.6707,25434.0,20140.0,51722.0
460000,海南省,2014,122.0481,3.771,23644.0,15428.0,46427.0
460000,海南省,2013,120.2406,4.0212,20820.0,15072.0,38210.0
460000,海南省,2012,116.0309,3.2008,16527.0,10967.0,32462.0
460000,海南省,2011,100.7197,2.2034,12638.0,7413.0,26901.0
460000,海南省,2010,92.6,1.5,6000.0,3000.0,22000.0
460000,海南省,2009,84.9911,1.165,6233.0,2334.0,18923.0
460000,海南省,2008,79.7542,1.1122,5814.0,1847.0,15024.0
460000,海南省,2007,66.7129,0.8328,4544.0,1403.0,11056.0
460000,海南省,2006,40.6421,0.6682,3608.0,1189.0,7915.0
460000,海南省,2005,,,,,
460000,海南省,2004,,,,,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,466.9478,29.3544,,,
500000,重庆市,2018,439.4916,26.908,,,
500000,重庆市,2017,411.3338,26.5521,,,
500000,重庆市,2016,365.7394,24.2504,83022.0,135579.0,20744.0
500000,重庆市,2015,354.3271,18.309,76447.0,100416.0,73300.0
500000,重庆市,2014,347.5191,12.5308,83836.0,67139.0,97270.0
500000,重庆市,2013,280.4353,10.2467,65303.0,48676.0,80572.0
500000,重庆市,2012,253.5259,8.2484,52996.0,36290.0,63945.0
500000,重庆市,2011,216.643,5.4134,28725.0,22317.0,47238.0
500000,重庆市,2010,175.7,4.9,21000.0,16000.0,41000.0
500000,重庆市,2009,155.5495,3.7245,22809.0,11934.0,35718.0
500000,重庆市,2008,141.6192,2.5719,17657.0,8043.0,24807.0
500000,重庆市,2007,116.9061,2.2465,11810.0,5063.0,15229.0
500000,重庆市,2006,96.8024,0.6246,7494.0,1417.0,8482.0
500000,重庆市,2005,,,,,
500000,重庆市,2004,,,,,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,954.9411,36.7906,,,
510000,四川省,2018,878.1834,34.1229,322257.561244,278347.023677,178124.272843
510000,四川省,2017,776.3375,34.343,208682.0,263872.0,134214.0
510000,四川省,2016,713.0667,31.7804,161853.0,227357.0,190191.0
510000,四川省,2015,670.2937,24.8354,175302.0,166699.0,255695.0
510000,四川省,2014,730.3591,21.6762,162960.0,133659.0,247092.0
510000,四川省,2013,689.0549,18.0258,137911.0,99332.0,217791.0
510000,四川省,2012,654.3509,12.4855,114373.0,87871.0,179212.0
510000,四川省,2011,601.696,6.8473,87165.0,43217.0,152709.0
510000,四川省,2010,484.2,5.9,50000.0,39000.0,109000.0
510000,四川省,2009,426.4083,5.8247,43496.0,29494.0,97367.0
510000,四川省,2008,373.0417,4.4348,44245.0,24821.0,83366.0
510000,四川省,2007,323.2614,3.5796,34590.0,18122.0,63941.0
510000,四川省,2006,274.0521,1.9399,20248.0,9217.0,47474.0
510000,四川省,2005,,,,,
510000,四川省,2004,,,,,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,349.6096,28.1333,,,
520000,贵州省,2018,325.9007,23.5209,121491.347434,100892.36163,98934.846447
520000,贵州省,2017,304.0319,20.4932,78560.0,91621.0,78336.0
520000,贵州省,2016,286.2716,10.8477,54793.0,49032.0,91397.0
520000,贵州省,2015,263.6403,7.4765,45586.0,34096.0,85636.0
520000,贵州省,2014,248.8163,6.3742,41424.0,31221.0,74146.0
520000,贵州省,2013,238.7488,4.3902,34952.0,21079.0,63942.0
520000,贵州省,2012,221.5755,3.1298,22165.0,10461.0,50069.0
520000,贵州省,2011,198.0906,2.5922,15565.0,6417.0,38366.0
