省份编码,省份,年份,工伤保险年末参保人数(万人),享受工伤待遇的人数(万人),工伤保险基金收入(万元),工伤保险基金支出(万元),工伤保险累计结余(万元)
360000,江西省,2016,502.1098,4.4697,163146,121913,370995
360000,江西省,2015,500.6268,4.6328,184730,108434,329759
360000,江西省,2014,461.216,4.7192,164468,104278,253464
360000,江西省,2013,431.487,4.451,133564,84029,193273
360000,江西省,2012,410.901,5.4986,102834,83170,143740
360000,江西省,2011,387.9284,3.0169,91417,58744,124074
360000,江西省,2010,371.7,2.7,46000,24000,91000
360000,江西省,2009,340.1945,1.871,32071,19097,69110
360000,江西省,2008,313.6216,1.9633,20681,10784,56078
360000,江西省,2007,251.3103,1.7327,14039,7284,46141
360000,江西省,2006,207.9047,1.4518,10495,5380,39292
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,1710.736,11.8811,568570,537796,1197103
370000,山东省,2018,1632.9723,11.4076,640945,477544,1169342
370000,山东省,2017,1569.1321,11.0755,589329,422265,1005943
370000,山东省,2016,1510.8766,11.0596,501747,394279,838879
370000,山东省,2015,1473.5175,11.1027,509725,384307,731413
370000,山东省,2014,1421.5249,11.7733,450627,350441,605995
370000,山东省,2013,1371.8798,11.16,399718,312867,505810
370000,山东省,2012,1339.6189,11.9147,347372,280412,418959
370000,山东省,2011,1276.0826,10.8289,283977,200539,352000
370000,山东省,2010,1211.2,10.2,205000,151000,269000
370000,山东省,2009,1064.5957,9.1815,167817,117344,214255
370000,山东省,2008,864.9532,8.8037,132881,86612,163783
370000,山东省,2007,744.9899,6.9758,103985,72899,117513
370000,山东省,2006,647.3091,5.7674,72620,47783,84982
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,966.2416,4.5617,260377,261053,701293
410000,河南省,2018,926.2608,5.5856,297091,254923,701969
410000,河南省,2017,900.878,5.3997,311487,222302,659468
410000,河南省,2016,876.9732,4.7757,265898,196185,569157
410000,河南省,2015,856.7048,4.9687,229463,206910,500532
410000,河南省,2014,805.7116,4.6062,237881,180016,478201
410000,河南省,2013,773.0925,4.5836,210812,142271,420347
410000,河南省,2012,720.5662,4.8287,179684,119465,351942
410000,河南省,2011,655.539,3.498,166388,81665,291548
410000,河南省,2010,551.7,3.0,102000,58000,209000
410000,河南省,2009,521.0226,3.1542,84677,48963,162524
410000,河南省,2008,500.227,3.0678,75777,43318,127201
410000,河南省,2007,448.3189,2.6018,55114,29660,95333
410000,河南省,2006,421.0279,1.6594,43837,24001,65320
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,717.5766,5.202,148888,180987,493182
420000,湖北省,2018,675.5827,5.3052,266748,174316,563498
420000,湖北省,2017,656.619,6.5341,230873,152154,471064
420000,湖北省,2016,651.0787,7.8638,168255,125134,359736
420000,湖北省,2015,640.0862,4.9457,176676,133234,316615
420000,湖北省,2014,576.7107,4.9039,150889,121750,273174
420000,湖北省,2013,556.9318,5.6652,130201,88378,243428
420000,湖北省,2012,522.6279,3.9867,101282,69098,201604
420000,湖北省,2011,480.9845,4.523,105686,43466,169419
420000,湖北省,2010,444.0,3.1,51000,28000,106000
420000,湖北省,2009,410.7154,2.7459,40717,21246,82867
420000,湖北省,2008,360.8993,2.4036,34972,16616,63395
420000,湖北省,2007,327.537,1.9707,25768,11282,45438
420000,湖北省,2006,275.543,1.499,17402,8701,30915
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,807.6119,13.3688,462305,404774,956985
430000,湖南省,2018,793.757,13.1713,558880,352145,893751
430000,湖南省,2017,782.8154,11.8842,419608,312142,693539
430000,湖南省,2016,773.2572,11.082,365284,277199,586073
430000,湖南省,2015,777.984,9.2709,340358,280487,497990
430000,湖南省,2014,747.8566,8.7299,321076,240253,438119
430000,湖南省,2013,731.152,8.2868,272115,204284,357297
430000,湖南省,2012,693.8289,7.7581,235519,169993,289468
430000,湖南省,2011,635.4825,6.9622,212591,129193,223943
430000,湖南省,2010,516.0,7.4,107000,84000,141000
430000,湖南省,2009,472.0831,5.2683,85876,65880,117873
430000,湖南省,2008,403.5259,3.8606,72110,48837,97878
430000,湖南省,2007,342.4391,2.5777,52916,29055,74714
430000,湖南省,2006,280.0957,2.0092,34834,34387,48622
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,3815.848,15.576,523421,656826,2747980
440000,广东省,2018,3592.4892,14.5435,729135,600504,2881386
440000,广东省,2017,3402.0266,14.5294,739429,512382,2752757
440000,广东省,2016,3246.1732,14.511,589428,476976,2525711
440000,广东省,2015,3122.7245,16.8347,689122,447170,2413260
440000,广东省,2014,3092.5925,17.1285,644802,417760,2170908
440000,广东省,2013,3057.2534,16.7458,588027,365209,1944265
440000,广东省,2012,2962.7706,16.7248,527108,320984,1721446
440000,广东省,2011,2847.818,15.3541,508425,265875,1515002
440000,广东省,2010,2657.8,14.7,304000,198000,1271000
440000,广东省,2009,2435.4998,15.0014,286910,169539,1164254
440000,广东省,2008,2302.3379,15.1996,358898,152680,1046952
440000,广东省,2007,2113.89,13.7543,305851,118298,840823
440000,广东省,2006,1868.249,13.4786,233477,110869,632205
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,442.2273,1.8333,101255,84623,510911
450000,广西壮族自治区,2018,412.6025,1.7404,160185,68630,494279
450000,广西壮族自治区,2017,388.7915,1.6167,126101,54693,415332
450000,广西壮族自治区,2016,374.0685,1.7659,102206,51725,343924
450000,广西壮族自治区,2015,360.4762,1.904,93065,47378,294025
450000,广西壮族自治区,2014,338.2238,1.7829,83846,43921,248900
450000,广西壮族自治区,2013,325.6231,1.8582,69472,39857,208975
450000,广西壮族自治区,2012,312.3855,1.7822,59296,32553,178873
450000,广西壮族自治区,2011,272.5161,1.4828,56628,25731,164601
450000,广西壮族自治区,2010,235.7,1.4,34000,16000,120000
450000,广西壮族自治区,2009,221.6907,1.2104,29316,13452,101794
450000,广西壮族自治区,2008,204.8996,1.0961,27523,10597,85929
450000,广西壮族自治区,2007,182.4155,0.9179,26084,9089,79677
450000,广西壮族自治区,2006,161.1032,0.8119,19014,6663,54825
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,159.6177,0.4189,26232,22763,184858
460000,海南省,2018,152.902,0.4122,34363,17228,181390
460000,海南省,2017,141.4055,0.3645,50974,16125,164254
460000,海南省,2016,137.3755,0.3375,38322,14376,129405
460000,海南省,2015,131.4682,0.3385,28234,13684,105457
460000,海南省,2014,126.1211,0.3115,25839,11797,90909
460000,海南省,2013,123.3941,0.3412,23944,11494,76866
460000,海南省,2012,119.4759,0.3552,21186,10032,64415
460000,海南省,2011,103.9526,0.3336,18580,8322,53262
460000,海南省,2010,95.8,0.3,9000,5000,43000
460000,海南省,2009,90.1081,0.2904,10347,4366,38492
460000,海南省,2008,86.1211,0.2457,9759,4949,32476
460000,海南省,2007,78.4045,0.1893,8226,3239,27600
460000,海南省,2006,71.5367,0.1601,6853,2711,22629
460000,海南省,2005,,,,,
460000,海南省,2004,,,,,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,661.6687,6.2318,245431,202702,124716
500000,重庆市,2018,577.1218,6.431,215396,200498,81988
500000,重庆市,2017,504.6116,6.7297,226646,187076,67088
500000,重庆市,2016,454.8914,7.0234,179496,192387,27518
500000,重庆市,2015,428.4744,7.4908,175896,198466,40409
500000,重庆市,2014,426.0946,8.1271,169039,180390,62979
500000,重庆市,2013,406.7559,8.0481,174937,166550,74331
500000,重庆市,2012,374.8853,7.9951,146466,150209,65945
500000,重庆市,2011,337.0949,6.236,130624,94613,69689
500000,重庆市,2010,266.0,5.6,71000,62000,34000
500000,重庆市,2009,226.4756,4.7271,57672,47824,24388
500000,重庆市,2008,208.2421,4.2424,43917,37383,14542
500000,重庆市,2007,181.0695,1.5638,28721,28845,8006
500000,重庆市,2006,165.3639,1.7707,21818,21567,8130
500000,重庆市,2005,,,,,
500000,重庆市,2004,,,,,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,1177.1438,8.6109,389528,341251,838867
510000,四川省,2018,1012.5938,8.1797,418877,301990,790590
510000,四川省,2017,876.0406,7.624,326869,261806,673703
510000,四川省,2016,799.1069,7.6122,292583,237809,608639
510000,四川省,2015,753.2232,7.8891,306221,233110,553866
510000,四川省,2014,709.7233,8.6261,290728,222836,480754
510000,四川省,2013,690.1273,8.2863,274744,202321,412863
510000,四川省,2012,689.4015,8.0097,220226,179817,340439
510000,四川省,2011,650.759,6.4977,203479,122825,300029
510000,四川省,2010,583.8,6.0,124000,85000,219000
510000,四川省,2009,515.7824,6.0837,122575,71037,179865
510000,四川省,2008,464.5834,4.6008,82326,84076,128327
510000,四川省,2007,397.3494,3.2277,68469,38696,130050
510000,四川省,2006,304.9306,2.2813,54997,28807,97396
510000,四川省,2005,,,,,
510000,四川省,2004,,,,,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,408.5062,2.616,148780,178112,209396
520000,贵州省,2018,355.7536,2.4018,159963,146536,238728
520000,贵州省,2017,332.4755,2.411,151480,126499,225301
520000,贵州省,2016,305.0232,2.5215,124523,118913,200319
520000,贵州省,2015,290.2159,2.794,142139,115240,194708
520000,贵州省,2014,275.4104,2.2997,141279,119923,167809
520000,贵州省,2013,260.3915,2.2553,130654,114531,146452
520000,贵州省,2012,238.1889,2.721,110226,79686,130330
520000,贵州省,2011,193.9573,2.1768,90170,63734,99788
520000,贵州省,2010,162.2,1.9,64000,50000,73000
520000,贵州省,2009,143.3475,1.4065,41612,30108,58804
520000,贵州省,2008,129.0167,1.1172,35410,19007,47300
520000,贵州省,2007,110.4735,0.9478,25536,11216,30896
520000,贵州省,2006,90.47,0.5511,15633,6190,13701
520000,贵州省,2005,,,,,
520000,贵州省,2004,,,,,
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,438.5061,4.8698,133542,173744,280469
530000,云南省,2018,403.3038,4.3202,175095,132135,320671
530000,云南省,2017,383.6727,4.392,166005,127154,277713
530000,云南省,2016,372.7502,3.7103,126848,118140,238862
530000,云南省,2015,368.0733,4.3246,135041,121325,230153
530000,云南省,2014,341.7128,3.9697,133933,124350,216435
530000,云南省,2013,334.2647,4.4295,136073,114493,206853
530000,云南省,2012,295.2552,3.9803,107882,92319,185275
530000,云南省,2011,243.3973,3.6049,122043,68032,169712
530000,云南省,2010,227.4,4.6,58000,44000,116000
530000,云南省,2009,215.132,2.4367,61577,30680,101404
530000,云南省,2008,202.4748,2.3353,35703,22166,70541
530000,云南省,2007,188.4743,1.6382,26463,14165,57003
530000,云南省,2006,173.8471,1.0591,22685,11110,50765
530000,云南省,2005,,,,,
530000,云南省,2004,,,,,
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,36.7992,0.0778,17115,11636,63786
540000,西藏自治区,2018,35.6753,0.0933,18569,7591,58308
540000,西藏自治区,2017,33.4363,0.0842,15249,6196,47331
540000,西藏自治区,2016,26.8686,0.0591,13373,4938,38277
540000,西藏自治区,2015,26.9092,0.0607,13742,5958,29842
540000,西藏自治区,2014,24.3436,0.0517,9202,3383,22059
540000,西藏自治区,2013,14.8208,0.0472,6651,3244,16240
540000,西藏自治区,2012,14.2027,0.0616,6333,3549,12832
540000,西藏自治区,2011,11.8352,,5477,2303,10048
540000,西藏自治区,2010,8.8,,3000,1000,7000
540000,西藏自治区,2009,8.3488,,2463,0,4675
540000,西藏自治区,2008,5.9292,0.0028,1222,127,2433
540000,西藏自治区,2007,3.6771,,810,125,1336
540000,西藏自治区,2006,2.2657,,441,99,651
540000,西藏自治区,2005,,,,,
540000,西藏自治区,2004,,,,,
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,577.4161,2.9871,182173,169945,416393
610000,陕西省,2018,528.0336,3.1012,218299,143921,407824
610000,陕西省,2017,459.3484,2.7814,172523,141968,350826
610000,陕西省,2016,441.597,3.0481,132515,119256,311219
610000,陕西省,2015,427.3293,2.9573,118634,118492,305844
610000,陕西省,2014,403.9807,2.8634,138210,99010,305256
610000,陕西省,2013,378.0563,2.9813,126203,78647,266057
610000,陕西省,2012,350.4032,2.1961,108613,58149,217608
610000,陕西省,2011,326.8372,1.8956,93713,41399,167061
610000,陕西省,2010,278.6,1.6,58000,26000,115000
610000,陕西省,2009,264.8566,1.3903,47248,19706,82684
610000,陕西省,2008,247.6091,1.4038,43110,18537,55749
610000,陕西省,2007,231.9904,1.0289,17431,5791,31177
610000,陕西省,2006,210.279,0.7385,12595,2301,18417
610000,陕西省,2005,,,,,
610000,陕西省,2004,,,,,
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
