省份编码,省份,年份,新型农村社会养老保险试点参保人数(万人),新型农村社会养老保险试点达到领取待遇年龄参保人数(万人),新型农村社会养老保险试点基金收入(亿元),新型农村社会养老保险试点基金支出(亿元),新型农村社会养老保险试点基金累计结余(亿元)
150000,内蒙古自治区,2011,289.9893,71.7048,10.881309,6.730851,13.243885
150000,内蒙古自治区,2010,168.75,41.7567,5.567182,2.89291,7.664228
150000,内蒙古自治区,2009,,,,,
150000,内蒙古自治区,2008,,,,,
150000,内蒙古自治区,2007,,,,,
150000,内蒙古自治区,2006,,,,,
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,,,,,
210000,辽宁省,2018,,,,,
210000,辽宁省,2017,,,,,
210000,辽宁省,2016,,,,,
210000,辽宁省,2015,,,,,
210000,辽宁省,2014,,,,,
210000,辽宁省,2013,,,,,
210000,辽宁省,2012,,,,,
210000,辽宁省,2011,755.8903,213.8543,19.3536264,10.16612005,13.220423
210000,辽宁省,2010,146.778,33.6287,5.49619357,2.35860987374101,3.1350532981295
210000,辽宁省,2009,,,,,
210000,辽宁省,2008,,,,,
210000,辽宁省,2007,,,,,
210000,辽宁省,2006,,,,,
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,,,,,
220000,吉林省,2018,,,,,
220000,吉林省,2017,,,,,
220000,吉林省,2016,,,,,
220000,吉林省,2015,,,,,
220000,吉林省,2014,,,,,
220000,吉林省,2013,,,,,
220000,吉林省,2012,,,,,
220000,吉林省,2011,389.4995,264.1795,10.1907133,6.13217695,5.613973
220000,吉林省,2010,86.6602,32.2483,2.426305,1.220015,1.368201
220000,吉林省,2009,,,,,
220000,吉林省,2008,,,,,
220000,吉林省,2007,,,,,
220000,吉林省,2006,,,,,
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,,,,,
230000,黑龙江省,2018,,,,,
230000,黑龙江省,2017,,,,,
230000,黑龙江省,2016,,,,,
230000,黑龙江省,2015,,,,,
230000,黑龙江省,2014,,,,,
230000,黑龙江省,2013,,,,,
230000,黑龙江省,2012,,,,,
230000,黑龙江省,2011,279.023,74.7238,14.382562,5.21992,12.294904
230000,黑龙江省,2010,131.2163,27.7245,7.239989,2.060531,3.896054
230000,黑龙江省,2009,,,,,
230000,黑龙江省,2008,,,,,
230000,黑龙江省,2007,,,,,
230000,黑龙江省,2006,,,,,
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,,,,,
310000,上海市,2018,,,,,
310000,上海市,2017,,,,,
310000,上海市,2016,,,,,
310000,上海市,2015,,,,,
310000,上海市,2014,,,,,
310000,上海市,2013,,,,,
310000,上海市,2012,,,,,
310000,上海市,2011,75.8631,39.6311,18.575949,15.384242,69.911716
310000,上海市,2010,28.8903,14.1246,6.8968803593,6.7653548819,25.0093419394
310000,上海市,2009,,,,,
310000,上海市,2008,,,,,
310000,上海市,2007,,,,,
310000,上海市,2006,,,,,
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,,,,,
320000,江苏省,2018,,,,,
320000,江苏省,2017,,,,,
320000,江苏省,2016,,,,,
320000,江苏省,2015,,,,,
320000,江苏省,2014,,,,,
320000,江苏省,2013,,,,,
320000,江苏省,2012,,,,,
320000,江苏省,2011,2060.6442,632.2352,55.5167530094,41.1295433005,174.9397570456
320000,江苏省,2010,333.4911,132.4134,27.8540722632,15.720433607,53.929594622
320000,江苏省,2009,,,,,
320000,江苏省,2008,,,,,
320000,江苏省,2007,,,,,
320000,江苏省,2006,,,,,
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,,,,,
330000,浙江省,2018,,,,,
330000,浙江省,2017,,,,,
330000,浙江省,2016,,,,,
330000,浙江省,2015,,,,,
330000,浙江省,2014,,,,,
330000,浙江省,2013,,,,,
330000,浙江省,2012,,,,,
330000,浙江省,2011,813.107,360.1344,44.5288,30.2067,61.6268
330000,浙江省,2010,290.7594,134.1582,16.491146,7.319446,16.74701
330000,浙江省,2009,,,,,
330000,浙江省,2008,,,,,
330000,浙江省,2007,,,,,
330000,浙江省,2006,,,,,
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,,,,,
340000,安徽省,2018,,,,,
340000,安徽省,2017,,,,,
340000,安徽省,2016,,,,,
340000,安徽省,2015,,,,,
340000,安徽省,2014,,,,,
340000,安徽省,2013,,,,,
340000,安徽省,2012,,,,,
340000,安徽省,2011,2177.9726,572.7369,54.55837,29.649915,37.277415
340000,安徽省,2010,349.3484,93.0305,13.933906,7.339542,10.112659
340000,安徽省,2009,,,,,
340000,安徽省,2008,,,,,
340000,安徽省,2007,,,,,
340000,安徽省,2006,,,,,
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,,,,,
350000,福建省,2018,,,,,
350000,福建省,2017,,,,,
350000,福建省,2016,,,,,
350000,福建省,2015,,,,,
350000,福建省,2014,,,,,
350000,福建省,2013,,,,,
350000,福建省,2012,,,,,
350000,福建省,2011,767.2223,182.6329,18.7503594511,9.7125091375,15.6872124795
350000,福建省,2010,273.8635,57.7341,9.3978411522,3.7325377151,4.5939489873
350000,福建省,2009,,,,,
350000,福建省,2008,,,,,
350000,福建省,2007,,,,,
350000,福建省,2006,,,,,
350000,福建省,2005,,,,,
350000,福建省,2004,,,,,
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,,,,,
360000,江西省,2018,,,,,
360000,江西省,2017,,,,,
360000,江西省,2016,,,,,
360000,江西省,2015,,,,,
360000,江西省,2014,,,,,
360000,江西省,2013,,,,,
360000,江西省,2012,,,,,
360000,江西省,2011,1298.7441,288.9219,31.1054490255,12.2646909146,23.1546395595639
360000,江西省,2010,272.2838,75.2291,6.9582423,3.21884085,4.307395
360000,江西省,2009,,,,,
360000,江西省,2008,,,,,
360000,江西省,2007,,,,,
360000,江西省,2006,,,,,
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,,,,,
370000,山东省,2018,,,,,
370000,山东省,2017,,,,,
370000,山东省,2016,,,,,
370000,山东省,2015,,,,,
370000,山东省,2014,,,,,
370000,山东省,2013,,,,,
370000,山东省,2012,,,,,
370000,山东省,2011,3545.9701,988.1044,116.9210371856,56.9635753597,161.4984622959
370000,山东省,2010,919.2093,318.0026,43.7209336419,18.2252876,52.6579727419
370000,山东省,2009,,,,,
370000,山东省,2008,,,,,
370000,山东省,2007,,,,,
370000,山东省,2006,,,,,
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,,,,,
410000,河南省,2018,,,,,
410000,河南省,2017,,,,,
410000,河南省,2016,,,,,
410000,河南省,2015,,,,,
410000,河南省,2014,,,,,
410000,河南省,2013,,,,,
410000,河南省,2012,,,,,
410000,河南省,2011,3305.9473,747.9067,59.5526955763,30.2444204722,62.8217008306
410000,河南省,2010,1211.7709,251.0611,46.5659792508,16.204299556,23.1752494864
410000,河南省,2009,,,,,
410000,河南省,2008,,,,,
410000,河南省,2007,,,,,
410000,河南省,2006,,,,,
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,,,,,
420000,湖北省,2018,,,,,
420000,湖北省,2017,,,,,
420000,湖北省,2016,,,,,
420000,湖北省,2015,,,,,
420000,湖北省,2014,,,,,
420000,湖北省,2013,,,,,
420000,湖北省,2012,,,,,
420000,湖北省,2011,1684.3127,402.8981,42.5682659,20.7017647514,32.71001975
420000,湖北省,2010,380.0231,115.0158,12.3530262,6.38733735,7.806037
420000,湖北省,2009,,,,,
420000,湖北省,2008,,,,,
420000,湖北省,2007,,,,,
420000,湖北省,2006,,,,,
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,,,,,
430000,湖南省,2018,,,,,
430000,湖南省,2017,,,,,
430000,湖南省,2016,,,,,
430000,湖南省,2015,,,,,
430000,湖南省,2014,,,,,
430000,湖南省,2013,,,,,
430000,湖南省,2012,,,,,
430000,湖南省,2011,2137.2432,616.992,43.6743312115,28.4264494301,25.66321525
430000,湖南省,2010,581.8081,217.794,17.216854536173,10.0829049446,8.612993919373
430000,湖南省,2009,,,,,
430000,湖南省,2008,,,,,
430000,湖南省,2007,,,,,
430000,湖南省,2006,,,,,
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,,,,,
440000,广东省,2018,,,,,
440000,广东省,2017,,,,,
440000,广东省,2016,,,,,
440000,广东省,2015,,,,,
440000,广东省,2014,,,,,
440000,广东省,2013,,,,,
440000,广东省,2012,,,,,
440000,广东省,2011,806.5762,182.1621,58.92691136405,17.8000769961667,39.8549
440000,广东省,2010,157.6327,51.8206,6.4830920006,3.4911899,5.03459253
440000,广东省,2009,,,,,
440000,广东省,2008,,,,,
440000,广东省,2007,,,,,
440000,广东省,2006,,,,,
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,,,,,
450000,广西壮族自治区,2018,,,,,
450000,广西壮族自治区,2017,,,,,
450000,广西壮族自治区,2016,,,,,
450000,广西壮族自治区,2015,,,,,
450000,广西壮族自治区,2014,,,,,
450000,广西壮族自治区,2013,,,,,
450000,广西壮族自治区,2012,,,,,
450000,广西壮族自治区,2011,796.1315,275.6285,25.20868963,14.35490172,16.744144
450000,广西壮族自治区,2010,220.3593,59.5649,8.461138,3.8939326,4.6485885
450000,广西壮族自治区,2009,,,,,
450000,广西壮族自治区,2008,,,,,
450000,广西壮族自治区,2007,,,,,
450000,广西壮族自治区,2006,,,,,
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,,,,,
460000,海南省,2018,,,,,
460000,海南省,2017,,,,,
460000,海南省,2016,,,,,
460000,海南省,2015,,,,,
460000,海南省,2014,,,,,
460000,海南省,2013,,,,,
460000,海南省,2012,,,,,
460000,海南省,2011,190.9622,43.6023,3.907731,2.597999481,4.1382
460000,海南省,2010,62.3699,17.7119,2.5156484618,1.0507311985,0.9758589553
460000,海南省,2009,,,,,
460000,海南省,2008,,,,,
460000,海南省,2007,,,,,
460000,海南省,2006,,,,,
460000,海南省,2005,,,,,
460000,海南省,2004,,,,,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,,,,,
500000,重庆市,2018,,,,,
500000,重庆市,2017,,,,,
500000,重庆市,2016,,,,,
500000,重庆市,2015,,,,,
500000,重庆市,2014,,,,,
500000,重庆市,2013,,,,,
500000,重庆市,2012,,,,,
500000,重庆市,2011,1125.1222,347.7162,87.6578,82.6826,14.8847
500000,重庆市,2010,807.3634,264.9801,33.457506,23.592711,9.9095
500000,重庆市,2009,,,,,
500000,重庆市,2008,,,,,
500000,重庆市,2007,,,,,
500000,重庆市,2006,,,,,
500000,重庆市,2005,,,,,
500000,重庆市,2004,,,,,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,,,,,
510000,四川省,2018,,,,,
510000,四川省,2017,,,,,
510000,四川省,2016,,,,,
510000,四川省,2015,,,,,
510000,四川省,2014,,,,,
510000,四川省,2013,,,,,
510000,四川省,2012,,,,,
510000,四川省,2011,1514.4369,623.0703,66.557590164,38.4733627442,69.1491588058
510000,四川省,2010,669.6399,199.6457,29.5530847203,14.2025329349,21.5938339196
510000,四川省,2009,,,,,
510000,四川省,2008,,,,,
510000,四川省,2007,,,,,
510000,四川省,2006,,,,,
510000,四川省,2005,,,,,
510000,四川省,2004,,,,,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,,,,,
520000,贵州省,2018,,,,,
520000,贵州省,2017,,,,,
520000,贵州省,2016,,,,,
520000,贵州省,2015,,,,,
520000,贵州省,2014,,,,,
520000,贵州省,2013,,,,,
520000,贵州省,2012,,,,,
520000,贵州省,2011,834.5092,310.7096,30.378923,21.3032934,15.6925076
520000,贵州省,2010,223.8658,63.4706,7.0566817,3.74274755,5.241956
520000,贵州省,2009,,,,,
520000,贵州省,2008,,,,,
520000,贵州省,2007,,,,,
520000,贵州省,2006,,,,,
520000,贵州省,2005,,,,,
520000,贵州省,2004,,,,,
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,,,,,
530000,云南省,2018,,,,,
530000,云南省,2017,,,,,
530000,云南省,2016,,,,,
530000,云南省,2015,,,,,
530000,云南省,2014,,,,,
530000,云南省,2013,,,,,
530000,云南省,2012,,,,,
530000,云南省,2011,1247.9097,253.3326,23.0356730716,11.4492933835,24.110382
530000,云南省,2010,469.4485,91.68,11.07762870856,3.5199783,7.2832791
530000,云南省,2009,,,,,
530000,云南省,2008,,,,,
530000,云南省,2007,,,,,
530000,云南省,2006,,,,,
530000,云南省,2005,,,,,
530000,云南省,2004,,,,,
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,,,,,
540000,西藏自治区,2018,,,,,
540000,西藏自治区,2017,,,,,
540000,西藏自治区,2016,,,,,
540000,西藏自治区,2015,,,,,
540000,西藏自治区,2014,,,,,
540000,西藏自治区,2013,,,,,
540000,西藏自治区,2012,,,,,
540000,西藏自治区,2011,119.08,20.1,2.5352,1.516,1.0979
540000,西藏自治区,2010,80.4546,23.5209,2.22158015,1.74334635,0.152
540000,西藏自治区,2009,,,,,
540000,西藏自治区,2008,,,,,
540000,西藏自治区,2007,,,,,
540000,西藏自治区,2006,,,,,
540000,西藏自治区,2005,,,,,
540000,西藏自治区,2004,,,,,
540000,西藏自治区,2003,,,,,
540000,西藏自治区,2002,,,,,
540000,西藏自治区,2001,,,,,
540000,西藏自治区,2000,,,,,
610000,陕西省,2019,,,,,
610000,陕西省,2018,,,,,
610000,陕西省,2017,,,,,
610000,陕西省,2016,,,,,
610000,陕西省,2015,,,,,
610000,陕西省,2014,,,,,
610000,陕西省,2013,,,,,
610000,陕西省,2012,,,,,
610000,陕西省,2011,1277.4565,283.5301,34.6601347801,16.8834173867,35.1585976867
610000,陕西省,2010,439.67,97.0467,23.8093681330856,4.40021875897122,13.436174383
610000,陕西省,2009,,,,,
610000,陕西省,2008,,,,,
610000,陕西省,2007,,,,,
610000,陕西省,2006,,,,,
610000,陕西省,2005,,,,,
610000,陕西省,2004,,,,,
610000,陕西省,2003,,,,,
610000,陕西省,2002,,,,,
610000,陕西省,2001,,,,,
610000,陕西省,2000,,,,,
620000,甘肃省,2019,,,,,
620000,甘肃省,2018,,,,,
620000,甘肃省,2017,,,,,
620000,甘肃省,2016,,,,,
620000,甘肃省,2015,,,,,
620000,甘肃省,2014,,,,,
620000,甘肃省,2013,,,,,
620000,甘肃省,2012,,,,,
620000,甘肃省,2011,781.6328,159.0821,42.52809505,9.988413,36.25845505
620000,甘肃省,2010,185.49,37.95,15.6856226,3.5409155,0.8223299
620000,甘肃省,2009,,,,,
620000,甘肃省,2008,,,,,
620000,甘肃省,2007,,,,,
620000,甘肃省,2006,,,,,
620000,甘肃省,2005,,,,,
620000,甘肃省,2004,,,,,
620000,甘肃省,2003,,,,,
620000,甘肃省,2002,,,,,
620000,甘肃省,2001,,,,,
620000,甘肃省,2000,,,,,
630000,青海省,2019,,,,,
630000,青海省,2018,,,,,
630000,青海省,2017,,,,,
630000,青海省,2016,,,,,
630000,青海省,2015,,,,,
630000,青海省,2014,,,,,
630000,青海省,2013,,,,,
630000,青海省,2012,,,,,
630000,青海省,2011,176.9725,33.0578,4.7414,2.511,5.1379
630000,青海省,2010,65.0513,16.797,1.8918286136,0.5395226,1.396755
630000,青海省,2009,,,,,
630000,青海省,2008,,,,,
630000,青海省,2007,,,,,
630000,青海省,2006,,,,,
630000,青海省,2005,,,,,
630000,青海省,2004,,,,,
630000,青海省,2003,,,,,
630000,青海省,2002,,,,,
630000,青海省,2001,,,,,
630000,青海省,2000,,,,,
640000,宁夏回族自治区,2019,,,,,
640000,宁夏回族自治区,2018,,,,,
640000,宁夏回族自治区,2017,,,,,
640000,宁夏回族自治区,2016,,,,,
640000,宁夏回族自治区,2015,,,,,
640000,宁夏回族自治区,2014,,,,,
640000,宁夏回族自治区,2013,,,,,
640000,宁夏回族自治区,2012,,,,,
640000,宁夏回族自治区,2011,175.0884,33.7107,5.343811,1.934371,5.922656
640000,宁夏回族自治区,2010,24.7121,4.7321,0.759692,0.333374,0.677073
640000,宁夏回族自治区,2009,,,,,
640000,宁夏回族自治区,2008,,,,,
640000,宁夏回族自治区,2007,,,,,
640000,宁夏回族自治区,2006,,,,,
640000,宁夏回族自治区,2005,,,,,
640000,宁夏回族自治区,2004,,,,,
640000,宁夏回族自治区,2003,,,,,
640000,宁夏回族自治区,2002,,,,,
640000,宁夏回族自治区,2001,,,,,
640000,宁夏回族自治区,2000,,,,,
650000,新疆维吾尔自治区,2019,,,,,
650000,新疆维吾尔自治区,2018,,,,,
650000,新疆维吾尔自治区,2017,,,,,
650000,新疆维吾尔自治区,2016,,,,,
650000,新疆维吾尔自治区,2015,,,,,
650000,新疆维吾尔自治区,2014,,,,,
650000,新疆维吾尔自治区,2013,,,,,
650000,新疆维吾尔自治区,2012,,,,,
650000,新疆维吾尔自治区,2011,490.5843,84.6791,14.541939,6.03871,15.054691
650000,新疆维吾尔自治区,2010,357.923,58.0313,8.005734,2.687407,5.839455
650000,新疆维吾尔自治区,2009,,,,,
650000,新疆维吾尔自治区,2008,,,,,
650000,新疆维吾尔自治区,2007,,,,,
650000,新疆维吾尔自治区,2006,,,,,
650000,新疆维吾尔自治区,2005,,,,,
650000,新疆维吾尔自治区,2004,,,,,
650000,新疆维吾尔自治区,2003,,,,,
650000,新疆维吾尔自治区,2002,,,,,
650000,新疆维吾尔自治区,2001,,,,,
650000,新疆维吾尔自治区,2000,,,,,
