省份编码,省份,年份,房地产开发企业住宅竣工套数(套),房地产开发企业别墅、高档公寓竣工套数(套),房地产开发企业住宅销售套数(套),房地产开发企业别墅、高档公寓销售套数(套)
150000,内蒙古自治区,2014,150505,3758,192573,3565
150000,内蒙古自治区,2013,186064,1594,218868,1662
150000,内蒙古自治区,2012,164962,3379,198073,2917
150000,内蒙古自治区,2011,195520,1775,274011,3565
150000,内蒙古自治区,2010,189598,3164,246872,2307
150000,内蒙古自治区,2009,196465,3180,221407,5591
150000,内蒙古自治区,2008,162029,4243,208879,6079
150000,内蒙古自治区,2007,159454,2426,179999,8317
150000,内蒙古自治区,2006,111455,894,123214,2092
150000,内蒙古自治区,2005,69381,229,88059,1073
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,47689,3,,
150000,内蒙古自治区,2002,42867,57,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,140321,1936,345715,5511
210000,辽宁省,2018,199740,1761,378186,5234
210000,辽宁省,2017,253544,5782,410420,6434
210000,辽宁省,2016,247146,1462,371332,2574
210000,辽宁省,2015,276272,4521,375240,3139
210000,辽宁省,2014,557811,7247,539918,6173
210000,辽宁省,2013,564037,1891,883890,8188
210000,辽宁省,2012,598299,5394,840520,9509
210000,辽宁省,2011,595948,6800,728142,7777
210000,辽宁省,2010,428648,6650,660120,5764
210000,辽宁省,2009,384159,7880,539760,9369
210000,辽宁省,2008,370523,4850,408773,8258
210000,辽宁省,2007,296997,4180,393302,7457
210000,辽宁省,2006,275528,2681,303071,6754
210000,辽宁省,2005,221035,2930,240616,3612
210000,辽宁省,2004,,,,
210000,辽宁省,2003,182464,3403,,
210000,辽宁省,2002,171514,2904,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,98228,224,181291,1783
220000,吉林省,2018,111814,1161,180868,1837
220000,吉林省,2017,111715,6451,164319,1491
220000,吉林省,2016,113320,978,172275,1498
220000,吉林省,2015,114188,1115,138747,1815
220000,吉林省,2014,156008,601,172679,2307
220000,吉林省,2013,202505,2114,227433,3930
220000,吉林省,2012,195425,7641,245525,5641
220000,吉林省,2011,173541,1950,235733,8140
220000,吉林省,2010,194115,2478,234398,4665
220000,吉林省,2009,151685,2745,195739,4284
220000,吉林省,2008,154094,4126,165616,4298
220000,吉林省,2007,135282,3515,131059,2453
220000,吉林省,2006,86789,1115,93348,1692
220000,吉林省,2005,51558,1219,68100,1803
220000,吉林省,2004,,,,
220000,吉林省,2003,56079,311,,
220000,吉林省,2002,69344,569,,
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,102690,,149471,1665
230000,黑龙江省,2018,99243,301,174122,1512
230000,黑龙江省,2017,133632,1057,200367,1702
230000,黑龙江省,2016,195343,1254,192389,2209
230000,黑龙江省,2015,244367,2309,189258,873
230000,黑龙江省,2014,266432,924,237004,1249
230000,黑龙江省,2013,276441,1152,317051,650
230000,黑龙江省,2012,311229,246,373563,935
230000,黑龙江省,2011,318079,1118,338373,841
230000,黑龙江省,2010,271255,1856,280682,4010
230000,黑龙江省,2009,191503,2412,199004,2869
230000,黑龙江省,2008,142572,2071,146312,1623
230000,黑龙江省,2007,138426,1063,165377,4419
230000,黑龙江省,2006,128994,1724,149299,1336
230000,黑龙江省,2005,111604,146,112511,755
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,74099,334,,
230000,黑龙江省,2002,67905,390,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,142001,21800,138412,16836
310000,上海市,2018,171688,25655,143725,12445
310000,上海市,2017,180347,22154,139628,14161
310000,上海市,2016,157370,13641,195044,28646
310000,上海市,2015,153148,16876,198077,25700
310000,上海市,2014,157460,8830,190501,17139
310000,上海市,2013,145858,12565,206073,19949
310000,上海市,2012,162169,16974,164759,14160
310000,上海市,2011,154830,20298,158557,17260
310000,上海市,2010,123869,17146,168310,22309
310000,上海市,2009,141330,10895,237087,24986
310000,上海市,2008,167891,11114,167494,14015
310000,上海市,2007,236418,24629,267262,32081
310000,上海市,2006,260838,25148,242133,41941
310000,上海市,2005,234388,22733,243675,24820
310000,上海市,2004,,,,
310000,上海市,2003,168338,11920,,
310000,上海市,2002,145510,6943,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,592808,18929,1064427,27970
320000,江苏省,2018,580531,16902,1014809,37275
320000,江苏省,2017,618260,19176,1077200,33582
320000,江苏省,2016,649768,21610,1096211,37091
320000,江苏省,2015,682532,19576,913062,24466
320000,江苏省,2014,625539,15290,799894,16694
320000,江苏省,2013,643446,18769,912298,19021
320000,江苏省,2012,667136,19288,705029,20407
320000,江苏省,2011,569392,22870,597058,17492
320000,江苏省,2010,566577,18738,711398,20832
320000,江苏省,2009,585908,22620,788222,27513
320000,江苏省,2008,582115,20597,476807,13248
320000,江苏省,2007,432559,13412,583642,21517
320000,江苏省,2006,378098,13130,449776,16055
320000,江苏省,2005,358885,17904,373562,17253
320000,江苏省,2004,,,,
320000,江苏省,2003,218232,8162,,
320000,江苏省,2002,193664,5618,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,292944,8701,661470,22822
330000,浙江省,2018,256252,7182,664046,21878
330000,浙江省,2017,375051,9906,634063,16543
330000,浙江省,2016,434798,6322,614849,13479
330000,浙江省,2015,333583,8790,430145,11582
330000,浙江省,2014,329661,10900,332946,7975
330000,浙江省,2013,258521,7214,344462,8237
330000,浙江省,2012,242386,5741,282224,5464
330000,浙江省,2011,252715,5455,232191,5426
330000,浙江省,2010,233294,10386,314080,9734
330000,浙江省,2009,230107,5341,397907,13757
330000,浙江省,2008,249654,6001,208473,7016
330000,浙江省,2007,226690,4309,300158,11018
330000,浙江省,2006,234348,4463,240883,7245
330000,浙江省,2005,249852,9402,222187,8261
330000,浙江省,2004,,,,
330000,浙江省,2003,192040,5719,,
330000,浙江省,2002,166785,4450,,
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,707369,3641,733434,7256
340000,安徽省,2018,290667,2173,828007,7293
340000,安徽省,2017,320280,3335,735435,7061
340000,安徽省,2016,386790,3058,709401,7556
340000,安徽省,2015,406780,2981,517542,4727
340000,安徽省,2014,359269,4074,531732,5042
340000,安徽省,2013,380896,3500,554834,5105
340000,安徽省,2012,301370,2081,418989,4701
340000,安徽省,2011,279577,4417,386037,3030
340000,安徽省,2010,224752,3579,349327,3690
340000,安徽省,2009,217388,2536,351367,3949
340000,安徽省,2008,192347,1395,240285,1719
340000,安徽省,2007,181428,2679,259182,3011
340000,安徽省,2006,153082,2105,183632,2684
340000,安徽省,2005,124704,2502,139638,1737
340000,安徽省,2004,,,,
340000,安徽省,2003,101500,1953,,
340000,安徽省,2002,90846,1947,,
340000,安徽省,2001,,,,
340000,安徽省,2000,,,,
350000,福建省,2019,164317,1644,471476,7131
350000,福建省,2018,218227,4831,446805,10154
350000,福建省,2017,272532,3124,417153,8650
350000,福建省,2016,223190,4724,378563,4650
350000,福建省,2015,215517,1176,296405,4766
350000,福建省,2014,232693,1698,314636,5473
350000,福建省,2013,212573,3162,363100,5329
350000,福建省,2012,147318,2317,249314,3518
350000,福建省,2011,188878,2760,203238,2841
350000,福建省,2010,161247,2350,200452,3516
350000,福建省,2009,151456,3197,224223,4950
350000,福建省,2008,121120,3730,115754,2528
350000,福建省,2007,110972,3254,181771,7151
350000,福建省,2006,96370,2285,152652,5994
350000,福建省,2005,100085,1771,145079,2771
350000,福建省,2004,,,,
350000,福建省,2003,91302,2397,,
350000,福建省,2002,89061,1429,,
350000,福建省,2001,,,,
350000,福建省,2000,,,,
360000,江西省,2019,149213,3108,482939,8751
360000,江西省,2018,131329,1604,471058,9329
360000,江西省,2017,123554,4711,442196,7767
360000,江西省,2016,116627,1997,369982,6431
360000,江西省,2015,137670,2235,287453,2650
360000,江西省,2014,135631,3184,242095,2688
360000,江西省,2013,121444,1598,253688,4958
360000,江西省,2012,127629,1668,189254,2082
360000,江西省,2011,145004,1661,189219,2304
360000,江西省,2010,141768,1166,202754,1165
360000,江西省,2009,125249,1628,183493,1766
360000,江西省,2008,116929,968,140691,1353
360000,江西省,2007,121447,2693,171652,3986
360000,江西省,2006,120531,1173,144822,1806
360000,江西省,2005,93500,1779,106773,768
360000,江西省,2004,,,,
360000,江西省,2003,65383,1494,,
360000,江西省,2002,45427,948,,
360000,江西省,2001,,,,
360000,江西省,2000,,,,
370000,山东省,2019,634381,10258,930841,8664
370000,山东省,2018,682920,8201,987777,12945
370000,山东省,2017,563453,5716,979142,17309
370000,山东省,2016,570374,6505,935027,11774
370000,山东省,2015,553856,8553,775586,10844
370000,山东省,2014,546478,6144,726368,8168
370000,山东省,2013,540876,4785,849625,10861
370000,山东省,2012,553218,7752,714514,9951
370000,山东省,2011,497106,6996,795823,8804
370000,山东省,2010,391686,5323,778765,6347
370000,山东省,2009,393249,2643,603650,5292
370000,山东省,2008,357426,6579,469882,5467
370000,山东省,2007,288086,6213,424802,9167
370000,山东省,2006,284830,4389,436061,7270
370000,山东省,2005,271853,3505,304469,4574
370000,山东省,2004,,,,
370000,山东省,2003,212253,6183,,
370000,山东省,2002,170126,3050,,
370000,山东省,2001,,,,
370000,山东省,2000,,,,
410000,河南省,2019,451982,451,1130247,6201
410000,河南省,2018,460503,1382,1114669,6940
410000,河南省,2017,411871,4381,1039431,6635
410000,河南省,2016,448902,2366,913280,6317
410000,河南省,2015,376630,3034,693734,3688
410000,河南省,2014,520871,1157,624792,1852
410000,河南省,2013,432585,1013,583824,2310
410000,河南省,2012,439355,5435,489310,1953
410000,河南省,2011,438967,1261,497709,3207
410000,河南省,2010,337869,1997,459287,2499
410000,河南省,2009,261673,3908,368062,5286
410000,河南省,2008,215555,3397,264344,5756
410000,河南省,2007,186682,9451,295914,10803
410000,河南省,2006,108388,2638,180897,6990
410000,河南省,2005,68728,2441,105325,4179
410000,河南省,2004,,,,
410000,河南省,2003,74297,2339,,
410000,河南省,2002,63542,2210,,
410000,河南省,2001,,,,
410000,河南省,2000,,,,
420000,湖北省,2019,174301,3612,678139,6937
420000,湖北省,2018,181886,2012,704013,8076
420000,湖北省,2017,218337,3574,682464,9516
420000,湖北省,2016,254145,4606,631330,8039
420000,湖北省,2015,217150,3228,525927,7275
420000,湖北省,2014,261049,1196,491879,5493
420000,湖北省,2013,229829,1459,440663,6705
420000,湖北省,2012,250207,2838,340340,3522
420000,湖北省,2011,264566,3090,349587,2912
420000,湖北省,2010,190906,3893,292733,4967
420000,湖北省,2009,187162,3712,236067,3849
420000,湖北省,2008,161710,2727,165097,3234
420000,湖北省,2007,158649,3377,210978,5012
420000,湖北省,2006,129462,3973,169075,6180
420000,湖北省,2005,85622,3321,110412,2885
420000,湖北省,2004,,,,
420000,湖北省,2003,91942,3293,,
420000,湖北省,2002,75684,3060,,
420000,湖北省,2001,,,,
420000,湖北省,2000,,,,
430000,湖南省,2019,238493,5340,654565,10172
430000,湖南省,2018,263374,5847,658427,13620
430000,湖南省,2017,260069,4957,639220,13142
430000,湖南省,2016,288795,3845,630886,10075
430000,湖南省,2015,264008,1973,483857,5494
430000,湖南省,2014,274082,3217,414492,4691
430000,湖南省,2013,322402,4540,466669,4186
430000,湖南省,2012,337701,5026,400490,7442
430000,湖南省,2011,290536,4185,375580,7721
430000,湖南省,2010,238157,4317,351485,6124
430000,湖南省,2009,203953,8826,271530,6565
430000,湖南省,2008,162257,6336,195339,6075
430000,湖南省,2007,127595,8772,197854,11948
430000,湖南省,2006,109733,7542,143907,9872
430000,湖南省,2005,111987,5994,100293,3611
430000,湖南省,2004,,,,
430000,湖南省,2003,76655,5827,,
430000,湖南省,2002,58605,5156,,
430000,湖南省,2001,,,,
430000,湖南省,2000,,,,
440000,广东省,2019,586849,9462,1106045,39883
440000,广东省,2018,463752,17373,1093652,37718
440000,广东省,2017,512495,13401,1212690,33581
440000,广东省,2016,414143,18591,1196094,33430
440000,广东省,2015,383408,10232,943194,30598
440000,广东省,2014,467506,17305,739363,26157
440000,广东省,2013,404602,17446,790912,44334
440000,广东省,2012,492103,19942,644541,30573
440000,广东省,2011,405551,23721,588089,31071
440000,广东省,2010,382634,24019,573840,33314
440000,广东省,2009,341874,16552,574224,32596
440000,广东省,2008,337651,15473,384658,20776
440000,广东省,2007,292060,20726,466437,41557
440000,广东省,2006,292879,23970,405433,33905
440000,广东省,2005,308993,12398,407387,24893
440000,广东省,2004,,,,
440000,广东省,2003,334499,16586,,
440000,广东省,2002,302003,24518,,
440000,广东省,2001,,,,
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,130016,448,542579,5303
450000,广西壮族自治区,2018,155423,710,504148,6168
450000,广西壮族自治区,2017,142705,1130,494930,4230
450000,广西壮族自治区,2016,121447,905,354015,3769
450000,广西壮族自治区,2015,119886,544,294588,1638
450000,广西壮族自治区,2014,137760,958,269316,2234
450000,广西壮族自治区,2013,128522,1380,255647,1319
450000,广西壮族自治区,2012,187628,1398,235237,783
450000,广西壮族自治区,2011,215576,1226,253029,1280
450000,广西壮族自治区,2010,122273,484,239496,2818
450000,广西壮族自治区,2009,110044,1696,207861,1487
450000,广西壮族自治区,2008,93060,3210,149964,2495
450000,广西壮族自治区,2007,92108,4646,163601,5991
450000,广西壮族自治区,2006,79175,4768,121630,4551
450000,广西壮族自治区,2005,95029,2298,114537,2516
450000,广西壮族自治区,2004,,,,
450000,广西壮族自治区,2003,41578,1040,,
450000,广西壮族自治区,2002,26699,,,
450000,广西壮族自治区,2001,,,,
450000,广西壮族自治区,2000,,,,
460000,海南省,2019,143822,12014,77954,1991
460000,海南省,2018,116842,7360,162803,7349
460000,海南省,2017,119210,7652,268435,20223
460000,海南省,2016,251915,82274,172347,16176
460000,海南省,2015,102640,8654,119393,7321
460000,海南省,2014,115559,15633,113011,7550
460000,海南省,2013,60903,6845,130246,9979
460000,海南省,2012,89764,13012,97242,8627
460000,海南省,2011,50028,5872,94958,10310
460000,海南省,2010,60747,12252,95751,18219
460000,海南省,2009,44702,5692,61978,13836
460000,海南省,2008,29063,7744,38976,9473
460000,海南省,2007,18492,6258,30526,7865
460000,海南省,2006,8360,473,18876,2342
460000,海南省,2005,9151,,16302,668
460000,海南省,2004,,,,
460000,海南省,2003,8117,1108,,
460000,海南省,2002,5911,1399,,
460000,海南省,2001,,,,
460000,海南省,2000,,,,
500000,重庆市,2019,322022,10485,484681,19300
500000,重庆市,2018,312512,6366,523030,21125
500000,重庆市,2017,385456,6047,582851,21893
500000,重庆市,2016,343593,11387,565075,10278
500000,重庆市,2015,374295,5154,496914,9754
500000,重庆市,2014,295698,7671,491027,10820
500000,重庆市,2013,300754,6555,472130,8006
500000,重庆市,2012,396319,4970,438391,7912
500000,重庆市,2011,309859,6232,434791,8965
500000,重庆市,2010,231396,6144,425168,15060
500000,重庆市,2009,247352,3006,393417,17158
500000,重庆市,2008,198364,5372,278408,8601
500000,重庆市,2007,178967,3425,322529,12354
500000,重庆市,2006,154727,5377,201282,9129
500000,重庆市,2005,159226,9509,171166,7761
500000,重庆市,2004,,,,
500000,重庆市,2003,111026,1837,,
500000,重庆市,2002,92697,2580,,
500000,重庆市,2001,,,,
500000,重庆市,2000,,,,
510000,四川省,2019,296444,8294,979682,13108
510000,四川省,2018,369022,3121,957882,12432
510000,四川省,2017,374735,5672,884861,19699
510000,四川省,2016,566002,3238,822273,10304
510000,四川省,2015,333274,2800,685981,5677
510000,四川省,2014,396474,4586,649550,5800
510000,四川省,2013,391683,3506,672844,5910
510000,四川省,2012,442906,2660,573537,6583
510000,四川省,2011,333379,4164,586364,4613
510000,四川省,2010,330886,1379,575367,5833
510000,四川省,2009,344033,6438,536567,8244
510000,四川省,2008,261414,5306,309079,4784
510000,四川省,2007,225422,4420,408698,7666
510000,四川省,2006,232235,5264,326498,9247
510000,四川省,2005,193114,2660,268065,5102
510000,四川省,2004,,,,
510000,四川省,2003,212712,12877,,
510000,四川省,2002,171508,7848,,
510000,四川省,2001,,,,
510000,四川省,2000,,,,
520000,贵州省,2019,56685,2595,395143,9460
520000,贵州省,2018,76801,912,381021,7154
520000,贵州省,2017,72255,523,347650,5013
520000,贵州省,2016,114983,888,319528,4249
520000,贵州省,2015,209059,574,276382,1875
520000,贵州省,2014,177448,4290,250053,2643
520000,贵州省,2013,117945,343,249808,1747
520000,贵州省,2012,96924,466,190506,535
520000,贵州省,2011,90389,420,148705,929
520000,贵州省,2010,67681,1156,136621,760
520000,贵州省,2009,88380,406,129170,1175
520000,贵州省,2008,44799,634,68221,517
520000,贵州省,2007,45275,444,79047,958
520000,贵州省,2006,43573,201,66694,416
520000,贵州省,2005,46909,378,68463,372
520000,贵州省,2004,,,,
520000,贵州省,2003,46323,477,,
520000,贵州省,2002,39767,1479,,
520000,贵州省,2001,,,,
520000,贵州省,2000,,,,
530000,云南省,2019,95110,6241,323079,17315
530000,云南省,2018,80653,5511,290014,15296
530000,云南省,2017,132794,5722,286841,13980
530000,云南省,2016,121545,5590,247148,8664
530000,云南省,2015,151062,5676,214233,7410
530000,云南省,2014,103660,3651,223681,8291
530000,云南省,2013,131733,5848,242845,7895
530000,云南省,2012,121134,8765,239631,12374
530000,云南省,2011,100312,3784,223928,17999
530000,云南省,2010,96736,7160,204683,16298
530000,云南省,2009,110725,7039,165680,9391
530000,云南省,2008,67952,2882,117341,8834
530000,云南省,2007,60027,6478,136774,10119
530000,云南省,2006,69360,5569,111560,9411
530000,云南省,2005,54483,3471,97968,6777
530000,云南省,2004,,,,
530000,云南省,2003,39952,5102,,
530000,云南省,2002,38679,5125,,
530000,云南省,2001,,,,
530000,云南省,2000,,,,
540000,西藏自治区,2019,328,,9173,854
540000,西藏自治区,2018,3892,630,5542,96
540000,西藏自治区,2017,2950,,4143,
540000,西藏自治区,2016,2505,131,6323,198
540000,西藏自治区,2015,6763,918,3691,278
540000,西藏自治区,2014,2694,47,5062,99
540000,西藏自治区,2013,748,306,2062,177
540000,西藏自治区,2012,618,42,1830,168
540000,西藏自治区,2011,1313,249,1423,175
540000,西藏自治区,2010,1078,24,1526,135
540000,西藏自治区,2009,4071,84,5404,778
540000,西藏自治区,2008,3861,380,4801,974
540000,西藏自治区,2007,3572,926,4756,1663
540000,西藏自治区,2006,2042,112,2775,300
540000,西藏自治区,2005,1014,476,760,25
540000,西藏自治区,2004,,,,
540000,西藏自治区,2003,728,55,,
540000,西藏自治区,2002,1027,71,,
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,115123,1752,323359,3395
610000,陕西省,2018,100087,4133,312177,3114
610000,陕西省,2017,187120,320,306586,6189
610000,陕西省,2016,176644,1139,276798,4177
610000,陕西省,2015,128574,239,256955,3265
610000,陕西省,2014,183774,418,272865,2621
610000,陕西省,2013,117950,1494,273152,2244
610000,陕西省,2012,135007,1529,245420,4187
610000,陕西省,2011,93960,26,270372,4314
610000,陕西省,2010,75516,1302,238529,2870
610000,陕西省,2009,72470,1020,192099,1827
610000,陕西省,2008,72390,2340,132951,1779
610000,陕西省,2007,71596,979,124571,2078
610000,陕西省,2006,59697,784,92664,4839
610000,陕西省,2005,83459,1031,69038,1890
610000,陕西省,2004,,,,
610000,陕西省,2003,52682,2080,,
610000,陕西省,2002,54491,1665,,
610000,陕西省,2001,,,,
610000,陕西省,2000,,,,
620000,甘肃省,2019,43568,158,139465,540
620000,甘肃省,2018,45003,96,131212,666
620000,甘肃省,2017,59780,42,126937,430
620000,甘肃省,2016,71194,21,138886,343
620000,甘肃省,2015,73502,,127254,355
620000,甘肃省,2014,64187,155,118740,447
620000,甘肃省,2013,88749,6,110000,147
620000,甘肃省,2012,66864,,88808,18
620000,甘肃省,2011,59619,,72205,12
620000,甘肃省,2010,48979,6,66610,19
620000,甘肃省,2009,44261,4,61003,17
620000,甘肃省,2008,45547,30,55495,26
620000,甘肃省,2007,33585,23,53431,39
620000,甘肃省,2006,33743,135,44231,76
620000,甘肃省,2005,32494,12,39185,86
620000,甘肃省,2004,,,,
620000,甘肃省,2003,22149,624,,
620000,甘肃省,2002,21329,279,,
620000,甘肃省,2001,,,,
620000,甘肃省,2000,,,,
630000,青海省,2019,7644,,34908,19
630000,青海省,2018,17094,767,34428,750
630000,青海省,2017,22568,4,34938,21
630000,青海省,2016,27106,230,35710,20
630000,青海省,2015,31847,303,31205,3
630000,青海省,2014,44228,994,32808,2
630000,青海省,2013,40394,,33186,5
630000,青海省,2012,31474,22,22913,11
630000,青海省,2011,41008,12,28726,6
630000,青海省,2010,23907,4,22682,8
630000,青海省,2009,16001,,19309,336
630000,青海省,2008,18025,1547,12648,662
630000,青海省,2007,13004,1313,13185,1504
630000,青海省,2006,9633,274,10018,1665
630000,青海省,2005,6959,52,9956,40
630000,青海省,2004,,,,
630000,青海省,2003,13024,,,
630000,青海省,2002,11832,36,,
630000,青海省,2001,,,,
630000,青海省,2000,,,,
640000,宁夏回族自治区,2019,63710,308,71521,1532
640000,宁夏回族自治区,2018,82663,1086,75795,1462
640000,宁夏回族自治区,2017,80390,6174,76202,3549
640000,宁夏回族自治区,2016,88380,1304,72994,1752
640000,宁夏回族自治区,2015,68980,351,62953,833
640000,宁夏回族自治区,2014,77305,1376,87380,1241
640000,宁夏回族自治区,2013,78533,889,85677,1261
640000,宁夏回族自治区,2012,85433,331,66329,709
640000,宁夏回族自治区,2011,72941,1620,67580,1295
640000,宁夏回族自治区,2010,73237,379,75749,602
640000,宁夏回族自治区,2009,61540,46,65217,508
640000,宁夏回族自治区,2008,49193,307,44908,294
640000,宁夏回族自治区,2007,40040,514,43282,276
640000,宁夏回族自治区,2006,40130,987,31216,687
640000,宁夏回族自治区,2005,39062,326,29278,507
640000,宁夏回族自治区,2004,,,,
640000,宁夏回族自治区,2003,30740,233,,
640000,宁夏回族自治区,2002,15671,390,,
640000,宁夏回族自治区,2001,,,,
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,86342,541,128599,1641
650000,新疆维吾尔自治区,2018,63885,1202,105058,3043
650000,新疆维吾尔自治区,2017,107754,3710,121761,2976
650000,新疆维吾尔自治区,2016,109502,5138,142899,2605
650000,新疆维吾尔自治区,2015,112787,4002,143200,3251
650000,新疆维吾尔自治区,2014,147395,5711,144580,3038
650000,新疆维吾尔自治区,2013,134123,4656,168383,5120
650000,新疆维吾尔自治区,2012,144417,7755,121906,4231
650000,新疆维吾尔自治区,2011,110876,7580,154532,7204
650000,新疆维吾尔自治区,2010,87539,5093,144651,6246
650000,新疆维吾尔自治区,2009,92626,2332,135427,4024
650000,新疆维吾尔自治区,2008,100355,1288,92945,2324
650000,新疆维吾尔自治区,2007,84746,1157,112917,3146
650000,新疆维吾尔自治区,2006,56310,1995,83240,2550
650000,新疆维吾尔自治区,2005,55465,1649,63571,1495
650000,新疆维吾尔自治区,2004,,,,
650000,新疆维吾尔自治区,2003,63999,776,,
650000,新疆维吾尔自治区,2002,65477,450,,
650000,新疆维吾尔自治区,2001,,,,
650000,新疆维吾尔自治区,2000,,,,
