省份编码,省份,年份,固定资产投资(不含农户)中央项目(亿元),固定资产投资(不含农户)地方项目(亿元)
150000,内蒙古自治区,2013,859.2634,13213.1242
150000,内蒙古自治区,2012,712.6979,11037.0722
150000,内蒙古自治区,2011,801.6365,9451.3379
150000,内蒙古自治区,2010,886.3,7801.7
150000,内蒙古自治区,2009,767.4935,6376.3432
150000,内蒙古自治区,2008,691.151,4635.8901
150000,内蒙古自治区,2007,479.4567,3775.5457
150000,内蒙古自治区,2006,384.2196,2880.6448
150000,内蒙古自治区,2005,238.4967,2316.7561
150000,内蒙古自治区,2004,144.04,1563.46
150000,内蒙古自治区,2003,114.3297,982.7679
150000,内蒙古自治区,2002,,
150000,内蒙古自治区,2001,,
150000,内蒙古自治区,2000,,
210000,辽宁省,2019,,
210000,辽宁省,2018,,
210000,辽宁省,2017,539.3881,5905.3609
210000,辽宁省,2016,355.0614,6081.2658
210000,辽宁省,2015,515.8655,17124.5043
210000,辽宁省,2014,740.8769,23685.957
210000,辽宁省,2013,806.11,23985.2918
210000,辽宁省,2012,823.8127,20711.5618
210000,辽宁省,2011,748.7389,16682.7225
210000,辽宁省,2010,994.9,14111.4
210000,辽宁省,2009,815.496,10789.6247
210000,辽宁省,2008,1075.0507,7806.8956
210000,辽宁省,2007,861.2884,5714.759
210000,辽宁省,2006,606.1683,4371.6736
210000,辽宁省,2005,476.6796,3189.84
210000,辽宁省,2004,358.04,2222.23
210000,辽宁省,2003,250.9033,1520.3229
210000,辽宁省,2002,,
210000,辽宁省,2001,,
210000,辽宁省,2000,,
220000,吉林省,2019,,
220000,吉林省,2018,,
220000,吉林省,2017,379.836,12751.0682
220000,吉林省,2016,382.7683,13390.4005
220000,吉林省,2015,878.3498,11630.2438
220000,吉林省,2014,752.5655,10355.3755
220000,吉林省,2013,725.9405,8999.8178
220000,吉林省,2012,594.0355,8668.1986
220000,吉林省,2011,506.3965,6720.2529
220000,吉林省,2010,711.9,6683.3
220000,吉林省,2009,586.2445,5372.7053
220000,吉林省,2008,443.2575,4149.4505
220000,吉林省,2007,316.7142,3023.4749
220000,吉林省,2006,241.504,2124.5574
220000,吉林省,2005,235.7264,1345.5287
220000,吉林省,2004,213.68,845.67
220000,吉林省,2003,155.0134,717.8936
220000,吉林省,2002,,
220000,吉林省,2001,,
220000,吉林省,2000,,
230000,黑龙江省,2019,,
230000,黑龙江省,2018,,
230000,黑龙江省,2017,811.1753,10268.4773
230000,黑龙江省,2016,749.7458,9682.8087
230000,黑龙江省,2015,731.4107,9152.8721
230000,黑龙江省,2014,763.7433,8774.1341
230000,黑龙江省,2013,860.7477,10260.5365
230000,黑龙江省,2012,809.0464,8566.3983
230000,黑龙江省,2011,848.947,6308.9728
230000,黑龙江省,2010,746.2,5546.4
230000,黑龙江省,2009,679.1967,4016.5457
230000,黑龙江省,2008,766.8113,2588.0116
230000,黑龙江省,2007,642.5945,1949.0976
230000,黑龙江省,2006,488.5804,1551.8318
230000,黑龙江省,2005,406.4961,1174.7216
230000,黑龙江省,2004,273.54,1043.43
230000,黑龙江省,2003,290.4104,779.0734
230000,黑龙江省,2002,,
230000,黑龙江省,2001,,
230000,黑龙江省,2000,,
310000,上海市,2019,,
310000,上海市,2018,,
310000,上海市,2017,746.8949,6494.053
310000,上海市,2016,685.1695,6066.5073
310000,上海市,2015,593.775,5755.6136
310000,上海市,2014,514.8714,5498.0946
310000,上海市,2013,548.9057,5095.2255
310000,上海市,2012,635.8416,4478.7936
310000,上海市,2011,415.7777,4544.149
310000,上海市,2010,583.5,4047.0
310000,上海市,2009,633.2286,3985.681
310000,上海市,2008,698.1984,3706.7473
310000,上海市,2007,680.6475,3364.4509
310000,上海市,2006,502.3951,2995.08
310000,上海市,2005,382.7647,2815.8086
310000,上海市,2004,396.7,2466.25
310000,上海市,2003,243.3471,2002.1967
310000,上海市,2002,,
310000,上海市,2001,,
310000,上海市,2000,,
320000,江苏省,2019,,
320000,江苏省,2018,,
320000,江苏省,2017,894.6969,52105.517
320000,江苏省,2016,933.3828,48437.4693
320000,江苏省,2015,1001.2526,44903.9168
320000,江苏省,2014,819.7007,40733.051
320000,江苏省,2013,607.8412,35374.6761
320000,江苏省,2012,535.6939,29938.0496
320000,江苏省,2011,625.0899,25688.3718
320000,江苏省,2010,548.3,16868.2
320000,江苏省,2009,455.2583,13811.5431
320000,江苏省,2008,283.7398,11325.975
320000,江苏省,2007,240.7385,8920.6345
320000,江苏省,2006,337.3849,7142.2194
320000,江苏省,2005,308.8087,5910.083
320000,江苏省,2004,343.8,4664.41
320000,江苏省,2003,351.9894,3659.6031
320000,江苏省,2002,,
320000,江苏省,2001,,
320000,江苏省,2000,,
330000,浙江省,2019,,
330000,浙江省,2018,,
330000,浙江省,2017,652.1166,30473.8735
330000,浙江省,2016,658.3231,28912.6788
330000,浙江省,2015,336.6697,26328.0459
330000,浙江省,2014,351.5007,23203.2619
330000,浙江省,2013,359.0297,19835.0416
330000,浙江省,2012,389.7576,16706.203
330000,浙江省,2011,419.7821,13231.868
330000,浙江省,2010,484.3,7953.8
330000,浙江省,2009,507.4262,6946.9
330000,浙江省,2008,416.3125,6134.7889
330000,浙江省,2007,443.8441,5553.0877
330000,浙江省,2006,378.4061,5050.8705
330000,浙江省,2005,333.3912,4451.2875
330000,浙江省,2004,279.93,3718.85
330000,浙江省,2003,256.3555,2942.1519
330000,浙江省,2002,,
330000,浙江省,2001,,
330000,浙江省,2000,,
340000,安徽省,2019,,
340000,安徽省,2018,,
340000,安徽省,2017,515.0566,28301.317
340000,安徽省,2016,443.561,26133.8106
340000,安徽省,2015,349.289,23454.6399
340000,安徽省,2014,389.7919,20866.502
340000,安徽省,2013,374.4714,17716.735
340000,安徽省,2012,365.6867,14578.1248
340000,安徽省,2011,312.8186,11695.0464
340000,安徽省,2010,279.2,10002.0
340000,安徽省,2009,213.29,7732.2078
340000,安徽省,2008,217.7088,5730.9013
340000,安徽省,2007,283.0928,4161.4904
340000,安徽省,2006,191.3542,2858.798
340000,安徽省,2005,158.8267,1967.8642
340000,安徽省,2004,81.86,1531.15
340000,安徽省,2003,56.4023,1128.113
340000,安徽省,2002,,
340000,安徽省,2001,,
340000,安徽省,2000,,
350000,福建省,2019,,
350000,福建省,2018,,
350000,福建省,2017,629.745,25480.5968
350000,福建省,2016,716.2751,22211.715
350000,福建省,2015,447.0936,20526.8874
350000,福建省,2014,547.0936,17322.6614
350000,福建省,2013,586.3395,14459.4687
350000,福建省,2012,579.531,11602.9851
350000,福建省,2011,572.6893,9104.3987
350000,福建省,2010,583.4,6802.4
350000,福建省,2009,573.9568,4974.651
350000,福建省,2008,316.4681,4285.0301
350000,福建省,2007,203.7544,3625.2628
350000,福建省,2006,167.2967,2525.0601
350000,福建省,2005,99.8046,1858.4948
350000,福建省,2004,74.04,1520.51
350000,福建省,2003,49.4412,1179.8361
350000,福建省,2002,,
350000,福建省,2001,,
350000,福建省,2000,,
360000,江西省,2019,,
360000,江西省,2018,,
360000,江西省,2017,213.7426,21556.6905
360000,江西省,2016,242.4823,19136.2053
360000,江西省,2015,301.0972,16692.7997
360000,江西省,2014,209.2171,14437.091
360000,江西省,2013,203.0678,12231.8816
360000,江西省,2012,195.3466,10183.0231
360000,江西省,2011,176.6829,8577.2452
360000,江西省,2010,226.4,7630.5
360000,江西省,2009,213.8923,5794.2262
360000,江西省,2008,127.8048,4197.5733
360000,江西省,2007,50.2617,2904.6106
360000,江西省,2006,80.0911,2295.2952
360000,江西省,2005,62.4183,1840.2398
360000,江西省,2004,65.38,1412.52
360000,江西省,2003,52.4125,1046.691
360000,江西省,2002,,
360000,江西省,2001,,
360000,江西省,2000,,
370000,山东省,2019,,
370000,山东省,2018,,
370000,山东省,2017,1508.795,52727.2394
370000,山东省,2016,1233.2506,51131.243
370000,山东省,2015,1165.6601,46215.7958
370000,山东省,2014,1187.7749,40411.3574
370000,山东省,2013,957.4972,34918.3586
370000,山东省,2012,742.3703,29577.3938
370000,山东省,2011,680.0361,25227.3487
370000,山东省,2010,525.0,18319.5
370000,山东省,2009,500.6133,14938.4837
370000,山东省,2008,524.2669,12004.6912
370000,山东省,2007,409.3723,9744.1895
370000,山东省,2006,386.9807,8328.5193
370000,山东省,2005,254.6672,7020.395
370000,山东省,2004,284.74,5133.81
370000,山东省,2003,280.3345,3883.5668
370000,山东省,2002,,
370000,山东省,2001,,
370000,山东省,2000,,
410000,河南省,2019,,
410000,河南省,2018,,
410000,河南省,2017,384.0725,43506.2847
410000,河南省,2016,308.8878,39445.0403
410000,河南省,2015,248.4852,34702.7978
410000,河南省,2014,208.8867,29803.398
410000,河南省,2013,266.2632,24921.7971
410000,河南省,2012,256.2943,20302.3195
410000,河南省,2011,254.0009,16680.322
410000,河南省,2010,312.1,13622.7
410000,河南省,2009,376.6225,11078.2669
410000,河南省,2008,361.5774,8359.6105
410000,河南省,2007,233.6798,6375.4814
410000,河南省,2006,231.3042,4609.4963
410000,河南省,2005,203.6584,3257.5743
410000,河南省,2004,221.05,2213.83
410000,河南省,2003,198.7324,1478.4392
410000,河南省,2002,,
410000,河南省,2001,,
410000,河南省,2000,,
420000,湖北省,2019,,
420000,湖北省,2018,,
420000,湖北省,2017,964.0463,30908.5245
420000,湖北省,2016,759.4075,28744.4676
420000,湖北省,2015,588.2824,25498.1333
420000,湖北省,2014,537.7569,21903.9149
420000,湖北省,2013,540.4752,18256.3771
420000,湖北省,2012,675.6901,14473.0178
420000,湖北省,2011,660.4682,11534.921
420000,湖北省,2010,536.2,8869.5
420000,湖北省,2009,606.0838,6577.5879
420000,湖北省,2008,674.8728,4473.8856
420000,湖北省,2007,444.103,3483.2522
420000,湖北省,2006,387.56,2650.932
420000,湖北省,2005,330.3076,2057.0993
420000,湖北省,2004,342.25,1662.9
420000,湖北省,2003,317.8573,1255.875
420000,湖北省,2002,,
420000,湖北省,2001,,
420000,湖北省,2000,,
430000,湖南省,2019,,
430000,湖南省,2018,,
430000,湖南省,2017,420.4328,30907.646
430000,湖南省,2016,443.498,27244.9472
430000,湖南省,2015,461.8187,23862.352
430000,湖南省,2014,369.8167,20178.7342
430000,湖南省,2013,228.8839,16996.3022
430000,湖南省,2012,272.9866,13693.2719
430000,湖南省,2011,271.2845,11136.4583
430000,湖南省,2010,285.8,8332.2
430000,湖南省,2009,288.5781,6591.4246
430000,湖南省,2008,278.6708,4601.2869
430000,湖南省,2007,215.0275,3394.5123
430000,湖南省,2006,188.3619,2530.0823
430000,湖南省,2005,175.4784,2028.4731
430000,湖南省,2004,148.53,1530.86
430000,湖南省,2003,114.0925,1121.1741
430000,湖南省,2002,,
430000,湖南省,2001,,
430000,湖南省,2000,,
440000,广东省,2019,,
440000,广东省,2018,,
440000,广东省,2017,1957.0841,35446.8278
440000,广东省,2016,1758.2959,31189.0046
440000,广东省,2015,1589.8435,28360.6399
440000,广东省,2014,1421.1864,24421.8706
440000,广东省,2013,1440.7653,20354.7499
440000,广东省,2012,1393.3561,16856.772
440000,广东省,2011,1237.7628,15361.4007
440000,广东省,2010,1024.8,11574.5
440000,广东省,2009,827.9743,9402.0783
440000,广东省,2008,715.9218,7924.9526
440000,广东省,2007,511.2505,6857.4362
440000,广东省,2006,454.5982,6099.0721
440000,广东省,2005,470.6338,5419.4719
440000,广东省,2004,332.52,4696.92
440000,广东省,2003,357.2226,3787.895
440000,广东省,2002,,
440000,广东省,2001,,
440000,广东省,2000,,
450000,广西壮族自治区,2019,,
450000,广西壮族自治区,2018,,
450000,广西壮族自治区,2017,434.0036,19474.2679
450000,广西壮族自治区,2016,567.2814,17085.6672
450000,广西壮族自治区,2015,305.8011,15349.1459
450000,广西壮族自治区,2014,342.6017,12945.0073
450000,广西壮族自治区,2013,288.1052,11095.8242
450000,广西壮族自治区,2012,327.6002,9017.5789
450000,广西壮族自治区,2011,344.2331,7236.666
450000,广西壮族自治区,2010,277.8,6105.5
450000,广西壮族自治区,2009,237.146,4452.7341
450000,广西壮族自治区,2008,201.0897,3124.8559
450000,广西壮族自治区,2007,169.8934,2426.844
450000,广西壮族自治区,2006,149.215,1798.5947
450000,广西壮族自治区,2005,124.8401,1356.0777
450000,广西壮族自治区,2004,126.41,968.21
450000,广西壮族自治区,2003,127.7779,663.4838
450000,广西壮族自治区,2002,,
450000,广西壮族自治区,2001,,
450000,广西壮族自治区,2000,,
460000,海南省,2019,,
460000,海南省,2018,,
460000,海南省,2017,236.2109,3889.1854
460000,海南省,2016,214.3771,3532.648
460000,海南省,2015,113.2124,3242.1924
460000,海南省,2014,76.5502,2962.9053
460000,海南省,2013,84.4243,2541.1682
460000,海南省,2012,94.0306,1970.4136
460000,海南省,2011,82.7381,1516.402
460000,海南省,2010,88.7,1168.8
460000,海南省,2009,74.6302,868.0492
460000,海南省,2008,48.9185,619.0988
460000,海南省,2007,30.2246,442.5424
460000,海南省,2006,69.6156,327.3853
460000,海南省,2005,79.9134,259.331
460000,海南省,2004,29.92,261.1
460000,海南省,2003,28.2475,217.9958
460000,海南省,2002,,
460000,海南省,2001,,
460000,海南省,2000,,
500000,重庆市,2019,,
500000,重庆市,2018,,
500000,重庆市,2017,619.6452,16820.9203
500000,重庆市,2016,718.4315,15213.3514
500000,重庆市,2015,737.8125,13470.335
500000,重庆市,2014,678.7336,11462.1
500000,重庆市,2013,512.4379,9778.5146
500000,重庆市,2012,428.5394,8181.8312
500000,重庆市,2011,390.8357,6976.1185
500000,重庆市,2010,383.0,5787.6
500000,重庆市,2009,335.8831,4519.2222
500000,重庆市,2008,337.3218,3378.5769
500000,重庆市,2007,225.1138,2711.9557
500000,重庆市,2006,213.7743,2038.2097
500000,重庆市,2005,162.6396,1614.4294
500000,重庆市,2004,127.54,1273.04
500000,重庆市,2003,104.2202,936.4253
500000,重庆市,2002,,
500000,重庆市,2001,,
500000,重庆市,2000,,
510000,四川省,2019,,
510000,四川省,2018,,
510000,四川省,2017,1295.1902,29940.7014
510000,四川省,2016,1373.9797,26855.8075
510000,四川省,2015,1101.2913,23864.2735
510000,四川省,2014,1244.1573,21417.9691
510000,四川省,2013,891.1476,18864.1391
510000,四川省,2012,936.2999,15594.0145
510000,四川省,2011,986.0107,12701.7359
510000,四川省,2010,946.8,10114.5
510000,四川省,2009,839.0177,8251.0674
510000,四川省,2008,488.5934,5873.491
510000,四川省,2007,334.0758,4709.3401
510000,四川省,2006,364.8025,3562.5684
510000,四川省,2005,266.8116,2724.9628
510000,四川省,2004,224.26,2098.65
510000,四川省,2003,163.5158,1671.5579
510000,四川省,2002,,
510000,四川省,2001,,
510000,四川省,2000,,
520000,贵州省,2019,,
520000,贵州省,2018,,
520000,贵州省,2017,335.9797,14952.0309
520000,贵州省,2016,248.0505,12681.1189
520000,贵州省,2015,439.1014,10237.6016
520000,贵州省,2014,432.1841,8346.2188
520000,贵州省,2013,356.9224,6745.8547
520000,贵州省,2012,338.5574,5166.39
520000,贵州省,2011,278.8222,3747.6458
520000,贵州省,2010,266.6,2342.8
520000,贵州省,2009,315.9104,1733.9148
520000,贵州省,2008,317.9475,1291.3953
520000,贵州省,2007,244.7026,1044.4276
520000,贵州省,2006,231.2308,821.5616
520000,贵州省,2005,231.1229,668.2103
520000,贵州省,2004,218.16,562.08
520000,贵州省,2003,187.2036,480.7147
520000,贵州省,2002,,
520000,贵州省,2001,,
520000,贵州省,2000,,
530000,云南省,2019,,
530000,云南省,2018,,
530000,云南省,2017,769.3461,17705.5442
530000,云南省,2016,1281.5842,14380.9052
530000,云南省,2015,1121.7461,11947.6451
530000,云南省,2014,964.8946,10108.9177
530000,云南省,2013,958.2697,8663.5632
530000,云南省,2012,754.1571,6799.3554
530000,云南省,2011,648.0636,5284.6863
530000,云南省,2010,594.4,4458.2
530000,云南省,2009,583.6438,3533.8691
530000,云南省,2008,406.6577,2699.6751
530000,云南省,2007,363.3051,2080.486
530000,云南省,2006,330.9923,1670.8554
530000,云南省,2005,278.6598,1313.6257
530000,云南省,2004,185.57,927.4
530000,云南省,2003,125.5776,713.6434
530000,云南省,2002,,
530000,云南省,2001,,
530000,云南省,2000,,
540000,西藏自治区,2019,,
540000,西藏自治区,2018,,
540000,西藏自治区,2017,51.1367,1924.4639
540000,西藏自治区,2016,148.3463,1447.7025
540000,西藏自治区,2015,486.985,808.6933
540000,西藏自治区,2014,305.3358,763.8957
540000,西藏自治区,2013,288.4642,587.5381
540000,西藏自治区,2012,263.5531,406.9637
540000,西藏自治区,2011,277.678,238.6319
540000,西藏自治区,2010,234.9,170.0
540000,西藏自治区,2009,187.2849,140.3501
540000,西藏自治区,2008,143.1815,128.0731
540000,西藏自治区,2007,134.5471,96.28
540000,西藏自治区,2006,100.4269,100.224
540000,西藏自治区,2005,98.6033,82.7857
540000,西藏自治区,2004,93.29,69.07
540000,西藏自治区,2003,97.5902,36.3654
540000,西藏自治区,2002,,
540000,西藏自治区,2001,,
540000,西藏自治区,2000,,
610000,陕西省,2019,,
610000,陕西省,2018,,
610000,陕西省,2017,1096.9803,22371.2273
610000,陕西省,2016,943.304,19531.5481
610000,陕西省,2015,486.0076,17745.0215
610000,陕西省,2014,547.1247,16293.1492
610000,陕西省,2013,549.1731,13984.3397
610000,陕西省,2012,478.7497,11227.0818
610000,陕西省,2011,395.1316,8713.8525
610000,陕西省,2010,406.9,7163.0
610000,陕西省,2009,427.4154,5460.9561
610000,陕西省,2008,366.2247,3920.1983
610000,陕西省,2007,254.5847,2914.2349
610000,陕西省,2006,252.5116,2033.1951
610000,陕西省,2005,193.4478,1547.4133
610000,陕西省,2004,140.15,1238.31
610000,陕西省,2003,113.9028,957.1395
610000,陕西省,2002,,
610000,陕西省,2001,,
610000,陕西省,2000,,
620000,甘肃省,2019,,
620000,甘肃省,2018,,
620000,甘肃省,2017,182.5279,5513.8212
620000,甘肃省,2016,259.0068,9275.0955
620000,甘肃省,2015,233.0181,8393.5788
620000,甘肃省,2014,360.9239,7398.7077
620000,甘肃省,2013,329.5068,6077.6914
620000,甘肃省,2012,305.4286,4734.6061
620000,甘肃省,2011,274.3499,3595.7301
620000,甘肃省,2010,294.5,2514.1
620000,甘肃省,2009,289.4513,1786.9069
620000,甘肃省,2008,202.8788,1307.8738
620000,甘肃省,2007,161.746,1015.7172
620000,甘肃省,2006,133.8503,790.0714
620000,甘肃省,2005,138.6628,647.3841
620000,甘肃省,2004,141.42,519.34
620000,甘肃省,2003,116.4097,437.3084
620000,甘肃省,2002,,
620000,甘肃省,2001,,
620000,甘肃省,2000,,
630000,青海省,2019,,
630000,青海省,2018,,
630000,青海省,2017,229.8891,3589.9726
630000,青海省,2016,327.6927,3127.8197
630000,青海省,2015,274.6293,2869.5412
630000,青海省,2014,213.5476,2575.364
630000,青海省,2013,216.811,2068.4903
630000,青海省,2012,129.1146,1679.5514
630000,青海省,2011,129.1268,1236.7861
630000,青海省,2010,130.7,709.3
630000,青海省,2009,150.3978,538.6915
630000,青海省,2008,102.8327,411.2155
630000,青海省,2007,81.1212,362.5695
630000,青海省,2006,100.221,284.3932
630000,青海省,2005,79.6543,231.1834
630000,青海省,2004,68.72,204.02
630000,青海省,2003,54.8887,182.0505
630000,青海省,2002,,
630000,青海省,2001,,
630000,青海省,2000,,
640000,宁夏回族自治区,2019,,
640000,宁夏回族自治区,2018,,
640000,宁夏回族自治区,2017,214.825,3425.2965
640000,宁夏回族自治区,2016,264.8452,3444.1996
640000,宁夏回族自治区,2015,411.6724,3014.7503
640000,宁夏回族自治区,2014,336.268,2757.6511
640000,宁夏回族自治区,2013,340.2219,2237.5663
640000,宁夏回族自治区,2012,238.3932,1794.6413
640000,宁夏回族自治区,2011,295.5717,1293.5693
640000,宁夏回族自治区,2010,220.8,1072.0
640000,宁夏回族自治区,2009,300.4323,663.7283
640000,宁夏回族自治区,2008,210.2528,525.4566
640000,宁夏回族自治区,2007,148.3156,379.3791
640000,宁夏回族自治区,2006,97.96,340.773
640000,宁夏回族自治区,2005,55.6082,326.3815
640000,宁夏回族自治区,2004,46.04,270.79
640000,宁夏回族自治区,2003,37.142,225.9951
640000,宁夏回族自治区,2002,,
640000,宁夏回族自治区,2001,,
640000,宁夏回族自治区,2000,,
650000,新疆维吾尔自治区,2019,,
650000,新疆维吾尔自治区,2018,,
650000,新疆维吾尔自治区,2017,1662.6133,10133.0272
650000,新疆维吾尔自治区,2016,1670.8748,8312.9872
650000,新疆维吾尔自治区,2015,1946.5735,8578.8471
650000,新疆维吾尔自治区,2014,2018.0106,7049.7806
650000,新疆维吾尔自治区,2013,1643.587,5727.6487
650000,新疆维吾尔自治区,2012,1421.9436,4436.0321
650000,新疆维吾尔自治区,2011,1162.2777,3282.7086
650000,新疆维吾尔自治区,2010,971.3,2093.8
650000,新疆维吾尔自治区,2009,876.5373,1557.6093
650000,新疆维吾尔自治区,2008,785.7546,1239.8847
650000,新疆维吾尔自治区,2007,762.3736,896.8158
650000,新疆维吾尔自治区,2006,609.5911,808.4199
650000,新疆维吾尔自治区,2005,535.4712,674.5341
650000,新疆维吾尔自治区,2004,407.17,639.26
650000,新疆维吾尔自治区,2003,353.5099,539.0836
650000,新疆维吾尔自治区,2002,,
650000,新疆维吾尔自治区,2001,,
650000,新疆维吾尔自治区,2000,,
