省份编码,省份,年份,固定资产投资(不含农户)施工项目个数(个),固定资产投资(不含农户)新开工项目个数(个),固定资产投资(不含农户)全部建成投产项目个数(个),固定资产投资(不含农户)项目建成投产率(%)
140000,山西省,2005,5080,3755,2975,58.56
140000,山西省,2004,5053,3323,2663,52.7013655254304
140000,山西省,2003,5406,4072,2944,54.5
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,,,,
150000,内蒙古自治区,2017,21884,17404,18110,82.75
150000,内蒙古自治区,2016,22813,19653,18738,82.14
150000,内蒙古自治区,2015,16942,12695,14074,83.07
150000,内蒙古自治区,2014,18507,14916,14837,80.17
150000,内蒙古自治区,2013,11255,8778,8139,72.31
150000,内蒙古自治区,2012,9645,7330,6901,71.55
150000,内蒙古自治区,2011,9175,7036,6310,68.77
150000,内蒙古自治区,2010,12132,9516,8959,73.846027035938
150000,内蒙古自治区,2009,12370,10409,9272,74.96
150000,内蒙古自治区,2008,9580,7885,7279,75.98
150000,内蒙古自治区,2007,8700,6891,6448,74.11
150000,内蒙古自治区,2006,7929,6198,5819,73.39
150000,内蒙古自治区,2005,8593,7096,6521,75.89
150000,内蒙古自治区,2004,8180,6659,5522,67.5061124694377
150000,内蒙古自治区,2003,7087,6043,4801,67.7
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,,,,
210000,辽宁省,2018,,,,
210000,辽宁省,2017,6311,3810,3190,50.55
210000,辽宁省,2016,6735,4151,3043,45.18
210000,辽宁省,2015,15959,12393,13566,85.01
210000,辽宁省,2014,16335,11610,12173,74.52
210000,辽宁省,2013,15880,11289,10445,65.77
210000,辽宁省,2012,18448,12058,12128,65.74
210000,辽宁省,2011,17867,13176,11177,62.56
210000,辽宁省,2010,21135,18203,13033,61.6654837946534
210000,辽宁省,2009,19374,16988,14506,74.87
210000,辽宁省,2008,14749,12544,11710,79.4
210000,辽宁省,2007,12545,10411,8923,71.13
210000,辽宁省,2006,12842,10901,9337,72.71
210000,辽宁省,2005,14339,10535,10068,70.21
210000,辽宁省,2004,10485,8632,6244,59.5517405817835
210000,辽宁省,2003,8197,6806,5417,66.1
210000,辽宁省,2002,,,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,,,,
220000,吉林省,2018,,,,
220000,吉林省,2017,25021,21559,20445,81.71
220000,吉林省,2016,20533,18546,16629,80.99
220000,吉林省,2015,13107,11777,11196,85.42
220000,吉林省,2014,12705,11198,10944,86.14
220000,吉林省,2013,10062,8170,8146,80.96
220000,吉林省,2012,10497,9156,7752,73.85
220000,吉林省,2011,11006,9514,8087,73.48
220000,吉林省,2010,11862,9566,9073,76.4879446973529
220000,吉林省,2009,11533,9949,9154,79.37
220000,吉林省,2008,9131,7275,7145,78.25
220000,吉林省,2007,7834,6529,5344,68.22
220000,吉林省,2006,7333,5843,5337,72.78
220000,吉林省,2005,5642,4690,3479,61.66
220000,吉林省,2004,4033,3322,2481,61.5174807835358
220000,吉林省,2003,4366,3758,3051,69.9
220000,吉林省,2002,,,,
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,,,,
230000,黑龙江省,2018,,,,
230000,黑龙江省,2017,21069,17557,17112,81.22
230000,黑龙江省,2016,19149,16743,15198,79.37
230000,黑龙江省,2015,16119,13357,13167,81.69
230000,黑龙江省,2014,12864,9672,9229,71.74
230000,黑龙江省,2013,16080,13100,11395,70.86
230000,黑龙江省,2012,12109,9710,8592,70.96
230000,黑龙江省,2011,8721,7096,6127,70.26
230000,黑龙江省,2010,10169,8593,7625,74.9827908348904
230000,黑龙江省,2009,10440,8995,8582,82.2
230000,黑龙江省,2008,7646,6417,5999,78.46
230000,黑龙江省,2007,6723,5488,5275,78.46
230000,黑龙江省,2006,6436,5172,4993,77.58
230000,黑龙江省,2005,6006,4828,4369,72.74
230000,黑龙江省,2004,4848,3991,3221,66.4397689768977
230000,黑龙江省,2003,4918,4130,3584,72.9
230000,黑龙江省,2002,,,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,,,,
310000,上海市,2018,,,,
310000,上海市,2017,3907,1840,1566,40.08
310000,上海市,2016,3112,1536,924,29.69
310000,上海市,2015,3314,1404,1104,33.31
310000,上海市,2014,3882,1708,1078,27.77
310000,上海市,2013,4074,2041,1027,25.21
310000,上海市,2012,4229,2141,1265,29.91
310000,上海市,2011,4300,2300,1288,29.95
310000,上海市,2010,8485,3808,1828,21.5439010017678
310000,上海市,2009,8897,4141,1934,21.74
310000,上海市,2008,5237,3817,1295,24.73
310000,上海市,2007,3864,1737,1882,48.71
310000,上海市,2006,3916,2268,2006,51.23
310000,上海市,2005,3630,2252,1883,51.87
310000,上海市,2004,3353,1681,1127,33.6116910229645
310000,上海市,2003,3268,786,544,16.6
310000,上海市,2002,,,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,,,,
320000,江苏省,2018,,,,
320000,江苏省,2017,70675,55979,58071,82.17
320000,江苏省,2016,60525,50197,47600,78.65
320000,江苏省,2015,52863,44888,44359,83.91
320000,江苏省,2014,44449,35783,35733,80.39
320000,江苏省,2013,41312,32306,31589,76.46
320000,江苏省,2012,30065,21670,20897,69.51
320000,江苏省,2011,36974,26387,26496,71.66
320000,江苏省,2010,24083,13950,15224,63.2147157746128
320000,江苏省,2009,20223,13398,13118,64.87
320000,江苏省,2008,15893,9613,9776,61.51
320000,江苏省,2007,14974,9544,8269,55.22
320000,江苏省,2006,13670,9237,7912,57.88
320000,江苏省,2005,13546,10206,8197,60.51
320000,江苏省,2004,10917,7045,6442,59.0088852248786
320000,江苏省,2003,11447,8934,6913,60.4
320000,江苏省,2002,,,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,,,,
330000,浙江省,2018,,,,
330000,浙江省,2017,50136,34086,29638,59.12
330000,浙江省,2016,50257,36582,32167,64.01
330000,浙江省,2015,45520,30091,30194,66.33
330000,浙江省,2014,44062,27651,26171,59.4
330000,浙江省,2013,40906,25215,21420,52.36
330000,浙江省,2012,36693,22928,18253,49.75
330000,浙江省,2011,29342,16355,14177,48.32
330000,浙江省,2010,16447,9061,7617,46.3123973977017
330000,浙江省,2009,16230,8812,7810,48.12
330000,浙江省,2008,15406,7538,6390,41.48
330000,浙江省,2007,15023,7659,5925,39.44
330000,浙江省,2006,14452,8620,6570,45.46
330000,浙江省,2005,12903,7382,6176,47.86
330000,浙江省,2004,11092,5999,4898,44.1579516768842
330000,浙江省,2003,10427,6052,4388,42.1
330000,浙江省,2002,,,,
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,,,,
340000,安徽省,2018,,,,
340000,安徽省,2017,44515,31712,30406,68.31
340000,安徽省,2016,42281,34738,27221,64.38
340000,安徽省,2015,35449,28171,28327,79.91
340000,安徽省,2014,30373,22409,22079,72.69
340000,安徽省,2013,25031,17999,16766,66.98
340000,安徽省,2012,25187,18076,17020,67.57
340000,安徽省,2011,24736,18970,16199,65.49
340000,安徽省,2010,28060,19103,18220,64.9322879543835
340000,安徽省,2009,22658,16009,13703,60.48
340000,安徽省,2008,19746,13132,10097,51.13
340000,安徽省,2007,16343,11278,8007,48.99
340000,安徽省,2006,13008,9054,6915,53.16
340000,安徽省,2005,10326,7390,5025,48.66
340000,安徽省,2004,7071,4857,3100,43.8410408711639
340000,安徽省,2003,6328,4796,2924,46.2
340000,安徽省,2002,,,,
340000,安徽省,2001,,,,
340000,安徽省,2000,,,,
350000,福建省,2019,,,,
350000,福建省,2018,,,,
350000,福建省,2017,45435,34494,29427,64.77
350000,福建省,2016,32878,26796,22001,66.92
350000,福建省,2015,27218,20378,20801,76.42
350000,福建省,2014,25396,17541,16554,65.18
350000,福建省,2013,22987,16007,13554,58.96
350000,福建省,2012,20217,13438,12055,59.63
350000,福建省,2011,17248,11077,8896,51.58
350000,福建省,2010,12027,6895,4309,35.8277209611707
350000,福建省,2009,11937,6618,4576,38.33
350000,福建省,2008,11491,6051,4473,38.93
350000,福建省,2007,10621,5707,3663,34.49
350000,福建省,2006,7759,4088,1819,23.44
350000,福建省,2005,7531,4556,2880,38.24
350000,福建省,2004,7221,4519,2613,36.1861238055671
350000,福建省,2003,5569,3771,2438,43.8
350000,福建省,2002,,,,
350000,福建省,2001,,,,
350000,福建省,2000,,,,
360000,江西省,2019,,,,
360000,江西省,2018,,,,
360000,江西省,2017,24842,16027,16774,67.52
360000,江西省,2016,21587,15295,14239,65.96
360000,江西省,2015,20789,14886,15375,73.96
360000,江西省,2014,18871,12917,13280,70.37
360000,江西省,2013,19317,14327,13258,68.63
360000,江西省,2012,17762,13124,12655,71.25
360000,江西省,2011,15259,10071,11081,72.62
360000,江西省,2010,16450,11597,11335,68.9057750759878
360000,江西省,2009,14311,10533,8956,62.58
360000,江西省,2008,10335,6721,6762,65.43
360000,江西省,2007,8441,5832,4301,50.95
360000,江西省,2006,7971,5160,4036,50.63
360000,江西省,2005,7204,4705,3608,50.08
360000,江西省,2004,5916,3787,2929,49.5098039215686
360000,江西省,2003,5793,3747,3074,53.1
360000,江西省,2002,,,,
360000,江西省,2001,,,,
360000,江西省,2000,,,,
370000,山东省,2019,,,,
370000,山东省,2018,,,,
370000,山东省,2017,62118,48347,48161,77.53
370000,山东省,2016,56605,43765,42816,75.64
370000,山东省,2015,49620,40868,37337,75.2
370000,山东省,2014,39212,30703,29211,74.5
370000,山东省,2013,37006,28823,25648,69.31
370000,山东省,2012,35520,28613,25088,70.63
370000,山东省,2011,39293,28236,29191,74.29
370000,山东省,2010,30174,21671,19301,63.9656658049977
370000,山东省,2009,29422,20876,17783,60.44
370000,山东省,2008,28363,19562,16727,58.97
370000,山东省,2007,26543,18781,12271,46.23
370000,山东省,2006,23651,17991,11662,49.31
370000,山东省,2005,20671,16368,9893,47.86
370000,山东省,2004,17466,13530,8320,47.6354059315241
370000,山东省,2003,18962,15510,9851,52.0
370000,山东省,2002,,,,
370000,山东省,2001,,,,
370000,山东省,2000,,,,
410000,河南省,2019,,,,
410000,河南省,2018,,,,
410000,河南省,2017,41325,32403,29406,71.16
410000,河南省,2016,24602,17959,16409,66.7
410000,河南省,2015,24083,14061,16810,69.8
410000,河南省,2014,24602,14687,13996,56.89
410000,河南省,2013,24215,13698,14069,58.1
410000,河南省,2012,27886,17278,16776,60.16
410000,河南省,2011,32087,19611,20463,63.77
410000,河南省,2010,34053,26755,23740,69.7148562534872
410000,河南省,2009,36889,31894,28652,77.67
410000,河南省,2008,29560,24629,22868,77.36
410000,河南省,2007,24493,20468,18148,74.09
410000,河南省,2006,17229,13989,12338,71.61
410000,河南省,2005,13493,10468,8864,65.69
410000,河南省,2004,8986,6801,5432,60.4495882483864
410000,河南省,2003,7687,5789,4192,54.5
410000,河南省,2002,,,,
410000,河南省,2001,,,,
410000,河南省,2000,,,,
420000,湖北省,2019,,,,
420000,湖北省,2018,,,,
420000,湖北省,2017,34446,24485,23087,67.02
420000,湖北省,2016,29367,21863,19430,66.16
420000,湖北省,2015,18689,11917,12482,66.79
420000,湖北省,2014,19732,12901,11774,59.67
420000,湖北省,2013,18651,13063,11184,59.96
420000,湖北省,2012,18390,13894,11478,62.41
420000,湖北省,2011,26026,20817,19485,74.87
420000,湖北省,2010,23721,18957,17522,73.8670376459677
420000,湖北省,2009,20934,17357,14982,71.57
420000,湖北省,2008,15423,11929,9882,64.07
420000,湖北省,2007,12560,9545,7649,60.9
420000,湖北省,2006,11403,8698,7187,63.03
420000,湖北省,2005,10938,8620,6703,61.28
420000,湖北省,2004,7970,5834,4940,61.9824341279799
420000,湖北省,2003,9048,6890,6134,67.8
420000,湖北省,2002,,,,
420000,湖北省,2001,,,,
420000,湖北省,2000,,,,
430000,湖南省,2019,,,,
430000,湖南省,2018,,,,
430000,湖南省,2017,58178,43966,42556,73.15
430000,湖南省,2016,49962,40912,33188,66.43
430000,湖南省,2015,38940,30213,28870,74.14
430000,湖南省,2014,31618,22859,22234,70.32
430000,湖南省,2013,28035,20839,18182,64.85
430000,湖南省,2012,25546,19659,16424,64.29
430000,湖南省,2011,26351,21020,15125,57.4
430000,湖南省,2010,21588,17105,11979,55.4891606448027
430000,湖南省,2009,18982,15143,9825,51.76
430000,湖南省,2008,18614,14658,9694,52.08
430000,湖南省,2007,15584,11868,8142,52.25
430000,湖南省,2006,14072,10620,7731,54.94
430000,湖南省,2005,11990,9112,6626,55.26
430000,湖南省,2004,9311,6749,3989,42.84180002148
430000,湖南省,2003,8298,5855,4635,55.9
430000,湖南省,2002,,,,
430000,湖南省,2001,,,,
430000,湖南省,2000,,,,
440000,广东省,2019,,,,
440000,广东省,2018,,,,
440000,广东省,2017,51037,34335,33970,66.56
440000,广东省,2016,44599,32056,29103,65.25
440000,广东省,2015,38666,28293,27391,70.84
440000,广东省,2014,33342,22341,22760,68.26
440000,广东省,2013,21367,13391,12191,57.06
440000,广东省,2012,18158,11380,9724,53.55
440000,广东省,2011,24381,15667,15431,63.29
440000,广东省,2010,20761,14291,13190,63.5325851355908
440000,广东省,2009,19990,14254,11958,59.82
440000,广东省,2008,17531,12271,10891,62.12
440000,广东省,2007,16777,11089,8836,52.67
440000,广东省,2006,14315,8995,6422,44.86
440000,广东省,2005,14420,8679,5888,40.83
440000,广东省,2004,13785,8614,5525,40.0797968806674
440000,广东省,2003,14130,8651,5061,35.8
440000,广东省,2002,,,,
440000,广东省,2001,,,,
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,,,,
450000,广西壮族自治区,2018,,,,
450000,广西壮族自治区,2017,48298,36696,36496,75.56
450000,广西壮族自治区,2016,46742,37521,33647,71.98
450000,广西壮族自治区,2015,42918,33807,31347,73.04
450000,广西壮族自治区,2014,37615,28649,26000,69.12
450000,广西壮族自治区,2013,34039,25751,23016,67.62
450000,广西壮族自治区,2012,19953,15464,12152,60.9
450000,广西壮族自治区,2011,19569,13719,11999,61.32
450000,广西壮族自治区,2010,25478,19421,17227,67.6151974252296
450000,广西壮族自治区,2009,23551,18264,15459,65.64
450000,广西壮族自治区,2008,17185,11974,9145,53.22
450000,广西壮族自治区,2007,15945,11183,8236,51.65
450000,广西壮族自治区,2006,13730,9083,7296,53.14
450000,广西壮族自治区,2005,11780,8276,6205,52.67
450000,广西壮族自治区,2004,9559,6445,5039,52.7147191128779
450000,广西壮族自治区,2003,9259,6645,5082,54.9
450000,广西壮族自治区,2002,,,,
450000,广西壮族自治区,2001,,,,
450000,广西壮族自治区,2000,,,,
460000,海南省,2019,,,,
460000,海南省,2018,,,,
460000,海南省,2017,2676,1138,907,33.89
460000,海南省,2016,2400,1195,727,30.29
460000,海南省,2015,2016,1033,787,39.04
460000,海南省,2014,1909,948,841,44.05
460000,海南省,2013,959,400,243,25.34
460000,海南省,2012,1674,866,746,44.56
460000,海南省,2011,1345,699,535,39.78
460000,海南省,2010,1451,835,646,44.5210199862164
460000,海南省,2009,1725,1117,922,53.4492753623188
460000,海南省,2008,1484,1057,891,60.04
460000,海南省,2007,1407,1058,700,49.75
460000,海南省,2006,1338,992,617,46.11
460000,海南省,2005,1241,913,660,53.18
460000,海南省,2004,1197,790,594,49.6240601503759
460000,海南省,2003,1346,986,773,57.4
460000,海南省,2002,,,,
460000,海南省,2001,,,,
460000,海南省,2000,,,,
500000,重庆市,2019,,,,
500000,重庆市,2018,,,,
500000,重庆市,2017,25872,15720,17459,67.48
500000,重庆市,2016,18602,13768,9984,53.67
500000,重庆市,2015,15158,11116,10369,68.41
500000,重庆市,2014,12743,9102,8503,66.73
500000,重庆市,2013,12213,8846,7994,65.45
500000,重庆市,2012,9575,6264,6152,64.25
500000,重庆市,2011,10994,7608,7058,64.2
500000,重庆市,2010,9985,6865,6086,60.9514271407111
500000,重庆市,2009,10891,7479,7327,67.28
500000,重庆市,2008,7504,4472,3526,46.99
500000,重庆市,2007,6282,3803,3034,48.3
500000,重庆市,2006,5826,3588,3188,54.72
500000,重庆市,2005,5696,3855,3292,57.79
500000,重庆市,2004,5012,3350,2743,54.7286512370311
500000,重庆市,2003,4311,2718,2530,58.7
500000,重庆市,2002,,,,
500000,重庆市,2001,,,,
500000,重庆市,2000,,,,
510000,四川省,2019,,,,
510000,四川省,2018,,,,
510000,四川省,2017,49515,28830,29566,59.71
510000,四川省,2016,45518,32274,26741,58.75
510000,四川省,2015,37392,23490,24864,66.5
510000,四川省,2014,33630,20393,20255,60.23
510000,四川省,2013,28729,17235,16341,56.88
510000,四川省,2012,23359,15043,12436,53.24
510000,四川省,2011,23103,15443,13817,59.81
510000,四川省,2010,27594,17055,16992,61.5786040443575
510000,四川省,2009,26494,19643,15343,57.91
510000,四川省,2008,17308,11304,9951,57.49
510000,四川省,2007,16571,11221,9600,57.93
510000,四川省,2006,15062,10595,8949,59.41
510000,四川省,2005,12651,9348,6625,52.37
510000,四川省,2004,10747,7488,5850,54.4337954778078
510000,四川省,2003,9070,6440,4145,45.7
510000,四川省,2002,,,,
510000,四川省,2001,,,,
510000,四川省,2000,,,,
520000,贵州省,2019,,,,
520000,贵州省,2018,,,,
520000,贵州省,2017,17061,11643,12066,70.72
520000,贵州省,2016,9013,6115,5662,62.82
520000,贵州省,2015,4355,2198,2207,50.68
520000,贵州省,2014,2472,1079,844,34.14
520000,贵州省,2013,1979,974,582,29.41
520000,贵州省,2012,1728,959,444,25.69
520000,贵州省,2011,2152,1468,979,45.49
520000,贵州省,2010,8519,5996,4601,54.0086864655476
520000,贵州省,2009,10463,7989,7278,69.56
520000,贵州省,2008,9077,6587,6120,67.42
520000,贵州省,2007,8432,6564,5498,65.2
520000,贵州省,2006,6609,4534,4111,62.2
520000,贵州省,2005,6483,4686,3869,59.68
520000,贵州省,2004,5312,3728,3264,61.4457831325301
520000,贵州省,2003,4934,3481,2568,52.0
520000,贵州省,2002,,,,
520000,贵州省,2001,,,,
520000,贵州省,2000,,,,
530000,云南省,2019,,,,
530000,云南省,2018,,,,
530000,云南省,2017,40319,28456,29679,73.61
530000,云南省,2016,33327,26020,21539,64.63
530000,云南省,2015,24787,18812,17807,71.84
530000,云南省,2014,19766,14879,13028,65.91
530000,云南省,2013,17310,12521,11313,65.36
530000,云南省,2012,14941,10515,9235,61.81
530000,云南省,2011,10939,6667,5978,54.65
530000,云南省,2010,16004,10240,9215,57.5793551612097
530000,云南省,2009,18708,12997,10048,53.71
530000,云南省,2008,13109,9126,7667,58.49
530000,云南省,2007,11718,8673,6707,57.24
530000,云南省,2006,10326,7193,6506,63.01
530000,云南省,2005,11883,8721,7865,66.19
530000,云南省,2004,7643,4880,3842,50.2682192856208
530000,云南省,2003,6947,4490,3695,53.2
530000,云南省,2002,,,,
530000,云南省,2001,,,,
530000,云南省,2000,,,,
540000,西藏自治区,2019,,,,
540000,西藏自治区,2018,,,,
540000,西藏自治区,2017,5646,3826,3123,55.31
540000,西藏自治区,2016,4254,3163,2359,55.45
540000,西藏自治区,2015,3212,2083,2143,66.72
540000,西藏自治区,2014,2835,1791,1678,59.19
540000,西藏自治区,2013,2750,1800,1743,63.38
540000,西藏自治区,2012,2341,1658,1346,57.5
540000,西藏自治区,2011,1852,1208,1170,63.17
540000,西藏自治区,2010,2708,1944,1803,66.5805022156573
540000,西藏自治区,2009,2826,2198,1986,70.28
540000,西藏自治区,2008,2587,2155,1728,66.8
540000,西藏自治区,2007,2187,1770,1688,77.18
540000,西藏自治区,2006,2296,1785,1784,77.7
540000,西藏自治区,2005,2396,1901,1830,76.38
540000,西藏自治区,2004,2240,1674,1496,66.7857142857143
540000,西藏自治区,2003,2084,1665,1478,70.9
540000,西藏自治区,2002,,,,
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,,,,
610000,陕西省,2018,,,,
610000,陕西省,2017,36324,27601,22448,61.8
610000,陕西省,2016,26447,21214,17550,66.36
610000,陕西省,2015,21657,16595,16223,74.91
610000,陕西省,2014,18607,12854,12820,68.9
610000,陕西省,2013,16331,10789,10118,61.96
610000,陕西省,2012,14583,9527,8610,59.04
610000,陕西省,2011,12248,7431,6864,56.04
610000,陕西省,2010,13106,8830,6515,49.7100564626888
610000,陕西省,2009,13931,11197,8582,61.6
610000,陕西省,2008,9062,6727,5635,62.18
610000,陕西省,2007,7179,5187,4025,56.07
610000,陕西省,2006,6067,4263,3380,55.71
610000,陕西省,2005,7103,4728,4164,58.62
610000,陕西省,2004,5894,4087,3271,55.4971157108924
610000,陕西省,2003,5639,3942,2979,52.8
610000,陕西省,2002,,,,
610000,陕西省,2001,,,,
610000,陕西省,2000,,,,
620000,甘肃省,2019,,,,
620000,甘肃省,2018,,,,
620000,甘肃省,2017,13261,9220,8944,67.45
620000,甘肃省,2016,22155,18006,15865,71.61
620000,甘肃省,2015,17605,13484,13248,75.25
620000,甘肃省,2014,13981,10351,9521,68.1
620000,甘肃省,2013,9357,6629,5342,57.09
620000,甘肃省,2012,5803,4097,3006,51.8
620000,甘肃省,2011,7813,5410,4712,60.31
620000,甘肃省,2010,9156,6827,5862,64.0235910878113
620000,甘肃省,2009,9452,7056,5592,59.16
620000,甘肃省,2008,7822,5741,4329,55.34
620000,甘肃省,2007,7991,5865,4286,53.64
620000,甘肃省,2006,7597,5211,2149,28.29
620000,甘肃省,2005,7316,5354,3868,52.87
620000,甘肃省,2004,6665,4684,3055,45.8364591147787
620000,甘肃省,2003,6004,4271,2851,47.5
620000,甘肃省,2002,,,,
620000,甘肃省,2001,,,,
620000,甘肃省,2000,,,,
630000,青海省,2019,,,,
630000,青海省,2018,,,,
630000,青海省,2017,6230,4002,4112,66.0
630000,青海省,2016,5445,3694,3389,62.24
630000,青海省,2015,4935,3264,3278,66.42
630000,青海省,2014,4315,2666,2564,59.42
630000,青海省,2013,4082,2404,2346,57.47
630000,青海省,2012,3577,1999,1747,48.84
630000,青海省,2011,2991,1860,1273,42.56
630000,青海省,2010,2900,1516,1398,48.2068965517241
630000,青海省,2009,2667,1763,1599,59.96
630000,青海省,2008,2394,1617,1527,63.78
630000,青海省,2007,2238,1601,1363,60.9
630000,青海省,2006,2472,1757,1758,71.12
630000,青海省,2005,2456,1698,1536,62.54
630000,青海省,2004,2282,1687,1433,62.7957931638913
630000,青海省,2003,2287,1803,1261,55.1
630000,青海省,2002,,,,
630000,青海省,2001,,,,
630000,青海省,2000,,,,
640000,宁夏回族自治区,2019,,,,
640000,宁夏回族自治区,2018,,,,
640000,宁夏回族自治区,2017,4770,3409,3323,69.66
640000,宁夏回族自治区,2016,4216,3143,2878,68.26
640000,宁夏回族自治区,2015,4233,3124,3108,73.42
640000,宁夏回族自治区,2014,4222,2787,3035,71.89
640000,宁夏回族自治区,2013,3856,2744,2398,62.19
640000,宁夏回族自治区,2012,2964,2119,1919,64.74
640000,宁夏回族自治区,2011,2498,1672,1596,63.89
640000,宁夏回族自治区,2010,2084,1555,1268,60.8445297504799
640000,宁夏回族自治区,2009,1874,1482,1123,59.93
640000,宁夏回族自治区,2008,1501,1126,870,57.96
640000,宁夏回族自治区,2007,1497,1106,752,50.23
640000,宁夏回族自治区,2006,2839,2362,2193,77.25
640000,宁夏回族自治区,2005,2199,1757,1510,68.67
640000,宁夏回族自治区,2004,1686,1340,998,59.1933570581257
640000,宁夏回族自治区,2003,1676,1297,1040,62.1
640000,宁夏回族自治区,2002,,,,
640000,宁夏回族自治区,2001,,,,
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,,,,
650000,新疆维吾尔自治区,2018,,,,
650000,新疆维吾尔自治区,2017,23692,18847,15122,63.83
650000,新疆维吾尔自治区,2016,19123,14869,13598,71.11
650000,新疆维吾尔自治区,2015,16344,11621,11663,71.36
650000,新疆维吾尔自治区,2014,13358,9571,8789,65.8
650000,新疆维吾尔自治区,2013,8388,5398,4379,52.21
650000,新疆维吾尔自治区,2012,9567,6388,5451,56.98
650000,新疆维吾尔自治区,2011,9146,6778,5196,56.81
650000,新疆维吾尔自治区,2010,8178,6016,5369,65.6517485937882
650000,新疆维吾尔自治区,2009,8153,6366,5425,66.54
650000,新疆维吾尔自治区,2008,6306,4721,4248,67.36
650000,新疆维吾尔自治区,2007,6734,5101,4807,71.38
650000,新疆维吾尔自治区,2006,6459,4881,4627,71.64
650000,新疆维吾尔自治区,2005,6379,4930,4439,69.59
