省份编码,省份,年份,城镇登记失业人数(万人),城镇登记失业率(%)
150000,内蒙古自治区,2017,27.0819,3.63
150000,内蒙古自治区,2016,26.7134,3.65
150000,内蒙古自治区,2015,25.8694,3.65
150000,内蒙古自治区,2014,24.7676,3.59
150000,内蒙古自治区,2013,23.8047,3.66
150000,内蒙古自治区,2012,23.1277,3.73
150000,内蒙古自治区,2011,21.8289,3.8
150000,内蒙古自治区,2010,20.811,3.9
150000,内蒙古自治区,2009,20.1428,3.97
150000,内蒙古自治区,2008,19.9167,4.1
150000,内蒙古自治区,2007,18.4572,3.99
150000,内蒙古自治区,2006,18.0,4.1
150000,内蒙古自治区,2005,17.74,4.26
150000,内蒙古自治区,2004,18.5,4.6
150000,内蒙古自治区,2003,17.6,4.5
150000,内蒙古自治区,2002,16.27,4.1
150000,内蒙古自治区,2001,14.5,3.7
150000,内蒙古自治区,2000,12.6,3.3
210000,辽宁省,2019,45.63,4.16
210000,辽宁省,2018,44.413,3.94
210000,辽宁省,2017,42.7169,3.8
210000,辽宁省,2016,47.3346,3.81
210000,辽宁省,2015,46.1546,3.42
210000,辽宁省,2014,40.9619,3.38
210000,辽宁省,2013,39.5544,3.35
210000,辽宁省,2012,38.0826,3.55
210000,辽宁省,2011,39.4319,3.68
210000,辽宁省,2010,38.9317,3.63
210000,辽宁省,2009,41.6188,3.87
210000,辽宁省,2008,41.6799,3.9
210000,辽宁省,2007,44.5249,4.28
210000,辽宁省,2006,54.1,5.1
210000,辽宁省,2005,60.4,5.62
210000,辽宁省,2004,70.1,6.5
210000,辽宁省,2003,72.0,6.5
210000,辽宁省,2002,75.57,6.5
210000,辽宁省,2001,55.5,3.2
210000,辽宁省,2000,41.2,3.7
220000,吉林省,2019,23.91,3.11
220000,吉林省,2018,26.8221,3.46
220000,吉林省,2017,26.2691,3.52
220000,吉林省,2016,25.7157,3.45
220000,吉林省,2015,23.8766,3.5
220000,吉林省,2014,23.1816,3.4
220000,吉林省,2013,22.6133,3.7
220000,吉林省,2012,22.2986,3.65
220000,吉林省,2011,22.2121,3.7
220000,吉林省,2010,22.65,3.8
220000,吉林省,2009,23.4456,3.95
220000,吉林省,2008,24.2956,3.98
220000,吉林省,2007,23.9353,3.92
220000,吉林省,2006,26.3,4.2
220000,吉林省,2005,27.64,4.2
220000,吉林省,2004,28.2,4.2
220000,吉林省,2003,28.4,4.3
220000,吉林省,2002,23.82,3.6
220000,吉林省,2001,20.2,3.1
220000,吉林省,2000,23.0,3.7
230000,黑龙江省,2019,34.69,3.53
230000,黑龙江省,2018,39.4131,3.99
230000,黑龙江省,2017,39.7408,4.21
230000,黑龙江省,2016,39.5753,4.22
230000,黑龙江省,2015,40.9774,4.47
230000,黑龙江省,2014,39.8531,4.47
230000,黑龙江省,2013,41.3738,4.44
230000,黑龙江省,2012,41.2613,4.15
230000,黑龙江省,2011,35.0299,4.1
230000,黑龙江省,2010,36.2397,4.27
230000,黑龙江省,2009,31.4101,4.27
230000,黑龙江省,2008,32.0702,4.23
230000,黑龙江省,2007,31.4747,4.26
230000,黑龙江省,2006,31.2,4.4
230000,黑龙江省,2005,31.3,4.42
230000,黑龙江省,2004,32.9,4.5
230000,黑龙江省,2003,35.0,4.2
230000,黑龙江省,2002,41.61,4.9
230000,黑龙江省,2001,35.5,4.7
230000,黑龙江省,2000,25.3,3.3
310000,上海市,2019,19.34,3.55
310000,上海市,2018,19.4067,3.53
310000,上海市,2017,22.0631,3.92
310000,上海市,2016,24.2558,4.08
310000,上海市,2015,24.8134,4.04
310000,上海市,2014,25.6312,4.06
310000,上海市,2013,25.2971,3.98
310000,上海市,2012,26.685,3.05
310000,上海市,2011,27.0045,3.54
310000,上海市,2010,27.6,4.35
310000,上海市,2009,27.8663,4.26
310000,上海市,2008,26.5597,4.2
310000,上海市,2007,26.6997,4.22
310000,上海市,2006,27.8,4.4
310000,上海市,2005,27.5,4.4
310000,上海市,2004,27.4,4.5
310000,上海市,2003,30.1,4.9
310000,上海市,2002,28.78,4.8
310000,上海市,2001,25.7219,
310000,上海市,2000,20.0764,3.5
320000,江苏省,2019,35.09,3.03
320000,江苏省,2018,34.3731,2.97
320000,江苏省,2017,34.6865,2.98
320000,江苏省,2016,35.2127,3.0
320000,江苏省,2015,36.0059,3.0
320000,江苏省,2014,36.5668,3.01
320000,江苏省,2013,37.6071,3.03
320000,江苏省,2012,40.4712,3.14
320000,江苏省,2011,41.4484,3.22
320000,江苏省,2010,40.6482,3.16
320000,江苏省,2009,40.7443,3.22
320000,江苏省,2008,41.0866,3.25
320000,江苏省,2007,39.2631,3.17
320000,江苏省,2006,40.4,3.4
320000,江苏省,2005,41.62,3.56
320000,江苏省,2004,42.9,3.8
320000,江苏省,2003,41.8,4.1
320000,江苏省,2002,42.17,4.2
320000,江苏省,2001,36.1,3.6
320000,江苏省,2000,30.4,3.2
330000,浙江省,2019,34.43,2.52
330000,浙江省,2018,34.0676,2.6
330000,浙江省,2017,33.7794,2.73
330000,浙江省,2016,33.852,2.87
330000,浙江省,2015,33.6898,2.93
330000,浙江省,2014,33.1397,2.96
330000,浙江省,2013,33.4113,3.01
330000,浙江省,2012,33.4101,3.01
330000,浙江省,2011,31.673,3.12
330000,浙江省,2010,31.1342,3.2
330000,浙江省,2009,30.6849,3.26
330000,浙江省,2008,30.6797,3.49
330000,浙江省,2007,28.6025,3.27
330000,浙江省,2006,29.1,3.5
330000,浙江省,2005,28.97,3.72
330000,浙江省,2004,30.1,4.1
330000,浙江省,2003,28.3,4.2
330000,浙江省,2002,27.73,4.2
330000,浙江省,2001,24.0,3.7
330000,浙江省,2000,21.8,3.5
340000,安徽省,2019,26.77,2.63
340000,安徽省,2018,28.0735,2.83
340000,安徽省,2017,28.9925,2.88
340000,安徽省,2016,30.4464,3.2
340000,安徽省,2015,30.9071,3.14
340000,安徽省,2014,31.4501,3.21
340000,安徽省,2013,32.3559,3.41
340000,安徽省,2012,31.3011,3.68
340000,安徽省,2011,33.1367,3.74
340000,安徽省,2010,26.8631,3.66
340000,安徽省,2009,30.0765,3.92
340000,安徽省,2008,29.3052,3.92
340000,安徽省,2007,27.1738,4.06
340000,安徽省,2006,28.2,4.3
340000,安徽省,2005,27.77,4.4
340000,安徽省,2004,26.1,4.2
340000,安徽省,2003,25.1,4.1
340000,安徽省,2002,22.63,4.0
340000,安徽省,2001,19.9,3.7
340000,安徽省,2000,16.5,3.3
350000,福建省,2019,16.81,3.5
350000,福建省,2018,17.3339,3.71
350000,福建省,2017,17.1458,3.87
350000,福建省,2016,16.2628,3.86
350000,福建省,2015,15.4053,3.66
350000,福建省,2014,14.349,3.47
350000,福建省,2013,14.6997,3.55
350000,福建省,2012,14.5452,3.63
350000,福建省,2011,14.6361,3.69
350000,福建省,2010,14.4929,3.77
350000,福建省,2009,15.1902,3.9
350000,福建省,2008,14.9552,3.86
350000,福建省,2007,14.8521,3.89
350000,福建省,2006,15.1,3.9
350000,福建省,2005,14.86,3.95
350000,福建省,2004,14.5,4.0
350000,福建省,2003,14.6,4.1
350000,福建省,2002,14.96,4.2
350000,福建省,2001,13.2,3.8
350000,福建省,2000,9.1,2.6
360000,江西省,2019,27.49,2.93
360000,江西省,2018,35.1091,3.44
360000,江西省,2017,32.3292,3.34
360000,江西省,2016,31.3295,3.35
360000,江西省,2015,29.9476,3.35
360000,江西省,2014,29.4113,3.27
360000,江西省,2013,27.4214,3.17
360000,江西省,2012,25.7,3.0
360000,江西省,2011,24.6416,2.98
360000,江西省,2010,26.2577,3.31
360000,江西省,2009,27.2984,3.44
360000,江西省,2008,25.995,3.42
360000,江西省,2007,24.3446,3.37
360000,江西省,2006,25.3,3.6
360000,江西省,2005,22.83,3.48
360000,江西省,2004,22.4,3.6
360000,江西省,2003,21.6,3.6
360000,江西省,2002,17.76,3.4
360000,江西省,2001,17.3,3.3
360000,江西省,2000,16.7,2.9
370000,山东省,2019,44.22,3.29
370000,山东省,2018,46.5387,3.35
370000,山东省,2017,45.7487,3.4
370000,山东省,2016,45.8405,3.46
370000,山东省,2015,43.6865,3.35
370000,山东省,2014,43.065,3.3
370000,山东省,2013,42.1505,3.24
370000,山东省,2012,43.4,3.33
370000,山东省,2011,45.1,3.35
370000,山东省,2010,44.5,3.36
370000,山东省,2009,45.1237,3.4
370000,山东省,2008,60.7439,3.7
370000,山东省,2007,43.4729,3.21
370000,山东省,2006,43.7,3.3
370000,山东省,2005,42.9,3.33
370000,山东省,2004,42.3,3.4
370000,山东省,2003,41.3,3.6
370000,山东省,2002,39.74,3.6
370000,山东省,2001,35.4,3.3
370000,山东省,2000,37.5,3.2
410000,河南省,2019,49.43,3.17
410000,河南省,2018,48.6037,3.02
410000,河南省,2017,40.6651,2.76
410000,河南省,2016,43.5755,3.0
410000,河南省,2015,42.458,2.96
410000,河南省,2014,40.0063,2.97
410000,河南省,2013,40.2423,3.09
410000,河南省,2012,38.3,3.08
410000,河南省,2011,38.4073,3.35
410000,河南省,2010,38.1571,3.38
410000,河南省,2009,38.4594,3.5
410000,河南省,2008,36.5139,3.4
410000,河南省,2007,33.0714,3.41
410000,河南省,2006,35.4,3.5
410000,河南省,2005,33.02,3.45
410000,河南省,2004,31.2,3.4
410000,河南省,2003,26.3,3.1
410000,河南省,2002,25.4,2.9
410000,河南省,2001,23.1,2.8
410000,河南省,2000,21.4,2.6
420000,湖北省,2019,37.63,2.44
420000,湖北省,2018,36.1384,2.55
420000,湖北省,2017,37.0722,2.59
420000,湖北省,2016,32.9149,2.41
420000,湖北省,2015,33.427,2.64
420000,湖北省,2014,37.8811,3.1
420000,湖北省,2013,40.1685,3.49
420000,湖北省,2012,42.2558,3.83
420000,湖北省,2011,55.1156,4.1
420000,湖北省,2010,55.6542,4.18
420000,湖北省,2009,55.2538,4.21
420000,湖北省,2008,55.0659,4.2
420000,湖北省,2007,54.1027,4.21
420000,湖北省,2006,52.6,4.2
420000,湖北省,2005,52.64,4.33
420000,湖北省,2004,49.4,4.2
420000,湖北省,2003,49.3,4.3
420000,湖北省,2002,44.66,4.3
420000,湖北省,2001,42.2,4.0
420000,湖北省,2000,36.6,3.5
430000,湖南省,2019,31.09,2.73
430000,湖南省,2018,40.3506,3.58
430000,湖南省,2017,44.458,4.02
430000,湖南省,2016,44.9429,4.19
430000,湖南省,2015,45.1008,4.09
430000,湖南省,2014,47.2947,4.14
430000,湖南省,2013,45.6468,4.2
430000,湖南省,2012,44.1278,4.23
430000,湖南省,2011,43.1448,4.21
430000,湖南省,2010,43.2172,4.16
430000,湖南省,2009,47.8062,4.14
430000,湖南省,2008,47.0105,4.2
430000,湖南省,2007,44.3797,4.25
430000,湖南省,2006,43.3,4.3
430000,湖南省,2005,41.86,4.27
430000,湖南省,2004,43.0,4.4
430000,湖南省,2003,37.1,3.8
430000,湖南省,2002,30.39,4.0
430000,湖南省,2001,30.3,4.0
430000,湖南省,2000,27.6,3.7
440000,广东省,2019,36.87,2.25
440000,广东省,2018,36.55,2.41
440000,广东省,2017,37.1337,2.47
440000,广东省,2016,37.9866,2.47
440000,广东省,2015,36.9667,2.45
440000,广东省,2014,36.8318,2.44
440000,广东省,2013,37.9789,2.43
440000,广东省,2012,39.6062,2.48
440000,广东省,2011,38.8345,2.46
440000,广东省,2010,39.3029,2.52
440000,广东省,2009,39.5093,2.6
440000,广东省,2008,38.0722,2.56
440000,广东省,2007,36.2227,2.51
440000,广东省,2006,36.2,2.6
440000,广东省,2005,34.49,2.58
440000,广东省,2004,35.9,2.7
440000,广东省,2003,35.5,2.9
440000,广东省,2002,36.49,3.1
440000,广东省,2001,34.5,2.9
440000,广东省,2000,30.2,2.5
450000,广西壮族自治区,2019,19.66,2.6
450000,广西壮族自治区,2018,16.71,2.34
450000,广西壮族自治区,2017,14.7228,2.21
450000,广西壮族自治区,2016,18.1302,2.93
450000,广西壮族自治区,2015,18.1263,2.92
450000,广西壮族自治区,2014,18.6592,3.15
450000,广西壮族自治区,2013,18.0497,3.3
450000,广西壮族自治区,2012,18.9404,3.41
450000,广西壮族自治区,2011,18.8133,3.46
450000,广西壮族自治区,2010,19.0707,3.66
450000,广西壮族自治区,2009,19.1139,3.74
450000,广西壮族自治区,2008,18.797,3.75
450000,广西壮族自治区,2007,18.471,3.79
450000,广西壮族自治区,2006,20.0,4.2
450000,广西壮族自治区,2005,18.5,4.15
450000,广西壮族自治区,2004,17.8,4.1
450000,广西壮族自治区,2003,14.9,3.6
450000,广西壮族自治区,2002,14.71,3.7
450000,广西壮族自治区,2001,14.2,3.5
450000,广西壮族自治区,2000,11.3,3.2
460000,海南省,2019,5.57,2.25
460000,海南省,2018,5.5089,2.3
460000,海南省,2017,5.4692,2.33
460000,海南省,2016,5.0611,2.36
460000,海南省,2015,4.7594,2.29
460000,海南省,2014,4.2522,2.26
460000,海南省,2013,3.944,2.17
460000,海南省,2012,3.6327,2.01
460000,海南省,2011,2.8547,1.73
460000,海南省,2010,4.7738,3.0
460000,海南省,2009,5.2971,3.48
460000,海南省,2008,5.6381,3.72
460000,海南省,2007,5.4098,3.49
460000,海南省,2006,5.2,3.6
460000,海南省,2005,5.08,3.55
460000,海南省,2004,4.7,3.4
460000,海南省,2003,3.6,3.4
460000,海南省,2002,4.0,3.1
460000,海南省,2001,3.8,3.4
460000,海南省,2000,3.7,3.2
500000,重庆市,2019,17.46,2.62
500000,重庆市,2018,13.0906,2.96
500000,重庆市,2017,14.2617,3.35
500000,重庆市,2016,15.6841,3.67
500000,重庆市,2015,14.2623,3.58
500000,重庆市,2014,13.4243,3.46
500000,重庆市,2013,12.0706,3.4
500000,重庆市,2012,12.4305,3.3
500000,重庆市,2011,12.9565,3.5
500000,重庆市,2010,13.0166,3.9
500000,重庆市,2009,13.4412,3.96
500000,重庆市,2008,13.0206,3.96
500000,重庆市,2007,14.1256,3.98
500000,重庆市,2006,15.4,4.0
500000,重庆市,2005,16.88,4.12
500000,重庆市,2004,16.8,4.1
500000,重庆市,2003,16.2,4.1
500000,重庆市,2002,16.18,4.1
500000,重庆市,2001,13.7233,3.9
500000,重庆市,2000,10.15,3.5
510000,四川省,2019,50.4,3.31
510000,四川省,2018,53.3091,3.47
510000,四川省,2017,55.7757,4.01
510000,四川省,2016,56.2629,4.15
510000,四川省,2015,54.6394,4.12
510000,四川省,2014,54.3601,4.15
510000,四川省,2013,42.8749,4.11
510000,四川省,2012,40.6733,4.02
510000,四川省,2011,36.931,4.16
510000,四川省,2010,34.555,4.14
510000,四川省,2009,36.2808,4.34
510000,四川省,2008,37.8636,4.57
510000,四川省,2007,34.531,4.24
510000,四川省,2006,36.1,4.5
510000,四川省,2005,34.3,4.61
510000,四川省,2004,33.3,4.4
510000,四川省,2003,33.1,4.4
510000,四川省,2002,33.82,4.5
510000,四川省,2001,31.9,4.3
510000,四川省,2000,30.8,4.0
520000,贵州省,2019,15.33,3.11
520000,贵州省,2018,15.063,3.16
520000,贵州省,2017,14.8973,3.23
520000,贵州省,2016,14.7846,3.24
520000,贵州省,2015,14.4923,3.29
520000,贵州省,2014,14.0872,3.27
520000,贵州省,2013,13.6571,3.26
520000,贵州省,2012,12.5605,3.29
520000,贵州省,2011,12.5091,3.63
520000,贵州省,2010,12.1798,3.64
520000,贵州省,2009,12.3378,3.81
520000,贵州省,2008,12.4678,3.98
520000,贵州省,2007,12.1329,3.97
520000,贵州省,2006,12.1,4.1
520000,贵州省,2005,12.13,4.2
520000,贵州省,2004,11.6,4.1
520000,贵州省,2003,11.2,4.0
520000,贵州省,2002,11.08,4.1
520000,贵州省,2001,11.1,4.0
520000,贵州省,2000,10.2,3.8
530000,云南省,2019,22.93,3.25
530000,云南省,2018,20.8789,3.4
530000,云南省,2017,19.8113,3.2
530000,云南省,2016,20.0999,3.6
530000,云南省,2015,19.4725,3.96
530000,云南省,2014,19.1912,3.98
530000,云南省,2013,18.0882,3.98
530000,云南省,2012,17.4397,4.03
530000,云南省,2011,15.994,4.05
530000,云南省,2010,15.6899,4.21
530000,云南省,2009,15.3987,4.26
530000,云南省,2008,14.7688,4.21
530000,云南省,2007,14.0226,4.18
530000,云南省,2006,13.8,4.3
530000,云南省,2005,12.97,4.17
530000,云南省,2004,11.9,4.3
530000,云南省,2003,12.1,4.1
530000,云南省,2002,9.8,4.0
530000,云南省,2001,8.0,3.3
530000,云南省,2000,6.8,2.6
540000,西藏自治区,2019,2.14,2.86
540000,西藏自治区,2018,2.1142,2.83
540000,西藏自治区,2017,1.9496,2.68
540000,西藏自治区,2016,1.8446,2.58
540000,西藏自治区,2015,1.7684,2.48
540000,西藏自治区,2014,1.6863,2.47
540000,西藏自治区,2013,1.6293,2.47
540000,西藏自治区,2012,1.6407,2.58
540000,西藏自治区,2011,1.0403,3.2
540000,西藏自治区,2010,2.0789,3.99
540000,西藏自治区,2009,2.0158,3.8
540000,西藏自治区,2008,,
540000,西藏自治区,2007,,
540000,西藏自治区,2006,,
540000,西藏自治区,2005,,4.3
540000,西藏自治区,2004,1.2,4.0
540000,西藏自治区,2003,,
540000,西藏自治区,2002,1.33,4.9
540000,西藏自治区,2001,,
540000,西藏自治区,2000,1.0,4.1
610000,陕西省,2019,23.8,3.23
610000,陕西省,2018,24.1193,3.21
610000,陕西省,2017,23.4351,3.28
610000,陕西省,2016,22.7433,3.3
610000,陕西省,2015,22.3486,3.36
610000,陕西省,2014,22.3486,3.34
610000,陕西省,2013,21.059,3.32
610000,陕西省,2012,19.4807,3.22
610000,陕西省,2011,20.9061,3.59
610000,陕西省,2010,21.4206,3.85
610000,陕西省,2009,21.4757,3.94
610000,陕西省,2008,20.8337,3.91
610000,陕西省,2007,20.9546,4.02
610000,陕西省,2006,21.5,4.0
610000,陕西省,2005,21.54,4.18
610000,陕西省,2004,18.5,3.8
610000,陕西省,2003,13.9,3.5
610000,陕西省,2002,13.51,3.3
610000,陕西省,2001,14.0,3.2
610000,陕西省,2000,11.4,2.7
620000,甘肃省,2019,10.83,3.0
620000,甘肃省,2018,9.9545,2.78
620000,甘肃省,2017,9.6455,2.71
620000,甘肃省,2016,9.7747,2.2
620000,甘肃省,2015,9.4843,2.14
620000,甘肃省,2014,9.7117,2.19
620000,甘肃省,2013,9.2979,2.3
620000,甘肃省,2012,9.8,2.68
620000,甘肃省,2011,10.7769,3.11
620000,甘肃省,2010,10.7224,3.21
620000,甘肃省,2009,10.2826,3.25
620000,甘肃省,2008,9.4308,3.23
620000,甘肃省,2007,9.5101,3.34
620000,甘肃省,2006,9.7,3.6
620000,甘肃省,2005,9.25,3.26
620000,甘肃省,2004,9.5,3.4
620000,甘肃省,2003,9.3,3.4
620000,甘肃省,2002,8.66,3.2
620000,甘肃省,2001,7.4,2.8
620000,甘肃省,2000,7.4,2.7
630000,青海省,2019,3.1,2.24
630000,青海省,2018,4.6476,2.97
630000,青海省,2017,4.6696,3.05
630000,青海省,2016,4.5845,3.12
630000,青海省,2015,4.4439,3.17
630000,青海省,2014,4.215,3.15
630000,青海省,2013,4.2262,3.31
630000,青海省,2012,4.0928,3.37
630000,青海省,2011,4.3538,3.76
630000,青海省,2010,4.2424,3.8
630000,青海省,2009,4.0646,3.8
630000,青海省,2008,3.8691,3.8
630000,青海省,2007,3.7248,3.75
630000,青海省,2006,3.7,3.9
630000,青海省,2005,3.63,3.93
630000,青海省,2004,3.5,3.9
630000,青海省,2003,3.1,3.8
630000,青海省,2002,2.85,3.6
630000,青海省,2001,2.4,3.5
630000,青海省,2000,1.8,2.4
640000,宁夏回族自治区,2019,5.05,3.74
640000,宁夏回族自治区,2018,5.3889,3.89
640000,宁夏回族自治区,2017,5.0665,3.87
640000,宁夏回族自治区,2016,5.0999,3.92
640000,宁夏回族自治区,2015,4.9423,4.02
640000,宁夏回族自治区,2014,4.9976,4.02
640000,宁夏回族自治区,2013,4.6925,4.06
640000,宁夏回族自治区,2012,4.6062,4.18
640000,宁夏回族自治区,2011,5.2223,4.4
640000,宁夏回族自治区,2010,4.7551,4.35
640000,宁夏回族自治区,2009,4.799,4.4
640000,宁夏回族自治区,2008,4.7671,4.35
640000,宁夏回族自治区,2007,4.4162,4.28
640000,宁夏回族自治区,2006,4.2,4.3
640000,宁夏回族自治区,2005,4.35,4.52
640000,宁夏回族自治区,2004,4.1,4.5
640000,宁夏回族自治区,2003,3.8,4.4
640000,宁夏回族自治区,2002,3.54,4.4
640000,宁夏回族自治区,2001,3.7,4.4
640000,宁夏回族自治区,2000,3.8,4.6
650000,新疆维吾尔自治区,2019,8.36,2.14
650000,新疆维吾尔自治区,2018,9.5492,2.36
650000,新疆维吾尔自治区,2017,9.9939,2.58
650000,新疆维吾尔自治区,2016,9.656,2.48
650000,新疆维吾尔自治区,2015,10.2753,2.86
650000,新疆维吾尔自治区,2014,11.2071,3.17
650000,新疆维吾尔自治区,2013,11.8965,3.36
650000,新疆维吾尔自治区,2012,11.8475,3.39
650000,新疆维吾尔自治区,2011,11.1183,3.22
650000,新疆维吾尔自治区,2010,10.9874,3.23
650000,新疆维吾尔自治区,2009,11.8586,3.84
650000,新疆维吾尔自治区,2008,11.765,3.7
650000,新疆维吾尔自治区,2007,11.6959,3.88
650000,新疆维吾尔自治区,2006,11.6,3.9
650000,新疆维吾尔自治区,2005,11.13,3.92
650000,新疆维吾尔自治区,2004,13.3,3.5
650000,新疆维吾尔自治区,2003,9.9,3.5
650000,新疆维吾尔自治区,2002,9.9,3.7
650000,新疆维吾尔自治区,2001,9.7,3.7
650000,新疆维吾尔自治区,2000,11.0,3.8
