省份编码,省份,年份,城镇单位就业人员工资总额(亿元),农、林、牧、渔业城镇单位就业人员工资总额(亿元),采矿业城镇单位就业人员工资总额(亿元),制造业城镇单位就业人员工资总额(亿元),电力、燃气及水的生产和供应业城镇单位就业人员工资总额(亿元),建筑业城镇单位就业人员工资总额(亿元),交通运输、仓储和邮政业城镇单位就业人员工资总额(亿元),信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元),批发和零售业城镇单位就业人员工资总额(亿元),住宿和餐饮业城镇单位就业人员工资总额(亿元),金融业城镇单位就业人员工资总额(亿元),房地产业城镇单位就业人员工资总额(亿元),租赁和商务服务业城镇单位就业人员工资总额(亿元),科学研究、技术服务和地质勘查业城镇单位就业人员工资总额(亿元),水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元),居民服务和其他服务业城镇单位就业人员工资总额(亿元),教育城镇单位就业人员工资总额(亿元),卫生、社会保障和社会福利业城镇单位就业人员工资总额(亿元),文化、体育和娱乐业城镇单位就业人员工资总额(亿元),公共管理和社会组织城镇单位就业人员工资总额(亿元)
140000,山西省,2014,2220.91721,6.93296,648.18096,276.48761,78.95456,154.30164,147.42863,31.15331,71.72377,12.32612,115.6456,13.50512,27.58619,38.32382,22.66276,4.19015,239.79463,76.1065,19.45354,236.15934
140000,山西省,2013,2161.1441,6.50426,694.40506,269.77855,70.51408,157.73459,130.75188,29.63532,69.35199,12.8115,104.81825,10.25513,22.66894,34.88835,19.59807,4.11203,216.76173,66.76687,16.91806,222.86944
140000,山西省,2012,1922.71458,7.12877,632.80176,242.50138,62.96672,153.57823,110.53536,20.2566,57.29531,19.88996,96.46947,7.60035,14.276,25.154,15.92691,1.45455,190.86137,55.03263,14.7952,194.19001
140000,山西省,2011,1598.85639,7.63205,537.03621,213.43657,51.84883,80.99874,95.95552,17.67582,42.42323,8.32684,81.58345,4.38845,12.96234,22.72013,13.46295,1.58091,171.76802,47.04512,13.55127,174.45994
140000,山西省,2010,1286.5,6.6,404.6,177.0,42.4,60.2,77.5,13.7,33.0,6.3,64.5,3.4,12.2,20.1,10.5,1.5,148.7,38.2,11.5,154.7
140000,山西省,2009,1073.04259,4.64126,308.49501,152.10468,36.34082,50.99007,67.60217,13.04576,28.57802,5.61499,48.9925,3.18397,10.42856,17.79985,9.34249,1.39952,131.86655,33.70521,10.83398,138.07718
140000,山西省,2008,957.31528,5.80378,270.00637,144.9418,35.67195,40.12032,65.52805,11.80241,24.68441,4.86306,43.13815,2.292,9.54582,16.23105,8.01684,1.17355,118.17022,30.58707,10.1355,114.60293
140000,山西省,2007,795.54715,4.87665,215.57107,128.22527,29.35777,35.19346,56.98235,10.67618,22.36732,4.18973,34.58708,2.06593,7.841,13.82507,7.47395,1.07375,97.5054,26.09844,8.40356,89.23317
140000,山西省,2006,655.31835,4.17489,181.24855,105.706,22.27843,30.1569,44.27195,8.14621,18.13666,3.07254,26.53641,1.61713,6.68571,11.35671,6.31596,1.61449,81.64067,21.88534,7.36442,73.10938
140000,山西省,2005,,,,,,,,,,,,,,,,,,,,
140000,山西省,2004,461.25794,,,,,,,,,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,2257.00445,43.88811,174.31882,232.07661,146.54672,74.52138,183.49769,43.0302,54.18596,12.59524,177.8802,28.38924,40.4887,62.07182,20.99465,3.48175,334.29575,153.80758,25.29518,445.63885
150000,内蒙古自治区,2018,2021.61684,74.52798,148.14134,229.60558,131.74296,80.8828,165.30035,41.33259,51.73469,13.58563,127.27905,23.48643,26.88189,45.54931,37.6258,3.41317,293.46369,135.01652,23.29744,368.74962
150000,内蒙古自治区,2017,1890.10243,87.07025,122.53355,225.41376,112.80165,94.74961,156.05425,36.00626,45.43034,14.489,94.24951,25.38509,25.4191,42.71228,36.84653,4.22185,286.92619,117.73872,25.85847,336.19602
150000,内蒙古自治区,2016,1828.2117,85.13444,122.37242,236.53102,113.85503,108.53546,153.81875,33.26989,43.55748,13.88236,91.65965,23.83694,18.9053,38.41037,34.67403,2.95631,270.30575,106.09944,23.04437,307.36269
150000,内蒙古自治区,2015,1741.05754,84.3353,125.54509,237.62108,104.53319,113.97313,133.21265,32.88116,44.48562,14.9213,87.19041,22.50181,20.72774,39.51248,33.81876,3.47353,251.46199,95.09369,21.17371,274.5949
150000,内蒙古自治区,2014,1672.27104,77.56031,145.39719,226.95423,95.65237,132.28279,132.41743,30.9256,45.17416,14.69333,83.24079,20.39338,20.34086,37.36688,32.60827,3.43326,225.05915,86.05211,19.41324,243.30569
150000,内蒙古自治区,2013,1599.08704,71.49241,150.15349,217.73801,84.64367,138.58257,120.33493,31.99472,45.93672,14.77778,76.79799,19.69739,19.45673,34.33554,32.7049,3.5197,217.84452,77.66899,18.18729,223.21969
150000,内蒙古自治区,2012,1304.7295,66.82269,128.77734,178.97292,70.06434,90.03028,89.28436,20.05474,29.9011,8.92091,68.82536,7.30143,13.07301,23.47493,29.65136,2.42783,195.27531,65.2723,16.37206,200.22723
150000,内蒙古自治区,2011,1122.04517,60.02115,105.62448,147.72848,57.38339,75.92051,77.77983,17.05048,22.23425,6.81398,57.4625,7.36989,11.16279,20.1214,24.73595,9.8378,176.75797,57.3083,14.42726,172.30476
150000,内蒙古自治区,2010,888.2,48.3,78.0,112.2,49.7,42.9,64.5,14.5,16.2,5.0,45.9,4.7,9.0,17.4,20.1,8.2,151.1,46.8,12.5,141.3
150000,内蒙古自治区,2009,761.8113,40.40309,66.32615,97.59457,44.0706,40.83805,56.48473,12.5164,14.05844,4.1191,40.06851,4.10292,7.52883,14.92926,16.96198,6.42133,128.27624,39.28006,10.6017,117.22934
150000,内蒙古自治区,2008,645.85461,36.65438,55.75509,88.94082,39.35114,31.62163,48.95817,10.77447,12.65133,3.9804,32.19116,3.22299,6.55494,12.93035,13.14388,6.37238,104.37276,32.73789,8.84096,96.79987
150000,内蒙古自治区,2007,541.26153,33.65534,46.02115,79.80604,33.90684,29.00773,41.42879,9.09411,10.69913,3.44016,24.43996,2.64702,5.15663,11.20714,11.49583,4.16018,85.16485,26.06502,7.53306,76.33255
150000,内蒙古自治区,2006,450.92697,29.44258,36.14701,66.74596,30.57769,24.08675,33.85097,7.73558,9.78484,3.10927,19.41995,2.16653,4.36758,9.36347,8.69,3.56942,71.04409,21.74109,6.52852,62.55567
150000,内蒙古自治区,2005,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2019,3665.97059,29.84134,161.59286,814.84194,124.04332,200.29539,286.27081,144.55507,116.12957,21.21666,303.5094,67.83419,68.30113,96.04034,31.82478,10.71164,422.23216,249.12431,31.26945,486.33623
210000,辽宁省,2018,3399.94578,34.33497,162.16968,781.20361,124.01609,216.62279,261.57977,126.33904,113.98229,26.27633,246.56273,65.68617,59.23031,90.1429,41.05076,16.72093,373.21384,221.8,26.59866,412.41491
210000,辽宁省,2017,3200.04618,36.50496,152.07493,732.99519,96.4343,246.39654,260.49376,116.76713,104.71092,25.12474,240.22977,58.90836,54.60923,89.817,48.70365,9.3547,366.63482,209.66584,26.15403,324.46631
210000,辽宁省,2016,3173.32481,34.97841,146.00483,754.83003,99.76884,295.91196,240.9554,110.86778,107.93255,24.69133,211.21782,64.07701,52.46618,96.50944,49.3513,9.47306,356.48901,194.02694,26.37197,297.40095
210000,辽宁省,2015,3310.69601,32.33545,165.48267,796.73504,94.3206,404.72897,236.62815,109.59465,118.46483,25.47627,212.97142,66.34734,48.60562,104.80463,51.45327,9.48003,347.5709,188.57569,25.37051,271.74997
210000,辽宁省,2014,3280.19656,30.06192,184.98709,833.08808,90.85186,479.6839,224.83765,102.94501,117.22734,27.69515,186.1671,68.26879,47.58798,103.87802,47.53542,9.76403,299.98643,168.78309,24.51737,232.33033
210000,辽宁省,2013,3229.70106,30.1733,194.50345,821.0726,87.38861,526.58745,208.46822,91.59926,112.45464,26.77866,167.30633,62.46695,45.71459,98.2124,46.11665,9.60986,291.36158,159.83088,25.80265,224.25298
210000,辽宁省,2012,2550.54145,30.39665,175.52853,668.79637,84.71607,247.97749,167.34615,58.70113,74.97689,21.99029,155.71149,45.68207,30.61958,86.34727,43.15436,9.05841,276.31468,134.39078,21.94368,216.88956
210000,辽宁省,2011,2242.73577,30.39345,161.12397,609.53952,77.93067,184.42618,143.30239,48.78513,69.72612,18.78911,133.9064,36.02485,36.54456,73.85075,37.62696,8.68725,241.88634,112.13182,21.27628,196.78402
210000,辽宁省,2010,1787.2,28.0,144.1,463.2,70.4,94.9,115.9,38.1,49.6,13.9,109.0,24.4,30.2,56.6,31.2,7.0,216.9,92.8,18.6,182.3
210000,辽宁省,2009,1557.46572,24.31191,125.84329,407.81953,57.79849,80.62503,103.10893,32.62535,44.7122,12.16734,90.08731,18.90196,21.58074,45.92911,26.69459,4.88753,193.80358,78.35782,18.89658,169.31443
210000,辽宁省,2008,1396.89314,23.34404,120.05158,382.69533,57.1081,66.72616,97.05468,29.53544,34.55362,10.33738,80.40567,14.70479,21.53729,38.2554,21.70839,3.81893,161.21626,64.48963,14.70882,154.64163
210000,辽宁省,2007,1140.43165,22.05256,82.28765,313.87534,51.25571,53.40588,85.63655,22.68466,27.89365,8.76398,65.09457,11.27967,14.43008,30.72992,17.99528,3.20858,132.79432,52.80784,12.44051,131.7949
210000,辽宁省,2006,967.63498,19.06413,71.87448,273.2895,43.17329,49.82975,74.89157,19.85692,26.23252,8.14763,52.3072,10.67498,13.19571,25.25417,15.21552,3.43724,103.45534,45.61634,11.26645,100.85224
210000,辽宁省,2005,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2019,2051.68897,29.37311,62.09942,422.6088,92.96678,85.96671,125.09879,46.48551,58.65631,9.78045,155.8135,31.43805,35.04242,64.55966,27.05766,7.15102,305.35598,166.44519,21.51022,304.27939
220000,吉林省,2018,1928.61926,37.64431,62.67715,427.47597,88.13535,101.79952,113.82974,49.12797,58.93263,9.53346,121.27698,28.69453,34.79356,55.63891,29.92509,8.04299,271.89388,146.34681,23.4289,259.42151
220000,吉林省,2017,1898.9715,42.13856,68.54041,463.4163,89.96328,119.87982,109.33441,45.8865,54.71859,10.66723,105.74708,31.40121,32.02327,50.96952,31.22962,9.44935,257.44325,130.33843,21.13946,224.68521
220000,吉林省,2016,1824.76199,41.16333,67.68453,478.9764,87.45243,137.7931,99.51122,41.99489,50.45952,9.67039,97.91991,29.87868,25.49916,48.08358,28.78592,8.26164,236.50962,117.65623,19.85922,197.60222
220000,吉林省,2015,1718.69363,38.28589,73.8856,465.07228,87.35875,144.96075,96.96243,41.8549,46.57206,9.62029,89.0364,26.63025,20.43051,45.28974,26.02943,7.02787,212.54332,97.15376,18.64123,171.33817
220000,吉林省,2014,1589.90354,34.19528,78.41183,452.84682,79.3319,147.67987,88.92746,37.319,47.10225,9.24476,82.61515,25.59272,21.02954,42.19557,22.71723,5.46913,174.86618,82.4194,14.16566,143.77379
220000,吉林省,2013,1476.60846,31.68439,77.9029,409.32921,74.25713,145.82496,82.91945,33.49443,44.38276,9.15666,72.73626,22.19983,18.56291,39.80036,20.34471,3.69484,166.8138,76.31441,13.611,133.57845
220000,吉林省,2012,1107.29616,33.23307,67.39582,260.27835,36.70604,65.36655,71.13588,21.27636,30.24105,7.72427,64.74371,17.27368,17.28295,38.02544,17.8731,2.75332,152.09284,66.63408,12.41264,124.84701
220000,吉林省,2011,940.26607,31.41917,53.45649,229.88697,31.46611,44.79354,53.20973,22.20951,25.66438,6.94329,56.91897,14.60067,13.76275,31.24998,16.90177,2.47674,133.80541,57.07667,11.40627,103.01765
220000,吉林省,2010,776.3,25.1,53.1,187.8,27.0,30.7,44.5,17.4,20.4,5.5,43.2,8.1,10.5,25.7,14.9,1.9,115.8,43.4,10.0,91.4
220000,吉林省,2009,689.53909,22.07636,57.33275,153.74721,23.53016,27.46934,41.02598,15.57663,16.49895,4.62865,35.56515,7.09234,9.42856,21.80016,12.2393,1.71756,108.69781,38.88396,9.28852,82.9397
220000,吉林省,2008,611.53378,20.01046,50.91299,136.33755,23.07045,24.03737,37.75718,10.51109,14.99425,4.42054,28.24995,6.10337,8.05065,18.77514,10.88478,1.8001,99.26576,32.65143,8.21994,75.48078
220000,吉林省,2007,536.66527,17.11395,41.84889,121.58904,20.32588,22.11299,33.02417,9.95847,13.02218,3.78469,24.77168,5.82974,6.57306,16.12218,9.13479,1.50335,87.0467,29.00787,7.56856,66.32708
220000,吉林省,2006,436.98831,14.74854,35.57102,99.64219,17.39476,19.35958,30.34706,8.40576,11.92566,3.352,19.82865,4.73934,5.07603,12.08573,7.51216,1.74309,67.15267,22.2858,5.83773,49.98054
220000,吉林省,2005,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,2421.20266,136.56014,214.13276,210.02181,115.98146,100.62806,216.54718,63.06568,67.37081,5.77196,168.74117,29.89503,88.08892,82.35935,27.35359,19.20369,333.52312,182.37347,17.99898,341.58548
230000,黑龙江省,2018,2421.38295,215.49411,215.28123,246.77033,99.97542,114.64517,189.28543,51.52933,81.67505,16.35657,144.49337,32.42286,59.82186,76.41601,40.09586,25.83702,318.32438,164.73367,21.67,306.55528
230000,黑龙江省,2017,2368.56672,227.06771,179.5529,254.95139,115.21157,118.70418,187.04004,52.92857,89.26215,18.08634,150.37289,29.04037,41.7741,78.48534,39.19944,23.38543,303.73303,154.13722,22.5043,283.12975
230000,黑龙江省,2016,2251.43571,190.5012,174.10608,261.34804,114.76729,132.91805,172.37171,44.17358,88.80149,18.11423,132.23048,28.06071,33.06319,74.93748,38.77083,23.47203,294.25856,142.02946,21.75378,265.75752
230000,黑龙江省,2015,2164.17103,187.64045,185.74139,265.43802,113.83848,143.59288,162.40927,47.94347,80.13178,17.6037,116.4447,27.14736,27.73881,73.82242,35.84309,22.60796,277.43305,124.2543,20.20345,234.33645
230000,黑龙江省,2014,2033.06628,185.96351,200.50704,266.38484,105.38946,167.28852,157.79226,45.32276,75.98212,17.77505,96.9612,24.69134,24.42116,72.24894,28.87085,22.99137,223.72718,106.72012,17.58315,192.44541
