年份,大中型工业企业所有者权益合计,煤炭开采和洗选业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,开采辅助活动大中型工业企业所有者权益合计,其他采矿业大中型工业企业所有者权益合计,农副食品加工业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,酒、饮料和精制茶制造业大中型工业企业所有者权益合计,烟草制品业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,纺织服装、服饰业大中型工业企业所有者权益合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业所有者权益合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,造纸和纸制品业大中型工业企业所有者权益合计,印刷和记录媒介复制业大中型工业企业所有者权益合计,文教、工美、体育和娱乐用品制造业大中型工业企业所有者权益合计,石油加工、炼焦和核燃料加工业大中型工业企业所有者权益合计,化学原料和化学制品制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,橡胶和塑料制品业大中型工业企业所有者权益合计,非金属矿物制品业大中型工业企业所有者权益合计,黑色金属冶炼和压延加工业大中型工业企业所有者权益合计,有色金属冶炼和压延加工业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,通用设备制造业大中型工业企业所有者权益合计,专用设备制造业大中型工业企业所有者权益合计,汽车制造业大中型工业企业所有者权益合计,铁路、船舶、航空航天和其他运输设备大中型工业企业所有者权益合计,电气机械和器材制造业大中型工业企业所有者权益合计,计算机、通信和其他电子设备制造业大中型工业企业所有者权益合计,仪器仪表制造业大中型工业企业所有者权益合计,其他制造业大中型工业企业所有者权益合计,废弃资源综合利用业大中型工业企业所有者权益合计,金属制品、机械和设备修理业大中型工业企业所有者权益合计,电力、热力生产和供应业大中型工业企业所有者权益合计,燃气生产和供应业大中型工业企业所有者权益合计,水的生产和供应业大中型工业企业所有者权益合计
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
