省份编码,省份,年份,森林火灾次数(次),一般火灾次数(次),较大火灾次数(次),重大火灾次数(次),特别重大火灾次数(次),火场总面积(公顷),受害森林面积(公顷),天然林受害面积(公顷),人工林受害面积(公顷),森林火灾伤亡人数(人),森林火灾死亡人数(人),森林火灾其他损失折款(万元)
150000,内蒙古自治区,2004,134,53,,7,,5126.5,3817.31,368.69,441.596,,,224.17
150000,内蒙古自治区,2003,,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,
210000,辽宁省,2019,63,35,26,2,,2023.21,1441.38,,,,,6369.15
210000,辽宁省,2018,40,17,23,,,750.41,370.5,,,,,348.32
210000,辽宁省,2017,80,47,33,,,801.56,356.1,,,,,180.61
210000,辽宁省,2016,97,44,53,,,1705.8788,695.5691,,,1,,12.0
210000,辽宁省,2015,116,50,66,,,1921.619,884.86,,,7,,88.0
210000,辽宁省,2014,105,77,28,,,1045.045,377.518,,,,,16.5
210000,辽宁省,2013,25,19,6,,,143.25,30.536,,,,,1.1
210000,辽宁省,2012,51,27,24,,,373.76,119.86,,,,,37.6
210000,辽宁省,2011,54,40,14,,,577.158,155.108,1.15,153.958,,,16.0
210000,辽宁省,2010,58,44,14,,,403.79,98.987,19.76,79.227,,,61.0
210000,辽宁省,2009,176,123,53,,,1424.074,480.961,47.0,410.141,,,12.88
210000,辽宁省,2008,228,60,,,,1248.928,301.803,14.44,287.363,1,1,0.5
210000,辽宁省,2007,137,15,,,,485.489,150.956,8.96,141.636,,,1.3
210000,辽宁省,2006,274,53,,,,1744.847,245.266,2.4,242.866,1,1,
210000,辽宁省,2005,230,44,,,,541.432,129.554,8.35,121.843,1,1,42.72
210000,辽宁省,2004,202,21,,,,430.318,175.718,13.712,160.886,3,3,10.996
210000,辽宁省,2003,,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,
220000,吉林省,2019,46,36,10,,,138.5,62.66,,,2,,115.0
220000,吉林省,2018,83,64,19,,,264.95,84.92,,,1,,145.4
220000,吉林省,2017,90,80,10,,,449.88,173.88,,,1,,396.48
220000,吉林省,2016,66,49,17,,,123.36,56.75,,,,,44.9
220000,吉林省,2015,125,94,31,,,540.6789,226.3615,,,,,128.8461
220000,吉林省,2014,71,58,13,,,133.925,52.135,,,1,,378.0129
220000,吉林省,2013,11,9,2,,,62.96,6.88,,,,,1.85
220000,吉林省,2012,41,26,15,,,177.83,57.98,,,1,,207.92
220000,吉林省,2011,58,47,11,,,240.365,54.701,,17.871,1,1,405.2
220000,吉林省,2010,19,18,1,,,84.43,4.74,,4.71,,,16.015
220000,吉林省,2009,131,98,33,,,350.99,205.76,1.39,104.94,,,240.21
220000,吉林省,2008,151,22,,,,444.921,260.144,8.7,30.829,,,533.766
220000,吉林省,2007,72,4,,,,81.413,40.593,,6.33,,,26.534
220000,吉林省,2006,24,,,,,10.179,4.259,1.03,1.59,,,1.249
220000,吉林省,2005,37,5,,,,42.16,26.26,,5.46,,,20.072
220000,吉林省,2004,95,20,,,,327.18,219.36,2.375,111.44,,,633.25
220000,吉林省,2003,,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,
230000,黑龙江省,2019,10,9,1,,,11.4,4.71,,,,,
230000,黑龙江省,2018,44,28,15,,1,2615.75,2406.78,,,,,5.0
230000,黑龙江省,2017,97,85,12,,,883.25,238.66,,,,,
230000,黑龙江省,2016,29,27,2,,,639.88,42.54,,,,,
230000,黑龙江省,2015,94,87,7,,,787.04981,158.01401,,,,,0.3
230000,黑龙江省,2014,33,27,6,,,301.132,141.82,,,,,
230000,黑龙江省,2013,14,13,1,,,106.41,11.01,,,,,
230000,黑龙江省,2012,49,40,9,,,1045.53,235.02,,,,,
230000,黑龙江省,2011,43,40,3,,,1741.26,58.48,41.48,17.0,,,
230000,黑龙江省,2010,30,11,9,7,3,13778.62,11737.62,11737.62,,,,
230000,黑龙江省,2009,54,36,17,,1,99818.57,1833.61,1743.06,90.55,5,1,
230000,黑龙江省,2008,84,8,,,,18402.3,373.72,276.56,97.16,,,
230000,黑龙江省,2007,100,18,,,,39721.013,787.393,709.083,76.35,,,
230000,黑龙江省,2006,87,8,,1,2,415349.19,325972.8,325971.3,1.5,38,,0.08
230000,黑龙江省,2005,103,10,,,2,132248.05,24307.9,24307.9,,,,
230000,黑龙江省,2004,106,17,,3,3,185547.2,69092.5,67726.7,1365.8,,,2436.09
230000,黑龙江省,2003,,,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,
310000,上海市,2019,,,,,,,,,,,,
310000,上海市,2018,,,,,,,,,,,,
310000,上海市,2017,,,,,,,,,,,,
310000,上海市,2016,,,,,,,,,,,,
310000,上海市,2015,,,,,,,,,,,,
310000,上海市,2014,,,,,,,,,,,,
310000,上海市,2013,,,,,,,,,,,,
310000,上海市,2012,,,,,,,,,,,,
310000,上海市,2011,,,,,,,,,,,,
310000,上海市,2010,,,,,,,,,,,,
310000,上海市,2009,,,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,
320000,江苏省,2019,7,7,,,,11.19,0.69,,,,,
320000,江苏省,2018,16,16,,,,18.9,3.3,,,,,5.4
320000,江苏省,2017,11,11,,,,17.9,1.8,,,,,4.6
320000,江苏省,2016,15,15,,,,16.77,1.455,,,,,0.2
320000,江苏省,2015,8,8,,,,1.221,,,,,,
320000,江苏省,2014,31,29,2,,,44.86,5.11,,,,,8.5
320000,江苏省,2013,33,32,1,,,52.099,13.718,,,,,5.08
320000,江苏省,2012,30,30,,,,6.267,1.027,,,,,3.38
320000,江苏省,2011,54,51,3,,,141.706,52.412,,52.412,,,5.3
320000,江苏省,2010,53,53,,,,44.005,3.215,,3.215,,,4.96
320000,江苏省,2009,50,49,1,,,48.827,5.022,,5.022,,,
320000,江苏省,2008,61,6,,,,78.719,21.459,,21.459,,,6.6
320000,江苏省,2007,47,,,,,33.709,5.203,,5.203,,,4.43
320000,江苏省,2006,35,3,,,,60.685,27.27,,27.27,,,3.6
320000,江苏省,2005,172,21,,,,882.345,387.971,,388.511,1,1,243.364
320000,江苏省,2004,165,22,,,,498.007,151.053,,151.853,1,,99.61
320000,江苏省,2003,,,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,
330000,浙江省,2019,30,12,18,,,217.78,115.54,,,,,165.65
330000,浙江省,2018,45,17,28,,,288.63,117.18,,,,,173.81
330000,浙江省,2017,70,18,52,,,511.88,250.57,,,1,,313.57
330000,浙江省,2016,83,23,60,,,531.77,261.34,,,2,,
330000,浙江省,2015,67,9,58,,,853.58,301.15,,,3,,
330000,浙江省,2014,155,25,130,,,1749.05,785.53,,,9,,
330000,浙江省,2013,206,34,172,,,2540.39,1270.82,,,2,,
330000,浙江省,2012,139,14,125,,,2090.77,906.02,,,,,
330000,浙江省,2011,433,83,350,,,4707.53,2089.54,,1474.91,12,6,7.5
330000,浙江省,2010,97,22,75,,,714.66,361.38,,254.81,,,
330000,浙江省,2009,247,51,196,,,3547.18,1579.55,,1207.31,5,3,39.3
330000,浙江省,2008,425,353,,,,8309.16,4040.08,,2897.09,14,7,33.1
330000,浙江省,2007,272,205,,,,3186.73,1567.08,,1114.35,7,2,53.25
330000,浙江省,2006,330,258,,,,3344.26,2066.84,,1066.1,15,10,4.5
330000,浙江省,2005,718,586,,2,,11671.63,6944.53,,3836.45,24,15,
330000,浙江省,2004,1125,901,,10,,19246.8,10838.87,,6651.83,46,24,187.26
330000,浙江省,2003,,,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,
340000,安徽省,2019,43,34,9,,,178.01,42.35,,,,,15.35
340000,安徽省,2018,42,38,4,,,47.63,17.2,,,,,2.16
340000,安徽省,2017,127,117,10,,,241.88,47.32,,,,,12.53
340000,安徽省,2016,42,27,15,,,171.83,75.616,,,,,9.92
340000,安徽省,2015,22,21,1,,,19.101,5.44,,,,,0.6
340000,安徽省,2014,140,72,68,,,748.71,265.05,,,1,,5.4
340000,安徽省,2013,67,38,29,,,314.22,157.69,,,,,52.91
340000,安徽省,2012,81,57,24,,,307.3,85.5,,,1,,20.12
340000,安徽省,2011,250,179,71,,,751.6,254.6,2.9,251.7,2,2,59.96
340000,安徽省,2010,184,93,91,,,938.08,392.74,,392.74,2,1,19.4
340000,安徽省,2009,100,57,43,,,757.7,311.1,1.2,309.9,,,55.35
340000,安徽省,2008,213,90,,,,1344.6,579.1,9.1,570.0,1,1,136.28
340000,安徽省,2007,159,62,,,,655.2,276.6,3.0,273.6,,,8.28
340000,安徽省,2006,119,39,,,,416.2,173.0,,173.0,2,,36.88
340000,安徽省,2005,325,140,,,,2685.5,1168.9,,1168.9,6,,211.61
340000,安徽省,2004,349,143,,,,2065.5,1047.9,,1047.9,1,,330.14
340000,安徽省,2003,,,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,,
350000,福建省,2019,26,6,20,,,328.4,217.44,,,2,,216.62
350000,福建省,2018,89,14,75,,,807.38,577.53,,,5,,48.92
350000,福建省,2017,52,10,42,,,467.3,318.55,,,,,32.7
350000,福建省,2016,29,8,21,,,366.85,221.12,,,4,,15.5
350000,福建省,2015,114,5,108,1,,2146.63,1415.57,,,2,,144.94
350000,福建省,2014,130,10,120,,,1643.74,1145.13,,,2,,33773.71
350000,福建省,2013,132,13,119,,,2224.28,1375.57,,,2,,83.63
350000,福建省,2012,92,6,86,,,1077.77,700.1,,,,,5077.85
350000,福建省,2011,407,18,387,2,,9365.77,6503.37,180.317,6323.06,20,3,222.44
350000,福建省,2010,131,7,124,,,1822.51,1448.54,68.4,1380.151,,,31.47
350000,福建省,2009,579,38,528,13,,16018.25,11010.58,206.7,10803.88,6,4,1776.91
350000,福建省,2008,520,470,,7,,11672.79,7967.49,109.0,7858.503,7,7,327.02
350000,福建省,2007,237,202,,,,3359.47,2119.08,14.02,2105.06,,,86.73
350000,福建省,2006,158,134,,,,2137.35,1316.36,42.7,1273.66,,,56.42
350000,福建省,2005,309,266,,2,,5220.16,3428.86,61.0,3367.86,3,2,44.23
350000,福建省,2004,1164,1004,,6,,22444.8,13589.8,140.7,13438.8,28,21,574.7
350000,福建省,2003,,,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,,
360000,江西省,2019,60,35,25,,,1199.17,489.14,,,,,170.63
360000,江西省,2018,58,24,34,,,803.75,478.67,,,1,,472.27
360000,江西省,2017,67,9,58,,,1738.82,707.15,,,,,477.92
360000,江西省,2016,43,16,27,,,674.39,190.2,,,4,,233.89
360000,江西省,2015,40,9,31,,,1616.92,334.9,,,,,224.53
360000,江西省,2014,158,29,129,,,3634.58,1579.33,,,4,,1401.51
360000,江西省,2013,82,20,62,,,2038.53,751.6,,,1,,678.52
360000,江西省,2012,46,12,34,,,1154.36,411.66,,,,,248.13
360000,江西省,2011,151,37,114,,,3827.98,1435.13,43.73,1391.4,4,3,579.18
360000,江西省,2010,79,24,55,,,1337.96,729.24,37.45,691.79,1,1,210.34
360000,江西省,2009,394,91,303,,,8183.63,3299.82,21.23,3278.59,21,1,1275.17
360000,江西省,2008,572,475,,,,13731.627,6934.11,30.55,6903.56,6,6,1998.58
360000,江西省,2007,326,226,,,,4542.24,2053.66,17.18,2036.48,19,7,488.178
360000,江西省,2006,130,97,,,,2053.26,1073.02,26.7,1046.32,,,437.81
360000,江西省,2005,355,295,,,,9321.27,4626.46,528.58,4097.88,7,6,1275.38
360000,江西省,2004,1119,778,,6,,23199.52,12711.18,2071.49,10639.69,43,9,3091.86
360000,江西省,2003,,,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,,
370000,山东省,2019,6,6,,,,4.84,2.91,,,,,23.2
370000,山东省,2018,20,14,6,,,265.76,141.29,,,,,8.2
370000,山东省,2017,19,8,11,,,69.86,49.56,,,7,,15.6
370000,山东省,2016,13,8,5,,,96.49,55.8,,,3,,6.0
370000,山东省,2015,10,5,5,,,74.95,33.86,,,,,1.025
370000,山东省,2014,25,7,18,,,271.913,160.473,,,,,
370000,山东省,2013,19,12,7,,,138.85,109.35,,,,,0.6
370000,山东省,2012,8,6,2,,,15.23,7.67,,,,,2.4
370000,山东省,2011,32,25,5,2,,897.26,860.6,,860.6,,,8944.45
370000,山东省,2010,22,11,11,,,156.81,55.74,1.15,55.14,,,46.622
370000,山东省,2009,17,6,11,,,210.43,69.06,,69.06,,,10.0
370000,山东省,2008,47,,,,,48.5,5.8,,5.8,,,4.3
370000,山东省,2007,32,11,,,,133.87,78.18,,78.18,,,16.8
370000,山东省,2006,66,20,,,,286.75,80.32,,80.32,,,10.66
370000,山东省,2005,90,40,,,,538.84,242.677,,242.677,6,5,362.21
370000,山东省,2004,45,3,,,,124.313,42.447,,42.447,,,3.32
370000,山东省,2003,,,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,,
410000,河南省,2019,156,144,12,,,595.83,59.68,,,2,,241.0
410000,河南省,2018,41,37,4,,,125.8,4.93,,,1,,67.8
410000,河南省,2017,81,76,5,,,236.81,13.96,,,,,13.51
410000,河南省,2016,191,179,12,,,381.801,69.491,,,,,16.2
410000,河南省,2015,45,45,,,,209.54,2.54,,,,,3.5
410000,河南省,2014,265,210,55,,,974.5,333.97,,,4,,18.39
410000,河南省,2013,693,533,160,,,3047.826,618.62,,,,,92.269
410000,河南省,2012,328,286,42,,,737.99,191.65,,,,,39.17
410000,河南省,2011,622,398,224,,,2103.21,889.59,,889.59,,,54.74
410000,河南省,2010,519,388,131,,,1373.9,505.25,,505.25,,,246.24
410000,河南省,2009,596,436,160,,,1989.63,810.47,,810.47,,,82.63
410000,河南省,2008,983,257,,,,2886.95,828.46,,828.46,,,183.09
410000,河南省,2007,816,145,,,,2610.47,852.91,11.56,841.35,1,1,310.77
410000,河南省,2006,960,140,,,,1106.63,425.03,56.0,368.83,,,102.58
410000,河南省,2005,982,141,,,,1694.01,507.28,76.03,431.25,,,207.991
410000,河南省,2004,388,29,,,,503.444,149.977,4.77,145.207,1,,108.998
410000,河南省,2003,,,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,,
420000,湖北省,2019,200,169,31,,,1489.3,385.86,,,3,,262.28
420000,湖北省,2018,153,108,45,,,1077.67,194.16,,,2,,24.36
420000,湖北省,2017,466,427,39,,,821.78,217.01,,,2,,84.71
420000,湖北省,2016,213,192,21,,,875.77,116.8376,,,,,15.16
420000,湖北省,2015,70,57,13,,,293.326,29.48,,,1,,10.7
420000,湖北省,2014,235,208,27,,,1223.1,184.957,,,1,,25.42
420000,湖北省,2013,286,247,39,,,1024.33,214.7,,,2,,0.31
420000,湖北省,2012,385,356,29,,,1205.01,236.04,,,,,1.18
420000,湖北省,2011,510,379,131,,,3113.88,676.85,24.66,651.79,,,20.12
420000,湖北省,2010,682,598,84,,,3190.07,589.287,75.02,483.497,2,2,62.31
420000,湖北省,2009,660,575,85,,,2227.946,473.45,76.56,390.46,,,5.77
420000,湖北省,2008,1207,303,,1,,6827.318,1604.861,261.391,1331.97,11,11,112.258
420000,湖北省,2007,884,260,,,,4637.1,1117.16,80.92,1032.25,6,4,235.85
420000,湖北省,2006,511,162,,,,3868.661,943.37,96.73,1074.85,2,1,27.084
420000,湖北省,2005,1055,331,,3,,6639.997,1709.39,141.267,1600.483,20,18,72.14
420000,湖北省,2004,832,225,,1,,5055.95,1618.27,208.12,1388.7,23,17,62.4
420000,湖北省,2003,,,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,,
430000,湖南省,2019,272,171,101,,,1815.7,864.9,,,,,559.47
430000,湖南省,2018,290,185,105,,,1525.58,649.06,,,1,,178.31
430000,湖南省,2017,334,199,135,,,2195.5,961.19,,,5,,323.13
430000,湖南省,2016,65,30,35,,,523.59,316.042,,,1,,96.28
430000,湖南省,2015,51,22,29,,,533.94,284.667,,,3,,188.09
430000,湖南省,2014,259,78,181,,,3727.933,1935.223,,,5,,369.364
430000,湖南省,2013,493,214,279,,,5018.765,2824.083,,,5,,1180.485
430000,湖南省,2012,922,416,506,,,8079.33,4652.744,,,5,,1142.096
430000,湖南省,2011,873,407,466,,,5824.329,3605.456,264.61,3340.846,7,5,741.414
430000,湖南省,2010,1047,490,556,1,,7955.069,4881.0,111.81,4769.119,8,8,1192.11
430000,湖南省,2009,2173,878,1289,6,,18080.081,10109.933,59.87,10050.066,20,8,2321.672
430000,湖南省,2008,5053,2094,,1,,30964.017,17780.99,422.63,16935.77,52,27,4265.537
430000,湖南省,2007,2290,892,,2,,12879.945,8004.391,100.7,7896.511,24,20,1082.45
430000,湖南省,2006,1530,647,,,,7387.59,4988.67,11.2,4971.78,5,3,978.148
430000,湖南省,2005,3204,1612,,3,,18868.179,12931.241,1789.109,11294.262,22,19,3192.915
430000,湖南省,2004,3407,1720,,3,,23239.71,15852.781,2849.928,12965.715,32,23,10306.241
430000,湖南省,2003,,,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,,
440000,广东省,2019,126,72,53,1,,2050.2,1118.58,,,1,,269.71
440000,广东省,2018,266,161,105,,,1895.83,969.45,,,1,,489.18
440000,广东省,2017,302,195,107,,,1504.59,732.92,,,1,,372.89
440000,广东省,2016,64,21,43,,,947.25,287.17,,,2,,107.7025
440000,广东省,2015,273,61,212,,,3044.04,1299.643,,,2,,177.27
440000,广东省,2014,128,36,92,,,2364.304,929.624,,,14,,189.76
440000,广东省,2013,158,71,87,,,1964.6,679.253,,,,,231.0
440000,广东省,2012,65,25,40,,,821.48,361.17,,,3,,439.01
440000,广东省,2011,239,76,163,,,3366.678,1475.575,68.2,1406.945,1,,520.918
440000,广东省,2010,59,19,40,,,676.28,303.9,29.43,274.47,,,136.816
440000,广东省,2009,188,53,135,,,2630.9,1268.76,79.1,1189.66,6,2,301.914
440000,广东省,2008,165,138,,,,2783.39,1451.51,302.72,1096.19,7,5,155.19
440000,广东省,2007,124,80,,,,2335.95,1124.97,11.53,1110.8,4,4,504.995
440000,广东省,2006,128,84,,,,1609.76,1038.92,18.93,1019.99,,,354.4
440000,广东省,2005,212,151,,,,2779.97,1418.62,95.8,1384.79,18,9,380.508
440000,广东省,2004,469,266,,,,6245.97,2886.2,,2886.2,,,245.95
440000,广东省,2003,,,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,,
450000,广西壮族自治区,2019,387,273,114,,,2613.8,918.03,,,10,,480.84
450000,广西壮族自治区,2018,574,394,180,,,4142.12,1232.52,,,9,,606.22
450000,广西壮族自治区,2017,644,424,220,,,4379.74,1350.53,,,4,,943.03
450000,广西壮族自治区,2016,401,245,156,,,4787.5523,1090.133,,,4,,726.15866
450000,广西壮族自治区,2015,949,591,358,,,7784.68733333333,1768.519,,,5,,397.7016
450000,广西壮族自治区,2014,403,186,217,,,6243.8996667,1240.95933,,,10,,854.5087
450000,广西壮族自治区,2013,261,146,115,,,2806.145,593.972,,,2,,152.7129
450000,广西壮族自治区,2012,289,147,142,,,4328.619,780.099,,,,,363.037
450000,广西壮族自治区,2011,350,171,179,,,5072.43,883.27,7.57,875.7,1,1,236.029
450000,广西壮族自治区,2010,715,382,333,,,16905.87,1600.041,51.1,1548.941,6,4,482.464
450000,广西壮族自治区,2009,569,333,236,,,7167.13,1189.91,39.87,1150.04,16,10,274.131
450000,广西壮族自治区,2008,659,271,,,,10094.3,1420.22,29.24,1367.05,11,7,572.078
450000,广西壮族自治区,2007,737,340,,,,13762.78,2273.945,53.46,2207.425,15,12,645.956
