省份编码,省份,年份,林业投资本年资金来源(万元),林业投资上年末结余资金(万元),林业投资本年资金来源小计(万元),林业投资国家预算资金(万元),林业投资国内贷款(万元),林业投资债券(万元),林业投资利用外资(万元),林业投资自筹资金(万元),林业投资其它资金(万元)
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,,,,,,,,,
140000,山西省,2018,,,,,,,,,
140000,山西省,2017,,,,,,,,,
140000,山西省,2016,,,,,,,,,
140000,山西省,2015,1312256,,1312256,818023,,,,494233,
140000,山西省,2014,1465912,,1465912,1036327,,,82,429503,
140000,山西省,2013,1101015,,1101015,776415,,,740,323860,
140000,山西省,2012,1025047,,1025047,417841,,,192,607014,
140000,山西省,2011,1040002,,1040002,376034,,,,663968,
140000,山西省,2010,,,725803,378681,,,,326463,20659
140000,山西省,2009,,,620845,350619,,,,253547,16679
140000,山西省,2008,435413,,435413,258218,,,,163958,13237
140000,山西省,2007,305967,,305967,273303,6983,,552,22261,2868
140000,山西省,2006,219134,130,219004,189289,199,,720,26762,2034
140000,山西省,2005,174603,,174603,168319,999,,4022,65,1198
140000,山西省,2004,178974,110,178864,170873,199,,7119,119,554
140000,山西省,2003,,,,,,,,,
140000,山西省,2002,,,,,,,,,
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,,,,,,,,,
150000,内蒙古自治区,2018,,,,,,,,,
150000,内蒙古自治区,2017,,,,,,,,,
150000,内蒙古自治区,2016,,,,,,,,,
150000,内蒙古自治区,2015,1619430,72958,1546472,1405627,512,,,92704,47629
150000,内蒙古自治区,2014,1338284,3531,1334753,1186673,,,,71621,76459
150000,内蒙古自治区,2013,1329341,2018,1327323,1236251,,110,1631,70261,19070
150000,内蒙古自治区,2012,1355222,5119,1350103,1230701,,,400,102528,16474
150000,内蒙古自治区,2011,1222246,7588,1214658,1048171,23,,1455,136176,28833
150000,内蒙古自治区,2010,,,849822,801214,,,163,13625,34820
150000,内蒙古自治区,2009,,,721192,714157,,,641,6315,79
150000,内蒙古自治区,2008,490165,936,489229,481475,,,612,1736,5406
150000,内蒙古自治区,2007,462664,3250,459414,417120,,,19335,8775,14184
150000,内蒙古自治区,2006,418852,239,418613,399328,95,,10041,1813,7336
150000,内蒙古自治区,2005,418848,548,418300,379792,,,19366,17212,1930
150000,内蒙古自治区,2004,358704.03,123,358581.03,343554.03,,,3418,3450,8159
150000,内蒙古自治区,2003,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,,,,,,,,,
210000,辽宁省,2018,,,,,,,,,
210000,辽宁省,2017,,,,,,,,,
210000,辽宁省,2016,,,,,,,,,
210000,辽宁省,2015,738269,200,738069,492366,,,425,239756,5522
210000,辽宁省,2014,998522,917,997605,627468,407,,2177,366806,747
210000,辽宁省,2013,1364450,4469,1359981,824360,,,2929,531068,1624
210000,辽宁省,2012,1442337,1145,1441192,902002,4500,,2185,479289,53216
210000,辽宁省,2011,1278858,30,1278828,723087,,,,252966,302775
210000,辽宁省,2010,,,494512,459268,,,,4685,30559
210000,辽宁省,2009,,,432777,378942,,,608,40154,13073
210000,辽宁省,2008,218000,,218000,215737,,,664,347,1252
210000,辽宁省,2007,110963,,110963,99775,1300,,778,2439,6671
210000,辽宁省,2006,78093,,78093,64397,,,704,7568,5424
210000,辽宁省,2005,121087,,121087,110410,523,,2758,7396,
210000,辽宁省,2004,66915,,66915,32216,,,1582,14875,18242
210000,辽宁省,2003,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,,,,,,,,,
220000,吉林省,2018,,,,,,,,,
220000,吉林省,2017,,,,,,,,,
220000,吉林省,2016,,,,,,,,,
220000,吉林省,2015,1177656,119507,1058149,595145,149745,,,236790,76469
220000,吉林省,2014,808150,102117,706033,544180,34,34,,106397,55388
220000,吉林省,2013,706286,69555,636731,446300,22100,,2450,113541,52340
220000,吉林省,2012,783681,69602,714079,500952,1342,1101,3639,122322,84723
220000,吉林省,2011,699774,56862,642912,421296,22300,2786,6388,120034,70108
220000,吉林省,2010,,,553575,297878,,,7938,115297,132462
220000,吉林省,2009,,,493775,289757,1000,,8428,66893,127697
220000,吉林省,2008,345237,14316,330921,286694,1560,,10725,8797,23145
220000,吉林省,2007,188533,14056,174477,140340,,,,7212,26925
220000,吉林省,2006,163096,19124,143972,121272,127,,,1666,20907
220000,吉林省,2005,233552,8470,225082,146345,3367,,56,50824,24490
220000,吉林省,2004,146540,2881,143659,119488,5000,,229,4010,14932
220000,吉林省,2003,,,,,,,,,
220000,吉林省,2002,,,,,,,,,
220000,吉林省,2001,,,,,,,,,
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,,,,,,,,,
230000,黑龙江省,2018,,,,,,,,,
230000,黑龙江省,2017,,,,,,,,,
230000,黑龙江省,2016,,,,,,,,,
230000,黑龙江省,2015,1288210,3757,1284453,1199004,616,,,37247,47586
230000,黑龙江省,2014,978006,6852,971154,861156,313,,,66915,42770
230000,黑龙江省,2013,1253997,4646,1249351,1119213,201,,,117892,12045
230000,黑龙江省,2012,1746785,6128,1740657,1287388,305,,,444070,8894
230000,黑龙江省,2011,1892187,4015,1888172,1304110,,,191,560604,23267
230000,黑龙江省,2010,,,1089866,561378,,,263,377132,151093
230000,黑龙江省,2009,,,899998,547477,,,668,220586,131267
230000,黑龙江省,2008,353523,,353523,313656,2905,,861,11053,25048
230000,黑龙江省,2007,428529,2471,426058,399185,,,1865,10197,14811
230000,黑龙江省,2006,203380,377,203003,178425,8,,1429,13013,10128
230000,黑龙江省,2005,197979,,197979,170123,289,,552,18537,8478
230000,黑龙江省,2004,181249,,181249,161806,68,,,9898,9477
230000,黑龙江省,2003,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,,,,,,,,,
310000,上海市,2018,,,,,,,,,
310000,上海市,2017,,,,,,,,,
310000,上海市,2016,,,,,,,,,
310000,上海市,2015,148966,,148966,141275,,,,7354,337
310000,上海市,2014,133090,,133090,126918,,,,5725,447
310000,上海市,2013,91043,,91043,85376,,,,147,5520
310000,上海市,2012,80214,,80214,74944,,,,25,5245
310000,上海市,2011,71604,1764,69840,53652,,,,1970,14218
310000,上海市,2010,,,79405,68316,,,,3072,8017
310000,上海市,2009,,,107027,90357,,,,8459,8211
310000,上海市,2008,34227,249,33978,28697,,,,186,5095
310000,上海市,2007,33819,312,33507,25589,,,,1264,6654
310000,上海市,2006,92116,190,91926,83163,,,,110,8653
310000,上海市,2005,91190,25576,65614,35698,,,,20323,9593
310000,上海市,2004,103534,,103534,60128,600,,2089,24972,15745
310000,上海市,2003,,,,,,,,,
310000,上海市,2002,,,,,,,,,
310000,上海市,2001,,,,,,,,,
310000,上海市,2000,,,,,,,,,
320000,江苏省,2019,,,,,,,,,
320000,江苏省,2018,,,,,,,,,
320000,江苏省,2017,,,,,,,,,
320000,江苏省,2016,,,,,,,,,
320000,江苏省,2015,998046,5300,992746,277226,5530,,4000,695784,10206
320000,江苏省,2014,1498746,20608,1478138,341131,16200,,144408,943365,33034
320000,江苏省,2013,1271007,23663,1247344,349891,1420,,10384,867041,18608
320000,江苏省,2012,854958,1939,853019,222871,1420,,,600666,28062
320000,江苏省,2011,868033,608,867425,109701,1120,,,611664,144940
320000,江苏省,2010,,,711066,38378,,,1280,572490,98918
320000,江苏省,2009,,,663666,22146,200,,1938,592870,46512
320000,江苏省,2008,430472,,430472,19478,500,,2617,321988,85889
320000,江苏省,2007,346659,80064,266595,6791,1626,,3582,38866,215730
320000,江苏省,2006,356366,,356366,4381,22478,,5224,161537,162746
320000,江苏省,2005,235276,,235276,4712,9536,,732,123433,96863
320000,江苏省,2004,154018,280,153738,5445,3290,,,112816,32187
320000,江苏省,2003,,,,,,,,,
320000,江苏省,2002,,,,,,,,,
320000,江苏省,2001,,,,,,,,,
320000,江苏省,2000,,,,,,,,,
330000,浙江省,2019,,,,,,,,,
330000,浙江省,2018,,,,,,,,,
330000,浙江省,2017,,,,,,,,,
330000,浙江省,2016,,,,,,,,,
330000,浙江省,2015,860690,6151,854539,573099,69938,,1969,175849,33684
330000,浙江省,2014,868529,9014,859515,518526,77611,,1735,229070,32573
330000,浙江省,2013,932304,21678,910626,562716,158004,60,6611,167388,15847
330000,浙江省,2012,791731,4246,787485,491026,151538,,4284,131096,9541
330000,浙江省,2011,650986,3980,647006,441195,117418,,7501,48941,31951
330000,浙江省,2010,,,427802,291460,110869,,4634,6129,14710
330000,浙江省,2009,,,405379,215607,141750,,38288,3934,5800
330000,浙江省,2008,40580,1565,39015,33455,5000,,,526,34
330000,浙江省,2007,15462,5408,10054,8149,,,,966,939
330000,浙江省,2006,15911,6380,9531,7801,400,,,757,573
330000,浙江省,2005,19471,5796,13675,9270,130,,,3760,515
330000,浙江省,2004,20768,3175,17593,14822,,,,1281,1490
330000,浙江省,2003,,,,,,,,,
330000,浙江省,2002,,,,,,,,,
330000,浙江省,2001,,,,,,,,,
330000,浙江省,2000,,,,,,,,,
340000,安徽省,2019,,,,,,,,,
340000,安徽省,2018,,,,,,,,,
340000,安徽省,2017,,,,,,,,,
340000,安徽省,2016,,,,,,,,,
340000,安徽省,2015,869538,124,869414,236129,30812,,1490,564785,36198
340000,安徽省,2014,883175,2590,880585,238129,46864,,4981,550946,39665
340000,安徽省,2013,957981,1358,956623,292788,87370,,5478,543611,27376
340000,安徽省,2012,410617,3053,407564,186821,35214,,3843,139018,42668
340000,安徽省,2011,300083,2299,297784,149071,13011,,1668,64163,69871
340000,安徽省,2010,,,201872,113404,17179,,245,34385,36659
340000,安徽省,2009,,,168649,126079,3728,,553,14290,23999
340000,安徽省,2008,94939,1110,93829,64391,3752,,830,11006,13850
340000,安徽省,2007,97538,141,97397,74640,1335,,2312,7316,11794
340000,安徽省,2006,58437,177,58260,38084,1025,,3291,9323,6537
340000,安徽省,2005,71043,20,71023,48795,2510,,3450,9040,7228
340000,安徽省,2004,50494,577,49917,35304,2942,,1993,6841,2837
340000,安徽省,2003,,,,,,,,,
340000,安徽省,2002,,,,,,,,,
340000,安徽省,2001,,,,,,,,,
340000,安徽省,2000,,,,,,,,,
350000,福建省,2019,,,,,,,,,
350000,福建省,2018,,,,,,,,,
350000,福建省,2017,,,,,,,,,
350000,福建省,2016,,,,,,,,,
350000,福建省,2015,2674623,10792,2663831,368337,2181323,,21362,72989,19820
350000,福建省,2014,2684547,,2684547,119628,2011514,,279474,40807,233124
350000,福建省,2013,2648719,1078,2647641,287793,2119326,3,182100,45922,12497
350000,福建省,2012,2434145,794,2433351,262356,1951870,,124512,89404,5209
350000,福建省,2011,1689010,4964,1684046,219790,1412889,,,46921,4446
350000,福建省,2010,,,1145096,96311,973971,,,,74814
350000,福建省,2009,,,193054,60683,61100,,21805,8866,40600
350000,福建省,2008,42666,577,42089,18379,,,25,9292,14393
350000,福建省,2007,36597,1500,35097,8841,,,5,16178,10073
350000,福建省,2006,26912,146,26766,11921,100,,408,7478,6859
350000,福建省,2005,61061,5172,55889,8839,11250,,985,23116,11699
350000,福建省,2004,31150,1091,30059,10748,3107,,914,10337,4953
350000,福建省,2003,,,,,,,,,
350000,福建省,2002,,,,,,,,,
350000,福建省,2001,,,,,,,,,
350000,福建省,2000,,,,,,,,,
360000,江西省,2019,,,,,,,,,
360000,江西省,2018,,,,,,,,,
360000,江西省,2017,,,,,,,,,
360000,江西省,2016,,,,,,,,,
360000,江西省,2015,582521,3840,578681,331250,27149,,22058,73991,124233
360000,江西省,2014,897658,1000,896658,557706,13443,,86816,64228,174465
360000,江西省,2013,793124,253,792871,504343,50859,,6474,135233,95962
360000,江西省,2012,763176,,763176,499087,32856,,12119,141008,78106
360000,江西省,2011,570750,101,570649,373401,14585,,7487,66893,108283
360000,江西省,2010,,,476541,203225,3118,,5349,56215,208634
360000,江西省,2009,,,339813,161587,,,4976,18009,155241
360000,江西省,2008,149429,6021,143408,107236,1405,,6876,6104,21787
360000,江西省,2007,88902,3475,85427,64302,1968,,7047,4355,7755
360000,江西省,2006,64745,219,64526,42362,2055,,7002,7125,5982
360000,江西省,2005,40084,262,39822,28250,611,,4747,3867,2347
360000,江西省,2004,49492,781,48711,37430,1460,,590,4249,4982
360000,江西省,2003,,,,,,,,,
360000,江西省,2002,,,,,,,,,
360000,江西省,2001,,,,,,,,,
360000,江西省,2000,,,,,,,,,
370000,山东省,2019,,,,,,,,,
370000,山东省,2018,,,,,,,,,
370000,山东省,2017,,,,,,,,,
370000,山东省,2016,,,,,,,,,
370000,山东省,2015,2662336,5933,2656403,494970,6446,,485,1894579,259923
370000,山东省,2014,3017387,11643,3005744,559172,158474,,1765,2010959,275374
370000,山东省,2013,2631186,826,2630360,760060,31647,,12808,1539725,286120
370000,山东省,2012,2468838,5838,2463000,918060,39009,,7800,1321404,176727
370000,山东省,2011,1288269,763,1287506,634455,22848,,11016,176017,443170
370000,山东省,2010,,,700358,160105,140930,,4263,73788,321272
370000,山东省,2009,,,662342,153354,90015,,718,113292,304963
370000,山东省,2008,215014,3709,211305,66702,3594,,,52096,88913
370000,山东省,2007,202358,2533,199825,16613,4736,,1196,55844,121436
370000,山东省,2006,176906,,176906,11897,12290,,730,59727,92262
370000,山东省,2005,162168,,162168,12135,4006,,857,79488,65682
370000,山东省,2004,136976,,136976,19055,6100,,1000,73527,37294
370000,山东省,2003,,,,,,,,,
370000,山东省,2002,,,,,,,,,
370000,山东省,2001,,,,,,,,,
370000,山东省,2000,,,,,,,,,
410000,河南省,2019,,,,,,,,,
410000,河南省,2018,,,,,,,,,
410000,河南省,2017,,,,,,,,,
410000,河南省,2016,,,,,,,,,
410000,河南省,2015,1239647,,1239647,766900,109600,,47,363100,
410000,河南省,2014,1102935,,1102935,279613,360000,,3322,460000,
410000,河南省,2013,1019382,,1019382,110350,310000,,3800,430000,165232
410000,河南省,2012,976351,,976351,159521,230000,,1100,337260,248470
410000,河南省,2011,974898,,974898,297098,213000,,4900,249900,210000
410000,河南省,2010,,,951927,157014,212530,,12383,256000,314000
410000,河南省,2009,,,728770,202708,153956,,15000,224600,132506
410000,河南省,2008,142210,3306,138904,97634,16950,,3946,3999,16375
410000,河南省,2007,105913,1829,104084,92049,5133,,5820,481,601
410000,河南省,2006,109267.73,1737,107530.73,86442.73,12203,,2953,3612,2320
410000,河南省,2005,99382.6,1036,98346.6,85138.4,7357,,2441.8,1652.1,1757.3
410000,河南省,2004,92196.26,976,91220.26,70780.4,6354,,3572.86,5620,4893
410000,河南省,2003,,,,,,,,,
410000,河南省,2002,,,,,,,,,
410000,河南省,2001,,,,,,,,,
410000,河南省,2000,,,,,,,,,
420000,湖北省,2019,,,,,,,,,
420000,湖北省,2018,,,,,,,,,
420000,湖北省,2017,,,,,,,,,
420000,湖北省,2016,,,,,,,,,
420000,湖北省,2015,1172342,,1172342,478263,120645,,,545431,28003
420000,湖北省,2014,939685,,939685,426409,122020,,700,369328,21228
420000,湖北省,2013,681950,7189,674761,390356,63685,,1905,190668,28147
420000,湖北省,2012,538442,7997,530445,292634,15468,,4370,162501,55472
420000,湖北省,2011,407316,1282,406034,270000,2579,,2524,67100,63831
420000,湖北省,2010,,,280082,207950,16000,,1604,14406,40122
420000,湖北省,2009,,,262951,193382,,,3191,25502,40876
420000,湖北省,2008,195895,1868,194027,142573,500,,2515,23794,24645
420000,湖北省,2007,172865,1759,171106,115653,150,,8156,25845,21302
420000,湖北省,2006,152764,613,152151,100421,1175,,9775,28729,12051
420000,湖北省,2005,143784,705,143079,98498,682,,6467,24645,12787
420000,湖北省,2004,101807,1949,99858,61232,2100,,810,17989,17727
420000,湖北省,2003,,,,,,,,,
420000,湖北省,2002,,,,,,,,,
420000,湖北省,2001,,,,,,,,,
420000,湖北省,2000,,,,,,,,,
430000,湖南省,2019,,,,,,,,,
430000,湖南省,2018,,,,,,,,,
430000,湖南省,2017,,,,,,,,,
430000,湖南省,2016,,,,,,,,,
430000,湖南省,2015,2049738,7923,2041815,806706,87736,,16720,973172,157481
430000,湖南省,2014,1902628,2745,1899883,717802,197020,,26451,868845,89765
430000,湖南省,2013,1611826,8945,1602881,702522,215705,,5465,625279,53910
430000,湖南省,2012,1227186,8839,1218347,482910,134894,,2216,533072,65255
430000,湖南省,2011,587045,8418,578627,353217,2127,3620,,115301,104362
430000,湖南省,2010,,,508008,323123,1710,,,64973,118202
430000,湖南省,2009,,,403439,286376,,,380,59049,57634
430000,湖南省,2008,167199,,167199,152372,,,218,5429,9180
430000,湖南省,2007,175993,637,175356,153252,200,,6288,4944,10672
430000,湖南省,2006,161898,10,161888,146197,200,,7,11523,3961
430000,湖南省,2005,124664,,124664,113362,600,,1030,4881,4791
430000,湖南省,2004,135827,,135827,118054,350,,1052,10481,5890
430000,湖南省,2003,,,,,,,,,
430000,湖南省,2002,,,,,,,,,
430000,湖南省,2001,,,,,,,,,
430000,湖南省,2000,,,,,,,,,
440000,广东省,2019,,,,,,,,,
440000,广东省,2018,,,,,,,,,
440000,广东省,2017,,,,,,,,,
440000,广东省,2016,,,,,,,,,
440000,广东省,2015,976822,46817,930005,829512,8789,,6525,48091,37088
440000,广东省,2014,717870,35139,682731,534426,7160,,7627,58851,74667
440000,广东省,2013,1037204,29681,1007523,893548,10211,,5989,60152,37623
440000,广东省,2012,733679,21872,711807,630765,4047,,6182,33015,37798
440000,广东省,2011,473458,18849,454609,398125,,,4128,27802,24554
440000,广东省,2010,,,437226,362110,1700,,6413,25899,41104
440000,广东省,2009,,,361582,304537,1903,,11239,18674,25229
440000,广东省,2008,62544,20577,41967,24088,,,,4418,13461
440000,广东省,2007,142547,114698,27849,23440,,,,4092,317
440000,广东省,2006,45244,3117,42127,20396,,,,6929,14802
440000,广东省,2005,43822,3177,40645,34492,,,,5240,913
440000,广东省,2004,30241,3537,26704,17568,,,,4199,4937
440000,广东省,2003,,,,,,,,,
440000,广东省,2002,,,,,,,,,
440000,广东省,2001,,,,,,,,,
440000,广东省,2000,,,,,,,,,
450000,广西壮族自治区,2019,,,,,,,,,
450000,广西壮族自治区,2018,,,,,,,,,
450000,广西壮族自治区,2017,,,,,,,,,
450000,广西壮族自治区,2016,,,,,,,,,
450000,广西壮族自治区,2015,9919920,48188,9871732,606179,610650,,112356,7873092,669455
450000,广西壮族自治区,2014,10564550.0,123042,10441508.0,545693,507990,,41886,8020442,1325497
450000,广西壮族自治区,2013,8365736,22964,8342772,435157,376650,,207269,6104349,1219347
450000,广西壮族自治区,2012,6615642,30434,6585208,348398,293860,29050,116235,4249680,1547985
450000,广西壮族自治区,2011,5629588,83862,5545726,372637,585502,100,141824,3361852,1083811
450000,广西壮族自治区,2010,,,508232,286176,83678,,8210,63784,66384
450000,广西壮族自治区,2009,,,443573,220712,56968,,14050,94781,57062
450000,广西壮族自治区,2008,683870,26846,657024,156910,3820,,24794,371519,99981
450000,广西壮族自治区,2007,266831,41314,225517,109605,21261,,4102,51426,39123
450000,广西壮族自治区,2006,202163,33734,168429,92751,,,539,45961,29178
450000,广西壮族自治区,2005,186783,18238,168545,93865,5488,,3329,52225,13638
450000,广西壮族自治区,2004,144122,9195,134927,63852,9545,,10046,43397,8087
450000,广西壮族自治区,2003,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,
460000,海南省,2019,,,,,,,,,
460000,海南省,2018,,,,,,,,,
460000,海南省,2017,,,,,,,,,
460000,海南省,2016,,,,,,,,,
460000,海南省,2015,225690,66850,158840,154066,,,,1741,3033
460000,海南省,2014,194524,41472,153052,133939,,,,16023,3090
460000,海南省,2013,194494,36267,158227,142691,,,,11351,4185
460000,海南省,2012,184249,37176,147073,123429,,620,,13191,9833
460000,海南省,2011,127689,21969,105720,93055,53,,,4225,8387
460000,海南省,2010,,,58565,28103,,,,3682,26780
460000,海南省,2009,,,73312,36729,,,,,36583
460000,海南省,2008,26109,117,25992,14393,,,18,952,10629
460000,海南省,2007,30840,,30840,27299,,,,,3541
460000,海南省,2006,16227,,16227,8782,,,2664,,4781
460000,海南省,2005,37864,,37864,21863,4774,,451,3879,6897
460000,海南省,2004,31409,,31409,12470,4600,,1509,2439,10391
460000,海南省,2003,,,,,,,,,
460000,海南省,2002,,,,,,,,,
460000,海南省,2001,,,,,,,,,
460000,海南省,2000,,,,,,,,,
500000,重庆市,2019,,,,,,,,,
500000,重庆市,2018,,,,,,,,,
500000,重庆市,2017,,,,,,,,,
500000,重庆市,2016,,,,,,,,,
500000,重庆市,2015,660875,52700,608175,500139,7625,1885,,82220,16306
500000,重庆市,2014,500242,1637,498605,468993,5715,,,20674,3223
500000,重庆市,2013,457583,,457583,441098,1998,,,8885,5602
500000,重庆市,2012,502771,1499,501272,465261,13608,9,,18677,3717
500000,重庆市,2011,419328,46,419282,330060,43374,,,20085,25763
500000,重庆市,2010,,,564679,376861,38370,,102,53977,95369
500000,重庆市,2009,,,532465,343392,116509,,53,27494,45017
500000,重庆市,2008,344005,,344005,298176,,,1391,15731,28707
500000,重庆市,2007,222856,,222856,190721,1413,,353,6216,24153
500000,重庆市,2006,228263,,228263,195638,1000,,450,10745,20430
500000,重庆市,2005,209357,17,209340,185403,,,532,2638,20767
500000,重庆市,2004,188015,626,187389,164736,,,1011,5635,16007
500000,重庆市,2003,,,,,,,,,
500000,重庆市,2002,,,,,,,,,
500000,重庆市,2001,,,,,,,,,
500000,重庆市,2000,,,,,,,,,
510000,四川省,2019,,,,,,,,,
510000,四川省,2018,,,,,,,,,
510000,四川省,2017,,,,,,,,,
510000,四川省,2016,,,,,,,,,
510000,四川省,2015,2260027,15043,2244984,1056883,100914,,26826,808898,251463
510000,四川省,2014,2403437,11256,2392181,978136,143163,1500,8736,997457,263189
510000,四川省,2013,1923299,27445,1895854,943066,54987,,22762,602184,272855
510000,四川省,2012,1845707,32597,1813110,874793,106365,,5251,435424,391277
510000,四川省,2011,1539198,82985,1456213,847452,51695,,12015,201904,343147
510000,四川省,2010,,,1790489,976667,53774,,5121,290097,464830
510000,四川省,2009,,,1679963,856010,44966,,3863,207777,567347
510000,四川省,2008,1146929,18606,1128323,471289,47980,,2955,249748,356351
510000,四川省,2007,967496,30803,936693,502562,36568,,3879,115739,277945
510000,四川省,2006,552801,27761,525040,451744,4300,,3460,20372,45164
510000,四川省,2005,513104,31319,481785,456937,465,,7386,7028,9969
510000,四川省,2004,461036,34277,426759,411063,16,,3699,2379,9602
510000,四川省,2003,,,,,,,,,
510000,四川省,2002,,,,,,,,,
510000,四川省,2001,,,,,,,,,
510000,四川省,2000,,,,,,,,,
520000,贵州省,2019,,,,,,,,,
520000,贵州省,2018,,,,,,,,,
520000,贵州省,2017,,,,,,,,,
520000,贵州省,2016,,,,,,,,,
520000,贵州省,2015,504471,,504471,451048,,,,53423,
520000,贵州省,2014,402000,,402000,336000,,,,66000,
520000,贵州省,2013,390000,,390000,390000,,,,,
520000,贵州省,2012,380000,,380000,380000,,,,,
520000,贵州省,2011,381500,,381500,381266,,,234,,
520000,贵州省,2010,,,362643,350493,9388,,,,2762
520000,贵州省,2009,,,341158,340191,,,157,810,
520000,贵州省,2008,314431,26366,288065,266449,17000,,230,1158,3228
520000,贵州省,2007,266293,12777,253516,209980,20000,,32,4105,19399
520000,贵州省,2006,212595,4388,208207,190786,2800,,113,287,14221
520000,贵州省,2005,206275,6745,199530,198423,,,,310,797
520000,贵州省,2004,203482,8970,194512,187173,230,,332,1279,5498
520000,贵州省,2003,,,,,,,,,
520000,贵州省,2002,,,,,,,,,
520000,贵州省,2001,,,,,,,,,
520000,贵州省,2000,,,,,,,,,
530000,云南省,2019,,,,,,,,,
530000,云南省,2018,,,,,,,,,
530000,云南省,2017,,,,,,,,,
530000,云南省,2016,,,,,,,,,
530000,云南省,2015,1120612,156208,964404,795416,29536,,1201,45806,92445
530000,云南省,2014,1042651,132734,909917,669360,79365,,,88842,72350
530000,云南省,2013,965697,128078,837619,647937,37370,,,75211,77101
530000,云南省,2012,1132476,77927,1054549,826543,48857,1099,,73211,104839
530000,云南省,2011,838488,91978,746510,467812,74719,1331,2496,70707,129445
530000,云南省,2010,,,573758,373838,,,172,34179,165569
