省份编码,省份,年份,造林总面积(千公顷),当年人工造林面积(千公顷),当年飞机播种面积(千公顷),封山育林(千公顷),用材林当年造林面积(千公顷),经济林当年造林面积(千公顷),防护林当年造林面积(千公顷),薪炭林当年造林面积(千公顷),特种用林当年造林面积(千公顷)
130000,河北省,2011,286.423,175.906,40.665,69.852,24.789,21.437,240.164,,0.033
130000,河北省,2010,283.878,138.365,76.601,68.912,18.951,14.784,249.143,,1.0
130000,河北省,2009,306.4,197.7,35,73.647,29.4,13.8,260.9,,2.2
130000,河北省,2008,345.8,192.9,40.7,112.253,23.2,8.4,312.6,0.1,1.5
130000,河北省,2007,235.2,122.3,24,88.895,17.5,10.7,206.0,0.4,0.7
130000,河北省,2006,196.188,158.5,37.7,,24.8,10.1,160.855,0.22,0.2
130000,河北省,2005,304.8,276.1,28.7,,51.2,19.9,232.3,1.2,0.2
130000,河北省,2004,414.133,380.134,33.999,,61.397,30.967,319.618,1.95,0.201
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,347.355,275.024,,58.266,,,,,
140000,山西省,2018,340.148,308.02,,32.128,,,,,
140000,山西省,2017,311.968,279.968,,32.0,,,,,
140000,山西省,2016,266.694,199.696,,59.998,,,,,
140000,山西省,2015,285.944,220.945,,59.999,,,,,
140000,山西省,2014,303.501,233.191,3.333,66.977,1.887,85.791,200.489,15.334,
140000,山西省,2013,298.796,240.843,1.732,56.221,2.267,83.995,202.872,9.662,
140000,山西省,2012,302.851,225.253,2.333,75.265,1.733,61.739,226.194,13.185,
140000,山西省,2011,299.713,215.39,2.668,81.655,0.3,81.295,212.168,5.95,
140000,山西省,2010,282.371,156.785,2.668,122.918,0.01,52.304,223.722,6.335,
140000,山西省,2009,326.6,196.9,8,121.702,0.6,28.1,287.8,10.0,
140000,山西省,2008,280.4,191.4,15.3,73.619,11.8,21.8,246.8,,
140000,山西省,2007,258.8,166.2,12.7,79.948,1.8,9.3,247.7,,
140000,山西省,2006,288.501,255.8,32.7,,14.3,52.7,221.521,0.10433224,0.008
140000,山西省,2005,130.0,102.5,27.5,,0.7,4.0,135.4,0.1,
140000,山西省,2004,317.519,236.775,80.744,,7.842,14.246,295.031,0.4,
140000,山西省,2003,,,,,,,,,
140000,山西省,2002,,,,,,,,,
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,720.285,371.332,32.186,121.361,,,,,
150000,内蒙古自治区,2018,599.979,317.967,61.146,107.537,,,,,
150000,内蒙古自治区,2017,680.453,346.309,68.313,138.068,,,,,
150000,内蒙古自治区,2016,618.484,311.052,74.094,136.006,9.4,14.8,491.5,,
150000,内蒙古自治区,2015,704.054,360.896,79.389,227.733,,,,,
150000,内蒙古自治区,2014,559.247,320.254,57.434,181.559,9.78,10.285,538.515,,0.667
150000,内蒙古自治区,2013,805.156,349.624,78.666,376.866,8.357,16.489,777.993,,2.317
150000,内蒙古自治区,2012,781.617,357.339,65.071,359.207,9.82,13.3,756.364,2.133,0.0
150000,内蒙古自治区,2011,731.837,335.136,113.598,283.103,17.738,14.03,699.445,,0.624
150000,内蒙古自治区,2010,655.18,229.93,76.679,348.571,10.219,5.434,638.74,,0.787
150000,内蒙古自治区,2009,861.9,353.1,96,412.837,21.2,8.2,831.2,1.3,
150000,内蒙古自治区,2008,718.6,377.3,57.4,283.856,29,9.9,677.3,2.3,
150000,内蒙古自治区,2007,590.1,295.0,40.1,255.019,17.3,12.7,550.4,0.2,9.5
150000,内蒙古自治区,2006,256.52,161.6,94.9,,5.2,10.8,240.513,0.574512116,
150000,内蒙古自治区,2005,383.8,283.2,100.6,,8.9,1.7,373.2,,
150000,内蒙古自治区,2004,630.91657,519.06057,111.856,,40.229,3.3228,585.91777,1.334,0.113
150000,内蒙古自治区,2003,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,157.599,48.98,13.333,55.333,,,,,
210000,辽宁省,2018,167.978,62.353,13.333,55.334,,,,,
210000,辽宁省,2017,144.223,56.929,,55.33,,,,,
210000,辽宁省,2016,142.438,55.332,,55.337,,,,,
210000,辽宁省,2015,215.277,102.615,,100.257,,,,,
210000,辽宁省,2014,226.471,126.407,,100.064,13.466,25.443,187.562,,
210000,辽宁省,2013,237.457,134.459,,102.998,16.899,26.565,193.993,,
210000,辽宁省,2012,246.667,140.0,,106.667,13.362,17.851,215.423,0.0,0.031
210000,辽宁省,2011,246.767,140.167,,106.6,11.947,16.673,218.032,0.062,0.053
210000,辽宁省,2010,190.669,102.903,,87.766,26.344,7.497,156.795,,0.033
210000,辽宁省,2009,130.0,91.3,,38.665,2.9,4.3,122.6,0.2,
210000,辽宁省,2008,81.5,54.9,,26.664,6.2,3.6,71.7,,
210000,辽宁省,2007,87.1,83.2,,3.827,11.3,3.2,72.5,0.048,0.011
210000,辽宁省,2006,70.769,70.8,,,2.9,4.2,63.648,0.01199054,
210000,辽宁省,2005,126.5,126.5,,,20.7,5.3,99.6,0.9,
210000,辽宁省,2004,135.878,135.878,,,25.918,14.276,88.477,7.113,0.094
210000,辽宁省,2003,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,102.929,24.595,,,,,,,
220000,吉林省,2018,122.657,48.26,,,,,,,
220000,吉林省,2017,153.038,80.84,,,,,,,
220000,吉林省,2016,157.905,88.646,,2.333,,,,,
220000,吉林省,2015,199.851,112.003,,4.667,,,,,
220000,吉林省,2014,108.523,108.523,,,58.331,7.784,42.399,0.009,
220000,吉林省,2013,112.446,48.448,,63.998,8.255,0.136,104.055,,
220000,吉林省,2012,28.166,27.833,,0.333,4.135,0.3,23.731,,0.0
220000,吉林省,2011,36.424,34.09,,2.334,1.819,3.082,31.48,,0.043
220000,吉林省,2010,82.584,39.329,,43.255,,0.03,82.487,,0.067
220000,吉林省,2009,30.2,27.4,,2.807,0.2,,30.1,,
220000,吉林省,2008,26.1,25.5,,0.619,0.3,0.1,25.7,,
220000,吉林省,2007,19.9,19.0,,0.861,1,0.1,18.7,,0.1
220000,吉林省,2006,37.965,38.0,,,1.7,0.6,35.549,0.175,
220000,吉林省,2005,31.0,31.0,,,1.3,0.4,28.5,0.5,0.3
220000,吉林省,2004,57.186,57.186,,,4.967,1.067,50.303,0.786,0.063
220000,吉林省,2003,,,,,,,,,
220000,吉林省,2002,,,,,,,,,
220000,吉林省,2001,,,,,,,,,
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,118.264,43.03,,28.62,,,,,
230000,黑龙江省,2018,96.639,45.678,,30.863,,,,,
230000,黑龙江省,2017,97.591,36.579,,42.25,,,,,
230000,黑龙江省,2016,92.999,41.262,,36.814,,,,,
230000,黑龙江省,2015,134.972,41.093,,67.038,,,,,
230000,黑龙江省,2014,101.079,49.276,,51.803,7.142,1.794,91.567,0.066,0.51
230000,黑龙江省,2013,124.122,81.512,,42.61,13.491,1.409,106.778,0.004,2.44
230000,黑龙江省,2012,162.299,108.96,,53.339,13.891,4.052,142.708,0.046,1.602
230000,黑龙江省,2011,123.763,71.921,,51.842,17.005,1.899,102.108,0.26,2.491
230000,黑龙江省,2010,233.777,166.411,,67.366,15.211,0.659,210.287,0.796,6.824
230000,黑龙江省,2009,213.1,187.1,,25.998,20.3,1.8,186.8,,4.2
230000,黑龙江省,2008,120.6,79.8,,40.774,25.7,1.2,92.0,0.1,1.7
230000,黑龙江省,2007,93.5,88.3,,5.271,17.9,0.6,74.9,0.1,0.1
230000,黑龙江省,2006,26.42,26.4,,,1.8,0.3,24.292,0.0068744,
230000,黑龙江省,2005,84.7,84.7,,,11.8,0.5,71.7,0.012,0.7
230000,黑龙江省,2004,156.179,156.179,,,40.574,1.918,109.797,1.864,2.026
230000,黑龙江省,2003,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,5.003,5.003,,,,,,,
310000,上海市,2018,3.183,3.183,,,,,,,
310000,上海市,2017,2.68,2.68,,,,,,,
310000,上海市,2016,3.941,3.941,,,,,,,
310000,上海市,2015,3.241,3.241,,,,,,,
310000,上海市,2014,0.899,0.899,,,,0.236,0.663,,
310000,上海市,2013,0.862,0.862,,,,0.085,0.777,,
310000,上海市,2012,1.168,1.168,,,,0.155,1.013,,
310000,上海市,2011,0.71,0.71,,,,0.105,0.605,,
310000,上海市,2010,1.349,1.349,,,,0.465,0.884,,
310000,上海市,2009,2.1,2.1,,,,0.9,1.2,,
310000,上海市,2008,1.9,1.9,,,,1.6,0.3,,
310000,上海市,2007,1.1,1.1,,,,0.3,0.7,,0.047
310000,上海市,2006,4.394,4.4,,,,0.5,3.863,,
310000,上海市,2005,3.8,3.8,,,,0.1,3.4,,0.3
310000,上海市,2004,11.308,11.308,,,0.037,4.957,5.211,,1.103
310000,上海市,2003,,,,,,,,,
310000,上海市,2002,,,,,,,,,
310000,上海市,2001,,,,,,,,,
310000,上海市,2000,,,,,,,,,
320000,江苏省,2019,44.366,32.37,,,,,,,
320000,江苏省,2018,43.356,41.283,,,,,,,
320000,江苏省,2017,36.572,33.968,,,,,,,
320000,江苏省,2016,30.625,27.214,,0.333,,,,,
320000,江苏省,2015,45.216,42.576,,0.4,,,,,
320000,江苏省,2014,59.209,59.209,,,6.66,11.771,39.685,,1.093
320000,江苏省,2013,65.258,64.925,,0.333,7.848,11.446,43.923,,2.041
320000,江苏省,2012,57.341,57.341,,,10.116,10.015,36.824,,0.386
320000,江苏省,2011,57.294,57.294,,,7.601,7.683,41.082,,0.928
320000,江苏省,2010,86.256,73.234,,13.022,15.868,7.476,62.226,0.129,0.557
320000,江苏省,2009,83.7,82.9,,0.862,12,15.7,55.9,,0.2
320000,江苏省,2008,88.7,88.7,,,11.8,9.0,67.7,,0.1
320000,江苏省,2007,82.6,82.6,,,19.1,19.4,42.5,1.4,0.1
320000,江苏省,2006,60.762,60.8,,,17.3,13.8,29.571,,0.1
320000,江苏省,2005,54.7,54.7,,,9.7,8.7,36.3,,0.011
320000,江苏省,2004,64.418,64.418,,,13.219,13.614,37.562,,0.023
320000,江苏省,2003,,,,,,,,,
320000,江苏省,2002,,,,,,,,,
320000,江苏省,2001,,,,,,,,,
320000,江苏省,2000,,,,,,,,,
330000,浙江省,2019,75.527,6.276,,1.332,,,,,
330000,浙江省,2018,63.643,7.462,,1.798,,,,,
330000,浙江省,2017,44.054,8.45,,2.223,,,,,
330000,浙江省,2016,55.648,12.837,,4.784,,,,,
330000,浙江省,2015,71.595,20.985,,31.739,,,,,
330000,浙江省,2014,39.396,26.72,,12.676,4.93,9.035,25.328,0.001,0.102
330000,浙江省,2013,42.362,30.31,,12.052,3.266,9.69,28.856,0.224,0.326
330000,浙江省,2012,43.923,34.473,,9.45,5.327,11.209,25.783,0.435,1.169
330000,浙江省,2011,40.473,36.536,,3.937,2.665,8.158,28.734,,0.916
330000,浙江省,2010,15.214,12.999,,2.215,1.162,2.329,11.709,,0.014
330000,浙江省,2009,27.4,19.4,,8.044,1.5,1.8,24.1,,
330000,浙江省,2008,8.5,6.9,,1.632,0.5,1.1,6.9,,
330000,浙江省,2007,11.6,6.2,,5.378,3.6,1.6,6.0,,0.4
330000,浙江省,2006,11.368,11.4,,,2.3,3.0,6.117,0.02173368,0.015
330000,浙江省,2005,20.3,20.3,,,3.6,4.3,12.2,0.1,0.1
330000,浙江省,2004,20.948,20.948,,,1.817,4.308,14.684,0.1,0.039
330000,浙江省,2003,,,,,,,,,
330000,浙江省,2002,,,,,,,,,
330000,浙江省,2001,,,,,,,,,
330000,浙江省,2000,,,,,,,,,
340000,安徽省,2019,138.746,51.264,,40.381,,,,,
340000,安徽省,2018,138.493,55.718,,39.965,,,,,
340000,安徽省,2017,144.926,56.667,,41.905,,,,,
340000,安徽省,2016,128.042,91.38,,31.747,,,,,
340000,安徽省,2015,236.941,146.0,,80.002,,,,,
340000,安徽省,2014,157.745,150.871,,6.874,51.701,44.584,54.826,0.426,6.208
340000,安徽省,2013,172.086,162.488,,9.598,63.164,40.285,60.79,0.716,7.131
340000,安徽省,2012,43.786,32.162,,11.624,10.022,5.842,27.449,0.154,0.319
340000,安徽省,2011,45.629,23.373,,22.256,10.329,14.924,19.997,0.334,0.045
340000,安徽省,2010,48.711,28.465,,20.246,10.371,7.765,30.106,0.469,
340000,安徽省,2009,69.0,53.3,,15.616,7.1,0.4,61.2,,0.2
340000,安徽省,2008,34.1,28.2,,5.949,0.4,4.2,29.6,,
340000,安徽省,2007,31.9,27.1,,4.776,3.1,1.8,25.9,,1.1
340000,安徽省,2006,3.402,3.4,,,,0.7,2.722,0.00413786,
340000,安徽省,2005,36.1,36.1,,,15,4.5,15.7,0.7,0.1
340000,安徽省,2004,54.364,54.364,,,16.511,5.116,30.048,1.999,0.69
340000,安徽省,2003,,,,,,,,,
340000,安徽省,2002,,,,,,,,,
340000,安徽省,2001,,,,,,,,,
340000,安徽省,2000,,,,,,,,,
350000,福建省,2019,214.092,6.738,,142.78,,,,,
350000,福建省,2018,193.393,6.517,,112.846,,,,,
350000,福建省,2017,233.585,8.094,,144.338,,,,,
350000,福建省,2016,228.675,10.3,,141.936,,,,,
350000,福建省,2015,253.824,33.919,,139.412,,,,,
350000,福建省,2014,44.346,44.346,,,28.714,5.677,7.984,0.004,1.967
350000,福建省,2013,100.185,100.185,,,72.977,9.055,15.081,0.272,2.8
350000,福建省,2012,98.042,98.042,,,57.402,11.758,23.249,0.0,5.633
350000,福建省,2011,212.724,212.724,,,144.061,20.59,46.154,0.286,1.633
350000,福建省,2010,29.875,29.125,,0.75,15.345,3.35,11.148,0.03,0.002
350000,福建省,2009,33.3,33.3,,,18.6,2.1,12.5,,0.1
350000,福建省,2008,33.1,32.8,,0.25,26.5,1.0,5.4,0.1,0.1
350000,福建省,2007,36.0,35.5,,0.59,28.3,2.0,5.7,0.041,
350000,福建省,2006,23.352,23.4,,,18.2,2.1,2.859,0.182,0.039
350000,福建省,2005,24.2,24.2,,,15.4,3.2,5.4,0.2,0.1
350000,福建省,2004,16.306,16.306,,,8.074,1.702,6.419,0.107,0.004
350000,福建省,2003,,,,,,,,,
350000,福建省,2002,,,,,,,,,
350000,福建省,2001,,,,,,,,,
350000,福建省,2000,,,,,,,,,
360000,江西省,2019,269.354,66.951,,74.312,,,,,
360000,江西省,2018,308.143,88.556,,70.193,,,,,
360000,江西省,2017,282.407,89.405,,68.592,,,,,
360000,江西省,2016,289.56,94.933,,78.344,,,,,
360000,江西省,2015,233.694,141.678,,59.368,,,,,
360000,江西省,2014,131.973,130.751,,1.222,82.696,29.371,18.232,1.025,0.649
360000,江西省,2013,153.368,141.041,,12.327,86.665,37.867,28.207,0.14,0.489
360000,江西省,2012,138.645,127.031,,11.614,66.682,32.379,37.853,0.545,1.186
360000,江西省,2011,164.521,141.693,,22.828,71.029,33.418,56.942,1.617,1.515
360000,江西省,2010,200.778,170.875,,29.903,103.883,32.509,59.733,2.119,2.534
360000,江西省,2009,228.6,209.0,,19.611,120.4,23.3,82.5,1.7,0.7
360000,江西省,2008,267.0,234.6,,32.431,147.4,32.9,84.8,0.3,1.5
360000,江西省,2007,157.4,147.6,,9.836,95.2,20.3,41.2,0.5,0.2
360000,江西省,2006,63.601,63.6,,,36.4,4.4,22.376,0.253,0.2
360000,江西省,2005,47.6,47.6,,,20.7,3.9,22.1,0.3,0.5
360000,江西省,2004,58.097,58.097,,,19.575,3.616,33.854,0.988,0.064
360000,江西省,2003,,,,,,,,,
360000,江西省,2002,,,,,,,,,
360000,江西省,2001,,,,,,,,,
360000,江西省,2000,,,,,,,,,
370000,山东省,2019,168.297,125.393,,,,,,,
370000,山东省,2018,147.481,118.745,,,,,,,
370000,山东省,2017,142.195,92.306,,0.534,,,,,
370000,山东省,2016,146.684,115.179,,,,,,,
370000,山东省,2015,221.207,206.552,,1.333,,,,,
370000,山东省,2014,224.972,223.56,,1.412,43.411,66.219,113.208,,2.134
370000,山东省,2013,220.473,219.129,,1.344,32.569,63.604,122.536,,1.764
370000,山东省,2012,197.956,195.875,,2.081,25.178,49.195,122.277,,1.306
370000,山东省,2011,219.028,217.329,,1.699,34.598,51.154,130.896,,2.38
370000,山东省,2010,205.131,198.998,,6.133,36.101,37.856,129.877,,1.297
370000,山东省,2009,182.2,180.5,,1.642,42.5,26.2,113.1,,0.5
370000,山东省,2008,185.6,184.9,,0.647,69.5,25.9,89.7,,0.4
370000,山东省,2007,144.7,144.3,,0.432,49.4,27.0,68.0,0.1,0.3
370000,山东省,2006,134.423,134.4,,,40.4,34.3,59.193,0.007,0.6
370000,山东省,2005,141.1,141.1,,,47.5,42.7,49.6,0.6,0.8
370000,山东省,2004,262.711,262.711,,,134.193,53.536,74.441,0.233,0.308
370000,山东省,2003,,,,,,,,,
370000,山东省,2002,,,,,,,,,
370000,山东省,2001,,,,,,,,,
370000,山东省,2000,,,,,,,,,
410000,河南省,2019,196.493,164.771,13.335,18.287,,,,,
410000,河南省,2018,173.596,137.272,13.336,18.89,,,,,
410000,河南省,2017,180.929,126.281,13.733,19.836,,,,,
410000,河南省,2016,149.002,97.647,13.429,22.417,,,,,
410000,河南省,2015,216.82,154.749,13.332,31.931,,,,,
410000,河南省,2014,260.003,201.251,13.334,45.418,67.178,48.996,143.082,0.667,0.08
410000,河南省,2013,253.914,201.208,,52.706,55.701,41.444,156.769,,
410000,河南省,2012,228.292,205.968,,22.324,45.506,34.538,147.818,0.0,0.43
410000,河南省,2011,237.74,193.5,,44.24,56.717,28.704,150.747,0.666,0.906
410000,河南省,2010,231.7,178.85,,52.85,50.928,23.208,157.306,,0.258
410000,河南省,2009,416.1,382.1,,34.002,156.3,47.7,212.2,,
410000,河南省,2008,338.1,320.8,,17.335,91.7,38.7,207.7,,
410000,河南省,2007,51.0,41.4,,9.576,15.2,3.2,32.5,,
410000,河南省,2006,170.612,155.3,15.3,,72.5,18.1,79.76,0.203,0.1
410000,河南省,2005,186.7,173.4,13.3,,77.3,39.0,69.5,0.7,0.2
410000,河南省,2004,273.8577,260.3907,13.467,,110.783,38.2779,123.7338,1.063,
410000,河南省,2003,,,,,,,,,
410000,河南省,2002,,,,,,,,,
410000,河南省,2001,,,,,,,,,
410000,河南省,2000,,,,,,,,,
420000,湖北省,2019,473.105,138.486,,192.486,,,,,
420000,湖北省,2018,330.657,143.803,,63.178,,,,,
420000,湖北省,2017,400.84,162.328,,67.459,,,,,
420000,湖北省,2016,245.705,171.735,,66.747,,,,,
420000,湖北省,2015,288.117,186.022,,98.177,,,,,
420000,湖北省,2014,243.799,168.867,,74.932,85.622,51.338,105.254,0.013,1.572
420000,湖北省,2013,246.858,165.652,,81.206,83.439,58.163,103.083,0.112,2.061
420000,湖北省,2012,198.578,140.174,,58.404,67.624,45.534,84.343,0.217,0.86
420000,湖北省,2011,194.654,145.911,,48.743,66.712,38.733,85.697,0.034,3.478
420000,湖北省,2010,192.213,119.075,,73.138,53.721,28.569,105.752,1.854,2.317
420000,湖北省,2009,149.2,130.0,,19.205,48.6,23.1,75.8,1.2,0.5
420000,湖北省,2008,154.5,111.5,,43.006,40.8,24.4,88.4,0.1,0.8
420000,湖北省,2007,122.9,105.7,,17.191,46.8,20.0,56.2,,
420000,湖北省,2006,65.913,65.9,,,22.1,5.4,38.352,0.006620576,
420000,湖北省,2005,177.9,177.9,,,56.8,31.7,86.8,1.9,0.7
420000,湖北省,2004,162.488,162.488,,,59.811,25.844,75.341,1.008,0.484
420000,湖北省,2003,,,,,,,,,
420000,湖北省,2002,,,,,,,,,
420000,湖北省,2001,,,,,,,,,
420000,湖北省,2000,,,,,,,,,
430000,湖南省,2019,574.543,191.985,,162.741,,,,,
430000,湖南省,2018,584.316,188.114,,168.002,,,,,
430000,湖南省,2017,554.139,186.088,,160.876,,,,,
430000,湖南省,2016,503.235,197.453,,167.464,,,,,
430000,湖南省,2015,559.829,215.728,,188.577,,,,,
430000,湖南省,2014,391.942,229.614,,162.328,203.574,47.356,134.519,1.393,5.1
430000,湖南省,2013,349.772,188.68,,161.092,183.884,36.111,125.879,2.161,1.737
430000,湖南省,2012,404.239,236.487,,167.752,125.068,48.051,230.908,0.0,0.212
430000,湖南省,2011,402.435,235.823,,166.612,115.459,48.334,235.527,1.106,2.009
430000,湖南省,2010,213.448,178.146,,35.302,71.886,32.285,108.005,0.551,0.721
430000,湖南省,2009,125.0,99.0,,25.992,18.9,7.1,97.2,1.1,0.7
430000,湖南省,2008,80.004,64.0,,15.99,13.6,3.4,62.879,,0.1
430000,湖南省,2007,76.2,59.5,,16.673,21.2,2.9,51.8,,0.3
430000,湖南省,2006,134.529,134.5,,,33,8.1,93.007,0.19946336,0.4
430000,湖南省,2005,136.5,136.5,,,30.2,10.2,95.1,0.011,1.0
430000,湖南省,2004,333.772,333.772,,,57.937,30.704,244.05,0.301,0.78
430000,湖南省,2003,,,,,,,,,
430000,湖南省,2002,,,,,,,,,
430000,湖南省,2001,,,,,,,,,
430000,湖南省,2000,,,,,,,,,
440000,广东省,2019,244.726,22.132,,93.201,,,,,
440000,广东省,2018,270.462,85.178,,99.798,,,,,
440000,广东省,2017,270.588,80.739,,89.007,,,,,
440000,广东省,2016,305.404,100.658,,97.347,,,,,
440000,广东省,2015,401.331,118.463,,124.885,,,,,
440000,广东省,2014,151.473,133.218,,18.255,43.889,7.793,98.293,0.089,1.409
440000,广东省,2013,139.058,119.083,,19.975,29.986,5.143,102.917,,1.012
440000,广东省,2012,107.512,94.919,,12.593,27.786,6.05,72.617,0.0,1.059
440000,广东省,2011,125.476,121.64,,3.836,51.541,13.115,60.478,0.2,0.142
440000,广东省,2010,95.144,91.952,,3.192,33.62,11.061,50.383,,0.08
440000,广东省,2009,20.0,16.0,,3.907,0.3,0.3,19.3,,
440000,广东省,2008,9.4,8.4,,1.013,5.5,0.5,3.3,0.1,
440000,广东省,2007,5.8,5.3,,0.53,2.7,0.028,3.1,,
440000,广东省,2006,7.305,7.3,,,5.2,0.034,2.045,0.000140132,
440000,广东省,2005,18.3,18.3,,,13.1,0.8,3.9,0.6,0.006
440000,广东省,2004,39.961,39.961,,,31.156,1.311,7.315,,0.179
440000,广东省,2003,,,,,,,,,
440000,广东省,2002,,,,,,,,,
440000,广东省,2001,,,,,,,,,
440000,广东省,2000,,,,,,,,,
450000,广西壮族自治区,2019,220.068,34.537,,43.194,,,,,
450000,广西壮族自治区,2018,247.8,46.828,,29.421,,,,,
450000,广西壮族自治区,2017,176.081,54.578,,26.095,,,,,
450000,广西壮族自治区,2016,193.341,82.41,,28.135,,,,,
450000,广西壮族自治区,2015,197.575,100.764,,47.959,,,,,
450000,广西壮族自治区,2014,143.651,117.985,,25.666,80.908,30.552,30.496,,1.695
450000,广西壮族自治区,2013,149.875,133.51,,16.365,89.186,35.51,24.339,,0.84
450000,广西壮族自治区,2012,148.878,124.443,,24.435,99.553,20.785,26.965,,1.575
450000,广西壮族自治区,2011,147.81,132.213,,15.597,113.198,12.201,22.165,,0.246
450000,广西壮族自治区,2010,143.254,125.341,,17.913,108.013,9.323,25.577,0.001,0.34
450000,广西壮族自治区,2009,139.4,119.0,,20.436,99.9,3.8,35.0,0.7,0.1
450000,广西壮族自治区,2008,129.1,120.8,,8.22,112.8,2.2,14.0,,
450000,广西壮族自治区,2007,135.2,120.6,,14.588,114,2.8,18.4,,
450000,广西壮族自治区,2006,119.28,119.3,,,101.6,3.7,13.911,0.001,
450000,广西壮族自治区,2005,124.0,124.0,,,89.4,8.2,26.3,0.002,0.008
450000,广西壮族自治区,2004,170.704,170.704,,,114.618,17.756,38.199,0.037,0.094
450000,广西壮族自治区,2003,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,
460000,海南省,2019,15.704,3.057,,,,,,,
460000,海南省,2018,10.496,2.657,,,,,,,
460000,海南省,2017,12.879,4.626,,,,,,,
460000,海南省,2016,14.521,8.325,,,,,,,
460000,海南省,2015,23.385,11.003,,,,,,,
460000,海南省,2014,8.802,8.802,,,1.483,4.148,2.425,,0.746
460000,海南省,2013,12.829,12.829,,,1.888,8.192,2.103,,0.646
