省份编码,省份,年份,供水总量(亿立方米),地表水供水总量(亿立方米),地下水供水总量(亿立方米),其他供水总量(亿立方米),用水总量(亿立方米),农业用水总量(亿立方米),工业用水总量(亿立方米),生活用水总量(亿立方米),生态用水总量(亿立方米),人均用水量(立方米/人)
130000,河北省,2009,193.7167,37.4561,154.6406,1.62,193.7167,143.9141,23.7148,23.3928,2.695,276.284247307994
130000,河北省,2008,195.02,37.79,156.17,1.06,195.02,143.23,25.22,23.39,3.18,279.959804766006
130000,河北省,2007,202.5,38.9,163.08,0.52,202.5,151.59,24.97,23.91,2.03,292.608915540785
130000,河北省,2006,204.0,38.7,164.64,0.66,204.0,152.57,26.22,24.05,1.16,296.748854462143
130000,河北省,2005,201.78,38.5,162.78,0.5,201.78,150.22,25.66,23.68,2.22,295.388669301713
130000,河北省,2004,195.9,37.6,157.75,0.5,195.9,147.07,25.18,21.58,2,287.7
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,76.0,42.3,29.2,4.5,76.0,43.8,13.5,13.8,4.9,204.109037196186
140000,山西省,2018,74.3,39.8,30.0,4.5,74.3,43.3,14.0,13.4,3.5,200.269541778976
140000,山西省,2017,74.9,39.6,31.1,4.2,74.9,45.5,13.5,12.8,3,202.871072589382
140000,山西省,2016,75.52569732,39.51017,31.66361611,4.35191121,75.5,46.7,12.9,12.6,3.3,205.554043016608
140000,山西省,2015,73.6,37.1,33.2,3.3,73.6,45.1,13.7,12.3,2.3,201.310707760309
140000,山西省,2014,71.374868458,32.7659071335556,35.12251377,3.4863831,71.37484259,41.53777384,14.19107834,12.20739691,3.43855773529412,196.138616625447
140000,山西省,2013,73.7681852384114,33.1954,36.0714852384114,4.5013,73.7682541650538,43.1075399580228,14.8735174386425,12.2520598542552,3.53513691413329,203.756348830324
140000,山西省,2012,73.38823477,31.8376648,38.79230364,2.75822033,73.38838485,42.74196007,15.49801638,11.82838388,3.32000687294118,203.748241838022
140000,山西省,2011,74.18,32.71,38.58,2.9,74.18,43.4,14.27,13.08,3.43,207.0
140000,山西省,2010,63.7761,29.2863,34.4898,,63.776,37.9782,12.5847,10.5659,2.6472,182.178768200898
140000,山西省,2009,56.2726,23.3263,32.9463,,56.2726,34.407,10.5331,10.0024,1.3301,164.587891196256
140000,山西省,2008,56.92,21.84,35.08,,56.92,32.92,13.47,9.79,0.74,167.313345091123
140000,山西省,2007,58.7423,22.5089,36.2334,,58.7424,34.3188,14.4369,9.5333,0.4534,173.58865248227
140000,山西省,2006,59.2854,21.5459,37.7395,0.0,59.2854,34.2172,15.3825,9.2703,0.4154,176.182466567608
140000,山西省,2005,55.72,20.47,34.75,0.49,55.72,32.68,13.94,8.72,0.38,166.576980568012
140000,山西省,2004,55.88,20.41,34.98,0.48,55.88,32.93,13.87,8.74,0.34,167.58
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,190.9,100.0,84.3,6.6,190.9,139.6,14.6,11.7,25,752.463539613717
150000,内蒙古自治区,2018,192.1,99.5,88.7,3.9,192.1,140.3,15.9,11.2,24.6,758.83863322141
150000,内蒙古自治区,2017,188.0,99.2,85.3,3.4,188.0,138.1,15.7,11.0,23.1,744.682747324787
150000,内蒙古自治区,2016,190.2913688,98.2668368,88.834928,3.189604,190.3,139.2,17.4,10.6,23.1,756.509640230571
150000,内蒙古自治区,2015,185.8,95.2,88.3,2.3,185.8,140.1,18.8,10.4,16.4,740.851500742646
150000,内蒙古自治区,2014,182.010949068,89.05634995,90.778899118,2.1757,182.010949068,137.538608068,19.734484,10.461408,14.276449,727.60723193284
150000,内蒙古自治区,2013,183.223505748333,91.4083601333333,88.900525615,2.91462,183.223505748333,132.455947703333,23.646868,10.716956045,16.403734,734.679293676969
150000,内蒙古自治区,2012,184.35279852,89.64139216,92.99910636,1.7123,184.35279852,135.361210733333,23.549368,10.3825357866667,15.059684,741.629583148951
150000,内蒙古自治区,2011,184.7,91.09,92.49,1.12,184.7,135.94,23.58,15.13,10.05,745.7
150000,内蒙古自治区,2010,181.904361173702,92.5914,88.6334611737016,0.6795,181.904377370139,134.52246095,22.580394,15.0209174201389,9.78058,737.88860551251
150000,内蒙古自治区,2009,181.250828868333,93.4603706283333,87.489624,0.300789,181.250828868333,138.669,20.9200418333333,14.079447035,7.58234,749.589862979046
150000,内蒙古自治区,2008,175.78,89.11,86.37,0.3,175.78,134.1,20.46,14.72,6.5,729.528947914505
150000,内蒙古自治区,2007,180.039335,91.10653,87.947005,0.9858,180.039255,141.77087,17.44715,14.171035,6.6502,749.851124531445
150000,内蒙古自治区,2006,178.6912,89.9456,87.7592,0.9864,178.69118,142.1763,16.66548,13.1334,6.716,747.192891490696
150000,内蒙古自治区,2005,174.76,87.69,86.19,0.89,174.76,143.88,13.16,12.17,5.56,734.5
150000,内蒙古自治区,2004,171.48,85.7,85.51,0.26,171.48,149.43,10.39,10.88,0.76,719.32
150000,内蒙古自治区,2003,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,
210000,辽宁省,2019,130.3,72.6,52.7,5.0,130.3,80.7,18.3,25.3,6,299.161979106876
210000,辽宁省,2018,130.3,72.5,53.3,4.4,130.3,80.5,18.7,25.5,5.7,298.579285059578
210000,辽宁省,2017,131.1,72.4,54.5,4.2,131.1,81.6,18.6,25.4,5.5,299.76677184799
210000,辽宁省,2016,135.39,74.23,56.96,4.21,135.4,84.9,19.6,25.3,5.6,309.132420091324
210000,辽宁省,2015,140.8,78.0,58.6,4.2,140.8,88.8,21.4,25.0,5.6,320.970205393576
210000,辽宁省,2014,141.77,79.9762,58.44,3.34,141.769,89.646,22.818,24.398,4.91,322.899441976996
210000,辽宁省,2013,142.1304,78.4243,60.0044,3.7017,142.1304,90.8055,22.8439,23.4153,5.0657,323.796332156282
210000,辽宁省,2012,142.23,77.55,61.31,3.3,142.23,91.49,22.96,23.37,4.4,324.281805745554
210000,辽宁省,2011,144.53,76.69,64.32,3.56,144.53,89.74,24.03,25.88,4.87,330.1
210000,辽宁省,2010,143.67,72.07,67.58,4.02,143.67,89.82,24.99,25.48,3.38,329.673355591505
210000,辽宁省,2009,142.79,71.6,67.35,3.84,142.79,91.12,23.92,24.41,3.34,330.762103312486
210000,辽宁省,2008,142.78,73.59,66.58,2.61,142.78,90.89,24.66,24.56,2.67,331.54533844189
210000,辽宁省,2007,142.87,73.3,67.17,2.4,142.87,91.67,24.35,24.32,2.53,333.45781304703
210000,辽宁省,2006,141.24,72.46,67.01,1.77,141.24,91.54,23.54,24.25,1.91,332.642487046632
210000,辽宁省,2005,133.26,68.22,64.27,0.77,133.26,87.16,21.09,23.92,1.09,316.682509505703
210000,辽宁省,2004,130.23,64.55,65.0,0.68,130.23,85.71,19.87,23.79,0.86,308.82
210000,辽宁省,2003,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,
220000,吉林省,2019,115.4,75.0,39.0,1.4,115.4,81.5,14.1,13.4,6.5,427.803521779425
220000,吉林省,2018,119.5,76.6,42.5,0.4,119.5,84.4,16.7,14.1,4.4,440.878066777347
220000,吉林省,2017,126.7,81.5,44.7,0.4,126.7,89.8,18.1,14.1,4.7,464.951569073932
220000,吉林省,2016,132.54,87.22,44.89,0.43,132.5,91.1,20.9,14.3,6.3,483.047757929275
220000,吉林省,2015,133.6,88.9,44.0,0.7,133.6,90.2,23.2,12.8,7.4,485.315218773271
220000,吉林省,2014,132.98,87.53,44.9,0.55,132.98,89.76,26.8,12.82,3.6,483.300018171906
220000,吉林省,2013,131.48,86.89,44.04,0.55,131.48,88.77,26.49,12.29,3.93,477.987421383648
220000,吉林省,2012,129.82,85.93,43.34,0.55,129.82,84.74,27.09,11.96,6.03,472.089035803055
220000,吉林省,2011,131.24,87.36,43.72,0.16,131.24,81.64,26.63,15.12,7.85,477.6
220000,吉林省,2010,120.04,75.87,44.17,,120.04,73.84,26.12,16.36,3.72,437.610907652378
220000,吉林省,2009,111.09,68.58,42.51,,111.09,71.15,23.62,14.05,2.27,405.882352941176
220000,吉林省,2008,104.08,63.47,40.61,,104.08,69.29,19.27,13.29,2.23,380.966325036603
220000,吉林省,2007,100.78,62.03,38.75,,100.78,67.53,19.52,11.74,1.99,369.631395562076
220000,吉林省,2006,102.9,64.87,38.03,0.0,102.9,70.35,19.12,11.49,1.94,378.378378378378
220000,吉林省,2005,98.39,61.55,36.84,,98.39,66.38,18.79,11.48,1.74,363.330871491876
220000,吉林省,2004,99.19,60.23,38.96,,99.19,66.44,16.55,13.79,2.41,366.14
220000,吉林省,2003,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,
230000,黑龙江省,2019,310.4,173.5,135.4,1.5,310.4,274.2,19.5,15.6,1.2,825.093035619351
230000,黑龙江省,2018,343.9,190.3,152.8,0.9,343.9,304.8,19.8,15.7,3.6,909.583823743338
230000,黑龙江省,2017,353.1,188.9,163.1,1.0,353.1,316.4,19.7,15.4,1.5,930.688606774179
230000,黑龙江省,2016,352.63579,184.77794,166.845081,1.012769,352.6,313.8,20.6,15.6,2.5,926.553672316384
230000,黑龙江省,2015,355.3,196.7,157.7,0.8,355.3,312.5,23.8,16.2,2.6,929.532878988057
230000,黑龙江省,2014,364.128624,196.287778,167.591546,0.2493,364.128624,316.144502,28.960172,17.740127,1.283823,949.73558685446
230000,黑龙江省,2013,362.2957,194.9134,167.3823,,362.2957,308.3065,33.9681,17.0691,2.952,944.831659929587
230000,黑龙江省,2012,358.9014,197.383,161.5184,,358.901445203913,294.8979,41.6984,16.3386432039135,5.966502,936.101839342497
230000,黑龙江省,2011,352.36,201.43,149.87,1.06,352.36,272.26,53.23,21.25,5.63,919.1
230000,黑龙江省,2010,325.0033,178.8641,146.1392,,325.0033,249.6018,56.0249,17.6117,1.7649,848.638791976774
230000,黑龙江省,2009,316.2512,180.215,136.0362,,316.2512,237.3976,55.7064,18.7842,4.363,826.692458502156
230000,黑龙江省,2008,297.01,169.62,127.38,,297.01,218.15,57.55,18.81,2.5,776.598248137011
230000,黑龙江省,2007,291.37,166.74,124.63,,291.37,214.75,57.54,18.61,0.47,762.050477311364
230000,黑龙江省,2006,286.21,171.84,114.37,0.0,286.21,208.26,57.49,20.03,0.43,748.946748658903
230000,黑龙江省,2005,271.51,158.43,113.08,,271.51,192.08,55.45,20.27,3.71,712.9
230000,黑龙江省,2004,259.44,155.49,103.95,,259.44,186.25,52.96,19.19,1.04,679.69
230000,黑龙江省,2003,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,
310000,上海市,2019,100.9,100.9,,,100.9,16.9,58.9,24.2,0.9,415.910964550701
310000,上海市,2018,103.4,103.4,,,103.4,16.5,61.6,24.5,0.8,427.096241222635
310000,上海市,2017,104.8,104.8,,,104.8,16.7,62.7,24.6,0.8,433.263741033962
310000,上海市,2016,104.836761309321,104.801742950321,0.02905923,0.005959129,104.8,14.5,64.4,25.1,0.8,433.505687693899
310000,上海市,2015,103.8,103.8,,,103.8,14.3,64.6,24.1,0.8,428.841446410312
310000,上海市,2014,105.9169327701,105.8596829201,0.05724985,,105.9169327701,14.5710812301,66.1990381701804,24.3562186589239,0.790594710895765,437.5828662264
310000,上海市,2013,123.2093454167,123.1293350767,0.08001034,,123.2093560067,16.2609109767,80.4257917603316,25.737831997032,0.784821272636337,513.861555717423
310000,上海市,2012,115.9802154,115.8707885,0.1094269,,115.9802154,17.45093,72.93218839989,24.8542325335983,0.742864466511625,490.621462851293
310000,上海市,2011,124.5,124.36,0.14,,124.5,16.47,82.64,24.85,0.54,535.5
310000,上海市,2010,126.288455491156,126.091358511156,0.19709698,,126.288455491156,16.7634132011557,84.8466561688275,23.4582541961725,1.220131925,559.672555381873
310000,上海市,2009,125.201557235642,124.946273785642,0.25528345,,125.20146337,16.783316,84.1580345133158,23.0872165466842,1.17289631,657.398074927802
310000,上海市,2008,119.77,119.45,0.32,,119.77,16.74,79.56,22.36,1.11,639.455419113721
310000,上海市,2007,120.192421,119.792618,0.399803,,120.192421,16.2121,81.346811959879,21.596303915121,1.037205125,654.464584808059
310000,上海市,2006,118.567974402446,117.996668402446,0.571306,0.0,118.567974402446,18.3678,77.9824409610348,20.3863443339109,1.8313891075,659.994291135239
310000,上海市,2005,121.28,120.54,0.75,,121.28,18.46,81.31,19.78,1.73,684.2
310000,上海市,2004,118.14,117.26,0.88,,118.14,18.81,77.89,19.1,2.33,678.19
310000,上海市,2003,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,
320000,江苏省,2019,619.1,602.3,6.3,10.5,619.1,303.1,248.3,64.0,3.7,768.066497115564
320000,江苏省,2018,592.0,575.5,7.9,8.7,592.0,273.3,255.2,61.0,2.5,736.304670932756
320000,江苏省,2017,591.3,575.3,8.4,7.7,591.3,280.6,250.1,58.5,2.1,737.838394299939
320000,江苏省,2016,577.401691156597,561.030791156597,8.86899999999999,7.50189999999999,577.4,270.8,248.5,56.1,2,722.879499217527
320000,江苏省,2015,574.5,558.0,9.1,7.4,574.5,279.1,239.0,54.4,2,720.992748657786
320000,江苏省,2014,591.294914256477,574.698846256477,9.69,6.906068,591.294825757255,297.772092518042,237.9733136,52.8294196392132,2.72,743.813857169954
320000,江苏省,2013,576.688960626098,567.362203830693,9.327945,,576.686838206096,301.943802854199,220.057084,51.41,3.24,727.268510592858
320000,江苏省,2012,552.232960945447,542.407960945447,9.825,,552.237960945447,305.352462879697,193.095,50.4604980657497,3.33,698.205501240231
320000,江苏省,2011,556.17,546.1,10.07,,556.17,307.6,192.89,52.39,3.28,705.4
320000,江苏省,2010,552.194675883134,543.523675883134,8.671,,552.194675883134,304.225356989238,191.85,52.9093188938963,3.21,704.359591517416
320000,江苏省,2009,549.23,540.4,8.83,,549.232711307201,300.116786101769,194.548147,51.3877782054317,3.18,713.196612527206
320000,江苏省,2008,558.32,548.65,9.67,,558.32,287.34,209.4,49.48,12.1,729.734675205856
320000,江苏省,2007,558.341241290781,548.451162680005,9.8829,,558.341287229851,268.513417614651,225.25,48.4178696151991,16.16,735.869900797167
320000,江苏省,2006,546.382,535.662,10.72,0.0,546.385601574112,270.686700070065,220.34,46.1494121355328,9.20948936851395,727.301965489666
320000,江苏省,2005,519.72,508.89,10.83,,519.72,263.81,207.9,43.05,4.95,697.4
320000,江苏省,2004,525.58,515.1,10.48,,525.58,288.53,182.62,40.57,13.85,707.1
320000,江苏省,2003,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,
330000,浙江省,2019,165.8,162.4,0.7,2.7,165.8,72.4,40.8,47.2,5.4,286.182791058945
330000,浙江省,2018,173.8,170.4,0.8,2.6,173.8,77.1,44.0,47.2,5.5,305.072845357206
330000,浙江省,2017,179.5,176.2,1.3,2.0,179.5,80.9,46.1,47.0,5.5,319.196230105806
330000,浙江省,2016,181.147,178.484,1.5629,1.1001,181.1,81.0,48.4,46.3,5.5,325.456015814539
330000,浙江省,2015,186.1,183.4,1.7,1.0,186.1,84.7,51.6,44.3,5.5,336.924051778764
330000,浙江省,2014,192.8679,189.7349,2.1894,0.9436,192.8679,88.2105,55.6711,43.8221,5.1642,
330000,浙江省,2013,198.33381988375,194.646899883751,2.51922,1.1677,198.333829118358,91.945402,58.75311,42.4631871183578,5.17213,361.428390192907
330000,浙江省,2012,198.1228,193.9361,3.3403,0.8464,198.1228,91.2899,60.7403,41.5857,4.5069,362.198903107861
330000,浙江省,2011,198.54,193.69,4.15,0.69,198.54,92.07,61.83,39.99,4.58,364.0
330000,浙江省,2010,203.0391,198.1433,4.3269,0.5689,203.0391,94.6443,59.6957,39.4029,9.2962,378.733278555047
330000,浙江省,2009,197.7640017752,192.2828017752,4.9643,0.5169,197.7640017752,97.2772717730497,55.3377,37.60353000215,7.5455,384.007770437281
330000,浙江省,2008,216.62,210.97,5.3,0.34,216.62,98.73,61.03,36.32,20.54,425.579567779961
330000,浙江省,2007,210.9772,204.8507,5.6526,0.4739,210.9772,100.2201,64.1659,33.9484,12.6428,420.273306772908
330000,浙江省,2006,208.264312901,201.442342901,6.42287,0.3991,208.264010701,101.05619662,62.72676,32.641289081,11.839765,421.672424986839
330000,浙江省,2005,209.91,202.79,6.65,0.47,209.91,106.73,58.1,31.32,13.76,429.8
330000,浙江省,2004,207.77,200.24,7.1,0.42,207.77,107.29,55.77,31.44,13.26,440.2
330000,浙江省,2003,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,
340000,安徽省,2019,277.7,244.1,29.1,4.6,277.7,150.2,85.2,34.7,7.7,437.667454688731
340000,安徽省,2018,285.8,251.5,29.8,4.5,285.8,154.0,91.0,34.1,6.7,454.408140551713
340000,安徽省,2017,290.3,256.5,30.8,3.0,290.3,158.2,92.2,33.8,6.2,466.32665354805
340000,安徽省,2016,290.65,256.1,32.02,2.53,290.7,158.6,93.1,33.4,5.6,471.150729335494
340000,安徽省,2015,288.7,253.9,32.5,2.3,288.7,157.5,93.5,32.8,4.9,472.252893305525
340000,安徽省,2014,272.09,239.932,30.31,1.848,272.09,142.83,92.71,31.9,4.65,449.252868818625
340000,安徽省,2013,296.02,260.86,33.41,1.75,296.02,162.09,98.43,31.45,4.05,492.627725079048
340000,安徽省,2012,292.637,257.383,34.362,0.892,292.637,157.893,99.252,30.891,4.601,489.52325192372
340000,安徽省,2011,294.63,259.9,33.4,1.33,294.63,168.38,90.62,31.67,3.96,494.1
340000,安徽省,2010,293.12,265.623,26.607,0.89,293.12,166.702,94.009,30.189,2.22,484.988487810792
340000,安徽省,2009,291.856,265.27,26.096,0.49,291.856,167.221,93.658,29.027,1.95,475.878036849829
340000,安徽省,2008,266.36,242.38,23.5,0.48,266.36,151.91,85.4,27.42,1.63,434.766995837754
340000,安徽省,2007,232.05,211.65,19.92,0.48,232.05,120.56,83.81,26.08,1.6,379.538763493621
340000,安徽省,2006,241.87,223.52,17.87,0.48,241.87,136.44,79.64,24.35,1.44,395.535568274734
340000,安徽省,2005,208.03,189.6,17.85,0.58,208.03,113.55,67.72,25.39,1.37,340.92100950508
340000,安徽省,2004,209.7,189.3,19.89,0.58,209.7,121.74,63.29,24.1,0.66,324.6
340000,安徽省,2003,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,
350000,福建省,2019,177.5,171.3,4.7,1.5,177.5,83.7,56.0,34.2,3.6,448.572150619156
350000,福建省,2018,186.9,181.2,4.4,1.2,186.9,87.5,62.1,33.6,3.7,476.057055527254
350000,福建省,2017,192.0,186.4,5.0,0.7,192.0,91.2,64.4,33.2,3.2,493.256262042389
350000,福建省,2016,189.061974571301,182.810274571301,5.5759,0.6758,189.1,84.2,68.6,33.1,3.1,490.340982756385
350000,福建省,2015,201.3,194.7,6.0,0.6,201.3,93.3,72.5,32.2,3.3,526.618705035971
350000,福建省,2014,205.629234656447,198.509234656447,6.47,0.65,205.629234656447,95.6481844059202,75.2702239740798,31.5308262764467,3.18,542.557347378487
350000,福建省,2013,204.828440556887,197.691440556887,6.487,0.65,204.827119808179,95.7273636445768,75.003404975638,30.9224228134518,3.17392837451276,544.608135623982
350000,福建省,2012,200.07570532511,192.80570532511,6.62,0.65,200.083620770086,92.7818355798481,75.7352019367027,28.4565832535354,3.11,535.842583744205
350000,福建省,2011,208.82,203.52,5.02,0.29,208.82,98.62,83.47,25.19,1.54,563.4
350000,福建省,2010,202.452683677373,197.540104185134,4.64759741384667,0.27,202.452683677373,97.19349106651,81.2553571067799,22.70273691599,1.29,550.226954654773
350000,福建省,2009,201.44,196.38,4.8,0.26,201.44,100.83,77.19,22.13,1.29,557.156686488729
350000,福建省,2008,198.04,192.35,4.99,0.7,198.04,99.3,75.44,21.91,1.39,551.259568545581
350000,福建省,2007,196.28,190.22,5.24,0.82,196.28,100.94,72.77,21.15,1.42,549.880935705281
350000,福建省,2006,187.25,180.04,6.02,1.19,187.25,97.96,66.9,21.01,1.38,527.985337656845
350000,福建省,2005,186.86,179.36,6.37,1.13,186.86,101.54,63.49,20.49,1.34,530.249716231555
350000,福建省,2004,184.9,176.6,6.7,1.6,184.9,104.2,59.3,20.1,1.26,526.7
350000,福建省,2003,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,
360000,江西省,2019,253.3,243.2,8.0,2.2,253.3,162.5,59.4,29.1,2.4,543.912389950612
360000,江西省,2018,250.8,240.6,8.0,2.2,250.8,160.7,58.8,29.0,2.4,541.100323624595
360000,江西省,2017,248.0,237.6,8.3,2.1,248.0,156.3,60.5,28.9,2.3,538.295760397785
360000,江西省,2016,245.36,235.13,8.18,2.05,245.4,154.2,60.5,28.5,2.2,535.924874426731
360000,江西省,2015,245.8,235.6,8.2,2.0,245.8,154.1,61.6,27.9,2.1,539.757723882523
360000,江西省,2014,259.3,248.271,9.08,1.95,259.3,168.61,61.25,27.36,2.08,572.153574580759
360000,江西省,2013,264.81,255.28,9.53,,264.81,175.68,60.13,26.88,2.12,586.775963005527
360000,江西省,2012,242.54,233.18,9.36,,242.54,155.66,58.72,26.11,2.05,539.435170852868
360000,江西省,2011,262.86,252.7,10.16,,262.86,171.74,60.64,28.42,2.06,587.4
360000,江西省,2010,239.7456,229.84,9.9056,,239.7456,151.022,57.354,27.49,3.89,539.092937842849
360000,江西省,2009,241.25,230.88,10.37,,241.25,157.21,53.18,26.09,4.77,546.308876811594
360000,江西省,2008,234.21,223.71,10.49,,234.21,148.89,59.92,23.39,2.01,534.238138686131
360000,江西省,2007,234.868261775435,224.137261775435,10.731,,234.871094643478,151.351113043478,58.6016,22.8983816,2.02,539.499470870514
