省份编码,省份,年份,突发环境事件次数(次),特别重大环境事件(次),重大环境事件(次),较大环境事件(次),一般环境事件(次),未定级环境事件(次)
340000,安徽省,2000,,,,,,
350000,福建省,2019,9,,,,9,
350000,福建省,2018,11,,,1,10,
350000,福建省,2017,15,,,,15,
350000,福建省,2016,11,,,,11,
350000,福建省,2015,19,,,,19,
350000,福建省,2014,20,,,2,18,
350000,福建省,2013,13,,,,13,
350000,福建省,2012,4,,,,4,
350000,福建省,2011,8,,,,8,
350000,福建省,2010,,,,,,
350000,福建省,2009,,,,,,
350000,福建省,2008,,,,,,
350000,福建省,2007,,,,,,
350000,福建省,2006,,,,,,
350000,福建省,2005,,,,,,
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,8,,,,8,
360000,江西省,2018,4,,,1,3,
360000,江西省,2017,6,,,1,5,
360000,江西省,2016,7,,2,,5,
360000,江西省,2015,7,,,,7,
360000,江西省,2014,6,,,,6,
360000,江西省,2013,5,,1,,4,
360000,江西省,2012,1,,,,1,
360000,江西省,2011,8,,,1,7,
360000,江西省,2010,,,,,,
360000,江西省,2009,,,,,,
360000,江西省,2008,,,,,,
360000,江西省,2007,,,,,,
360000,江西省,2006,,,,,,
360000,江西省,2005,,,,,,
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,8,,,,8,
370000,山东省,2018,1,,,,1,
370000,山东省,2017,8,,,,8,
370000,山东省,2016,7,,,,7,
370000,山东省,2015,10,,1,,9,
370000,山东省,2014,6,,,1,5,
370000,山东省,2013,5,,,1,4,
370000,山东省,2012,3,,,,3,
370000,山东省,2011,8,,,,,8
370000,山东省,2010,,,,,,
370000,山东省,2009,,,,,,
370000,山东省,2008,,,,,,
370000,山东省,2007,,,,,,
370000,山东省,2006,,,,,,
370000,山东省,2005,,,,,,
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,10,,,,10,
410000,河南省,2018,12,,,1,11,
410000,河南省,2017,5,,,,5,
410000,河南省,2016,4,,,,4,
410000,河南省,2015,10,,,,10,
410000,河南省,2014,6,,,,6,
410000,河南省,2013,17,,,,17,
410000,河南省,2012,14,,,,14,
410000,河南省,2011,25,,1,,24,
410000,河南省,2010,,,,,,
410000,河南省,2009,,,,,,
410000,河南省,2008,,,,,,
410000,河南省,2007,,,,,,
410000,河南省,2006,,,,,,
410000,河南省,2005,,,,,,
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,19,,,1,18,
420000,湖北省,2018,17,,,1,16,
420000,湖北省,2017,18,,,1,17,
420000,湖北省,2016,37,,,1,36,
420000,湖北省,2015,10,,,1,9,
420000,湖北省,2014,5,,2,,3,
420000,湖北省,2013,7,,,2,5,
420000,湖北省,2012,4,,,,4,
420000,湖北省,2011,7,,,,,7
420000,湖北省,2010,,,,,,
420000,湖北省,2009,,,,,,
420000,湖北省,2008,,,,,,
420000,湖北省,2007,,,,,,
420000,湖北省,2006,,,,,,
420000,湖北省,2005,,,,,,
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,25,,,,25,
430000,湖南省,2018,16,,,,16,
430000,湖南省,2017,15,,,1,14,
430000,湖南省,2016,8,,,,8,
430000,湖南省,2015,16,,,,16,
430000,湖南省,2014,2,,,1,1,
430000,湖南省,2013,3,,,1,2,
430000,湖南省,2012,3,,1,1,1,
430000,湖南省,2011,9,,,,,9
430000,湖南省,2010,,,,,,
430000,湖南省,2009,,,,,,
430000,湖南省,2008,,,,,,
430000,湖南省,2007,,,,,,
430000,湖南省,2006,,,,,,
430000,湖南省,2005,,,,,,
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,26,,,,26,
440000,广东省,2018,37,,,,37,
440000,广东省,2017,48,,,,48,
440000,广东省,2016,24,,,,24,
440000,广东省,2015,29,,,,29,
440000,广东省,2014,23,,1,,22,
440000,广东省,2013,5,,,1,4,
440000,广东省,2012,23,,1,,22,
440000,广东省,2011,26,,3,,23,
440000,广东省,2010,,,,,,
440000,广东省,2009,,,,,,
440000,广东省,2008,,,,,,
440000,广东省,2007,,,,,,
440000,广东省,2006,,,,,,
440000,广东省,2005,,,,,,
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,4,,,,4,
450000,广西壮族自治区,2018,10,,,,10,
450000,广西壮族自治区,2017,8,,,,8,
450000,广西壮族自治区,2016,8,,,,8,
450000,广西壮族自治区,2015,7,,,,7,
450000,广西壮族自治区,2014,8,,,,8,
450000,广西壮族自治区,2013,16,,1,1,14,
450000,广西壮族自治区,2012,20,,1,3,16,
450000,广西壮族自治区,2011,31,,,,,31
450000,广西壮族自治区,2010,,,,,,
450000,广西壮族自治区,2009,,,,,,
450000,广西壮族自治区,2008,,,,,,
450000,广西壮族自治区,2007,,,,,,
450000,广西壮族自治区,2006,,,,,,
450000,广西壮族自治区,2005,,,,,,
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,,,,,,
460000,海南省,2018,1,,,,1,
460000,海南省,2017,4,,,,4,
460000,海南省,2016,4,,,,4,
460000,海南省,2015,2,,,,2,
460000,海南省,2014,3,,,,3,
460000,海南省,2013,4,,,,4,
460000,海南省,2012,2,,,,2,
460000,海南省,2011,1,,,,1,
460000,海南省,2010,,,,,,
460000,海南省,2009,,,,,,
460000,海南省,2008,,,,,,
460000,海南省,2007,,,,,,
460000,海南省,2006,,,,,,
460000,海南省,2005,,,,,,
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,3,,,,3,
500000,重庆市,2018,7,,,,7,
500000,重庆市,2017,12,,,,12,
500000,重庆市,2016,11,,,,11,
500000,重庆市,2015,9,,,,9,
500000,重庆市,2014,16,,,,16,
500000,重庆市,2013,11,,,,11,
500000,重庆市,2012,25,,,,25,
500000,重庆市,2011,18,,,,18,
500000,重庆市,2010,,,,,,
500000,重庆市,2009,,,,,,
500000,重庆市,2008,,,,,,
500000,重庆市,2007,,,,,,
500000,重庆市,2006,,,,,,
500000,重庆市,2005,,,,,,
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,25,,,,25,
510000,四川省,2018,20,,,1,19,
510000,四川省,2017,16,,1,,15,
510000,四川省,2016,20,,,2,18,
510000,四川省,2015,14,,,2,12,
510000,四川省,2014,7,,,2,5,
510000,四川省,2013,14,,,,14,
510000,四川省,2012,16,,,,16,
510000,四川省,2011,25,,1,1,23,
510000,四川省,2010,,,,,,
510000,四川省,2009,,,,,,
510000,四川省,2008,,,,,,
510000,四川省,2007,,,,,,
510000,四川省,2006,,,,,,
510000,四川省,2005,,,,,,
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,8,,,,8,
520000,贵州省,2018,8,,,1,7,
520000,贵州省,2017,11,,,,11,
520000,贵州省,2016,12,,,,12,
520000,贵州省,2015,9,,,,9,
520000,贵州省,2014,3,,,,3,
520000,贵州省,2013,9,,,,9,
520000,贵州省,2012,4,,1,,3,
520000,贵州省,2011,7,,1,1,5,
520000,贵州省,2010,,,,,,
520000,贵州省,2009,,,,,,
520000,贵州省,2008,,,,,,
520000,贵州省,2007,,,,,,
520000,贵州省,2006,,,,,,
520000,贵州省,2005,,,,,,
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,,,,,,
530000,云南省,2018,,,,,,
530000,云南省,2017,4,,,,4,
530000,云南省,2016,1,,,,1,
530000,云南省,2015,4,,,,4,
530000,云南省,2014,3,,,,3,
530000,云南省,2013,2,,,,2,
530000,云南省,2012,1,,,,1,
530000,云南省,2011,1,,,,1,
530000,云南省,2010,,,,,,
530000,云南省,2009,,,,,,
530000,云南省,2008,,,,,,
530000,云南省,2007,,,,,,
530000,云南省,2006,,,,,,
530000,云南省,2005,,,,,,
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,,,,,,
540000,西藏自治区,2018,,,,,,
540000,西藏自治区,2017,,,,,,
540000,西藏自治区,2016,,,,,,
540000,西藏自治区,2015,,,,,,
540000,西藏自治区,2014,,,,,,
540000,西藏自治区,2013,,,,,,
540000,西藏自治区,2012,,,,,,
540000,西藏自治区,2011,,,,,,
540000,西藏自治区,2010,,,,,,
540000,西藏自治区,2009,,,,,,
540000,西藏自治区,2008,,,,,,
540000,西藏自治区,2007,,,,,,
540000,西藏自治区,2006,,,,,,
540000,西藏自治区,2005,,,,,,
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,26,,,1,25,
610000,陕西省,2018,27,,,,27,
610000,陕西省,2017,32,,,,32,
610000,陕西省,2016,45,,1,,44,
610000,陕西省,2015,58,,,1,57,
610000,陕西省,2014,82,,,2,80,
610000,陕西省,2013,118,,,,118,
610000,陕西省,2012,23,,,,23,
610000,陕西省,2011,2,,,,2,
610000,陕西省,2010,,,,,,
610000,陕西省,2009,,,,,,
610000,陕西省,2008,,,,,,
610000,陕西省,2007,,,,,,
610000,陕西省,2006,,,,,,
610000,陕西省,2005,,,,,,
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,4,,,,4,
620000,甘肃省,2018,5,,1,,4,
620000,甘肃省,2017,5,,,,5,
620000,甘肃省,2016,9,,,,9,
620000,甘肃省,2015,12,,1,,11,
620000,甘肃省,2014,22,,,1,21,
620000,甘肃省,2013,11,,,,11,
620000,甘肃省,2012,8,,,,8,
620000,甘肃省,2011,4,,,,,4
620000,甘肃省,2010,,,,,,
620000,甘肃省,2009,,,,,,
620000,甘肃省,2008,,,,,,
620000,甘肃省,2007,,,,,,
620000,甘肃省,2006,,,,,,
620000,甘肃省,2005,,,,,,
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,2,,,,2,
630000,青海省,2018,1,,,,1,
630000,青海省,2017,3,,,,3,
630000,青海省,2016,3,,,,3,
630000,青海省,2015,3,,,,3,
630000,青海省,2014,6,,,,6,
630000,青海省,2013,2,,,,2,
630000,青海省,2012,4,,,,4,
630000,青海省,2011,1,,,,1,
630000,青海省,2010,,,,,,
630000,青海省,2009,,,,,,
630000,青海省,2008,,,,,,
630000,青海省,2007,,,,,,
630000,青海省,2006,,,,,,
630000,青海省,2005,,,,,,
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
630000,青海省,2002,,,,,,
630000,青海省,2001,,,,,,
630000,青海省,2000,,,,,,
640000,宁夏回族自治区,2019,5,,,,5,
640000,宁夏回族自治区,2018,23,,1,,22,
640000,宁夏回族自治区,2017,11,,,1,10,
640000,宁夏回族自治区,2016,4,,,,4,
640000,宁夏回族自治区,2015,2,,,,2,
640000,宁夏回族自治区,2014,7,,,1,6,
640000,宁夏回族自治区,2013,3,,,1,2,
640000,宁夏回族自治区,2012,,,,,,
640000,宁夏回族自治区,2011,1,,,,1,
640000,宁夏回族自治区,2010,,,,,,
640000,宁夏回族自治区,2009,,,,,,
640000,宁夏回族自治区,2008,,,,,,
640000,宁夏回族自治区,2007,,,,,,
640000,宁夏回族自治区,2006,,,,,,
640000,宁夏回族自治区,2005,,,,,,
640000,宁夏回族自治区,2004,,,,,,
640000,宁夏回族自治区,2003,,,,,,
640000,宁夏回族自治区,2002,,,,,,
640000,宁夏回族自治区,2001,,,,,,
640000,宁夏回族自治区,2000,,,,,,
650000,新疆维吾尔自治区,2019,4,,,,4,
650000,新疆维吾尔自治区,2018,1,,,,1,
650000,新疆维吾尔自治区,2017,8,,,,8,
650000,新疆维吾尔自治区,2016,11,,,1,10,
650000,新疆维吾尔自治区,2015,4,,,,4,
650000,新疆维吾尔自治区,2014,5,,,,5,
650000,新疆维吾尔自治区,2013,10,,,,10,
650000,新疆维吾尔自治区,2012,13,,,,13,
650000,新疆维吾尔自治区,2011,6,,,,6,
650000,新疆维吾尔自治区,2010,,,,,,
650000,新疆维吾尔自治区,2009,,,,,,
650000,新疆维吾尔自治区,2008,,,,,,
650000,新疆维吾尔自治区,2007,,,,,,
650000,新疆维吾尔自治区,2006,,,,,,
650000,新疆维吾尔自治区,2005,,,,,,
650000,新疆维吾尔自治区,2004,,,,,,
650000,新疆维吾尔自治区,2003,,,,,,
650000,新疆维吾尔自治区,2002,,,,,,
650000,新疆维吾尔自治区,2001,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,
