省份编码,省份,年份,发生地质灾害起数(次),发生滑坡灾害起数(次),发生崩塌灾害起数(次),发生泥石流灾害起数(次),发生地面塌陷灾害起数(次),地质灾害人员伤亡(人),地质灾害死亡人数(人),地质灾害直接经济损失(万元),地质灾害防治项目数(个),地质灾害防治投资(万元)
220000,吉林省,2014,,,,,,,,,,
220000,吉林省,2013,76,34,16,22,4,,,1798.6,23,19553.0
220000,吉林省,2012,19,2,9,7,1,,,429.1,10,8009.0
220000,吉林省,2011,15,3,9,2,1,,,151.0,10,3862.0
220000,吉林省,2010,471,128,80,254,9,9,9,75087.4,7,3492.0
220000,吉林省,2009,18,3,8,4,2,,,294.7,42,51774.0
220000,吉林省,2008,8,3,3,2,,,,359.0,3,125.0
220000,吉林省,2007,1,,,1,,,,1.0,1,25.0
220000,吉林省,2006,13,,2,10,1,,,158.6,3,70.0
220000,吉林省,2005,8,3,,4,1,4,4,2304.0,19,334.0
220000,吉林省,2004,476,236,89,134,17,1,1,6808.0,10,925.0
220000,吉林省,2003,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,
230000,黑龙江省,2019,11,3,7,1,,,,246.02,,
230000,黑龙江省,2018,3,1,2,,,,,100.0,,
230000,黑龙江省,2017,,,,,,,,,11,1010.18
230000,黑龙江省,2016,1,,,,1,,,100.0,9,4338.23
230000,黑龙江省,2015,,,,,,,,,6,4375.0
230000,黑龙江省,2014,,,,,,,,,,
230000,黑龙江省,2013,2,2,2,,,,,600.0,23,10860.0
230000,黑龙江省,2012,2,1,1,,,,,,10,2850.0
230000,黑龙江省,2011,1,1,,,,,,0.75,15,3629.0
230000,黑龙江省,2010,2,1,,,1,,,0.5,16,6611.0
230000,黑龙江省,2009,11,,2,5,2,,,,9,3410.0
230000,黑龙江省,2008,6,1,1,4,,,,203.1,14,4514.0
230000,黑龙江省,2007,4,1,,,3,,,22.9,3,630.0
230000,黑龙江省,2006,4,1,,2,1,,,3.0,13,106.4
230000,黑龙江省,2005,11,4,2,4,1,,,409.2,29,11560.5
230000,黑龙江省,2004,6,,3,2,1,,,113.0,14,12780.0
230000,黑龙江省,2003,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,
310000,上海市,2019,,,,,,,,,,
310000,上海市,2018,,,,,,,,,,
310000,上海市,2017,,,,,,,,,8,3168.13
310000,上海市,2016,1,,,,,,,,2,4591.21
310000,上海市,2015,1,,,,,,,,1,5322.0
310000,上海市,2014,,,,,,,,,,
310000,上海市,2013,1,,,,,,,,2,4051.0
310000,上海市,2012,,,,,,,,,1,6319.0
310000,上海市,2011,,,,,,,,,1,6064.0
310000,上海市,2010,,,,,,,,,1,850.0
310000,上海市,2009,,,,,,,,,,896.0
310000,上海市,2008,,,,,,,,,3,4046.0
310000,上海市,2007,,,,,,,,,3,604.0
310000,上海市,2006,,,,,,,,,2,560.0
310000,上海市,2005,,,,,,,,,2,500.0
310000,上海市,2004,,,,,,,,,,320.0
310000,上海市,2003,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,
320000,江苏省,2019,6,2,1,,3,,,22.0,,
320000,江苏省,2018,8,3,3,,2,,,830.2,,
320000,江苏省,2017,3,2,1,,,,,30.0,91,30229.64
320000,江苏省,2016,32,25,2,,5,,,2333.6,88,26208.59
320000,江苏省,2015,43,35,6,,2,,,2095.55,115,10898.76
320000,江苏省,2014,,,,,,,,,,
320000,江苏省,2013,11,7,2,,2,,,1189.5,91,15804.06
320000,江苏省,2012,25,20,2,,3,,,642.0,117,23864.27
320000,江苏省,2011,52,42,7,2,1,,,2556.0,171,16856.0
320000,江苏省,2010,25,21,3,,1,,,3125.5,81,12132.0
320000,江苏省,2009,17,11,1,,5,,,628.0,40,15241.0
320000,江苏省,2008,5,5,,,,,,432.0,27,3241.4
320000,江苏省,2007,47,43,1,,3,,,4554.5,27,4677.15
320000,江苏省,2006,19,10,4,,4,,,228.85,32,3313.48
320000,江苏省,2005,2,,,,2,,,140.0,26,6478.0
320000,江苏省,2004,21,13,1,,7,,,1045.0,30,3162.0
320000,江苏省,2003,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,
330000,浙江省,2019,488,240,130,118,,8,6,9043.55,,
330000,浙江省,2018,32,12,16,3,1,,,445.2,,
330000,浙江省,2017,75,47,21,7,,,,1236.3,5408,328747.61
330000,浙江省,2016,400,280,37,83,,45,38,10168.3,1845,78823.52
330000,浙江省,2015,385,268,73,44,,50,47,7742.6,1507,55341.87
330000,浙江省,2014,,,,,,,,,,
330000,浙江省,2013,778,428,254,94,2,9,7,3830.3,1549,44166.83
330000,浙江省,2012,747,490,191,61,5,1,1,11361.43,1123,44953.96
330000,浙江省,2011,679,467,162,46,4,4,3,3550.3,872,35273.89
330000,浙江省,2010,650,349,238,54,4,21,16,8938.4,1433,28493.0
330000,浙江省,2009,247,147,64,32,,43,18,6584.1,714,18487.57
330000,浙江省,2008,116,65,42,9,,3,1,689.5,355,16251.0
330000,浙江省,2007,61,38,10,13,,19,12,2006.0,424,19691.0
330000,浙江省,2006,192,147,27,16,2,47,37,4301.35,496,16624.0
330000,浙江省,2005,375,198,141,32,4,65,36,8499.88,473,17726.33
330000,浙江省,2004,96,38,51,7,,50,44,6182.0,152,13113.0
330000,浙江省,2003,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,
340000,安徽省,2019,182,104,66,11,1,,,2043.7,,
340000,安徽省,2018,109,38,67,3,1,,,433.4,,
340000,安徽省,2017,58,23,33,1,1,,,175.2,920,30506.41
340000,安徽省,2016,724,386,308,26,4,,,4616.4,982,25294.87
340000,安徽省,2015,616,312,272,19,13,2,1,13679.3,492,14205.49
340000,安徽省,2014,,,,,,,,,,
340000,安徽省,2013,261,147,108,3,3,2,1,2247.75,624,29280.18
340000,安徽省,2012,350,170,157,13,10,5,3,4601.3,524,26370.4
340000,安徽省,2011,175,102,60,6,7,2,2,1570.0,332,27289.0
340000,安徽省,2010,338,143,164,16,15,12,6,2536.8,189,11352.0
340000,安徽省,2009,349,116,216,4,13,8,2,2179.29,156,12253.0
340000,安徽省,2008,556,247,285,8,16,3,2,8753.2,164,14814.18
340000,安徽省,2007,314,123,161,9,21,5,3,7485.3,123,8622.7
340000,安徽省,2006,360,72,260,15,13,6,2,3713.93,73,9921.0
340000,安徽省,2005,8320,1528,6445,333,14,44,40,96800.0,46,3614.3
340000,安徽省,2004,465,242,208,1,8,2,1,3658.0,27,1145.0
340000,安徽省,2003,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,
350000,福建省,2019,163,91,70,2,,1,1,4291.85,,
350000,福建省,2018,29,10,18,,1,6,6,199.3,,
350000,福建省,2017,82,39,43,,,4,4,827.8,685,79952.01
350000,福建省,2016,1327,853,442,32,,74,54,25199.39,1091,55236.31
350000,福建省,2015,225,201,23,1,,14,13,3928.4,698,51368.58
350000,福建省,2014,,,,,,,,,,
350000,福建省,2013,175,65,109,,,6,4,1980.9,1765,44966.5
350000,福建省,2012,130,82,43,1,4,6,5,363.6,1043,50792.12
350000,福建省,2011,102,44,54,4,,8,8,1949.2,226,22132.0
350000,福建省,2010,4189,2546,1628,6,5,113,38,37209.4,1125,24793.0
350000,福建省,2009,391,372,15,1,2,3,3,1234.3,2460,8277.0
350000,福建省,2008,318,268,46,1,2,3,3,899.5,266,18308.29
350000,福建省,2007,1141,766,364,5,3,37,25,2710.15,286,17553.1
350000,福建省,2006,6474,3379,2826,64,21,174,97,166612.15,466,4327.8
350000,福建省,2005,6564,5934,599,18,7,128,84,34844.48,664,6600.4
350000,福建省,2004,330,221,103,2,4,12,8,1601.0,158,4023.0
350000,福建省,2003,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,
360000,江西省,2019,738,632,82,11,13,9,7,5824.71,,
360000,江西省,2018,133,89,23,6,15,2,,555.16,,
360000,江西省,2017,325,246,55,7,17,10,5,1869.89,189,33891.49
360000,江西省,2016,386,272,91,7,16,13,10,2583.25,114,18478.87
360000,江西省,2015,2470,1766,656,24,24,18,12,8598.28,112,18454.95
360000,江西省,2014,,,,,,,,,,
360000,江西省,2013,281,199,52,6,24,6,3,1395.11,106,17080.01
360000,江西省,2012,636,358,246,3,29,5,3,3034.52,101,44814.58
360000,江西省,2011,660,307,315,12,26,5,3,4077.44,140,33782.0
360000,江西省,2010,8998,7932,985,47,34,120,39,53966.32,258,18346.0
360000,江西省,2009,197,140,35,4,18,10,8,1860.9,275,11959.0
360000,江西省,2008,826,551,236,7,32,16,11,1620.28,284,3669.89
360000,江西省,2007,1314,1222,70,10,12,24,18,1396.95,82,4491.99
360000,江西省,2006,4389,2039,2221,7,122,27,14,6875.92,131,5725.71
360000,江西省,2005,11,10,1,,,42,20,137.6,187,3919.3
360000,江西省,2004,173,119,31,2,15,8,7,421.0,126,2128.0
360000,江西省,2003,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,
370000,山东省,2019,63,28,24,,11,,,1108.12,,
370000,山东省,2018,7,3,3,,1,,,272.0,,
370000,山东省,2017,5,,1,,4,,,24.6,86,18698.8
370000,山东省,2016,13,,1,,12,,,125.12,73,14173.5
370000,山东省,2015,18,1,1,,16,,,30.45,53,16488.24
370000,山东省,2014,,,,,,,,,,
370000,山东省,2013,29,7,12,,10,,,18.82,109,33734.18
370000,山东省,2012,31,7,6,6,11,,,590.65,108,22190.24
370000,山东省,2011,27,7,6,1,11,6,6,161.9,137,15169.0
370000,山东省,2010,38,4,6,,27,,,396.6,185,20869.0
370000,山东省,2009,37,9,7,1,20,,,662.08,153,21164.0
370000,山东省,2008,25,3,3,,11,,,697.3,205,10321.98
370000,山东省,2007,26,6,4,1,15,1,1,59.81,176,8009.17
370000,山东省,2006,15,,,,15,,,45.0,57,2161.43
370000,山东省,2005,26,5,,,20,,,131.35,40,1477.0
370000,山东省,2004,67,17,15,1,26,,,299.0,46,4771.0
370000,山东省,2003,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,
410000,河南省,2019,6,4,2,,,,,335.0,,
410000,河南省,2018,7,2,2,,2,,,893.7,,
410000,河南省,2017,20,8,1,,11,,,279.0,7,4091.49
410000,河南省,2016,89,43,19,9,18,,,2437.4,1,2114.5
410000,河南省,2015,30,5,2,1,22,4,4,255.9,4,2682.46
410000,河南省,2014,,,,,,,,,,
410000,河南省,2013,29,2,2,1,25,1,1,134.8,27,9230.0
410000,河南省,2012,50,16,7,1,26,,,897.86,5,7852.0
410000,河南省,2011,49,14,7,,26,1,1,13958.88,58,9068.0
410000,河南省,2010,581,517,28,16,17,10,3,11165.0,32,9548.0
410000,河南省,2009,24,3,,,21,,,161.62,,
410000,河南省,2008,3,2,1,,,,,18.0,58,7787.0
410000,河南省,2007,16,8,,,8,,,336.16,10,1791.0
410000,河南省,2006,33,11,4,3,15,6,6,825.0,31,3564.35
410000,河南省,2005,8,3,3,,1,15,4,75.0,30,11850.0
410000,河南省,2004,151,58,57,4,32,14,10,5116.0,69,3894.0
410000,河南省,2003,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,
420000,湖北省,2019,84,65,11,1,7,4,1,1393.0,,
420000,湖北省,2018,39,20,14,,5,6,5,1327.5,,
420000,湖北省,2017,850,738,80,14,15,33,23,25436.9,483,67018.75
420000,湖北省,2016,1790,1492,189,58,46,46,19,28090.3,1147,72629.56
420000,湖北省,2015,340,252,60,14,14,41,21,7169.86,286,12950.5
420000,湖北省,2014,,,,,,,,,,
420000,湖北省,2013,311,228,46,7,30,19,8,6510.9,228,87346.29
420000,湖北省,2012,573,416,99,18,35,21,12,9274.7,287,38882.94
420000,湖北省,2011,580,401,112,26,39,41,23,23647.24,917,19599.66
420000,湖北省,2010,1504,1358,70,38,32,24,11,34175.95,756,15287.0
420000,湖北省,2009,552,436,76,3,29,21,8,12311.7,1377,10666.0
420000,湖北省,2008,665,483,104,7,48,20,10,7625.99,92,31199.0
420000,湖北省,2007,883,682,112,52,28,34,14,26651.59,115,41519.75
420000,湖北省,2006,139,81,40,1,12,7,6,66620.4,141,16368.8
420000,湖北省,2005,713,588,72,23,24,66,33,26320.0,181,8519.8
420000,湖北省,2004,402,284,67,8,32,10,5,15370.0,172,36151.0
420000,湖北省,2003,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,
430000,湖南省,2019,2449,2116,248,57,27,5,4,26249.4,,
430000,湖南省,2018,276,208,31,4,29,20,9,6564.5,,
430000,湖南省,2017,3490,3022,328,51,73,59,33,153116.41,3177,79746.77
430000,湖南省,2016,4478,4010,321,87,55,39,25,87802.08,2123,120846.57
430000,湖南省,2015,2323,1971,228,59,50,27,18,43363.46,980,242912.34
430000,湖南省,2014,,,,,,,,,,
430000,湖南省,2013,2140,1770,184,132,43,29,15,16322.17,422,56030.86
430000,湖南省,2012,3407,3037,262,35,56,42,19,41697.44,536,37225.5
430000,湖南省,2011,8844,7518,697,497,78,19,11,24647.65,684,33716.51
430000,湖南省,2010,5165,4087,665,281,98,100,47,49842.9,951,36031.0
430000,湖南省,2009,4479,2701,767,925,54,55,21,43933.2,788,15014.77
430000,湖南省,2008,5648,4484,988,28,131,30,15,56800.2,410,13905.0
430000,湖南省,2007,7619,3276,3637,548,81,34,16,32228.09,166,15777.0
430000,湖南省,2006,78987,78641,220,76,33,204,111,47334.92,273,14564.0
430000,湖南省,2005,12,9,2,1,,19,16,900.0,94,7946.0
430000,湖南省,2004,3857,2823,853,36,6,115,53,44751.0,83,9517.0
430000,湖南省,2003,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,
440000,广东省,2019,327,141,176,1,8,24,22,7558.33,,
440000,广东省,2018,230,59,157,4,8,11,10,2626.0,,
440000,广东省,2017,154,49,90,2,11,3,2,1186.3,1498,123495.27
440000,广东省,2016,213,89,115,2,5,33,22,4448.8,2237,70428.76
440000,广东省,2015,191,60,111,5,12,13,6,3666.4,2501,64244.63
440000,广东省,2014,,,,,,,,,,
440000,广东省,2013,2500,1463,944,22,42,45,34,20515.73,2283,81144.11
440000,广东省,2012,231,101,103,7,20,33,21,4308.36,7146,82293.31
440000,广东省,2011,100,26,50,2,18,2,2,2744.95,2137,116866.79
440000,广东省,2010,600,254,299,22,18,50,39,22732.08,3001,141455.0
440000,广东省,2009,241,92,118,2,26,21,19,8709.95,1625,178177.0
440000,广东省,2008,205,110,66,3,26,47,33,10875.4,252,48695.0
440000,广东省,2007,143,78,44,,19,22,18,10812.8,87,17250.0
440000,广东省,2006,8688,2442,6226,7,9,231,138,70744.55,27,26500.0
440000,广东省,2005,155,101,23,1,30,99,66,58747.15,27,14030.0
440000,广东省,2004,55,15,12,,28,43,29,5590.0,62,35340.0
440000,广东省,2003,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,
450000,广西壮族自治区,2019,386,195,133,18,40,42,27,13254.85,,
450000,广西壮族自治区,2018,130,24,70,2,34,19,10,2178.87,,
450000,广西壮族自治区,2017,745,320,335,33,52,71,29,13088.76,370,39731.48
450000,广西壮族自治区,2016,183,52,83,5,43,55,24,1269.29,390,23724.79
450000,广西壮族自治区,2015,357,76,178,1,100,54,17,2935.73,668,25329.34
450000,广西壮族自治区,2014,,,,,,,,,,
450000,广西壮族自治区,2013,481,152,275,4,47,63,35,2917.52,940,38546.09
450000,广西壮族自治区,2012,396,103,238,4,49,44,11,10043.94,1231,37992.46
450000,广西壮族自治区,2011,411,128,220,,56,48,31,1082.88,551,59009.15
450000,广西壮族自治区,2010,1210,587,536,17,53,140,83,4931.91,2803,16705.0
450000,广西壮族自治区,2009,373,109,215,4,39,118,18,3856.12,1879,20979.0
450000,广西壮族自治区,2008,1076,409,567,11,75,155,82,6189.98,463,14729.31
450000,广西壮族自治区,2007,260,94,117,14,33,46,23,3016.35,457,21479.35
450000,广西壮族自治区,2006,2041,871,1041,77,40,185,72,12883.69,353,12863.94
450000,广西壮族自治区,2005,37,17,20,,,81,46,756.08,86,8735.55
450000,广西壮族自治区,2004,681,282,348,23,28,88,45,4176.0,41,4956.0
450000,广西壮族自治区,2003,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,
460000,海南省,2019,2,1,1,,,,,120.0,,
460000,海南省,2018,,,,,,,,,,
460000,海南省,2017,2,,2,,,,,25.0,13,5492.04
460000,海南省,2016,8,3,4,1,,,,536.7,21,1554.4
460000,海南省,2015,2,,1,,1,,,58.0,18,2301.62
460000,海南省,2014,,,,,,,,,,
460000,海南省,2013,30,6,24,,,,,24.3,95,1318.81
460000,海南省,2012,7,2,5,,,,,13.0,76,2958.65
460000,海南省,2011,107,7,96,,2,,,684.3,8,3656.6
460000,海南省,2010,275,125,144,2,3,3,2,3732.0,3,1004.0
460000,海南省,2009,7,1,6,,,,,31.1,17,949.0
460000,海南省,2008,96,10,85,,1,,,446.0,10,1028.0
460000,海南省,2007,1,,1,,,,,20.0,3,122.0
460000,海南省,2006,2,1,,,1,4,2,130.0,10,365.0
460000,海南省,2005,107,3,104,,,10,6,15.0,15,126.0
460000,海南省,2004,2,1,1,,,,,,3,138.0
460000,海南省,2003,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,
500000,重庆市,2019,117,62,44,2,9,16,15,3377.0,,
500000,重庆市,2018,157,53,97,3,4,21,14,4263.0,,
500000,重庆市,2017,584,441,116,13,8,37,24,13700.0,382,55990.7
500000,重庆市,2016,96,67,23,3,3,23,12,7033.0,340,23000.0
500000,重庆市,2015,63,44,12,3,3,15,7,7750.0,375,38000.0
500000,重庆市,2014,,,,,,,,,,
500000,重庆市,2013,347,268,52,2,24,5,2,6494.72,665,50498.0
500000,重庆市,2012,588,449,116,13,10,28,21,13571.0,761,59341.0
500000,重庆市,2011,133,78,43,1,11,6,2,6400.0,37,20000.0
500000,重庆市,2010,450,360,70,7,13,51,27,3273.0,2596,8915.0
500000,重庆市,2009,908,795,72,24,11,111,23,18783.0,3153,28552.0
500000,重庆市,2008,539,440,82,9,8,29,10,53088.0,1445,26290.0
500000,重庆市,2007,3336,2770,485,27,44,111,50,41289.17,737,7482.17
500000,重庆市,2006,338,240,89,4,5,11,3,4880.51,209,5939.3
500000,重庆市,2005,590,488,90,8,2,264,19,6717.79,363,11056.89
500000,重庆市,2004,1802,1561,178,37,26,126,83,54719.0,175,3436.0
500000,重庆市,2003,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,
510000,四川省,2019,725,302,136,287,,7,2,136002.95,,
510000,四川省,2018,563,238,199,125,1,24,6,37955.13,,
510000,四川省,2017,175,64,35,76,,101,85,71106.57,1543,207000.0
510000,四川省,2016,227,119,36,70,2,23,12,27981.93,15081,242233.2
510000,四川省,2015,349,153,75,121,,4,3,26230.97,14652,220972.0
510000,四川省,2014,,,,,,,,,,
510000,四川省,2013,2758,1855,442,442,9,266,79,189586.92,24183,198007.0
510000,四川省,2012,3149,2267,403,466,11,197,78,125016.6,9062,192232.0
510000,四川省,2011,1997,1418,226,330,15,70,28,191824.35,10520,201031.0
