省份编码,省份,年份,水资源总量(亿立方米),地表水资源量(亿立方米),地下水资源量(亿立方米),地表水与地下水资源重复量(亿立方米),人均水资源量(立方米/人)
210000,辽宁省,2015,179.0,152.0,83.2,56.2,408.051610550072
210000,辽宁省,2014,145.925,123.7375,82.2886,60.1010999999999,332.365334244391
210000,辽宁省,2013,463.1666,420.2589,139.3831,96.4754,1055.16938147853
210000,辽宁省,2012,547.2985,492.4192,147.3649,92.4856,1247.83059735522
210000,辽宁省,2011,294.79,260.5,111.9,77.61,673.197912741639
210000,辽宁省,2010,606.7,554.0,146.8,94.1,1392.1
210000,辽宁省,2009,170.96,137.9834,87.61,54.5997,396.015751679407
210000,辽宁省,2008,266.0,226.8,105.4,66.2,617.670962498549
210000,辽宁省,2007,261.717645439577,231.94,93.35,63.5723545604232,610.847579506539
210000,辽宁省,2006,261.36,233.94,91.59,64.17,615.544041450777
210000,辽宁省,2005,377.2,336.3,130.2,89.3,896.3
210000,辽宁省,2004,285.65,248.66,109.6,72.6,677.37
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,506.1,437.4,156.1,87.4,1876.18164967563
220000,吉林省,2018,481.2,422.2,137.9,78.9,1775.31820697288
220000,吉林省,2017,394.4,339.8,133.3,78.7,1447.33148257899
220000,吉林省,2016,488.8,420.7,154.7,86.6,1781.99052132701
220000,吉林省,2015,331.3,272.0,127.4,68.1,1203.48002978731
220000,吉林省,2014,306.03,251.02,120.18,65.1700000000001,1112.22969289478
220000,吉林省,2013,607.4,535.2,160.2,88.0,2208.16519431417
220000,吉林省,2012,460.47,387.33,146.98,73.84,1674.49420979997
220000,吉林省,2011,315.89,262.88,112.91,59.9,1149.52439788115
220000,吉林省,2010,686.7,622.1,141.9,77.3,2503.3
220000,吉林省,2009,298.04,252.81,97.25,52.02,1088.92948483741
220000,吉林省,2008,332.0,276.6,99.6,44.2,1215.22693997072
220000,吉林省,2007,346.04,301.54,86.31,41.8099999999999,1269.17293233083
220000,吉林省,2006,353.63,298.44,104.63,49.44,1300.34932892076
220000,吉林省,2005,559.66,489.56,122.45,52.35,2066.8
220000,吉林省,2004,323.71,278.44,94.37,49.1,1194.94
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,1511.4,1305.7,413.6,207.8,4017.54385964912
230000,黑龙江省,2018,1011.4,842.2,347.5,178.3,2675.05984104104
230000,黑龙江省,2017,742.5,626.5,273.2,157.2,1957.05548153449
230000,黑龙江省,2016,843.7,720.0,285.9,162.2,2217.05426356589
230000,黑龙江省,2015,814.1,686.0,283.0,154.9,2129.84158959802
230000,黑龙江省,2014,944.344,814.3811,295.4133,165.4504,2463.07772561294
230000,黑龙江省,2013,1419.5807,1253.2993,381.5087,215.2273,3702.12726561481
230000,黑龙江省,2012,841.4135,695.6866,289.8057,144.0788,2194.61006781429
230000,黑龙江省,2011,629.4835,512.5129,237.2439,120.2733,1641.9732972408
230000,黑龙江省,2010,853.5,725.2,277.9,149.6,2228.6
230000,黑龙江省,2009,989.606,845.5865,313.446,169.4265,2586.86707619919
230000,黑龙江省,2008,462.0,341.9,247.8,127.7,1208.00104588835
230000,黑龙江省,2007,491.848,374.07,232.793359,115.015359,1286.38158755067
230000,黑龙江省,2006,727.93,602.24,279.248,153.558,1904.82794714117
230000,黑龙江省,2005,744.27,611.97,288.78,156.48,1954.2
230000,黑龙江省,2004,652.14,530.6,273.69,152.15,1708.51
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,48.3,40.9,10.4,3.0,199.093157460841
310000,上海市,2018,38.7,32.0,9.6,2.9,159.851301115242
310000,上海市,2017,34.0,27.8,9.2,3.0,140.562664075904
310000,上海市,2016,61.0,52.7,11.3,3.0,252.326783867632
310000,上海市,2015,64.1,55.3,11.7,2.9,264.824053130067
310000,上海市,2014,47.1481714821459,40.08,10.0181714821459,2.95,194.786909655633
310000,上海市,2013,28.03,22.77,8.21,2.95,116.902968034149
310000,上海市,2012,33.9,27.35,9.73845180436359,3.18845180436358,143.404351624086
310000,上海市,2011,20.72,16.23,7.4341085919077,2.9441085919077,89.1159644712885
310000,上海市,2010,36.8,30.9,8.9,3.0,163.1
310000,上海市,2009,41.5707090134943,34.6,9.92070901349425,2.95,218.276235303199
310000,上海市,2008,37.0,30.0,10.2,3.3,197.544046983449
310000,上海市,2007,34.5,27.96,9.81,3.27,187.857337326436
310000,上海市,2006,27.64,27.64,9.45,9.45,153.854717506262
310000,上海市,2005,24.47,24.47,9.29,9.29,138.014664410604
310000,上海市,2004,24.98,24.98,9.29,9.29,143.39
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,231.7,163.0,77.5,8.9,287.451150673035
320000,江苏省,2018,378.4,274.9,119.7,16.2,470.637985609721
320000,江苏省,2017,392.9,295.4,114.5,17.0,490.270091527898
320000,江苏省,2016,741.7,605.8,164.0,28.0999999999999,928.575899843505
320000,江苏省,2015,582.1,462.9,142.4,23.2,730.530685802781
320000,江苏省,2014,399.338164560977,296.433478567877,118.8946301718,15.9899441786999,502.343750627054
320000,江苏省,2013,283.52923824195,202.320954173459,97.1982282471911,15.9899441787,357.563018859914
320000,江苏省,2012,373.328606081357,279.143877984046,110.17467227601,15.9899441787,472.006824902245
320000,江苏省,2011,492.400625623112,398.955370301913,115.130780009099,21.6855246879,624.551311217572
320000,江苏省,2010,383.5,291.2,108.9,16.6,489.2
320000,江苏省,2009,400.31304534047,306.048568992618,110.804261672852,16.539785325,519.819562836605
320000,江苏省,2008,378.0,280.9,111.3,14.2,494.053064958829
320000,江苏省,2007,495.708657280177,395.707940165179,123.27091707482,23.2701999598221,653.322777305011
320000,江苏省,2006,404.400647278648,314.703720629323,110.726766649325,21.02984,538.303690221162
320000,江苏省,2005,466.96,366.38,122.23,21.65,626.6
320000,江苏省,2004,204.02,132.43,90.97,19.38,274.48
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,1321.5,1303.0,253.7,235.3,2281.00457409165
330000,浙江省,2018,866.2,848.3,213.9,196.0,1520.44935931192
330000,浙江省,2017,895.3,881.9,204.3,190.9,1592.06899617676
330000,浙江省,2016,1323.3,1306.8,255.5,239.0,2378.11124090215
330000,浙江省,2015,1407.1,1390.4,269.8,253.1,2547.47895356205
330000,浙江省,2014,1132.1474,1118.2485,231.7504,217.8515,2057.32763946938
330000,浙江省,2013,931.3368,917.2987,207.3253,193.2872,1697.19690205011
330000,浙江省,2012,1444.7867,1427.1451,273.4687,255.8271,2641.29195612431
330000,浙江省,2011,744.96,733.31,184.15,172.5,1365.7075340689
330000,浙江省,2010,1398.6,1382.9,264.7,249.1,2608.7
330000,浙江省,2009,931.3497,917.4012,208.0062,194.0577,1808.44601941748
330000,浙江省,2008,855.2,839.9,198.1,182.8,1680.15717092338
330000,浙江省,2007,892.1472,876.7214,204.1254,188.6996,1777.18565737052
330000,浙江省,2006,903.586806317766,889.40904684048,204.358961125829,190.181201648543,1829.49343251218
330000,浙江省,2005,1014.35,999.36,216.08,201.09,2077.2
330000,浙江省,2004,675.67,662.19,182.96,169.48,1431.5
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,539.9,482.1,144.8,87.1,850.90622537431
340000,安徽省,2018,835.8,766.7,203.7,134.6,1328.88146911519
340000,安徽省,2017,784.9,717.8,201.0,133.9,1260.83289827718
340000,安徽省,2016,1245.2,1179.2,219.3,153.3,2018.15235008104
340000,安徽省,2015,914.1,850.2,193.7,129.8,1495.27665317139
340000,安徽省,2014,778.48,712.86,178.91,113.29,1285.36283331957
340000,安徽省,2013,585.59,525.41,144.502,84.322,974.521551006823
340000,安徽省,2012,701.0,640.64,159.33,98.97,1172.63298762128
340000,安徽省,2011,602.25,544.17,143.52,85.44,1010.08749093563
340000,安徽省,2010,922.8,876.3,197.8,151.3,1526.9
340000,安徽省,2009,733.1,685.92,185.43,138.25,1195.33670308169
340000,安徽省,2008,699.3,651.9,178.1,130.7,1141.4347506733
340000,安徽省,2007,712.46,666.1,181.84,135.48,1165.29277069022
340000,安徽省,2006,580.5,532.77,159.12,111.39,949.304987735078
340000,安徽省,2005,719.25,672.2,195.37,148.32,1178.8
340000,安徽省,2004,500.65,462.01,151.97,113.33,774.88
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,1363.9,1362.5,339.0,337.7,3446.80313368714
350000,福建省,2018,778.5,777.0,245.7,244.2,1982.93428425879
350000,福建省,2017,1055.6,1054.2,287.5,286.1,2711.88182402055
350000,福建省,2016,2109.0,2107.1,450.7,448.8,5468.68922598211
350000,福建省,2015,1325.9,1324.7,332.3,331.1,3468.67233485939
350000,福建省,2014,1219.62,1218.42,330.48,329.28,3217.99472295515
350000,福建省,2013,1151.9,1150.65,337.56,336.31,3062.74926881149
350000,福建省,2012,1511.44,1510.07,349.28,347.91,4047.77718264596
350000,福建省,2011,774.852918314743,773.522918314743,243.4076,242.0776,2090.52453342707
350000,福建省,2010,1652.7,1651.5,353.8,352.6,4491.7
350000,福建省,2009,800.81,799.59,244.65,243.43,2214.9356935417
350000,福建省,2008,1036.9,1035.7,303.9,302.7,2886.29088378566
350000,福建省,2007,1072.9,1071.71,311.95,310.76,3005.74310127469
350000,福建省,2006,1623.48,1622.26,454.6,453.38,4577.6963203158
350000,福建省,2005,1401.12,1399.95,397.69,396.52,3975.5
350000,福建省,2004,712.23,710.99,234.98,233.74,2028.56
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,2051.6,2032.7,482.4,463.5,4405.41120893279
360000,江西省,2018,1149.1,1129.9,298.5,279.3,2479.18015102481
360000,江西省,2017,1655.1,1637.2,379.5,361.6,3592.47303642893
360000,江西省,2016,2221.1,2203.2,501.9,484.0,4850.622406639
360000,江西省,2015,2001.2,1983.0,465.0,446.8,4394.47989029172
360000,江西省,2014,1631.81,1613.28,397.23,378.7,3600.6398940865
360000,江西省,2013,1423.99,1405.29,378.37,359.67,3155.33062784729
360000,江西省,2012,2174.36,2155.79,462.28,443.71,4836.01161909641
360000,江西省,2011,1037.87906130391,1018.93506130391,315.228648363581,296.284648363581,2319.10516732688
360000,江西省,2010,2275.5,2255.2,486.8,466.5,5116.7
360000,江西省,2009,1166.91,1144.67,312.89,290.65,2642.45923913044
360000,江西省,2008,1356.2,1335.7,370.3,349.8,3093.52189781022
360000,江西省,2007,1112.9581,1093.9081,310.362,291.312,2556.46743999081
360000,江西省,2006,1629.97,1610.4,396.231,376.661,3768.71676300578
360000,江西省,2005,1510.1,1490.25,385.08,365.23,3513.2
360000,江西省,2004,1034.63,1016.51,279.45,261.33,2415.1
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,195.2,119.7,128.4,52.9,194.064721379927
370000,山东省,2018,343.3,230.6,196.7,83.9999999999999,342.395562122653
370000,山东省,2017,225.6,139.1,151.1,64.6,226.137415568098
370000,山东省,2016,220.3,121.2,164.8,65.7,222.592704860059
370000,山东省,2015,168.4,84.3,133.1,49.0,171.516541313945
370000,山东省,2014,148.437502216748,76.6077977184621,116.862111863441,45.0324073651552,152.072023580317
370000,山东省,2013,291.702,191.065,172.319,71.682,300.445412162033
370000,山东省,2012,274.3,182.174602918416,164.240954272395,72.1409542723949,283.92550035012
370000,山东省,2011,347.63,237.5,195.92,85.78,361.646249556583
370000,山东省,2010,309.1,199.1,181.2,71.2,324.4
370000,山东省,2009,284.954188102524,173.79595,180.705136944673,69.5468988421488,301.746373804759
370000,山东省,2008,328.7,229.0,180.6,80.8,349.97870528109
370000,山东省,2007,387.113242068088,280.18817,197.95314059847,91.0280685303816,414.556909475357
370000,山东省,2006,199.319557484128,109.56,146.288631913397,56.5290744292697,214.818728764485
370000,山东省,2005,415.86,295.85,213.89,93.88,451.041214750542
370000,山东省,2004,349.48,234.53,193.11,78.16,380.69
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,168.6,105.8,119.1,56.3,175.214341387373
410000,河南省,2018,339.8,241.7,188.0,89.9,354.620846341577
410000,河南省,2017,423.1,311.2,206.5,94.6,443.245508354722
410000,河南省,2016,337.3,220.1,190.2,73.0,354.828529349884
410000,河南省,2015,287.2,186.7,173.1,72.6,303.658278705857
410000,河南省,2014,283.362,177.4356,166.837,60.9106,300.665287283145
410000,河南省,2013,213.069,123.133,147.121,57.185,226.440299697115
410000,河南省,2012,265.537746229527,172.65182722308,161.823505197018,68.9375861905711,282.577148270221
410000,河南省,2011,327.97,222.47,191.8,86.3,349.025491551462
410000,河南省,2010,534.9,415.7,214.7,95.5,566.2
410000,河南省,2009,328.773309754544,208.301873107613,188.05205136501,67.5805890025035,347.613987898651
410000,河南省,2008,371.3,259.1,188.3,76.1,395.23125232849
410000,河南省,2007,465.18210599208,348.721210590524,202.979540822557,86.5186454210011,496.141324650256
410000,河南省,2006,321.779911934497,214.5374,183.22376270379,75.9812507692925,342.829652604408
410000,河南省,2005,558.52,435.92,219.74,97.1400000000001,597.219846022241
410000,河南省,2004,406.59,289.68,200.65,83.74,418.43
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,613.7,583.4,217.3,187.0,1036.30530226275
420000,湖北省,2018,857.0,825.9,257.7,226.6,1450.20729334123
420000,湖北省,2017,1248.8,1219.3,319.0,289.5,2118.94459998303
420000,湖北省,2016,1498.0,1468.2,313.6,283.8,2552.61139984664
420000,湖北省,2015,1015.6,986.3,279.6,250.3,1740.90422112706
420000,湖北省,2014,914.2949,885.8819,282.0,253.587,1574.33473956091
420000,湖北省,2013,790.1455,756.6446,251.307309,217.806409,1364.90844705476
420000,湖北省,2012,813.8829,783.7629,262.771639,232.651639,1410.97022493824
420000,湖北省,2011,757.5399,725.4119,251.914295,219.786295,1319.13378170433
420000,湖北省,2010,1268.7,1239.1,306.1,276.5,2216.5
420000,湖北省,2009,825.2817,794.4477,263.448638,232.614638,1443.93613857055
420000,湖北省,2008,1033.9,1003.7,282.0,251.8,1812.26993865031
420000,湖北省,2007,1015.05704969702,984.1067,282.816227025509,251.865877328485,1782.05240466472
420000,湖北省,2006,639.68555382895,608.9261,221.507585518741,190.748131689791,1121.96010493546
420000,湖北省,2005,933.96,903.58,276.15,245.77,1640.6
420000,湖北省,2004,926.36,894.56,276.68,244.88,1539.83
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,2098.3,2091.2,472.3,465.2,3037.27292465803
430000,湖南省,2018,1342.9,1336.5,333.5,327.1,1952.01011690402
430000,湖南省,2017,1912.4,1905.7,436.8,430.1,2795.46300038663
430000,湖南省,2016,2196.6,2189.5,475.4,468.3,3229.10694597574
430000,湖南省,2015,1919.3,1912.4,432.4,425.5,2839.14448454062
430000,湖南省,2014,1799.425,1791.496,434.103,426.174,2680.10872803098
430000,湖南省,2013,1581.97,1574.342,382.1136,374.4856,2373.56085140732
430000,湖南省,2012,1988.94,1981.31,417.922849120198,410.292849120198,3005.68286142387
430000,湖南省,2011,1126.94,1120.74398272347,279.85,273.63,1711.93328117761
430000,湖南省,2010,1906.6,1899.4,430.0,422.8,2938.7
430000,湖南省,2009,1400.4685,1393.778,351.73888,345.04838,2190.62803065853
430000,湖南省,2008,1600.0,1593.1,386.2,379.4,2512.76010993325
430000,湖南省,2007,1426.5497,1419.3425,350.3806,343.1734,2247.0657635662
430000,湖南省,2006,1770.29217905945,1763.38217905945,400.3655,393.4555,2794.90397704365
430000,湖南省,2005,1671.04,1664.49,393.16,386.61,2649.50055493896
430000,湖南省,2004,1641.28,1634.23,389.5,382.45,2450.41
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,2068.2,2058.3,508.2,498.2,1808.89491406831
440000,广东省,2018,1895.1,1885.2,460.6,450.7,1683.4110592938
440000,广东省,2017,1786.6,1777.0,440.7,431.1,1611.87297004691
440000,广东省,2016,2458.6,2448.5,570.0,559.9,2250.64079091908
440000,广东省,2015,1933.4,1923.4,461.4,451.4,1792.42571733185
440000,广东省,2014,1718.44711678331,1709.001683292,420.528243,411.082809508695,1608.43047246659
440000,广东省,2013,2263.16867961986,2253.74852114997,532.542398714922,523.122240245032,2131.24463661349
440000,广东省,2012,2026.54887536701,2017.48567887917,485.792920538394,476.729724050551,1921.00421646418
440000,广东省,2011,1471.25509871575,1461.25324475525,362.13695905969,352.135105099194,1404.82024330099
440000,广东省,2010,1998.8,1989.5,478.3,468.9,1943.3
440000,广东省,2009,1613.67683995368,1604.07277276336,407.64,398.035932809676,1682.49070999237
440000,广东省,2008,2206.8,2197.3,506.9,497.3,2323.80350655505
440000,广东省,2007,1581.15192853849,1571.80442853849,406.33,396.9825,1686.29225034767
440000,广东省,2006,2216.17,2206.5,487.02,477.35,2396.11849929722
440000,广东省,2005,1747.49,1738.47,400.81,391.79,1906.4
440000,广东省,2004,1187.67,1177.76,331.42,321.51,1430.23
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,2105.1,2103.8,445.0,443.7,4258.74974711714
450000,广西壮族自治区,2018,1831.0,1829.7,440.9,439.6,3732.54510243604
450000,广西壮族自治区,2017,2388.0,2386.0,446.6,444.6,4912.06417772292
450000,广西壮族自治区,2016,2178.6,2176.8,529.2,527.4,4522.73199086568
450000,广西壮族自治区,2015,2433.6,2432.2,467.3,465.9,5096.5445026178
450000,广西壮族自治区,2014,1990.8992,1989.6492,402.97,401.72,4203.3129948274
450000,广西壮族自治区,2013,2057.3294974738,2056.2594974738,478.123058756472,477.053058756472,4376.83118279714
450000,广西壮族自治区,2012,2087.40036910231,2086.36036910231,587.344917232764,586.304917232764,4476.03810250307
450000,广西壮族自治区,2011,1350.02403015015,1350.02403015015,271.208746336533,271.208746336533,2917.39390632124
450000,广西壮族自治区,2010,1823.6,1823.6,355.8,355.8,3852.9
450000,广西壮族自治区,2009,1484.31161345893,1484.31161345893,256.838468041548,256.838468041548,3069.29614032036
450000,广西壮族自治区,2008,2282.5,2282.5,504.8,504.8,4763.1469115192
450000,广西壮族自治区,2007,1386.25847977919,1386.25847977919,341.304230843464,341.304230843464,2922.43803052428
450000,广西壮族自治区,2006,1881.07635556595,1881.07635556595,453.1877643667,453.1877643667,4011.25142459953
450000,广西壮族自治区,2005,1720.82,1720.82,365.69,365.69,3703.8
450000,广西壮族自治区,2004,1604.52,1604.52,321.53,321.53,3281.89
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,252.3,249.3,73.0,70.0,2685.47099521022
460000,海南省,2018,418.1,414.6,98.0,94.5,4495.69892473118
460000,海南省,2017,383.9,380.5,96.8,93.4,4165.73980131624
460000,海南省,2016,489.9,486.3,118.3,114.7,5359.95623632385
460000,海南省,2015,198.2,195.9,50.6,48.3,2184.86468610483
460000,海南省,2014,383.51,378.7,96.697,91.887,4265.96218020022
460000,海南省,2013,502.112182,496.492182,119.54,113.92,5636.80145940333
460000,海南省,2012,364.31,360.2235,92.612,88.522,4130.7564530668
460000,海南省,2011,484.1,478.8,111.62,106.32,5545.59184444025
460000,海南省,2010,479.8,474.3,105.7,100.2,5538.7
460000,海南省,2009,480.71,474.64266,106.3,100.29,5596.15832363213
460000,海南省,2008,419.1,414.1,97.9,92.9,4933.49028840494
460000,海南省,2007,283.52655,280.531706,70.466,67.471156,3373.30814991077
460000,海南省,2006,227.589,225.10465,56.46,53.97565,2735.44471153846
460000,海南省,2005,307.29,304.46,78.99,76.16,3722.4
460000,海南省,2004,171.14,169.09,46.92,44.87,2092.17
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,498.1,498.1,98.5,98.5,1600.06424670736
500000,重庆市,2018,524.2,524.2,104.0,104.0,1697.2200817204
500000,重庆市,2017,656.1,656.1,116.1,116.1,2142.91663332479
500000,重庆市,2016,604.9,604.9,112.3,112.3,1994.72382522671
