省份编码,省份,年份,等级运动员发展人数(人),等级女运动员发展人数(人),国际级运动健将发展人数(人),国际级女运动健将发展人数(人),运动健将发展人数(人),女运动健将发展数(人),一级运动员发展人数(人),一级女运动员发展人数(人),二级运动员发展人数(人),二级女运动员发展人数(人)
140000,山西省,2013,1610,712,,,38,17,272,107,1300,588
140000,山西省,2012,740,312,10,3,39,16,221,116,470,177
140000,山西省,2011,635,259,1,,,,67,25,567,234
140000,山西省,2010,1050,406,2,,42,18,150,78,856,310
140000,山西省,2009,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,,,,,,,,,,
150000,内蒙古自治区,2018,,,,,,,,,,
150000,内蒙古自治区,2017,,,,,,,,,,
150000,内蒙古自治区,2016,1553,,2,,63,,331,,1157,
150000,内蒙古自治区,2015,1132,374,3,3,49,17,276,125,804,229
150000,内蒙古自治区,2014,1214,360,1,,60,22,306,128,847,210
150000,内蒙古自治区,2013,1468,440,2,2,22,8,272,106,1172,324
150000,内蒙古自治区,2012,993,366,2,1,36,12,205,63,750,290
150000,内蒙古自治区,2011,831,307,28,8,18,6,118,60,667,233
150000,内蒙古自治区,2010,1037,435,,,,,35,18,1002,417
150000,内蒙古自治区,2009,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,
210000,辽宁省,2019,,,,,,,,,,
210000,辽宁省,2018,,,,,,,,,,
210000,辽宁省,2017,,,,,,,,,,
210000,辽宁省,2016,,,,,,,,,,
210000,辽宁省,2015,1669,625,23,17,94,39,437,202,1115,367
210000,辽宁省,2014,2099,797,15,10,144,59,525,216,1415,512
210000,辽宁省,2013,2716,1031,5,3,79,36,756,263,1876,729
210000,辽宁省,2012,1978,827,4,3,129,71,604,224,1241,529
210000,辽宁省,2011,2451,992,7,4,99,47,581,239,1764,702
210000,辽宁省,2010,2193,1016,,,,,444,222,1749,794
210000,辽宁省,2009,,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,
220000,吉林省,2019,,,,,,,,,,
220000,吉林省,2018,,,,,,,,,,
220000,吉林省,2017,,,,,,,,,,
220000,吉林省,2016,,,,,,,,,,
220000,吉林省,2015,904,254,2,2,34,16,247,86,621,150
220000,吉林省,2014,776,267,9,6,18,7,239,89,510,165
220000,吉林省,2013,1244,371,2,1,32,16,220,65,990,289
220000,吉林省,2012,1207,379,4,3,36,22,222,77,945,277
220000,吉林省,2011,1588,530,2,2,37,11,215,83,1334,434
220000,吉林省,2010,1464,389,,,4,2,201,69,1259,318
220000,吉林省,2009,,,,,,,,,,
220000,吉林省,2008,,,,,,,,,,
220000,吉林省,2007,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,
230000,黑龙江省,2019,,,,,,,,,,
230000,黑龙江省,2018,,,,,,,,,,
230000,黑龙江省,2017,,,,,,,,,,
230000,黑龙江省,2016,,,,,,,,,,
230000,黑龙江省,2015,1483,390,11,5,70,36,333,126,1069,223
230000,黑龙江省,2014,1152,371,17,7,88,50,299,133,748,181
230000,黑龙江省,2013,1149,426,4,4,71,29,316,135,758,258
230000,黑龙江省,2012,1030,411,9,2,133,62,254,103,634,244
230000,黑龙江省,2011,1008,363,6,5,141,24,247,106,614,228
230000,黑龙江省,2010,1548,656,,,21,12,445,194,1082,450
230000,黑龙江省,2009,,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,
310000,上海市,2019,,,,,,,,,,
310000,上海市,2018,,,,,,,,,,
310000,上海市,2017,,,,,,,,,,
310000,上海市,2016,,,,,,,,,,
310000,上海市,2015,1913,790,17,10,61,28,629,287,1206,465
310000,上海市,2014,2157,898,4,1,46,28,788,346,1319,523
310000,上海市,2013,2162,897,,,,,711,309,1451,588
310000,上海市,2012,2020,884,18,9,129,69,390,181,1483,625
310000,上海市,2011,1554,651,81,30,,,336,132,1137,489
310000,上海市,2010,2265,1005,19,5,69,35,679,327,1498,638
310000,上海市,2009,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,
320000,江苏省,2019,,,,,,,,,,
320000,江苏省,2018,,,,,,,,,,
320000,江苏省,2017,,,,,,,,,,
320000,江苏省,2016,,,,,,,,,,
320000,江苏省,2015,1963,798,16,11,136,74,581,268,1230,445
320000,江苏省,2014,2452,1067,17,9,113,45,754,386,1568,627
320000,江苏省,2013,3331,1293,9,7,113,65,692,316,2517,905
320000,江苏省,2012,2699,1031,22,9,255,122,507,225,1915,675
320000,江苏省,2011,1554,596,,,,,442,193,1112,403
320000,江苏省,2010,2205,880,,,,,632,347,1573,533
320000,江苏省,2009,,,,,,,,,,
320000,江苏省,2008,,,,,,,,,,
320000,江苏省,2007,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,
330000,浙江省,2019,,,,,,,,,,
330000,浙江省,2018,,,,,,,,,,
330000,浙江省,2017,,,,,,,,,,
330000,浙江省,2016,,,,,,,,,,
330000,浙江省,2015,2420,1003,16,9,125,64,922,397,1357,533
330000,浙江省,2014,2407,894,3,2,5,2,619,256,1780,634
330000,浙江省,2013,2256,881,10,5,85,37,545,202,1616,637
330000,浙江省,2012,2883,1092,14,11,118,71,517,205,2234,805
330000,浙江省,2011,1950,779,9,5,122,59,633,277,1186,438
330000,浙江省,2010,1952,841,,,,,472,225,1480,616
330000,浙江省,2009,,,,,,,,,,
330000,浙江省,2008,,,,,,,,,,
330000,浙江省,2007,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,
340000,安徽省,2019,,,,,,,,,,
340000,安徽省,2018,,,,,,,,,,
340000,安徽省,2017,,,,,,,,,,
340000,安徽省,2016,,,,,,,,,,
340000,安徽省,2015,1271,409,,,,,361,134,910,275
340000,安徽省,2014,1436,598,2,1,37,16,354,154,1043,427
340000,安徽省,2013,1849,715,3,2,30,17,380,161,1436,535
340000,安徽省,2012,1692,612,2,2,59,38,201,68,1430,504
340000,安徽省,2011,1079,425,7,4,37,24,26,14,1009,383
340000,安徽省,2010,1014,446,,,1,1,2,1,1011,444
340000,安徽省,2009,,,,,,,,,,
340000,安徽省,2008,,,,,,,,,,
340000,安徽省,2007,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,
350000,福建省,2019,,,,,,,,,,
350000,福建省,2018,,,,,,,,,,
350000,福建省,2017,,,,,,,,,,
350000,福建省,2016,,,,,,,,,,
350000,福建省,2015,1468,564,7,5,65,31,405,163,991,365
350000,福建省,2014,1282,541,15,5,62,27,320,171,885,338
350000,福建省,2013,1463,555,3,3,,,201,78,1259,474
350000,福建省,2012,1564,616,6,3,52,29,335,152,1171,432
350000,福建省,2011,1314,502,,,44,19,313,128,957,355
350000,福建省,2010,1443,497,,,1,,278,124,1164,373
350000,福建省,2009,,,,,,,,,,
350000,福建省,2008,,,,,,,,,,
350000,福建省,2007,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,
360000,江西省,2019,,,,,,,,,,
360000,江西省,2018,,,,,,,,,,
360000,江西省,2017,,,,,,,,,,
360000,江西省,2016,,,,,,,,,,
360000,江西省,2015,1123,379,2,,30,12,322,120,769,247
360000,江西省,2014,1078,376,1,1,29,9,277,118,771,248
360000,江西省,2013,1111,338,4,2,19,13,151,51,937,272
360000,江西省,2012,1012,380,2,1,35,11,152,72,823,296
360000,江西省,2011,692,187,,,20,5,,,672,182
360000,江西省,2010,815,278,,,21,8,210,90,584,180
360000,江西省,2009,,,,,,,,,,
360000,江西省,2008,,,,,,,,,,
360000,江西省,2007,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,
370000,山东省,2019,,,,,,,,,,
370000,山东省,2018,,,,,,,,,,
370000,山东省,2017,,,,,,,,,,
370000,山东省,2016,,,,,,,,,,
370000,山东省,2015,4006,1135,21,16,134,49,907,73,2944,997
370000,山东省,2014,3582,1241,,,,,1019,479,2563,762
370000,山东省,2013,4650,1346,23,10,110,49,572,94,3945,1193
370000,山东省,2012,3360,672,7,4,121,55,1067,,2165,613
370000,山东省,2011,2512,717,16,12,14,7,691,32,1791,666
370000,山东省,2010,4847,1687,3,3,4,,1215,475,3625,1209
370000,山东省,2009,,,,,,,,,,
370000,山东省,2008,,,,,,,,,,
370000,山东省,2007,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,
410000,河南省,2019,,,,,,,,,,
410000,河南省,2018,,,,,,,,,,
410000,河南省,2017,,,,,,,,,,
410000,河南省,2016,,,,,,,,,,
410000,河南省,2015,2386,773,11,8,70,39,613,232,1692,494
410000,河南省,2014,2302,674,,,,,598,229,1704,445
410000,河南省,2013,4000,1307,2,2,48,22,492,192,3458,1091
410000,河南省,2012,4000,1294,1,1,74,35,688,260,3237,998
410000,河南省,2011,3387,1042,3,2,94,36,406,146,2884,858
410000,河南省,2010,2640,812,,,,,626,265,2014,547
410000,河南省,2009,,,,,,,,,,
410000,河南省,2008,,,,,,,,,,
410000,河南省,2007,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,
420000,湖北省,2019,,,,,,,,,,
420000,湖北省,2018,,,,,,,,,,
420000,湖北省,2017,,,,,,,,,,
420000,湖北省,2016,,,,,,,,,,
420000,湖北省,2015,2054,535,4,2,68,28,335,93,1647,412
420000,湖北省,2014,3646,938,,,,,388,164,3258,774
420000,湖北省,2013,2344,472,,,,,214,66,2130,406
420000,湖北省,2012,1656,422,,,,,323,123,1333,299
420000,湖北省,2011,1385,445,4,1,54,29,217,96,1110,319
420000,湖北省,2010,1654,334,2,1,21,10,194,66,1437,257
420000,湖北省,2009,,,,,,,,,,
420000,湖北省,2008,,,,,,,,,,
420000,湖北省,2007,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,
430000,湖南省,2019,,,,,,,,,,
430000,湖南省,2018,,,,,,,,,,
430000,湖南省,2017,,,,,,,,,,
430000,湖南省,2016,,,,,,,,,,
430000,湖南省,2015,1524,573,6,4,45,16,353,161,1120,392
430000,湖南省,2014,1415,585,6,3,28,16,391,176,990,390
430000,湖南省,2013,1656,645,3,2,32,19,552,222,1069,402
430000,湖南省,2012,1254,482,4,3,45,11,266,106,939,362
430000,湖南省,2011,1467,594,7,3,31,20,367,161,1062,410
430000,湖南省,2010,1269,475,3,,17,5,277,116,972,354
430000,湖南省,2009,,,,,,,,,,
430000,湖南省,2008,,,,,,,,,,
430000,湖南省,2007,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,
440000,广东省,2019,,,,,,,,,,
440000,广东省,2018,,,,,,,,,,
440000,广东省,2017,,,,,,,,,,
440000,广东省,2016,,,,,,,,,,
440000,广东省,2015,2419,1035,18,10,178,66,568,215,1655,744
440000,广东省,2014,1382,619,,,8,2,83,31,1291,586
440000,广东省,2013,2253,892,10,5,148,57,428,135,1667,695
440000,广东省,2012,2554,1132,,,,,1042,403,1512,729
440000,广东省,2011,2118,839,28,9,158,67,498,174,1434,589
440000,广东省,2010,3001,1228,27,14,183,38,625,293,2166,883
440000,广东省,2009,,,,,,,,,,
440000,广东省,2008,,,,,,,,,,
440000,广东省,2007,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,
450000,广西壮族自治区,2019,,,,,,,,,,
450000,广西壮族自治区,2018,,,,,,,,,,
450000,广西壮族自治区,2017,,,,,,,,,,
450000,广西壮族自治区,2016,,,,,,,,,,
450000,广西壮族自治区,2015,607,251,7,5,31,11,199,79,370,156
450000,广西壮族自治区,2014,705,303,,,,,214,108,491,195
450000,广西壮族自治区,2013,642,271,1,,26,9,133,61,482,201
450000,广西壮族自治区,2012,883,338,,,25,10,174,67,684,261
450000,广西壮族自治区,2011,186,87,3,2,29,17,102,46,52,22
450000,广西壮族自治区,2010,1711,597,7,5,45,18,184,84,1475,490
450000,广西壮族自治区,2009,,,,,,,,,,
450000,广西壮族自治区,2008,,,,,,,,,,
450000,广西壮族自治区,2007,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,
460000,海南省,2019,,,,,,,,,,
460000,海南省,2018,,,,,,,,,,
460000,海南省,2017,,,,,,,,,,
460000,海南省,2016,,,,,,,,,,
460000,海南省,2015,324,113,,,9,4,117,48,198,61
460000,海南省,2014,323,136,,,,,140,58,183,78
460000,海南省,2013,478,111,,,4,1,65,24,409,86
460000,海南省,2012,419,147,2,2,4,3,141,45,272,97
460000,海南省,2011,374,127,3,3,6,1,77,33,288,90
460000,海南省,2010,177,64,,,6,1,10,,161,63
460000,海南省,2009,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,
500000,重庆市,2019,,,,,,,,,,
500000,重庆市,2018,,,,,,,,,,
500000,重庆市,2017,,,,,,,,,,
500000,重庆市,2016,,,,,,,,,,
500000,重庆市,2015,1356,508,1,1,21,11,322,144,1012,352
500000,重庆市,2014,1470,526,,,27,5,353,160,1090,361
500000,重庆市,2013,1811,694,1,,14,6,230,96,1566,592
500000,重庆市,2012,2030,957,11,4,104,57,397,186,1518,710
500000,重庆市,2011,1351,501,3,2,16,6,186,70,1146,423
500000,重庆市,2010,1030,414,,,,,145,61,885,353
500000,重庆市,2009,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,
510000,四川省,2019,,,,,,,,,,
510000,四川省,2018,,,,,,,,,,
510000,四川省,2017,,,,,,,,,,
510000,四川省,2016,,,,,,,,,,
510000,四川省,2015,1903,841,6,4,100,58,523,243,1274,536
510000,四川省,2014,2175,927,9,3,33,16,669,312,1464,596
510000,四川省,2013,1950,860,4,2,66,30,374,179,1506,649
510000,四川省,2012,514,202,,,13,2,92,36,409,164
510000,四川省,2011,2179,927,8,4,97,38,407,215,1667,670
510000,四川省,2010,2363,902,2,,49,26,371,179,1941,697
510000,四川省,2009,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,
510000,四川省,2007,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,
520000,贵州省,2019,,,,,,,,,,
520000,贵州省,2018,,,,,,,,,,
520000,贵州省,2017,,,,,,,,,,
520000,贵州省,2016,,,,,,,,,,
520000,贵州省,2015,403,141,4,,15,,155,63,229,78
520000,贵州省,2014,279,82,1,1,9,3,85,34,184,44
520000,贵州省,2013,301,108,,,,,50,15,251,93
520000,贵州省,2012,1125,351,3,2,34,13,189,53,899,283
520000,贵州省,2011,437,173,2,1,13,6,22,9,400,157
520000,贵州省,2010,437,182,,,,,47,19,390,163
520000,贵州省,2009,,,,,,,,,,
520000,贵州省,2008,,,,,,,,,,
520000,贵州省,2007,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,
530000,云南省,2019,,,,,,,,,,
530000,云南省,2018,,,,,,,,,,
530000,云南省,2017,,,,,,,,,,
530000,云南省,2016,,,,,,,,,,
530000,云南省,2015,1115,386,2,,23,8,305,125,797,253
530000,云南省,2014,1098,324,,,18,8,177,46,903,270
530000,云南省,2013,1379,426,2,,18,9,158,52,1201,365
530000,云南省,2012,5,2,,,,,5,2,,
530000,云南省,2011,622,232,4,1,21,12,163,59,434,160
530000,云南省,2010,950,268,7,1,24,5,83,,836,262
530000,云南省,2009,,,,,,,,,,
530000,云南省,2008,,,,,,,,,,
530000,云南省,2007,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,
540000,西藏自治区,2019,,,,,,,,,,
540000,西藏自治区,2018,,,,,,,,,,
540000,西藏自治区,2017,,,,,,,,,,
540000,西藏自治区,2016,,,,,,,,,,
540000,西藏自治区,2015,52,22,,,,,22,11,30,11
540000,西藏自治区,2014,4,2,,,4,2,,,,
540000,西藏自治区,2013,8,5,,,5,2,2,2,1,1
540000,西藏自治区,2012,1304,497,1,1,11,4,161,59,1131,433
540000,西藏自治区,2011,9,1,,,6,1,2,,1,
540000,西藏自治区,2010,1,1,,,,,1,1,,
540000,西藏自治区,2009,,,,,,,,,,
540000,西藏自治区,2008,,,,,,,,,,
540000,西藏自治区,2007,,,,,,,,,,
540000,西藏自治区,2006,,,,,,,,,,
540000,西藏自治区,2005,,,,,,,,,,
540000,西藏自治区,2004,,,,,,,,,,
540000,西藏自治区,2003,,,,,,,,,,
540000,西藏自治区,2002,,,,,,,,,,
540000,西藏自治区,2001,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,
610000,陕西省,2019,,,,,,,,,,
610000,陕西省,2018,,,,,,,,,,
610000,陕西省,2017,,,,,,,,,,
610000,陕西省,2016,,,,,,,,,,
610000,陕西省,2015,563,207,2,2,33,19,195,84,333,102
610000,陕西省,2014,753,312,5,2,30,12,382,175,336,123
610000,陕西省,2013,685,245,1,,35,18,52,27,597,200
610000,陕西省,2012,500,154,5,3,25,11,110,37,360,103
610000,陕西省,2011,466,180,4,2,35,12,136,40,291,126
610000,陕西省,2010,739,282,3,3,14,5,184,78,538,196
610000,陕西省,2009,,,,,,,,,,
610000,陕西省,2008,,,,,,,,,,
610000,陕西省,2007,,,,,,,,,,
610000,陕西省,2006,,,,,,,,,,
610000,陕西省,2005,,,,,,,,,,
610000,陕西省,2004,,,,,,,,,,
610000,陕西省,2003,,,,,,,,,,
610000,陕西省,2002,,,,,,,,,,
610000,陕西省,2001,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,
620000,甘肃省,2019,,,,,,,,,,
620000,甘肃省,2018,,,,,,,,,,
620000,甘肃省,2017,,,,,,,,,,
620000,甘肃省,2016,,,,,,,,,,
620000,甘肃省,2015,516,161,,,17,7,151,50,348,104
620000,甘肃省,2014,590,203,,,18,10,122,41,450,152
620000,甘肃省,2013,924,277,,,,,132,38,792,239
620000,甘肃省,2012,841,251,1,1,17,6,128,36,695,208
620000,甘肃省,2011,343,106,,,19,7,99,21,225,78
620000,甘肃省,2010,612,191,,,,,97,26,515,165
620000,甘肃省,2009,,,,,,,,,,
620000,甘肃省,2008,,,,,,,,,,
620000,甘肃省,2007,,,,,,,,,,
620000,甘肃省,2006,,,,,,,,,,
620000,甘肃省,2005,,,,,,,,,,
620000,甘肃省,2004,,,,,,,,,,
620000,甘肃省,2003,,,,,,,,,,
620000,甘肃省,2002,,,,,,,,,,
620000,甘肃省,2001,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,
630000,青海省,2019,,,,,,,,,,
630000,青海省,2018,,,,,,,,,,
630000,青海省,2017,,,,,,,,,,
630000,青海省,2016,,,,,,,,,,
630000,青海省,2015,297,76,,,,,135,30,162,46
630000,青海省,2014,155,56,1,1,10,5,65,25,79,25
630000,青海省,2013,41,15,,,4,1,29,11,8,3
630000,青海省,2012,141,53,8,1,1,,17,15,115,37
