省份编码,省份,年份,社区卫生服务中心数(个),无床的社区卫生服务中心数(个),1-9张床位数的社区卫生服务中心数(个),10-29张床位数的社区卫生服务中心数(个),30-49张床位数的社区卫生服务中心数(个),50-99张床位数的社区卫生服务中心数(个),100张及以上床位数的社区卫生服务中心数(个),社区卫生服务站数(个),无床的社区卫生服务站数(个),1-9张床位数的社区卫生服务站数(个),10张及以上床位数的社区卫生服务站数(个)
360000,江西省,2007,,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,
370000,山东省,2019,567,240,23,96,81,84,43,1854,1555,228,71
370000,山东省,2018,564,246,13,101,80,80,44,1879,1507,278,94
370000,山东省,2017,532,225,12,99,73,88,35,1840,1447,287,106
370000,山东省,2016,518,219,16,107,82,73,21,1792,1421,270,101
370000,山东省,2015,513,220,21,99,79,71,23,1797,1437,241,119
370000,山东省,2014,510,217,20,99,88,63,23,1798,1442,243,113
370000,山东省,2013,509,205,24,107,79,69,25,1799,1422,257,120
370000,山东省,2012,488,199,27,94,68,70,30,1763,1416,230,117
370000,山东省,2011,473,220,18,94,57,58,26,1808,1474,228,106
370000,山东省,2010,374,194,18,69,46,34,13,1874,1273,489,112
370000,山东省,2009,,,,,,,,,,,
370000,山东省,2008,,,,,,,,,,,
370000,山东省,2007,,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,
410000,河南省,2019,468,153,18,113,87,84,13,1055,990,52,13
410000,河南省,2018,452,147,16,118,84,76,11,1046,972,59,15
410000,河南省,2017,446,153,9,115,74,81,14,945,839,86,20
410000,河南省,2016,424,148,14,105,86,62,9,905,787,87,31
410000,河南省,2015,420,144,10,107,86,64,9,896,780,90,26
410000,河南省,2014,402,145,11,102,79,57,8,910,789,94,27
410000,河南省,2013,383,131,12,106,80,48,6,898,778,91,29
410000,河南省,2012,346,114,12,95,70,50,5,789,681,73,35
410000,河南省,2011,302,94,6,90,68,39,5,715,638,60,17
410000,河南省,2010,236,74,5,64,54,34,5,625,570,40,15
410000,河南省,2009,,,,,,,,,,,
410000,河南省,2008,,,,,,,,,,,
410000,河南省,2007,,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,
420000,湖北省,2019,350,72,5,59,67,115,32,794,697,80,17
420000,湖北省,2018,354,82,4,62,59,114,33,807,734,56,17
420000,湖北省,2017,347,76,3,68,66,104,30,835,770,49,16
420000,湖北省,2016,342,80,5,65,61,102,29,889,818,54,17
420000,湖北省,2015,342,83,5,68,62,95,29,846,769,64,13
420000,湖北省,2014,325,104,2,61,51,85,22,850,777,57,16
420000,湖北省,2013,334,123,3,58,51,80,19,897,820,57,20
420000,湖北省,2012,331,120,5,60,52,74,20,889,805,66,18
420000,湖北省,2011,331,126,6,62,56,59,22,947,883,46,18
420000,湖北省,2010,222,51,9,50,49,45,18,908,819,67,22
420000,湖北省,2009,,,,,,,,,,,
420000,湖北省,2008,,,,,,,,,,,
420000,湖北省,2007,,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,
430000,湖南省,2019,370,49,18,118,76,86,23,436,351,65,20
430000,湖南省,2018,356,45,17,115,70,88,21,425,330,71,24
430000,湖南省,2017,337,47,17,123,60,74,16,409,301,69,39
430000,湖南省,2016,313,55,19,116,61,48,14,402,304,75,23
430000,湖南省,2015,296,58,17,112,56,44,9,378,292,63,23
430000,湖南省,2014,284,62,22,107,53,32,8,382,296,46,40
430000,湖南省,2013,276,73,19,103,42,34,5,379,333,35,11
430000,湖南省,2012,267,69,17,103,42,30,6,337,255,65,17
430000,湖南省,2011,261,64,21,100,39,31,6,336,239,76,21
430000,湖南省,2010,238,49,20,102,39,25,3,302,194,84,24
430000,湖南省,2009,,,,,,,,,,,
430000,湖南省,2008,,,,,,,,,,,
430000,湖南省,2007,,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,
440000,广东省,2019,1136,940,14,57,51,61,13,1489,1486,2,1
440000,广东省,2018,1111,912,17,55,52,60,15,1491,1484,6,1
440000,广东省,2017,1098,904,21,52,52,57,12,1445,1444,1,
440000,广东省,2016,1082,892,22,53,50,52,13,1484,1481,2,1
440000,广东省,2015,1078,887,21,55,53,49,13,1475,1471,3,1
440000,广东省,2014,1057,872,17,63,49,43,13,1470,1469,,1
440000,广东省,2013,1036,850,19,66,46,42,13,1453,1451,1,1
440000,广东省,2012,1003,820,17,63,48,44,11,1342,1340,1,1
440000,广东省,2011,1002,823,15,67,46,40,11,1386,1382,3,1
440000,广东省,2010,908,787,11,40,27,31,12,1359,1356,2,1
440000,广东省,2009,,,,,,,,,,,
440000,广东省,2008,,,,,,,,,,,
440000,广东省,2007,,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,
450000,广西壮族自治区,2019,173,99,7,26,26,12,3,143,138,4,1
450000,广西壮族自治区,2018,168,103,8,28,17,9,3,142,136,4,2
450000,广西壮族自治区,2017,159,102,7,21,14,13,2,141,136,5,
450000,广西壮族自治区,2016,150,101,6,22,12,8,1,129,126,3,
450000,广西壮族自治区,2015,144,100,5,19,11,7,2,133,129,4,
450000,广西壮族自治区,2014,144,102,5,18,9,8,2,125,123,1,1
450000,广西壮族自治区,2013,133,104,3,15,6,4,1,128,124,2,2
450000,广西壮族自治区,2012,128,102,3,13,4,5,1,138,132,4,2
450000,广西壮族自治区,2011,123,96,2,13,8,3,1,139,136,1,2
450000,广西壮族自治区,2010,134,107,3,15,7,2,,151,148,2,1
450000,广西壮族自治区,2009,,,,,,,,,,,
450000,广西壮族自治区,2008,,,,,,,,,,,
450000,广西壮族自治区,2007,,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,
460000,海南省,2019,49,22,1,11,5,10,,143,120,19,4
460000,海南省,2018,33,14,,6,4,9,,144,118,20,6
460000,海南省,2017,33,15,,6,4,7,1,142,117,20,5
460000,海南省,2016,30,15,,5,2,7,1,140,116,21,3
460000,海南省,2015,22,11,,3,1,6,1,136,113,21,2
460000,海南省,2014,22,15,,1,,5,1,130,110,18,2
460000,海南省,2013,22,13,,3,1,4,1,122,110,11,1
460000,海南省,2012,21,12,,4,2,3,,120,109,8,3
460000,海南省,2011,13,8,,4,,1,,105,97,7,1
460000,海南省,2010,12,7,,4,,1,,93,88,4,1
460000,海南省,2009,,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,
500000,重庆市,2019,203,42,3,39,35,62,22,333,323,9,1
500000,重庆市,2018,201,55,2,32,33,54,25,271,267,3,1
500000,重庆市,2017,198,63,2,25,34,52,22,274,270,3,1
500000,重庆市,2016,199,63,,29,37,47,23,297,292,4,1
500000,重庆市,2015,203,80,,26,34,43,20,297,291,5,1
500000,重庆市,2014,203,90,1,26,32,33,21,297,288,5,4
500000,重庆市,2013,198,94,1,24,28,34,17,295,285,6,4
500000,重庆市,2012,173,70,1,32,25,29,16,312,304,6,2
500000,重庆市,2011,161,74,2,19,24,34,8,307,297,5,5
500000,重庆市,2010,146,75,3,16,20,25,7,304,298,1,5
500000,重庆市,2009,,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,
510000,四川省,2019,433,142,27,107,74,70,13,606,544,40,22
510000,四川省,2018,423,140,25,106,76,66,10,557,488,39,30
510000,四川省,2017,417,143,26,109,68,61,10,523,441,45,37
510000,四川省,2016,413,150,25,111,61,56,10,538,422,60,56
510000,四川省,2015,397,141,28,105,64,48,11,540,428,50,62
510000,四川省,2014,397,143,22,107,62,55,8,531,408,62,61
510000,四川省,2013,379,137,18,104,55,53,12,528,407,65,56
510000,四川省,2012,361,137,12,93,58,51,10,567,442,66,59
510000,四川省,2011,346,119,21,95,53,42,16,527,380,85,62
510000,四川省,2010,304,118,16,79,41,39,11,437,332,50,55
510000,四川省,2009,,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,,
510000,四川省,2007,,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,
520000,贵州省,2019,264,74,32,87,38,31,2,546,532,10,4
520000,贵州省,2018,230,75,28,64,28,35,,525,514,7,4
520000,贵州省,2017,202,80,21,46,26,28,1,499,499,,
520000,贵州省,2016,167,64,18,40,25,19,1,468,468,,
520000,贵州省,2015,166,63,18,42,22,20,1,456,455,,1
520000,贵州省,2014,157,57,11,46,23,20,,439,426,5,8
520000,贵州省,2013,145,49,14,41,24,15,2,421,261,94,66
520000,贵州省,2012,140,48,13,48,18,11,2,329,129,127,73
520000,贵州省,2011,111,36,11,36,18,9,1,287,112,103,72
520000,贵州省,2010,104,35,9,33,15,11,1,266,101,97,68
520000,贵州省,2009,,,,,,,,,,,
520000,贵州省,2008,,,,,,,,,,,
520000,贵州省,2007,,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,,
530000,云南省,2019,197,78,20,33,32,27,7,401,344,37,20
530000,云南省,2018,199,79,16,35,31,31,7,402,342,38,22
530000,云南省,2017,195,76,15,37,28,33,6,373,293,54,26
530000,云南省,2016,189,77,16,34,31,27,4,377,290,59,28
530000,云南省,2015,171,66,13,40,26,22,4,327,248,55,24
530000,云南省,2014,163,59,13,38,30,21,2,316,239,49,28
530000,云南省,2013,151,54,11,37,25,20,4,306,208,63,35
530000,云南省,2012,143,47,8,43,24,18,3,296,191,69,36
530000,云南省,2011,135,45,9,35,29,15,2,272,177,52,43
530000,云南省,2010,134,55,6,38,22,9,4,233,163,39,31
530000,云南省,2009,,,,,,,,,,,
530000,云南省,2008,,,,,,,,,,,
530000,云南省,2007,,,,,,,,,,,
