省份编码,省份,年份,村卫生室个数(个),村办的村卫生室个数(个),乡卫生院设点的村卫生室个数(个),联合办的村卫生室个数(个),私人办的村卫生室个数(个),其他办的村卫生室个数(个),设卫生室的村数占行政村数%(%)
350000,福建省,2010,20032,12723,409,297,5133,1470,100.0
350000,福建省,2009,19632,,,,,,100.0
350000,福建省,2008,,,,,,,
350000,福建省,2007,,,,,,,
350000,福建省,2006,,,,,,,
350000,福建省,2005,,,,,,,
350000,福建省,2004,15740,11281,164,785,2463,1047,91.0
350000,福建省,2003,15004,10027,295,1142,3319,221,100.0
350000,福建省,2002,,,,,,,
350000,福建省,2001,17358,,,,,,95.4
350000,福建省,2000,,,,,,,
360000,江西省,2019,28088,13162,334,1480,11898,1214,100.0
360000,江西省,2018,28309,13441,281,1484,11725,1378,100.0
360000,江西省,2017,29734,13571,285,1617,12747,1514,100.0
360000,江西省,2016,30394,13929,265,1585,12935,1680,
360000,江西省,2015,30697,14072,238,1632,13115,1640,100.0
360000,江西省,2014,31017,14183,234,1629,13335,1636,100.0
360000,江西省,2013,31337,14385,230,1651,13438,1633,100.0
360000,江西省,2012,32369,14876,282,1623,13656,1932,100.0
360000,江西省,2011,32040,14744,216,1560,13615,1905,100.0
360000,江西省,2010,26904,12933,344,1564,10223,1840,100.0
360000,江西省,2009,26937,,,,,,100.0
360000,江西省,2008,,,,,,,
360000,江西省,2007,,,,,,,
360000,江西省,2006,,,,,,,
360000,江西省,2005,,,,,,,
360000,江西省,2004,17603,8439,54,709,7849,552,99.8
360000,江西省,2003,15854,8131,42,993,6150,538,78.6
360000,江西省,2002,,,,,,,
360000,江西省,2001,22839,,,,,,95.5
360000,江西省,2000,,,,,,,
370000,山东省,2019,53663,26374,14422,4556,5024,3287,77.161878468927
370000,山东省,2018,53246,26274,14062,4732,4785,3393,76.5
370000,山东省,2017,53024,26429,14127,4536,4428,3504,71.4927123923
370000,山东省,2016,53226,26732,14224,4693,4202,3375,
370000,山东省,2015,53780,27187,14228,4752,4117,3496,72.9
370000,山东省,2014,53870,27178,14369,4598,4197,3528,73.4043712869
370000,山东省,2013,53773,28693,15066,4904,3820,1290,71.8909596513276
370000,山东省,2012,51055,26670,15469,4739,2947,1230,71.3357552046947
370000,山东省,2011,51277,26413,15034,4590,3651,1589,71.59092495637
370000,山东省,2010,50471,25854,14837,4474,3873,1433,69.2
370000,山东省,2009,48791,,,,,,65.2
370000,山东省,2008,,,,,,,
370000,山东省,2007,,,,,,,
370000,山东省,2006,,,,,,,
370000,山东省,2005,,,,,,,
370000,山东省,2004,50699,29676,9654,5513,5023,833,61.8
370000,山东省,2003,41195,23049,7855,4268,5108,915,47.5
370000,山东省,2002,,,,,,,
370000,山东省,2001,62944,,,,,,89.8
370000,山东省,2000,,,,,,,
410000,河南省,2019,56079,33314,866,2842,15686,3371,100.0
410000,河南省,2018,56173,33675,848,2846,15795,3009,100.0
410000,河南省,2017,56462,33688,848,2831,16168,2927,100.0
410000,河南省,2016,56774,33534,814,2844,16548,3034,
410000,河南省,2015,56918,33582,823,2862,16660,2991,100.0
410000,河南省,2014,56721,33520,820,2852,16569,2960,100.0
410000,河南省,2013,56955,36938,615,3425,15133,844,100.0
410000,河南省,2012,57112,36151,542,3304,16358,757,100.0
410000,河南省,2011,64074,38114,567,3940,20661,792,100.0
410000,河南省,2010,64140,36850,591,4153,21767,779,100.0
410000,河南省,2009,63565,,,,,,100.0
410000,河南省,2008,,,,,,,
410000,河南省,2007,,,,,,,
410000,河南省,2006,,,,,,,
410000,河南省,2005,,,,,,,
410000,河南省,2004,48727,21987,353,5235,19525,1627,93.6
410000,河南省,2003,44330,20136,239,4979,17296,1680,91.4
410000,河南省,2002,,,,,,,
410000,河南省,2001,62961,,,,,,97.0
410000,河南省,2000,,,,,,,
420000,湖北省,2019,23242,14815,3484,2850,1264,829,100.0
420000,湖北省,2018,24411,15279,3506,3091,1587,948,100.0
420000,湖北省,2017,24636,15552,3519,2953,1810,802,98.6623948738
420000,湖北省,2016,24792,15499,3603,2984,1860,846,
420000,湖北省,2015,24795,15495,3559,2984,1922,835,98.7
420000,湖北省,2014,24919,15551,4085,2445,1999,839,97.9212511789
420000,湖北省,2013,24941,15526,4018,2464,2198,735,97.5248299053726
420000,湖北省,2012,24976,15785,3920,2576,1950,745,97.6578690127077
420000,湖北省,2011,25204,15928,3935,2595,1974,772,98.2880318215497
420000,湖北省,2010,24112,15442,3354,2815,1835,666,93.6
420000,湖北省,2009,22405,,,,,,87.6
420000,湖北省,2008,,,,,,,
420000,湖北省,2007,,,,,,,
420000,湖北省,2006,,,,,,,
420000,湖北省,2005,,,,,,,
420000,湖北省,2004,20141,10368,1844,4252,3005,672,76.1
420000,湖北省,2003,11106,6979,839,1251,1617,420,38.7
420000,湖北省,2002,,,,,,,
420000,湖北省,2001,26252,,,,,,88.4
420000,湖北省,2000,,,,,,,
430000,湖南省,2019,39504,26468,1655,922,7044,3415,100.0
430000,湖南省,2018,39976,26560,1417,968,7658,3373,100.0
430000,湖南省,2017,42144,28171,1485,930,8089,3469,100.0
430000,湖南省,2016,44339,29456,1645,1046,8540,3652,
430000,湖南省,2015,44822,29855,1671,1042,8594,3660,100.0
430000,湖南省,2014,44699,29621,1542,1045,8754,3737,100.0
430000,湖南省,2013,44929,33636,1680,1049,7673,891,100.0
430000,湖南省,2012,44376,34014,1186,1081,7310,785,100.0
430000,湖南省,2011,45389,34594,1264,1068,7729,734,100.0
430000,湖南省,2010,45182,34548,1288,1075,7540,731,100.0
430000,湖南省,2009,40826,,,,,,95.1
430000,湖南省,2008,,,,,,,
430000,湖南省,2007,,,,,,,
430000,湖南省,2006,,,,,,,
430000,湖南省,2005,,,,,,,
430000,湖南省,2004,34379,20165,1752,1533,8979,1950,75.3
430000,湖南省,2003,34054,17466,2056,1483,11074,1975,68.0
430000,湖南省,2002,,,,,,,
430000,湖南省,2001,47121,,,,,,92.6
430000,湖南省,2000,,,,,,,
440000,广东省,2019,25788,14453,2016,102,5866,3351,100.0
440000,广东省,2018,25996,16279,1834,121,5614,2148,100.0
440000,广东省,2017,26459,19139,1524,149,4973,674,100.0
440000,广东省,2016,26886,19582,1533,156,4917,698,
440000,广东省,2015,27177,20487,1472,173,4300,745,100.0
440000,广东省,2014,28161,21418,1433,176,4356,778,100.0
440000,广东省,2013,28767,22641,1447,190,3936,553,100.0
440000,广东省,2012,29086,23276,1304,202,3753,551,100.0
440000,广东省,2011,28971,23270,1249,199,3690,563,100.0
440000,广东省,2010,28339,22942,1220,156,3488,533,100.0
440000,广东省,2009,28076,,,,,,100.0
440000,广东省,2008,,,,,,,
440000,广东省,2007,,,,,,,
440000,广东省,2006,,,,,,,
440000,广东省,2005,,,,,,,
440000,广东省,2004,21529,16922,88,182,3381,956,95.0
440000,广东省,2003,20368,15924,93,103,3241,1007,89.2
440000,广东省,2002,,,,,,,
440000,广东省,2001,29080,,,,,,91.5
440000,广东省,2000,,,,,,,
450000,广西壮族自治区,2019,19877,13588,880,175,4555,679,100.0
450000,广西壮族自治区,2018,20409,13802,836,177,4951,643,100.0
450000,广西壮族自治区,2017,20770,13857,798,186,5240,689,100.0
450000,广西壮族自治区,2016,21011,13638,852,180,5467,874,
450000,广西壮族自治区,2015,21417,13553,920,194,5933,817,100.0
450000,广西壮族自治区,2014,21917,7725,2156,695,8586,2755,100.0
450000,广西壮族自治区,2013,21852,7929,1340,860,10344,1379,100.0
450000,广西壮族自治区,2012,23323,8349,807,863,12305,999,100.0
450000,广西壮族自治区,2011,23381,8406,523,853,12764,835,100.0
450000,广西壮族自治区,2010,22405,7814,294,796,12791,710,100.0
450000,广西壮族自治区,2009,21689,,,,,,100.0
450000,广西壮族自治区,2008,,,,,,,
450000,广西壮族自治区,2007,,,,,,,
450000,广西壮族自治区,2006,,,,,,,
450000,广西壮族自治区,2005,,,,,,,
450000,广西壮族自治区,2004,21480,8192,265,1563,11101,359,91.8
450000,广西壮族自治区,2003,20311,7912,829,1677,9570,323,138.5
450000,广西壮族自治区,2002,,,,,,,
450000,广西壮族自治区,2001,23235,,,,,,98.0
450000,广西壮族自治区,2000,,,,,,,
460000,海南省,2019,2647,803,242,28,1407,167,100.0
460000,海南省,2018,2716,877,221,26,1436,156,100.0
460000,海南省,2017,2638,775,165,27,1191,480,100.0
460000,海南省,2016,2670,857,145,30,1473,165,
460000,海南省,2015,2681,822,136,49,1499,175,100.0
460000,海南省,2014,2761,768,130,24,1632,207,100.0
460000,海南省,2013,2701,819,129,23,1608,122,100.0
460000,海南省,2012,2752,727,93,22,1477,433,100.0
460000,海南省,2011,2527,724,45,22,1627,109,98.4417608102844
460000,海南省,2010,2412,461,34,24,1815,78,94.0
460000,海南省,2009,2396,,,,,,93.7
460000,海南省,2008,,,,,,,
460000,海南省,2007,,,,,,,
460000,海南省,2006,,,,,,,
460000,海南省,2005,,,,,,,
460000,海南省,2004,1873,534,47,65,1210,17,90.0
460000,海南省,2003,1771,624,33,67,1025,22,66.4
460000,海南省,2002,,,,,,,
460000,海南省,2001,2842,,,,,,81.2
460000,海南省,2000,,,,,,,
500000,重庆市,2019,10580,7201,895,253,1054,1177,100.0
500000,重庆市,2018,10847,6669,1234,291,1404,1249,100.0
500000,重庆市,2017,10991,6624,1265,353,1497,1252,100.0
500000,重庆市,2016,11240,6763,1257,357,1653,1210,
500000,重庆市,2015,11280,6747,1180,409,1846,1098,100.0
500000,重庆市,2014,10778,6255,1122,378,1941,1082,100.0
500000,重庆市,2013,11009,6715,1222,413,1822,837,100.0
500000,重庆市,2012,10642,6318,1161,412,1959,792,100.0
500000,重庆市,2011,10577,6325,1132,411,1945,764,100.0
500000,重庆市,2010,10597,6274,1031,482,2002,808,100.0
500000,重庆市,2009,9985,,,,,,100.0
500000,重庆市,2008,,,,,,,
500000,重庆市,2007,,,,,,,
500000,重庆市,2006,,,,,,,
500000,重庆市,2005,,,,,,,
500000,重庆市,2004,11315,6868,408,750,3162,127,100.0
500000,重庆市,2003,11416,6013,507,1185,3534,177,69.6
500000,重庆市,2002,,,,,,,
500000,重庆市,2001,17702,,,,,,86.3
500000,重庆市,2000,,,,,,,
510000,四川省,2019,55772,27926,3610,2535,18288,3413,100.0
510000,四川省,2018,56019,27848,3556,2561,18808,3246,100.0
510000,四川省,2017,56216,27794,3541,2583,19077,3221,100.0
510000,四川省,2016,55958,27024,2931,2478,18950,4575,
510000,四川省,2015,55869,27218,2712,2526,19034,4379,100.0
510000,四川省,2014,55981,27132,1578,2556,20390,4325,100.0
510000,四川省,2013,55165,26949,1838,2908,20144,3326,100.0
510000,四川省,2012,54601,26568,1751,2862,20187,3233,100.0
510000,四川省,2011,54015,26899,1603,3222,19409,2882,100.0
510000,四川省,2010,52705,26084,1258,3250,19404,2709,100.0
510000,四川省,2009,51670,,,,,,100.0
510000,四川省,2008,,,,,,,
510000,四川省,2007,,,,,,,
510000,四川省,2006,,,,,,,
510000,四川省,2005,,,,,,,
510000,四川省,2004,46339,23308,1091,3215,17036,1689,85.7
510000,四川省,2003,43701,21084,1101,3257,16585,1674,79.4
510000,四川省,2002,,,,,,,
510000,四川省,2001,49766,,,,,,83.3
510000,四川省,2000,,,,,,,
520000,贵州省,2019,20265,9567,2941,521,5610,1626,100.0
520000,贵州省,2018,20355,8653,2801,543,6418,1940,100.0
520000,贵州省,2017,20543,9063,2247,547,6749,1937,100.0
520000,贵州省,2016,20652,9115,2170,530,6868,1969,
520000,贵州省,2015,20831,9131,2153,520,7043,1984,100.0
520000,贵州省,2014,20945,9308,2146,533,6977,1981,100.0
520000,贵州省,2013,21219,9461,2253,680,7159,1666,100.0
520000,贵州省,2012,21463,8653,1973,511,8578,1748,100.0
520000,贵州省,2011,20260,8204,1644,453,8653,1306,100.0
520000,贵州省,2010,19783,7904,1425,392,8841,1221,100.0
520000,贵州省,2009,18971,,,,,,100.0
520000,贵州省,2008,,,,,,,
520000,贵州省,2007,,,,,,,
520000,贵州省,2006,,,,,,,
520000,贵州省,2005,,,,,,,
520000,贵州省,2004,18551,3818,1103,702,12380,548,93.6
520000,贵州省,2003,21914,5987,2282,1056,11730,859,91.7
520000,贵州省,2002,,,,,,,
520000,贵州省,2001,22069,,,,,,83.4
520000,贵州省,2000,,,,,,,
530000,云南省,2019,13450,10101,1526,569,294,960,100.0
530000,云南省,2018,13404,10027,1454,588,337,998,100.0
530000,云南省,2017,13446,10078,1363,624,434,947,100.0
530000,云南省,2016,13432,10064,1319,607,465,977,
530000,云南省,2015,13351,10018,1315,579,473,966,100.0
530000,云南省,2014,13364,9944,1360,620,500,940,100.0
530000,云南省,2013,13341,10078,1239,798,555,671,100.0
530000,云南省,2012,13317,9271,1755,963,564,764,100.0
530000,云南省,2011,13292,9105,1508,1124,569,986,100.0
530000,云南省,2010,13189,9143,1425,1107,567,947,100.0
530000,云南省,2009,13114,,,,,,100.0
530000,云南省,2008,,,,,,,
530000,云南省,2007,,,,,,,
530000,云南省,2006,,,,,,,
530000,云南省,2005,,,,,,,
530000,云南省,2004,13264,9611,528,1267,1308,550,94.9
530000,云南省,2003,12210,8914,520,1340,1089,347,91.3
530000,云南省,2002,,,,,,,
530000,云南省,2001,14984,,,,,,99.0
530000,云南省,2000,,,,,,,
540000,西藏自治区,2019,5300,1991,2282,159,,868,100.0
540000,西藏自治区,2018,5298,2148,2270,132,,748,100.0
540000,西藏自治区,2017,5324,1748,2606,145,,825,100.0
540000,西藏自治区,2016,5360,1692,2478,150,,1040,
540000,西藏自治区,2015,5353,1759,2621,150,,823,100.0
540000,西藏自治区,2014,5366,1760,2634,150,,822,100.0
540000,西藏自治区,2013,5313,1746,2736,171,,660,100.0
540000,西藏自治区,2012,5254,1737,2721,171,,625,99.9049248906636
540000,西藏自治区,2011,5232,1767,2716,170,,579,99.4865944095836
540000,西藏自治区,2010,3608,1134,1781,179,,514,68.6
540000,西藏自治区,2009,3635,,,,,,69.1
540000,西藏自治区,2008,,,,,,,
540000,西藏自治区,2007,,,,,,,
540000,西藏自治区,2006,,,,,,,
540000,西藏自治区,2005,,,,,,,
540000,西藏自治区,2004,1937,443,1318,35,128,13,32.7
540000,西藏自治区,2003,1681,459,1148,48,26,,27.8
540000,西藏自治区,2002,,,,,,,
540000,西藏自治区,2001,1388,,,,,,61.6
540000,西藏自治区,2000,,,,,,,
610000,陕西省,2019,23747,20437,679,331,2300,,100.0
610000,陕西省,2018,24183,19599,742,358,3350,134,100.0
