省份编码,省份,年份,公共广播节目套数(套),全年公共广播节目播出时间(小时),全年制作广播节目时间(小时)
420000,湖北省,2009,85,444489.6,234613
420000,湖北省,2008,84,434115.633333333,233996
420000,湖北省,2007,,,
420000,湖北省,2006,,,
420000,湖北省,2005,,,
420000,湖北省,2004,,,
420000,湖北省,2003,,,
420000,湖北省,2002,,,
420000,湖北省,2001,,,
420000,湖北省,2000,,,
430000,湖南省,2019,115,,
430000,湖南省,2018,114,,
430000,湖南省,2017,111,,
430000,湖南省,2016,106,,
430000,湖南省,2015,105,,
430000,湖南省,2014,102,,
430000,湖南省,2013,100,,
430000,湖南省,2012,99,370308,171861
430000,湖南省,2011,99,351520.283333333,169147.533333333
430000,湖南省,2010,97,334882.783333333,158755
430000,湖南省,2009,97,333382.983333333,158249
430000,湖南省,2008,96,333678.883333333,164932
430000,湖南省,2007,,,
430000,湖南省,2006,,,
430000,湖南省,2005,,,
430000,湖南省,2004,,,
430000,湖南省,2003,,,
430000,湖南省,2002,,,
430000,湖南省,2001,,,
430000,湖南省,2000,,,
440000,广东省,2019,137,,
440000,广东省,2018,135,,
440000,广东省,2017,131,,
440000,广东省,2016,132,,
440000,广东省,2015,206,,
440000,广东省,2014,148,,
440000,广东省,2013,129,,
440000,广东省,2012,130,798898,535125
440000,广东省,2011,130,772703.966666667,514492.183333333
440000,广东省,2010,127,764901.683333333,539670
440000,广东省,2009,125,778520.15,471586
440000,广东省,2008,125,755343,489136
440000,广东省,2007,,,
440000,广东省,2006,,,
440000,广东省,2005,,,
440000,广东省,2004,,,
440000,广东省,2003,,,
440000,广东省,2002,,,
440000,广东省,2001,,,
440000,广东省,2000,,,
450000,广西壮族自治区,2019,74,,
450000,广西壮族自治区,2018,75,,
450000,广西壮族自治区,2017,75,,
450000,广西壮族自治区,2016,74,,
450000,广西壮族自治区,2015,72,,
450000,广西壮族自治区,2014,70,,
450000,广西壮族自治区,2013,65,,
450000,广西壮族自治区,2012,63,313740,188949
450000,广西壮族自治区,2011,63,297125.016666667,169406.95
450000,广西壮族自治区,2010,62,276733.616666667,176577
450000,广西壮族自治区,2009,59,269942.583333333,174493
450000,广西壮族自治区,2008,61,271304.25,181038
450000,广西壮族自治区,2007,,,
450000,广西壮族自治区,2006,,,
450000,广西壮族自治区,2005,,,
450000,广西壮族自治区,2004,,,
450000,广西壮族自治区,2003,,,
450000,广西壮族自治区,2002,,,
450000,广西壮族自治区,2001,,,
450000,广西壮族自治区,2000,,,
460000,海南省,2019,25,,
460000,海南省,2018,25,,
460000,海南省,2017,25,,
460000,海南省,2016,25,,
460000,海南省,2015,24,,
460000,海南省,2014,24,,
460000,海南省,2013,24,,
460000,海南省,2012,24,118478,55221
460000,海南省,2011,24,108848.483333333,57204.05
460000,海南省,2010,24,107875.216666667,51869
460000,海南省,2009,24,106500.383333333,45358
460000,海南省,2008,24,108427.85,40572
460000,海南省,2007,,,
460000,海南省,2006,,,
460000,海南省,2005,,,
460000,海南省,2004,,,
460000,海南省,2003,,,
460000,海南省,2002,,,
460000,海南省,2001,,,
460000,海南省,2000,,,
500000,重庆市,2019,34,,
500000,重庆市,2018,35,,
500000,重庆市,2017,35,,
500000,重庆市,2016,34,,
500000,重庆市,2015,31,,
500000,重庆市,2014,37,,
500000,重庆市,2013,35,,
500000,重庆市,2012,34,139699,65487
500000,重庆市,2011,32,132849.866666667,61168.45
500000,重庆市,2010,26,108811.766666667,58279
500000,重庆市,2009,26,105741.633333333,55986
500000,重庆市,2008,27,105631.616666667,58819
500000,重庆市,2007,,,
500000,重庆市,2006,,,
500000,重庆市,2005,,,
500000,重庆市,2004,,,
500000,重庆市,2003,,,
500000,重庆市,2002,,,
500000,重庆市,2001,,,
500000,重庆市,2000,,,
510000,四川省,2019,150,,
510000,四川省,2018,144,,
510000,四川省,2017,146,,
510000,四川省,2016,141,,
510000,四川省,2015,134,,
510000,四川省,2014,126,,
510000,四川省,2013,123,,
510000,四川省,2012,122,579580,210011
510000,四川省,2011,117,540466.15,190383.65
510000,四川省,2010,119,527029.883333333,180246
510000,四川省,2009,117,494825.883333333,180242
510000,四川省,2008,107,427130.733333333,169857
510000,四川省,2007,,,
510000,四川省,2006,,,
510000,四川省,2005,,,
510000,四川省,2004,,,
510000,四川省,2003,,,
510000,四川省,2002,,,
510000,四川省,2001,,,
510000,四川省,2000,,,
520000,贵州省,2019,45,,
520000,贵州省,2018,48,,
520000,贵州省,2017,46,,
520000,贵州省,2016,46,,
520000,贵州省,2015,46,,
520000,贵州省,2014,40,,
520000,贵州省,2013,38,,
520000,贵州省,2012,39,208683,129421
520000,贵州省,2011,31,189224.916666667,102374.166666667
520000,贵州省,2010,27,157799.416666667,65312
520000,贵州省,2009,24,143426.833333333,73700
520000,贵州省,2008,23,135833.583333333,66926
520000,贵州省,2007,,,
520000,贵州省,2006,,,
520000,贵州省,2005,,,
520000,贵州省,2004,,,
520000,贵州省,2003,,,
520000,贵州省,2002,,,
520000,贵州省,2001,,,
520000,贵州省,2000,,,
530000,云南省,2019,68,,
530000,云南省,2018,67,,
530000,云南省,2017,64,,
530000,云南省,2016,54,,
530000,云南省,2015,52,,
530000,云南省,2014,50,,
530000,云南省,2013,49,,
530000,云南省,2012,49,280541,151305
530000,云南省,2011,49,280862.5,150941.416666667
530000,云南省,2010,48,271724.466666667,164695
530000,云南省,2009,44,259112.25,154059
530000,云南省,2008,38,222964.083333333,137904
530000,云南省,2007,,,
530000,云南省,2006,,,
530000,云南省,2005,,,
530000,云南省,2004,,,
530000,云南省,2003,,,
530000,云南省,2002,,,
530000,云南省,2001,,,
530000,云南省,2000,,,
540000,西藏自治区,2019,30,,
540000,西藏自治区,2018,30,,
540000,西藏自治区,2017,28,,
540000,西藏自治区,2016,11,,
540000,西藏自治区,2015,10,,
540000,西藏自治区,2014,9,,
540000,西藏自治区,2013,8,,
540000,西藏自治区,2012,8,42242,29547
540000,西藏自治区,2011,8,42218,28063
540000,西藏自治区,2010,7,38743,28060
540000,西藏自治区,2009,7,36573.5833333333,23903
540000,西藏自治区,2008,7,36874,21136
540000,西藏自治区,2007,,,
540000,西藏自治区,2006,,,
540000,西藏自治区,2005,,,
540000,西藏自治区,2004,,,
540000,西藏自治区,2003,,,
540000,西藏自治区,2002,,,
540000,西藏自治区,2001,,,
540000,西藏自治区,2000,,,
610000,陕西省,2019,107,,
610000,陕西省,2018,112,,
610000,陕西省,2017,111,,
610000,陕西省,2016,109,,
610000,陕西省,2015,107,,
610000,陕西省,2014,107,,
610000,陕西省,2013,107,,
610000,陕西省,2012,107,417565,229064
610000,陕西省,2011,104,410455.633333333,196433.433333333
610000,陕西省,2010,101,405854.533333333,197299
610000,陕西省,2009,102,393830.733333333,200144
610000,陕西省,2008,100,371661.866666667,197525
610000,陕西省,2007,,,
610000,陕西省,2006,,,
610000,陕西省,2005,,,
610000,陕西省,2004,,,
610000,陕西省,2003,,,
610000,陕西省,2002,,,
610000,陕西省,2001,,,
610000,陕西省,2000,,,
620000,甘肃省,2019,97,,
620000,甘肃省,2018,97,,
620000,甘肃省,2017,97,,
620000,甘肃省,2016,96,,
620000,甘肃省,2015,94,,
620000,甘肃省,2014,91,,
620000,甘肃省,2013,88,,
620000,甘肃省,2012,87,295005,113867
620000,甘肃省,2011,87,283157.916666667,108777.7
620000,甘肃省,2010,86,271809.183333333,107782
620000,甘肃省,2009,85,259059.633333333,105554
620000,甘肃省,2008,84,248028.516666667,99723
620000,甘肃省,2007,,,
620000,甘肃省,2006,,,
620000,甘肃省,2005,,,
620000,甘肃省,2004,,,
620000,甘肃省,2003,,,
620000,甘肃省,2002,,,
620000,甘肃省,2001,,,
620000,甘肃省,2000,,,
630000,青海省,2019,47,,
630000,青海省,2018,43,,
630000,青海省,2017,26,,
630000,青海省,2016,15,,
630000,青海省,2015,15,,
630000,青海省,2014,12,,
630000,青海省,2013,12,,
630000,青海省,2012,10,60735,31956
630000,青海省,2011,9,54960.8333333333,30521
630000,青海省,2010,9,56102.8333333333,38636
630000,青海省,2009,9,56284.3333333333,50080
630000,青海省,2008,9,53734.3333333333,37642
630000,青海省,2007,,,
630000,青海省,2006,,,
630000,青海省,2005,,,
630000,青海省,2004,,,
630000,青海省,2003,,,
630000,青海省,2002,,,
630000,青海省,2001,,,
630000,青海省,2000,,,
640000,宁夏回族自治区,2019,27,,
640000,宁夏回族自治区,2018,28,,
640000,宁夏回族自治区,2017,26,,
640000,宁夏回族自治区,2016,25,,
640000,宁夏回族自治区,2015,25,,
640000,宁夏回族自治区,2014,24,,
640000,宁夏回族自治区,2013,24,,
640000,宁夏回族自治区,2012,24,101932,43826
640000,宁夏回族自治区,2011,24,102234.416666667,44278.1
640000,宁夏回族自治区,2010,24,101624.7,41011
640000,宁夏回族自治区,2009,24,101667.7,38397
640000,宁夏回族自治区,2008,24,101508.7,52548
640000,宁夏回族自治区,2007,,,
640000,宁夏回族自治区,2006,,,
640000,宁夏回族自治区,2005,,,
640000,宁夏回族自治区,2004,,,
640000,宁夏回族自治区,2003,,,
640000,宁夏回族自治区,2002,,,
640000,宁夏回族自治区,2001,,,
640000,宁夏回族自治区,2000,,,
650000,新疆维吾尔自治区,2019,163,,
650000,新疆维吾尔自治区,2018,169,,
650000,新疆维吾尔自治区,2017,169,,
650000,新疆维吾尔自治区,2016,173,,
650000,新疆维吾尔自治区,2015,172,,
650000,新疆维吾尔自治区,2014,164,,
650000,新疆维吾尔自治区,2013,161,,
650000,新疆维吾尔自治区,2012,159,777207,288223
650000,新疆维吾尔自治区,2011,159,758158.25,270895.7
650000,新疆维吾尔自治区,2010,155,730235.5,260510
650000,新疆维吾尔自治区,2009,154,690612.3,249449
650000,新疆维吾尔自治区,2008,121,526023.15,231108
650000,新疆维吾尔自治区,2007,,,
650000,新疆维吾尔自治区,2006,,,
650000,新疆维吾尔自治区,2005,,,
650000,新疆维吾尔自治区,2004,,,
650000,新疆维吾尔自治区,2003,,,
650000,新疆维吾尔自治区,2002,,,
650000,新疆维吾尔自治区,2001,,,
650000,新疆维吾尔自治区,2000,,,
