省份编码,省份,年份,公共电视节目套数(套),付费电视节目套数(套),全年公共电视节目播出时间(小时),全年制作电视节目时间(小时),全年电视剧播出部数(万部),全年电视剧播出集数(万集),进口电视剧播出部数(部),进口电视剧播出集数(万集),全年动画电视播出小时数(小时),进口动画播出小时数(小时)
210000,辽宁省,2015,119,,,,0.8739,,199,,4755.4166666667,205
210000,辽宁省,2014,118,,,,0.8598,,213,,5891.6666666667,550
210000,辽宁省,2013,117,,,,0.9125,,256,,7583.66666666667,450
210000,辽宁省,2012,119,,731393,176710,0.9598,,231,,7212,468
210000,辽宁省,2011,119,23,728885.966666667,184320.183333333,0.9973,27.535,250,0.7134,6657.33333333333,621.666666666667
210000,辽宁省,2010,118,,704479.966666667,188895,0.9811,26.7134,469,1.279,,
210000,辽宁省,2009,117,,670111.133333333,202182,1.1028,25.0579,475,1.182,,
210000,辽宁省,2008,115,,666594.733333333,188061,1.0975,24.2335,542,1.3556,,
210000,辽宁省,2007,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,
220000,吉林省,2019,77,,,,0.555,,,,2802,
220000,吉林省,2018,75,,,,0.6001,,3,,2602,
220000,吉林省,2017,74,,,,0.6103,,15,,1715.15,
220000,吉林省,2016,76,,,,0.6264,,42,,672.17,8
220000,吉林省,2015,76,,,,0.6804,,94,,462.8333333333,8
220000,吉林省,2014,76,,,,0.6899,,119,,1373.8333333333,
220000,吉林省,2013,76,,,,0.701,,207,,1692.38333333333,
220000,吉林省,2012,76,,501420,85627,0.7608,,222,,1592,
220000,吉林省,2011,76,,502385.733333333,87358.0166666667,0.7897,22.5852,222,0.619,1239.66666666667,
220000,吉林省,2010,75,,487825.233333333,76906,0.7611,21.6969,263,0.8733,,
220000,吉林省,2009,76,,447691.366666667,84234,0.7367,19.5988,230,0.6853,,
220000,吉林省,2008,76,,433659.2,79558,0.7346,18.7256,387,0.9983,,
220000,吉林省,2007,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,
230000,黑龙江省,2019,104,,,,0.4869,,,,6686,3
230000,黑龙江省,2018,105,,,,0.4809,,1,,6772,633
230000,黑龙江省,2017,105,,,,0.4963,,1,,4844.48,625
230000,黑龙江省,2016,121,,,,0.3872,,6,,4820.95,605
230000,黑龙江省,2015,117,,,,0.4061,,5,,3219.2666666667,605
230000,黑龙江省,2014,118,,,,0.4365,,102,,2739.3333333333,605
230000,黑龙江省,2013,105,,,,0.7794,,190,,2716.76666666667,625
230000,黑龙江省,2012,118,,619992,108143,0.3912,,53,,2268,750
230000,黑龙江省,2011,121,,677427.05,97668.9666666667,0.4097,10.7373,92,0.3275,3018.88333333333,1152.25
230000,黑龙江省,2010,124,,661129.55,81482,0.4303,11.2131,70,0.2384,,
230000,黑龙江省,2009,124,,643399.233333333,72778,0.4094,10.9239,213,0.497,,
230000,黑龙江省,2008,125,,634944.3,73333,0.4695,13.2756,305,0.7297,,
230000,黑龙江省,2007,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,
310000,上海市,2019,23,,,,0.0828,,,,8884,500
310000,上海市,2018,25,,,,0.0824,,15,,14419,1835
310000,上海市,2017,25,,,,0.0864,,37,,16613.22,2463
310000,上海市,2016,25,,,,0.0953,,4,,15321.4,1779
310000,上海市,2015,25,,,,0.0993,,13,,14262.9833333333,1399.5
310000,上海市,2014,25,,,,0.1191,,39,,14559.3,2419
310000,上海市,2013,25,,,,0.1249,,49,,13280.1,2552
310000,上海市,2012,25,,180644,53273,0.1162,,56,,15363,698
310000,上海市,2011,25,16,177240.016666667,42695.3666666667,0.1304,4.2901,84,0.208,12849.8333333333,2788
310000,上海市,2010,25,16,175304.4,49507,0.142,4.4811,65,0.1845,,
310000,上海市,2009,25,16,173741.783333333,63401,0.2101,4.2879,100,0.276,,
310000,上海市,2008,25,16,171730.3,53358,0.1226,3.4698,113,0.311,,
310000,上海市,2007,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,
320000,江苏省,2019,123,,,,0.6424,,,,13654,
320000,江苏省,2018,123,,,,0.618,,,,13430,180
320000,江苏省,2017,124,,,,0.711,,,,13312.58,182.5
320000,江苏省,2016,122,,,,0.886,,69,,13763.43,273.33
320000,江苏省,2015,122,,,,0.8314,,74,,15409.8166666667,406
320000,江苏省,2014,126,,,,0.8765,,56,,12803.7333333333,
320000,江苏省,2013,130,,,,0.991,,65,,15521.3,595.666666666667
320000,江苏省,2012,130,,833099,205738,0.9631,,55,,16997,122
320000,江苏省,2011,130,3,823861.016666667,191070.533333333,1.0072,28.5069,126,0.3878,14080.15,
320000,江苏省,2010,130,3,811054.95,226743,1.1228,29.6686,233,0.6401,,
320000,江苏省,2009,132,4,785118.266666667,162649,1.0543,27.8643,152,0.4694,,
320000,江苏省,2008,133,4,762661.583333333,156853,1.1238,27.3724,275,0.8637,,
320000,江苏省,2007,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,
330000,浙江省,2019,112,,,,0.7201,,1,,22102,80
330000,浙江省,2018,112,,,,0.8955,,4,,20022,148
330000,浙江省,2017,112,,,,0.8481,,13,,20054.52,152
330000,浙江省,2016,115,,,,0.8796,,21,,19390.83,272.17
330000,浙江省,2015,115,,,,0.8996,,37,,20139.5666666667,72.3333333333
330000,浙江省,2014,115,,,,0.8811,,61,,20660.5166666667,381.5833333333
330000,浙江省,2013,114,,,,0.929,,77,,17236.3833333333,194.583333333333
330000,浙江省,2012,114,,733784,165056,0.8754,,107,,20216,202
330000,浙江省,2011,114,2,722035.666666667,181277.95,0.947,26.7649,151,0.7873,20203.0833333333,210.5
330000,浙江省,2010,113,2,712130.25,143104,0.9614,26.8657,160,0.4274,,
330000,浙江省,2009,112,2,700188.583333333,148963,0.8938,25.1505,205,0.8075,,
330000,浙江省,2008,112,2,679332.316666667,126036,0.895,23.551,314,0.9352,,
330000,浙江省,2007,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,
340000,安徽省,2019,110,,,,0.8768,,13,,8618,
340000,安徽省,2018,109,,,,0.7353,,5,,7565,
340000,安徽省,2017,109,,,,0.7697,,15,,5677.57,
340000,安徽省,2016,107,,,,0.8061,,77,,6470.13,160
340000,安徽省,2015,111,,,,0.8426,,57,,6540.2666666667,360
340000,安徽省,2014,112,,,,0.8604,,65,,7699.4333333333,456
340000,安徽省,2013,112,,,,1.0091,,175,,7629.83333333333,813
340000,安徽省,2012,115,,636368,86881,1.0404,,178,,7774,365
340000,安徽省,2011,115,2,641252.466666667,76953.5666666667,1.0914,27.4272,239,0.589,9334.7,302.5
340000,安徽省,2010,118,2,641054.35,82427,1.0872,28.5537,295,0.8232,,
340000,安徽省,2009,120,2,648882.45,75181,1.1514,28.9201,274,0.7624,,
340000,安徽省,2008,121,2,616951.85,71253,1.0643,27.4114,399,0.8495,,
340000,安徽省,2007,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,
350000,福建省,2019,101,,,,0.3135,,,,17268,
350000,福建省,2018,101,,,,0.3095,,,,12878,
350000,福建省,2017,101,,,,0.3044,,,,11644.83,
350000,福建省,2016,103,,,,0.3025,,9,,10628.83,
350000,福建省,2015,101,,,,0.3021,,31,,7776.6333333333,
350000,福建省,2014,101,,,,0.3133,,,,8365.9666666667,
350000,福建省,2013,100,,,,0.3362,,,,7425.93333333333,192.25
350000,福建省,2012,97,,333099,60812,0.3475,,60,,6957,185
350000,福建省,2011,101,,340129.916666667,61271.3,0.3679,11.1185,20,0.0567,7399.33333333333,473.25
350000,福建省,2010,101,,334045.033333333,55424,0.36,10.5903,109,0.2922,,
350000,福建省,2009,102,,326196.983333333,55325,0.2905,8.9417,53,0.2304,,
350000,福建省,2008,99,,318478.783333333,52814,0.2696,8.7102,110,0.4431,,
350000,福建省,2007,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,
360000,江西省,2019,123,,,,0.8517,,79,,11982,339
360000,江西省,2018,122,,,,0.8958,,83,,10720,338
360000,江西省,2017,121,,,,0.9266,,110,,15962.67,390.17
360000,江西省,2016,117,,,,0.8933,,267,,16846.5,267.5
360000,江西省,2015,116,,,,0.9273,,300,,16970.5,271.1666666667
360000,江西省,2014,113,,,,0.9777,,311,,13935.55,271
360000,江西省,2013,112,,,,1.0178,,323,,12747.25,479.833333333333
360000,江西省,2012,113,,642389,93261,1.0071,,427,,17565,747
360000,江西省,2011,113,,632617.3,86267.6,0.9428,26.9711,1040,3.5198,14956.75,1090
360000,江西省,2010,113,,650996.8,67067,0.9318,24.7239,390,1.1135,,
360000,江西省,2009,113,,610086.333333333,76680,0.8759,22.734,502,1.4117,,
360000,江西省,2008,112,,595944.9,72625,0.9172,22.2444,1010,2.485,,
360000,江西省,2007,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,
370000,山东省,2019,257,,,,1.4611,,44,,24829,2050
370000,山东省,2018,259,,,,1.4387,,45,,25043,1880
370000,山东省,2017,251,,,,1.414,,268,,20799.95,2913.62
370000,山东省,2016,224,,,,1.3383,,106,,15633.88,780.77
370000,山东省,2015,224,,,,1.356,,167,,14901.9666666667,775
370000,山东省,2014,194,,,,1.3603,,,,13579.8333333333,1472.5333333333
370000,山东省,2013,188,,,,1.1449,,102,,13562.35,684
370000,山东省,2012,171,,974387,206484,1.1309,,69,,13465,156
370000,山东省,2011,170,,964519.65,170964.633333333,1.2243,36.4644,138,0.3446,11471.7,284.633333333333
370000,山东省,2010,169,,952631.183333333,157852,1.2536,36.1233,169,0.6054,,
370000,山东省,2009,166,,924744.966666667,144975,1.2994,36.1598,79,0.2665,,
370000,山东省,2008,163,,886915.716666667,180671,1.2153,33.0841,378,0.7812,,
370000,山东省,2007,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,
410000,河南省,2019,174,,,,1.3239,,,,6815,
410000,河南省,2018,174,,,,1.3108,,2,,7516,
410000,河南省,2017,174,,,,1.2956,,18,,7801.28,
410000,河南省,2016,167,,,,1.4322,,8,,8736.03,
410000,河南省,2015,167,,,,1.4712,,33,,8721.85,281
410000,河南省,2014,167,,,,1.5157,,34,,8502.25,195
410000,河南省,2013,166,,,,1.5132,,52,,6990.45,170
410000,河南省,2012,166,,881588,142235,1.559,,105,,6311,500
410000,河南省,2011,166,4,867528.216666667,139064.783333333,1.5807,45.1774,140,0.3802,6753.33333333333,600.3
410000,河南省,2010,166,4,869059.516666667,140552,1.367,34.2965,197,0.5847,,
410000,河南省,2009,166,4,858189.583333333,131614,1.4003,33.8095,264,0.749,,
410000,河南省,2008,165,4,845154.4,131385,1.3595,32.3036,242,0.6548,,
410000,河南省,2007,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,
420000,湖北省,2019,114,,,,1.2009,,42,,14132,15
420000,湖北省,2018,116,,,,1.2502,,37,,15123,30
420000,湖北省,2017,117,,,,1.3149,,56,,13880.13,30
420000,湖北省,2016,112,,,,1.2393,,58,,9735.47,32
420000,湖北省,2015,113,,,,1.28,,60,,9419.0666666667,
420000,湖北省,2014,114,,,,1.3154,,88,,10109.3833333333,40
420000,湖北省,2013,114,,,,1.3162,,80,,10073.7166666667,41
420000,湖北省,2012,115,,686765,108433,1.3728,,86,,9856,98
420000,湖北省,2011,115,3,673536.516666667,98309.45,1.4718,38.7108,140,0.3929,7381.28333333333,130.2
420000,湖北省,2010,114,3,655897.266666667,94909.25,1.4147,35.641,584,1.542,,
420000,湖北省,2009,114,3,644316.65,89664,1.3442,33.4602,494,1.3477,,
420000,湖北省,2008,115,3,615713.366666667,85184,1.3501,34.4473,965,2.3938,,
420000,湖北省,2007,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,
430000,湖南省,2019,138,,,,1.0646,,30,,26864,100
430000,湖南省,2018,137,,,,1.0239,,60,,26442,91
430000,湖南省,2017,137,,,,1.2615,,65,,25436.48,116
430000,湖南省,2016,137,,,,1.1065,,100,,26406.65,175
430000,湖南省,2015,138,,,,1.1342,,128,,24131.65,175
430000,湖南省,2014,139,,,,1.1251,,62,,22151.25,986.25
430000,湖南省,2013,139,,,,1.083,,57,,22364.2166666667,868.5
430000,湖南省,2012,139,,734411,135676,1.0784,,23,,21145,883
430000,湖南省,2011,139,,722683.816666667,134529.983333333,1.1083,29.0079,410,1.0252,21434.6666666667,954.833333333333
430000,湖南省,2010,139,,714479.7,127606,1.0136,26.4516,476,1.3181,,
430000,湖南省,2009,138,,693892.466666667,129620,1.0372,25.68,447,1.2324,,
430000,湖南省,2008,137,,714210.666666667,124103,1.1435,25.3202,1199,2.5575,,
430000,湖南省,2007,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,
440000,广东省,2019,165,,,,0.6497,,12,,35880,
440000,广东省,2018,159,,,,0.6259,,24,,33097,
440000,广东省,2017,154,,,,0.6827,,30,,29742.85,
440000,广东省,2016,142,,,,0.5257,,36,,32525.4,60
440000,广东省,2015,222,,,,0.4989,,53,,22600.4166666667,180
440000,广东省,2014,163,,,,0.5446,,101,,24744.6666666667,1131.3333333333
440000,广东省,2013,134,,,,0.5803,,54,,25206.8,827.666666666667
440000,广东省,2012,153,,744564,173771,0.6496,,84,,26264,285
440000,广东省,2011,158,,781663.8,148701.133333333,0.6228,19.3621,122,0.3759,21279.3166666667,1651
440000,广东省,2010,159,,662706.433333333,126595,0.7413,20.4161,222,0.5714,,
440000,广东省,2009,153,6,678278.883333333,114538,0.6638,20.1307,282,1.1139,,
440000,广东省,2008,152,8,653263.966666667,124308,0.5807,16.1629,179,0.5471,,
440000,广东省,2007,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,
450000,广西壮族自治区,2019,117,,,,0.6343,,41,,10254,
450000,广西壮族自治区,2018,116,,,,0.6419,,46,,9277,
450000,广西壮族自治区,2017,116,,,,0.6166,,79,,10477.08,
450000,广西壮族自治区,2016,116,,,,0.6096,,87,,11361.33,
450000,广西壮族自治区,2015,117,,,,0.5666,,118,,12336.7833333333,102
450000,广西壮族自治区,2014,117,,,,0.5439,,28,,10580.15,
450000,广西壮族自治区,2013,116,,,,0.6573,,63,,8656.4,
450000,广西壮族自治区,2012,116,,529407,88403,0.6358,,240,,7329,183
450000,广西壮族自治区,2011,115,,485286.766666667,102762.833333333,0.6039,16.4683,235,0.3301,7863.43333333333,242.5
450000,广西壮族自治区,2010,116,,481170.9,80594,0.6367,16.8408,148,0.3287,,
450000,广西壮族自治区,2009,114,,452354.033333333,77924,0.6002,16.1757,255,0.599,,
450000,广西壮族自治区,2008,114,,399703.116666667,86113,0.4989,13.0098,190,0.5011,,
450000,广西壮族自治区,2007,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,
460000,海南省,2019,16,,,,0.0649,,,,6577,
460000,海南省,2018,16,,,,0.0845,,,,4890,
460000,海南省,2017,16,,,,0.0916,,,,5290.5,
460000,海南省,2016,16,,,,0.0679,,25,,3514.18,
460000,海南省,2015,16,,,,0.0733,,36,,4350.4666666667,
460000,海南省,2014,15,,,,0.0875,,,,1377.0833333333,260
460000,海南省,2013,15,,,,0.0889,,,,2881.36666666667,
460000,海南省,2012,15,,89675,16895,0.0759,,4,,2443,323
460000,海南省,2011,14,,81779.8,16870.45,0.0568,2.2953,2,0.004,2575.21666666667,323.333333333333
460000,海南省,2010,14,,80124.85,9723,0.0647,2.0852,7,0.014,,
460000,海南省,2009,14,,78847.3,9794,0.0728,2.062,,,,
460000,海南省,2008,15,,85439.6333333333,11473,0.1009,2.7413,16,0.0494,,
460000,海南省,2007,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,
500000,重庆市,2019,47,,,,0.282,,,,8719,
500000,重庆市,2018,46,,,,0.2836,,,,8626,
500000,重庆市,2017,46,,,,0.3106,,,,9944.83,120
500000,重庆市,2016,46,,,,0.3739,,,,7742.75,
500000,重庆市,2015,46,,,,0.3651,,39,,9161.2833333333,
500000,重庆市,2014,46,,,,0.5142,,67,,7928.25,
500000,重庆市,2013,46,,,,0.4779,,277,,6972.8,40.5833333333333
500000,重庆市,2012,45,,280961,59467,0.4716,,157,,6538,548
500000,重庆市,2011,45,9,261657.866666667,50441.8166666667,0.4176,10.7283,181,0.3625,7874.71666666667,78.6666666666667
500000,重庆市,2010,45,9,250503.7,54125,0.3792,9.6239,283,0.7611,,
500000,重庆市,2009,45,9,244384.25,60077,0.372,9.7105,246,0.5959,,
500000,重庆市,2008,45,9,216573.366666667,51728,0.3816,9.4869,245,0.66,,
500000,重庆市,2007,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,
510000,四川省,2019,217,,,,1.6985,,35,,21216,
510000,四川省,2018,213,,,,1.6296,,117,,21040,104
510000,四川省,2017,213,,,,1.8189,,131,,19715.62,361
510000,四川省,2016,211,,,,1.7671,,234,,17392.98,351.33
510000,四川省,2015,212,,,,2.0465,,252,,16199.1666666667,352.1166666667
510000,四川省,2014,208,,,,1.8079,,304,,18023.1333333333,457.8333333333
510000,四川省,2013,205,,,,1.7884,,181,,16230.3166666667,579.666666666667
510000,四川省,2012,203,,1075951,110870,1.8046,,207,,16534,1055
