省份编码,省份,年份,录音制品出版种数(种),录音制品出版数量(万盒),新版录音制品出版种数(种),新版录音制品出版数量(万盒),录音制品发行数量(万盒),录音带出版出版种数(种),录音带出版数量(万盒),新版录音带出版种数(种),新版录音带出版数量(万盒),激光唱盘出版出版种数(种),激光唱盘出版数量(万盒),新版激光唱盘出版种数(种),新版激光唱盘出版数量(万盒),高密度激光唱盘及其他出版种数(种),高密度激光唱盘及其他出版数量(万盒),新版高密度激光唱盘及其他出版种数(种),新版高密度激光唱盘及其他出版数量(万盒)
150000,内蒙古自治区,2009,26,21.1,26,21.1,9.1,,,,,26,21.1,26,21.1,,,,
150000,内蒙古自治区,2008,35,68.54,35,68.54,5.4,,,,,35,68.54,35,68.54,,,,
150000,内蒙古自治区,2007,,,,,,,,,,95,123.61,,,1,0.1,,
150000,内蒙古自治区,2006,,,,,,,,,,127,173.81,,,2,2.2,,
150000,内蒙古自治区,2005,,,,,,2,0.4,,,91,155.16,,,,,,
150000,内蒙古自治区,2004,,,,,,10,1.04,,,116,143.59,,,,,,
150000,内蒙古自治区,2003,,,,,,45,72.5,,,84,125.2,,,,,,
150000,内蒙古自治区,2002,,,,,,7,1.7,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,5,2.35,,,4,1.1,,,,,,
150000,内蒙古自治区,2000,,,,,,12,4.8,,,5,1.6,,,,,,
210000,辽宁省,2019,100,99.868,,,,,,,,,,,,,,,
210000,辽宁省,2018,136,104.6209,,,,,,,,,,,,,,,
210000,辽宁省,2017,178,84.7190000000001,,,,,,,,,,,,,,,
210000,辽宁省,2016,193,89.65,,,,,,,,,,,,,,,
210000,辽宁省,2015,192,26.0642,,,,,,,,,,,,,,,
210000,辽宁省,2014,92,127.88,,,342.16,,,,,,,,,,,,
210000,辽宁省,2013,,,,,,,,,,,,,,,,,
210000,辽宁省,2012,,,,,,,,,,,,,,,,,
210000,辽宁省,2011,373,238.07,245,144.05,464.56,35,25.7,19,7.9,63,37.02,63,37.02,275,175.35,163,99.13
210000,辽宁省,2010,387,321.63,327,277.07,732.86,55,21.08,49,19.65,127,174.63,127,174.62,205,125.92,151,82.8
210000,辽宁省,2009,511,340.6,467,320.94,970.08,44,18.41,35,15.3,294,201.5,294,201.5,173,120.69,138,104.14
210000,辽宁省,2008,770,483.22,686,433.5,493.12,92,76.3,69,67.54,480,264.02,478,263.03,198,142.9,139,102.93
210000,辽宁省,2007,,,,,,109,34.94,,,187,60.04,,,97,54.71,,
210000,辽宁省,2006,,,,,,1,1.0,,,61,99.77,,,,,,
210000,辽宁省,2005,,,,,,108,122.42,,,66,32.24,,,,,,
210000,辽宁省,2004,,,,,,135,313.47,,,138,140.35,,,1,0.25,,
210000,辽宁省,2003,,,,,,80,229.36,,,42,27.6,,,,,,
210000,辽宁省,2002,,,,,,226,525.3,,,8,2.1,,,,,,
210000,辽宁省,2001,,,,,,77,314.59,,,49,60.6,,,,,,
210000,辽宁省,2000,,,,,,50,226.04,,,38,44.42,,,,,,
220000,吉林省,2019,86,130.388,,,,,,,,,,,,,,,
220000,吉林省,2018,123,173.14,,,,,,,,,,,,,,,
220000,吉林省,2017,126,164.726,,,,,,,,,,,,,,,
220000,吉林省,2016,125,172.83,,,,,,,,,,,,,,,
220000,吉林省,2015,118,176.05,,,,,,,,,,,,,,,
220000,吉林省,2014,100,18.5,,,84.201,,,,,,,,,,,,
220000,吉林省,2013,,,,,,,,,,,,,,,,,
220000,吉林省,2012,,,,,,,,,,,,,,,,,
220000,吉林省,2011,68,22.24,56,15.19,43.54,6,1.81,6,1.81,51,15.67,40,8.82,11,4.76,10,4.56
220000,吉林省,2010,59,24.02,54,20.52,82.77,10,2.8,10,2.8,46,17.62,41,14.12,3,3.6,3,3.6
220000,吉林省,2009,102,17.17,100,16.97,55.74,11,3.73,11,3.73,88,11.94,86,11.74,3,1.5,3,1.5
220000,吉林省,2008,116,72.91,115,72.71,92.35,20,25.2,20,25.2,96,47.71,95,47.51,,,,
220000,吉林省,2007,,,,,,19,13.8,,,53,44.25,,,,,,
220000,吉林省,2006,,,,,,38,34.11,,,62,34.24,,,1,1.8,,
220000,吉林省,2005,,,,,,13,6.6,,,171,173.82,,,1,1.8,,
220000,吉林省,2004,,,,,,29,34.8,,,38,63.7,,,,,,
220000,吉林省,2003,,,,,,34,7.1,,,19,9.9,,,,,,
220000,吉林省,2002,,,,,,87,29.4,,,9,1.6,,,,,,
220000,吉林省,2001,,,,,,34,30.4,,,32,10.5,,,,,,
220000,吉林省,2000,,,,,,16,5.1,,,11,2.05,,,,,,
230000,黑龙江省,2019,6,0.06,,,,,,,,,,,,,,,
230000,黑龙江省,2018,3,0.1515,,,,,,,,,,,,,,,
230000,黑龙江省,2017,1,,,,,,,,,,,,,,,,
230000,黑龙江省,2016,5,0.12,,,,,,,,,,,,,,,
230000,黑龙江省,2015,28,1.7,,,,,,,,,,,,,,,
230000,黑龙江省,2014,,,,,,,,,,,,,,,,,
230000,黑龙江省,2013,,,,,,,,,,,,,,,,,
230000,黑龙江省,2012,,,,,,,,,,,,,,,,,
230000,黑龙江省,2011,6,2.4,3,1.2,2.4,,,,,,,,,6,2.4,3,1.2
230000,黑龙江省,2010,28,17.1,28,17.1,12.1,19,13.6,19,13.6,1,0.4,1,0.4,8,3.1,8,3.1
230000,黑龙江省,2009,8,2.94,8,2.94,4.5,,,,,1,0.1,1,0.1,7,2.84,7,2.84
230000,黑龙江省,2008,16,8.72,16,8.72,32.5,12,7.2,12,7.2,1,0.1,1,0.1,3,1.42,3,1.42
230000,黑龙江省,2007,,,,,,21,8.7,,,14,4.0,,,,,,
230000,黑龙江省,2006,,,,,,26,4.72,,,8,1.85,,,,,,
230000,黑龙江省,2005,,,,,,41,5.1,,,32,12.1,,,,,,
230000,黑龙江省,2004,,,,,,40,12.83,,,66,100.4,,,,,,
230000,黑龙江省,2003,,,,,,10,1.28,,,17,3.65,,,,,,
230000,黑龙江省,2002,,,,,,8,5.6,,,4,0.7,,,,,,
230000,黑龙江省,2001,,,,,,14,6.25,,,5,2.05,,,,,,
230000,黑龙江省,2000,,,,,,4,0.4,,,2,0.8,,,,,,
310000,上海市,2019,1225,778.6752,,,,,,,,,,,,,,,
310000,上海市,2018,1364,1191.2236,,,,,,,,,,,,,,,
310000,上海市,2017,2399,2037.4261,,,,,,,,,,,,,,,
310000,上海市,2016,2538,2989.82,,,,,,,,,,,,,,,
310000,上海市,2015,3765,3046.1117,,,,,,,,,,,,,,,
310000,上海市,2014,3042,3174.83,,,2866.04,,,,,,,,,,,,
310000,上海市,2013,,,,,,,,,,,,,,,,,
310000,上海市,2012,,,,,,,,,,,,,,,,,
310000,上海市,2011,1928,2641.07,795,1058.25,2741.43,562,1330.53,81,297.72,1046,855.04,560,552.15,320,455.5,154,208.38
310000,上海市,2010,1887,2312.75,948,740.55,2308.76,616,1325.43,117,198.24,1008,540.32,682,354.76,263,447.0,149,187.55
310000,上海市,2009,2091,1786.16,839,541.97,1856.6,989,1168.35,148,186.48,868,334.01,531,234.4,234,283.8,160,121.09
310000,上海市,2008,2157,1960.61,915,707.63,1720.65,1023,1316.03,190,192.45,878,473.85,531,393.09,256,170.73,194,122.09
310000,上海市,2007,,,,,,2652,1702.58,,,2069,592.41,,,122,104.21,,
310000,上海市,2006,,,,,,2693,3394.06,,,1617,726.61,,,14,6.0,,
310000,上海市,2005,,,,,,3071,3158.29,,,1883,764.16,,,,,,
310000,上海市,2004,,,,,,3296,4504.21,,,1844,684.89,,,4,1.88,,
310000,上海市,2003,,,,,,2127,4482.54,,,755,261.11,,,6,4.73,,
310000,上海市,2002,,,,,,2196,4915.1,,,628,171.3,,,,,,
310000,上海市,2001,,,,,,1587,4070.28,,,620,152.78,,,2,0.6,,
310000,上海市,2000,,,,,,1563,2588.97,,,419,79.63,,,,,,
320000,江苏省,2019,179,552.9984,,,,,,,,,,,,,,,
320000,江苏省,2018,209,1116.7044,,,,,,,,,,,,,,,
320000,江苏省,2017,151,1058.7921,,,,,,,,,,,,,,,
320000,江苏省,2016,189,1047.67,,,,,,,,,,,,,,,
320000,江苏省,2015,216,1016.6718,,,,,,,,,,,,,,,
320000,江苏省,2014,274,967.63,,,581.0,,,,,,,,,,,,
320000,江苏省,2013,,,,,,,,,,,,,,,,,
320000,江苏省,2012,,,,,,,,,,,,,,,,,
320000,江苏省,2011,415,965.77,231,180.02,429.91,159,700.53,77,5.25,243,256.14,141,165.67,13,9.1,13,9.1
320000,江苏省,2010,295,915.18,150,79.6,917.49,107,756.09,46,4.8,172,147.34,89,63.45,16,11.75,15,11.35
320000,江苏省,2009,307,997.22,123,68.59,985.75,97,827.3,21,2.33,185,157.82,78,54.56,25,12.1,24,11.7
320000,江苏省,2008,331,790.16,188,110.88,776.26,117,610.22,34,19.19,187,167.83,133,82.18,27,12.11,21,9.51
320000,江苏省,2007,,,,,,122,384.13,,,395,175.62,,,,,,
320000,江苏省,2006,,,,,,180,112.63,,,207,138.33,,,1,0.1,,
320000,江苏省,2005,,,,,,114,83.17,,,122,87.41,,,,,,
320000,江苏省,2004,,,,,,187,229.56,,,127,104.58,,,5,0.7,,
320000,江苏省,2003,,,,,,181,392.49,,,132,121.78,,,,,,
320000,江苏省,2002,,,,,,159,415.2,,,135,98.7,,,,,,
320000,江苏省,2001,,,,,,152,357.97,,,142,54.4,,,1,0.25,,
320000,江苏省,2000,,,,,,70,163.2,,,129,45.09,,,,,,
330000,浙江省,2019,74,216.0943,,,,,,,,,,,,,,,
330000,浙江省,2018,115,290.6725,,,,,,,,,,,,,,,
330000,浙江省,2017,102,301.7166,,,,,,,,,,,,,,,
330000,浙江省,2016,141,299.01,,,,,,,,,,,,,,,
330000,浙江省,2015,117,396.1788,,,,,,,,,,,,,,,
330000,浙江省,2014,71,297.9,,,351.2,,,,,,,,,,,,
330000,浙江省,2013,,,,,,,,,,,,,,,,,
330000,浙江省,2012,,,,,,,,,,,,,,,,,
330000,浙江省,2011,108,311.89,57,22.89,1512.75,48,288.08,2,0.09,59,23.51,54,22.5,1,0.3,1,0.3
330000,浙江省,2010,117,313.55,67,54.37,1178.98,49,259.31,2,0.85,68,54.24,65,53.52,,,,
330000,浙江省,2009,157,293.6,78,39.87,322.17,80,253.82,17,6.24,77,39.78,61,33.63,,,,
330000,浙江省,2008,178,229.02,76,27.16,915.94,111,205.14,18,12.47,62,20.32,57,13.18,5,3.56,1,1.51
330000,浙江省,2007,,,,,,160,155.91,,,36,17.08,,,,,,
330000,浙江省,2006,,,,,,205,252.18,,,68,75.2,,,,,,
330000,浙江省,2005,,,,,,160,87.59,,,54,42.74,,,,,,
330000,浙江省,2004,,,,,,137,57.73,,,58,40.57,,,,,,
330000,浙江省,2003,,,,,,181,40.97,,,61,20.5,,,,,,
330000,浙江省,2002,,,,,,123,74.9,,,58,19.5,,,,,,
330000,浙江省,2001,,,,,,160,149.26,,,82,45.18,,,,,,
330000,浙江省,2000,,,,,,117,173.85,,,129,50.11,,,,,,
340000,安徽省,2019,13,0.38,,,,,,,,,,,,,,,
340000,安徽省,2018,15,4.275,,,,,,,,,,,,,,,
340000,安徽省,2017,13,8.41,,,,,,,,,,,,,,,
340000,安徽省,2016,47,22.72,,,,,,,,,,,,,,,
340000,安徽省,2015,65,32.6678,,,,,,,,,,,,,,,
340000,安徽省,2014,56,18.26,,,56.45,,,,,,,,,,,,
340000,安徽省,2013,,,,,,,,,,,,,,,,,
340000,安徽省,2012,,,,,,,,,,,,,,,,,
340000,安徽省,2011,108,58.44,100,53.03,517.68,57,36.42,50,31.51,46,19.98,46,19.98,5,2.04,4,1.54
340000,安徽省,2010,79,38.56,67,37.63,157.79,43,18.92,31,17.99,18,11.82,18,11.82,18,7.82,18,7.82
340000,安徽省,2009,69,22.27,66,20.82,83.55,46,9.88,46,9.88,21,11.12,19,10.72,2,1.27,1,0.22
340000,安徽省,2008,73,32.57,71,32.17,14.25,59,24.02,58,23.92,9,6.81,9,6.81,5,1.74,4,1.44
340000,安徽省,2007,,,,,,15,4.58,,,22,10.23,,,4,1.72,,
340000,安徽省,2006,,,,,,75,20.92,,,139,89.6,,,,,,
340000,安徽省,2005,,,,,,95,58.95,,,61,12.61,,,,,,
340000,安徽省,2004,,,,,,154,127.4,,,158,69.1,,,,,,
340000,安徽省,2003,,,,,,199,149.09,,,65,22.9,,,,,,
340000,安徽省,2002,,,,,,202,354.3,,,65,28.5,,,,,,
340000,安徽省,2001,,,,,,123,204.69,,,6,5.3,,,,,,
340000,安徽省,2000,,,,,,89,110.73,,,,,,,,,,
350000,福建省,2019,29,7.8702,,,,,,,,,,,,,,,
350000,福建省,2018,26,27.1847,,,,,,,,,,,,,,,
350000,福建省,2017,44,8.4059,,,,,,,,,,,,,,,
350000,福建省,2016,32,9.6,,,,,,,,,,,,,,,
350000,福建省,2015,30,6.785,,,,,,,,,,,,,,,
350000,福建省,2014,54,18.81,,,59.6,,,,,,,,,,,,
350000,福建省,2013,,,,,,,,,,,,,,,,,
350000,福建省,2012,,,,,,,,,,,,,,,,,
350000,福建省,2011,61,39.99,34,9.03,102.03,56,37.09,29,6.13,5,2.9,5,2.9,,,,
350000,福建省,2010,86,70.22,57,35.63,102.15,52,36.46,24,2.37,33,33.66,32,33.16,1,0.1,1,0.1
350000,福建省,2009,98,87.83,60,13.64,156.21,61,39.23,33,3.04,37,48.6,27,10.6,,,,
350000,福建省,2008,78,77.21,46,31.32,110.44,51,57.41,28,22.52,27,19.8,18,8.8,,,,
350000,福建省,2007,,,,,,42,20.36,,,32,28.85,,,,,,
350000,福建省,2006,,,,,,63,44.54,,,25,19.14,,,,,,
350000,福建省,2005,,,,,,57,44.85,,,70,166.7,,,1,4.0,,
350000,福建省,2004,,,,,,65,49.52,,,63,133.23,,,2,4.0,,
350000,福建省,2003,,,,,,108,278.33,,,92,303.6,,,1,4.5,,
350000,福建省,2002,,,,,,52,53.6,,,30,39.0,,,,,,
350000,福建省,2001,,,,,,35,57.89,,,16,19.65,,,,,,
350000,福建省,2000,,,,,,18,74.93,,,37,37.43,,,,,,
360000,江西省,2019,87,80.5297,,,,,,,,,,,,,,,
360000,江西省,2018,57,29.547,,,,,,,,,,,,,,,
360000,江西省,2017,163,125.37,,,,,,,,,,,,,,,
360000,江西省,2016,168,69.93,,,,,,,,,,,,,,,
360000,江西省,2015,73,40.01,,,,,,,,,,,,,,,
360000,江西省,2014,240,123.02,,,1468.05,,,,,,,,,,,,
360000,江西省,2013,,,,,,,,,,,,,,,,,
360000,江西省,2012,,,,,,,,,,,,,,,,,
360000,江西省,2011,117,75.22,117,75.22,119.83,64,47.47,64,47.47,53,27.75,53,27.75,,,,
360000,江西省,2010,83,79.99,68,70.03,153.48,33,43.88,31,43.78,47,35.41,34,25.55,3,0.7,3,0.7
360000,江西省,2009,113,79.11,57,66.45,125.77,29,58.55,29,58.55,84,20.56,28,7.9,,,,
360000,江西省,2008,64,79.78,53,59.87,91.14,31,68.42,20,48.51,32,11.26,32,11.26,1,0.1,1,0.1
360000,江西省,2007,,,,,,64,113.55,,,95,70.08,,,,,,
360000,江西省,2006,,,,,,49,91.17,,,134,164.31,,,,,,
360000,江西省,2005,,,,,,113,153.88,,,211,201.27,,,1,0.51,,
360000,江西省,2004,,,,,,92,92.26,,,195,154.41,,,,,,
360000,江西省,2003,,,,,,149,203.61,,,104,127.47,,,,,,
360000,江西省,2002,,,,,,166,188.5,,,64,19.0,,,,,,
360000,江西省,2001,,,,,,74,48.6,,,134,118.1,,,,,,
360000,江西省,2000,,,,,,74,116.88,,,32,11.6,,,,,,
370000,山东省,2019,125,131.1396,,,,,,,,,,,,,,,
370000,山东省,2018,100,11.87,,,,,,,,,,,,,,,
370000,山东省,2017,91,26.625,,,,,,,,,,,,,,,
370000,山东省,2016,134,21.21,,,,,,,,,,,,,,,
370000,山东省,2015,183,320.9384,,,,,,,,,,,,,,,
370000,山东省,2014,112,29.66,,,919.56,,,,,,,,,,,,
370000,山东省,2013,,,,,,,,,,,,,,,,,
370000,山东省,2012,,,,,,,,,,,,,,,,,
370000,山东省,2011,151,25.03,70,22.77,1294.16,67,9.42,25,7.16,45,15.61,45,15.61,39,,,
370000,山东省,2010,105,55.97,105,55.97,1356.07,14,28.87,14,28.87,91,27.1,91,27.1,,,,
370000,山东省,2009,306,300.91,189,116.88,756.42,112,177.09,18,11.96,194,123.82,171,104.92,,,,
370000,山东省,2008,286,210.34,247,118.5,924.97,69,115.64,31,24.4,216,94.5,215,93.9,1,0.2,1,0.2
370000,山东省,2007,,,,,,106,107.35,,,379,121.61,,,1,0.5,,
370000,山东省,2006,,,,,,143,136.1,,,703,314.97,,,12,2.02,,
370000,山东省,2005,,,,,,143,393.56,,,788,1088.21,,,1,0.2,,
370000,山东省,2004,,,,,,55,336.26,,,68,104.95,,,,,,
370000,山东省,2003,,,,,,12,3.0,,,11,7.8,,,,,,
370000,山东省,2002,,,,,,64,65.8,,,20,20.3,,,,,,
370000,山东省,2001,,,,,,13,4.67,,,9,2.5,,,,,,
370000,山东省,2000,,,,,,11,3.4,,,9,5.05,,,,,,
410000,河南省,2019,8,0.95,,,,,,,,,,,,,,,
410000,河南省,2018,6,1.4,,,,,,,,,,,,,,,
410000,河南省,2017,4,1.66,,,,,,,,,,,,,,,
410000,河南省,2016,2,0.9,,,,,,,,,,,,,,,
410000,河南省,2015,3,0.55,,,,,,,,,,,,,,,
410000,河南省,2014,23,3.95,,,27.4,,,,,,,,,,,,
410000,河南省,2013,,,,,,,,,,,,,,,,,
410000,河南省,2012,,,,,,,,,,,,,,,,,
410000,河南省,2011,57,69.61,56,64.61,72.55,40,26.16,40,26.16,16,43.35,15,38.35,1,0.1,1,0.1
410000,河南省,2010,48,9.57,48,9.57,36.33,37,5.73,37,5.73,10,3.34,10,3.34,1,0.5,1,0.5
410000,河南省,2009,38,6.49,18,5.8,11.4,20,0.69,,,17,3.4,17,3.4,1,2.4,1,2.4
410000,河南省,2008,77,5.64,8,1.9,12.32,69,3.74,,,7,1.8,7,1.8,1,0.1,1,0.1
410000,河南省,2007,,,,,,105,4.92,,,22,2.51,,,,,,
410000,河南省,2006,,,,,,160,21.25,,,34,6.48,,,,,,
410000,河南省,2005,,,,,,136,24.47,,,8,3.5,,,,,,
410000,河南省,2004,,,,,,42,6.24,,,8,2.4,,,,,,
410000,河南省,2003,,,,,,48,17.0,,,88,11.3,,,,,,
410000,河南省,2002,,,,,,48,12.8,,,19,3.6,,,1,0.1,,
410000,河南省,2001,,,,,,9,3.38,,,1,0.8,,,,,,
410000,河南省,2000,,,,,,30,8.47,,,4,1.5,,,,,,
420000,湖北省,2019,21,3.8,,,,,,,,,,,,,,,
420000,湖北省,2018,38,6.4,,,,,,,,,,,,,,,
420000,湖北省,2017,42,11.8078,,,,,,,,,,,,,,,
420000,湖北省,2016,60,15.43,,,,,,,,,,,,,,,
420000,湖北省,2015,50,20.5263,,,,,,,,,,,,,,,
420000,湖北省,2014,45,28.64,,,247.65,,,,,,,,,,,,
420000,湖北省,2013,,,,,,,,,,,,,,,,,
420000,湖北省,2012,,,,,,,,,,,,,,,,,
420000,湖北省,2011,166,58.66,138,51.15,507.16,24,18.62,21,17.72,87,22.37,83,21.67,55,17.67,34,11.76
420000,湖北省,2010,214,114.16,178,106.37,387.94,71,49.12,70,48.92,97,50.25,80,48.45,46,14.79,28,9.0
420000,湖北省,2009,240,255.57,223,248.77,731.03,16,23.0,16,23.0,190,220.47,189,219.27,34,12.1,18,6.5
420000,湖北省,2008,194,156.91,157,138.32,217.58,46,44.31,40,41.11,108,95.9,93,86.9,40,16.7,24,10.31
420000,湖北省,2007,,,,,,103,99.23,,,36,25.95,,,56,20.44,,
420000,湖北省,2006,,,,,,167,205.44,,,101,95.43,,,,,,
420000,湖北省,2005,,,,,,88,220.51,,,104,24.51,,,,,,
420000,湖北省,2004,,,,,,401,316.77,,,167,65.19,,,,,,
420000,湖北省,2003,,,,,,299,450.02,,,75,87.47,,,1,1.0,,
420000,湖北省,2002,,,,,,286,262.6,,,95,100.0,,,,,,
420000,湖北省,2001,,,,,,233,181.32,,,37,21.33,,,,,,
420000,湖北省,2000,,,,,,124,91.72,,,116,54.38,,,,,,
430000,湖南省,2019,103,261.4045,,,,,,,,,,,,,,,
430000,湖南省,2018,117,335.8738,,,,,,,,,,,,,,,
430000,湖南省,2017,133,264.3473,,,,,,,,,,,,,,,
