省份编码,省份,年份,电子出版物品出版种数(种),电子出版物出版数量(万张),新版电子出版物品出版种数(种),新版电子出版物出版数量(万张),只读光盘品出版种数(种),只读光盘出版数量(万张),新版只读光盘品出版种数(种),新版只读光盘出版数量(万张),高密度只读光盘品出版种数(种),高密度只读光盘出版数量(万张),新版高密度只读光盘品出版种数(种),新版高密度只读光盘出版数量(万张),交互式光盘及其他品出版种数(种),交互式光盘及其他出版数量(万张),新版交互式光盘及其他品出版种数(种),新版交互式光盘及其他出版数量(万张)
150000,内蒙古自治区,2005,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,,
210000,辽宁省,2019,142,93.9932999999999,,,,,,,,,,,,,,
210000,辽宁省,2018,193,176.5097,,,,,,,,,,,,,,
210000,辽宁省,2017,257,238.7485,,,,,,,,,,,,,,
210000,辽宁省,2016,202,292.71,,,,,,,,,,,,,,
210000,辽宁省,2015,222,311.8888,,,,,,,,,,,,,,
210000,辽宁省,2014,287,365.33,,,,,,,,,,,,,,
210000,辽宁省,2013,,,,,,,,,,,,,,,,
210000,辽宁省,2012,260,314.87,,,,,,,,,,,,,,
210000,辽宁省,2011,285,390.32,206,108.24,271,386.06,195,104.98,12,4.27,9,3.27,2,,2,
210000,辽宁省,2010,,,,,,,,,,,,,,,,
210000,辽宁省,2009,,,,,,,,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,,
220000,吉林省,2019,59,17.5687,,,,,,,,,,,,,,
220000,吉林省,2018,35,17.3658,,,,,,,,,,,,,,
220000,吉林省,2017,57,29.9165,,,,,,,,,,,,,,
220000,吉林省,2016,93,31.7,,,,,,,,,,,,,,
220000,吉林省,2015,104,43.323,,,,,,,,,,,,,,
220000,吉林省,2014,60,8.4,,,,,,,,,,,,,,
220000,吉林省,2013,,,,,,,,,,,,,,,,
220000,吉林省,2012,103,19.35,,,,,,,,,,,,,,
220000,吉林省,2011,196,56.7,196,56.7,49,31.1,49,31.1,9,1.6,9,1.6,138,24.0,138,24.0
220000,吉林省,2010,,,,,,,,,,,,,,,,
220000,吉林省,2009,,,,,,,,,,,,,,,,
220000,吉林省,2008,,,,,,,,,,,,,,,,
220000,吉林省,2007,,,,,,,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,12,79.4543,,,,,,,,,,,,,,
230000,黑龙江省,2018,5,0.37,,,,,,,,,,,,,,
230000,黑龙江省,2017,3,1.5,,,,,,,,,,,,,,
230000,黑龙江省,2016,,,,,,,,,,,,,,,,
230000,黑龙江省,2015,,,,,,,,,,,,,,,,
230000,黑龙江省,2014,,,,,,,,,,,,,,,,
230000,黑龙江省,2013,,,,,,,,,,,,,,,,
230000,黑龙江省,2012,,,,,,,,,,,,,,,,
230000,黑龙江省,2011,,,,,,,,,,,,,,,,
230000,黑龙江省,2010,,,,,,,,,,,,,,,,
230000,黑龙江省,2009,,,,,,,,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,,,,,
310000,上海市,2019,464,943.004399999999,,,,,,,,,,,,,,
310000,上海市,2018,558,1305.9685,,,,,,,,,,,,,,
310000,上海市,2017,748,1456.5044,,,,,,,,,,,,,,
310000,上海市,2016,808,1545.73,,,,,,,,,,,,,,
310000,上海市,2015,754,1403.9903,,,,,,,,,,,,,,
310000,上海市,2014,797,1656.62,,,,,,,,,,,,,,
310000,上海市,2013,,,,,,,,,,,,,,,,
310000,上海市,2012,634,1559.41,,,,,,,,,,,,,,
310000,上海市,2011,652,1686.19,398,215.2,529,1627.81,299,200.25,69,55.78,45,12.35,54,2.59,54,2.59
310000,上海市,2010,,,,,,,,,,,,,,,,
310000,上海市,2009,,,,,,,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,,,,,
320000,江苏省,2019,490,2577.3219,,,,,,,,,,,,,,
320000,江苏省,2018,478,1843.4579,,,,,,,,,,,,,,
320000,江苏省,2017,304,2717.7585,,,,,,,,,,,,,,
320000,江苏省,2016,498,3066.24,,,,,,,,,,,,,,
320000,江苏省,2015,472,2727.6797,,,,,,,,,,,,,,
320000,江苏省,2014,458,2812.59,,,,,,,,,,,,,,
320000,江苏省,2013,,,,,,,,,,,,,,,,
320000,江苏省,2012,452,1922.83,,,,,,,,,,,,,,
320000,江苏省,2011,337,1314.56,99,757.13,292,1275.41,81,732.48,44,39.13,17,24.63,1,0.02,1,0.02
320000,江苏省,2010,,,,,,,,,,,,,,,,
320000,江苏省,2009,,,,,,,,,,,,,,,,
320000,江苏省,2008,,,,,,,,,,,,,,,,
320000,江苏省,2007,,,,,,,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,,,,,
330000,浙江省,2019,418,968.7189,,,,,,,,,,,,,,
330000,浙江省,2018,287,942.8869,,,,,,,,,,,,,,
330000,浙江省,2017,326,802.215,,,,,,,,,,,,,,
330000,浙江省,2016,308,711.67,,,,,,,,,,,,,,
330000,浙江省,2015,282,141.0039,,,,,,,,,,,,,,
330000,浙江省,2014,366,839.52,,,,,,,,,,,,,,
330000,浙江省,2013,,,,,,,,,,,,,,,,
330000,浙江省,2012,307,576.81,,,,,,,,,,,,,,
330000,浙江省,2011,160,740.94,82,49.06,153,739.07,75,47.19,7,1.87,7,1.87,,,,
330000,浙江省,2010,,,,,,,,,,,,,,,,
330000,浙江省,2009,,,,,,,,,,,,,,,,
330000,浙江省,2008,,,,,,,,,,,,,,,,
330000,浙江省,2007,,,,,,,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,,,,,
340000,安徽省,2019,7,1.281,,,,,,,,,,,,,,
340000,安徽省,2018,5,1.205,,,,,,,,,,,,,,
340000,安徽省,2017,12,2.234,,,,,,,,,,,,,,
340000,安徽省,2016,15,3.11,,,,,,,,,,,,,,
340000,安徽省,2015,18,3.523,,,,,,,,,,,,,,
340000,安徽省,2014,23,74.3,,,,,,,,,,,,,,
340000,安徽省,2013,,,,,,,,,,,,,,,,
340000,安徽省,2012,7,2.26,,,,,,,,,,,,,,
340000,安徽省,2011,24,7.66,22,7.45,24,7.66,22,7.45,,,,,,,,
340000,安徽省,2010,,,,,,,,,,,,,,,,
340000,安徽省,2009,,,,,,,,,,,,,,,,
340000,安徽省,2008,,,,,,,,,,,,,,,,
340000,安徽省,2007,,,,,,,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,,,,,,
350000,福建省,2019,21,8.05449999999999,,,,,,,,,,,,,,
350000,福建省,2018,30,10.152,,,,,,,,,,,,,,
350000,福建省,2017,22,10.085,,,,,,,,,,,,,,
350000,福建省,2016,52,22.53,,,,,,,,,,,,,,
350000,福建省,2015,41,24.5822,,,,,,,,,,,,,,
350000,福建省,2014,32,8.05,,,,,,,,,,,,,,
350000,福建省,2013,,,,,,,,,,,,,,,,
350000,福建省,2012,63,19.06,,,,,,,,,,,,,,
350000,福建省,2011,64,7.93,30,5.54,62,7.73,28,5.34,2,0.2,2,0.2,,,,
350000,福建省,2010,,,,,,,,,,,,,,,,
350000,福建省,2009,,,,,,,,,,,,,,,,
350000,福建省,2008,,,,,,,,,,,,,,,,
350000,福建省,2007,,,,,,,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,,,,,,
360000,江西省,2019,32,6.7586,,,,,,,,,,,,,,
360000,江西省,2018,46,11.9288,,,,,,,,,,,,,,
360000,江西省,2017,72,9.03899999999999,,,,,,,,,,,,,,
360000,江西省,2016,69,37.61,,,,,,,,,,,,,,
360000,江西省,2015,10,8.06,,,,,,,,,,,,,,
360000,江西省,2014,32,19.14,,,,,,,,,,,,,,
360000,江西省,2013,,,,,,,,,,,,,,,,
360000,江西省,2012,16,14.3,,,,,,,,,,,,,,
360000,江西省,2011,50,49.68,49,49.28,43,46.93,42,46.53,7,2.75,7,2.75,,,,
360000,江西省,2010,,,,,,,,,,,,,,,,
360000,江西省,2009,,,,,,,,,,,,,,,,
360000,江西省,2008,,,,,,,,,,,,,,,,
360000,江西省,2007,,,,,,,,,,,,,,,,
360000,江西省,2006,,,,,,,,,,,,,,,,
360000,江西省,2005,,,,,,,,,,,,,,,,
360000,江西省,2004,,,,,,,,,,,,,,,,
360000,江西省,2003,,,,,,,,,,,,,,,,
360000,江西省,2002,,,,,,,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,,,,,,
370000,山东省,2019,364,85.3503,,,,,,,,,,,,,,
370000,山东省,2018,281,155.3493,,,,,,,,,,,,,,
370000,山东省,2017,345,357.5687,,,,,,,,,,,,,,
370000,山东省,2016,543,242.01,,,,,,,,,,,,,,
370000,山东省,2015,246,233.288,,,,,,,,,,,,,,
370000,山东省,2014,489,254.62,,,,,,,,,,,,,,
370000,山东省,2013,,,,,,,,,,,,,,,,
370000,山东省,2012,320,157.54,,,,,,,,,,,,,,
370000,山东省,2011,284,126.36,278,107.89,260,112.96,254,94.49,20,13.0,20,13.0,4,0.4,4,0.4
370000,山东省,2010,,,,,,,,,,,,,,,,
370000,山东省,2009,,,,,,,,,,,,,,,,
370000,山东省,2008,,,,,,,,,,,,,,,,
370000,山东省,2007,,,,,,,,,,,,,,,,
370000,山东省,2006,,,,,,,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,,,,,,,
370000,山东省,2002,,,,,,,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,,,,,,
410000,河南省,2019,262,14.2852,,,,,,,,,,,,,,
410000,河南省,2018,145,302.509,,,,,,,,,,,,,,
410000,河南省,2017,133,210.1342,,,,,,,,,,,,,,
410000,河南省,2016,149,203.68,,,,,,,,,,,,,,
410000,河南省,2015,180,553.0,,,,,,,,,,,,,,
410000,河南省,2014,91,29.63,,,,,,,,,,,,,,
410000,河南省,2013,,,,,,,,,,,,,,,,
410000,河南省,2012,65,402.5,,,,,,,,,,,,,,
410000,河南省,2011,91,421.0,80,138.81,40,332.5,29,50.31,51,88.5,51,88.5,,,,
410000,河南省,2010,,,,,,,,,,,,,,,,
410000,河南省,2009,,,,,,,,,,,,,,,,
410000,河南省,2008,,,,,,,,,,,,,,,,
410000,河南省,2007,,,,,,,,,,,,,,,,
410000,河南省,2006,,,,,,,,,,,,,,,,
410000,河南省,2005,,,,,,,,,,,,,,,,
410000,河南省,2004,,,,,,,,,,,,,,,,
410000,河南省,2003,,,,,,,,,,,,,,,,
410000,河南省,2002,,,,,,,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,,,,,,
420000,湖北省,2019,101,18.2086,,,,,,,,,,,,,,
420000,湖北省,2018,108,87.4981,,,,,,,,,,,,,,
420000,湖北省,2017,145,256.4757,,,,,,,,,,,,,,
420000,湖北省,2016,262,52.02,,,,,,,,,,,,,,
420000,湖北省,2015,224,248.7194,,,,,,,,,,,,,,
420000,湖北省,2014,216,489.75,,,,,,,,,,,,,,
420000,湖北省,2013,,,,,,,,,,,,,,,,
420000,湖北省,2012,175,230.35,,,,,,,,,,,,,,
420000,湖北省,2011,121,178.08,67,26.39,103,172.72,50,21.33,17,5.07,16,4.76,1,0.3,1,0.3
420000,湖北省,2010,,,,,,,,,,,,,,,,
420000,湖北省,2009,,,,,,,,,,,,,,,,
420000,湖北省,2008,,,,,,,,,,,,,,,,
420000,湖北省,2007,,,,,,,,,,,,,,,,
420000,湖北省,2006,,,,,,,,,,,,,,,,
420000,湖北省,2005,,,,,,,,,,,,,,,,
420000,湖北省,2004,,,,,,,,,,,,,,,,
420000,湖北省,2003,,,,,,,,,,,,,,,,
420000,湖北省,2002,,,,,,,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,,,,,,
430000,湖南省,2019,93,222.3126,,,,,,,,,,,,,,
430000,湖南省,2018,94,266.6425,,,,,,,,,,,,,,
430000,湖南省,2017,97,172.0457,,,,,,,,,,,,,,
430000,湖南省,2016,117,203.72,,,,,,,,,,,,,,
430000,湖南省,2015,91,329.4858,,,,,,,,,,,,,,
430000,湖南省,2014,51,198.7,,,,,,,,,,,,,,
430000,湖南省,2013,,,,,,,,,,,,,,,,
430000,湖南省,2012,91,326.94,,,,,,,,,,,,,,
430000,湖南省,2011,86,387.63,40,111.35,77,372.81,31,96.89,9,14.82,9,14.46,,,,
430000,湖南省,2010,,,,,,,,,,,,,,,,
430000,湖南省,2009,,,,,,,,,,,,,,,,
430000,湖南省,2008,,,,,,,,,,,,,,,,
430000,湖南省,2007,,,,,,,,,,,,,,,,
430000,湖南省,2006,,,,,,,,,,,,,,,,
430000,湖南省,2005,,,,,,,,,,,,,,,,
430000,湖南省,2004,,,,,,,,,,,,,,,,
430000,湖南省,2003,,,,,,,,,,,,,,,,
430000,湖南省,2002,,,,,,,,,,,,,,,,
430000,湖南省,2001,,,,,,,,,,,,,,,,
430000,湖南省,2000,,,,,,,,,,,,,,,,
440000,广东省,2019,354,917.030599999999,,,,,,,,,,,,,,
440000,广东省,2018,270,588.494,,,,,,,,,,,,,,
440000,广东省,2017,312,1337.9037,,,,,,,,,,,,,,
440000,广东省,2016,304,1178.46,,,,,,,,,,,,,,
440000,广东省,2015,82,93.9136,,,,,,,,,,,,,,
440000,广东省,2014,209,1217.6,,,,,,,,,,,,,,
440000,广东省,2013,,,,,,,,,,,,,,,,
440000,广东省,2012,189,744.09,,,,,,,,,,,,,,
440000,广东省,2011,182,1059.39,111,550.04,155,729.8,84,220.45,9,7.46,9,7.46,18,322.13,18,322.13
440000,广东省,2010,,,,,,,,,,,,,,,,
440000,广东省,2009,,,,,,,,,,,,,,,,
440000,广东省,2008,,,,,,,,,,,,,,,,
440000,广东省,2007,,,,,,,,,,,,,,,,
440000,广东省,2006,,,,,,,,,,,,,,,,
440000,广东省,2005,,,,,,,,,,,,,,,,
440000,广东省,2004,,,,,,,,,,,,,,,,
440000,广东省,2003,,,,,,,,,,,,,,,,
440000,广东省,2002,,,,,,,,,,,,,,,,
440000,广东省,2001,,,,,,,,,,,,,,,,
440000,广东省,2000,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2019,7,1.535,,,,,,,,,,,,,,
450000,广西壮族自治区,2018,8,0.815,,,,,,,,,,,,,,
450000,广西壮族自治区,2017,11,1.295,,,,,,,,,,,,,,
450000,广西壮族自治区,2016,25,1.15,,,,,,,,,,,,,,
450000,广西壮族自治区,2015,26,2.6502,,,,,,,,,,,,,,
450000,广西壮族自治区,2014,12,1.21,,,,,,,,,,,,,,
450000,广西壮族自治区,2013,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2012,33,782.31,,,,,,,,,,,,,,
450000,广西壮族自治区,2011,35,727.42,29,187.42,21,5.91,21,5.91,14,721.51,8,181.51,,,,
450000,广西壮族自治区,2010,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2009,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2008,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2007,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2006,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2005,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2004,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2003,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2002,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2001,,,,,,,,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,,,,,,,,
460000,海南省,2019,3,0.15,,,,,,,,,,,,,,
460000,海南省,2018,5,1.508,,,,,,,,,,,,,,
460000,海南省,2017,1,0.05,,,,,,,,,,,,,,
460000,海南省,2016,6,5.6,,,,,,,,,,,,,,
460000,海南省,2015,3,1.36,,,,,,,,,,,,,,
460000,海南省,2014,1,0.2,,,,,,,,,,,,,,
460000,海南省,2013,,,,,,,,,,,,,,,,
460000,海南省,2012,2,0.5,,,,,,,,,,,,,,
460000,海南省,2011,,,,,,,,,,,,,,,,
460000,海南省,2010,,,,,,,,,,,,,,,,
460000,海南省,2009,,,,,,,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,,,,,,,
500000,重庆市,2019,129,60.662,,,,,,,,,,,,,,
500000,重庆市,2018,133,58.241,,,,,,,,,,,,,,
500000,重庆市,2017,146,70.6292,,,,,,,,,,,,,,
500000,重庆市,2016,145,96.38,,,,,,,,,,,,,,
500000,重庆市,2015,154,200.4343,,,,,,,,,,,,,,
500000,重庆市,2014,121,116.15,,,,,,,,,,,,,,
500000,重庆市,2013,,,,,,,,,,,,,,,,
500000,重庆市,2012,126,51.31,,,,,,,,,,,,,,
500000,重庆市,2011,134,74.8,69,32.01,94,53.32,49,25.29,40,21.48,20,6.73,,,,
500000,重庆市,2010,,,,,,,,,,,,,,,,
500000,重庆市,2009,,,,,,,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,,,,,,,
510000,四川省,2019,580,121.9761,,,,,,,,,,,,,,
510000,四川省,2018,228,101.559,,,,,,,,,,,,,,
510000,四川省,2017,163,84.617,,,,,,,,,,,,,,
510000,四川省,2016,218,85.28,,,,,,,,,,,,,,
510000,四川省,2015,185,42.4892,,,,,,,,,,,,,,
510000,四川省,2014,334,96.41,,,,,,,,,,,,,,
510000,四川省,2013,,,,,,,,,,,,,,,,
510000,四川省,2012,415,51.75,,,,,,,,,,,,,,
510000,四川省,2011,309,114.21,308,114.11,287,92.95,286,92.85,21,21.15,21,21.15,1,0.1,1,0.1
510000,四川省,2010,,,,,,,,,,,,,,,,
510000,四川省,2009,,,,,,,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,,,,,,,
