省份编码,省份,年份,固定资产投资价格指数(上年=100),建筑安装工程固定资产投资价格指数(上年=100),设备工器具购置固定资产投资价格指数(上年=100),其他费用固定资产投资价格指数(上年=100)
540000,西藏自治区,2003,,,,
540000,西藏自治区,2002,,,,
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,102.6064,102.7966,100.0522,103.4775
610000,陕西省,2018,105.39,107.05,100.63,103.12
610000,陕西省,2017,105.3,107.44,99.97,102.21
610000,陕西省,2016,99.85,99.83,98.86,101.31
610000,陕西省,2015,98.84,98.35,99.11,100.7
610000,陕西省,2014,101.08,101.23,99.87,101.82
610000,陕西省,2013,102.01,102.31,99.48,103.72
610000,陕西省,2012,102.6,103.4,99.1,102.7
610000,陕西省,2011,105.9,107.86,100.83,102.79
610000,陕西省,2010,103.61,105.26,100.35,100.79
610000,陕西省,2009,99.3,99.1,98.7,101.0
610000,陕西省,2008,109.53,113.34,101.1,101.82
610000,陕西省,2007,104.0,105.6,100.6,100.6
610000,陕西省,2006,102.6,103.5,101.0,100.5
610000,陕西省,2005,103.72,103.67,105.34,100.46
610000,陕西省,2004,104.45,106.03,99.65,101.51
610000,陕西省,2003,101.65,102.12,98.64,102.96
610000,陕西省,2002,102.0,102.7,99.7,101.0
610000,陕西省,2001,103.6,103.8,100.0,98.6
610000,陕西省,2000,103.6,105.5,97.8,100.0
620000,甘肃省,2019,102.6307,103.0432,99.4109,102.0111
620000,甘肃省,2018,104.61,105.35,101.78,101.48
620000,甘肃省,2017,105.92,107.02,101.43,100.59
620000,甘肃省,2016,98.74,98.48,99.4,100.39
620000,甘肃省,2015,97.7,97.46,97.93,99.63
620000,甘肃省,2014,100.13,100.2,99.08,101.64
620000,甘肃省,2013,100.36,101.03,97.08,101.91
620000,甘肃省,2012,102.1,102.52,100.25,102.33
620000,甘肃省,2011,104.7,106.7,99.03,103.25
620000,甘肃省,2010,103.51,105.02,100.83,103.17
620000,甘肃省,2009,101.5,100.6,101.0,103.4
620000,甘肃省,2008,106.67,111.81,103.49,103.0
620000,甘肃省,2007,102.8,103.9,101.8,102.3
620000,甘肃省,2006,104.1,104.4,104.6,100.8
620000,甘肃省,2005,102.16,102.37,102.17,100.58
620000,甘肃省,2004,105.49,106.69,104.81,100.4
620000,甘肃省,2003,101.72,102.89,99.14,100.43
620000,甘肃省,2002,100.2,100.9,98.8,98.5
620000,甘肃省,2001,102.0,103.2,99.5,100.2
620000,甘肃省,2000,103.3,105.4,98.9,102.9
630000,青海省,2019,102.4919,102.9253,100.3851,102.1649
630000,青海省,2018,104.33,105.15,101.01,102.22
630000,青海省,2017,106.09,107.42,100.62,102.7
630000,青海省,2016,99.63,99.63,99.05,101.03
630000,青海省,2015,98.18,97.67,99.54,100.91
630000,青海省,2014,100.94,101.13,99.36,102.16
630000,青海省,2013,101.54,102.02,99.01,101.64
630000,青海省,2012,102.22,102.68,99.18,103.02
630000,青海省,2011,106.5,107.87,101.49,102.57
630000,青海省,2010,103.82,104.49,101.51,102.34
630000,青海省,2009,100.9,101.1,99.4,102.1
630000,青海省,2008,110.49,113.34,101.49,104.06
630000,青海省,2007,104.2,104.6,102.9,102.6
630000,青海省,2006,102.4,102.6,101.8,102.0
630000,青海省,2005,102.1,102.1,100.7,104.2
630000,青海省,2004,102.8,103.2,100.1,104.4
630000,青海省,2003,102.0,102.86,97.8,102.46
630000,青海省,2002,103.2,104.7,97.3,101.5
630000,青海省,2001,100.3,101.0,97.3,100.0
630000,青海省,2000,101.6,102.7,97.9,100.3
640000,宁夏回族自治区,2019,102.0223,101.8634,100.0243,106.1214
640000,宁夏回族自治区,2018,103.51,104.71,100.88,99.99
640000,宁夏回族自治区,2017,105.9,107.56,100.28,99.98
640000,宁夏回族自治区,2016,99.57,99.54,98.99,100.78
640000,宁夏回族自治区,2015,97.49,96.89,99.13,100.14
640000,宁夏回族自治区,2014,100.78,101.09,99.55,100.01
640000,宁夏回族自治区,2013,99.8,99.92,99.09,100.0
640000,宁夏回族自治区,2012,101.52,101.94,99.76,100.0
640000,宁夏回族自治区,2011,107.5,109.09,101.53,102.53
640000,宁夏回族自治区,2010,104.21,105.32,100.2,100.0
640000,宁夏回族自治区,2009,100.2,100.7,97.4,101.1
640000,宁夏回族自治区,2008,108.97,110.58,101.93,106.37
640000,宁夏回族自治区,2007,103.2,104.1,100.4,101.0
640000,宁夏回族自治区,2006,101.3,101.2,102.4,99.9
640000,宁夏回族自治区,2005,102.06,102.23,101.34,101.84
640000,宁夏回族自治区,2004,104.94,107.08,99.13,102.6
640000,宁夏回族自治区,2003,102.27,103.7,96.88,103.17
640000,宁夏回族自治区,2002,100.7,102.1,97.0,100.0
640000,宁夏回族自治区,2001,101.5,102.0,100.7,100.7
640000,宁夏回族自治区,2000,104.5,106.3,99.5,103.9
650000,新疆维吾尔自治区,2019,102.8066,102.9626,101.1424,103.7286
650000,新疆维吾尔自治区,2018,103.66,104.53,101.08,100.17
650000,新疆维吾尔自治区,2017,103.51,104.48,100.8,100.31
650000,新疆维吾尔自治区,2016,99.91,99.93,99.28,101.73
650000,新疆维吾尔自治区,2015,98.25,97.63,99.1,102.57
650000,新疆维吾尔自治区,2014,100.28,100.23,99.33,103.71
650000,新疆维吾尔自治区,2013,100.48,100.47,99.5,103.53
650000,新疆维吾尔自治区,2012,100.56,101.48,97.31,101.03
650000,新疆维吾尔自治区,2011,107.1,110.33,98.36,103.65
650000,新疆维吾尔自治区,2010,104.56,105.86,100.35,105.24
650000,新疆维吾尔自治区,2009,98.0,98.1,95.0,103.5
650000,新疆维吾尔自治区,2008,111.19,113.95,105.0,105.12
650000,新疆维吾尔自治区,2007,104.4,105.5,101.6,102.8
650000,新疆维吾尔自治区,2006,102.2,102.2,102.0,102.0
650000,新疆维吾尔自治区,2005,102.79,102.67,104.79,100.0
650000,新疆维吾尔自治区,2004,104.5,105.79,101.89,100.65
650000,新疆维吾尔自治区,2003,103.44,104.04,100.55,100.89
650000,新疆维吾尔自治区,2002,100.2,99.8,100.5,102.0
650000,新疆维吾尔自治区,2001,102.5,103.0,99.5,103.2
650000,新疆维吾尔自治区,2000,103.6,105.5,97.4,103.2
