年份,外商及港澳台商投资工业企业流动资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动资产合计,石油和天然气开采业外商及港澳台商投资工业企业流动资产合计,黑色金属矿采选业外商及港澳台商投资工业企业流动资产合计,有色金属矿采选业外商及港澳台商投资工业企业流动资产合计,非金属矿采选业外商及港澳台商投资工业企业流动资产合计,开采辅助活动外商及港澳台商投资工业企业流动资产合计,其他采矿业外商及港澳台商投资工业企业流动资产合计,农副食品加工业外商及港澳台商投资工业企业流动资产合计,食品制造业外商及港澳台商投资工业企业流动资产合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业流动资产合计,烟草制品业外商及港澳台商投资工业企业流动资产合计,纺织业外商及港澳台商投资工业企业流动资产合计,纺织服装、服饰业外商及港澳台商投资工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动资产合计,家具制造业外商及港澳台商投资工业企业流动资产合计,造纸和纸制品业外商及港澳台商投资工业企业流动资产合计,印刷和记录媒介复制业外商及港澳台商投资工业企业流动资产合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业流动资产合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业流动资产合计,化学原料和化学制品制造业外商及港澳台商投资工业企业流动资产合计,医药制造业外商及港澳台商投资工业企业流动资产合计,化学纤维制造业外商及港澳台商投资工业企业流动资产合计,橡胶和塑料制品业外商及港澳台商投资工业企业流动资产合计,非金属矿物制品业外商及港澳台商投资工业企业流动资产合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业流动资产合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业流动资产合计,金属制品业外商及港澳台商投资工业企业流动资产合计,通用设备制造业外商及港澳台商投资工业企业流动资产合计,专用设备制造业外商及港澳台商投资工业企业流动资产合计,汽车制造业外商及港澳台商投资工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业流动资产合计,电气机械和器材制造业外商及港澳台商投资工业企业流动资产合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业流动资产合计,仪器仪表制造业外商及港澳台商投资工业企业流动资产合计,其他制造业外商及港澳台商投资工业企业流动资产合计,废弃资源综合利用业外商及港澳台商投资工业企业流动资产合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业流动资产合计,电力、热力生产和供应业外商及港澳台商投资工业企业流动资产合计,燃气生产和供应业外商及港澳台商投资工业企业流动资产合计,水的生产和供应业外商及港澳台商投资工业企业流动资产合计
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
