省份编码,省份,年份,6岁及6岁以上人口数(人口抽样调查)(人),6岁及6岁以上男性人口数(人口抽样调查)(人),6岁及6岁以上女性人口数(人口抽样调查)(人),6岁及6岁以上未上过学人口数(人口抽样调查)(人),6岁及6岁以上未上过学男性人口数(人口抽样调查)(人),6岁及6岁以上未上过学女性人口数(人口抽样调查)(人),6岁及6岁以上小学人口数(人口抽样调查)(人),6岁及6岁以上小学男性人口数(人口抽样调查)(人),6岁及6岁以上小学女性人口数(人口抽样调查)(人),6岁及6岁以上初中人口数(人口抽样调查)(人),6岁及6岁以上初中男性人口数(人口抽样调查)(人),6岁及6岁以上初中女性人口数(人口抽样调查)(人),6岁及6岁以上高中人口数(人口抽样调查)(人),6岁及6岁以上高中男性人口数(人口抽样调查)(人),6岁及6岁以上高中女性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上人口数(人口抽样调查)(人),6岁及6岁以上大专及以上男性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上女性人口数(人口抽样调查)(人)
110000,北京市,2004,13767,7049,6718,582,123,459,2003,966,1037,4666,2566,2101,3227,1612,1615,3289,1783,1506
110000,北京市,2003,13595,6989,6606,594,134,460,2001,925,1076,4796,2698,2098,3446,1726,1720,2758,1506,1252
110000,北京市,2002,13239,7009,6230,661,148,513,1967,974,994,4722,2775,1947,3176,1606,1570,2713,1505,1208
110000,北京市,2001,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,
120000,天津市,2019,11563,6384,5179,247,86,161,1582,772,810,3763,2191,1572,2633,1514,1119,3338,1820,1518
120000,天津市,2018,12223,6555,5668,237,79,159,1644,794,851,4160,2388,1772,2723,1480,1243,3458,1816,1643
120000,天津市,2017,12142,6396,5746,289,87,203,1614,759,855,3949,2127,1822,2787,1558,1228,3503,1866,1638
120000,天津市,2016,12401,6619,5781,333,96,239,1902,962,941,4169,2393,1776,2821,1564,1256,3176,1604,1571
120000,天津市,2015,228196,124883,103313,5738,1782,3956,35688,18755,16932,85899,50661,35238,47631,25765,21865,53240,27918,25322
120000,天津市,2014,11935,5951,5984,375,120,255,1962,922,1040,4158,2240,1918,2712,1382,1331,2727,1287,1440
120000,天津市,2013,11582,5737,5844,292,90,202,1894,875,1020,4242,2234,2009,2483,1255,1228,2670,1285,1386
120000,天津市,2012,11175,5529,5646,297,87,210,1885,879,1006,3990,2082,1908,2450,1250,1199,2553,1230,1323
120000,天津市,2011,11019,5454,5565,307,86,220,1837,876,961,4059,2143,1916,2503,1293,1210,2313,1055,1257
120000,天津市,2010,,,,,,,,,,,,,,,,,,
120000,天津市,2009,10068,5085,4983,381,90,291,1759,824,936,3785,2047,1739,2431,1261,1169,1713,863,849
120000,天津市,2008,9710,4778,4932,424,120,304,1794,828,966,3587,1855,1731,2404,1196,1208,1501,779,722
120000,天津市,2007,9517,4756,4762,457,122,334,1789,840,949,3546,1893,1653,2227,1134,1094,1498,765,732
120000,天津市,2006,9296,4563,4733,392,85,307,1984,924,1060,3387,1803,1583,2118,1076,1042,1415,674,741
120000,天津市,2005,132069,66091,65978,6603,1599,5004,28890,13865,15025,50103,26590,23513,27873,14085,13787,18601,9951,8650
120000,天津市,2004,9457,4677,4781,483,116,367,1916,899,1017,3468,1817,1651,2234,1127,1107,1356,719,639
120000,天津市,2003,9550,4702,4848,564,134,430,2149,1023,1125,3597,1868,1729,2204,1114,1090,1037,562,474
120000,天津市,2002,9522,4723,4799,606,146,460,2205,1060,1145,3557,1898,1659,2149,1068,1080,1006,552,455
120000,天津市,2001,,,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,,,
130000,河北省,2019,54846,27945,26902,1950,634,1316,13418,6280,7139,23716,12528,11188,9557,5241,4316,6206,3264,2943
130000,河北省,2018,57391,28867,28524,2654,844,1810,13852,6492,7360,24788,13281,11506,9670,5053,4618,6427,3198,3229
130000,河北省,2017,57431,29039,28392,2380,735,1645,13450,6349,7101,25999,13716,12282,9867,5321,4544,5736,2916,2820
130000,河北省,2016,57884,29438,28446,2752,783,1968,14776,6989,7787,25765,13774,11991,8625,4793,3832,5966,3098,2867
130000,河北省,2015,1066111,535971,530140,44629,12364,32265,274871,129671,145200,468196,249172,219024,169590,89464,80127,108825,55301,53525
130000,河北省,2014,55991,28501,27490,2167,671,1497,14382,6615,7766,26964,14472,12492,8032,4505,3528,4447,2238,2207
130000,河北省,2013,55688,28411,27277,2177,729,1448,13798,6498,7300,26955,14337,12619,8452,4612,3840,4307,2236,2071
130000,河北省,2012,55844,28412,27432,2383,733,1650,13858,6471,7387,28314,15063,13251,8059,4427,3632,3232,1719,1513
130000,河北省,2011,56753,29296,27457,2317,698,1619,14771,6918,7853,28324,15055,13269,8296,5015,3281,3045,1610,1435
130000,河北省,2010,,,,,,,,,,,,,,,,,,
130000,河北省,2009,57559,29163,28396,2971,850,2122,16223,7472,8751,28577,15433,13144,6556,3717,2839,3233,1692,1541
130000,河北省,2008,58608,29736,28872,2939,796,2143,17335,8070,9266,28487,15319,13168,7030,4004,3026,2818,1548,1270
130000,河北省,2007,59018,29906,29112,3674,983,2691,17772,8369,9402,28441,15400,13041,6678,3869,2809,2454,1285,1169
130000,河北省,2006,59514,29985,29529,3665,1015,2650,18523,8563,9960,28185,15323,12862,6801,3846,2954,2340,1237,1103
130000,河北省,2005,846198,422303,423895,58381,15437,42944,254380,120194,134185,391553,209414,182139,101848,56313,45536,40036,20945,19091
130000,河北省,2004,62062,31531,30531,3764,1108,2656,18221,8669,9552,28259,15293,12966,8159,4479,3680,3658,1982,1677
130000,河北省,2003,62686,31800,30887,4080,1212,2868,18837,9124,9713,27200,14522,12678,8433,4666,3766,4138,2276,1861
130000,河北省,2002,62588,31611,30978,4253,1174,3079,21535,10301,11234,26602,14431,12171,7266,4037,3229,2933,1668,1265
130000,河北省,2001,,,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,,,
140000,山西省,2019,27220,13744,13476,650,205,445,5252,2396,2856,11903,6149,5754,5291,2890,2401,4124,2104,2020
140000,山西省,2018,28597,14624,13973,829,271,559,5524,2525,2999,12146,6414,5731,5653,3169,2483,4445,2245,2200
140000,山西省,2017,28628,14881,13747,681,228,453,5221,2388,2833,12353,6491,5863,6101,3519,2581,4272,2255,2018
140000,山西省,2016,29052,14883,14169,909,300,609,5620,2607,3014,12675,6648,6027,5907,3251,2657,3941,2077,1864
140000,山西省,2015,536025,277401,258623,17212,5355,11857,110913,51420,59493,230264,122164,108100,103975,58064,45911,73661,40399,33262
140000,山西省,2014,28424,14423,14001,981,329,652,6185,2903,3282,13048,7045,6003,5410,2674,2737,2799,1472,1327
140000,山西省,2013,28116,14438,13677,722,263,460,6385,2988,3397,13129,6984,6145,4866,2623,2243,3013,1580,1432
140000,山西省,2012,28388,14483,13905,810,326,485,6039,2780,3259,13065,6795,6270,5766,3159,2607,2707,1423,1283
140000,山西省,2011,28941,14827,14114,965,350,615,6518,3034,3483,13699,7251,6448,5412,2977,2436,2347,1214,1131
140000,山西省,2010,,,,,,,,,,,,,,,,,,
140000,山西省,2009,28680,14646,14034,1234,383,851,7052,3256,3795,13756,7309,6446,4441,2518,1923,2198,1181,1018
140000,山西省,2008,29058,14675,14383,1193,350,843,7429,3427,4002,14052,7444,6608,4292,2416,1876,2092,1037,1055
140000,山西省,2007,29277,14897,14379,1191,343,848,7743,3662,4082,13997,7441,6556,4241,2393,1848,2105,1059,1046
140000,山西省,2006,29315,14823,14493,1281,405,876,7946,3785,4161,13859,7287,6572,4279,2394,1885,1949,952,997
140000,山西省,2005,416531,210667,205864,21630,6521,15109,124513,58870,65643,192850,102839,90011,54343,29927,24415,23197,12510,10687
140000,山西省,2004,30442,15615,14826,1524,487,1037,8904,4197,4707,14918,8096,6822,3504,1928,1576,1592,909,685
140000,山西省,2003,30367,15507,14860,1550,476,1074,9108,4326,4782,14220,7633,6588,3855,2178,1676,1634,893,740
140000,山西省,2002,30192,15526,14667,1709,558,1150,9551,4646,4905,13709,7462,6247,3825,2084,1741,1398,776,623
140000,山西省,2001,,,,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,18679,9609,9069,885,290,596,4101,1949,2152,6669,3670,3000,3184,1774,1410,3839,1928,1912
150000,内蒙古自治区,2018,19630,10027,9603,1038,355,683,4509,2117,2391,6996,3798,3199,3294,1803,1491,3794,1955,1839
150000,内蒙古自治区,2017,19590,9842,9747,1091,354,737,4466,2091,2375,7038,3813,3225,3443,1735,1706,3551,1847,1704
150000,内蒙古自治区,2016,19913,10053,9860,1013,332,681,4312,2011,2301,7552,4194,3359,3395,1715,1681,3640,1801,1839
150000,内蒙古自治区,2015,368717,187863,180854,21579,7062,14517,89268,43057,46211,138368,75680,62688,59976,32896,27080,59527,29169,30358
150000,内蒙古自治区,2014,19516,9930,9586,1024,323,701,5046,2350,2696,8186,4435,3751,3132,1717,1415,2126,1105,1023
150000,内蒙古自治区,2013,19503,10086,9417,962,333,629,4918,2354,2564,8374,4491,3883,3283,1838,1446,1966,1071,895
150000,内蒙古自治区,2012,19598,9999,9599,863,298,564,4794,2242,2551,8209,4429,3780,3369,1843,1526,2364,1186,1178
150000,内蒙古自治区,2011,20015,9958,10057,934,314,620,5082,2317,2765,7977,4345,3632,3490,1843,1647,2532,1139,1394
150000,内蒙古自治区,2010,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2009,20356,10398,9958,1557,484,1073,5577,2648,2929,8562,4744,3818,3041,1665,1376,1619,858,762
150000,内蒙古自治区,2008,20742,10616,10126,1631,496,1135,5945,2820,3125,8741,4854,3887,2886,1599,1287,1539,847,692
150000,内蒙古自治区,2007,20920,10582,10338,1669,520,1149,6249,2936,3313,8315,4620,3695,3128,1728,1400,1560,777,783
150000,内蒙古自治区,2006,21009,10701,10308,1872,558,1314,6324,3060,3265,8353,4617,3736,3093,1722,1371,1367,745,622
150000,内蒙古自治区,2005,298416,152460,145956,31560,9626,21934,83456,40723,42733,114065,63948,50117,45675,24899,20775,23660,13264,10397
150000,内蒙古自治区,2004,22026,11321,10704,2078,715,1364,6588,3223,3365,8581,4772,3809,3318,1806,1512,1461,806,654
150000,内蒙古自治区,2003,22221,11354,10867,2733,907,1825,6815,3366,3449,8396,4729,3666,3062,1683,1380,1214,668,545
150000,内蒙古自治区,2002,22236,11423,10813,2653,868,1785,6604,3270,3334,8409,4730,3679,3316,1832,1484,1255,725,530
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,,,,
210000,辽宁省,2019,32513,16273,16241,611,202,409,6310,2844,3465,14465,7476,6990,5552,2875,2676,5576,2875,2700
210000,辽宁省,2018,34381,17222,17159,716,253,464,6378,2964,3414,15482,7958,7524,6080,3077,3002,5724,2970,2755
210000,辽宁省,2017,34534,17292,17242,723,244,480,6541,3061,3479,15209,7905,7304,6073,3066,3007,5988,3015,2973
210000,辽宁省,2016,35135,17741,17395,782,244,537,6838,3131,3708,15399,8081,7318,5787,3040,2745,6331,3244,3087
210000,辽宁省,2015,652806,326721,326085,15151,4595,10556,131839,61282,70558,293115,151504,141611,102177,52538,49640,110524,56803,53720
210000,辽宁省,2014,34931,17688,17243,817,253,564,6759,3162,3598,15573,8056,7517,5769,3026,2743,6013,3191,2821
210000,辽宁省,2013,34925,17627,17298,809,307,502,6401,2938,3463,15256,8073,7183,5535,2992,2543,6924,3317,3606
210000,辽宁省,2012,35238,17655,17583,908,295,612,7069,3281,3788,15616,8110,7506,5127,2668,2460,6519,3301,3217
210000,辽宁省,2011,35906,18085,17822,943,289,654,7869,3704,4165,16810,8661,8149,5785,3034,2751,4500,2396,2103
210000,辽宁省,2010,,,,,,,,,,,,,,,,,,
210000,辽宁省,2009,36994,18564,18430,1345,426,919,8485,3910,4574,17546,9178,8368,5247,2728,2519,4371,2320,2050
210000,辽宁省,2008,37511,18801,18711,1481,404,1077,9538,4477,5061,17035,8958,8078,5329,2805,2524,4128,2157,1970
210000,辽宁省,2007,37666,18914,18751,1519,417,1102,9818,4661,5156,17137,8944,8192,5427,2890,2537,3765,2002,1764
210000,辽宁省,2006,37610,18967,18643,1690,482,1208,9816,4744,5072,16992,8831,8161,5511,2989,2522,3601,1921,1680
210000,辽宁省,2005,532275,266101,266174,25497,6650,18847,145201,68956,76245,244140,127992,116147,73033,38466,34568,44404,24036,20367
210000,辽宁省,2004,39348,19687,19661,1658,432,1227,10123,4823,5300,18936,9861,9075,5371,2821,2550,3261,1750,1509
210000,辽宁省,2003,39692,19802,19891,1795,474,1322,10161,4816,5346,17990,9333,8658,6185,3234,2951,3561,1945,1614
210000,辽宁省,2002,39676,19986,19691,1969,536,1433,11804,5712,6092,18520,9704,8816,5194,2795,2399,2189,1239,950
210000,辽宁省,2001,,,,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,,,,
220000,吉林省,2019,20081,10120,9961,558,178,380,4797,2295,2502,8681,4541,4140,3448,1799,1649,2599,1308,1290
220000,吉林省,2018,21211,10672,10539,682,208,474,5147,2445,2702,8813,4639,4174,3689,1922,1768,2881,1459,1422
220000,吉林省,2017,21350,10783,10567,844,276,567,4731,2306,2425,8754,4535,4220,3857,2033,1824,3164,1634,1530
220000,吉林省,2016,21860,11076,10784,675,234,441,5106,2436,2670,9333,4861,4472,3653,1949,1705,3093,1597,1497
220000,吉林省,2015,409572,206452,203120,12954,4611,8343,100760,48749,52010,174513,90407,84106,67412,35346,32066,53934,27338,26595
220000,吉林省,2014,21697,11032,10665,728,254,474,5171,2463,2708,9189,4807,4383,4031,2156,1875,2578,1352,1225
220000,吉林省,2013,21702,11170,10532,610,217,394,5046,2391,2655,9594,5111,4483,3942,2121,1821,2509,1331,1180
220000,吉林省,2012,21799,11059,10740,480,168,312,5340,2502,2838,9955,5259,4696,4069,2143,1926,1955,987,969
220000,吉林省,2011,22363,11389,10974,600,215,384,6163,2907,3256,9588,5050,4539,3980,2163,1817,2031,1055,977
220000,吉林省,2010,,,,,,,,,,,,,,,,,,
220000,吉林省,2009,23274,11915,11359,978,346,633,6028,2780,3248,10607,5706,4901,3747,2044,1703,1913,1039,873
220000,吉林省,2008,23694,11942,11752,1094,340,754,5988,2812,3176,10600,5604,4996,4219,2215,2004,1793,971,821
220000,吉林省,2007,23898,12078,11819,1133,359,773,6576,3111,3466,10382,5524,4858,4017,2070,1947,1790,1014,775
220000,吉林省,2006,24073,12161,11913,1270,401,869,6935,3319,3616,10107,5370,4737,4071,2166,1905,1690,905,785
220000,吉林省,2005,341975,173247,168727,20311,6369,13942,104191,50017,54174,143398,76616,66783,51242,27773,23469,22832,12472,10360
220000,吉林省,2004,25369,12656,12713,959,351,608,7322,3507,3815,10903,5666,5237,4448,2192,2256,1737,940,797
220000,吉林省,2003,25568,12799,12769,1022,383,639,7695,3689,4006,10822,5643,5178,4389,2184,2205,1642,900,742
220000,吉林省,2002,25500,12825,12675,1103,383,720,8218,3920,4297,10145,5354,4791,4377,2268,2108,1657,899,759
220000,吉林省,2001,,,,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,28312,14333,13978,868,291,578,6354,3003,3351,12213,6397,5816,4810,2540,2269,4068,2102,1965
230000,黑龙江省,2018,29914,15180,14733,859,297,563,6760,3195,3565,13118,6926,6192,5020,2615,2405,4155,2147,2009
230000,黑龙江省,2017,30260,15390,14870,1010,373,636,6952,3288,3664,13455,7150,6305,4795,2535,2258,4049,2044,2007
230000,黑龙江省,2016,30868,15574,15294,1295,482,813,6952,3302,3649,13491,7074,6417,4972,2681,2291,4159,2034,2124
230000,黑龙江省,2015,572233,287954,284279,18889,6447,12442,134603,64074,70529,257250,135028,122222,85478,44821,40657,76013,37583,38429
230000,黑龙江省,2014,30313,15171,15142,992,320,671,6968,3273,3694,13826,7406,6420,4784,2537,2247,3744,1635,2110
230000,黑龙江省,2013,30284,15351,14934,818,282,535,6674,3150,3523,13761,7218,6543,5324,2783,2542,3708,1917,1791
230000,黑龙江省,2012,30608,15559,15049,873,324,549,7476,3498,3979,14154,7502,6652,5013,2613,2400,3093,1622,1469
230000,黑龙江省,2011,31272,15714,15558,935,296,639,7505,3566,3939,15248,7975,7273,4638,2486,2153,2945,1391,1555
230000,黑龙江省,2010,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2009,32556,16502,16055,1553,490,1063,8081,3708,4372,15787,8497,7290,5005,2634,2371,2131,1172,959
230000,黑龙江省,2008,33148,16751,16397,1433,408,1025,8835,4094,4741,15695,8309,7387,5206,2872,2335,1980,1070,910
230000,黑龙江省,2007,33610,16953,16657,1527,445,1082,8995,4118,4877,15766,8440,7326,5170,2771,2399,2151,1179,974
230000,黑龙江省,2006,33944,17183,16761,1718,515,1203,10011,4775,5236,15111,8013,7098,5030,2744,2286,2074,1135,939
230000,黑龙江省,2005,481167,243098,238069,30028,8922,21105,138865,65924,72941,211122,113125,97997,70264,37978,32286,30888,17149,13741
230000,黑龙江省,2004,35621,18063,17558,1630,548,1082,9984,4743,5241,17387,9174,8213,4954,2665,2289,1666,933,731
230000,黑龙江省,2003,35942,18212,17730,1934,592,1342,10424,4911,5513,16778,8974,7804,5042,2738,2305,1762,996,766
230000,黑龙江省,2002,36007,18418,17589,2202,737,1466,11188,5269,5919,15569,8469,7100,5295,2957,2338,1752,987,765
230000,黑龙江省,2001,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,,,,,,,
310000,上海市,2019,17882,9270,8612,536,135,400,2397,1115,1282,5499,3003,2496,3955,2179,1775,5496,2838,2659
310000,上海市,2018,18895,9707,9188,534,145,389,2345,1085,1259,5958,3143,2815,4070,2228,1841,5989,3106,2883
310000,上海市,2017,18860,9579,9281,497,125,373,2238,988,1251,5674,2975,2699,4031,2162,1869,6418,3329,3089
310000,上海市,2016,19274,9910,9364,651,152,500,2528,1165,1363,6199,3304,2895,4104,2260,1843,5791,3028,2763
310000,上海市,2015,355996,185053,170943,11792,2686,9106,46582,21767,24815,120392,65832,54560,75072,41152,33921,102157,53616,48541
310000,上海市,2014,19008,9800,9208,653,164,489,2519,1163,1356,6729,3619,3110,3951,2137,1814,5156,2717,2439
310000,上海市,2013,19046,9804,9241,758,224,534,2654,1253,1400,7063,3762,3301,3868,2065,1804,4703,2501,2203
310000,上海市,2012,19034,9918,9117,466,118,348,2403,1073,1330,7728,4219,3509,4046,2202,1844,4392,2305,2087
310000,上海市,2011,19183,10168,9016,509,113,396,2633,1207,1426,7809,4288,3522,4168,2353,1815,4063,2206,1857
310000,上海市,2010,,,,,,,,,,,,,,,,,,
310000,上海市,2009,16296,8085,8212,663,130,533,2166,955,1211,5506,2783,2723,4106,2127,1979,3855,2089,1765
310000,上海市,2008,16358,8165,8193,675,133,542,2299,1010,1289,5576,2842,2735,4101,2145,1956,3707,2036,1670
310000,上海市,2007,16199,8052,8147,701,128,573,2326,1044,1283,5490,2804,2686,4223,2170,2053,3457,1907,1552
310000,上海市,2006,16014,7931,8084,790,144,647,2251,990,1261,5332,2722,2610,4144,2156,1988,3496,1918,1578
310000,上海市,2005,227240,114171,113069,12505,2347,10158,36037,16521,19517,81520,42992,38528,56630,29845,26784,40549,22466,18082
310000,上海市,2004,16225,7968,8257,1008,176,832,2429,1091,1338,5323,2712,2611,4465,2295,2170,3001,1693,1306
310000,上海市,2003,15698,7840,7858,887,171,716,2112,933,1179,5521,2832,2689,4560,2383,2177,2617,1520,1097
310000,上海市,2002,15469,7592,7877,1182,256,926,2707,1284,1422,5367,2849,2518,3882,1980,1902,2331,1222,1108
310000,上海市,2001,,,,,,,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,,,,,,,
320000,江苏省,2019,59066,30049,29017,3156,833,2324,13540,6096,7444,20855,11270,9585,11144,6316,4828,10371,5534,4836
320000,江苏省,2018,62186,31588,30597,3902,972,2930,14057,6497,7560,23106,12569,10537,11838,6700,5139,9281,4850,4430
320000,江苏省,2017,62123,31410,30713,3920,966,2954,13433,6118,7315,23092,12484,10608,10939,6280,4659,10739,5562,5176
320000,江苏省,2016,62953,31572,31381,3908,1055,2853,14012,6325,7687,22540,11931,10609,12036,6753,5282,10458,5508,4950
320000,江苏省,2015,1163203,588089,575114,65122,15144,49978,270803,122953,147850,425735,227649,198086,210556,121367,89190,190987,100977,90009
320000,江苏省,2014,61601,30865,30736,3320,789,2531,14189,6256,7933,24496,12886,11609,10802,6188,4614,8796,4746,4049
320000,江苏省,2013,61632,30638,30994,2629,664,1965,14527,6411,8115,24668,12674,11994,11346,6342,5004,8462,4547,3916
320000,江苏省,2012,62230,30700,31530,3492,879,2613,14701,6570,8130,24602,12890,11712,11062,6330,4732,8373,4030,4344
320000,江苏省,2011,63465,31594,31871,3396,808,2588,15096,6728,8368,26449,13822,12627,10873,6530,4343,7651,3706,3944
320000,江苏省,2010,,,,,,,,,,,,,,,,,,
320000,江苏省,2009,64329,31436,32893,4473,1000,3473,17778,7710,10068,27275,14034,13241,9808,5650,4157,4995,3041,1954
320000,江苏省,2008,65610,31692,33918,5081,1105,3976,18053,8041,10012,27524,14066,13458,10331,5817,4514,4621,2664,1959
320000,江苏省,2007,65988,31982,34006,5296,1230,4067,18943,8503,10439,26528,13595,12933,9866,5730,4136,5355,2925,2431
320000,江苏省,2006,66239,32000,34240,5982,1294,4688,19809,9072,10738,25582,13211,12370,10071,5706,4365,4794,2717,2077
320000,江苏省,2005,939782,458139,481643,96151,21065,75086,270481,125586,144895,370726,195339,175387,138515,78597,59918,63909,37552,26357
320000,江苏省,2004,68931,33986,34945,8050,1849,6200,20688,9893,10795,27275,14586,12689,9525,5604,3920,3393,2053,1341
320000,江苏省,2003,69585,34335,35250,8951,2270,6681,21505,10382,11123,25753,13742,12012,9922,5813,4109,3454,2129,1326
320000,江苏省,2002,69427,34594,34832,8600,2032,6568,22186,10554,11632,26861,14860,12002,9124,5470,3653,2656,1678,979
320000,江苏省,2001,,,,,,,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,,,,,,,
330000,浙江省,2019,42727,22085,20642,2320,600,1720,11655,5580,6075,14586,8199,6387,7140,4102,3038,7028,3603,3424
330000,浙江省,2018,44089,22796,21293,2558,683,1876,11872,5715,6156,16079,9053,7027,6575,3772,2803,7005,3573,3431
330000,浙江省,2017,43977,23165,20813,2632,706,1926,11975,5789,6186,15863,8891,6972,6656,3926,2730,6850,3852,2999
330000,浙江省,2016,44145,22940,21204,2916,764,2153,12079,5864,6215,15554,8711,6843,6890,3910,2981,6705,3692,3013
330000,浙江省,2015,810517,418816,391701,52902,14609,38293,239672,117083,122588,284255,158307,125948,114841,65198,49643,118847,63618,55229
330000,浙江省,2014,43110,22592,20518,2662,775,1886,12175,5858,6317,15978,8946,7031,5788,3389,2399,6510,3624,2885
330000,浙江省,2013,43066,22279,20787,2412,683,1729,11329,5483,5846,15432,8518,6914,6428,3611,2818,7464,3985,3480
330000,浙江省,2012,43285,22088,21197,2383,691,1692,11640,5701,5939,16056,8916,7141,6733,4211,2522,6473,2569,3903
330000,浙江省,2011,44170,21561,22609,2912,844,2068,12682,6173,6509,17195,9272,7923,5833,3389,2444,5547,1883,3664
330000,浙江省,2010,,,,,,,,,,,,,,,,,,
330000,浙江省,2009,43157,21728,21430,3470,876,2594,14001,6793,7208,15624,8470,7154,5727,3202,2525,4335,2386,1949
330000,浙江省,2008,43524,22093,21431,3928,1029,2899,14405,7072,7333,15581,8530,7052,5461,3100,2361,4148,2362,1786
330000,浙江省,2007,43378,22101,21277,4172,1055,3117,14599,7305,7294,15389,8489,6900,5490,3095,2394,3727,2156,1571
330000,浙江省,2006,43128,21671,21458,4322,1134,3188,14588,7294,7294,15020,8290,6729,5568,3063,2505,3631,1889,1742
330000,浙江省,2005,610761,308907,301854,71599,19066,52532,218873,110877,107996,212998,117950,95048,74175,41981,32194,33115,19031,14084
330000,浙江省,2004,43160,21799,21361,5319,1626,3692,12966,6514,6452,15349,8362,6988,6300,3433,2867,3226,1863,1363
330000,浙江省,2003,43420,21904,21516,5217,1532,3684,14520,7264,7256,15031,8276,6756,5973,3237,2736,2679,1596,1084
330000,浙江省,2002,43244,21823,21421,5281,1575,3706,14801,7396,7405,14937,8223,6714,5729,3131,2598,2496,1498,997
330000,浙江省,2001,,,,,,,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,,,,,,,
340000,安徽省,2019,45814,23052,22763,3254,855,2400,12452,5684,6767,17813,9424,8389,6707,3996,2711,5589,3093,2496
340000,安徽省,2018,47823,24523,23300,3441,924,2518,12839,6034,6805,18258,9659,8599,7417,4497,2920,5867,3410,2457
340000,安徽省,2017,47418,24152,23265,3389,1003,2384,13465,6210,7254,19196,10317,8878,6854,4082,2772,4515,2539,1977
340000,安徽省,2016,48183,24636,23547,3549,1059,2491,13091,6056,7035,20802,11277,9526,6226,3639,2587,4515,2606,1909
