省份编码,省份,年份,总户数(人口抽样调查)(户),家庭户户数(人口抽样调查)(户),集体户户数(人口抽样调查)(户),家庭户人口数(人口抽样调查)(人),家庭户男性人口数(人口抽样调查)(人),家庭户女性人口数(人口抽样调查)(人),集体户人口数(人口抽样调查)(人),集体户男性人口数(人口抽样调查)(人),集体户女性人口数(人口抽样调查)(人)
120000,天津市,2014,4705,4572,133,12001,6085,5916,516,184,332
120000,天津市,2013,4515,4406,109,11744,5959,5785,405,81,324
120000,天津市,2012,4227,4089,137,11298,5747,5551,493,107,386
120000,天津市,2011,4093,3887,206,10627,5308,5319,950,446,503
120000,天津市,2010,,,,,,,,,
120000,天津市,2009,3449,3310,139,9789,4874,4915,684,424,260
120000,天津市,2008,3347,3339,8,10081,4968,5113,33,18,15
120000,天津市,2007,3253,3197,56,9602,4785,4817,295,171,123
120000,天津市,2006,3264,3228,36,9544,4729,4815,150,39,111
120000,天津市,2005,46385,44806,1578,130900,65378,65523,7160,3931,3229
120000,天津市,2004,3181,3164,17,9803,4851,4953,65,43,22
120000,天津市,2003,3228,3208,19,9883,4877,5006,73,37,37
120000,天津市,2002,3243,3229,14,9901,4907,4994,60,41,20
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,19000,18924,76,58729,29918,28810,359,242,117
130000,河北省,2018,19693,19580,113,61115,31123,29992,792,87,705
130000,河北省,2017,19221,19092,129,61239,31373,29867,847,150,697
130000,河北省,2016,19210,19130,80,62372,31900,30472,378,182,196
130000,河北省,2015,350041,338842,11199,1096700,554332,542369,58842,29587,29255
130000,河北省,2014,19013,18917,96,60450,30967,29483,486,231,255
130000,河北省,2013,19036,18922,114,59922,30752,29170,595,317,278
130000,河北省,2012,18597,18532,65,60341,30873,29468,465,214,251
130000,河北省,2011,18239,18033,206,60087,30421,29666,1774,1661,112
130000,河北省,2010,,,,,,,,,
130000,河北省,2009,18881,18850,31,62096,31568,30528,148,104,44
130000,河北省,2008,18935,18824,111,62585,31801,30784,397,302,95
130000,河北省,2007,19233,19188,45,63385,32272,31113,116,57,58
130000,河北省,2006,19296,19248,48,63514,32088,31425,161,91,70
130000,河北省,2005,272829,270892,1937,899339,452019,447320,7517,3482,4035
130000,河北省,2004,18933,18913,20,66022,33724,32299,56,46,10
130000,河北省,2003,19231,19203,28,66421,33870,32551,148,94,53
130000,河北省,2002,18861,18777,84,66137,33618,32519,326,133,193
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,9844,9807,37,28885,14608,14277,127,65,62
140000,山西省,2018,10121,10035,86,30054,15217,14837,427,376,52
140000,山西省,2017,10210,10104,106,29971,15415,14556,579,472,108
140000,山西省,2016,9835,9768,67,30383,15674,14709,528,235,293
140000,山西省,2015,181314,172990,8323,532081,269917,262164,37410,25113,12297
140000,山西省,2014,9701,9521,180,29114,14982,14132,993,316,677
140000,山西省,2013,9903,9757,146,29389,15018,14371,569,363,205
140000,山西省,2012,9759,9664,95,29551,15037,14514,577,355,222
140000,山西省,2011,9392,9287,105,29945,15291,14654,752,427,326
140000,山西省,2010,,,,,,,,,
140000,山西省,2009,9292,9226,66,30049,15331,14718,329,172,157
140000,山西省,2008,9239,9193,46,30489,15535,14954,289,76,213
140000,山西省,2007,9173,9106,67,30601,15594,15007,468,235,233
140000,山西省,2006,9142,9080,62,30851,15674,15177,331,93,239
140000,山西省,2005,131264,130427,837,440601,223302,217299,3495,1992,1503
140000,山西省,2004,8926,8863,63,32127,16475,15652,226,129,96
140000,山西省,2003,8854,8832,21,32441,16580,15861,117,97,20
140000,山西省,2002,8954,8917,38,32231,16526,15704,225,185,40
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,7510,7272,237,18749,9547,9202,995,644,351
150000,内蒙古自治区,2018,7908,7852,56,20537,10407,10130,244,200,44
150000,内蒙古自治区,2017,7775,7644,131,20430,10366,10064,419,100,319
150000,内蒙古自治区,2016,7654,7467,187,20376,10431,9945,760,244,516
150000,内蒙古自治区,2015,139371,133437,5934,364021,184857,179164,26201,14382,11819
150000,内蒙古自治区,2014,7726,7664,62,20513,10453,10060,158,80,78
150000,内蒙古自治区,2013,7521,7420,101,20325,10484,9841,288,215,74
150000,内蒙古自治区,2012,7389,7176,213,19915,10253,9662,860,360,500
150000,内蒙古自治区,2011,7591,7365,226,20091,10194,9897,1112,346,766
150000,内蒙古自治区,2010,,,,,,,,,
150000,内蒙古自治区,2009,7386,7367,19,21438,10977,10462,60,35,25
150000,内蒙古自治区,2008,7344,7324,20,21749,11142,10608,67,43,24
150000,内蒙古自治区,2007,7441,7387,54,21867,11155,10712,199,46,153
150000,内蒙古自治区,2006,7349,7285,64,21905,11206,10699,274,104,170
150000,内蒙古自治区,2005,108157,106792,1365,310952,158140,152812,4932,3420,1512
150000,内蒙古自治区,2004,7393,7337,56,22985,11739,11246,248,202,46
150000,内蒙古自治区,2003,7381,7356,25,23417,11942,11475,93,64,29
150000,内蒙古自治区,2002,7516,7473,43,23434,12020,11414,152,108,44
150000,内蒙古自治区,2001,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,13297,13205,92,33598,16833,16766,201,127,75
210000,辽宁省,2018,13885,13791,94,35181,17771,17410,563,134,429
210000,辽宁省,2017,13483,13382,101,35451,17906,17545,518,90,428
210000,辽宁省,2016,13389,13344,45,36513,18415,18099,155,88,66
210000,辽宁省,2015,242006,234112,7894,648616,324374,324242,32243,16819,15425
210000,辽宁省,2014,13670,13534,136,35618,18016,17602,618,347,271
210000,辽宁省,2013,13106,12706,400,34620,17843,16777,1611,449,1162
210000,辽宁省,2012,13129,12605,523,33899,16961,16937,2723,1398,1325
210000,辽宁省,2011,13691,13583,108,37002,18540,18462,445,306,140
210000,辽宁省,2010,,,,,,,,,
210000,辽宁省,2009,13398,13334,64,38167,19260,18907,262,84,178
210000,辽宁省,2008,13728,13659,69,38745,19515,19230,243,68,174
210000,辽宁省,2007,13479,13383,96,38923,19563,19361,394,215,179
210000,辽宁省,2006,13261,13165,96,38748,19527,19221,483,285,198
210000,辽宁省,2005,191306,189878,1428,553971,277593,276378,4756,2514,2241
210000,辽宁省,2004,13133,13078,56,40877,20477,20399,223,136,87
210000,辽宁省,2003,13376,13319,57,41320,20617,20702,229,162,67
210000,辽宁省,2002,13264,13243,21,41544,20964,20580,64,40,24
210000,辽宁省,2001,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,8033,8001,32,20821,10494,10327,118,77,42
220000,吉林省,2018,8334,8305,29,22090,11155,10935,83,43,40
220000,吉林省,2017,8444,8426,18,22374,11317,11056,50,29,22
220000,吉林省,2016,8038,8016,22,22881,11632,11249,64,33,31
220000,吉林省,2015,144359,141275,3084,412951,207928,205023,15560,8470,7090
220000,吉林省,2014,8325,8313,12,22647,11527,11120,68,34,34
220000,吉林省,2013,8206,8185,21,22639,11650,10990,67,47,20
220000,吉林省,2012,7955,7794,161,22438,11416,11022,511,254,257
220000,吉林省,2011,8059,7996,63,23231,11857,11375,259,146,113
220000,吉林省,2010,,,,,,,,,
220000,吉林省,2009,7895,7883,12,24296,12420,11877,52,46,7
220000,吉林省,2008,8170,8158,12,24720,12509,12211,44,18,26
220000,吉林省,2007,8218,8191,27,24936,12599,12337,131,98,33
220000,吉林省,2006,8204,8168,36,25010,12679,12332,233,93,139
220000,吉林省,2005,114033,113403,631,356480,180823,175657,3032,1722,1310
220000,吉林省,2004,8076,7998,79,25942,13173,12770,454,54,401
220000,吉林省,2003,8113,8070,43,26392,13374,13018,292,13,279
220000,吉林省,2002,8079,8045,34,26487,13434,13053,206,23,183
220000,吉林省,2001,,,,,,,,,
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,11787,11768,19,29045,14710,14336,132,78,54
230000,黑龙江省,2018,11926,11910,16,30862,15636,15225,85,60,24
230000,黑龙江省,2017,11924,11872,52,31020,15878,15142,232,42,190
230000,黑龙江省,2016,11521,11460,61,31496,16026,15470,378,78,300
230000,黑龙江省,2015,208837,204569,4267,570332,288310,282023,22373,10386,11987
230000,黑龙江省,2014,11713,11621,92,31033,15799,15234,599,30,569
230000,黑龙江省,2013,11554,11535,19,31581,16025,15556,70,29,40
230000,黑龙江省,2012,11558,11541,17,31917,16247,15669,73,35,38
230000,黑龙江省,2011,11535,11439,96,32181,16371,15810,575,112,464
230000,黑龙江省,2010,,,,,,,,,
230000,黑龙江省,2009,11815,11777,38,33952,17272,16681,113,38,75
230000,黑龙江省,2008,12202,12174,28,34593,17458,17135,96,82,14
230000,黑龙江省,2007,12038,12014,24,35108,17708,17400,85,73,12
230000,黑龙江省,2006,11855,11797,58,35266,17895,17372,237,140,98
230000,黑龙江省,2005,169716,169177,540,503286,254337,248949,2361,1530,831
230000,黑龙江省,2004,11850,11829,21,37199,18891,18308,41,17,25
230000,黑龙江省,2003,12010,11985,25,37601,19118,18484,92,54,37
230000,黑龙江省,2002,11696,11637,59,37419,19149,18270,387,218,169
230000,黑龙江省,2001,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,7832,7536,296,17924,9159,8765,861,588,273
310000,上海市,2018,8139,7971,169,19368,9922,9446,509,334,174
310000,上海市,2017,7906,7729,177,19269,9718,9551,557,367,189
310000,上海市,2016,8127,7801,325,19303,9799,9505,885,583,302
310000,上海市,2015,148332,136119,12213,335047,168645,166402,38909,25840,13069
310000,上海市,2014,8496,8104,392,18971,9732,9239,1048,602,446
310000,上海市,2013,8377,7965,412,18725,9557,9167,1207,710,497
310000,上海市,2012,8220,7692,528,18108,9181,8927,1754,1168,587
310000,上海市,2011,8294,7564,730,17631,9043,8587,2425,1601,825
310000,上海市,2010,,,,,,,,,
310000,上海市,2009,6475,6288,187,16272,8057,8215,542,306,237
310000,上海市,2008,6416,6171,245,16128,8021,8107,727,414,313
310000,上海市,2007,6281,6112,169,16178,8009,8169,530,315,215
310000,上海市,2006,6193,5982,211,15847,7836,8011,678,373,305
310000,上海市,2005,87861,83106,4756,220576,109480,111096,14775,8939,5836
310000,上海市,2004,5844,5805,39,16595,8149,8446,107,59,48
310000,上海市,2003,5702,5669,33,15954,7944,8010,107,79,28
310000,上海市,2002,5495,5328,167,15392,7649,7742,620,223,397
310000,上海市,2001,,,,,,,,,
310000,上海市,2000,,,,,,,,,
320000,江苏省,2019,21040,20478,562,60762,30712,30049,1890,1134,756
320000,江苏省,2018,21450,20769,681,63116,31895,31222,2879,1660,1220
320000,江苏省,2017,21275,20575,699,63536,32217,31319,2564,1325,1239
320000,江苏省,2016,20935,20355,580,64769,32742,32027,2229,997,1233
320000,江苏省,2015,391135,363675,27460,1123787,558260,565527,114405,70015,44390
320000,江苏省,2014,22121,21476,645,63502,31975,31527,2190,1141,1049
320000,江苏省,2013,22008,21350,658,62891,31402,31488,2635,1351,1284
320000,江苏省,2012,21659,20970,690,62302,31053,31249,3782,1806,1976
320000,江苏省,2011,22592,21717,875,63464,31824,31640,4021,2064,1957
320000,江苏省,2010,,,,,,,,,
320000,江苏省,2009,22850,22485,365,66981,32826,34155,1390,892,498
320000,江苏省,2008,22728,22173,555,66853,32679,34174,2315,1030,1285
320000,江苏省,2007,23043,22575,468,67397,33007,34389,2106,960,1146
320000,江苏省,2006,23070,22826,244,68439,33254,35185,1035,579,457
320000,江苏省,2005,337537,329566,7971,958550,469534,489016,30903,15960,14944
320000,江苏省,2004,22941,22752,189,71627,35503,36124,669,378,291
320000,江苏省,2003,22908,22685,223,72210,35594,36616,757,520,238
320000,江苏省,2002,23122,22891,231,72155,36045,36109,812,493,319
320000,江苏省,2001,,,,,,,,,
320000,江苏省,2000,,,,,,,,,
330000,浙江省,2019,17651,17296,354,44112,22734,21377,1308,811,496
330000,浙江省,2018,18096,17728,368,45813,23645,22168,1221,773,448
330000,浙江省,2017,17686,17238,448,45157,23464,21693,1416,1086,330
330000,浙江省,2016,17378,16889,489,45228,23147,22081,1603,1230,373
330000,浙江省,2015,311630,289309,22321,779528,395346,384182,80245,49809,30436
330000,浙江省,2014,17260,16291,969,41393,21225,20168,4063,2583,1480
330000,浙江省,2013,17034,15657,1377,39733,20361,19372,5643,3152,2492
330000,浙江省,2012,16706,15417,1290,41250,21173,20077,4450,2188,2262
330000,浙江省,2011,17425,16306,1119,42178,21434,20744,4496,1399,3097
330000,浙江省,2010,,,,,,,,,
330000,浙江省,2009,16205,15783,422,44122,22151,21972,1350,803,547
330000,浙江省,2008,16168,15659,509,44035,22208,21827,1865,1149,716
330000,浙江省,2007,16015,15528,487,44173,22354,21820,1671,1093,578
330000,浙江省,2006,15929,15511,418,44092,22298,21793,1431,674,758
330000,浙江省,2005,235033,226688,8345,619804,311824,307980,28537,17052,11485
330000,浙江省,2004,15242,14924,317,44339,22441,21898,1343,700,642
330000,浙江省,2003,15662,15374,288,44948,22680,22268,986,559,426
330000,浙江省,2002,15462,15145,317,44446,22460,21986,1323,750,573
330000,浙江省,2001,,,,,,,,,
330000,浙江省,2000,,,,,,,,,
340000,安徽省,2019,16925,16782,143,48934,24554,24380,628,488,139
340000,安徽省,2018,16479,16243,236,50570,25596,24974,1241,1071,171
340000,安徽省,2017,16213,16110,103,51204,26087,25118,454,363,91
340000,安徽省,2016,15687,15635,52,51868,26628,25240,188,99,88
340000,安徽省,2015,289977,277603,12374,902642,456073,446569,53203,33286,19917
340000,安徽省,2014,16057,15563,494,47992,24306,23686,2209,618,1591
340000,安徽省,2013,16155,15835,320,48036,24761,23275,1729,622,1107
340000,安徽省,2012,16335,15862,473,47980,24284,23697,1983,1748,235
340000,安徽省,2011,16880,16591,289,50225,25293,24932,764,541,223
340000,安徽省,2010,,,,,,,,,
340000,安徽省,2009,17966,17807,159,54167,27733,26433,471,461,10
340000,安徽省,2008,18178,18139,39,55097,28083,27014,401,386,15
340000,安徽省,2007,18460,18393,67,55931,28436,27495,316,27,289
340000,安徽省,2006,18302,18114,188,56004,28357,27647,877,596,281
340000,安徽省,2005,267231,265023,2208,801681,401545,400136,8414,5106,3308
340000,安徽省,2004,18612,18554,59,62252,31913,30338,324,195,129
340000,安徽省,2003,18217,18053,164,60993,31277,29717,1659,966,693
340000,安徽省,2002,17887,17801,86,62073,31808,30264,711,484,227
340000,安徽省,2001,,,,,,,,,
340000,安徽省,2000,,,,,,,,,
350000,福建省,2019,10799,10557,243,29966,15441,14524,903,551,352
350000,福建省,2018,10944,10546,398,30975,15941,15033,1335,865,470
350000,福建省,2017,10625,10142,482,30746,15617,15129,1475,819,656
350000,福建省,2016,10591,10310,281,31399,15935,15464,1075,605,470
350000,福建省,2015,188900,173537,15364,537764,270858,266906,58460,35530,22929
350000,福建省,2014,11652,11111,541,29937,15479,14458,1472,870,602
350000,福建省,2013,11340,10879,462,29612,15331,14281,1535,834,701
350000,福建省,2012,10887,10330,557,29180,14718,14461,2093,1064,1029
350000,福建省,2011,11010,10128,882,28187,14285,13902,3596,1394,2201
350000,福建省,2010,,,,,,,,,
350000,福建省,2009,10806,10471,335,31045,15354,15692,1052,694,358
350000,福建省,2008,10592,10251,341,31215,15461,15755,1269,881,387
350000,福建省,2007,10445,10174,271,31581,15778,15803,1173,684,488
350000,福建省,2006,10384,10019,365,31383,15780,15603,1472,813,660
350000,福建省,2005,156154,148892,7262,445164,222733,222431,22759,12521,10238
350000,福建省,2004,10496,10074,422,32052,16183,15869,1996,910,1086
350000,福建省,2003,10333,9939,394,32376,16368,16008,1885,1148,736
350000,福建省,2002,10369,9912,457,31898,16267,15631,2229,1486,743
350000,福建省,2001,,,,,,,,,
350000,福建省,2000,,,,,,,,,
360000,江西省,2019,10914,10727,187,35616,18225,17391,703,316,387
360000,江西省,2018,10985,10863,123,37504,19369,18134,576,210,366
360000,江西省,2017,10689,10658,32,37992,19740,18252,171,100,71
360000,江西省,2016,10585,10482,102,38169,19714,18455,406,355,51
360000,江西省,2015,194967,187202,7765,668430,342676,325753,42123,23144,18979
360000,江西省,2014,10984,10901,83,37167,19278,17889,319,295,24
360000,江西省,2013,10730,10607,123,36298,18485,17813,1023,938,85
360000,江西省,2012,10858,10699,159,36731,18782,17949,849,699,150
360000,江西省,2011,10972,10758,214,36983,19069,17914,1365,1121,243
360000,江西省,2010,,,,,,,,,
360000,江西省,2009,10776,10769,7,39164,20037,19126,22,12,10
360000,江西省,2008,11233,11191,42,39527,20182,19345,96,70,25
360000,江西省,2007,11688,11635,53,39795,20324,19471,149,102,48
360000,江西省,2006,11885,11865,20,39994,20482,19512,76,54,22
360000,江西省,2005,173456,171522,1934,564060,286604,277456,6612,3845,2767
360000,江西省,2004,11807,11745,63,41080,21102,19978,444,285,159
360000,江西省,2003,12053,11927,126,41038,20880,20158,703,515,187
360000,江西省,2002,11486,11442,44,41251,21240,20011,271,132,139
360000,江西省,2001,,,,,,,,,
360000,江西省,2000,,,,,,,,,
370000,山东省,2019,28543,28347,196,77746,39227,38519,572,304,267
370000,山东省,2018,28896,28656,240,81529,40943,40585,880,420,460
370000,山东省,2017,29103,28862,241,81408,41387,40021,1094,208,886
370000,山东省,2016,28939,28783,156,82708,42383,40325,757,196,561
370000,山东省,2015,514223,495703,18520,1426673,718766,707907,104089,63284,40805
370000,山东省,2014,28391,28267,124,80211,40548,39663,577,375,202
370000,山东省,2013,28638,28477,161,79775,40609,39166,556,318,237
370000,山东省,2012,27700,27473,227,80024,40320,39704,785,512,274
370000,山东省,2011,28335,28063,272,81311,40633,40678,1024,685,339
370000,山东省,2010,,,,,,,,,
370000,山东省,2009,28104,28048,56,83689,42306,41382,178,105,74
370000,山东省,2008,28672,28561,111,84654,42329,42325,316,184,132
370000,山东省,2007,29049,28746,303,84557,42256,42300,1139,777,362
370000,山东省,2006,28997,28663,334,84250,41899,42352,1703,1265,438
370000,山东省,2005,420932,415415,5517,1203376,600605,602770,20767,11370,9397
370000,山东省,2004,29225,29051,175,88433,44338,44095,639,346,294
370000,山东省,2003,29112,28889,223,88966,44535,44431,809,448,361
370000,山东省,2002,28734,28174,560,87919,44113,43806,1780,1259,521
370000,山东省,2001,,,,,,,,,
370000,山东省,2000,,,,,,,,,
410000,河南省,2019,22514,22346,168,73998,37310,36688,1089,610,479
410000,河南省,2018,23052,22976,76,78382,39634,38748,297,181,115
410000,河南省,2017,23590,23474,116,78444,40210,38234,561,160,401
410000,河南省,2016,22955,22834,120,79392,40566,38826,748,268,480
410000,河南省,2015,427261,414639,12623,1404474,712138,692336,71680,40358,31322
410000,河南省,2014,23089,22622,467,75502,38156,37346,2371,1229,1142
410000,河南省,2013,23644,23446,198,76916,38373,38543,772,682,90
410000,河南省,2012,23092,22869,224,77069,38527,38542,1414,1153,261
410000,河南省,2011,22882,22346,536,75796,38242,37553,4413,3371,1041
410000,河南省,2010,,,,,,,,,
410000,河南省,2009,25172,25172,,83974,42511,41463,,,
410000,河南省,2008,25046,25041,5,84877,42916,41961,29,13,16
410000,河南省,2007,25413,25389,24,86347,43978,42369,112,69,43
410000,河南省,2006,25781,25760,21,87139,44173,42966,40,17,23
410000,河南省,2005,363015,361725,1290,1237993,627873,610119,3623,2740,883
410000,河南省,2004,26813,26685,127,93436,48113,45323,936,452,484
410000,河南省,2003,26966,26799,167,94277,48631,45645,752,568,185
410000,河南省,2002,26338,26180,158,94371,48034,46336,423,255,167
410000,河南省,2001,,,,,,,,,
410000,河南省,2000,,,,,,,,,
420000,湖北省,2019,15294,14913,381,43839,22152,21688,2262,1065,1198
420000,湖北省,2018,15856,15269,586,45846,23199,22647,2652,1774,878
420000,湖北省,2017,15946,15270,676,46089,23490,22599,2595,1600,994
420000,湖北省,2016,15757,15304,453,47625,24326,23299,1759,1026,733
420000,湖北省,2015,290026,273352,16673,832740,421272,411469,76531,42535,33995
420000,湖北省,2014,15806,15646,160,46301,23684,22617,1696,774,922
420000,湖北省,2013,15907,15690,217,46196,23453,22742,1665,869,796
420000,湖北省,2012,15422,15167,255,45958,23220,22738,2261,1342,919
420000,湖北省,2011,15736,15450,286,47230,23997,23233,1961,1276,684
420000,湖北省,2010,,,,,,,,,
420000,湖北省,2009,16531,16489,42,50722,26014,24708,140,56,84
420000,湖北省,2008,16672,16458,214,50651,25703,24948,1046,512,534
420000,湖北省,2007,16802,16487,315,50972,25937,25035,1436,703,732
420000,湖北省,2006,17021,16841,180,52084,26328,25756,986,530,456
420000,湖北省,2005,244772,242166,2606,744987,377712,367275,10836,6778,4058
420000,湖北省,2004,17232,17026,206,57156,28982,28174,1354,671,683
420000,湖北省,2003,17796,17586,210,57727,29455,28272,1457,832,625
420000,湖北省,2002,17942,17745,197,58254,29717,28537,1016,577,439
420000,湖北省,2001,,,,,,,,,
420000,湖北省,2000,,,,,,,,,
430000,湖南省,2019,17031,16933,98,53309,27118,26192,542,320,222
430000,湖南省,2018,17033,16766,267,55116,27973,27143,1400,496,904
430000,湖南省,2017,17346,17011,335,54555,27678,26878,2092,882,1209
430000,湖南省,2016,17503,17414,89,56440,28711,27729,870,575,295
430000,湖南省,2015,313240,300823,12416,988162,501312,486849,67977,34500,33477
430000,湖南省,2014,17398,17134,264,54488,27871,26617,1112,645,467
430000,湖南省,2013,16935,16753,182,54501,27910,26591,718,464,254
430000,湖南省,2012,17996,17832,163,54786,28143,26643,609,435,174
430000,湖南省,2011,18336,18054,282,55134,28186,26948,1217,807,410
430000,湖南省,2010,,,,,,,,,
430000,湖南省,2009,17273,17230,43,56701,29032,27669,119,55,64
430000,湖南省,2008,17829,17658,171,57044,29253,27791,603,559,44
430000,湖南省,2007,18413,18220,193,57785,29627,28158,598,448,150
430000,湖南省,2006,18906,18852,54,58644,29882,28762,151,71,80
430000,湖南省,2005,265433,263001,2432,826391,421473,404919,10971,6764,4208
430000,湖南省,2004,19006,18884,123,64251,32968,31283,790,383,407
430000,湖南省,2003,18981,18746,235,63640,32881,30758,1881,1201,680
430000,湖南省,2002,19021,18922,100,65119,33766,31353,314,207,107
430000,湖南省,2001,,,,,,,,,
430000,湖南省,2000,,,,,,,,,
440000,广东省,2019,30339,27825,2515,80476,42433,38043,8952,5983,2969
440000,广东省,2018,30474,28361,2113,85610,45007,40602,7414,5201,2213
440000,广东省,2017,30143,28166,1977,85851,45187,40664,6071,3672,2398
440000,广东省,2016,29620,27857,1763,86392,45364,41028,5715,3504,2210
440000,广东省,2015,512564,442394,70170,1430729,740179,690550,250937,153854,97083
440000,广东省,2014,27311,24832,2479,79154,40955,38199,9349,7066,2283
440000,广东省,2013,27050,24828,2223,78242,40514,37728,9605,5668,3937
440000,广东省,2012,26421,24068,2353,78487,40261,38226,9908,6427,3481
440000,广东省,2011,26340,23808,2532,79261,41096,38165,10489,6954,3535
440000,广东省,2010,,,,,,,,,
440000,广东省,2009,25426,22954,2472,75732,38551,37180,9249,4409,4841
440000,广东省,2008,25045,22362,2683,76348,38877,37471,9366,5043,4323
440000,广东省,2007,24792,22254,2538,75458,38262,37196,10191,5344,4847
440000,广东省,2006,24645,22172,2473,75590,38521,37068,9862,5259,4603
440000,广东省,2005,345573,310146,35427,1053819,532417,521402,163187,83922,79265
440000,广东省,2004,19991,19325,666,73474,37507,35967,4171,2351,1820
440000,广东省,2003,20105,19550,555,74822,38096,36726,2853,1607,1247
440000,广东省,2002,20319,19291,1028,70494,35904,34590,6723,3760,2963
440000,广东省,2001,,,,,,,,,
440000,广东省,2000,,,,,,,,,
450000,广西壮族自治区,2019,11663,11552,111,37941,19612,18329,712,366,346
450000,广西壮族自治区,2018,11778,11714,64,39792,20688,19104,561,308,253
450000,广西壮族自治区,2017,11481,11399,82,39992,20866,19126,393,215,178
450000,广西壮族自治区,2016,11484,11410,74,40474,21028,19446,203,133,70
450000,广西壮族自治区,2015,209878,202424,7454,710000,366148,343853,37093,17522,19571
450000,广西壮族自治区,2014,12191,12003,188,38759,20150,18609,473,253,220
450000,广西壮族自治区,2013,11809,11559,251,38265,19967,18298,682,385,298
450000,广西壮族自治区,2012,11746,11571,175,38470,19878,18591,597,381,216
450000,广西壮族自治区,2011,12450,12130,320,38261,19630,18631,1425,1156,269
450000,广西壮族自治区,2010,,,,,,,,,
450000,广西壮族自治区,2009,12022,11986,36,42790,22480,20310,101,60,40
450000,广西壮族自治区,2008,12184,12107,77,42930,22321,20609,322,257,65
450000,广西壮族自治区,2007,12082,12021,61,42980,22322,20658,462,295,166
450000,广西壮族自治区,2006,12240,12173,67,42798,22281,20517,512,325,187
450000,广西壮族自治区,2005,182241,180466,1775,610512,316165,294347,6325,3575,2750
450000,广西壮族自治区,2004,12464,12420,44,47315,24499,22816,93,67,26
450000,广西壮族自治区,2003,12858,12834,24,47591,24903,22688,70,44,26
450000,广西壮族自治区,2002,12878,12813,65,47052,24643,22409,452,65,387
450000,广西壮族自治区,2001,,,,,,,,,
450000,广西壮族自治区,2000,,,,,,,,,
460000,海南省,2019,2006,1945,61,7050,3732,3318,300,56,244
460000,海南省,2018,2120,2023,97,7264,3825,3439,394,92,302
460000,海南省,2017,2138,2065,73,7398,3918,3480,242,84,158
460000,海南省,2016,2037,2020,17,7626,4021,3605,72,37,35
460000,海南省,2015,38313,35952,2362,131055,68071,62984,10540,6250,4290
460000,海南省,2014,2049,1960,89,7039,3720,3319,417,274,143
460000,海南省,2013,2060,1991,69,7017,3707,3310,372,192,180
460000,海南省,2012,2003,1910,93,6952,3726,3225,446,208,238
460000,海南省,2011,2102,2031,71,7182,3756,3426,313,141,173
460000,海南省,2010,,,,,,,,,
460000,海南省,2009,2019,1981,38,7434,3943,3491,172,111,60
460000,海南省,2008,2038,2002,36,7508,3908,3599,158,103,54
460000,海南省,2007,1992,1952,40,7511,3927,3583,185,103,82
460000,海南省,2006,1955,1931,24,7593,3978,3615,102,51,51
