省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上文盲人口数(人口抽样调查)(人),15岁及以上男性文盲人口数(人口抽样调查)(人),15岁及以上女性文盲人口数(人口抽样调查)(人)
230000,黑龙江省,2011,28912,14474,14437,757,210,547
230000,黑龙江省,2010,,,,,,
230000,黑龙江省,2009,29864,15076,14788,1328,376,952
230000,黑龙江省,2008,30280,15236,15044,1259,332,927
230000,黑龙江省,2007,30563,15366,15197,1333,366,967
230000,黑龙江省,2006,30532,15380,15152,1517,426,1090
230000,黑龙江省,2005,430771,216958,213813,26633,7584,19049
230000,黑龙江省,2004,31828,16057,15770,1529,492,1037
230000,黑龙江省,2003,31722,16004,15718,1835,538,1298
230000,黑龙江省,2002,31380,15976,15404,2051,656,1395
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,16900,8752,8149,420,93,327
310000,上海市,2018,17922,9166,8756,426,93,334
310000,上海市,2017,17854,9031,8823,408,77,332
310000,上海市,2016,18236,9347,8889,567,114,454
310000,上海市,2015,339022,175949,163073,10592,2248,8344
310000,上海市,2014,17995,9233,8763,566,122,444
310000,上海市,2013,18065,9264,8801,658,184,474
310000,上海市,2012,18181,9443,8738,406,87,319
310000,上海市,2011,18394,9727,8667,442,87,356
310000,上海市,2010,,,,,,
310000,上海市,2009,15544,7674,7869,592,104,487
310000,上海市,2008,15522,7705,7817,616,116,500
310000,上海市,2007,15378,7611,7767,621,106,515
310000,上海市,2006,15187,7500,7687,747,131,616
310000,上海市,2005,214169,107344,106825,11213,2019,9194
310000,上海市,2004,15233,7469,7764,996,170,826
310000,上海市,2003,14646,7304,7342,861,157,705
310000,上海市,2002,14296,7000,7297,1170,249,921
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,54014,27195,26819,2565,536,2029
320000,江苏省,2018,56934,28679,28255,3285,697,2588
320000,江苏省,2017,57211,28766,28446,3405,727,2677
320000,江苏省,2016,57799,28713,29085,3361,790,2571
320000,江苏省,2015,1070294,537019,533275,57833,12584,45249
320000,江苏省,2014,56650,28136,28516,2870,593,2277
320000,江苏省,2013,56793,27932,28861,2148,443,1705
320000,江苏省,2012,57383,27979,29403,2742,602,2140
320000,江苏省,2011,58720,28967,29753,2855,574,2281
320000,江苏省,2010,,,,,,
320000,江苏省,2009,59013,28572,30442,4275,919,3356
320000,江苏省,2008,59653,28266,31387,4802,987,3815
320000,江苏省,2007,59592,28460,31131,4883,1040,3843
320000,江苏省,2006,59074,28009,31065,5528,1132,4396
320000,江苏省,2005,835732,401541,434191,83702,17528,66174
320000,江苏省,2004,60493,29353,31139,7955,1793,6162
320000,江苏省,2003,60549,29480,31069,8753,2168,6585
320000,江苏省,2002,59252,29232,30020,8477,1979,6498
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,39490,20328,19162,1787,399,1387
330000,浙江省,2018,40593,20899,19693,2002,462,1540
330000,浙江省,2017,40904,21510,19394,2208,557,1651
330000,浙江省,2016,40768,21118,19650,2443,568,1875
330000,浙江省,2015,748742,385894,362848,43947,11197,32751
330000,浙江省,2014,39989,20970,19019,2341,626,1715
330000,浙江省,2013,39959,20665,19294,2150,560,1590
330000,浙江省,2012,40062,20367,19694,2051,520,1531
330000,浙江省,2011,40789,19801,20988,2553,657,1896
330000,浙江省,2010,,,,,,
330000,浙江省,2009,39175,19636,19539,3156,715,2440
330000,浙江省,2008,39465,19964,19501,3703,918,2784
330000,浙江省,2007,39123,19823,19300,3960,961,3000
330000,浙江省,2006,38697,19269,19428,3947,981,2966
330000,浙江省,2005,545255,274090,271165,65172,16687,48485
330000,浙江省,2004,38551,19389,19162,5166,1542,3624
330000,浙江省,2003,38534,19292,19242,5096,1459,3638
330000,浙江省,2002,38248,19161,19088,5177,1528,3649
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,40320,20014,20305,2592,585,2007
340000,安徽省,2018,42181,21424,20757,2847,668,2179
340000,安徽省,2017,41792,21005,20786,2843,782,2062
340000,安徽省,2016,42927,21710,21218,2923,810,2114
340000,安徽省,2015,785976,395406,390570,51141,13244,37897
340000,安徽省,2014,41225,19986,21238,2980,787,2193
340000,安徽省,2013,40579,20257,20322,3014,879,2136
340000,安徽省,2012,40915,20962,19953,3385,869,2516
340000,安徽省,2011,41801,20765,21036,3525,896,2630
340000,安徽省,2010,,,,,,
340000,安徽省,2009,44116,22139,21977,5889,1649,4240
340000,安徽省,2008,44335,22090,22244,6424,1762,4663
340000,安徽省,2007,44509,21805,22704,7489,2035,5454
340000,安徽省,2006,44746,22133,22613,7292,1924,5368
340000,安徽省,2005,623028,303519,319509,119875,34197,85678
340000,安徽省,2004,49000,24669,24331,7390,2092,5298
340000,安徽省,2003,48983,24798,24186,6694,1925,4769
340000,安徽省,2002,47593,23887,23706,8510,2478,6032
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,25661,13132,12529,1748,370,1378
350000,福建省,2018,26907,13845,13063,1808,349,1459
350000,福建省,2017,26265,13205,13060,1471,263,1208
350000,福建省,2016,26534,13292,13241,1628,314,1314
350000,福建省,2015,491456,249598,241858,32693,6232,26460
350000,福建省,2014,25884,13328,12554,1435,293,1142
350000,福建省,2013,25899,13292,12606,1312,241,1071
350000,福建省,2012,26044,12967,13077,1204,215,989
350000,福建省,2011,26774,13033,13740,1183,214,969
350000,福建省,2010,,,,,,
350000,福建省,2009,26616,13105,13510,2255,513,1743
350000,福建省,2008,26720,13250,13470,2773,464,2309
350000,福建省,2007,26987,13309,13678,3022,601,2421
350000,福建省,2006,26959,13349,13610,3049,590,2459
350000,福建省,2005,381435,188037,193398,49279,10028,39251
350000,福建省,2004,27488,13553,13935,4192,1017,3175
350000,福建省,2003,26935,13505,13430,3650,826,2825
350000,福建省,2002,26930,13875,13055,3680,881,2799
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,28980,14471,14509,854,168,686
360000,江西省,2018,30355,15236,15119,1253,248,1004
360000,江西省,2017,29919,15160,14758,1304,306,998
360000,江西省,2016,30389,15452,14937,1469,358,1111
360000,江西省,2015,558012,279649,278362,26098,6029,20069
360000,江西省,2014,29710,15208,14501,1005,248,757
360000,江西省,2013,29968,15317,14650,825,201,624
360000,江西省,2012,29495,14874,14621,1103,256,847
360000,江西省,2011,30114,15532,14582,1115,249,866
360000,江西省,2010,,,,,,
360000,江西省,2009,30564,15095,15469,1515,318,1197
360000,江西省,2008,30628,15114,15515,1987,438,1548
360000,江西省,2007,30897,15243,15655,2225,459,1767
360000,江西省,2006,30243,14922,15321,2787,648,2139
360000,江西省,2005,427446,209866,217579,45038,10308,34730
360000,江西省,2004,32561,16367,16195,2949,742,2207
360000,江西省,2003,32045,16118,15927,2644,662,1982
360000,江西省,2002,31332,15668,15664,3371,813,2558
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,64477,31997,32480,4729,1050,3680
370000,山东省,2018,67566,33435,34131,4757,1045,3712
370000,山东省,2017,67914,33725,34188,4119,809,3310
370000,山东省,2016,69325,34752,34573,4547,1089,3458
370000,山东省,2015,1280426,645541,634885,85107,22339,62769
370000,山东省,2014,68037,33953,34082,3766,872,2894
370000,山东省,2013,67898,34119,33779,3604,834,2770
370000,山东省,2012,67769,33826,33944,4204,1051,3153
370000,山东省,2011,69550,34507,35043,4607,1147,3460
370000,山东省,2010,,,,,,
370000,山东省,2009,70735,35197,35538,5302,1301,4001
370000,山东省,2008,71724,35377,36347,5707,1349,4358
370000,山东省,2007,72490,35954,36535,5950,1388,4562
370000,山东省,2006,72821,36145,36676,6648,1541,5107
370000,山东省,2005,1029220,507409,521811,127449,31741,95707
370000,山东省,2004,73816,36477,37339,9274,2526,6748
370000,山东省,2003,73300,36226,37074,10020,2626,7394
370000,山东省,2002,72804,36380,36423,8180,2004,6176
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,59273,29292,29981,2640,642,1998
410000,河南省,2018,61918,30535,31383,2990,777,2213
410000,河南省,2017,62529,31292,31237,3128,794,2334
410000,河南省,2016,63480,31520,31960,3586,1076,2510
410000,河南省,2015,1166364,579747,586617,61206,18170,43036
410000,河南省,2014,61575,30309,31267,2797,795,2002
410000,河南省,2013,61555,29957,31597,3004,882,2122
410000,河南省,2012,62353,30621,31733,3344,949,2395
410000,河南省,2011,63576,32155,31421,3622,1017,2605
410000,河南省,2010,,,,,,
410000,河南省,2009,67885,33335,34550,4475,1315,3159
410000,河南省,2008,68058,33399,34659,5008,1435,3573
410000,河南省,2007,68846,34050,34797,5449,1496,3953
410000,河南省,2006,68956,33827,35129,5955,1749,4206
410000,河南省,2005,979235,483364,495872,95891,26929,68962
410000,河南省,2004,74339,37263,37076,6006,1741,4265
410000,河南省,2003,73564,37159,36405,6773,1907,4866
410000,河南省,2002,72133,35991,36142,6592,1784,4808
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,38921,19328,19593,1883,464,1420
420000,湖北省,2018,41053,20896,20158,1976,495,1481
420000,湖北省,2017,40983,20847,20136,2333,567,1767
420000,湖北省,2016,41739,21236,20503,2352,552,1800
420000,湖北省,2015,771249,388088,383161,45977,11760,34217
420000,湖北省,2014,40330,20247,20082,2340,553,1787
420000,湖北省,2013,40707,20446,20262,2158,589,1569
420000,湖北省,2012,41428,20880,20548,2431,610,1821
420000,湖北省,2011,42154,21402,20752,2469,596,1873
420000,湖北省,2010,,,,,,
420000,湖北省,2009,43505,21951,21554,3399,944,2455
420000,湖北省,2008,44106,22058,22047,3391,924,2467
420000,湖北省,2007,44177,22140,22037,3843,1022,2821
420000,湖北省,2006,44059,21943,22116,4330,1081,3249
420000,湖北省,2005,613088,305444,307644,74114,17902,56212
420000,湖北省,2004,47234,23554,23679,5419,1402,4017
420000,湖北省,2003,46673,23525,23148,5522,1357,4165
420000,湖北省,2002,45591,22902,22690,6896,1910,4985
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,43087,21597,21491,1169,279,890
430000,湖南省,2018,45503,22539,22964,1419,354,1065
430000,湖南省,2017,46220,22980,23240,1447,408,1038
430000,湖南省,2016,46880,23678,23201,1588,430,1158
430000,湖南省,2015,861699,429028,432671,29042,7846,21195
430000,湖南省,2014,45424,22877,22547,1505,437,1068
430000,湖南省,2013,45131,22842,22289,1408,390,1018
430000,湖南省,2012,45065,22876,22189,1820,523,1297
430000,湖南省,2011,46264,23459,22805,1959,541,1418
430000,湖南省,2010,,,,,,
430000,湖南省,2009,47036,23660,23376,2372,593,1779
430000,湖南省,2008,48037,24496,23541,2819,726,2093
430000,湖南省,2007,48587,24657,23930,2601,637,1964
430000,湖南省,2006,48207,24084,24123,3144,747,2397
430000,湖南省,2005,680670,342170,338500,58377,15200,43177
430000,湖南省,2004,52986,26849,26136,3945,1097,2847
430000,湖南省,2003,52835,27187,25647,4476,1227,3249
430000,湖南省,2002,52114,26633,25481,4352,1191,3161
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,75151,40566,34585,2247,430,1817
440000,广东省,2018,77295,41568,35726,2065,416,1649
440000,广东省,2017,76450,40422,36028,1919,375,1544
440000,广东省,2016,76689,40344,36345,2204,429,1775
440000,广东省,2015,1412318,746104,666213,40929,9406,31523
440000,广东省,2014,73926,40022,33904,2272,475,1797
440000,广东省,2013,73194,38115,35079,2051,407,1645
440000,广东省,2012,73925,38665,35260,2061,368,1693
440000,广东省,2011,74285,39321,34964,2264,484,1780
440000,广东省,2010,,,,,,
440000,广东省,2009,70246,34811,35435,2548,490,2058
440000,广东省,2008,69879,35265,34614,2812,490,2322
440000,广东省,2007,69264,34726,34538,2850,513,2338
440000,广东省,2006,68166,34362,33804,3486,669,2818
440000,广东省,2005,956604,473198,483406,57370,10634,46735
440000,广东省,2004,58117,29133,28984,4020,826,3194
440000,广东省,2003,57083,28411,28672,4308,869,3439
440000,广东省,2002,57744,29217,28528,4045,801,3244
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,30215,15462,14753,826,156,670
450000,广西壮族自治区,2018,31532,16285,15248,1002,221,781
450000,广西壮族自治区,2017,31397,16222,15175,1037,250,786
450000,广西壮族自治区,2016,31991,16441,15550,1212,241,971
450000,广西壮族自治区,2015,578067,292388,285679,26921,5858,21063
450000,广西壮族自治区,2014,30643,15728,14914,1102,201,901
450000,广西壮族自治区,2013,30586,15862,14724,1045,252,793
450000,广西壮族自治区,2012,30243,15480,14762,1134,268,867
450000,广西壮族自治区,2011,30969,16127,14842,1261,283,978
450000,广西壮族自治区,2010,,,,,,
450000,广西壮族自治区,2009,33769,17446,16324,1708,401,1307
450000,广西壮族自治区,2008,33798,17402,16396,1896,438,1458
450000,广西壮族自治区,2007,33925,17406,16519,1976,456,1520
450000,广西壮族自治区,2006,33682,17338,16343,2024,424,1600
450000,广西壮族自治区,2005,470371,238765,231606,40625,9040,31584
450000,广西壮族自治区,2004,37473,19170,18302,3030,746,2284
450000,广西壮族自治区,2003,37377,19275,18102,3309,826,2483
450000,广西壮族自治区,2002,37014,18973,18041,3498,774,2725
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,5917,2994,2923,227,60,167
460000,海南省,2018,6189,3107,3082,246,60,186
460000,海南省,2017,6126,3170,2956,259,68,191
460000,海南省,2016,6178,3228,2950,286,77,209
460000,海南省,2015,113538,58818,54720,6025,1295,4730
460000,海南省,2014,6035,3211,2826,267,54,213
460000,海南省,2013,6004,3113,2891,286,65,221
460000,海南省,2012,5985,3146,2839,266,64,202
460000,海南省,2011,6003,3077,2926,290,64,226
460000,海南省,2010,,,,,,
460000,海南省,2009,6053,3182,2871,472,105,367
460000,海南省,2008,6015,3092,2922,520,113,407
460000,海南省,2007,6053,3111,2941,517,116,401
460000,海南省,2006,5987,3079,2908,568,135,433
460000,海南省,2005,83637,43036,40601,8162,1794,6367
460000,海南省,2004,6024,3074,2951,443,89,354
460000,海南省,2003,6026,3121,2905,549,126,423
460000,海南省,2002,5860,3011,2849,520,109,410
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,20201,9989,10212,636,170,466
500000,重庆市,2018,21113,10459,10654,808,202,606
500000,重庆市,2017,21184,10445,10739,639,155,484
500000,重庆市,2016,21611,10852,10759,869,203,666
500000,重庆市,2015,395462,196313,199149,22102,6410,15692
500000,重庆市,2014,20920,10678,10242,1071,299,772
500000,重庆市,2013,20687,10448,10239,995,290,705
500000,重庆市,2012,20537,10210,10327,1082,326,756
500000,重庆市,2011,20938,10616,10322,1043,298,745
500000,重庆市,2010,,,,,,
500000,重庆市,2009,20635,10170,10465,1471,434,1036
500000,重庆市,2008,20687,10272,10416,1614,468,1146
500000,重庆市,2007,20957,10445,10512,1677,452,1225
500000,重庆市,2006,20946,10366,10580,2032,567,1465
500000,重庆市,2005,293816,145638,148178,34244,9658,24586
500000,重庆市,2004,24176,11885,12292,2969,906,2063
500000,重庆市,2003,24945,12503,12442,2095,552,1543
500000,重庆市,2002,24695,12440,12255,2547,695,1852
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,54523,26488,28035,3710,981,2729
510000,四川省,2018,57159,28048,29111,4282,1091,3191
510000,四川省,2017,57749,28912,28837,4071,1019,3052
510000,四川省,2016,58371,28868,29503,4799,1336,3463
510000,四川省,2015,1074458,534664,539794,87444,25855,61590
510000,四川省,2014,56286,27676,28609,4044,948,3096
510000,四川省,2013,55831,28322,27510,3723,1034,2689
510000,四川省,2012,56449,29551,26898,3866,1163,2703
510000,四川省,2011,57636,29278,28358,4156,1177,2978
510000,四川省,2010,,,,,,
510000,四川省,2009,59999,29753,30246,5503,1463,4040
510000,四川省,2008,60928,30601,30327,6239,1778,4462
510000,四川省,2007,60809,30125,30684,6461,1784,4677
510000,四川省,2006,61143,30537,30606,7678,2157,5522
510000,四川省,2005,849493,415877,433616,141104,40946,100158
510000,四川省,2004,68253,33996,34257,7873,2450,5423
510000,四川省,2003,68569,34325,34244,8046,2424,5622
510000,四川省,2002,67689,33464,34225,9171,2748,6424
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,21960,11202,10759,2237,534,1703
520000,贵州省,2018,22929,11817,11112,2276,553,1723
520000,贵州省,2017,23307,11905,11402,2356,638,1718
520000,贵州省,2016,23252,11848,11404,2758,742,2017
520000,贵州省,2015,426708,217321,209387,55494,14375,41120
520000,贵州省,2014,22553,11336,11217,2506,723,1783
520000,贵州省,2013,22520,11470,11050,2350,745,1605
520000,贵州省,2012,22393,11333,11060,2679,757,1922
520000,贵州省,2011,22475,11793,10682,2751,723,2028
520000,贵州省,2010,,,,,,
520000,贵州省,2009,25403,12941,12462,3357,826,2530
520000,贵州省,2008,25238,12865,12373,3680,925,2755
520000,贵州省,2007,25171,12705,12466,4177,1072,3105
520000,贵州省,2006,25207,12812,12396,4736,1231,3505
520000,贵州省,2005,353816,178813,175003,75750,19190,56560
520000,贵州省,2004,28140,14360,13780,4777,1444,3334
520000,贵州省,2003,28111,14350,13760,5533,1718,3815
520000,贵州省,2002,27497,14126,13371,5152,1528,3625
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,31042,15749,15293,2268,668,1600
530000,云南省,2018,32428,16725,15703,2639,792,1847
530000,云南省,2017,32191,16570,15621,2702,820,1881
530000,云南省,2016,32301,16265,16036,2853,842,2010
530000,云南省,2015,597416,304040,293376,56913,17273,39640
530000,云南省,2014,31527,16067,15460,2596,745,1851
530000,云南省,2013,30934,15956,14978,2614,893,1720
530000,云南省,2012,31272,16012,15259,2608,825,1783
530000,云南省,2011,31821,16187,15633,2773,885,1888
530000,云南省,2010,,,,,,
530000,云南省,2009,31760,16375,15385,4363,1335,3028
530000,云南省,2008,31885,16450,15435,4239,1262,2977
530000,云南省,2007,31972,16278,15694,5158,1590,3569
530000,云南省,2006,31972,16349,15623,5276,1617,3659
530000,云南省,2005,446987,228580,218407,89713,27653,62060
530000,云南省,2004,33119,16594,16525,5423,1699,3723
530000,云南省,2003,32286,16808,15478,6941,2327,4614
530000,云南省,2002,32138,16414,15724,7425,2244,5181
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,2028,1001,1027,671,234,437
540000,西藏自治区,2018,2154,1058,1096,759,277,482
540000,西藏自治区,2017,2126,1064,1062,743,289,454
540000,西藏自治区,2016,2119,1076,1043,871,360,511
540000,西藏自治区,2015,38702,19575,19127,14449,5723,8726
540000,西藏自治区,2014,1976,994,983,789,317,472
540000,西藏自治区,2013,1976,1004,972,814,374,440
540000,西藏自治区,2012,2000,983,1017,696,287,409
540000,西藏自治区,2011,1994,1011,982,589,214,374
540000,西藏自治区,2010,,,,,,
540000,西藏自治区,2009,2051,1002,1049,812,316,496
540000,西藏自治区,2008,2011,963,1048,759,269,491
540000,西藏自治区,2007,2025,985,1040,745,279,466
540000,西藏自治区,2006,1944,945,999,887,316,571
540000,西藏自治区,2005,26656,13064,13592,11953,4374,7579
540000,西藏自治区,2004,1982,963,1019,873,322,551
540000,西藏自治区,2003,1927,890,1036,1057,408,649
540000,西藏自治区,2002,1949,920,1029,854,311,543
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,25770,12961,12809,1024,263,761
610000,陕西省,2018,27129,13529,13600,1345,358,987
610000,陕西省,2017,26701,13013,13688,1468,416,1052
610000,陕西省,2016,27265,13659,13606,1423,427,996
610000,陕西省,2015,500658,250736,249921,24389,7255,17134
