省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上未婚人口数(人口抽样调查)(人),15岁及以上男性未婚人口数(人口抽样调查)(人),15岁及以上女性未婚人口数(人口抽样调查)(人),15岁及以上有配偶人口数(人口抽样调查)(人),15岁及以上男性有配偶人口数(人口抽样调查)(人),15岁及以上女性有配偶人口数(人口抽样调查)(人),15岁及以上初婚有配偶人口数(人口抽样调查)(人),15岁及以上男性初婚有配偶人口数(人口抽样调查)(人),15岁及以上女性初婚有配偶人口数(人口抽样调查)(人),15岁及以上再婚有配偶人口数(人口抽样调查)(人),15岁及以上男性再婚有配偶人口数(人口抽样调查)(人),15岁及以上女性再婚有配偶人口数(人口抽样调查)(人),15岁及以上离婚人口数(人口抽样调查)(人),15岁及以上男性离婚人口数(人口抽样调查)(人),15岁及以上女性离婚人口数(人口抽样调查)(人),15岁及以上丧偶人口数(人口抽样调查)(人),15岁及以上男性丧偶人口数(人口抽样调查)(人),15岁及以上女性丧偶人口数(人口抽样调查)(人)
220000,吉林省,2010,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2009,21386,10902,10484,3386,2034,1352,,,,15985,8007,7978,441,208,234,478,279,200,1095,375,721
220000,吉林省,2008,21735,10946,10790,3694,2128,1566,,,,15850,7909,7940,539,254,285,475,275,200,1178,379,799
220000,吉林省,2007,21781,10984,10797,3626,2105,1520,,,,16049,7997,8052,493,228,264,454,269,186,1160,386,774
220000,吉林省,2006,21931,11019,10912,3854,2192,1663,,,,15894,7919,7975,570,274,297,467,271,196,1146,363,782
220000,吉林省,2005,307428,155105,152323,54665,31559,23105,,,,224734,111905,112829,8274,3908,4366,5021,2980,2040,14735,4753,9982
220000,吉林省,2004,22730,11290,11440,4737,2448,2289,,,,16153,8074,8079,336,163,173,440,247,193,1063,359,705
220000,吉林省,2003,22617,11259,11358,4628,2423,2205,,,,16159,8066,8094,387,189,198,422,226,196,1020,354,666
220000,吉林省,2002,22350,11174,11176,4450,2390,2059,,,,16051,7996,8055,463,231,232,396,216,180,989,341,649
220000,吉林省,2001,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,26267,13256,13011,3737,2189,1548,19509,9814,9695,,,,,,,1348,739,608,1674,514,1160
230000,黑龙江省,2018,27679,13984,13695,4099,2403,1695,20782,10471,10311,,,,,,,1293,697,596,1505,413,1092
230000,黑龙江省,2017,28144,14256,13888,4258,2476,1782,21168,10700,10469,,,,,,,1147,641,506,1570,439,1131
230000,黑龙江省,2016,28670,14444,14226,4791,2688,2104,21042,10579,10463,,,,,,,1181,660,520,1656,517,1140
230000,黑龙江省,2015,530031,265814,264217,92174,50967,41207,387890,193662,194228,,,,,,,18494,10721,7773,29797,9602,20195
230000,黑龙江省,2014,27968,13934,14033,4613,2386,2227,,,,20249,10155,10093,692,345,347,965,590,375,1449,458,991
230000,黑龙江省,2013,27859,14091,13768,4350,2489,1861,,,,20509,10305,10205,614,300,314,975,563,412,1410,434,976
230000,黑龙江省,2012,28112,14234,13878,4317,2512,1804,,,,20713,10377,10336,632,316,315,908,531,377,1541,497,1045
230000,黑龙江省,2011,28912,14474,14437,5002,2734,2267,,,,20908,10458,10450,669,325,344,842,487,356,1490,470,1020
230000,黑龙江省,2010,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2009,29864,15076,14788,4436,2600,1837,,,,22348,11172,11176,722,354,368,756,446,310,1602,504,1098
230000,黑龙江省,2008,30280,15236,15044,4456,2609,1847,,,,22769,11339,11430,663,323,340,714,415,299,1678,550,1128
230000,黑龙江省,2007,30563,15366,15197,4650,2729,1920,,,,22849,11374,11474,720,356,364,672,401,271,1674,505,1168
230000,黑龙江省,2006,30532,15380,15152,4863,2839,2024,,,,22655,11296,11359,807,394,413,643,378,266,1564,473,1091
230000,黑龙江省,2005,430771,216958,213813,67892,39886,28007,,,,321690,159928,161761,12694,6224,6470,7682,4486,3196,20813,6434,14379
230000,黑龙江省,2004,31828,16057,15770,5899,3340,2559,,,,23192,11566,11626,651,328,322,539,319,221,1547,504,1043
230000,黑龙江省,2003,31722,16004,15718,5823,3380,2442,,,,23083,11505,11578,786,385,401,542,294,248,1489,440,1048
230000,黑龙江省,2002,31380,15976,15404,5984,3463,2521,,,,22763,11377,11387,723,345,378,489,296,193,1421,495,926
230000,黑龙江省,2001,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2019,16900,8752,8149,2851,1586,1265,12946,6813,6132,,,,,,,414,193,222,689,160,529
310000,上海市,2018,17922,9166,8756,3021,1703,1318,13708,7097,6611,,,,,,,474,210,264,719,156,563
310000,上海市,2017,17854,9031,8823,3102,1767,1335,13523,6895,6629,,,,,,,450,201,249,778,168,610
310000,上海市,2016,18236,9347,8889,3103,1761,1343,14057,7260,6796,,,,,,,366,164,202,709,162,548
310000,上海市,2015,339022,175949,163073,57729,33725,24004,256912,134178,122734,,,,,,,7284,3469,3815,15366,3731,11636
310000,上海市,2014,17995,9233,8763,3415,2008,1407,,,,13263,6762,6501,321,159,162,315,150,166,681,154,527
310000,上海市,2013,18065,9264,8801,3456,1944,1512,,,,13213,6818,6395,259,129,130,320,150,171,818,224,593
310000,上海市,2012,18181,9443,8738,3870,2203,1668,,,,13150,6817,6333,252,130,122,301,141,160,608,152,455
310000,上海市,2011,18394,9727,8667,4263,2527,1736,,,,12983,6785,6198,237,116,121,305,150,155,606,149,457
310000,上海市,2010,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2009,15544,7674,7869,2863,1567,1295,,,,11225,5599,5627,266,129,137,349,185,165,840,195,646
310000,上海市,2008,15522,7705,7817,3123,1735,1388,,,,10941,5457,5484,272,138,133,379,180,200,807,196,611
310000,上海市,2007,15378,7611,7767,2991,1661,1330,,,,10913,5441,5472,258,127,131,349,174,176,867,209,658
310000,上海市,2006,15187,7500,7687,3001,1662,1339,,,,10692,5336,5356,283,135,148,317,163,154,894,204,690
310000,上海市,2005,214169,107344,106825,45843,25561,20283,,,,150506,75581,74925,4155,2027,2128,3749,1883,1866,9916,2293,7624
310000,上海市,2004,15233,7469,7764,2769,1564,1205,,,,10974,5433,5540,287,140,148,287,134,153,916,198,718
310000,上海市,2003,14646,7304,7342,2929,1741,1188,,,,10184,5044,5140,272,135,137,338,184,154,923,200,723
310000,上海市,2002,14296,7000,7297,2816,1511,1305,,,,10099,5015,5084,279,134,145,270,145,125,832,194,637
310000,上海市,2001,,,,,,,,,,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2019,54014,27195,26819,8246,4937,3310,41502,20778,20725,,,,,,,1084,561,523,3181,920,2261
320000,江苏省,2018,56934,28679,28255,8647,4836,3810,44001,22335,21667,,,,,,,1012,569,443,3275,940,2335
320000,江苏省,2017,57211,28766,28446,8558,4844,3714,44550,22535,22015,,,,,,,942,497,445,3161,889,2271
320000,江苏省,2016,57799,28713,29085,9063,5070,3993,44561,22214,22347,,,,,,,890,493,397,3285,937,2348
320000,江苏省,2015,1070294,537019,533275,177235,104304,72931,816527,406040,410487,,,,,,,15417,8956,6460,59385,16882,42502
320000,江苏省,2014,56650,28136,28516,9484,5590,3894,,,,42125,20703,21423,977,446,532,881,506,375,3183,891,2292
320000,江苏省,2013,56793,27932,28861,9757,5427,4330,,,,41962,20617,21345,887,417,470,783,473,310,3403,997,2406
320000,江苏省,2012,57383,27979,29403,10599,5642,4957,,,,42185,20694,21491,729,339,389,666,377,289,3204,927,2278
320000,江苏省,2011,58720,28967,29753,11095,5952,5143,,,,42913,21384,21528,790,355,434,682,360,322,3241,916,2325
320000,江苏省,2010,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2009,59013,28572,30442,9188,5336,3852,,,,44440,21323,23117,942,428,514,566,339,227,3878,1146,2732
320000,江苏省,2008,59653,28266,31387,10340,5629,4712,,,,43704,20709,22995,963,404,558,550,335,216,4095,1189,2906
320000,江苏省,2007,59592,28460,31131,10206,5685,4520,,,,44032,20957,23076,971,427,544,472,317,155,3910,1074,2836
320000,江苏省,2006,59074,28009,31065,9397,5195,4202,,,,44480,21094,23386,820,334,486,509,299,209,3869,1088,2781
320000,江苏省,2005,835732,401541,434191,132857,74717,58140,,,,628557,301591,326966,15531,6746,8785,7100,4229,2871,51686,14258,37428
320000,江苏省,2004,60493,29353,31139,9071,5232,3839,,,,45761,22178,23584,1008,438,570,483,285,198,4169,1221,2948
320000,江苏省,2003,60549,29480,31069,8597,5041,3556,,,,46169,22444,23725,1063,440,624,540,375,165,4180,1180,2999
320000,江苏省,2002,59252,29232,30020,8444,5053,3391,,,,45625,22446,23179,753,317,436,566,350,216,3864,1066,2798
320000,江苏省,2001,,,,,,,,,,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2019,39490,20328,19162,6499,4002,2497,30063,15389,14674,,,,,,,810,468,342,2118,469,1649
330000,浙江省,2018,40593,20899,19693,6345,3880,2465,31336,16095,15241,,,,,,,802,441,361,2109,483,1626
330000,浙江省,2017,40904,21510,19394,6881,4487,2394,31248,16098,15150,,,,,,,723,428,296,2052,497,1555
330000,浙江省,2016,40768,21118,19650,6981,4361,2620,30912,15820,15092,,,,,,,732,429,303,2143,508,1634
330000,浙江省,2015,748742,385894,362848,130664,81014,49650,564757,286627,278130,,,,,,,12547,7173,5374,38235,9732,28503
330000,浙江省,2014,39989,20970,19019,8358,5207,3151,,,,28579,14608,13971,675,312,363,598,396,202,1779,447,1332
330000,浙江省,2013,39959,20665,19294,10003,5876,4127,,,,27112,13770,13341,568,263,305,535,303,231,1742,453,1289
330000,浙江省,2012,40062,20367,19694,9091,4900,4191,,,,28141,14443,13698,650,293,357,470,265,205,1710,466,1244
330000,浙江省,2011,40789,19801,20988,8588,3908,4680,,,,29284,14839,14445,663,283,380,416,273,143,1838,499,1340
330000,浙江省,2010,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2009,39175,19636,19539,6868,4026,2841,,,,28882,14406,14476,664,294,370,536,334,203,2225,576,1649
330000,浙江省,2008,39465,19964,19501,6935,4209,2726,,,,29091,14539,14552,681,312,369,486,303,183,2271,601,1670
330000,浙江省,2007,39123,19823,19300,6743,4136,2607,,,,28947,14484,14463,634,292,342,493,317,176,2305,593,1712
330000,浙江省,2006,38697,19269,19428,6696,3805,2891,,,,28884,14396,14488,687,288,399,403,246,157,2027,534,1493
330000,浙江省,2005,545255,274090,271165,94861,56991,37871,,,,403170,201100,202069,10913,4427,6486,5436,3439,1997,30874,8133,22741
330000,浙江省,2004,38551,19389,19162,6613,3913,2699,,,,28732,14329,14402,692,291,402,449,279,170,2065,576,1489
330000,浙江省,2003,38534,19292,19242,6185,3656,2529,,,,28874,14419,14455,723,305,417,441,273,168,2311,639,1672
330000,浙江省,2002,38248,19161,19088,6179,3666,2513,,,,28624,14298,14325,644,266,378,443,280,163,2359,650,1709
330000,浙江省,2001,,,,,,,,,,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,,,,,,,,,,
340000,安徽省,2019,40320,20014,20305,6565,4089,2477,30509,14777,15733,,,,,,,732,464,268,2512,685,1828
340000,安徽省,2018,42181,21424,20757,7600,4922,2678,31367,15368,16000,,,,,,,725,432,294,2488,702,1786
340000,安徽省,2017,41792,21005,20786,6826,4244,2582,31746,15609,16137,,,,,,,690,428,262,2529,723,1806
340000,安徽省,2016,42927,21710,21218,7570,4603,2966,32254,15933,16321,,,,,,,692,439,253,2412,734,1677
340000,安徽省,2015,785976,395406,390570,152869,92350,60519,575210,280837,294373,,,,,,,10719,6748,3971,44628,14110,30519
340000,安徽省,2014,41225,19986,21238,8419,4304,4114,,,,29306,14302,15003,795,365,430,560,345,216,2145,670,1475
340000,安徽省,2013,40579,20257,20322,8356,4747,3609,,,,28840,14165,14675,646,283,363,473,298,175,2264,763,1500
340000,安徽省,2012,40915,20962,19953,8395,5456,2939,,,,28955,14149,14806,668,292,376,473,290,183,2423,774,1649
340000,安徽省,2011,41801,20765,21036,7669,4465,3204,,,,30628,14959,15669,615,270,345,430,261,169,2460,810,1650
