省份编码,省份,年份,人口数(人口抽样调查)(人),男性人口数(人口抽样调查)(人),女性人口数(人口抽样调查)(人),性别比(女=100)(人口抽样调查)(女=100)
320000,江苏省,2008,69168,33709,35459,95.07
320000,江苏省,2007,69503,33967,35536,95.59
320000,江苏省,2006,69474,33832,35642,94.92
320000,江苏省,2005,989454,485494,503960,96.34
320000,江苏省,2004,72295,35881,36415,98.53
320000,江苏省,2003,72967,36113,36854,97.99
320000,江苏省,2002,72966,36538,36428,100.3
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,45420,23546,21874,107.64
330000,浙江省,2018,47034,24418,22616,107.97
330000,浙江省,2017,46573,24550,22023,111.48
330000,浙江省,2016,46831,24377,22454,108.56
330000,浙江省,2015,859773,445155,414618,107.37
330000,浙江省,2014,45456,23808,21648,109.98
330000,浙江省,2013,45376,23512,21864,107.54
330000,浙江省,2012,45700,23361,22338,104.58
330000,浙江省,2011,46674,22833,23842,95.77
330000,浙江省,2010,,,,
330000,浙江省,2009,45472,22954,22519,101.93
330000,浙江省,2008,45900,23358,22543,103.62
330000,浙江省,2007,45844,23447,22397,104.68
330000,浙江省,2006,45523,22972,22551,101.87
330000,浙江省,2005,648340,328876,319465,102.95
330000,浙江省,2004,45682,23141,22541,102.67
330000,浙江省,2003,45934,23239,22695,102.4
330000,浙江省,2002,45769,23210,22559,102.89
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,49562,25042,24519,102.13
340000,安徽省,2018,51812,26667,25145,106.06
340000,安徽省,2017,51658,26449,25209,104.92
340000,安徽省,2016,52056,26727,25329,105.52
340000,安徽省,2015,955845,489359,466486,104.9
340000,安徽省,2014,50201,24924,25277,98.6
340000,安徽省,2013,49765,25383,24382,104.11
340000,安徽省,2012,49963,26032,23931,108.78
340000,安徽省,2011,50989,25834,25155,102.7
340000,安徽省,2010,,,,
340000,安徽省,2009,54638,28195,26443,106.62
340000,安徽省,2008,55498,28469,27029,105.33
340000,安徽省,2007,56247,28463,27783,102.45
340000,安徽省,2006,56880,28953,27928,103.67
340000,安徽省,2005,810095,406651,403444,100.79
340000,安徽省,2004,62575,32108,30467,105.39
340000,安徽省,2003,62652,32243,30409,106.03
340000,安徽省,2002,62783,32292,30492,105.9
340000,安徽省,2001,,,,
340000,安徽省,2000,,,,
350000,福建省,2019,30869,15993,14876,107.51
350000,福建省,2018,32309,16806,15503,108.41
350000,福建省,2017,32221,16435,15786,104.12
350000,福建省,2016,32474,16540,15934,103.8
350000,福建省,2015,596224,306388,289836,105.71
350000,福建省,2014,31409,16349,15060,108.56
350000,福建省,2013,31148,16165,14982,107.89
350000,福建省,2012,31273,15783,15490,101.89
350000,福建省,2011,31783,15680,16103,97.37
350000,福建省,2010,,,,
350000,福建省,2009,32097,16048,16049,99.99
350000,福建省,2008,32484,16342,16142,101.24
350000,福建省,2007,32754,16463,16291,101.05
350000,福建省,2006,32855,16593,16262,102.03
350000,福建省,2005,467922,235254,232669,101.11
350000,福建省,2004,34048,17093,16955,100.81
350000,福建省,2003,34261,17516,16745,104.61
350000,福建省,2002,34127,17753,16374,108.42
350000,福建省,2001,,,,
350000,福建省,2000,,,,
360000,江西省,2019,36318,18541,17778,104.29
360000,江西省,2018,38080,19579,18500,105.83
360000,江西省,2017,38163,19840,18323,108.28
360000,江西省,2016,38576,20069,18506,108.45
360000,江西省,2015,710552,365820,344733,106.12
360000,江西省,2014,37486,19573,17913,109.27
360000,江西省,2013,37321,19423,17898,108.52
360000,江西省,2012,37580,19481,18099,107.64
360000,江西省,2011,38348,20190,18157,111.2
360000,江西省,2010,,,,
360000,江西省,2009,39186,20050,19136,104.77
360000,江西省,2008,39623,20253,19370,104.56
360000,江西省,2007,39945,20425,19519,104.64
360000,江西省,2006,40069,20535,19534,105.13
360000,江西省,2005,570672,290449,280223,103.65
360000,江西省,2004,41524,21387,20137,106.21
360000,江西省,2003,41741,21396,20345,105.16
360000,江西省,2002,41521,21372,20150,106.07
360000,江西省,2001,,,,
360000,江西省,2000,,,,
370000,山东省,2019,78318,39531,38787,101.92
370000,山东省,2018,82408,41363,41045,100.77
370000,山东省,2017,82502,41595,40907,101.68
370000,山东省,2016,83464,42579,40886,104.14
370000,山东省,2015,1530763,782050,748712,104.45
370000,山东省,2014,80788,40923,39865,102.65
370000,山东省,2013,80331,40928,39403,103.87
370000,山东省,2012,80810,40832,39978,102.14
370000,山东省,2011,82336,41319,41017,100.74
370000,山东省,2010,,,,
370000,山东省,2009,83867,42411,41456,102.3
370000,山东省,2008,84970,42513,42457,100.13
370000,山东省,2007,85696,43033,42662,100.87
370000,山东省,2006,85953,43164,42789,100.88
370000,山东省,2005,1224142,611975,612167,99.97
370000,山东省,2004,89072,44684,44388,100.67
370000,山东省,2003,89775,44983,44793,100.42
370000,山东省,2002,89699,45371,44327,102.36
370000,山东省,2001,,,,
370000,山东省,2000,,,,
410000,河南省,2019,75087,37920,37167,102.03
410000,河南省,2018,78679,39815,38864,102.45
410000,河南省,2017,79005,40370,38635,104.49
410000,河南省,2016,80140,40834,39306,103.89
410000,河南省,2015,1476154,752496,723658,103.99
410000,河南省,2014,77873,39385,38488,102.33
410000,河南省,2013,77688,39055,38633,101.09
410000,河南省,2012,78483,39680,38803,102.26
410000,河南省,2011,80208,41614,38595,107.82
410000,河南省,2010,,,,
410000,河南省,2009,83974,42511,41463,102.53
410000,河南省,2008,84906,42929,41978,102.27
410000,河南省,2007,86460,44047,42412,103.85
410000,河南省,2006,87180,44191,42989,102.8
410000,河南省,2005,1241616,630613,611003,103.21
410000,河南省,2004,94372,48565,45807,106.02
410000,河南省,2003,95029,49199,45830,107.35
410000,河南省,2002,94793,48290,46504,103.84
410000,河南省,2001,,,,
410000,河南省,2000,,,,
420000,湖北省,2019,46101,23216,22885,101.45
420000,湖北省,2018,48498,24973,23525,106.15
420000,湖北省,2017,48684,25090,23594,106.34
420000,湖北省,2016,49384,25352,24032,105.49
420000,湖北省,2015,909271,463807,445464,104.12
420000,湖北省,2014,47997,24458,23539,103.9
420000,湖北省,2013,47860,24322,23538,103.33
420000,湖北省,2012,48219,24562,23657,103.83
420000,湖北省,2011,49190,25274,23917,105.67
420000,湖北省,2010,,,,
420000,湖北省,2009,50862,26070,24792,105.15
420000,湖北省,2008,51697,26215,25482,102.88
420000,湖北省,2007,52408,26640,25767,103.39
420000,湖北省,2006,53070,26858,26211,102.47
420000,湖北省,2005,755824,384490,371334,103.54
420000,湖北省,2004,58510,29653,28858,102.76
420000,湖北省,2003,59184,30286,28897,104.81
420000,湖北省,2002,59270,30294,28976,104.55
420000,湖北省,2001,,,,
420000,湖北省,2000,,,,
430000,湖南省,2019,53851,27438,26413,103.88
430000,湖南省,2018,56516,28469,28047,101.51
430000,湖南省,2017,56647,28560,28087,101.68
430000,湖南省,2016,57310,29286,28024,104.51
430000,湖南省,2015,1056139,535812,520326,102.98
430000,湖南省,2014,55600,28516,27084,105.29
430000,湖南省,2013,55219,28374,26845,105.7
430000,湖南省,2012,55394,28577,26817,106.57
430000,湖南省,2011,56351,28993,27358,105.98
430000,湖南省,2010,,,,
430000,湖南省,2009,56820,29087,27732,104.89
430000,湖南省,2008,57648,29812,27835,107.1
430000,湖南省,2007,58382,30075,28307,106.25
430000,湖南省,2006,58795,29953,28842,103.85
430000,湖南省,2005,837363,428236,409126,104.67
430000,湖南省,2004,65041,33351,31690,105.24
430000,湖南省,2003,65521,34082,31438,108.41
430000,湖南省,2002,65434,33973,31461,107.98
430000,湖南省,2001,,,,
430000,湖南省,2000,,,,
440000,广东省,2019,89429,48416,41012,118.05
440000,广东省,2018,93024,50209,42815,117.27
440000,广东省,2017,91922,48859,43063,113.46
440000,广东省,2016,92107,48869,43238,113.02
440000,广东省,2015,1681666,894033,787633,113.51
440000,广东省,2014,88503,48021,40482,118.62
440000,广东省,2013,87847,46183,41665,110.84
440000,广东省,2012,88395,46688,41707,111.94
440000,广东省,2011,89750,48050,41700,115.23
440000,广东省,2010,,,,
440000,广东省,2009,84981,42960,42021,102.23
440000,广东省,2008,85714,43920,41794,105.09
440000,广东省,2007,85649,43606,42043,103.72
440000,广东省,2006,85451,43780,41671,105.06
440000,广东省,2005,1217005,616339,600667,102.61
440000,广东省,2004,77645,39858,37787,105.48
440000,广东省,2003,77676,39703,37973,104.55
440000,广东省,2002,77216,39663,37553,105.62
440000,广东省,2001,,,,
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,38653,19978,18675,106.98
450000,广西壮族自治区,2018,40353,20996,19357,108.47
450000,广西壮族自治区,2017,40385,21080,19305,109.2
450000,广西壮族自治区,2016,40677,21161,19516,108.43
450000,广西壮族自治区,2015,747093,383669,363424,105.57
450000,广西壮族自治区,2014,39232,20403,18829,108.36
450000,广西壮族自治区,2013,38947,20352,18595,109.44
450000,广西壮族自治区,2012,39066,20259,18807,107.72
450000,广西壮族自治区,2011,39686,20785,18900,109.97
450000,广西壮族自治区,2010,,,,
450000,广西壮族自治区,2009,42891,22541,20350,110.76
450000,广西壮族自治区,2008,43252,22578,20674,109.21
450000,广西壮族自治区,2007,43442,22617,20824,108.61
450000,广西壮族自治区,2006,43311,22606,20705,109.18
450000,广西壮族自治区,2005,616837,319740,297097,107.62
450000,广西壮族自治区,2004,47408,24566,22841,107.55
450000,广西壮族自治区,2003,47661,24948,22714,109.84
450000,广西壮族自治区,2002,47504,24709,22795,108.39
450000,广西壮族自治区,2001,,,,
450000,广西壮族自治区,2000,,,,
460000,海南省,2019,7350,3788,3562,106.34
460000,海南省,2018,7658,3917,3741,104.69
460000,海南省,2017,7640,4002,3638,110.02
460000,海南省,2016,7698,4058,3641,111.46
460000,海南省,2015,141596,74321,67274,110.47
460000,海南省,2014,7456,3994,3462,115.37
460000,海南省,2013,7389,3899,3490,111.71
460000,海南省,2012,7397,3934,3463,113.6
460000,海南省,2011,7496,3897,3599,108.28
460000,海南省,2010,,,,
460000,海南省,2009,7606,4054,3551,114.17
460000,海南省,2008,7665,4012,3653,109.81
460000,海南省,2007,7696,4030,3666,109.95
460000,海南省,2006,7696,4030,3666,109.93
460000,海南省,2005,109601,57525,52076,110.46
460000,海南省,2004,7916,4130,3786,109.07
460000,海南省,2003,7939,4217,3721,113.33
460000,海南省,2002,7892,4135,3757,110.08
460000,海南省,2001,,,,
460000,海南省,2000,,,,
500000,重庆市,2019,24274,12147,12126,100.17
500000,重庆市,2018,25416,12730,12686,100.35
500000,重庆市,2017,25337,12641,12696,99.57
500000,重庆市,2016,25560,12992,12568,103.37
500000,重庆市,2015,468563,234986,233577,100.6
500000,重庆市,2014,24687,12696,11991,105.88
500000,重庆市,2013,24512,12494,12018,103.96
500000,重庆市,2012,24573,12370,12203,101.37
500000,重庆市,2011,24939,12716,12223,104.03
500000,重庆市,2010,,,,
500000,重庆市,2009,25284,12683,12601,100.66
500000,重庆市,2008,25545,12878,12667,101.67
500000,重庆市,2007,25850,13088,12762,102.56
500000,重庆市,2006,26005,13167,12838,102.56
500000,重庆市,2005,370367,186623,183744,101.57
500000,重庆市,2004,30553,15223,15330,99.3
500000,重庆市,2003,30713,15625,15088,103.56
500000,重庆市,2002,30724,15689,15034,104.36
500000,重庆市,2001,,,,
500000,重庆市,2000,,,,
510000,四川省,2019,65230,32073,33157,96.73
510000,四川省,2018,68344,33944,34400,98.67
510000,四川省,2017,68609,34633,33976,101.93
510000,四川省,2016,69457,34682,34775,99.73
510000,四川省,2015,1277289,641473,635816,100.89
510000,四川省,2014,67179,33289,33890,98.23
510000,四川省,2013,66904,34111,32793,104.02
510000,四川省,2012,67386,35292,32094,109.96
510000,四川省,2011,68777,35134,33643,104.43
510000,四川省,2010,,,,
510000,四川省,2009,72471,36402,36069,100.93
510000,四川省,2008,73722,37341,36381,102.64
510000,四川省,2007,75201,37813,37388,101.14
510000,四川省,2006,76324,38769,37555,103.23
510000,四川省,2005,1087009,541978,545031,99.44
510000,四川省,2004,84919,42847,42072,101.84
510000,四川省,2003,85739,43493,42246,102.95
510000,四川省,2002,85704,42974,42730,100.57
510000,四川省,2001,,,,
510000,四川省,2000,,,,
520000,贵州省,2019,28245,14628,13617,107.42
520000,贵州省,2018,29487,15403,14084,109.37
520000,贵州省,2017,29612,15323,14290,107.23
520000,贵州省,2016,29915,15438,14476,106.65
520000,贵州省,2015,550172,284548,265624,107.12
520000,贵州省,2014,28950,14806,14144,104.68
520000,贵州省,2013,28905,14944,13960,107.05
520000,贵州省,2012,29071,14935,14135,105.66
520000,贵州省,2011,29636,15658,13978,112.01
520000,贵州省,2010,,,,
520000,贵州省,2009,33780,17464,16316,107.03
520000,贵州省,2008,34126,17736,16390,108.21
520000,贵州省,2007,34587,17888,16699,107.12
520000,贵州省,2006,34666,17919,16747,106.99
520000,贵州省,2005,493715,254202,239513,106.13
520000,贵州省,2004,37780,19571,18209,107.48
520000,贵州省,2003,37933,19663,18270,107.63
520000,贵州省,2002,37686,19490,18196,107.12
520000,贵州省,2001,,,,
520000,贵州省,2000,,,,
530000,云南省,2019,37874,19321,18553,104.14
530000,云南省,2018,39584,20523,19061,107.67
530000,云南省,2017,39709,20564,19145,107.41
530000,云南省,2016,40141,20285,19855,102.16
530000,云南省,2015,738612,378276,360337,104.98
530000,云南省,2014,38902,19962,18940,105.4
530000,云南省,2013,38680,20044,18635,107.56
530000,云南省,2012,38874,19993,18882,105.88
530000,云南省,2011,39564,20179,19385,104.1
530000,云南省,2010,,,,
530000,云南省,2009,40460,21008,19451,108.0
530000,云南省,2008,40947,21290,19658,108.3
530000,云南省,2007,41269,21266,20003,106.32
530000,云南省,2006,41359,21394,19965,107.15
530000,云南省,2005,589039,303893,285146,106.57
530000,云南省,2004,42720,21618,21102,102.44
530000,云南省,2003,42836,22374,20462,109.34
530000,云南省,2002,42529,21946,20584,106.62
530000,云南省,2001,,,,
530000,云南省,2000,,,,
540000,西藏自治区,2019,2743,1373,1369,100.31
540000,西藏自治区,2018,2817,1401,1416,98.98
540000,西藏自治区,2017,2797,1404,1393,100.85
540000,西藏自治区,2016,2789,1410,1380,102.18
540000,西藏自治区,2015,50634,25609,25025,102.33
540000,西藏自治区,2014,2620,1317,1303,101.07
540000,西藏自治区,2013,2575,1308,1267,103.23
540000,西藏自治区,2012,2567,1275,1292,98.72
540000,西藏自治区,2011,2591,1324,1268,104.43
540000,西藏自治区,2010,,,,
540000,西藏自治区,2009,2556,1256,1300,96.6
540000,西藏自治区,2008,2576,1253,1323,94.65
540000,西藏自治区,2007,2587,1270,1317,96.4
540000,西藏自治区,2006,2574,1259,1315,95.76
540000,西藏自治区,2005,36666,18149,18517,98.01
540000,西藏自治区,2004,2636,1285,1351,95.14
540000,西藏自治区,2003,2638,1266,1372,92.25
540000,西藏自治区,2002,2609,1256,1353,92.84
540000,西藏自治区,2001,,,,
540000,西藏自治区,2000,,,,
610000,陕西省,2019,30158,15302,14856,103.0
610000,陕西省,2018,31684,15879,15804,100.47
610000,陕西省,2017,31649,15615,16034,97.38
610000,陕西省,2016,32014,16160,15854,101.93
610000,陕西省,2015,589346,298442,290904,102.59
610000,陕西省,2014,31155,16108,15047,107.05
610000,陕西省,2013,31063,15912,15151,105.02
610000,陕西省,2012,31315,16193,15123,107.08
610000,陕西省,2011,31976,16410,15566,105.42
610000,陕西省,2010,,,,
610000,陕西省,2009,33504,16965,16539,102.58
610000,陕西省,2008,33999,17233,16766,102.79
610000,陕西省,2007,34383,17324,17059,101.55
610000,陕西省,2006,34574,17389,17185,101.19
610000,陕西省,2005,492410,248660,243750,102.01
610000,陕西省,2004,36022,18525,17497,105.88
610000,陕西省,2003,36314,18617,17697,105.2
610000,陕西省,2002,36297,18657,17640,105.77
610000,陕西省,2001,,,,
610000,陕西省,2000,,,,
620000,甘肃省,2019,20642,10433,10209,102.19
620000,甘肃省,2018,21614,11001,10613,103.65
620000,甘肃省,2017,21720,11035,10685,103.27
620000,甘肃省,2016,21960,11134,10826,102.85
620000,甘肃省,2015,404863,208500,196363,106.18
620000,甘肃省,2014,21381,11082,10299,107.6
620000,甘肃省,2013,21311,10948,10363,105.64
620000,甘肃省,2012,21507,11067,10440,106.01
620000,甘肃省,2011,21908,11384,10523,108.18
620000,甘肃省,2010,,,,
620000,甘肃省,2009,23405,11921,11484,103.8
620000,甘肃省,2008,23739,12010,11730,102.39
620000,甘肃省,2007,23990,12162,11828,102.82
620000,甘肃省,2006,24109,12205,11904,102.53
620000,甘肃省,2005,343364,173235,170129,101.83
620000,甘肃省,2004,25409,13095,12314,106.34
620000,甘肃省,2003,25628,13146,12483,105.31
620000,甘肃省,2002,25546,13114,12431,105.49
620000,甘肃省,2001,,,,
620000,甘肃省,2000,,,,
630000,青海省,2019,4733,2445,2287,106.91
630000,青海省,2018,4945,2571,2373,108.34
630000,青海省,2017,4939,2541,2399,105.93
630000,青海省,2016,4987,2564,2423,105.8
630000,青海省,2015,91611,47839,43771,109.29
630000,青海省,2014,4814,2420,2394,101.09
630000,青海省,2013,4769,2429,2339,103.85
630000,青海省,2012,4782,2465,2318,106.35
630000,青海省,2011,4854,2458,2396,102.61
630000,青海省,2010,,,,
630000,青海省,2009,4934,2482,2452,101.21
630000,青海省,2008,5007,2524,2484,101.61
630000,青海省,2007,5045,2556,2488,102.74
630000,青海省,2006,5049,2563,2485,103.15
630000,青海省,2005,71903,36328,35574,102.12
630000,青海省,2004,5213,2676,2538,105.44
630000,青海省,2003,5225,2666,2559,104.15
630000,青海省,2002,5189,2661,2528,105.28
630000,青海省,2001,,,,
630000,青海省,2000,,,,
640000,宁夏回族自治区,2019,5404,2780,2624,105.95
640000,宁夏回族自治区,2018,5638,2794,2844,98.27
640000,宁夏回族自治区,2017,5627,2769,2858,96.91
640000,宁夏回族自治区,2016,5666,2925,2741,106.7
640000,宁夏回族自治区,2015,103820,53462,50358,106.16
640000,宁夏回族自治区,2014,5460,2807,2653,105.8
640000,宁夏回族自治区,2013,5399,2757,2642,104.32
640000,宁夏回族自治区,2012,5400,2760,2640,104.52
640000,宁夏回族自治区,2011,5463,2875,2588,111.07
640000,宁夏回族自治区,2010,,,,
640000,宁夏回族自治区,2009,5504,2809,2695,104.24
640000,宁夏回族自治区,2008,5533,2817,2716,103.71
640000,宁夏回族自治区,2007,5560,2822,2738,103.08
640000,宁夏回族自治区,2006,5539,2822,2718,103.84
640000,宁夏回族自治区,2005,78892,39733,39159,101.47
640000,宁夏回族自治区,2004,5662,2862,2800,102.24
640000,宁夏回族自治区,2003,5650,2871,2779,103.29
640000,宁夏回族自治区,2002,5585,2858,2727,104.82
640000,宁夏回族自治区,2001,,,,
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,19660,9915,9746,101.73
650000,新疆维吾尔自治区,2018,20375,10175,10200,99.76
650000,新疆维吾尔自治区,2017,20210,10211,9999,102.12
650000,新疆维吾尔自治区,2016,20165,10303,9861,104.48
