省份编码,省份,年份,城市绿地面积(万公顷),公园绿地面积(万公顷),公园个数(个),公园面积(万公顷),建成区绿化覆盖率(%)
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,9.370096,2.761642,723,2.170857,42.2841083548341
130000,河北省,2018,9.142367,2.707469,751,2.111308,41.5709450555548
130000,河北省,2017,8.827251,2.683305,713,2.041389,41.77
130000,河北省,2016,8.542587,2.516039,615,1.902246,40.8
130000,河北省,2015,8.134569,2.40138,502,1.733916,41.15
130000,河北省,2014,7.939255,2.354103,479,1.637272,41.93
130000,河北省,2013,7.604452,2.260852,476,1.56024,41.2
130000,河北省,2012,7.3517,2.232,446,1.4966,40.98
130000,河北省,2011,7.1103,2.2321,397,1.3326,42.07
130000,河北省,2010,6.8958,2.1849,381,1.2164,42.73
130000,河北省,2009,6.0923,1.7095,338,0.9441,40.02
130000,河北省,2008,5.6896,1.4037,302,0.8137,38.71
130000,河北省,2007,5.0829,1.2307,279,0.7443,36.5033921302578
130000,河北省,2006,4.7293,1.1391,260,0.6806,35.57
130000,河北省,2005,4.484761,1.031698,291,0.56936,
130000,河北省,2004,4.168071,0.940184,286,0.546846,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,5.144559,1.520366,262,1.142175,42.2859374361071
140000,山西省,2018,4.823504,1.422312,316,1.11429,41.2835667861471
140000,山西省,2017,6.398729,1.364746,316,1.0797,40.61
140000,山西省,2016,4.298583,1.341083,295,1.03947,40.52
140000,山西省,2015,4.203305,1.290995,271,0.955246,40.13
140000,山西省,2014,4.044816,1.225259,259,0.941694,40.08
140000,山西省,2013,3.634657,1.182089,204,0.815935,40.02
140000,山西省,2012,3.5653,1.1224,258,0.7831,38.6
140000,山西省,2011,3.2513,1.0295,193,0.6571,38.29
140000,山西省,2010,3.1061,0.9061,176,0.5698,38.01
140000,山西省,2009,2.7973,0.7872,171,0.4954,36.49
140000,山西省,2008,2.5266,0.7243,168,0.5264,35.16
140000,山西省,2007,2.1775,0.6738,145,0.3726,32.5792205779809
140000,山西省,2006,2.0287,0.6039,142,0.3261,31.88
140000,山西省,2005,1.93169,0.541859,157,0.385128,
140000,山西省,2004,1.53592,0.441493,126,0.250119,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,6.906906,1.731023,330,1.375257,40.5235402523351
150000,内蒙古自治区,2018,6.720339,1.729966,305,1.51153,40.5969955358197
150000,内蒙古自治区,2017,6.717136,1.75112,296,1.492942,40.22
150000,内蒙古自治区,2016,6.55522,1.754122,265,1.382088,39.85
150000,内蒙古自治区,2015,6.308976,1.687571,254,1.372534,39.18
150000,内蒙古自治区,2014,5.737165,1.64229,260,1.208986,39.79
150000,内蒙古自治区,2013,4.9333,1.4951,220,1.1539,36.19
150000,内蒙古自治区,2012,4.6727,1.3618,200,1.044,36.17
150000,内蒙古自治区,2011,4.1059,1.2161,193,0.9617,34.09
150000,内蒙古自治区,2010,3.8143,1.0352,157,0.7715,33.35
150000,内蒙古自治区,2009,2.9585,0.9233,121,0.7143,32.44
150000,内蒙古自治区,2008,2.6021,0.8506,105,0.6954,30.55
150000,内蒙古自治区,2007,2.4068,0.7839,99,0.6668,28.0732620562097
150000,内蒙古自治区,2006,2.1187,0.6659,91,0.4679,26.58
150000,内蒙古自治区,2005,1.96471,0.498488,86,0.31258,
150000,内蒙古自治区,2004,1.89901,0.438454,78,0.262285,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,12.813701,2.788269,503,1.833504,40.7559208252759
210000,辽宁省,2018,12.22594,2.768593,454,1.696683,39.9239505414446
210000,辽宁省,2017,12.299895,2.733881,496,1.662061,40.73
210000,辽宁省,2016,11.66012,2.549984,439,1.459506,36.35
210000,辽宁省,2015,12.419287,2.623273,379,1.362867,40.26
210000,辽宁省,2014,12.198165,2.640607,374,1.382936,40.11
210000,辽宁省,2013,12.0514,2.5708,347,1.2877,40.17
210000,辽宁省,2012,11.8297,2.471,338,1.2222,40.17
210000,辽宁省,2011,9.5968,2.3174,322,1.1693,39.78
210000,辽宁省,2010,9.2751,2.1593,316,1.1005,39.32
210000,辽宁省,2009,8.4145,2.0501,294,1.0263,38.33
210000,辽宁省,2008,7.8841,1.9351,283,0.9959,38.06
210000,辽宁省,2007,7.6888,1.8291,270,1.0287,37.5205335864288
210000,辽宁省,2006,6.3535,1.6426,260,0.9814,36.93
210000,辽宁省,2005,7.45833,1.538676,259,0.830044,
210000,辽宁省,2004,7.17974,1.451296,247,0.786185,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,9.000318,1.532426,356,1.268739,39.1816053963334
220000,吉林省,2018,6.92602,1.6393,344,1.329839,37.6407933557754
220000,吉林省,2017,4.807006,1.325731,306,0.981602,35.78
220000,吉林省,2016,4.659546,1.5244,232,0.695684,34.97
220000,吉林省,2015,4.725118,1.464951,191,0.644623,36.06
220000,吉林省,2014,4.526253,1.39118,183,0.623148,35.82
220000,吉林省,2013,3.838992,1.328427,173,0.528025,31.4
220000,吉林省,2012,3.8781,1.2486,161,0.5093,33.94
220000,吉林省,2011,3.874,1.1776,153,0.4611,34.17
220000,吉林省,2010,3.7895,1.0974,127,0.4402,34.12
220000,吉林省,2009,3.4755,1.0038,116,0.4136,32.78
220000,吉林省,2008,3.2142,0.9107,97,0.3858,31.5
220000,吉林省,2007,2.898,0.8141,86,0.3336,31.2549336630368
220000,吉林省,2006,2.7316,0.7621,76,0.2607,31.64
220000,吉林省,2005,2.686362,0.739248,69,0.252623,
220000,吉林省,2004,2.54749,0.604303,72,0.245454,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,6.873204,1.727452,373,1.107833,36.3948410121464
230000,黑龙江省,2018,7.066884,1.749489,384,1.24796,36.0426968262318
230000,黑龙江省,2017,6.971144,1.678041,371,1.144977,35.45
230000,黑龙江省,2016,7.704817,1.708339,359,0.981578,35.35
230000,黑龙江省,2015,7.650123,1.699686,345,0.977703,35.82
230000,黑龙江省,2014,7.634618,1.66812,331,0.962614,35.98
230000,黑龙江省,2013,7.506447,1.647818,321,0.951616,35.99
230000,黑龙江省,2012,7.382,1.6142,304,0.9372,35.98
230000,黑龙江省,2011,7.2166,1.5664,296,0.9339,36.32
230000,黑龙江省,2010,6.9581,1.5284,285,0.9066,34.89
230000,黑龙江省,2009,6.4234,1.418,262,0.8009,33.62
230000,黑龙江省,2008,5.881,1.2689,216,0.7402,31.39
230000,黑龙江省,2007,22.0137,1.1372,188,0.6526,28.7666384852834
230000,黑龙江省,2006,3.6775,1.0059,172,0.5725,28.67
230000,黑龙江省,2005,5.14152,1.043256,152,0.538271,
230000,黑龙江省,2004,4.90731,0.983828,144,0.436231,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,15.778507,2.12055,319,0.297545,36.8421779698671
310000,上海市,2018,13.942672,2.057788,250,0.256517,36.2402281577714
310000,上海市,2017,13.632717,1.980502,224,0.240941,39.1
310000,上海市,2016,12.88471,1.895699,217,0.265492,38.6
310000,上海市,2015,12.733222,1.839527,165,0.24073,38.5
310000,上海市,2014,12.574131,1.778896,161,0.23014,38.43
310000,上海市,2013,12.4295,1.7142,158,0.2222,38.36
310000,上海市,2012,12.4204,1.6848,157,0.2217,38.29
310000,上海市,2011,12.2283,1.6446,153,0.2151,38.22
310000,上海市,2010,12.0148,1.6053,148,0.1915,38.15
310000,上海市,2009,11.6929,1.5406,147,0.1687,
310000,上海市,2008,3.4256,1.4777,147,0.1686,
310000,上海市,2007,3.1789,1.3899,146,0.1675,37.5975250375422
310000,上海市,2006,3.0609,1.3307,144,0.1525,37.33
310000,上海市,2005,2.87043,1.197607,142,0.151658,
310000,上海市,2004,2.65431,1.092375,134,0.147594,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,29.853062,5.16833,1168,3.142306,43.3840174858498
320000,江苏省,2018,29.376544,4.958026,1133,3.054578,43.1309502133401
320000,江苏省,2017,28.598106,4.806037,1107,3.01406,42.97
320000,江苏省,2016,28.185486,4.64761,1074,2.907578,42.94
320000,江苏省,2015,27.407067,4.471285,942,2.593504,42.83
320000,江苏省,2014,26.55429,4.290071,883,2.187925,42.61
320000,江苏省,2013,25.626252,4.041271,842,1.870679,42.44
320000,江苏省,2012,24.7001,3.8069,783,1.6465,42.17
320000,江苏省,2011,23.7486,3.5634,701,1.5687,42.12
320000,江苏省,2010,22.7584,3.3585,584,1.2433,42.07
320000,江苏省,2009,21.4989,3.2403,590,1.374,41.99
320000,江苏省,2008,19.546,3.0612,628,1.3026,42.55
320000,江苏省,2007,18.0784,2.9125,601,1.1787,42.8004510081358
320000,江苏省,2006,15.2885,2.5868,492,1.0608,41.72
320000,江苏省,2005,18.906978,2.568703,539,0.992395,
320000,江苏省,2004,17.256283,2.161713,489,0.90981,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,17.22795,3.597692,1401,2.126935,41.4611451773559
330000,浙江省,2018,16.737028,3.495777,1340,2.043162,41.1906861384884
330000,浙江省,2017,15.921423,3.254427,1252,1.911051,40.36
330000,浙江省,2016,15.431429,3.067531,1197,1.821336,41.02
330000,浙江省,2015,13.803884,2.859289,1171,1.665479,40.58
330000,浙江省,2014,13.261928,2.615521,1106,1.594867,40.75
330000,浙江省,2013,12.79274,2.485194,1068,1.516506,40.26
330000,浙江省,2012,12.2723,2.342,1015,1.4803,39.86
330000,浙江省,2011,10.52,2.148,954,1.3511,38.39
330000,浙江省,2010,7.9459,2.009,914,1.2631,38.3
330000,浙江省,2009,7.4362,1.8969,893,1.3727,38.2
330000,浙江省,2008,6.9621,1.6882,842,1.2291,37.74
330000,浙江省,2007,6.3303,1.5379,764,1.1378,36.1490757047009
330000,浙江省,2006,5.7759,1.3751,711,1.0155,35.53
330000,浙江省,2005,5.687172,1.31426,748,0.604563,
330000,浙江省,2004,4.797588,1.125177,626,0.486932,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,11.426723,2.504145,529,1.725112,42.721445460629
340000,安徽省,2018,10.75149,2.360622,475,1.589312,42.4975828009176
340000,安徽省,2017,10.240156,2.207499,432,1.445365,42.15
340000,安徽省,2016,9.855481,2.126484,392,1.267036,41.71
340000,安徽省,2015,9.378564,1.99132,374,1.204336,41.16
340000,安徽省,2014,8.95117,1.890929,348,1.130255,41.18
340000,安徽省,2013,8.391,1.72226,312,1.08426,39.85
340000,安徽省,2012,7.9592,1.5941,287,0.9881,38.8
340000,安徽省,2011,7.5977,1.5001,265,0.9576,39.47
340000,安徽省,2010,7.1463,1.363,247,0.8685,37.5
340000,安徽省,2009,6.7269,1.2338,219,0.7664,37.16
340000,安徽省,2008,5.9163,1.0683,210,0.7252,35.97
340000,安徽省,2007,5.9147,0.9704,190,0.7001,36.0915082720282
340000,安徽省,2006,6.3016,0.8007,151,0.8264,32.58
340000,安徽省,2005,4.18961,0.742974,140,0.397006,
340000,安徽省,2004,3.80793,0.644136,125,0.31754,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,7.390317,1.986442,690,1.585138,44.5285980478053
350000,福建省,2018,7.2103,1.917291,675,1.537891,44.2984491729342
350000,福建省,2017,6.975457,1.804901,636,1.395732,43.69
350000,福建省,2016,6.72475,1.601731,590,1.24261,43.32
350000,福建省,2015,6.446602,1.532736,555,1.1913,42.97
350000,福建省,2014,6.039573,1.447516,557,1.140171,42.8
350000,福建省,2013,5.761284,1.38906,529,1.0906,42.77
350000,福建省,2012,5.4544,1.3004,495,1.0256,42.03
350000,福建省,2011,5.0802,1.2111,451,0.9681,41.39
350000,福建省,2010,4.7904,1.0972,392,0.8819,40.97
350000,福建省,2009,4.133,0.9986,349,0.7999,39.71
350000,福建省,2008,3.8487,0.9435,313,0.6882,38.86
350000,福建省,2007,2.8841,0.7833,307,0.5378,37.0012815036309
350000,福建省,2006,2.6345,0.6592,327,0.4791,36.58
350000,福建省,2005,2.71534,0.586203,314,0.444563,
350000,福建省,2004,2.44919,0.529279,268,0.413476,
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,7.193346,1.8055,614,1.36623,45.5462681925613
360000,江西省,2018,6.970816,1.761971,519,1.151053,45.9164785845012
360000,江西省,2017,6.374661,1.664638,468,1.060136,45.22
360000,江西省,2016,5.676801,1.547482,408,0.946698,43.63
360000,江西省,2015,5.414676,1.466285,356,0.876377,44.09
360000,江西省,2014,5.080883,1.39551,310,0.859581,44.61
360000,江西省,2013,4.923927,1.355275,297,0.8378,45.09
360000,江西省,2012,4.6874,1.2817,285,0.8104,45.95
360000,江西省,2011,4.5063,1.1546,264,0.7501,46.81
360000,江西省,2010,4.2288,1.0733,238,0.6442,46.62
360000,江西省,2009,3.7596,0.8884,209,0.527,44.36
360000,江西省,2008,3.2448,0.7949,190,0.4456,41.8
360000,江西省,2007,3.1127,0.6381,152,0.3338,39.0522937040229
360000,江西省,2006,2.4488,0.5854,137,0.2926,34.56
360000,江西省,2005,2.516681,0.563351,125,0.225886,
360000,江西省,2004,2.338353,0.511081,118,0.203539,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,25.233837,6.788379,1200,4.145017,41.7959273409845
370000,山东省,2018,24.336821,6.517941,1214,4.0554,41.8124358572187
370000,山东省,2017,23.568998,6.304209,1090,3.772083,42.09
370000,山东省,2016,22.579399,6.033603,920,3.67705,42.26
370000,山东省,2015,21.35168,5.43452,828,3.411225,42.25
370000,山东省,2014,20.520833,5.195232,790,3.262077,42.79
370000,山东省,2013,19.364686,4.951788,733,2.946635,42.63
370000,山东省,2012,17.6342,4.7318,686,2.5023,42.12
370000,山东省,2011,16.5577,4.48,660,2.2919,41.51
370000,山东省,2010,15.6243,4.3191,595,2.135,41.47
370000,山东省,2009,14.6993,4.0167,575,2.0426,41.18
370000,山东省,2008,13.5328,3.75,546,1.8534,39.8
370000,山东省,2007,12.5615,3.5479,517,1.6522,38.6036581211002
370000,山东省,2006,10.9297,3.2542,427,1.3157,37.45
370000,山东省,2005,10.53051,2.748018,456,1.138052,
370000,山东省,2004,9.27317,2.48979,441,1.007143,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,11.526926,3.536166,523,1.696987,41.0283191250891
410000,河南省,2018,10.711227,3.193377,443,1.578742,40.01806014328
410000,河南省,2017,10.117054,3.000168,438,1.424155,39.44
410000,河南省,2016,9.541044,2.542851,344,1.187689,39.33
410000,河南省,2015,8.995204,2.520127,327,1.265277,37.69
410000,河南省,2014,8.56612,2.383431,306,1.200171,38.32
410000,河南省,2013,8.0753,2.222625,290,1.1443,37.6
410000,河南省,2012,7.7038,2.1202,280,1.1083,36.9
410000,河南省,2011,6.9596,1.9207,267,0.9414,36.64
410000,河南省,2010,6.679,1.8361,262,0.9296,36.56
410000,河南省,2009,6.2947,1.7154,248,0.8627,36.29
410000,河南省,2008,5.9969,1.6301,240,0.8406,35.38
410000,河南省,2007,5.3158,1.5493,234,0.8028,34.3404643617561
410000,河南省,2006,4.712,1.4066,235,0.6587,32.79
410000,河南省,2005,4.29648,1.264367,292,0.619081,
410000,河南省,2004,3.58559,1.115319,266,0.497826,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,9.691002,2.787052,486,1.625979,38.8818823069609
420000,湖北省,2018,9.314837,2.620064,449,1.478501,38.3713641362383
420000,湖北省,2017,8.671306,2.442064,420,1.394958,38.43
420000,湖北省,2016,8.224189,2.268148,374,1.28899,37.6
420000,湖北省,2015,8.030943,2.17193,352,1.199697,37.47
420000,湖北省,2014,7.554617,2.086575,329,1.120565,37.87
420000,湖北省,2013,7.162196,1.993644,317,1.067994,38.12
420000,湖北省,2012,6.8803,1.9042,295,1.0356,38.86
420000,湖北省,2011,6.2062,1.801,275,0.9844,38.35
420000,湖北省,2010,5.7883,1.6818,260,0.8078,37.74
420000,湖北省,2009,5.4884,1.6131,251,0.7352,37.79
420000,湖北省,2008,5.217,1.5441,241,0.7227,37.63
420000,湖北省,2007,4.4035,1.4484,224,0.6716,37.5679546609582
420000,湖北省,2006,4.1559,1.3101,223,0.6743,37.11
420000,湖北省,2005,5.6184,1.36162,217,0.575302,
420000,湖北省,2004,5.52815,1.258428,219,0.618404,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,7.435864,1.967191,395,1.419691,41.2406543314978
430000,湖南省,2018,7.243455,1.902044,368,1.334405,41.1568198395332
430000,湖南省,2017,6.766871,1.781667,337,1.260662,41.21
430000,湖南省,2016,6.145264,1.629184,313,1.197528,40.6
430000,湖南省,2015,5.935909,1.493038,287,1.014549,39.69
430000,湖南省,2014,5.727285,1.435477,247,0.955521,38.64
430000,湖南省,2013,5.3483,1.28574,209,0.9038,37.63
430000,湖南省,2012,5.1822,1.2366,190,0.9251,37.01
430000,湖南省,2011,4.9593,1.179,175,0.7395,36.84
430000,湖南省,2010,4.6028,1.0969,175,0.6763,36.64
430000,湖南省,2009,4.294,1.0077,171,0.6135,36.59
430000,湖南省,2008,4.1815,0.9065,160,0.5545,35.83
430000,湖南省,2007,3.9742,0.852,159,0.5545,35.5787390952424
430000,湖南省,2006,3.5314,0.7722,154,0.5135,34.74
430000,湖南省,2005,4.072328,0.71432,150,0.658931,
430000,湖南省,2004,3.610729,0.660511,149,0.503813,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,50.235326,11.251943,3912,8.110014,43.3128539385556
440000,广东省,2018,48.541822,10.581013,3414,8.2505,44.0273182401023
440000,广东省,2017,45.583794,9.98847,3219,7.179753,43.47
440000,广东省,2016,45.266621,9.751419,3986,7.409173,42.39
440000,广东省,2015,43.837552,8.959144,3512,6.5318,41.43
440000,广东省,2014,42.18837,8.319483,3408,7.015108,41.44
440000,广东省,2013,41.197767,7.885698,3258,6.677501,41.5
440000,广东省,2012,40.1669,7.4029,3032,6.1787,41.23
440000,广东省,2011,41.06,6.7958,2811,6.0802,41.1
440000,广东省,2010,42.037,5.8514,2682,5.8341,41.31
440000,广东省,2009,40.1604,5.3246,2294,5.0618,40.75
440000,广东省,2008,37.7041,5.0206,2171,4.415,40.31
440000,广东省,2007,27.468,4.7612,2054,4.2492,38.4926921598347
440000,广东省,2006,21.8463,4.5604,1506,6.1587,37.96
440000,广东省,2005,33.30153,3.994049,1492,3.12758,
440000,广东省,2004,27.37419,3.17982,1195,2.568315,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,7.240876,1.647914,320,1.4205,40.7558239023062
450000,广西壮族自治区,2018,9.205844,1.536463,294,1.171596,39.9210620812076
450000,广西壮族自治区,2017,8.878888,1.402459,254,1.029584,39.12
450000,广西壮族自治区,2016,8.448353,1.279872,239,0.892832,37.62
450000,广西壮族自治区,2015,8.238179,1.211147,216,0.85792,37.6
450000,广西壮族自治区,2014,7.24138,1.108553,196,0.776747,39.26
450000,广西壮族自治区,2013,6.987044,1.081247,183,0.762586,37.65
450000,广西壮族自治区,2012,6.6964,1.0585,179,0.7481,37.5
450000,广西壮族自治区,2011,6.4461,1.0012,168,0.7205,37.35
450000,广西壮族自治区,2010,6.0225,0.8331,146,0.5842,34.96
450000,广西壮族自治区,2009,5.7812,0.756,137,0.5423,33.69
450000,广西壮族自治区,2008,5.5469,0.7195,126,0.5138,32.67
450000,广西壮族自治区,2007,5.3319,0.6944,124,0.5026,32.1112189607932
450000,广西壮族自治区,2006,5.1276,0.6055,117,0.4395,32.88
450000,广西壮族自治区,2005,2.96888,0.536176,110,0.367593,
450000,广西壮族自治区,2004,2.85681,0.50506,108,0.34601,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,1.766072,0.367767,106,0.261684,41.7475776332628
460000,海南省,2018,1.737053,0.374953,97,0.266502,40.6246245455024
460000,海南省,2017,1.534276,0.363594,85,0.259385,40.06
460000,海南省,2016,1.526504,0.351796,84,0.21034,40.3
460000,海南省,2015,1.488335,0.378409,55,0.197216,37.7
460000,海南省,2014,1.467178,0.343678,58,0.207386,41.32
460000,海南省,2013,1.44226,0.30682,48,0.1824,42.06
460000,海南省,2012,5.0668,0.2871,48,0.1824,41.19
460000,海南省,2011,4.9784,0.2807,49,0.1892,41.81
460000,海南省,2010,4.9029,0.2561,48,0.1863,42.63
460000,海南省,2009,4.8947,0.2112,48,0.1629,41.88
460000,海南省,2008,4.8754,0.203,45,0.1538,42.13
460000,海南省,2007,4.8289,0.211,40,0.1174,40.4806277587052
460000,海南省,2006,0.6661,0.1948,34,0.0999,38.86
460000,海南省,2005,0.66851,0.170063,35,0.112494,
460000,海南省,2004,0.58271,0.160393,32,0.089374,
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,6.769411,2.558905,479,1.550342,41.8188938967012
500000,重庆市,2018,6.47778,2.584401,428,1.48178,40.3616174033887
500000,重庆市,2017,6.157528,2.558382,418,1.374216,40.32
500000,重庆市,2016,5.975761,2.450466,397,1.261965,40.76
500000,重庆市,2015,5.5934,2.2733,349,1.15021,40.3
500000,重庆市,2014,5.251483,2.110742,307,1.075052,40.6
500000,重庆市,2013,4.8123,2.0436,278,1.0123,41.66
500000,重庆市,2012,4.7156,2.0275,276,0.9973,42.94
500000,重庆市,2011,4.3854,1.8626,248,0.8895,40.18
500000,重庆市,2010,3.7695,1.4032,175,0.5532,40.57
500000,重庆市,2009,3.2451,1.0294,138,0.3746,38.48
500000,重庆市,2008,2.8473,0.8463,123,0.336,35.91
500000,重庆市,2007,2.4185,0.6479,102,0.2786,31.8061277998352
500000,重庆市,2006,1.7827,0.537,97,0.2083,23.45
500000,重庆市,2005,1.593868,0.425355,94,0.200126,
500000,重庆市,2004,1.432527,0.340874,78,0.135662,
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,12.415792,3.678641,693,2.069557,41.8459357432612
510000,四川省,2018,11.353723,3.366823,629,1.823765,40.5486969875801
510000,四川省,2017,10.750541,3.091152,588,1.637015,40.0
510000,四川省,2016,10.055676,2.847925,561,1.576237,39.9
510000,四川省,2015,8.709599,2.451219,508,1.334252,38.65
510000,四川省,2014,8.21157,2.219096,466,1.236852,37.51
510000,四川省,2013,8.889444,2.090791,524,1.220427,38.41
510000,四川省,2012,8.3179,1.9188,408,1.063,38.69
510000,四川省,2011,7.7406,1.7902,377,0.9423,38.21
510000,四川省,2010,7.2259,1.6133,319,0.79,37.88
510000,四川省,2009,6.6817,1.4262,287,0.7038,36.4
510000,四川省,2008,5.8003,1.2821,277,0.6766,35.3
510000,四川省,2007,5.5918,1.2037,264,0.6227,34.1980652689427
510000,四川省,2006,5.4488,1.1578,239,0.5758,33.54
510000,四川省,2005,6.807987,1.119776,312,0.570074,
510000,四川省,2004,6.639969,1.019442,318,0.55332,
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,5.443265,1.329045,217,1.23612,39.4202870513671
520000,贵州省,2018,5.156132,1.213678,192,1.157515,38.6448748991122
520000,贵州省,2017,4.735998,1.11817,168,1.06343,37.01
520000,贵州省,2016,4.080775,1.015041,133,0.796279,36.8
520000,贵州省,2015,3.673918,0.830821,114,0.702086,35.88
520000,贵州省,2014,3.572149,0.79064,63,0.5066,33.97
520000,贵州省,2013,3.4026,0.7104,63,0.4528,34.46
520000,贵州省,2012,3.2948,0.5666,59,0.4112,32.8
520000,贵州省,2011,3.0521,0.4255,59,0.4087,32.31
520000,贵州省,2010,2.8675,0.3969,56,0.3645,29.58
520000,贵州省,2009,2.7771,0.3272,55,0.294,27.44
520000,贵州省,2008,2.7484,0.3236,52,0.2863,29.83
520000,贵州省,2007,2.7193,0.3071,49,0.2866,30.533097524002
520000,贵州省,2006,2.6845,0.2959,43,0.2813,29.41
520000,贵州省,2005,2.80204,0.290128,44,0.18631,
520000,贵州省,2004,2.69183,0.266106,45,0.256861,
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
