省份编码,省份,年份,道路清扫保洁面积(万平方米),生活垃圾清运量(万吨),粪便清运量(万吨),市容环卫专用车辆设备(台),公共厕所数量(座),三类以上公共厕所数量(座)
130000,河北省,2019,37034.2,802.213719,,11885,5884,4401
130000,河北省,2018,34755.86,755.690486,,10763,6044,3996
130000,河北省,2017,30452.0,699.57,,9329,5450,3242
130000,河北省,2016,29921.0,725.18,92.56,6928,5546,2978
130000,河北省,2015,26358.0,635.88,95.69,5493,6298,3389
130000,河北省,2014,24549.0,614.1,96.9,4820,6391,3743
130000,河北省,2013,24614.0,585.31,81.69,4331,6540,3895
130000,河北省,2012,23128.0,577.44,85.68,3889,6661,3846
130000,河北省,2011,21557.0,584.64,91.87,3556,6629,3763
130000,河北省,2010,20050.0,589.28,111.95,3306,6478,3734
130000,河北省,2009,19338.0,678.05,173.99,3109,5407,2554
130000,河北省,2008,17563.0,662.77,182.9,2947,5115,2797
130000,河北省,2007,16942.0,686.46,169.4,2940,5605,2575
130000,河北省,2006,14179.0,678.2,159.4,2865,5748,2794
130000,河北省,2005,13053.65,680.1,202.6,2948,5745,
130000,河北省,2004,11629.2,741.0,166.0,2792,5779,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,21652.24,500.38323,,6551,2634,2096
140000,山西省,2018,19487.54,478.907776,,5857,2459,1805
140000,山西省,2017,16581.0,479.07,,5545,2380,1839
140000,山西省,2016,16659.0,469.38,35.34,5462,3550,1784
140000,山西省,2015,16083.0,446.97,33.99,4603,3261,1715
140000,山西省,2014,15527.0,445.01,34.12,4895,3234,1576
140000,山西省,2013,14659.0,394.56,76.26,4141,3370,1464
140000,山西省,2012,12637.0,392.39,79.5,3986,3206,1141
140000,山西省,2011,11120.0,420.03,79.06,3823,3176,1086
140000,山西省,2010,10609.0,361.22,82.22,3689,3215,946
140000,山西省,2009,9859.0,374.57,75.88,3464,3191,967
140000,山西省,2008,8533.0,354.07,95.06,2123,3846,1034
140000,山西省,2007,8350.0,365.14,112.98,1912,3941,1039
140000,山西省,2006,7045.0,468.6,103.9,1867,4050,959
140000,山西省,2005,7110.5,619.7,571.1,1396,4211,
140000,山西省,2004,6519.6,592.4,564.7,1473,4174,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,24982.81,394.507773,,6471,7233,4577
150000,内蒙古自治区,2018,21516.32,349.297487,,5192,7612,4471
150000,内蒙古自治区,2017,22901.0,369.16,,4632,6448,2636
150000,内蒙古自治区,2016,21383.0,345.27,60.04,4038,4163,1935
150000,内蒙古自治区,2015,19799.0,329.12,37.81,3704,4171,1827
150000,内蒙古自治区,2014,18207.0,324.56,48.13,2717,4075,1864
150000,内蒙古自治区,2013,17171.0,350.06,82.75,2568,4291,1596
150000,内蒙古自治区,2012,12755.0,385.91,105.95,2093,4459,1510
150000,内蒙古自治区,2011,12555.0,339.95,147.1,2001,4295,1392
150000,内蒙古自治区,2010,9674.0,333.96,129.15,1480,3962,1059
150000,内蒙古自治区,2009,10157.0,366.52,125.69,1379,4114,1098
150000,内蒙古自治区,2008,9192.0,358.07,104.29,1321,4383,1131
150000,内蒙古自治区,2007,8578.0,349.93,96.58,1292,4449,1223
150000,内蒙古自治区,2006,5319.0,331.2,98.1,1214,4501,1626
150000,内蒙古自治区,2005,4978.8,329.0,108.5,1199,4212,
150000,内蒙古自治区,2004,4259.2,329.2,99.4,1112,4130,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,42017.18,985.387702,,11033,4710,2714
210000,辽宁省,2018,44927.0,872.157706,,10357,4138,2325
210000,辽宁省,2017,39255.0,864.53,,7822,4172,1933
210000,辽宁省,2016,38296.0,933.05,85.92,7005,5393,2004
210000,辽宁省,2015,36637.0,933.2,89.44,6535,5056,1839
210000,辽宁省,2014,33721.0,917.14,90.39,6097,5353,1896
210000,辽宁省,2013,35713.0,927.12,98.05,5743,5500,1810
210000,辽宁省,2012,33403.0,929.92,113.4,5323,5582,1713
210000,辽宁省,2011,132135.0,876.0,118.54,5200,5863,1653
210000,辽宁省,2010,28122.0,837.26,124.32,4998,6322,1493
210000,辽宁省,2009,27546.0,813.29,129.17,4457,6948,1337
210000,辽宁省,2008,25620.0,796.71,176.26,4134,7868,1041
210000,辽宁省,2007,24282.0,771.38,152.42,4058,7889,851
210000,辽宁省,2006,21864.0,755.5,131.5,3381,8321,753
210000,辽宁省,2005,19587.6,768.0,148.4,3313,9661,
210000,辽宁省,2004,18931.4,778.8,158.7,2883,10077,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,18154.93,483.093488,,7639,4427,3370
220000,吉林省,2018,17910.09,470.56264,,7162,3828,2617
220000,吉林省,2017,17741.0,494.98,,6548,3417,1624
220000,吉林省,2016,18880.0,534.12,62.53,6852,3586,1357
220000,吉林省,2015,16957.0,490.25,67.55,6323,3643,1168
220000,吉林省,2014,14504.0,504.6,65.08,5973,3729,1061
220000,吉林省,2013,13831.0,485.35,66.79,4878,3959,979
220000,吉林省,2012,13287.0,508.55,88.78,4759,4184,1074
220000,吉林省,2011,12602.0,493.0,72.38,2867,4378,1358
220000,吉林省,2010,13037.0,499.43,76.31,2608,4837,1524
220000,吉林省,2009,12367.0,521.3,117.07,2378,5519,1476
220000,吉林省,2008,11595.0,563.64,132.77,2313,5216,1243
220000,吉林省,2007,8988.0,568.16,137.47,2137,4976,1054
220000,吉林省,2006,8554.0,558.0,79.0,2045,5110,2101
220000,吉林省,2005,7615.1,580.4,120.3,2053,5363,
220000,吉林省,2004,8021.1,571.8,111.1,1957,5527,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,26585.84,523.607794,,8747,5964,2982
230000,黑龙江省,2018,25694.97,524.925752,,8454,5788,2310
230000,黑龙江省,2017,25996.0,553.23,,8315,5719,2061
230000,黑龙江省,2016,24843.0,541.94,120.66,7571,6133,2532
230000,黑龙江省,2015,23484.0,523.0,122.11,7273,6617,2668
230000,黑龙江省,2014,22716.0,553.38,134.75,6887,7064,2560
230000,黑龙江省,2013,20283.0,581.85,153.22,5633,6455,2017
230000,黑龙江省,2012,18320.0,710.01,151.14,5749,7058,1695
230000,黑龙江省,2011,16884.0,796.64,175.54,5042,7276,1629
230000,黑龙江省,2010,14937.0,782.35,166.68,3814,8893,1587
230000,黑龙江省,2009,13812.0,912.39,179.91,3504,10364,1939
230000,黑龙江省,2008,11568.0,898.64,184.11,3268,10447,1912
230000,黑龙江省,2007,12922.0,963.15,189.88,3244,10781,2226
230000,黑龙江省,2006,10984.0,1006.2,208.0,3070,10675,1641
230000,黑龙江省,2005,10279.5,1125.8,272.1,3187,10731,
230000,黑龙江省,2004,9785.1,1059.7,254.6,3295,10065,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,21190.01,750.6455,,9252,6225,4260
310000,上海市,2018,20854.96,784.733888,,8579,6061,3456
310000,上海市,2017,18852.0,743.07,,8583,6221,2642
310000,上海市,2016,18253.0,629.37,159.72,7036,6220,2641
310000,上海市,2015,17366.0,613.2,172.82,5503,6197,2618
310000,上海市,2014,17490.0,608.41,199.87,5371,6168,4967
310000,上海市,2013,17385.0,735.0,222.0,5237,6223,4470
310000,上海市,2012,17294.0,716.0,200.0,5102,6340,4404
310000,上海市,2011,16769.0,704.0,207.0,5309,5768,5457
310000,上海市,2010,15879.0,732.0,201.0,5560,6026,5767
310000,上海市,2009,15313.0,710.0,221.0,5549,5633,6015
310000,上海市,2008,14145.0,676.0,220.0,5451,3669,3278
310000,上海市,2007,12503.0,690.66,232.34,4489,5378,3003
310000,上海市,2006,11982.0,658.3,246.8,4252,2794,2523
310000,上海市,2005,10414.9,622.3,253.9,4352,3640,
310000,上海市,2004,9700.6,609.7,258.3,4082,3640,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,71065.79,1809.560379,,19049,14279,13317
320000,江苏省,2018,63904.57,1718.023591,,17757,13965,12929
320000,江苏省,2017,67319.0,1734.65,,16820,12934,11413
320000,江苏省,2016,62827.0,1562.32,65.85,13482,12136,10637
320000,江苏省,2015,57992.0,1456.07,72.49,12175,11739,10004
320000,江苏省,2014,55132.0,1352.44,82.44,11227,11178,9255
320000,江苏省,2013,52029.0,1202.69,81.7,9865,10438,8597
320000,江苏省,2012,48098.0,1210.07,72.92,8709,10035,8031
320000,江苏省,2011,46162.0,1119.77,95.17,7984,10134,8097
320000,江苏省,2010,44088.0,1017.05,84.93,7481,9475,7919
320000,江苏省,2009,36160.0,957.31,116.14,6923,9654,7791
320000,江苏省,2008,35418.0,934.46,159.85,5939,9050,7650
320000,江苏省,2007,31072.0,898.43,140.18,5589,8520,7038
320000,江苏省,2006,29409.0,851.3,126.9,5447,9165,7286
320000,江苏省,2005,27101.36,834.8,388.4,5094,10591,
320000,江苏省,2004,22504.62,817.7,388.6,4494,10260,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,47185.56,1530.239918,,9083,7744,6413
330000,浙江省,2018,46411.06,1474.616966,,8776,8075,6520
330000,浙江省,2017,49663.0,1454.64,,8255,7883,6752
330000,浙江省,2016,43224.0,1433.52,75.37,7232,8145,7045
330000,浙江省,2015,39195.0,1332.63,81.49,6752,8199,6923
330000,浙江省,2014,36843.0,1229.05,70.95,6483,8026,6441
330000,浙江省,2013,34699.0,1123.34,69.36,6167,7962,6316
330000,浙江省,2012,30973.0,1055.03,84.2,5607,7852,6172
330000,浙江省,2011,29519.0,1018.08,77.08,5032,7673,6554
330000,浙江省,2010,27805.0,959.01,83.74,4685,7287,6380
330000,浙江省,2009,26651.0,925.62,84.36,4138,7802,6451
330000,浙江省,2008,24466.0,806.78,85.13,3829,6757,5427
330000,浙江省,2007,23075.0,772.04,79.17,3614,6654,4977
330000,浙江省,2006,20052.0,687.7,83.5,3366,5507,3976
330000,浙江省,2005,17262.6,762.5,205.4,2848,5087,
330000,浙江省,2004,15659.5,705.2,109.9,2723,4375,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,39628.64,646.087036,,9248,4403,4021
340000,安徽省,2018,37348.72,612.031698,,7053,3826,3236
340000,安徽省,2017,32514.0,612.22,,5938,3467,2972
340000,安徽省,2016,30833.0,539.95,13.03,5395,3417,3040
340000,安徽省,2015,29216.0,491.94,15.72,4593,3223,2813
340000,安徽省,2014,26370.0,464.79,18.5,3116,3192,2684
340000,安徽省,2013,24081.0,455.93,24.78,2765,3122,2579
340000,安徽省,2012,22229.0,442.06,27.17,2320,3096,2603
340000,安徽省,2011,18315.0,435.08,64.0,2059,3087,2502
340000,安徽省,2010,17339.0,435.25,57.38,1508,3168,2469
340000,安徽省,2009,14579.0,432.78,55.69,1327,2918,2392
340000,安徽省,2008,13927.0,426.9,57.24,1321,2987,2291
340000,安徽省,2007,11897.0,400.24,27.87,1117,2719,2026
340000,安徽省,2006,9781.0,405.0,32.3,1162,2437,1732
340000,安徽省,2005,9006.5,476.6,41.5,1182,3600,
340000,安徽省,2004,8147.52,466.8,43.4,1058,3616,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,20503.82,967.068282,,5845,5517,4627
350000,福建省,2018,19589.19,874.940154,,5057,4824,3407
350000,福建省,2017,17554.0,786.35,,3981,3924,2789
350000,福建省,2016,16336.0,656.96,4.03,3029,2629,2602
350000,福建省,2015,14881.0,608.06,4.08,2531,3185,3156
350000,福建省,2014,16243.0,598.89,3.97,2578,3113,3092
350000,福建省,2013,15585.0,551.82,3.88,2505,3078,3058
350000,福建省,2012,12696.0,493.81,4.1,2222,2890,2850
350000,福建省,2011,12164.0,433.52,1.18,2049,2920,2426
350000,福建省,2010,11433.0,417.3,25.92,2036,2640,2059
350000,福建省,2009,9908.0,392.4,24.75,1987,1753,1373
350000,福建省,2008,9233.0,398.95,14.81,1889,1864,945
350000,福建省,2007,8771.0,376.1,17.25,1835,1464,1207
350000,福建省,2006,7854.0,318.4,40.3,1706,1481,1186
350000,福建省,2005,6793.68,303.0,43.8,1590,1759,
350000,福建省,2004,5976.1,290.5,42.6,1421,1459,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,22228.06,542.588893,,9458,3756,3265
360000,江西省,2018,21513.54,448.804862,,4435,2581,2149
360000,江西省,2017,20042.0,451.53,,3838,2242,1837
360000,江西省,2016,17380.0,399.48,7.75,2580,2077,1735
360000,江西省,2015,14019.0,329.25,7.92,1787,1887,1509
360000,江西省,2014,12893.0,308.45,8.05,1630,1982,1524
360000,江西省,2013,11721.0,339.02,12.86,1157,1905,1456
360000,江西省,2012,11964.0,327.15,44.62,1184,2041,1532
360000,江西省,2011,10217.0,306.55,36.77,1044,2009,1521
360000,江西省,2010,9911.0,284.0,40.41,899,1785,1236
360000,江西省,2009,8308.0,280.78,55.35,838,1946,1359
360000,江西省,2008,8043.0,249.24,65.28,900,1880,1295
360000,江西省,2007,6833.0,252.15,77.81,876,1672,1087
360000,江西省,2006,5966.0,274.5,9.5,791,1473,1049
360000,江西省,2005,5385.0,264.4,21.4,735,1457,
360000,江西省,2004,4662.1,258.7,20.1,661,1296,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,76154.14,1786.811777,,19270,7458,6896
370000,山东省,2018,76720.95,1700.791519,,18087,7086,6673
370000,山东省,2017,74631.0,1591.31,,18314,6547,6070
370000,山东省,2016,72533.0,1466.25,22.16,14358,6860,5997
370000,山东省,2015,68631.0,1377.47,107.95,12666,6351,5505
370000,山东省,2014,65422.0,958.47,127.15,10324,6084,5266
370000,山东省,2013,82996.0,1007.37,136.3,9645,5733,4876
370000,山东省,2012,56109.0,1062.38,120.6,8598,5745,4717
370000,山东省,2011,50932.0,959.46,125.11,7276,5674,4769
370000,山东省,2010,48528.0,992.0,105.4,5983,5583,4277
370000,山东省,2009,44895.0,958.36,94.72,5280,5377,4178
370000,山东省,2008,40477.0,991.44,131.71,5007,5636,4067
370000,山东省,2007,37294.0,945.0,119.84,4638,5398,3498
370000,山东省,2006,32432.0,963.3,119.3,4943,5015,3738
370000,山东省,2005,31996.3,1046.5,325.7,4121,4327,
370000,山东省,2004,28533.9,1242.8,162.6,3751,3936,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,42346.6,1134.581825,,18258,10675,10089
410000,河南省,2018,39207.48,1019.620898,,16424,9851,9405
410000,河南省,2017,36166.0,985.55,,14511,8593,8055
410000,河南省,2016,32248.0,915.39,36.92,8448,7932,7427
410000,河南省,2015,29490.0,891.83,36.62,5682,7540,7040
410000,河南省,2014,27197.0,832.75,44.44,4203,7218,6545
410000,河南省,2013,25540.0,805.63,48.25,3777,7089,6383
410000,河南省,2012,23569.0,795.84,66.44,3614,7162,6188
410000,河南省,2011,22125.0,729.54,52.85,3164,7189,6219
410000,河南省,2010,20892.0,694.61,52.83,3025,7041,5985
410000,河南省,2009,20197.0,679.46,50.39,2856,6993,5484
410000,河南省,2008,18651.0,757.04,58.86,2698,6576,4780
410000,河南省,2007,19239.0,737.46,87.38,2625,5681,3071
410000,河南省,2006,14528.0,722.6,84.5,2503,5669,2945
410000,河南省,2005,14616.6,756.7,81.2,2678,5661,
410000,河南省,2004,12876.8,681.5,88.0,2317,4990,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,37229.81,979.990456,,12917,5828,5149
420000,湖北省,2018,34970.25,954.18226,,11838,5596,4933
420000,湖北省,2017,32460.0,907.95,,13264,5173,4569
420000,湖北省,2016,28609.0,880.1,16.35,12786,5451,4378
420000,湖北省,2015,33304.0,832.15,15.82,12710,5475,3974
420000,湖北省,2014,30527.0,739.34,19.48,8851,5130,4171
420000,湖北省,2013,23456.0,745.82,19.36,6423,4759,3818
420000,湖北省,2012,21086.0,716.63,37.18,4091,4702,3417
420000,湖北省,2011,18826.0,736.27,62.02,3419,5088,4005
420000,湖北省,2010,16941.0,711.12,52.4,3077,5087,4061
420000,湖北省,2009,16080.0,680.62,23.07,2925,4062,3118
420000,湖北省,2008,15022.0,680.76,47.24,2735,4152,3121
420000,湖北省,2007,14141.0,673.24,81.53,2720,4094,3011
420000,湖北省,2006,11936.0,695.4,15.1,2224,4000,3069
420000,湖北省,2005,12666.4,885.2,92.0,2597,4840,
420000,湖北省,2004,11957.0,891.3,100.3,2287,5119,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,27954.57,775.447691,,6792,4022,3001
430000,湖南省,2018,31280.45,824.489791,,6779,4331,2739
430000,湖南省,2017,27762.0,764.86,,5018,3576,2198
430000,湖南省,2016,25742.0,681.59,2.79,4812,3573,2288
430000,湖南省,2015,19979.0,638.15,6.7,3891,3371,2682
430000,湖南省,2014,18032.0,600.79,14.35,3642,3373,2611
430000,湖南省,2013,17296.0,616.81,3.44,3151,3312,2827
430000,湖南省,2012,16216.0,565.43,4.92,2810,3280,2729
430000,湖南省,2011,14214.0,531.61,2.93,2372,2937,2722
430000,湖南省,2010,12331.0,505.22,4.9,1998,2896,2328
430000,湖南省,2009,11628.0,511.94,5.37,1803,2894,2196
430000,湖南省,2008,10565.0,542.79,37.32,1674,2810,1865
430000,湖南省,2007,10052.0,511.17,38.3,1486,2714,1754
430000,湖南省,2006,9378.0,510.0,40.0,1342,2597,1781
430000,湖南省,2005,7559.7,486.0,41.4,1396,2652,
430000,湖南省,2004,6590.0,488.9,66.5,1192,2728,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,118645.51,3347.323217,,24327,11497,10970
440000,广东省,2018,112965.84,3035.38467,,23213,10812,10304
440000,广东省,2017,107035.0,2644.48,,20472,10582,9605
440000,广东省,2016,101629.0,2390.95,89.29,19314,10634,10063
440000,广东省,2015,92161.0,2320.4,85.51,14274,9769,9309
440000,广东省,2014,84873.0,2214.23,85.09,11729,9666,9076
440000,广东省,2013,75126.0,2092.11,94.39,10975,9631,9255
440000,广东省,2012,71791.0,2136.88,99.43,9066,9648,9137
440000,广东省,2011,67612.0,1978.8,104.57,9147,9558,8805
440000,广东省,2010,62768.0,1938.55,114.67,8535,9067,8393
440000,广东省,2009,60765.0,1960.63,125.08,8305,8922,7156
440000,广东省,2008,110703.0,1868.36,127.08,8079,8469,7740
440000,广东省,2007,48069.0,1833.77,267.45,8255,7345,6526
440000,广东省,2006,34083.0,1648.2,69.9,6291,5555,4517
440000,广东省,2005,38542.2,1722.6,459.1,6467,6555,
440000,广东省,2004,28292.5,1561.5,333.2,6393,5316,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,25962.34,497.691155,,10318,1784,1694
450000,广西壮族自治区,2018,23202.45,466.473015,,8087,1645,1464
450000,广西壮族自治区,2017,21686.0,438.32,,7987,1552,1376
450000,广西壮族自治区,2016,19713.0,411.15,7.65,7430,1503,1175
450000,广西壮族自治区,2015,18189.0,385.46,8.73,7044,1496,1370
450000,广西壮族自治区,2014,14065.0,338.86,9.75,3442,2129,2035
450000,广西壮族自治区,2013,12927.0,302.25,9.99,3097,2156,2052
450000,广西壮族自治区,2012,11601.0,266.21,13.4,2022,2159,1522
450000,广西壮族自治区,2011,11133.0,255.81,21.96,1883,2104,1463
450000,广西壮族自治区,2010,11005.0,245.06,22.65,1748,1487,1396
450000,广西壮族自治区,2009,9675.0,240.16,24.04,1606,1493,1403
450000,广西壮族自治区,2008,10648.0,248.53,22.57,1508,1443,1351
450000,广西壮族自治区,2007,9187.0,246.43,22.03,1232,1699,1047
450000,广西壮族自治区,2006,7243.0,220.6,18.6,1089,1425,1293
450000,广西壮族自治区,2005,6527.5,204.7,22.3,982,1502,
450000,广西壮族自治区,2004,5685.6,228.7,27.0,933,1232,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,8330.73,256.453973,,10346,1048,977
460000,海南省,2018,7370.74,222.409429,,7287,986,766
460000,海南省,2017,10794.0,213.06,,5944,697,617
460000,海南省,2016,7711.0,188.69,0.56,4957,715,629
460000,海南省,2015,5289.0,160.06,5.71,1686,457,441
460000,海南省,2014,6084.0,144.21,5.33,1503,484,474
460000,海南省,2013,6535.0,125.29,0.94,869,457,419
460000,海南省,2012,6384.0,110.18,22.17,1824,459,336
460000,海南省,2011,6233.0,113.58,13.18,1902,389,270
460000,海南省,2010,4076.0,97.66,8.52,1525,394,234
460000,海南省,2009,3629.0,88.74,8.58,1390,309,143
460000,海南省,2008,3254.0,84.75,9.57,349,307,83
460000,海南省,2007,2746.0,87.81,6.97,338,335,136
460000,海南省,2006,1193.0,50.9,1.0,131,96,43
460000,海南省,2005,2563.0,81.2,6.3,315,224,
460000,海南省,2004,2222.0,82.2,7.6,293,217,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,20955.02,601.767493,,4504,4606,3536
500000,重庆市,2018,19251.18,549.234835,,4113,4242,3045
500000,重庆市,2017,18249.0,529.74,,3418,4115,2917
500000,重庆市,2016,17850.0,494.13,45.74,3116,3530,2876
500000,重庆市,2015,15313.0,440.03,61.25,2791,3208,2354
500000,重庆市,2014,12304.0,399.37,66.96,2448,2843,2234
500000,重庆市,2013,10989.0,349.8,64.55,1915,2093,1747
500000,重庆市,2012,10311.0,335.29,63.94,1807,1992,1586
500000,重庆市,2011,9150.0,281.56,75.29,1489,1835,1291
500000,重庆市,2010,6136.0,256.68,72.61,1786,1642,1134
500000,重庆市,2009,6548.0,224.3,75.02,1838,2196,1640
500000,重庆市,2008,5423.0,225.19,71.51,1182,1846,1304
500000,重庆市,2007,5081.0,200.52,63.87,1085,2026,1325
500000,重庆市,2006,5005.0,243.9,51.1,886,2201,1247
500000,重庆市,2005,4455.6,237.6,67.5,937,2239,
500000,重庆市,2004,4488.06,237.2,75.0,913,2205,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,43380.5,1168.617842,,11188,6627,5381
510000,四川省,2018,38498.88,1013.080615,,8833,6116,4974
510000,四川省,2017,37804.0,989.85,,7620,5893,4565
510000,四川省,2016,36723.0,886.67,15.91,6351,4974,3741
510000,四川省,2015,30196.0,823.57,17.16,4859,4383,3209
510000,四川省,2014,28574.0,779.99,18.0,4436,4280,3040
510000,四川省,2013,21020.0,750.65,20.24,3970,5404,4381
510000,四川省,2012,19318.0,702.75,19.74,3797,5147,3928
510000,四川省,2011,17247.0,668.95,20.58,3425,4710,2886
510000,四川省,2010,15173.0,656.03,31.66,3301,4638,2909
510000,四川省,2009,12048.0,590.08,43.46,2864,4395,3699
510000,四川省,2008,10921.0,550.96,26.57,2610,3868,2128
510000,四川省,2007,11453.0,548.53,27.18,2366,3514,3005
510000,四川省,2006,12915.0,527.1,41.7,2110,3607,2945
510000,四川省,2005,13103.1,600.7,51.5,2486,4729,
510000,四川省,2004,12440.6,579.9,73.8,2210,3774,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,15196.3,364.56539,,5686,2275,2177
520000,贵州省,2018,14799.12,338.47829,,4993,2240,2154
520000,贵州省,2017,13425.0,323.52,,4732,2109,2003
520000,贵州省,2016,9773.0,293.98,0.86,3385,1361,1108
520000,贵州省,2015,7098.0,268.34,1.03,2619,1440,1187
520000,贵州省,2014,5129.0,273.77,4.23,2352,1375,1142
520000,贵州省,2013,5300.0,248.42,4.05,1987,1280,1046
520000,贵州省,2012,4910.0,235.69,4.85,1681,1262,1064
520000,贵州省,2011,4241.0,218.27,3.54,1496,1203,1010
520000,贵州省,2010,3405.0,213.26,4.14,882,1197,1022
520000,贵州省,2009,3007.0,209.07,6.96,699,1187,965
520000,贵州省,2008,2702.0,190.54,7.22,635,1156,931
