省份编码,省份,年份,城区面积(平方公里),建成区面积(平方公里),城市建设用地面积(平方公里),征用土地面积(平方公里),城市人口密度(人/平方公里)
150000,内蒙古自治区,2004,,699.3,641.25,3.79,545.0
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,12894.6,2720.06,,,1806.81060288803
210000,辽宁省,2018,12899.42,2669.71,2764.66,18.02,1782.33594998845
210000,辽宁省,2017,12799.79,2643.8,2748.49,22.56,1770.0
210000,辽宁省,2016,15148.08,2798.2,2718.2,28.18,1485.0
210000,辽宁省,2015,14316.3,2461.95,2405.24,67.87,1590.0
210000,辽宁省,2014,14084.17,2422.02,2444.94,70.01,1615.0
210000,辽宁省,2013,13973.93,2386.49,2407.63,105.36,1663.0
210000,辽宁省,2012,13966.53,2329.08,2261.31,194.81,1624.0
210000,辽宁省,2011,12821.71,2276.51,2249.09,185.73,1712.0
210000,辽宁省,2010,11655.67,2220.53,2171.23,128.2,1814.0
210000,辽宁省,2009,10924.87,2030.71,2082.04,83.78,1922.0
210000,辽宁省,2008,10775.25,1955.53,2041.11,226.65,1916.0
210000,辽宁省,2007,,1917.59,1890.28,72.0,1945.0
210000,辽宁省,2006,,1859.59,1847.43,77.21,2270.96044355484
210000,辽宁省,2005,,1779.94,1660.6,71.89,1242.68729207486
210000,辽宁省,2004,,1737.31,1617.73,38.66,1256.0
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,6482.77,1555.13,,,1885.01211673405
220000,吉林省,2018,6658.72,1538.78,1464.9,75.37,1830.89242376913
220000,吉林省,2017,5105.63,1452.15,1407.49,64.97,2284.0
220000,吉林省,2016,5111.52,1425.83,1379.46,68.1,2231.0
220000,吉林省,2015,3668.37,1399.07,1330.14,34.37,3193.0
220000,吉林省,2014,3642.86,1362.79,1281.82,36.11,3171.0
220000,吉林省,2013,3596.28,1344.02,1263.97,40.26,3135.0
220000,吉林省,2012,3956.61,1293.82,1209.78,55.99,2878.0
220000,吉林省,2011,4718.24,1270.99,1203.8,75.27,2371.0
220000,吉林省,2010,7376.83,1237.38,1171.77,59.0,1449.0
220000,吉林省,2009,7322.42,1193.33,1144.42,28.66,1396.0
220000,吉林省,2008,7233.71,1135.36,1065.35,67.59,1368.0
220000,吉林省,2007,,1051.45,971.26,56.53,1504.0
220000,吉林省,2006,,1013.19,915.32,49.36,1546.83677088083
220000,吉林省,2005,,942.87,850.61,23.05,785.381149985773
220000,吉林省,2004,,884.66,799.5,13.39,771.0
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,2528.1,1770.89,,,5497.8442308453
230000,黑龙江省,2018,2587.7,1824.96,1831.43,27.42,5476.33033195502
230000,黑龙江省,2017,2582.94,1819.7,1813.17,8.87,5515.0
230000,黑龙江省,2016,2735.61,1810.17,1821.81,17.71,5244.0
230000,黑龙江省,2015,2578.26,1772.24,1788.87,14.66,5504.0
230000,黑龙江省,2014,2786.78,1785.08,1773.74,24.33,4946.0
230000,黑龙江省,2013,2765.69,1758.38,1763.68,19.87,4922.0
230000,黑龙江省,2012,2718.31,1725.45,1747.71,39.65,5054.0
230000,黑龙江省,2011,2653.18,1678.64,1722.14,47.73,5146.0
230000,黑龙江省,2010,2589.48,1637.98,1737.5,28.3,5239.0
230000,黑龙江省,2009,3135.63,1566.11,1682.84,40.67,4321.0
230000,黑龙江省,2008,2990.31,1524.21,1623.42,37.09,4486.0
230000,黑龙江省,2007,,1525.83,1540.84,18.34,3436.0
230000,黑龙江省,2006,,1467.17,1494.78,16.03,3839.98797655428
230000,黑龙江省,2005,,1496.01,1470.81,21.02,342.388140423579
230000,黑龙江省,2004,,1417.55,1417.89,11.69,340.0
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,6340.5,1237.85,,,3829.5718003312
310000,上海市,2018,6340.5,1237.74,1899.04,24.15,3822.69537102752
310000,上海市,2017,6340.5,998.75,1910.74,23.0,3814.0
310000,上海市,2016,6340.5,998.75,1913.3,24.46,3816.0
310000,上海市,2015,6340.5,998.75,2915.56,24.52,3809.0
310000,上海市,2014,6340.5,998.75,2915.56,35.51,3826.0
310000,上海市,2013,6340.5,998.75,2915.56,35.51,3809.0
310000,上海市,2012,6340.5,998.75,2904.25,42.04,3754.0
310000,上海市,2011,6340.5,998.75,,,3702.0
310000,上海市,2010,6340.5,998.75,,,3630.0
310000,上海市,2009,6340.5,,,,3030.0
310000,上海市,2008,6340.5,,2429.08,,2978.0
310000,上海市,2007,,885.67,2429.08,,2930.0
310000,上海市,2006,,860.21,,92.21,2774.20636740184
310000,上海市,2005,,819.88,,97.21,2718.1744539716
310000,上海市,2004,,781.04,1824.56,61.01,1970.0
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,15536.38,4648.33,,,2221.05792983951
320000,江苏省,2018,15536.38,4558.45,4416.87,214.19,2176.45294463704
320000,江苏省,2017,15368.38,4426.51,4431.72,165.18,2092.0
320000,江苏省,2016,15277.57,4299.26,4367.41,155.56,2057.0
320000,江苏省,2015,15110.5,4189.17,4207.6,141.26,2034.0
320000,江苏省,2014,14609.84,4019.83,4067.87,146.88,2038.0
320000,江苏省,2013,14307.61,3809.6,3874.49,175.17,2016.0
320000,江苏省,2012,13957,3655.05,3701.86,245.9,2002.0
320000,江苏省,2011,13272.27,3493.78,3552.61,182.85,2013.0
320000,江苏省,2010,12462.84,3271.09,3424.75,195.45,2027.0
320000,江苏省,2009,11395.93,3046.37,3167.59,159.57,2152.0
320000,江苏省,2008,12250.83,2904.32,2991.71,107.08,1905.0
320000,江苏省,2007,,2713.92,2703.64,158.77,2050.0
320000,江苏省,2006,,2583.0,2483.91,121.42,2363.7733902326
320000,江苏省,2005,,2378.6,2414.38,117.44,1321.35410971676
320000,江苏省,2004,,2252.85,2278.64,193.71,1375.0
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,12421.76,3021.89,,,2064.44175382554
330000,浙江省,2018,11913.83,2919.09,2823.94,132.22,2136.59251474967
330000,浙江省,2017,11590.49,2829.27,2682.49,133.44,2109.0
330000,浙江省,2016,11311.75,2673.33,2573.37,100.01,2059.0
330000,浙江省,2015,11326.51,2590.74,2469.74,99.58,1914.0
330000,浙江省,2014,11094.63,2489.22,2532.02,105.49,1828.0
330000,浙江省,2013,10991.68,2399.24,2413.15,140.47,1818.0
330000,浙江省,2012,10515.23,2296.33,2246.68,115.24,1786.0
330000,浙江省,2011,10484.32,2221.1,2263.41,88.87,1741.0
330000,浙江省,2010,10256.38,2128.96,2245.93,107.36,1773.0
330000,浙江省,2009,10113.78,2033.32,2110.56,104.7,1742.0
330000,浙江省,2008,10011.06,1939.09,2025.1,102.08,1757.0
330000,浙江省,2007,,1851.14,1893.95,102.15,1748.0
330000,浙江省,2006,,1744.16,1735.05,135.01,2087.05177255028
330000,浙江省,2005,,1679.72,1729.89,155.32,1269.78324445209
330000,浙江省,2004,,1508.53,1572.94,96.05,1189.0
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,6355.3,2241.5,,,2662.59657293912
340000,安徽省,2018,6190.29,2109.88,2071.75,225.2,2598.90893641493
340000,安徽省,2017,6082.46,2039.3,2001.94,148.25,2535.0
340000,安徽省,2016,6100.4,2001.68,1959.72,130.18,2487.0
340000,安徽省,2015,6059.4,1926.36,1920.12,114.14,2458.0
340000,安徽省,2014,5929.72,1835.15,1830.06,107.33,2416.0
340000,安徽省,2013,5852.01,1777.26,1763.15,137.36,2359.0
340000,安徽省,2012,5569.09,1696.01,1682.02,128.62,2401.0
340000,安徽省,2011,5572.94,1597.69,1565.01,117.53,2265.0
340000,安徽省,2010,5041.16,1491.32,1539.96,109.3,2469.0
340000,安徽省,2009,5704.29,1377.67,1452.1,106.18,2114.0
340000,安徽省,2008,5630.29,1310.88,1376.06,84.53,2043.0
340000,安徽省,2007,,1201.64,1222.13,61.62,2114.0
340000,安徽省,2006,,1135.85,1147.65,47.16,2030.35839515742
340000,安徽省,2005,,1260.35,1250.88,98.3,1448.76030192885
340000,安徽省,2004,,1123.37,1102.55,28.34,1375.0
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,4138.17,1620.74,,,3193.27142190872
350000,福建省,2018,4048.41,1587.54,1478.41,55.54,3238.40717713868
350000,福建省,2017,4473.89,1516.88,1472.75,70.53,2854.0
350000,福建省,2016,4440.87,1469.16,1365.57,90.14,2758.0
350000,福建省,2015,4368.15,1413.54,1346.58,100.22,2704.0
350000,福建省,2014,4318.09,1326.42,1208.14,75.63,2627.0
350000,福建省,2013,4298.7,1263.18,1174.97,86.86,2570.0
350000,福建省,2012,4500.88,1203.14,1126.05,72.49,2388.0
350000,福建省,2011,4481.44,1129.96,1076.98,51.7,2306.0
350000,福建省,2010,4361.84,1059.0,1019.07,23.79,2290.0
350000,福建省,2009,4334.36,918.64,881.37,17.83,2193.0
350000,福建省,2008,4406.94,877.35,822.24,11.43,2055.0
350000,福建省,2007,,819.35,793.78,29.16,2055.0
350000,福建省,2006,,780.06,717.95,46.43,2057.41357606502
350000,福建省,2005,,672.64,662.91,31.81,1000.22540996437
350000,福建省,2004,,628.33,603.6,27.95,1026.0
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,2940.88,1607.8,,,4225.57193765132
360000,江西省,2018,2492.74,1546.31,1477.42,92.57,4817.790864671
360000,江西省,2017,2421.59,1454.1,1402.64,94.02,4740.0
360000,江西省,2016,2369.32,1370.95,1279.29,60.56,4613.0
360000,江西省,2015,2178.89,1295.65,1231.02,53.07,4822.0
360000,江西省,2014,2114.76,1201.26,1123.46,39.65,4671.0
360000,江西省,2013,2113.46,1151.42,1086.22,97.6,4542.0
360000,江西省,2012,1949.64,1077.61,1034.27,65.85,4663.0
360000,江西省,2011,1890.72,1019.87,986.44,57.51,4527.0
360000,江西省,2010,1719.32,933.78,966.32,20.97,4786.0
360000,江西省,2009,1626.8,856.9,888.23,25.24,4757.0
360000,江西省,2008,1602.93,819.09,848.27,17.87,4680.0
360000,江西省,2007,,800.67,825.44,24.07,4407.0
360000,江西省,2006,,757.95,758.99,19.67,4546.93617353965
360000,江西省,2005,,663.57,670.66,41.74,2739.72289977283
360000,江西省,2004,,631.56,646.6,82.11,2647.0
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,23206.32,5412.68,,,1664.68875720062
370000,山东省,2018,22784.38,5164.26,4884.92,142.47,1621.76017078367
370000,山东省,2017,22733.65,4971.47,4660.19,140.43,1554.0
370000,山东省,2016,22424.21,4795.47,4539.96,114.08,1502.0
370000,山东省,2015,21567.91,4609.32,4407.7,86.39,1452.0
370000,山东省,2014,21310.86,4400.09,4278.53,88.13,1426.0
370000,山东省,2013,21635.26,4187.48,3828.28,100.08,1361.0
370000,山东省,2012,21421.45,3926.97,3854.39,150.7,1349.0
370000,山东省,2011,20157.61,3751.2,3680.66,141.64,1389.0
370000,山东省,2010,19631.65,3566.15,3526.37,98.71,1389.0
370000,山东省,2009,18814.83,3373.63,3346.59,83.41,1415.0
370000,山东省,2008,18690.41,3261.03,3191.5,93.92,1413.0
370000,山东省,2007,,3081.91,3023.06,140.93,1449.0
370000,山东省,2006,,2895.05,2848.46,136.62,1859.87813458916
370000,山东省,2005,,2675.53,2637.57,157.05,921.401093492467
370000,山东省,2004,,2395.58,2436.42,208.48,952.0
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,5364.36,2944.3,,,4849.82365091083
410000,河南省,2018,5131.54,2797.32,2644.85,50.28,4903.42080545022
410000,河南省,2017,5131.54,2685.29,2530.78,45.56,4871.0
410000,河南省,2016,4822.78,2544.27,2424.64,28.18,5056.0
410000,河南省,2015,4810.01,2503.08,2363.14,46.85,5155.0
410000,河南省,2014,4662.51,2374.67,2232.91,36.74,5149.0
410000,河南省,2013,4658.01,2289.08,2143.61,41.38,4982.0
410000,河南省,2012,4628.01,2219.07,2083.42,44.66,4964.0
410000,河南省,2011,4213.74,2098.07,2019.26,40.99,5124.0
410000,河南省,2010,4101.39,2014.4,1947.18,67.01,5178.0
410000,河南省,2009,4025.78,1913.26,1828.4,30.32,4886.0
410000,河南省,2008,3331.88,1857.24,1760.32,31.95,5967.0
410000,河南省,2007,,1775.34,1650.27,31.53,5902.0
410000,河南省,2006,,1678.57,1517.65,95.09,5305.71702962181
410000,河南省,2005,,1571.98,1429.24,37.03,5404.81385746416
410000,河南省,2004,,1422.39,1326.94,26.9,5307.0
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,8186.15,2660.99,,,2845.8677155928
420000,湖北省,2018,8145.85,2509.72,2609.7,77.07,2803.75896929111
420000,湖北省,2017,8084.1,2340.79,2499.44,95.41,2746.0
420000,湖北省,2016,8334.17,2248.94,2111.75,90.55,2475.0
420000,湖北省,2015,8114.59,2197.0,2045.85,83.99,2430.0
420000,湖北省,2014,7680.61,2077.64,2422.71,115.26,2448.0
420000,湖北省,2013,7348.7,2006.71,2062.08,108.29,2505.0
420000,湖北省,2012,9052.31,1889.61,2126.73,34.28,2004.0
420000,湖北省,2011,9049.15,1811.57,2042.57,74.39,1969.0
420000,湖北省,2010,9057.18,1701.03,1968.81,79.94,1929.0
420000,湖北省,2009,9124.38,1616.42,1629.44,53.78,1845.0
420000,湖北省,2008,9010.51,1564.56,1618.32,21.2,1823.0
420000,湖北省,2007,,1298.66,1368.62,25.88,1732.0
420000,湖北省,2006,,1298.07,1351.44,36.01,1890.22056044165
420000,湖北省,2005,,1417.29,1403.88,20.31,628.084717660092
420000,湖北省,2004,,1432.13,1386.22,39.05,613.0
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,5102.94,1855.94,,,3265.17654528566
430000,湖南省,2018,5452.21,1837.14,1740.44,66.01,3173.70387420881
430000,湖南省,2017,4591.99,1709.35,1635.89,69.51,3883.0
430000,湖南省,2016,4373.14,1625.64,1511.06,61.67,3523.0
430000,湖南省,2015,4582.33,1572.52,1483.37,52.63,3261.0
430000,湖南省,2014,4285.84,1540.21,1479.54,48.89,3402.0
430000,湖南省,2013,4312.18,1504.95,1444.65,64.39,3317.0
430000,湖南省,2012,4623.47,1465.07,1430.16,69.07,3030.0
430000,湖南省,2011,4602.42,1408.0,1474.9,84.63,2908.0
430000,湖南省,2010,4121.85,1321.05,1458.58,48.92,2992.0
430000,湖南省,2009,3630.07,1238.54,1439.38,39.34,3276.0
430000,湖南省,2008,3370.05,1195.25,1224.57,30.93,3380.0
430000,湖南省,2007,,1111.9,1194.46,29.08,3753.0
430000,湖南省,2006,,1037.0,1191.89,40.5,3163.80638252793
430000,湖南省,2005,,1032.93,1115.68,30.3,1134.61145813885
430000,湖南省,2004,,1002.7,1086.09,202.54,1110.0
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,16079.29,6397.65,,,3859.28110009833
440000,广东省,2018,16634.07,6036.26,5209.88,101.53,3469.00668327114
440000,广东省,2017,16834.7,5911.05,5577.44,117.89,3253.0
440000,广东省,2016,17086.28,5808.12,5266.61,126.9,3193.0
440000,广东省,2015,16825.74,5633.19,4958.73,138.68,3060.0
440000,广东省,2014,17036.4,5398.07,4415.55,78.8,2999.0
440000,广东省,2013,16136.49,5232.11,4000.64,84.71,3066.0
440000,广东省,2012,15984.06,5026.44,4083.37,286.26,2927.0
440000,广东省,2011,17957.23,4829.26,4172.38,73.36,2637.0
440000,广东省,2010,18130.1,4618.07,4774.76,95.74,2428.0
440000,广东省,2009,18063.8,4434.08,4688.81,63.63,2402.0
440000,广东省,2008,18485.78,4132.63,3943.09,37.83,2370.0
440000,广东省,2007,,4083.97,3530.1,85.91,2686.0
440000,广东省,2006,,3705.71,2932.09,132.79,2673.59504264499
440000,广东省,2005,,3619.05,3080.17,105.13,1362.46748041319
440000,广东省,2004,,3306.11,2973.25,288.9,1659.0
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,5814.43,1542.78,,,2096.95533354086
450000,广西壮族自治区,2018,5814.43,1475.97,1444.78,88.25,2024.61806230361
450000,广西壮族自治区,2017,5789.43,1413.65,1372.12,118.5,1950.0
450000,广西壮族自治区,2016,5752.04,1333.8,1292.58,117.99,1891.0
450000,广西壮族自治区,2015,5728.04,1275.16,1229.79,74.77,1823.0
450000,广西壮族自治区,2014,5886.63,1192.82,1141.25,62.02,1684.0
450000,广西壮族自治区,2013,6103.62,1153.64,1099.4,102.04,1543.0
450000,广西壮族自治区,2012,6067.38,1083.57,1029.77,88.94,1528.0
450000,广西壮族自治区,2011,5789.07,1014.38,931.56,121.83,1569.0
450000,广西壮族自治区,2010,5656.72,940.47,908.64,101.44,1498.0
450000,广西壮族自治区,2009,5662.63,880.57,845.75,57.34,1391.0
450000,广西壮族自治区,2008,5719.26,840.57,1006.06,40.47,1461.0
450000,广西壮族自治区,2007,,813.89,783.19,21.47,1464.0
450000,广西壮族自治区,2006,,738.32,744.57,31.18,1617.92752057624
450000,广西壮族自治区,2005,,772.23,764.03,28.7,711.381493835645
450000,广西壮族自治区,2004,,709.67,697.26,42.67,706.0
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,1478.79,382.89,,,2351.99047870218
460000,海南省,2018,1489.33,379.54,308.26,8.92,2460.30094069145
460000,海南省,2017,1444.67,323.82,256.76,21.13,2070.0
460000,海南省,2016,1428.18,320.98,302.05,3.55,2050.0
460000,海南省,2015,1427.88,337.81,398.7,7.84,2045.0
460000,海南省,2014,1276.68,303.06,258.33,5.8,2069.0
460000,海南省,2013,1264.98,296.03,288.13,5.05,1946.0
460000,海南省,2012,1149.13,265.59,253.38,11.17,2079.0
460000,海南省,2011,850.12,237.99,267.91,14.73,2639.0
460000,海南省,2010,833.03,221.32,260.73,0.1,2739.0
460000,海南省,2009,825.99,214.8,204.27,,2568.0
460000,海南省,2008,825.99,204.8,353.97,0.11,2731.0
460000,海南省,2007,,203.9,350.97,,2525.0
460000,海南省,2006,,196.52,311.81,,3230.29310686075
460000,海南省,2005,,194.18,309.02,,2930.88867697069
460000,海南省,2004,,164.25,187.19,0.06,3421.0
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,7659.78,1515.41,,,2011.65046515696
500000,重庆市,2018,7440,1496.72,1272.07,93.94,2026.4247311828
500000,重庆市,2017,7440,1423.09,1213.18,108.26,2017.0
500000,重庆市,2016,7438.45,1350.66,1179.57,91.29,1953.0
500000,重庆市,2015,7026.55,1329.45,1115.93,85.36,1904.0
500000,重庆市,2014,6643.39,1231.44,1028.82,88.64,1872.0
500000,重庆市,2013,6133.93,1114.92,920.55,81.54,1847.0
500000,重庆市,2012,6105.7,1051.71,859.47,75.33,1832.0
500000,重庆市,2011,5696.6,1034.92,945.48,54.49,1830.0
500000,重庆市,2010,5695.83,870.23,855.67,48.02,1860.0
500000,重庆市,2009,5590.55,783.29,769.58,22.87,1637.0
500000,重庆市,2008,5590.55,708.37,694.05,56.0,1574.0
500000,重庆市,2007,,667.45,655.78,53.06,1527.0
500000,重庆市,2006,,631.35,620.44,46.03,1473.6316681948
500000,重庆市,2005,,582.51,574.05,34.94,1093.11751382561
500000,重庆市,2004,,514.28,437.45,30.95,1088.0
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,8609.5,3054.31,,,3045.19426215227
510000,四川省,2018,8458.49,2982.32,2778.85,192.61,3068.43183594235
510000,四川省,2017,8359.03,2832.25,2660.07,109.5,2962.0
510000,四川省,2016,7872.65,2615.59,2468.48,79.32,2901.0
510000,四川省,2015,10777.66,2281.64,2226.67,49.45,1902.0
510000,四川省,2014,6426.21,2216.56,2138.49,50.84,3068.0
510000,四川省,2013,6432.92,2058.11,2003.67,75.87,2900.0
510000,四川省,2012,6204.99,1901.72,1855.64,71.11,2866.0
510000,四川省,2011,5998.96,1788.13,1745.51,72.36,2782.0
510000,四川省,2010,5772.84,1629.73,1610.31,86.33,2743.0
510000,四川省,2009,5491.68,1509.51,1473.19,92.35,2737.0
510000,四川省,2008,5480.79,1391.68,1382.19,64.48,2677.0
510000,四川省,2007,,1328.35,1293.25,45.76,2587.0
510000,四川省,2006,,1272.88,1210.03,45.51,2653.31975458904
510000,四川省,2005,,1442.93,1330.63,30.24,254.519034044547
510000,四川省,2004,,1393.94,1261.25,21.84,241.0
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,3650.88,1085.52,,,2222.17657112806
520000,贵州省,2018,3244.65,1053.15,983.61,19.88,2412.21703419475
