省份编码,省份,年份,供水综合生产能力(万立方米/日),供水管道长度(公里),供水总量(亿吨),生活用供水总量(亿吨),生产用供水总量(亿吨),用水人口(万人),人均日生活用水量(升)
120000,天津市,2008,365.42,8247.65,6.85159,3.014604,2.871526,639.02,129.25
120000,天津市,2007,370.45,8083.02,6.87332,2.908482,3.146135,651.12,122.380572484587
120000,天津市,2006,357.3,7365.0,6.818,2.7084,3.1597,568.9,130.43
120000,天津市,2005,358.95,7093.28,6.8236,2.8885,3.143,640.48,123.558871941934
120000,天津市,2004,338.32,6780.73,6.449,2.8807,2.4997,632.0,124.878619732963
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,889.1,20398.96,17.368395,8.512765,5.810604,1931.96,120.720117578089
130000,河北省,2018,968.99,19653.71,16.581017,8.319766,5.248796,1896.93,120.418695268902
130000,河北省,2017,885.9,18712.57,16.128046,8.177121,5.026526,1830.45,122.39
130000,河北省,2016,814.64,19025.01,16.887722,8.430455,5.795682,1749.79,132.0
130000,河北省,2015,855.56,16445.03,17.917751,7.330085,6.40878,1685.76,119.13
130000,河北省,2014,809.04,15527.72,15.14784,6.900507,5.907375,1617.14,116.91
130000,河北省,2013,887.82,15207.07,17.017317,7.375112,6.394476,1606.27,125.79
130000,河北省,2012,974.18,15344.37,17.239634,7.341448,6.475656,1593.35,126.23
130000,河北省,2011,995.83,15013.74,17.306106,7.111845,6.774771,1565.59,124.45
130000,河北省,2010,888.89,14287.98,16.643038,6.888992,7.972037,1534.94,122.96
130000,河北省,2009,835.39,13732.55,15.699135,6.955342,6.904919,1527.05,124.79
130000,河北省,2008,833.9,13012.23,14.761367,6.7527,6.015443,1479.19,125.07
130000,河北省,2007,816.71,12698.94,15.020753,6.701211,6.420189,1464.29,125.381462632271
130000,河北省,2006,812.6,11968.0,14.7291,6.4493,6.7727,1332.59,132.59
130000,河北省,2005,830.85,11336.46,15.0484,6.9907,6.5099,1324.12,144.644010661617
130000,河北省,2004,888.6,11054.72,16.1727,6.845,7.6956,1291.21,145.239152868505
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,411.66,12132.5,8.956997,5.30575,2.635236,1195.17,121.625386931257
140000,山西省,2018,456.0,11010.05,9.831312,5.867598,2.889547,1155.21,139.278691308335
140000,山西省,2017,457.44,10547.78,9.412934,5.229686,3.033492,1114.0,128.62
140000,山西省,2016,494.4,11377.52,8.914147,4.693283,3.277524,1122.83,114.52
140000,山西省,2015,460.07,10714.95,8.361359,4.512046,3.069427,1099.39,112.44
140000,山西省,2014,453.65,9727.18,8.315544,4.469488,2.999508,1068.59,114.59
140000,山西省,2013,434.63,9175.56,8.403749,4.211581,3.07536,1037.76,111.19
140000,山西省,2012,442.48,8549.9,8.243815,4.102968,3.099644,1013.35,110.93
140000,山西省,2011,422.39,7547.59,8.175135,4.013447,3.323377,986.84,111.42
140000,山西省,2010,356.01,7414.15,7.67715,3.654944,3.417337,941.2,106.39
140000,山西省,2009,449.33,6901.17,8.219295,4.074593,3.551671,914.31,122.1
140000,山西省,2008,444.04,6569.02,8.140671,3.902901,3.213962,884.43,120.9
140000,山西省,2007,442.14,6261.42,8.814088,3.99581,3.841104,878.26,124.649018030358
140000,山西省,2006,394.9,6474.0,8.4789,3.7694,4.0235,815.76,126.6
140000,山西省,2005,346.01,5939.4,8.6516,3.5703,4.6285,812.76,120.35095028811
140000,山西省,2004,344.69,5938.37,7.7733,3.2072,4.1792,758.95,115.776392582759
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,410.83,12050.88,8.656761,3.5165,3.173786,918.32,104.911649265425
150000,内蒙古自治区,2018,421.13,10069.4,8.242404,3.310094,2.973127,926.86,97.8438025692284
150000,内蒙古自治区,2017,427.31,9303.7,8.259082,3.689381,2.653873,882.67,114.51
150000,内蒙古自治区,2016,422.79,9485.9,7.759171,3.316345,2.613484,878.41,103.44
150000,内蒙古自治区,2015,410.19,9213.79,7.478902,3.357732,2.614381,862.07,106.71
150000,内蒙古自治区,2014,425.47,10619.36,7.386363,3.226784,2.75536,854.2,103.49
150000,内蒙古自治区,2013,378.06,10290.41,7.157773,3.028338,2.815289,851.18,97.47
150000,内蒙古自治区,2012,378.7,9967.29,6.486958,2.755648,2.302751,828.58,91.12
150000,内蒙古自治区,2011,357.38,9072.82,6.276179,2.649029,2.113048,768.18,94.48
150000,内蒙古自治区,2010,341.58,8560.86,6.275699,2.379886,3.05771,736.86,88.49
150000,内蒙古自治区,2009,344.66,8216.77,5.519687,2.186018,2.690478,696.48,85.99
150000,内蒙古自治区,2008,669.3,7883.52,4.990072,1.965108,1.948397,628.61,85.65
150000,内蒙古自治区,2007,372.93,6876.78,5.625105,2.237237,2.252047,600.37,102.093982683281
150000,内蒙古自治区,2006,320.2,6220.0,6.009,2.1932,3.3132,571.83,105.08
150000,内蒙古自治区,2005,308.77,5864.44,6.1081,2.55,3.1307,537.68,129.934187060389
150000,内蒙古自治区,2004,308.27,5718.05,6.1307,2.3286,3.4533,517.23,123.344083432849
150000,内蒙古自治区,2003,,,,,,,
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,1286.62,36768.72,28.731598,12.534153,6.90802,2310.14,148.649628184783
210000,辽宁省,2018,1198.8,37099.01,27.94431,12.451587,6.239163,2279.73,151.861855306225
210000,辽宁省,2017,1110.65,35335.18,25.014298,11.371484,5.421479,2229.88,139.71
210000,辽宁省,2016,1238.25,39312.65,26.514762,11.888027,7.767717,2226.78,146.26
210000,辽宁省,2015,1289.32,38264.56,25.106446,11.130994,8.74084,2250.59,135.5
210000,辽宁省,2014,1338.06,36706.23,27.264132,10.802538,9.314618,2245.64,131.79
210000,辽宁省,2013,1320.17,33117.5,27.871037,10.781079,9.820577,2294.95,128.71
210000,辽宁省,2012,1339.1,32062.11,27.495342,10.438898,9.740269,2233.43,128.05
210000,辽宁省,2011,1354.63,31486.8,26.603343,9.939441,8.715591,2158.41,126.16
210000,辽宁省,2010,1391.14,29122.53,26.187948,9.096816,10.916421,2060.39,120.96
210000,辽宁省,2009,1386.06,27734.72,28.873235,9.255024,13.742154,2041.65,124.19
210000,辽宁省,2008,1383.52,26850.47,29.479167,9.188854,12.180584,2000.6,125.84
210000,辽宁省,2007,1333.02,25422.49,28.317385,9.165478,12.134163,1962.82,127.932763218925
210000,辽宁省,2006,1372.4,25153.0,28.0567,9.3289,13.2152,1907.78,134.12
210000,辽宁省,2005,1339.14,23211.46,28.2618,10.3683,13.0232,1928.82,147.272951181878
210000,辽宁省,2004,1356.87,23635.8,28.108,10.1877,12.6676,1896.21,147.196285481645
210000,辽宁省,2003,,,,,,,
210000,辽宁省,2002,,,,,,,
210000,辽宁省,2001,,,,,,,
210000,辽宁省,2000,,,,,,,
220000,吉林省,2019,627.85,13580.26,10.727854,5.106568,2.372166,1157.24,120.896246761899
220000,吉林省,2018,616.18,13125.58,10.550505,4.893661,2.468051,1144.65,117.542923032643
220000,吉林省,2017,622.86,12000.91,10.463921,4.753014,2.626831,1105.91,117.75
220000,吉林省,2016,631.02,11359.51,10.530607,4.840248,2.567059,1065.05,124.51
220000,吉林省,2015,653.46,12155.11,10.620181,4.895089,2.602511,1096.84,122.27
220000,吉林省,2014,680.18,11764.12,10.68125,4.854638,2.809705,1083.22,122.79
220000,吉林省,2013,730.82,10608.31,10.741893,4.608394,3.039154,1058.19,119.31
220000,吉林省,2012,747.49,9599.83,10.653036,4.285223,3.360319,1051.98,111.6
220000,吉林省,2011,758.57,9334.99,10.03302,4.289487,3.019255,1036.96,113.33
220000,吉林省,2010,735.5,8935.39,10.074323,4.230812,3.429515,957.72,121.03
220000,吉林省,2009,720.1,8390.33,9.724183,4.071254,3.234187,906.88,122.99
220000,吉林省,2008,723.0,8392.96,10.203144,4.098942,3.50918,877.25,128.01
220000,吉林省,2007,733.61,8590.96,10.031863,3.831497,3.442183,866.65,121.124468410483
220000,吉林省,2006,816.4,7636.0,15.2258,4.0053,9.1726,835.98,131.27
220000,吉林省,2005,684.98,6770.78,15.4409,4.5566,9.6931,904.82,137.970376610136
220000,吉林省,2004,698.27,6534.58,15.1694,4.6017,9.4748,811.26,155.405138430022
220000,吉林省,2003,,,,,,,
220000,吉林省,2002,,,,,,,
220000,吉林省,2001,,,,,,,
220000,吉林省,2000,,,,,,,
230000,黑龙江省,2019,683.28,17895.01,13.544434,6.356758,3.715689,1373.11,126.834524127461
230000,黑龙江省,2018,760.34,16070.02,13.970992,6.356059,3.949911,1395.63,125.462934743763
230000,黑龙江省,2017,786.56,15885.2,14.201055,6.168073,4.513047,1403.56,120.4
230000,黑龙江省,2016,806.87,14491.16,14.226035,5.976775,4.977495,1395.06,117.38
230000,黑龙江省,2015,828.41,14355.3,14.885259,5.857137,5.818317,1379.26,116.34
230000,黑龙江省,2014,811.14,14119.99,15.027238,5.640058,5.977054,1325.94,116.54
230000,黑龙江省,2013,798.05,13207.24,14.519192,5.659754,5.870072,1299.42,119.33
230000,黑龙江省,2012,891.03,12847.45,15.215427,5.92364,6.056188,1293.41,125.48
230000,黑龙江省,2011,855.53,12149.3,15.1913,5.792322,6.127129,1239.58,128.02
230000,黑龙江省,2010,830.22,11412.98,16.423546,5.423614,8.32609,1199.56,123.87
230000,黑龙江省,2009,813.35,11171.45,16.544912,5.55199,8.868597,1172.81,129.7
230000,黑龙江省,2008,794.24,10711.44,16.94544,5.86238,8.404912,1130.06,142.13
230000,黑龙江省,2007,808.93,10492.49,17.294705,5.916642,8.94139,1129.48,143.51717677331
230000,黑龙江省,2006,883.1,10117.0,16.8432,5.5425,9.5196,1092.79,138.96
230000,黑龙江省,2005,654.38,9796.2,12.0157,6.2193,4.5801,1127.09,151.178504664151
230000,黑龙江省,2004,658.35,10579.65,12.8376,6.6357,5.0217,1134.37,160.265169212867
230000,黑龙江省,2003,,,,,,,
230000,黑龙江省,2002,,,,,,,
230000,黑龙江省,2001,,,,,,,
230000,黑龙江省,2000,,,,,,,
310000,上海市,2019,1250.0,38868.52,29.792318,18.39084,4.274215,2428.14,207.508063841865
310000,上海市,2018,1250.0,38413.68,30.550787,17.985265,4.601985,2423.78,203.296910735038
310000,上海市,2017,1184.0,37643.23,31.006287,17.681658,4.818913,2418.33,200.32
310000,上海市,2016,1152.0,36641.67,32.038451,17.738476,5.041492,2419.7,200.85
310000,上海市,2015,1137.0,36383.22,31.222442,16.766952,5.164238,2415.27,190.19
310000,上海市,2014,1137.0,35067.69,31.725971,16.503376,5.354206,2425.68,186.4
310000,上海市,2013,1124.0,36217.19,31.907185,16.925412,5.422813,2415.15,192.0
310000,上海市,2012,1145.0,34904.09,30.970429,16.208014,5.382643,2380.43,186.54
310000,上海市,2011,1150.0,32216.66,31.128173,15.728976,5.81942,2347.46,183.57
310000,上海市,2010,1465.64,32461.8,33.663726,14.689106,12.518578,2301.91,174.83
310000,上海市,2009,1434.63,30753.2,34.138923,14.514044,13.211873,1921.32,206.96
310000,上海市,2008,1407.63,29148.39,34.948102,13.919884,11.395999,1888.46,201.95
310000,上海市,2007,1418.63,28950.07,34.606875,14.587454,10.973616,1858.08,215.090993914472
310000,上海市,2006,1492.6,28329.0,33.8236,14.1172,13.8204,1815.0,213.1
310000,上海市,2005,1450.63,25482.21,33.5517,17.0084,12.6766,1778.0,262.082993050526
310000,上海市,2004,1429.0,23496.84,32.3454,17.0183,12.1739,1289.13,361.681750110965
310000,上海市,2003,,,,,,,
310000,上海市,2002,,,,,,,
310000,上海市,2001,,,,,,,
310000,上海市,2000,,,,,,,
320000,江苏省,2019,3472.51,109315.64,59.997634,27.349584,20.172118,3450.64,217.149187174807
320000,江苏省,2018,3491.18,101960.92,56.024205,26.320732,20.346714,3380.89,214.013502240251
320000,江苏省,2017,3445.18,93316.88,54.003405,25.25304,20.214381,3214.94,215.2
320000,江苏省,2016,3369.65,83470.12,53.309813,24.669785,20.135117,3137.98,215.39
320000,江苏省,2015,3104.12,78585.06,50.671939,23.595194,19.367944,3068.64,210.66
320000,江苏省,2014,2961.61,78476.6,48.806159,22.729253,18.437113,2970.72,209.62
320000,江苏省,2013,2902.56,75988.3,48.928602,22.012989,19.488382,2875.15,209.76
320000,江苏省,2012,2749.84,71412.81,49.279094,21.900812,20.05324,2785.12,215.44
320000,江苏省,2011,2757.24,65586.08,47.704409,20.612014,19.883037,2660.46,212.26
320000,江苏省,2010,2714.73,63806.9,48.282148,20.234255,22.802432,2515.63,220.37
320000,江苏省,2009,2534.11,59444.51,44.903679,18.480238,20.821058,2443.9,207.17
320000,江苏省,2008,2356.86,55736.51,43.189076,17.444431,18.320845,2331.49,204.99
320000,江苏省,2007,2334.72,49353.64,45.262755,16.758216,19.86469,2300.91,199.542444284849
320000,江苏省,2006,2166.8,55825.0,47.2128,16.4928,25.4526,2209.06,204.55
320000,江苏省,2005,1977.55,43889.62,39.046,18.5906,16.132,2408.52,211.470740060002
320000,江苏省,2004,1871.4,42565.31,39.2462,17.9068,17.9602,2273.66,215.774240772135
320000,江苏省,2003,,,,,,,
320000,江苏省,2002,,,,,,,
320000,江苏省,2001,,,,,,,
320000,江苏省,2000,,,,,,,
330000,浙江省,2019,1902.37,76114.7,38.928281,20.378333,13.467618,2564.4,217.715837291641
330000,浙江省,2018,1831.19,72917.08,37.171129,18.975434,12.720083,2545.5,204.361066937895
330000,浙江省,2017,1769.78,69182.64,35.743515,17.859242,12.577257,2443.96,200.21
330000,浙江省,2016,1833.52,60406.34,32.903407,15.905877,12.220029,2328.21,187.17
330000,浙江省,2015,1794.03,56455.66,32.72167,15.515999,12.271592,2166.92,196.18
330000,浙江省,2014,1720.46,53604.16,30.841136,14.573654,11.574041,2026.72,197.01
330000,浙江省,2013,1675.5,49297.9,30.498168,14.021428,11.596628,1997.4,192.32
330000,浙江省,2012,1537.79,44841.39,28.116533,13.407871,10.033753,1876.0,195.81
330000,浙江省,2011,1524.58,41646.13,27.359113,13.058303,9.98699,1822.52,196.3
330000,浙江省,2010,1519.85,38982.19,27.004438,12.284053,11.074878,1814.96,185.43
330000,浙江省,2009,1401.04,35786.13,26.980946,12.939266,10.370307,1758.9,201.55
330000,浙江省,2008,1369.63,34517.09,26.786366,12.434955,9.794593,1754.12,194.22
330000,浙江省,2007,1357.9,31888.63,26.554245,12.031409,10.064633,1741.47,189.281264584297
330000,浙江省,2006,1228.4,29279.0,26.5807,11.7597,11.5585,1396.69,230.68
330000,浙江省,2005,1256.73,27033.19,26.1613,11.9831,11.3656,1345.87,243.934488166793
330000,浙江省,2004,1237.34,25390.02,24.2488,11.0032,10.7823,1321.86,228.055568854928
330000,浙江省,2003,,,,,,,
330000,浙江省,2002,,,,,,,
330000,浙江省,2001,,,,,,,
330000,浙江省,2000,,,,,,,
340000,安徽省,2019,997.68,32601.18,22.676222,11.935486,6.659831,1681.33,194.488658644262
340000,安徽省,2018,896.55,29392.0,20.082356,11.164725,5.44973,1604.82,190.678594432901
340000,安徽省,2017,906.28,27139.05,18.989516,10.525814,5.244674,1533.03,188.11
340000,安徽省,2016,1111.57,25535.4,18.6543,9.897931,5.18437,1504.98,180.19
340000,安徽省,2015,1094.78,23842.15,17.426344,9.069162,5.011026,1471.13,168.9
340000,安徽省,2014,1074.84,22247.14,16.778079,8.597263,4.995739,1412.77,166.72
340000,安徽省,2013,1073.97,20449.69,16.11396,8.238796,4.907121,1358.51,166.15
340000,安徽省,2012,1029.37,18869.15,15.688762,7.913904,4.701009,1310.51,165.45
340000,安徽省,2011,820.17,17031.56,15.803881,7.518816,5.13869,1218.96,168.99
340000,安徽省,2010,1992.81,14730.11,16.081572,7.018324,6.802533,1195.59,160.83
340000,安徽省,2009,2080.6,13314.42,16.224262,6.748128,7.195011,1148.64,160.96
340000,安徽省,2008,1728.7,11061.79,19.554275,6.973115,10.1119,1094.14,174.61
340000,安徽省,2007,999.22,10048.51,20.757384,6.916221,11.682296,1050.38,180.397100905687
340000,安徽省,2006,938.5,8893.0,19.6383,6.8593,10.611,989.37,189.95
340000,安徽省,2005,1032.66,8745.25,20.4886,7.2959,12.1785,1021.43,195.693949886803
340000,安徽省,2004,1018.87,8002.79,20.1047,7.356,11.7776,977.52,206.16892398656
340000,安徽省,2003,,,,,,,
340000,安徽省,2002,,,,,,,
340000,安徽省,2001,,,,,,,
340000,安徽省,2000,,,,,,,
350000,福建省,2019,830.99,28852.68,17.385553,10.05513,3.498175,1319.62,208.759350190684
350000,福建省,2018,781.26,26886.49,17.515911,10.017273,3.186257,1307.0,210.104369517142
350000,福建省,2017,766.16,21142.34,17.29571,9.451912,3.284295,1271.35,203.69
350000,福建省,2016,737.04,18824.37,16.460257,8.522429,3.446362,1219.15,191.52
350000,福建省,2015,710.03,15981.91,16.159818,7.594419,3.435354,1175.97,176.93
350000,福建省,2014,717.24,16539.36,15.6464,7.453871,4.163342,1128.37,180.98
350000,福建省,2013,721.94,15888.7,15.930195,7.251019,4.797389,1098.37,180.87
350000,福建省,2012,721.0,16743.33,14.632794,6.936066,4.284288,1065.36,178.37
350000,福建省,2011,682.94,15594.86,13.772424,7.035111,3.8085,1024.22,188.18
350000,福建省,2010,676.42,14650.32,13.262656,6.769852,5.047092,993.86,186.62
350000,福建省,2009,680.43,12448.56,13.426438,6.602128,5.477995,942.49,191.92
350000,福建省,2008,672.73,10551.4,12.934284,7.077737,4.191382,882.86,219.64
350000,福建省,2007,568.13,9199.8,12.15932,6.923745,3.740719,895.93,211.725965014696
350000,福建省,2006,611.7,9131.0,12.9628,6.915,4.7653,687.86,275.42
350000,福建省,2005,699.99,7563.34,11.9814,6.1662,5.2841,630.57,267.911550345513
350000,福建省,2004,700.66,6764.91,11.8094,5.7448,5.1411,625.23,251.734211125374
350000,福建省,2003,,,,,,,
350000,福建省,2002,,,,,,,
350000,福建省,2001,,,,,,,
350000,福建省,2000,,,,,,,
360000,江西省,2019,594.28,23540.56,13.613996,7.796261,2.551442,1223.49,174.57943406225
360000,江西省,2018,602.65,22075.94,13.071204,7.457553,2.504739,1180.68,174.6132133746
360000,江西省,2017,550.79,18620.64,12.476248,7.001823,2.504149,1126.22,170.33
360000,江西省,2016,494.3,16916.05,11.986479,6.67851,2.027121,1067.71,171.37
360000,江西省,2015,473.05,15629.69,11.087442,6.406899,1.796624,1024.85,171.28
360000,江西省,2014,457.66,13713.58,10.60529,6.300669,1.605604,965.92,178.71
360000,江西省,2013,444.51,13524.35,10.348049,5.956894,1.606562,938.08,173.98
360000,江西省,2012,435.9,11830.56,9.45946,5.693987,1.590707,887.94,175.69
360000,江西省,2011,444.77,10836.87,9.361475,5.348457,1.923752,838.36,174.79
360000,江西省,2010,459.23,9807.47,9.127796,5.39483,1.98094,801.74,184.35
360000,江西省,2009,454.25,9251.03,9.254004,5.376457,2.169546,758.35,194.24
360000,江西省,2008,435.22,7964.44,9.62628,5.330528,2.193754,723.86,201.75
360000,江西省,2007,453.17,7229.19,9.941099,5.082233,2.491797,691.02,201.498162533606
360000,江西省,2006,678.1,6748.0,15.1166,5.3324,8.2133,690.57,211.56
360000,江西省,2005,654.2,6078.88,14.7045,5.7585,7.0929,666.97,236.54305784019
360000,江西省,2004,623.85,5547.58,14.7754,5.647,7.7451,639.22,242.032991406907
360000,江西省,2003,,,,,,,
360000,江西省,2002,,,,,,,
360000,江西省,2001,,,,,,,
360000,江西省,2000,,,,,,,
370000,山东省,2019,1924.95,57028.07,39.209297,17.653673,15.658059,3852.55,125.543412537826
370000,山东省,2018,1892.12,54628.83,39.478792,16.83046,16.601597,3673.06,126.559595079136
370000,山东省,2017,1860.2,53963.98,38.551918,16.313275,16.903101,3526.74,126.73
370000,山东省,2016,1807.81,50553.43,37.332186,16.295861,15.539528,3360.82,132.84
370000,山东省,2015,1776.71,48910.91,35.590259,15.815142,14.792468,3129.04,138.47
370000,山东省,2014,1725.23,47372.9,34.778134,15.380248,14.439631,3036.28,138.78
370000,山东省,2013,1701.9,43944.48,33.189838,14.483494,14.088791,2940.83,134.93
370000,山东省,2012,1644.45,41934.47,32.744902,13.865018,14.354625,2886.48,131.6
370000,山东省,2011,1616.88,39567.97,31.350016,13.226821,13.970003,2792.06,129.79
370000,山东省,2010,1477.64,37313.17,29.086605,12.836193,13.618799,2715.33,129.52
370000,山东省,2009,1458.32,34814.12,27.559229,12.558249,12.501334,2648.44,129.91
370000,山东省,2008,1435.4,32970.04,26.717204,12.247944,11.368674,2624.33,127.87
370000,山东省,2007,1474.53,32695.37,27.115104,12.755127,10.7024,2629.28,132.90921250174
370000,山东省,2006,1461.4,32669.0,27.9058,12.7317,11.6645,2475.98,140.88
370000,山东省,2005,1385.29,28798.93,27.5364,13.4573,12.1756,2629.41,140.21896573183
370000,山东省,2004,1342.91,27943.76,26.39,12.7756,12.0972,2444.45,143.188217536118
370000,山东省,2003,,,,,,,
370000,山东省,2002,,,,,,,
370000,山东省,2001,,,,,,,
370000,山东省,2000,,,,,,,
410000,河南省,2019,1281.52,27810.64,22.110409,12.379345,5.642831,2533.36,133.877592204148
410000,河南省,2018,1166.64,25738.32,21.630496,11.854277,5.992094,2431.89,134.785814314218
410000,河南省,2017,1150.37,24418.98,20.860421,11.312737,5.990865,2396.63,129.32
410000,河南省,2016,1180.32,22233.86,20.393636,9.612952,6.108437,2278.01,115.61
410000,河南省,2015,1121.39,21338.15,19.670996,9.359451,6.66716,2308.57,111.07
410000,河南省,2014,1083.62,20590.38,19.10007,8.754564,6.825387,2232.45,107.44
410000,河南省,2013,1047.26,19953.55,18.871086,8.225806,7.310031,2138.58,105.38
410000,河南省,2012,1042.31,19287.96,18.853803,8.009749,7.365107,2108.19,104.09
410000,河南省,2011,1037.56,18270.23,18.458755,7.927368,7.217202,2000.08,108.59
410000,河南省,2010,1010.34,17298.54,17.912228,7.69862,7.898395,1933.33,109.1
410000,河南省,2009,1007.79,16108.86,17.337724,7.516014,7.386588,1737.82,118.49
410000,河南省,2008,1013.91,15028.3,16.829405,7.19538,6.396416,1701.24,115.88
410000,河南省,2007,1039.85,14405.97,16.734836,7.075212,6.939564,1539.62,125.902121729735
410000,河南省,2006,1023.7,13750.0,18.159,7.3043,8.5627,1545.71,129.47
410000,河南省,2005,1026.51,12632.42,18.3436,7.9462,8.4437,1480.35,147.062593028028
410000,河南省,2004,1038.31,12065.39,18.4107,7.7357,8.7908,1438.64,147.31759599439
410000,河南省,2003,,,,,,,
410000,河南省,2002,,,,,,,
410000,河南省,2001,,,,,,,
410000,河南省,2000,,,,,,,
420000,湖北省,2019,1497.33,43066.07,31.107657,16.084399,7.832852,2310.06,190.760614769064
420000,湖北省,2018,1426.14,35076.28,30.500307,16.681164,7.617615,2269.42,202.193270551416
420000,湖北省,2017,1453.05,32795.68,29.490576,16.052821,7.414133,2203.96,199.55
420000,湖北省,2016,1467.43,33725.15,29.388705,15.246307,7.979248,2044.98,204.26
420000,湖北省,2015,1393.78,30578.98,27.799525,14.605403,7.211169,1948.92,205.32
420000,湖北省,2014,1354.3,29644.18,26.955794,14.270093,6.611533,1856.4,210.6
420000,湖北省,2013,1336.58,27794.24,26.181473,14.170529,6.102951,1807.26,214.82
420000,湖北省,2012,1327.98,26146.27,25.904882,14.033425,6.177209,1782.33,215.72
420000,湖北省,2011,1351.02,24239.15,25.758648,13.624536,6.447647,1750.97,213.18
420000,湖北省,2010,1326.28,22827.09,25.342112,13.16769,7.771033,1705.37,211.54
420000,湖北省,2009,1311.69,21596.49,24.894444,12.876424,7.51438,1640.8,215.0
420000,湖北省,2008,1326.47,20323.14,25.890692,13.398538,6.88512,1607.6,228.34
420000,湖北省,2007,1290.9,19084.8,25.506671,13.564371,6.71493,1520.25,244.450980259645
420000,湖北省,2006,1394.6,17174.0,28.0531,12.9159,11.1751,1435.96,246.43
420000,湖北省,2005,1424.75,16998.89,28.523,16.1817,11.3411,1616.04,274.333708680071
420000,湖北省,2004,1434.27,16196.98,26.0359,15.8108,9.5085,1580.57,274.061005042311
420000,湖北省,2003,,,,,,,
420000,湖北省,2002,,,,,,,
420000,湖北省,2001,,,,,,,
420000,湖北省,2000,,,,,,,
430000,湖南省,2019,1081.74,34850.56,22.606002,12.868397,4.471631,1627.97,216.563463649704
430000,湖南省,2018,1017.91,31611.38,21.867831,12.747469,3.437369,1667.25,210.728962671284
430000,湖南省,2017,1024.2,25083.01,19.481685,11.323469,3.58235,1721.09,180.25
430000,湖南省,2016,1014.24,24376.8,21.542659,11.819528,3.980009,1491.42,217.12
430000,湖南省,2015,1038.35,21393.05,19.792209,11.0285,3.888739,1454.12,207.79
430000,湖南省,2014,1031.79,20498.48,19.264709,10.481744,4.204399,1414.88,202.96
430000,湖南省,2013,991.0,18208.06,19.016602,10.871219,3.945584,1385.31,215.0
