年份,城市传染病(不含呼吸道结核)粗死亡率位次,城市呼吸道结核粗死亡率位次,城市寄生虫病粗死亡率位次,城市恶性肿瘤粗死亡率位次,"城市血液,造血器官及免疫疾病粗死亡率位次","城市内分泌,营养和代谢疾病粗死亡率位次",城市精神障碍粗死亡率位次,城市神经系统疾病粗死亡率位次,城市心脏病粗死亡率位次,城市脑血管病粗死亡率位次,城市呼吸系统疾病粗死亡率位次,城市消化系统疾病粗死亡率位次,城市肌肉骨骼和结缔组织疾病粗死亡率位次,城市泌尿生殖系统疾病粗死亡率位次,"城市妊娠,分娩产褥期并发症粗死亡率位次",城市围生期疾病粗死亡率位次,"城市先天畸形,变形和染色体异常粗死亡率位次",城市诊断不明粗死亡率位次,城市其他疾病粗死亡率位次,城市损伤和中毒外部原因粗死亡率位次,城市男性传染病(不含呼吸道结核)粗死亡率位次,城市男性呼吸道结核粗死亡率位次,城市男性寄生虫病粗死亡率位次,城市男性恶性肿瘤粗死亡率位次,"城市男性血液,造血器官及免疫疾病粗死亡率位次","城市男性内分泌,营养和代谢疾病粗死亡率位次",城市男性精神障碍粗死亡率位次,城市男性神经系统疾病粗死亡率位次,城市男性心脏病粗死亡率位次,城市男性脑血管病粗死亡率位次,城市男性呼吸系统疾病粗死亡率位次,城市男性消化系统疾病粗死亡率位次,城市男性肌肉骨骼和结缔组织疾病粗死亡率位次,城市男性泌尿生殖系统疾病粗死亡率位次,城市男性围生期疾病粗死亡率位次,"城市男性先天畸形,变形和染色体异常粗死亡率位次",城市男性诊断不明粗死亡率位次,城市男性其他疾病粗死亡率位次,城市男性损伤和中毒外部原因粗死亡率位次,城市女性传染病(不含呼吸道结核)粗死亡率位次,城市女性呼吸道结核粗死亡率位次,城市女性寄生虫病粗死亡率位次,城市女性恶性肿瘤粗死亡率位次,"城市女性血液,造血器官及免疫疾病粗死亡率位次","城市女性内分泌,营养和代谢疾病粗死亡率位次",城市女性精神障碍粗死亡率位次,城市女性神经系统疾病粗死亡率位次,城市女性心脏病粗死亡率位次,城市女性脑血管病粗死亡率位次,城市女性呼吸系统疾病粗死亡率位次,城市女性消化系统疾病粗死亡率位次,城市女性肌肉骨骼和结缔组织疾病粗死亡率位次,城市女性泌尿生殖系统疾病粗死亡率位次,"城市女性妊娠,分娩产褥期并发症粗死亡率位次",城市女性围生期疾病粗死亡率位次,"城市女性先天畸形,变形和染色体异常粗死亡率位次",城市女性诊断不明粗死亡率位次,城市女性其他疾病粗死亡率位次,城市女性损伤和中毒外部原因粗死亡率位次
2009,11.0,15.0,19,1,17,6,13,10,2,3,4,7,16,9,20,18,14,12.0,8.0,5,11.0,14.0,19,1,17,7,13,10,3,2,4,6,18,8,16,15,12.0,9.0,5,12.0,18.0,19,1,16,6,11,10,2,3,4,7,14,9,20,17,15,13.0,8.0,5
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
